geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48479001719,48479001719,Census Tract 17.19; Webb County; Texas,2005,1411,289,Laredo city,Texas,48874,0.4264035727192684,0.21017791621671364,48479,2005,1411,289,0.009138,0.006897320142,0.003436016044,0.875251112074088,0.8171247292693194,0.9053624289686028,-0.14252925383927106,-0.22380337319396676,-0.10453004012902228,-2.611376804774434,-4.100456024614169,-1.9151669909315063,-130.2432321583259,-204.51152242464684,-95.51955066990055,0.8636662293593712,0.8007873232551865,0.8964059175665687,-0.15785469664798063,-0.2487710169224675,-0.11556604034325577,-2.8921648170283403,-4.557905453038203,-2.1173651656966257,-144.2476217969247,-227.3269552637508,-130.2432321583259,-0.28078801225390615,-0.45744942842403447,-0.20219817476511937,-14.004389638598813,-22.815432839103966,-10.084696995766553,0.9204892551572968,0.8949056005870585,0.9465306130884844,-0.08637878649557529,-0.117436296458531,-0.05648986538010379,-0.41878324262292665,-0.569356841277808,-0.2738752181986753,-29.679889626004723,-40.35129987794528,-19.410008376943676,0.9128945108218748,0.885023797485216,0.9413435064773376,-0.09541681776540031,-0.1299131196714568,-0.06231146560107979,-0.4626015942768783,-0.629847208122794,-0.3020996088934851,-32.78537167093397,-44.63835635172176,-21.410319553046428,-0.04381835165395165,-0.0604903668449861,-0.02822439069480981,-3.105482044929245,-4.287056473776477,-2.0003111761027506,0.8949056005870585,0.8697762469097071,0.9465306130884844,-0.117436296458531,-0.14972098117530178,-0.05648986538010379,-0.2340887668269743,-0.298442652811579,-0.11260269034216186,-80.9995732965309,-103.26735391404118,-38.96286863050584,0.885023797485216,-0.1299131196714568,-0.25895913695877865,0.8577254520475439,-0.16587422888387107,-0.3306413337167188,0.9413435064773376,-0.06231146560107979,-0.12420703463591376,-89.60523770199954,-114.40876599194422,-42.97821267678677,-0.02487037013180434,-0.03219868090513977,-0.01160434429375191,-8.605664405468632,-11.141412077903038,-4.01534404628094,0.9093
48479000602,48479000602,Census Tract 6.02; Webb County; Texas,1319,870,310,Laredo city,Texas,58571,0.4647426547015448,0.27284938514660645,48479,1319,870,310,0.009138,0.006897320142,0.003436016044,0.8616593892265334,0.7979686323566477,0.8948512980148189,-0.16055138782581796,-0.25318209194099683,-0.1175041062335698,-1.935129409595116,-3.0516093241708577,-1.4162795775235542,-146.71185819523245,-231.35779561568293,-107.37525227623613,0.8489247339713243,0.7801612973976167,0.8849647244219372,-0.17796073077284005,-0.281786219510887,-0.1299885435017812,-2.1449646031411183,-3.3963755030615506,-1.566754774574926,-162.62051578022124,-257.49624738904856,-146.71185819523245,-0.2098351935460021,-0.34476617889069283,-0.1504751970513718,-15.908657584988786,-26.13845177336564,-11.40827877569157,0.9115749738483604,0.8833097426775146,0.9404408015402788,-0.09700247230169026,-0.13210570616912978,-0.06333115105403085,-0.28997278448855784,-0.39490807353393936,-0.18931796046277463,-33.330205113627336,-45.39173259010798,-21.76068511066375,0.9031744286603944,0.8724174077661183,0.9346835712820796,-0.10720583783934085,-0.14624031008340976,-0.06988079252139584,-0.32047405157900055,-0.43716112500173393,-0.2088970261157277,-36.83609788264374,-50.2484051726131,-24.011152427095137,-0.0305012670904427,-0.04225305146779457,-0.01957906565295303,-3.505892769016403,-4.856672582505123,-2.250467316431383,0.8833097426775146,0.8556386729213638,0.9404408015402788,-0.13210570616912978,-0.16871762771749282,-0.06333115105403085,-0.28246435789037644,-0.3607468425095594,-0.13541271937211355,-91.11753480334724,-116.36994919663206,-43.68152237810115,0.8724174077661183,-0.14624031008340976,-0.3126865332562946,0.8424021100731982,-0.18708154697417337,-0.4000120098638603,0.9346835712820796,-0.06988079252139584,-0.1494169613169914,-100.86662363106277,-129.0361322141485,-48.19901977967464,-0.03022217536591814,-0.03926516735430091,-0.01400424194487784,-9.74908882771553,-12.666183017516424,-4.5174974015734985,0.9627
48479001718,48479001718,Census Tract 17.18; Webb County; Texas,1205,884,429,Laredo city,Texas,54114,0.3763797827710761,0.22370255854794888,48479,1205,884,429,0.009138,0.006897320142,0.003436016044,0.893308100924603,0.8428122128229085,0.9192629314755336,-0.1194346037665699,-0.1865039267176824,-0.08782804762384279,-1.3151290581087935,-2.053648823227149,-0.967100102519944,-109.1393409218916,-170.42728823461815,-80.25726991866755,0.8832861071034418,0.8285217277738468,0.9115567738485952,-0.1321359998282978,-0.20696895021316797,-0.0970243748812235,-1.4549878135493373,-2.2789951317927546,-1.0683635288858675,-120.74587664309853,-189.12822670479292,-109.1393409218916,-0.13985875544054371,-0.22534630856560556,-0.10126342636592356,-11.606535721206948,-18.700938470174737,-8.403603847794486,0.9322515696211836,0.9102647541600596,0.9545357660885824,-0.07267183299712307,-0.09858147910246506,-0.04762968086331348,-0.22073620036650307,-0.29943514875219146,-0.1446722112933793,-24.970158412500343,-33.872754383732065,-16.36563476169449,0.9257344709810889,0.901746571314426,0.9501046124818396,-0.08022335923194575,-0.1089590266391091,-0.05251567760293771,-0.24367349449129433,-0.3309563078848124,-0.15951312435181927,-27.56487494245411,-37.438496367060225,-18.04447108052254,-0.02293729412479125,-0.03152115913262093,-0.01484091305843998,-2.5947165299537622,-3.56574198332816,-1.6788363188280528,0.9102647541600596,0.8885743868976763,0.9545357660885824,-0.09858147910246506,-0.12539818246545395,-0.04762968086331348,-0.2916977011984397,-0.37104699475665254,-0.14093386042831696,-67.99480214415844,-86.49114096891667,-32.8517157175564,0.901746571314426,-0.1089590266391091,-0.3224043490198853,0.8781388061267293,-0.13877213149339418,-0.4106198457922962,0.9501046124818396,-0.05251567760293771,-0.1553912821467523,-75.15252890906417,-95.71558176976602,-36.22174409015205,-0.03070664782144561,-0.03957285103564367,-0.01445742171843533,-7.157726764905736,-9.224440800849342,-3.37002837259565,0.9127
48479001710,48479001710,Census Tract 17.10; Webb County; Texas,916,750,389,Laredo city,Texas,9969354,0.5520721317163101,0.1563639591766997,48479,916,750,389,0.009138,0.006897320142,0.003436016044,0.8314826380557592,0.7559942893534352,0.8713621617742803,-0.2026709328991907,-0.3227613145798376,-0.147628441845335,-1.696438398106849,-2.701643889649589,-1.2357102906497268,-185.2006984832805,-294.93928926305557,-134.90287015826712,0.8162787745203567,0.7351405289047763,0.859445944926753,-0.2250716681780651,-0.3602841370884767,-0.16354030861734517,-1.883941691891021,-3.0157252233584817,-1.368899107573095,-205.67049038111583,-329.22764447145,-185.2006984832805,-0.18750329378417208,-0.3140813337088928,-0.13318881692336815,-20.469791897835385,-34.28835520839441,-14.540263856262898,0.8915908049650919,0.8574543101112638,0.9267151816578866,-0.12159075041061308,-0.16624289855192326,-0.07908019615153755,-0.31334082690964954,-0.4284099499691045,-0.20379061705451257,-41.77877692128661,-57.12132666254727,-27.17208227393501,0.881418454102507,0.8443686231638375,0.9196888167382486,-0.13453490262832898,-0.1843168641831027,-0.08732430122025568,-0.3466980629316871,-0.4749867768846823,-0.22503577501791547,-46.22640839089161,-63.33157025129098,-30.004770002388728,-0.03335723602203755,-0.04657682691557785,-0.0212451579634029,-4.447631469605007,-6.210243588743713,-2.83268772845372,0.8574543101112638,0.8242877701097712,0.9267151816578866,-0.16624289855192326,-0.2131685513990206,-0.07908019615153755,-0.4460392616395441,-0.5719434881069111,-0.2121767161724819,-114.6630492646643,-147.0291743205427,-54.54414297493109,0.8443686231638375,-0.1843168641831027,-0.4945327513179127,0.8085125060125298,-0.2368392480802303,-0.6354533292017639,0.9196888167382486,-0.08732430122025568,-0.2342961243983999,-127.12924198403924,-163.3556116199907,-60.230366169254474,-0.04849348967836858,-0.0635098410948528,-0.02211940822591798,-12.466192719374956,-16.32643729944802,-5.686223194323389,0.6927
48479001823,48479001823,Census Tract 18.23; Webb County; Texas,2679,1750,488,Laredo city,Texas,52747,0.4306393393226581,0.18582729731973643,48479,2679,1750,488,0.009138,0.006897320142,0.003436016044,0.8737390017009153,0.8149859329643193,0.9041951008146908,-0.14450653805460356,-0.2270150435145986,-0.10595600341009144,-3.53762149516641,-5.5574876297979205,-2.593877344593432,-132.05007447429674,-207.44634676364015,-96.82259591614154,0.8620250656351927,0.7984819881709025,0.8951346414662495,-0.16005907468959618,-0.25237640274230666,-0.11715037456485738,-3.9183585098717466,-6.178351507366393,-2.8679234089106536,-146.261982451353,-230.62155682591984,-132.05007447429674,-0.3807370147053368,-0.6208638775684721,-0.27404606431722156,-14.211907977056246,-23.175210062279657,-10.229416361225145,0.9195001222436676,0.8936170265876037,0.9458558673185604,-0.0875474356217647,-0.11904761239681608,-0.05724353419187921,-0.5264251884630211,-0.7158366358418683,-0.3442069783224792,-30.081439340744065,-40.90495061953533,-19.668970189855955,0.9118154998305488,0.883622118732659,0.9406053799068076,-0.09671309621939884,-0.1317054867687749,-0.06314509927540182,-0.5815385629808477,-0.7919487898355954,-0.3796932548679435,-33.23077502747701,-45.25421656203402,-21.696757421025342,-0.05511337451782661,-0.07611215399372706,-0.03548627654546427,-3.149335686732949,-4.34926594249869,-2.0277872311693868,0.8936170265876037,0.8682028952059454,0.9458558673185604,-0.11904761239681608,-0.15180449814417074,-0.05724353419187921,-0.4007014334826854,-0.5109575806756433,-0.1926755669138861,-82.11094948415683,-104.70442226959904,-39.482698138091415,0.883622118732659,-0.1317054867687749,-0.4433064744706665,0.8560188983778886,-0.1681985081111505,-0.5661380514305017,0.9406053799068076,-0.06314509927540182,-0.21253959896919944,-90.84149067021856,-116.01189578493889,-43.553196510081854,-0.04260504098798118,-0.05518047075485832,-0.01986403205531334,-8.730541186061718,-11.30747351533982,-4.070498371990438,0.7879
48479001724,48479001724,Census Tract 17.24; Webb County; Texas,2101,1263,606,Laredo city,Texas,62914,0.4789266046782681,0.2575761377579111,48479,2101,1263,606,0.009138,0.006897320142,0.003436016044,0.8566846499707566,0.7909960013267866,0.8909935944258784,-0.1672906711170039,-0.26422889410646583,-0.12234252440878772,-3.211803222753749,-5.072914155758603,-2.3488465408878025,-152.8702152667182,-241.4523634344885,-111.79659880475025,0.8435349548740139,0.7726658481555224,0.8807690393377597,-0.18548732832222103,-0.2942205254537401,-0.13537142580748374,-3.5611597162439663,-5.648721626513779,-2.5989876110494805,-169.49832062084562,-268.8587161596277,-152.8702152667182,-0.34935649349021736,-0.5758074707551755,-0.25014107016167797,-16.628105354127435,-27.40635272513924,-11.905810098128416,0.9082989625971376,0.8790579131810513,0.9381977536500788,-0.10095909076088544,-0.13758147785883065,-0.06587336849771627,-0.4381309812759149,-0.5970607247488583,-0.2858698841514928,-34.689705564205454,-47.27321652801729,-22.634195103047727,0.8996046673387816,0.8677991822175984,0.9322316159994518,-0.11159939060588547,-0.15234033459742596,-0.07269479262178127,-0.48430656563414853,-0.6611095621210809,-0.31547273836354456,-38.34572966224454,-52.34438338250838,-24.97804737636932,-0.04617558435823366,-0.06404883737222256,-0.02960285421205177,-3.6560240980390866,-5.071166854491097,-2.3438522733215974,0.8790579131810513,0.850466761497174,0.9381977536500788,-0.13758147785883065,-0.1758249061251794,-0.06587336849771627,-0.5750597600315149,-0.7349087238883703,-0.27533592508457616,-94.89434984018398,-121.27206664824593,-45.43497113606867,0.8677991822175984,-0.15234033459742596,-0.6367484753042545,0.83680271268013,-0.19502480673990433,-0.8151600077963805,0.9322316159994518,-0.07269479262178127,-0.30384794996544734,-105.07400582578455,-134.51485277167995,-50.1399257368725,-0.06168871527273956,-0.08025128390801028,-0.02851202488087118,-10.179655985600588,-13.24278612343404,-4.704954600803825,0.4552
48479001501,48479001501,Census Tract 15.01; Webb County; Texas,1168,701,229,Laredo city,Texas,40113,0.3529798071719491,0.19233031197505773,48479,1168,701,229,0.009138,0.006897320142,0.003436016044,0.9018821667176616,0.855103917057332,0.9258383344906967,-0.10879229782248784,-0.16944850801443956,-0.08010217631580295,-1.1611602124422122,-1.808555104563588,-0.854945266619007,-99.4144017501894,-154.84204662359488,-73.19736871738074,0.8926162307073293,0.8418229965488406,0.9187316432442478,-0.12030228176287736,-0.18789817348733157,-0.08845712167785508,-1.2840083888750349,-2.005471778894212,-0.944119135778136,-109.93222507491735,-171.7013509327236,-99.4144017501894,-0.12284817643282242,-0.19691667433062365,-0.08917386915912895,-10.517823324727948,-16.85930430912874,-7.634749071843233,0.937805191074242,0.9175396336776463,0.958303599336464,-0.06631954004702702,-0.08987117645462259,-0.0435106376438603,-0.15974037754623205,-0.216467961738058,-0.10480177756931104,-22.78750036322854,-30.87988041912383,-14.950324902897435,0.9318025521433744,0.9096772135601316,0.9542308021234348,-0.07318873263413453,-0.0992910288325013,-0.04796449430757812,-0.17628583935920977,-0.23915706323371247,-0.11552954716021276,-25.14776595709126,-34.1165568093741,-16.48067719831851,-0.01654546181297769,-0.02268910149565445,-0.01072776959090172,-2.3602655938627244,-3.2366763902502784,-1.530352295421074,0.9175396336776463,0.8975066662881869,0.958303599336464,-0.08987117645462259,-0.11419785229640043,-0.0435106376438603,-0.14195029309996632,-0.18037394462111675,-0.06872445660740778,-61.987027554570446,-78.76591468171037,-30.010679741226102,0.9096772135601316,-0.0992910288325013,-0.15682882099676587,0.8878537867294696,-0.12631157849045876,-0.1995074093382226,0.9542308021234348,-0.04796449430757812,-0.07575926224566716,-68.48420130863138,-87.12113944900551,-33.08264726885029,-0.01487852789679955,-0.01913346471710586,-0.00703480563825938,-6.497173754060941,-8.355224767295136,-3.071967527624184,0.9853
48479001001,48479001001,Census Tract 10.01; Webb County; Texas,2327,1516,547,Laredo city,Texas,62694,0.4439939896122459,0.21522744325107712,48479,2327,1516,547,0.009138,0.006897320142,0.003436016044,0.8689886562586002,0.8082792531482578,0.9005245581722181,-0.15076300800687603,-0.2371961745955838,-0.11046388565980451,-3.205843598397221,-5.043769343318494,-2.348917983119677,-137.76723671668333,-216.7498643454445,-100.9418987159294,0.8568711443428796,0.7912570173910722,0.8911383154766628,-0.16703661525080715,-0.2638118563512951,-0.12216025574560552,-3.551887633306685,-5.60972855374784,-2.59763107036678,-152.63805901618758,-241.0712743338135,-137.76723671668333,-0.3460440349094642,-0.5659592104293463,-0.24871308724710284,-14.870822299504264,-24.321409988368984,-10.688142984404935,0.9163885076924376,0.8895665064443561,0.9437316561882304,-0.0912402235576969,-0.12414304355618376,-0.05962324506421618,-0.4752703539556282,-0.646661153945618,-0.3105775027801618,-31.350287200239325,-42.65574894100383,-20.48664266359906,0.9084219041854016,0.8792173810200401,0.9382819795124486,-0.1008100920868022,-0.13737514929451433,-0.06577768926098461,-0.5251198022119726,-0.7155871970066353,-0.3426360045871923,-34.63850938073698,-47.20232170228465,-22.601319563798963,-0.04984944825634441,-0.06892604306101735,-0.03205850180703051,-3.288222180497652,-4.546572761280828,-2.114676900199902,0.8895665064443561,0.8632609931898173,0.9437316561882304,-0.12414304355618376,-0.15839822242508758,-0.05962324506421618,-0.4683711102006594,-0.5976102177442852,-0.2249486131847127,-85.62543148092495,-109.25232499895525,-41.12406091128204,0.8792173810200401,-0.13737514929451433,-0.5182936501789029,0.8506606220483489,-0.17555694254666357,-0.6623472224345865,0.9382819795124486,-0.06577768926098461,-0.2481683102256014,-94.75203842393108,-121.08724358950394,-45.36897810340062,-0.04992253997824347,-0.0647370046903013,-0.02321969704088866,-9.126606943006118,-11.834918590548686,-4.244917192118586,0.9731
48479000601,48479000601,Census Tract 6.01; Webb County; Texas,1315,855,352,Laredo city,Texas,45680,0.34743759150713743,0.20044729236880204,48479,1315,855,352,0.009138,0.006897320142,0.003436016044,0.9039249336405076,0.8580413315408673,0.9274025759799136,-0.10628655409753492,-0.1654450237312041,-0.07828037779966107,-1.2771891887164055,-1.988065164315302,-0.9406538114182932,-97.12465313432742,-151.1836626855743,-71.53260923333029,0.8948404398924714,0.84500451405282,0.9204392453022896,-0.11751766618880692,-0.18342563071502305,-0.08643781227687782,-1.4121475102278125,-2.204128588718153,-1.038677378090734,-107.38764336333176,-167.61434134738806,-97.12465313432742,-0.13495832151140696,-0.2160634244028512,-0.0980235666724406,-10.262990229004332,-16.43067866181378,-7.454263625280655,0.939125388609262,0.9192711663692988,0.9591981758566376,-0.06482053635126006,-0.08781830278604658,-0.04253742883416493,-0.19042936446549064,-0.2579920582168986,-0.12496619119271755,-22.272440288361476,-30.174509732970595,-14.615928794469887,0.933245575700398,0.9115657562995664,0.9552106998650886,-0.07152932308251567,-0.0970135649450304,-0.04688944558644221,-0.21013839597742576,-0.2850058416194302,-0.13775151866653476,-24.577590172798335,-33.33401656367605,-16.111288732928042,-0.01970903151193515,-0.02701378340253163,-0.0127853274738172,-2.3051498844368594,-3.159506830705454,-1.4953599384581528,0.9192711663692988,0.8996353687984808,0.9591981758566376,-0.08781830278604658,-0.11156145554344134,-0.04253742883416493,-0.2132102539221437,-0.2708552261854966,-0.10327478116974562,-60.571094864245374,-76.94750743906154,-29.339426468677733,0.9115657562995664,-0.0970135649450304,-0.23553503267098935,0.8901704498708464,-0.12338035950877572,-0.29954983124601214,0.9552106998650886,-0.04688944558644221,-0.11384085415668446,-66.91336155425834,-85.09938387670799,-32.341151749058085,-0.022324778748845642,-0.02869460506051552,-0.01056607298693884,-6.342266690012966,-8.151876437646456,-3.001725280380354,0.9531
48479000700,48479000700,Census Tract 7; Webb County; Texas,973,572,198,Laredo city,Texas,48209,0.3459564527905288,0.1982188665521213,48479,973,572,198,0.009138,0.006897320142,0.003436016044,0.904471639364514,0.8588280530250684,0.9278210616581092,-0.105617861829924,-0.16437742861062662,-0.07779402874612476,-0.93907734882399585,-1.4615247571925207,-0.6916880251456717,-96.51360214018456,-150.2080942643906,-71.08818346820881,0.8954357903250354,0.8458567982189495,0.9208961334709358,-0.1167746596738206,-0.18223321264972628,-0.08589879320148192,-1.0382754954166895,-1.6202854255689825,-0.763749706623713,-106.70868400993729,-166.5247097193199,-96.51360214018456,-0.09919814659269388,-0.15876066837646174,-0.07206168147804126,-10.19508186975271,-16.316615454929266,-7.406133759305371,0.9394785216132636,0.9197344657961464,0.9594373898347036,-0.06442028954830106,-0.08727033419844027,-0.04227749574392219,-0.12661171291173431,-0.17152121756545927,-0.08309223990281979,-22.134914844708796,-29.986226847108263,-14.526615367625835,0.9336315972203432,0.9120711266445648,0.9554727446300164,-0.0710862860439303,-0.09640571967113816,-0.0466023291823207,-0.13971307027124177,-0.1894759149273832,-0.09159227263370376,-24.42536193553178,-33.12515995233972,-16.012635075822335,-0.01310135735950746,-0.01795469736192392,-0.00850003273088396,-2.2904470908229824,-3.1389331052314557,-1.486019708196498,0.9197344657961464,0.900205111914947,0.9594373898347036,-0.08727033419844027,-0.11085794422202946,-0.04227749574392219,-0.11918242390546276,-0.15139530085349664,-0.05773708174367902,-60.19314338659735,-76.46227315833164,-29.160142294787384,0.9120711266445648,-0.09640571967113816,-0.1316583401941659,0.8907905933383927,-0.12259829355890033,-0.16742873654864915,0.9554727446300164,-0.0466023291823207,-0.06364337437920033,-66.49411120917469,-84.55996795386321,-32.1431183733335,-0.01247591628870313,-0.0160334356951525,-0.00590629263552131,-6.3009678225773404,-8.097694795531568,-2.982976078546116,0.9979
48479001201,48479001201,Census Tract 12.01; Webb County; Texas,1399,788,331,Laredo city,Texas,39883,0.3762224677852926,0.184517252757574,48479,1399,788,331,0.009138,0.006897320142,0.003436016044,0.8933654702222391,0.8428942555519651,0.9193069807589308,-0.11936271697543203,-0.18638843889754003,-0.0877759235271481,-1.5259403743023758,-2.3828013589493633,-1.12213284847832,-109.0736507721498,-170.32175546457208,-80.20963891910793,0.8833485055445395,0.8286104450050075,0.911604821985032,-0.13205602740398684,-0.20683972309081475,-0.09696655379957982,-1.6882124418062667,-2.6442518440558076,-1.239626435700164,-120.67279784176316,-189.01013896038657,-109.0736507721498,-0.1622720675038909,-0.2614504851064443,-0.11749358722184412,-11.59914706961336,-18.68838349581446,-8.398397942948113,0.9322887958671656,0.910313469127574,0.954561047212564,-0.0726290012633403,-0.09852268906707468,-0.04760193485804129,-0.19664887791722044,-0.2667581257820037,-0.12888607737536611,-24.955441360053356,-33.852554033249206,-16.356101189767273,0.9257751336712512,0.9017996564630044,0.950132292658614,-0.08017591273423265,-0.1088937468906922,-0.05248501469395225,-0.2170827493277678,-0.2948386011892625,-0.14210740981570058,-27.548572249716724,-37.416066140769345,-18.03393525579957,-0.02043387141054736,-0.02808047540725877,-0.01322133244033446,-2.5931308896633714,-3.5635121075201495,-1.6778340660322926,0.910313469127574,0.8886341396390423,0.954561047212564,-0.09852268906707468,-0.12532250944825715,-0.04760193485804129,-0.2249285766840377,-0.28611291412760176,-0.1086758345352928,-67.95425277463374,-86.43894686634495,-32.832578409454015,0.9017996564630044,-0.1088937468906922,-0.24860583617688403,0.8782037624387442,-0.13868790225064792,-0.31662627920453507,0.950132292658614,-0.05248501469395225,-0.1198239691195835,-75.10750337670213,-95.6574861645121,-36.20059490017629,-0.02367725949284632,-0.0305133650769333,-0.0111481345842907,-7.153250602068376,-9.218539298167162,-3.3680164907222667,0.9762
