geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48409010900,48409010900,Census Tract 109; San Patricio County; Texas,3569,2424,996,Corpus Christi city,Texas,69757,0.54894068695107,0.23221471489908876,48409,3569,2424,996,0.014432,0.006897320142,0.003436016044,0.8325462171050773,0.7574605194417489,0.8721936750481261,-0.20113451896663664,-0.32020082147252193,-0.14653434048902247,-10.35999818510588,-16.49284243384894,-7.5476626753151965,-290.27733777265,-462.1138255491437,-211.47836019375725,0.8174273923200943,0.7367090441803721,0.8603481441660509,-0.2233502441870856,-0.35738797819776064,-0.1623201686211759,-11.50428149434152,-18.40827136251844,-8.360756079867153,-322.3390724108019,-515.7823301350081,-290.27733777265,-1.1442833092356413,-1.9154289286695023,-0.8130934045519567,-32.0617346381519,-53.66850458586446,-22.782107160323807,0.8922997626255784,0.8583682130153604,0.927203872098767,-0.12069961450792643,-0.16500120209146787,-0.07851145804261556,-1.0052953681761334,-1.3742789890613416,-0.6539143098407579,-41.47258119538504,-56.694677766557,-26.976662947225982,0.8821894406582828,0.8453586272282216,0.9202223145052002,-0.1335433795872777,-0.18292990429259537,-0.08669392627986416,-1.112269840272449,-1.5236054086500228,-0.7220652931946788,-45.885719483186826,-62.85500860767421,-29.78817216149665,-0.10697447209631528,-0.1493264195886812,-0.06815098335392089,-4.413138287801785,-6.1603308411172115,-2.811509214270664,0.8583682130153604,0.825391832578841,0.927203872098767,-0.16500120209146787,-0.2115457901680661,-0.07851145804261556,-1.133513850181135,-1.4532626433235816,-0.5393525862913796,-113.8066114639694,-145.90990394815077,-54.151866093512005,0.8453586272282216,-0.18292990429259537,-1.2566792089976442,0.8097038119054882,-0.2350195037944614,-1.6145207382552464,0.9202223145052002,-0.08669392627986416,-0.5955639408634935,-126.172611345145,-162.1004757284384,-59.79557639191702,-0.12316535881650914,-0.16125809493166487,-0.0562113545721139,-12.365999881175616,-16.190571780287637,-5.6437102984050105,0.8208
48355001000,48355001000,Census Tract 10; Nueces County; Texas,1614,953,440,Corpus Christi city,Texas,51079,0.5213238877694667,0.2209351314545678,48355,1614,953,440,0.012695,0.006897320142,0.003436016044,0.8419852233344944,0.7705152311663717,0.8795613891722017,-0.18766929904033627,-0.2978328779902826,-0.13693030675340234,-3.845293266625749,-6.102515255143832,-2.8056650141943904,-238.24617513170688,-378.0988386086637,-173.83302442344427,0.8276275076426395,0.7506877878868486,0.868345928242445,-0.20827303438516095,-0.33211171959377905,-0.15161477410739546,-4.267458240832664,-6.804879464312242,-3.1065457854715235,-264.4026171519618,-421.61582802430246,-238.24617513170688,-0.4221649742069147,-0.7023642091684099,-0.3008807712771331,-26.156442020254936,-43.51698941563878,-18.641931305894243,0.8985766529207491,0.8664703874453693,0.93152489841467645,-0.11287111316500684,-0.15410753153182594,-0.07350861120498066,-0.36959908881936526,-0.5046287011548941,-0.2407056594012655,-38.78269557391031,-52.95159508445899,-25.25767674724717,0.8890181826715814,0.8541400720525382,0.9249407515377384,-0.12483638635478528,-0.17076815936870127,-0.08115033134551974,-0.4087796545496937,-0.5591843150316318,-0.2657286499766032,-42.893982639002495,-58.67621353952065,-27.883384047912195,-0.03918056573032846,-0.05455561387673768,-0.02502299057533769,-4.111287065092179,-5.724618455061667,-2.625707300665025,0.8664703874453693,0.835193020642673,0.93152489841467645,-0.15410753153182594,-0.19732801314660128,-0.07350861120498066,-0.4676887517580797,-0.5988551710490332,-0.2230854668568064,-106.2928981268363,-136.10344796568936,-50.701242467456,0.8541400720525382,-0.17076815936870127,-0.518250772699444,0.8202864583817129,-0.219086320128741,-0.6648877350106751,0.9249407515377384,-0.08115033134551974,-0.246276718564548,-117.7842665226009,-151.11084886606253,-55.97198149194273,-0.05056202094136425,-0.06603256396164192,-0.02319125170774161,-11.491368395764605,-15.007400900373163,-5.27073902448673,0.9967
48355005408,48355005408,Census Tract 54.08; Nueces County; Texas,2479,1549,605,Corpus Christi city,Texas,55609,0.560548944342388,0.16534464752792616,48355,2479,1549,605,0.012695,0.006897320142,0.003436016044,0.8286103447347747,0.7520394332074516,0.8691152328603519,-0.20683986913062796,-0.32971750661397564,-0.15059541265764295,-6.509437871622425,-10.3765083274853,-4.739373925184479,-262.5832138613322,-418.5763746464421,-191.18087636887773,0.8131775608063003,0.7309112976096541,0.8570084380685848,-0.2297437216645,-0.36815507335892034,-0.16684965465879323,-7.230242838849921,-11.586173338946612,-5.250909631049689,-291.6596546530827,-467.3728656291494,-262.5832138613322,-0.7208049672274957,-1.209665011461313,-0.5115357058652101,-29.07644079175053,-48.79649098270726,-20.634760220460272,0.8896744834376226,0.8549852565298539,0.9253935898779384,-0.12400660985138016,-0.1696108118386981,-0.08062127395101402,-0.6600113978666441,-0.9027346941354156,-0.4290977697234919,-42.60887010113906,-58.278547071363185,-27.701599078340344,0.8793347746124923,0.8416944981145784,0.918246191054462,-0.13722330660775103,-0.18807952557612148,-0.08903255983197342,-0.7303557973450789,-1.0010323702451382,-0.4738659039286074,-47.15014831149638,-64.62442674274617,-30.591730402105057,-0.07034439947843485,-0.09829767610972252,-0.04476813420511544,-4.5412782103573175,-6.345879671382989,-2.8901313237647153,0.8549852565298539,0.8213064801256078,0.9253935898779384,-0.1696108118386981,-0.21757227563462475,-0.08062127395101402,-0.7077653416215948,-0.9079027116406612,-0.3364227957010975,-116.98600687960244,-150.0665639075473,-55.60707366960289,0.8416944981145784,-0.18807952557612148,-0.784833043532662,0.8052964310622143,-0.2417787555334933,-1.0089134156715585,0.918246191054462,-0.08903255983197342,-0.37152207127484865,-129.7244700053987,-166.7625480448857,-61.40860682228904,-0.07706770191106727,-0.10101070403089728,-0.03509927557375114,-12.738463125796244,-16.695984137338392,-5.801533152686139,0.5996
48355001100,48355001100,Census Tract 11; Nueces County; Texas,1305,935,466,Corpus Christi city,Texas,65863,0.480674448892192,0.24855975456874976,48355,1305,935,466,0.012695,0.006897320142,0.003436016044,0.856073619314204,0.7901410129034799,0.8905193739492994,-0.16812383589286942,-0.26559687912587254,-0.1229401956356918,-2.7853033861412704,-4.400136856556352,-2.036747147591615,-213.43320966599777,-337.17523805029515,-156.07257835951071,0.842873161686514,0.77174720494717,0.8802533966225604,-0.1864181296259204,-0.29576109066498674,-0.13603651384577975,-3.0883844930593827,-4.899866595019568,-2.253713523970187,-236.65781556010597,-375.46870459920063,-213.43320966599777,-0.3030811069181123,-0.4997297384632162,-0.21696637637857208,-23.224605894108223,-38.29346654890546,-16.625775967706673,0.9078960855188792,0.8785353917876028,0.9379217203104164,-0.10144763916289144,-0.13825807058864953,-0.06618705841361462,-0.32591829426329255,-0.44417824708600384,-0.2126375079644126,-34.85757157896177,-47.50569487550843,-22.741979461434504,0.8991657542896593,0.8672317870922602,0.9319299146348712,-0.11214199965833856,-0.15309426485956892,-0.0730420649623621,-0.36027579888019473,-0.49184211753224305,-0.2346604161362246,-38.53217100322938,-52.603435030186425,-25.097370709756643,-0.03435750461690218,-0.04766387044623921,-0.02202290817181199,-3.6745994242676128,-5.09774015467799,-2.355391248322138,0.8785353917876028,0.8498316101971399,0.9379217203104164,-0.13825807058864953,-0.17670369988711612,-0.06618705841361462,-0.44438234158035994,-0.5679524065931554,-0.21273521230935488,-95.361017506515,-121.87819883973292,-45.65133311359547,0.8672317870922602,-0.15309426485956892,-0.49206811299451375,0.8361152970702236,-0.19600730127057112,-0.6299970998771788,0.9319299146348712,-0.0730420649623621,-0.2347682397392284,-105.59401566405874,-135.19251070325723,-50.379450587817246,-0.04768577141415381,-0.0620446932840234,-0.02203302742987351,-10.232998157543737,-13.314311863524336,-4.728117474221783,0.9762
48355002603,48355002603,Census Tract 26.03; Nueces County; Texas,1941,1237,457,Corpus Christi city,Texas,51830,0.5288957130506033,0.2094114920672326,48355,1941,1237,457,0.012695,0.006897320142,0.003436016044,0.8393866902463173,0.7669137354796874,0.8775351783735331,-0.1913460287374236,-0.3039276175885966,-0.1395554556040126,-4.714956537388711,-7.489078905362521,-3.438785283761197,-242.9137834821593,-385.8361105287234,-177.16565088929403,0.8248182970319603,0.7468289897979916,0.8661457702646544,-0.21238823580710617,-0.3389946208040051,-0.1545400720417371,-5.233457456581723,-8.353164756258385,-3.8080211424800834,-269.62686535712123,-430.3536711106845,-242.9137834821593,-0.5185009191930119,-0.8640858508958642,-0.3692358587188864,-26.713081874961972,-44.517560581961064,-19.022970567691218,0.8968513085450392,0.8642413976853209,0.9303381829656392,-0.11501203206393124,-0.15708412334595218,-0.07487795116857379,-0.4888416028443665,-0.6676627937079915,-0.31825763800609325,-39.518318742471024,-53.974356807436656,-25.72818415570681,0.8871406726210943,0.8517233860690528,0.9236446737933948,-0.12721694637836645,-0.17409010525739602,-0.08266742436029559,-0.5407167829362217,-0.739944200325618,-0.35136563976922935,-43.71194688247548,-59.817639476606146,-28.404659641813204,-0.05187518009185521,-0.0722814066176265,-0.03310800176313611,-4.193628140004463,-5.843282669169482,-2.676475486106395,0.8642413976853209,0.8324942612104559,0.9303381829656392,-0.15708412334595218,-0.20120948166776417,-0.07487795116857379,-0.49514098598969886,-0.6342274382754814,-0.23602094075952024,-108.34594879424483,-138.78062106684496,-51.64572007866964,0.8517233860690528,-0.17409010525739602,-0.5487451216082351,0.8173712788673305,-0.2234342285500252,-0.7042815140805763,0.9236446737933948,-0.08266742436029559,-0.2605739468452804,-120.07551895147375,-154.109740499032,-57.01836911275282,-0.05360413561853622,-0.07005407580509482,-0.02455300608576013,-11.729570157228933,-15.329119432187053,-5.372649034083181,0.7498
48355002602,48355002602,Census Tract 26.02; Nueces County; Texas,1189,905,369,Corpus Christi city,Texas,56814,0.4456594337329894,0.23825500600320643,48355,1189,905,369,0.012695,0.006897320142,0.003436016044,0.8683980598930316,0.8074467501778385,0.9000678549497764,-0.15154564039811297,-0.2384717627258417,-0.11102734588360544,-2.2874836948714585,-3.5995774440596224,-1.6758861734749293,-192.3871904854044,-302.739902780456,-140.9492155992371,0.8562305691669074,0.7903605959264355,0.8906411908215364,-0.16790971498830848,-0.26524526292689465,-0.12278660621747124,-2.534488845982349,-4.003706160686887,-1.853384623491718,-213.1613831776576,-336.7288612856928,-192.3871904854044,-0.2470051511108906,-0.4041287166272647,-0.17749845001678866,-20.774192692253205,-33.98895850523673,-14.92838099384261,0.9160012007687052,0.8890626597168607,0.943467082878022,-0.09170162567560304,-0.12478011428178688,-0.05992039165746592,-0.28515487265944023,-0.3880155595531578,-0.18632812152352407,-31.50882570822544,-42.87464746443733,-20.588742709781663,0.9079995792440148,0.8786696130067663,0.9379926335142256,-0.10132209624214047,-0.13808419592211324,-0.0661064535799833,-0.31507063521123463,-0.4293858589131545,-0.20556426577705125,-34.81443482997068,-47.44595126112205,-22.71428351127638,-0.0299157625517944,-0.0413702993599967,-0.01923614425352718,-3.305609121745238,-4.5713037966847185,-2.1255408014947164,0.8890626597168607,0.86264666993453,0.943467082878022,-0.12478011428178688,-0.15922316152439833,-0.05992039165746592,-0.3175792579604705,-0.4052406409313511,-0.15250405586506477,-86.06483955568305,-109.8213119055152,-41.32901242955685,0.8786696130067663,-0.13808419592211324,-0.3514396242495969,0.8499947536617932,-0.17647784964787297,-0.449155739760462,0.9379926335142256,-0.0661064535799833,-0.1682482709297671,-95.2410905825466,-121.72242269931218,-45.59573737934067,-0.03386036628912642,-0.04391509882911088,-0.01574421506470233,-9.176251026863527,-11.901110793796986,-4.26672494978383,0.4326
48355980000,48355980000,Census Tract 9800; Nueces County; Texas,0,0,0,Corpus Christi city,Texas,210173,0.677512594465349,0.17442946145625798,48355,0,0,0,0.012695,0.006897320142,0.003436016044,0.789976437696555,0.6995358401702284,0.8386970189243542,-0.2658605399875471,-0.4295193220645496,-0.192325687865828,-0,-0,-0,NA,NA,NA,0.7715703883483938,0.6749800971263507,0.82407285613774806,-0.29605803320235957,-0.48152516534544326,-0.21348493953166295,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.8636496130941623,0.8216340866829714,0.9073494251422968,-0.15787697329862824,-0.2170867983789617,-0.10211123993732982,-0,-0,-0,NA,NA,NA,0.8510818737919671,0.8056497805423125,0.8985702281644773,-0.1749750885241312,-0.2412341244937263,-0.11287907016763152,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.8216340866829714,0.781254465060636,0.9073494251422968,-0.2170867983789617,-0.27999268448646414,-0.10211123993732982,-0,-0,-0,NA,NA,NA,0.8056497805423125,-0.2412341244937263,-0,0.7622049479174741,-0.31198308634998867,-0,0.8985702281644773,-0.11287907016763152,-0,NA,NA,NA,0,0,0,NA,NA,NA,-999
48355001802,48355001802,Census Tract 18.02; Nueces County; Texas,1577,1080,486,Corpus Christi city,Texas,110572,0.5677681253342034,0.24065670521448215,48355,1577,1080,486,0.012695,0.006897320142,0.003436016044,0.8261720133852886,0.7486876418579662,0.8672062303807845,-0.21040168850847535,-0.33567050408147425,-0.15312824673884856,-4.2122449599650045,-6.720128526768676,-3.0656297966354495,-267.10494356150946,-426.1337049314315,-194.39630923496827,0.810545738993606,0.727328710155997,0.8549380145915756,-0.233736668878952,-0.3748941655080832,-0.16967544188302822,-4.679411617006653,-7.505386816884308,-3.396904891629853,-296.72870114182956,-475.9281431125116,-267.10494356150946,-0.4671666570416484,-0.7852582901156326,-0.33127509499440366,-29.623757580320127,-49.79443818108007,-21.00666423553606,0.8880457178921941,0.8528881216712502,0.9242695574236108,-0.12606815150635836,-0.1724867243320043,-0.08193545050589641,-0.4678259665103317,-0.6400805243563136,-0.3040540443114782,-43.31721912132701,-59.26671521817718,-28.1531522510628,0.8775641169846721,0.8394237884844185,0.9170193796673012,-0.1395178775495289,-0.19129337733625856,-0.09048949473980004,-0.5177365189398094,-0.7098700827293968,-0.335797224198559,-47.938566568500875,-65.72871136383303,-31.092335573940648,-0.04991055242947778,-0.0697895583730832,-0.03174317988708081,-4.621347447173869,-6.461996145655852,-2.9391833228778528,0.8528881216712502,0.8187760017707565,0.9242695574236108,-0.1724867243320043,-0.22133525877323304,-0.08193545050589641,-0.5781923327698889,-0.7419373872971016,-0.27465562609542743,-118.96961579627344,-152.66201384714023,-56.51350331181634,0.8394237884844185,-0.19129337733625856,-0.6412340689628351,0.8025675860767834,-0.24600098153518984,-0.8246192970986952,0.9170193796673012,-0.09048949473980004,-0.30332961714819773,-131.94116645325826,-169.67475248944345,-62.41350147082258,-0.06304173619294617,-0.08268190980159362,-0.02867399105277029,-12.971550656984808,-17.012738642303216,-5.899998159006234,0.7163
48007950101,48007950101,Census Tract 9501.01; Aransas County; Texas,959,719,355,Corpus Christi city,Texas,18173,0.05831285029549699,0.08370277480715939,48007,959,719,355,0.019223,0.006897320142,0.003436016044,1.0171631489378483,1.0261296386002676,1.0127785319213054,0.01687354575887907,0.02546426651890767,0.01261730133345511,0.3110614031478922,0.4694301118859508,0.2325981458081544,32.43601701229324,48.94995952929623,24.254238353300774,1.018895582636609,1.028779863386469,1.0140653318899795,0.01854516101415684,0.02797475379400745,0.01387024232823859,0.3418773913379564,0.5157105858027349,0.25569593387642553,35.64936301751371,53.77586921822053,32.43601701229324,0.0308159881900642,0.04628047391678408,0.02309778806827112,3.2133460052204588,4.8259096889243045,2.4085284742722752,1.010637492921416,1.0142823028916288,1.0070429631953326,0.0105255276950657,0.01408119105589362,0.0069937067759109,0.0260032691808729,0.03478751964002278,0.01727792136743514,3.61658820318121,4.838319838667981,2.4030488689061396,1.0117074460463265,1.0157217045634013,1.0077499819529048,0.0115719678569909,0.01547835838573431,0.00769038163403008,0.02858849492921933,0.03823921529093067,0.01899905349420842,3.976146721727306,5.318388774816505,2.642427467901032,0.00258522574834642,0.00345169565090788,0.00172113212677327,0.3595585185460955,0.480068936148524,0.2393785989948929,1.0142823028916288,1.0179786312723569,1.0070429631953326,0.01408119105589362,0.01766110871098114,0.0069937067759109,0.0344784813560737,0.04324408389901716,0.01712443128751992,9.712248269316536,12.181432084230186,4.8237834612732176,1.0157217045634013,0.01547835838573431,0.03789951353595205,1.0197941770393404,0.01940997260526306,0.04752626222711194,1.0077499819529048,0.00769038163403008,0.01883027357114222,10.675919305901989,13.387679500594912,5.304302414406259,0.00342103217987835,0.00428217832809477,0.00170584228362229,0.9636710365854516,1.2062474163647263,0.48051895313304177,0.4199
48355002707,48355002707,Census Tract 27.07; Nueces County; Texas,1216,371,154,Corpus Christi city,Texas,52546,0.47694432630732136,0.2584333911412064,48355,1216,371,154,0.012695,0.006897320142,0.003436016044,0.8573781645195759,0.7919667869667482,0.8915317265775385,-0.16634647508237035,-0.2626792138973707,-0.12166507392715624,-2.567910497423561,-4.055010546439379,-1.878158346022382,-211.17685011706916,-333.4712620427121,-154.45381135052483,0.8442861416503843,0.7737090301855849,0.8813542095308555,-0.18443256458673016,-0.2924755444047694,-0.13461760230577394,-2.847107631433104,-4.514980076041754,-2.078108080906509,-234.13714074285392,-371.29770362185474,-211.17685011706916,-0.27919713400954294,-0.45996952960237447,-0.19994973488412704,-22.960290625784783,-37.82644157914264,-16.44323477665518,0.9087560929691868,0.8796508952253265,0.93851090899409,-0.10040527676979975,-0.13681462205963604,-0.06551771579492331,-0.12799282663870148,-0.17440607472321182,-0.08351949129854541,-34.49941418832924,-47.00972364507057,-22.511992263758874,0.9001027100296262,0.8684431299551469,0.9325739020486424,-0.11098432307473644,-0.1514858780121246,-0.07230107748376659,-0.14147859236010857,-0.19310843360425128,-0.09216666268833508,-38.134391471727376,-52.0507907289087,-24.84276622327091,-0.01348576572140708,-0.01870235888103943,-0.00864717138978966,-3.6349772833981353,-5.041067083838124,-2.33077395951204,0.8796508952253265,0.8511876786171544,0.93851090899409,-0.13681462205963604,-0.17482903608826572,-0.06551771579492331,-0.14532275426161495,-0.18570118213077816,-0.06959208576476403,-94.36542484520452,-120.585183201804,-45.1896660810156,0.8684431299551469,-0.1514858780121246,-0.1609063760368036,0.8375830136749466,-0.1939115092752884,-0.2059703428382702,0.9325739020486424,-0.07230107748376659,-0.07679728641463124,-104.4846597641582,-133.74697586900663,-49.868367801708594,-0.01558362177518865,-0.02026916070749204,-0.00720520064986721,-10.119234918953673,-13.161792667202628,-4.6787017206929935,0.5428
48355001906,48355001906,Census Tract 19.06; Nueces County; Texas,3456,2366,758,Corpus Christi city,Texas,75388,0.5612845543459977,0.22486180997944097,48355,3456,2366,758,0.012695,0.006897320142,0.003436016044,0.828361558130759,0.7516972115799955,0.8689205198665166,-0.20720232630851695,-0.330322880802093,-0.15085324507426728,-9.090778288273768,-14.492559646480563,-6.618523206128796,-263.04335324866224,-419.344897178257,-191.5081946217823,0.8129089965619604,0.7305454381270585,0.8567972397333862,-0.2301499973912264,-0.3688402497779709,-0.1671372801237956,-10.097582573542876,-16.182467611538712,-7.332967657168998,-292.1754216881619,-468.2426970931341,-263.04335324866224,-1.0068042852691068,-1.6899079650581488,-0.7144444510402019,-29.132068439499623,-48.89779991487699,-20.672582495376215,0.8895083811666888,0.8547713298809531,0.9252789922713376,-0.12421650112884731,-0.1699035344801205,-0.08075511100196957,-1.009832201652351,-1.3812501457805986,-0.6565078777513599,-42.68098908082635,-58.3791270406001,-27.747585703776835,0.8791541872669337,0.8414628397414156,0.9181211080823448,-0.13745690401446542,-0.18840660902780143,-0.0891809274363309,-1.1174715657886736,-1.531672998928271,-0.7250065126614174,-47.230412755227114,-64.73681314151611,-30.64270974900327,-0.10763936413632225,-0.15042285314767234,-0.06849863491005748,-4.549423674400772,-6.357686100915991,-2.895124045226436,0.8547713298809531,0.8210482755423918,0.9252789922713376,-0.1699035344801205,-0.21795517972361747,-0.08075511100196957,-0.8882843354895786,-1.13950644157999,-0.4222013410919645,-117.18790705667266,-150.33066511609366,-55.69938536833305,0.8414628397414156,-0.18840660902780143,-0.9850215300946976,0.8050179470101233,-0.24220833052735,-1.2663060047035155,0.9181211080823448,-0.0891809274363309,-0.4662529305733449,-129.9500699333374,-167.0588396706485,-61.51094070888455,-0.09673719460511888,-0.12679956312352547,-0.04405158948138038,-12.76216287666476,-16.728174554554812,-5.811555340551502,0.6261
