geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
36067005200,36067005200,Census Tract 52; Onondaga County; New York,1147,700,271,Syracuse city,New York,43646,0.7256469156285645,0.2090033424449007,36067,1147,700,271,0.01312599999999999,0.00825263846,0.002817342485,0.7746053930066304,0.6790085530967239,0.8264903048548775,-0.2909799092909752,-0.47273549860210856,-0.20993554809525425,-4.380854425888281,-7.117279699385014,-3.160689262930158,-381.940228935334,-620.5126154651276,-275.5614004298307,0.7550723514605309,0.6532249576166933,0.8108892440207405,-0.32437639660054746,-0.5308661868164432,-0.23321403924605832,-4.883655975300266,-7.992467554671069,-3.511159098577894,-425.77645817787845,-696.8149568152631,-381.940228935334,-0.5028015494119851,-0.8751878552860548,-0.3504698356477358,-43.83622924254447,-76.30234135013555,-30.555347484545404,0.8531619329912987,0.8082897973493509,0.9000262530707931,-0.1721104298381757,-0.23718003527859705,-0.11107870085801076,-0.3394258182662928,-0.467752172988933,-0.2190627201741157,-48.4894026094704,-66.82173899841901,-31.29467431058796,0.8397202308439133,0.7912683717545164,0.8905959081383209,-0.19087282081438783,-0.263793721190515,-0.12284369472387836,-0.37642787511851694,-0.5202380805903978,-0.24226493211196695,-53.77541073121671,-74.31972579862826,-34.60927601599528,-0.03700205685222413,-0.05248590760146471,-0.02320221193785124,-5.286008121746304,-7.497986800209245,-3.3146017054073207,0.8082897973493509,0.7653445952917016,0.9000262530707931,-0.23718003527859705,-0.30660098229198623,-0.11107870085801076,-0.5304448529738471,-0.6857023728092253,-0.24842362923145436,-195.73610810843067,-253.02670583366248,-91.66923587876543,0.7912683717545164,-0.263793721190515,-0.5899654306399108,0.7451483113795041,-0.34201471670610806,-0.7649039511481794,0.8905959081383209,-0.12284369472387836,-0.27473562650427674,-217.6994209003361,-282.2523804974832,-101.37845996467776,-0.05952057766606367,-0.07920157833895414,-0.02631199727282238,-21.963312791905413,-29.225674663820715,-9.709224085912318,0.7531
36067002300,36067002300,Census Tract 23; Onondaga County; New York,959,577,206,Syracuse city,New York,40489,0.4851157374185226,0.23651525919860547,36067,959,577,206,0.01312599999999999,0.00825263846,0.002817342485,0.854522944659181,0.7879726346651268,0.88931551046989,-0.1702435917608289,-0.2690796050613874,-0.1244603160824524,-2.142998072649082,-3.387129401298304,-1.566685798433441,-223.461738545264,-353.1938896035771,-163.36661088982703,0.8411938739037292,0.7694178346089287,0.8789445013657738,-0.1887865937008063,-0.2996839363728411,-0.13772826207584266,-2.3764143029311953,-3.772371643527886,-1.7337005001192027,-247.8012828916783,-393.3651348829912,-223.461738545264,-0.23341623028211345,-0.38524224222958114,-0.1670147016857617,-24.339544346414332,-40.171245279414094,-17.415505910924058,0.9068731748371888,0.8772090569177878,0.9372206823217448,-0.10269002077333506,-0.1399791100124496,-0.06698456282754477,-0.1669335769450139,-0.2275509670363749,-0.1088905483579727,-28.93129583102494,-39.43690936505631,-18.871845469319357,0.8980514352818464,0.8657916991973826,0.9311637278398112,-0.11352196624033883,-0.15501222860768113,-0.07392499310500492,-0.18454205913698363,-0.25198890405149954,-0.120172957719942,-31.983025846964235,-43.67225373509524,-20.82720237780624,-0.01760848219196972,-0.02443793701512464,-0.0112824093619693,-3.051730015939294,-4.235344370038933,-1.9553569084868816,0.8772090569177878,0.8482198180026141,0.9372206823217448,-0.1399791100124496,-0.17893967905017527,-0.06698456282754477,-0.23797057929837437,-0.3042052423340037,-0.11387667215987776,-115.51969868853124,-147.67244773495324,-55.279937941688225,0.8657916991973826,-0.15501222860768113,-0.26352753519308064,0.8343711069910175,-0.19850746462960353,-0.3374713294630673,0.9311637278398112,-0.07392499310500492,-0.12567570569824127,-127.92598795780614,-163.8210337199356,-61.00762412535983,-0.02555695589470627,-0.03326608712906359,-0.011799033538363519,-12.406289269274891,-16.148585984982326,-5.727686183671612,0.9733
36067004301,36067004301,Census Tract 43.01; Onondaga County; New York,938,372,250,Syracuse city,New York,35346,0.5691641689747351,0.2650335662985073,36067,938,372,250,0.01312599999999999,0.00825263846,0.002817342485,0.82570131799073,0.7480411989952966,0.8668375520178967,-0.21109168437978296,-0.33682476492352603,-0.15361868861370467,-2.599000503320551,-4.147049828794258,-1.8913821745253911,-277.0789449169031,-442.11618643862033,-201.63989067434875,0.81003778157406,0.7266379390840858,0.8545382140836729,-0.23451031883575435,-0.3762011948625779,-0.17022268111474304,-2.8873351334457484,-4.631859836972693,-2.0958136517487658,-307.8182445038112,-493.8016883766197,-277.0789449169031,-0.2883346301251972,-0.4848100081784352,-0.20443147722337465,-30.73929958690802,-51.68550193799949,-21.794400556862968,0.8877310918060896,0.8524831721283104,0.92405234986507,-0.12646724805537596,-0.17304368308338447,-0.08218977003415416,-0.13254417693756929,-0.18135867508155049,-0.0861391039132521,-35.63015509074443,-48.752332011169486,-23.15567309496024,0.8772221192328459,0.8389853865183018,0.916782328345841,-0.1399621351027111,-0.19191587370775476,-0.09077146131766033,-0.14668751226001817,-0.20113770096990372,-0.0951331575152296,-39.43212695161779,-54.069274454275195,-25.573429439577847,-0.01414333532244888,-0.01977902588835323,-0.00899405360197749,-3.801971860873355,-5.316942443105707,-2.4177563446176067,0.8524831721283104,0.8182875587878354,0.92405234986507,-0.17304368308338447,-0.22206428444463097,-0.08218977003415416,-0.3570167385684975,-0.4581540636000353,-0.16957061430060402,-142.806695427399,-183.26162544001411,-67.82824572024161,0.8389853865183018,-0.19191587370775476,-0.39595308011127994,0.8020409505975754,-0.2468191296902378,-0.5092272605863462,0.916782328345841,-0.09077146131766033,-0.18727601318513143,-158.381232044512,-203.6909042345385,-74.91040527405258,-0.03893634154278241,-0.05107319698631085,-0.01770539888452743,-15.574536617112964,-20.42927879452434,-7.082159553810975,0.8214
36067004000,36067004000,Census Tract 40; Onondaga County; New York,717,523,168,Syracuse city,New York,43159,0.5997621847057288,0.24711404185375396,36067,717,523,168,0.01312599999999999,0.00825263846,0.002817342485,0.8154518585955981,0.734012023716233,0.8587962317723951,-0.2263139625706877,-0.36237550297486304,-0.1644205726615576,-2.129918101127941,-3.410439790918453,-1.5474182411537687,-297.0597072702847,-475.6540852048052,-215.81844367556047,0.7989841419213729,0.7116615324576951,0.8458223235761668,-0.25158929637230376,-0.40516236215064105,-0.1822813989727352,-2.3677929116991097,-3.8131215557275384,-1.715512585970859,-330.2361104182859,-531.8161165589314,-297.0597072702847,-0.23787481057116855,-0.4026817648090853,-0.16809434481709062,-33.17640314800119,-56.16203135412625,-23.44412061605169,0.8808631493984327,0.84365575311536,0.91930446648749,-0.13525012447498724,-0.18531758517299143,-0.08777889856320852,-0.1992870170935131,-0.2730599243990234,-0.12933958416911495,-38.104592178491984,-52.210310592547486,-24.730322020863277,0.8697597101559362,0.8294339346161269,0.9116020794584616,-0.14974284083671044,-0.20564153245407463,-0.0969698539894197,-0.22064160160514737,-0.3030066534311429,-0.14288218236071812,-42.187686731385725,-57.93626260633708,-27.31972894086389,-0.02135458451163424,-0.02994672903211953,-0.01354259819160316,-4.083094552893737,-5.725952013789586,-2.589406920000606,0.84365575311536,0.8076549068306147,0.91930446648749,-0.18531758517299143,-0.23815257177620897,-0.08777889856320852,-0.25693231715977644,-0.3301850282956264,-0.12170046239554112,-152.9359030712955,-196.53870731882523,-72.44075142591734,0.8294339346161269,-0.20564153245407463,-0.28511031691024424,0.7905847259142083,-0.26488656714639947,-0.3672501960237178,0.9116020794584616,-0.0969698539894197,-0.13444320061093645,-169.7085219703835,-218.60130715697483,-80.02571464936693,-0.0281779997504678,-0.03706516772809137,-0.01274273821539533,-16.77261889908798,-22.062599838149627,-7.584963223449601,0.9935
36067005000,36067005000,Census Tract 50; Onondaga County; New York,1564,898,437,Syracuse city,New York,58804,0.7745553575336789,0.1624993282094455,36067,1564,898,437,0.01312599999999999,0.00825263846,0.002817342485,0.7592934485406838,0.6587680027969581,0.8142692318964059,-0.3170138658801016,-0.5179850808695311,-0.22809503396196537,-6.5079979415400215,-10.633748876215778,-4.68257755028736,-416.1124003542213,-679.9072171493464,-299.39754157847574,0.7386702666307706,0.631838006920887,0.7977096159482523,-0.35378401591986214,-0.5826841517072759,-0.25358900031721615,-7.262854704995868,-11.961960242184375,-5.205944817208151,-464.37689929641095,-764.8312175309704,-416.1124003542213,-0.7548567634558463,-1.328211365968599,-0.5233672669207907,-48.26449894218966,-84.92400038162398,-33.46338023790222,0.8426360214805734,0.7949528619420204,0.8926458418158474,-0.1867520192679712,-0.2579362222271421,-0.12026511876845752,-0.4724776694427881,-0.6525718202162339,-0.3042675696558117,-52.61443980431939,-72.66946773009286,-33.88280285699462,0.8283312054843943,0.776918592885537,0.8825658216392938,-0.20724656197784633,-0.28713614162060536,-0.1330599661593306,-0.5243283204494741,-0.726446843988504,-0.33663819515058324,-58.3884543930372,-80.89608507667083,-37.48754957133444,-0.05185065100668601,-0.07387502377227007,-0.03237062549477154,-5.774014588717819,-8.226617346577958,-3.604746714339816,0.7949528619420204,0.7495106731937343,0.8926458418158474,-0.2579362222271421,-0.3342038155893197,-0.12026511876845752,-0.9302219674593442,-1.2052736454988802,-0.43372448596618257,-212.86543877788196,-275.80632620111675,-99.25045445450404,0.776918592885537,-0.28713614162060536,-1.0355286445646716,0.7282082651214837,-0.3732335210905282,-1.3460304927815434,0.8825658216392938,-0.1330599661593306,-0.4798678620709893,-236.9630765594214,-308.0161310712914,-109.80957942127904,-0.10530667710532748,-0.14075684728266324,-0.04614337610480673,-24.09763778153947,-32.20980487017466,-10.559124966774997,0.2612
36067005602,36067005602,Census Tract 56.02; Onondaga County; New York,1880,36,22,Syracuse city,New York,52001,0.79708893575691675,0.1819775449149837,36067,1880,36,22,0.01312599999999999,0.00825263846,0.002817342485,0.7523409948917951,0.6496467058798605,0.8086995904624666,-0.3291845144552097,-0.5392981923084368,-0.2365531178618941,-8.123246761069474,-13.308196775812217,-5.837392903103816,-432.0875936739082,-707.8828072240541,-310.49962250552215,0.7312337024943899,0.6222214301301244,0.7917096627417025,-0.3675518464053182,-0.6071449030466071,-0.2630892953067983,-9.070032807522466,-14.982441915092757,-6.492222969570424,-482.44855359162057,-796.9383997389763,-432.0875936739082,-0.946786046452992,-1.6742451392805382,-0.6548300664666078,-50.36095991771234,-89.05559251492224,-34.83138651418127,0.8378302166870985,0.7888824100279281,0.8892658616570341,-0.19355924396489813,-0.2676160442778764,-0.12452309609257556,-0.01963161652992434,-0.02714277784362128,-0.01262967152347262,-54.53226813867872,-75.39660512117023,-35.082420898535055,0.8231360477539155,0.7703950786531859,0.8788905247156388,-0.2148660026841149,-0.29803529086428254,-0.13779813512444644,-0.02179264024598691,-0.03022802953132591,-0.01397608345583545,-60.53511179440809,-83.96674869812755,-38.82245404398737,-0.00216102371606257,-0.00308525168770463,-0.00134641193236283,-6.002843655729366,-8.570143576957324,-3.7400331454523097,0.7888824100279281,0.7423261577949977,0.8892658616570341,-0.2676160442778764,-0.3471167484793956,-0.12452309609257556,-0.04858784610945464,-0.06302183862944655,-0.02260817002338102,-220.85384595206656,-286.46290286112065,-102.76440919718648,0.7703950786531859,-0.29803529086428254,-0.05411070508412502,0.720533605080281,-0.3878603203921089,-0.07041916193786847,0.8788905247156388,-0.13779813512444644,-0.02501836017217423,-245.95775038238648,-320.08709971758395,-113.71981896442834,-0.00552285897467038,-0.00739732330842192,-0.00241019014879321,-25.10390443031993,-33.62419685646329,-10.955409767241878,0.3738
36067006101,36067006101,Census Tract 61.01; Onondaga County; New York,2113,1457,811,Syracuse city,New York,63476,0.7311452038095976,0.1970832677045599,36067,2113,1457,811,0.01312599999999999,0.00825263846,0.002817342485,0.7728687324646933,0.6767024312788047,0.8251073110072538,-0.29388078207146595,-0.47775440692630694,-0.21196356723496385,-8.150853434378242,-13.250632181649973,-5.878859984590723,-385.74791454700625,-627.1004345314705,-278.2233783526135,0.7532104060072095,0.6507849643783156,0.8093967920841448,-0.32765027145738657,-0.536605875575635,-0.2354879705231647,-9.087458259635223,-14.882891671288624,-6.531314908596957,-430.07374631496566,-704.3488722805786,-385.74791454700625,-0.936604825256982,-1.6322594896386526,-0.6524549240062338,-44.325831767959386,-77.24843774910804,-30.878131756092465,0.851972080009394,0.8067793643157202,0.899193511948494,-0.17374738382151428,-0.2394962541563793,-0.11210766838504532,-0.7132100760447186,-0.9831005099608632,-0.4601871805806936,-48.95058860979538,-67.47429718331252,-31.584569703547945,0.8384321033869159,0.7896420357841657,0.8896895327233262,-0.1927024215323068,-0.2663966135072017,-0.12398759704299896,-0.7910180037947702,-1.0935229342659056,-0.508952719578673,-54.29087191453467,-75.0530497093964,-34.93155247623013,-0.07780792775005152,-0.11042242430504234,-0.04876553899797947,-5.340283304739295,-7.578752526083894,-3.3469827726821877,0.8067793643157202,0.7635479860737211,0.899193511948494,-0.2394962541563793,-0.3096753815593841,-0.11210766838504532,-1.602922034440342,-2.072623199781412,-0.7503242692338097,-197.64759980768707,-255.5638963972148,-92.5184055775351,0.7896420357841657,-0.2663966135072017,-1.7829631749153063,0.7432244180115292,-0.34548862465453556,-2.312317288877701,0.8896895327233262,-0.12398759704299896,-0.8298353224671489,-219.8474938243288,-285.1192711316524,-102.32248119200356,-0.18004114047496445,-0.2396940890962891,-0.07951105323333918,-22.199894016641732,-29.55537473443762,-9.804075614468456,0.9744
36067000100,36067000100,Census Tract 1; Onondaga County; New York,954,413,106,Syracuse city,New York,181580,0.5436713994642849,0.25666830302528965,36067,954,413,106,0.01312599999999999,0.00825263846,0.002817342485,0.8343389749819341,0.759934168688498,0.873594655225285,-0.19855362147219952,-0.31590345743475395,-0.1446956480544369,-2.4863289530136625,-3.955807538303305,-1.811908422849862,-260.62148354440905,-414.654878228858,-189.92750763625384,0.8193638226944235,0.7393559448432874,0.8618684145331944,-0.2204590589703685,-0.35252851752204184,-0.16026992419906755,-2.760633310074984,-4.414434012228582,-2.00693268588526,-289.3745608045056,-462.728932099432,-260.62148354440905,-0.2743043570613213,-0.45862647392527656,-0.19502426303539824,-28.75307726009657,-48.07405387057406,-20.44279486744216,0.8934939995318106,0.8599082380972202,0.9280267740754148,-0.11920169640086932,-0.1629147805500396,-0.07755511795044022,-0.1386986174679014,-0.18956152059604628,-0.09024022276588704,-33.58320035542407,-45.898673267807816,-21.849932873096133,0.8834883035257757,0.8470271294076451,0.9211207307184316,-0.1318768975313606,-0.180599729667849,-0.08563401805108256,-0.1534470055027037,-0.2101390632543441,-0.09964052753044414,-37.154238620509375,-50.88112911727459,-24.126035721657175,-0.0147483880348023,-0.02057754265829778,-0.00940030476455711,-3.5710382650853028,-4.982455849466775,-2.276102848561044,0.8599082380972202,0.8272529791917625,0.9280267740754148,-0.1629147805500396,-0.2088200649056757,-0.07755511795044022,-0.14251453906898998,-0.1826715488791892,-0.06784364101176976,-134.44767836697167,-172.33164988602752,-64.00343491676394,0.8470271294076451,-0.180599729667849,-0.15798497314178434,0.8117123876601936,-0.23196345799594853,-0.20291691880582768,0.9211207307184316,-0.08563401805108256,-0.074910898630386,-149.04242749224937,-191.4310554771959,-70.67065908526982,-0.01547043407279435,-0.02024536992663847,-0.00706725761861623,-14.594749125277696,-19.099405591168377,-6.667224168505882,0.2007
36067012800,36067012800,Census Tract 128; Onondaga County; New York,1802,1466,816,Syracuse city,New York,432597,0.5942153842917712,0.2843135072980014,36067,1802,1466,816,0.01312599999999999,0.00825263846,0.002817342485,0.817300390151495,0.7365355582034004,0.8602484042220451,-0.22354034336706935,-0.3577077017696974,-0.1624549317290946,-5.287411365759147,-8.460878870759144,-3.8425549478447247,-293.41905470361525,-469.52712934290474,-213.2383433876096,0.8009766889247608,0.7143533574363139,0.8473957143146742,-0.24847578441066753,-0.3998674319790708,-0.18008621368677033,-5.877210649406308,-9.458085161707425,-4.25958857681629,-326.1493146174422,-524.8659912157284,-293.41905470361525,-0.589799283647161,-0.9972062909482808,-0.41703362897156504,-32.73025991382692,-55.33886187282358,-23.14282069764512,0.882104213168207,0.8452491743173246,0.9201633475584527,-0.13365290072513425,-0.18308308411855204,-0.08676356502721456,-0.5520164293390941,-0.7561741632181893,-0.35835296580320575,-37.6545995456408,-51.58077511720255,-24.444267790123178,0.8711077670044578,0.8311573135963964,0.9125389766451252,-0.14796359058853692,-0.2031416720296012,-0.09584360295098626,-0.6111227852574069,-0.8390206260795778,-0.39585555711061177,-41.68641099982312,-57.231966308293174,-27.002425450928495,-0.05910635591831281,-0.08284646286138853,-0.03750259130740602,-4.03181145418232,-5.651191191090622,-2.558157660805322,0.8452491743173246,0.8095720858546794,0.9201633475584527,-0.18308308411855204,-0.23522045469772151,-0.08676356502721456,-1.232909497119697,-1.5840105267499571,-0.5842791202749663,-151.09185013721776,-194.11893710171043,-71.60283336703019,0.8311573135963964,-0.2031416720296012,-1.3679870967428776,0.7926492951104099,-0.26159198799351446,-1.7616004663695983,0.9125389766451252,-0.09584360295098626,-0.6454254847483554,-167.6454775420193,-215.8824100943135,-79.09626038582786,-0.13507759962318056,-0.17758993961964142,-0.06114636447338906,-16.55362740480154,-21.763472992603116,-7.49342701879768,0.3167
36067000600,36067000600,Census Tract 6; Onondaga County; New York,1688,1283,506,Syracuse city,New York,42031,0.6473917263443424,0.19056100916267243,36067,1688,1283,506,0.01312599999999999,0.00825263846,0.002817342485,0.7997499037260145,0.7126956268002238,0.8464271158712722,-0.2503908976306535,-0.40312352482037983,-0.1814366308086044,-5.547832996842328,-8.931882164905412,-4.020034820597435,-328.66309222999575,-529.1399386792306,-238.1537215993741,0.7820771839642461,0.688960785519343,0.8324315357493597,-0.27864617521653284,-0.45146141989227095,-0.20129999532008863,-6.17387636666605,-10.00288982459004,-4.460141190708664,-365.750969589221,-592.5882597505948,-328.66309222999575,-0.626043369823722,-1.0710076596846283,-0.4401063701112289,-37.08787735922524,-63.448321071364255,-26.072652257774223,0.8702779362474417,0.8300963362875511,0.911962303514226,-0.1490582012361567,-0.2046794525949975,-0.0965365521650652,-0.5387932879520299,-0.7398446668839176,-0.34894588769498297,-41.994800308030385,-57.665211760243,-27.19765297700569,0.8582696799866141,0.8147818511904191,0.9035965739144126,-0.16513494921036523,-0.22732237903798663,-0.1066885697319151,-0.5969051115804154,-0.8216909301951562,-0.3856418821376089,-46.524170816867915,-64.04449962549931,-30.057824016960943,-0.05811182362838552,-0.08184626331123857,-0.03669599444262594,-4.5293705088375305,-6.379287865256319,-2.8601710399552567,0.8300963362875511,0.7913781381342206,0.911962303514226,-0.2046794525949975,-0.2636184294370744,-0.0965365521650652,-0.854707634363355,-1.100827080305821,-0.4031207191757659,-168.91455224572232,-217.55475895371964,-79.66812631932133,0.8147818511904191,-0.22732237903798663,-0.9492607604821988,0.7730764675647717,-0.29353310048364095,-1.225745812493176,0.9035965739144126,-0.1066885697319151,-0.4455138700688692,-187.60094080675864,-242.24225543343397,-88.04621938119944,-0.0945531261188437,-0.1249187321873546,-0.04239315089310325,-18.686388561036303,-24.68749647971435,-8.378093061878111,0.994
36067001701,36067001701,Census Tract 17.01; Onondaga County; New York,1769,1115,721,Syracuse city,New York,49700,0.6454100988515965,0.2200140848351051,36067,1769,1115,721,0.01312599999999999,0.00825263846,0.002817342485,0.8003971150485952,0.7135700273833612,0.8469381633618907,-0.24937981559227143,-0.4014041532363243,-0.18072374496685317,-5.790572883792089,-9.320561889307204,-4.196386201413364,-327.33594594641545,-526.8830915379992,-237.21798764349143,0.7827734124362065,0.68989065108223,0.8329844095499283,-0.27750889863226774,-0.449505075088787,-0.20050266071643805,-6.443727210298001,-10.437460196023672,-4.655650528553655,-364.25818034471456,-590.0203615615418,-327.33594594641545,-0.6531543265059119,-1.1168983067164682,-0.459264327140291,-36.922234398299146,-63.13727002354258,-25.961804812905086,0.8707157874762228,0.8306561066244611,0.9122666019208536,-0.1484803817540837,-0.20386763189366297,-0.0961707881165618,-0.4664268977908508,-0.6404169088251488,-0.30210484260204584,-41.83200877047989,-57.43649406503577,-27.094604717672276,0.8587446825776067,0.8153862589838738,0.9039282371223312,-0.16449047113561335,-0.22641262221684968,-0.10628251108020996,-0.5167199818694531,-0.7112383181786407,-0.33386917077481604,-46.34259927080297,-63.78818997117854,-29.943423387875875,-0.05029308407860233,-0.0708214093534919,-0.03176432817277019,-4.5105905003230795,-6.351695906142772,-2.848818670203605,0.8306561066244611,0.7920487471055119,0.9122666019208536,-0.20386763189366297,-0.26254855355106843,-0.0961707881165618,-1.213043464854346,-1.5622038875607531,-0.5722308389569984,-168.24458597147657,-216.6718290652917,-79.36627447392489,0.8153862589838738,-0.22641262221684968,-1.3471895915480174,0.7737971083619734,-0.2923284271724256,-1.7393986719658516,0.9039282371223312,-0.10628251108020996,-0.6323971309060261,-186.8501513936224,-241.2480821034468,-87.7111138565917,-0.13414612669367143,-0.1771947844050985,-0.06016629194902767,-18.60556542214583,-24.576253038155137,-8.344839382666805,0.4781
