geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
32031001101,32031001101,Census Tract 11.01; Washoe County; Nevada,1867,1371,461,Reno city,Nevada,67505,0.826072347978249,0.24957427532946255,32031,1867,1371,461,0.011797,0.007296424454,0.004052580321,0.743492043832087,0.638100045631105,0.8015917160613085,-0.34500430542044064,-0.5671523718682112,-0.24751788218769033,-7.5987194818809,-12.49153042324498,-5.451581107665998,-407.0015791044938,-669.0696530929289,-291.99684561681835,0.7217785276775599,0.610067168088192,0.7840586354953227,-0.3854665408482891,-0.6391637713167986,-0.27541481558743125,-8.489900176717027,-14.077581424088718,-6.066011037898358,-454.73487823872665,-754.0215010224273,-407.0015791044938,-0.8911806948361276,-1.586051000843737,-0.6144299302323599,-47.733299134232865,-84.9518479294985,-32.91001233167434,0.8316891139286001,0.7811425070135923,0.8849372331536633,-0.20237235675282536,-0.28017614074431546,-0.13002364748094714,-1.1243985460030124,-1.556683187034365,-0.7224227780879667,-82.01302304908917,-113.54363143941391,-52.69312750459276,0.8165017477406498,0.7620847978169202,0.8741857341562201,-0.22473712122124676,-0.3121899332785739,-0.143921664387738,-1.2486591369922595,-1.73455462340612,-0.7996413777676028,-91.0765234859416,-126.51747800190518,-58.32541048633135,-0.12426059098924712,-0.1778714363717551,-0.07721859967963607,-9.063500436852454,-12.973846562491252,-5.63228298173859,0.7811425070135923,0.7331863679253746,0.8849372331536633,-0.28017614074431546,-0.3639097011986211,-0.13002364748094714,-0.942414944631672,-1.2240654753646616,-0.437354259417077,-204.4284044754169,-265.5239642873453,-94.8707721078258,0.7620847978169202,-0.3121899332785739,-1.0500981914580174,0.7107810157542108,-0.4069030796199565,-1.3686802246321483,0.8741857341562201,-0.143921664387738,-0.4841023472410724,-227.7870263466415,-296.893758054696,-105.01135514990725,-0.10768324682634545,-0.14461474926748674,-0.04674808782399536,-23.358621871224607,-31.369793767350703,-10.140583042081424,0.3614
32031002616,32031002616,Census Tract 26.16; Washoe County; Nevada,4171,2600,892,Reno city,Nevada,78315,0.4414283002789701,0.23270423486122369,32031,4171,2600,892,0.011797,0.007296424454,0.004052580321,0.8698992818440522,0.8095634402962546,0.9012285829400092,-0.14955836942427908,-0.2352336459685684,-0.10959640975630898,-7.359062490773677,-11.5747390619398,-5.392722796228783,-176.434008409822,-277.50513214912013,-129.2908845895177,0.8578589162983288,0.792639983794621,0.8919047007509501,-0.16569284412757712,-0.2616068081913813,-0.1211960192137543,-8.152963949143697,-12.872438078210868,-5.963484908670294,-195.46784821730273,-308.6175516233725,-176.434008409822,-0.7939014583700201,-1.2976990162710678,-0.5707621124415105,-19.033839807480703,-31.112419474252405,-13.684059276948226,0.9169854913998636,0.8903432631412361,0.9441393881133406,-0.09052979504987248,-0.12316231435489494,-0.05916564078349148,-0.9538860912965188,-1.297725445753004,-0.6234111299481848,-36.68792658832764,-49.91251714434632,-23.977351151853263,0.9090728986120128,0.8800619098684201,0.9387279043220468,-0.1000217931112192,-0.13628369639303223,-0.06527141187115777,-1.0539005111275168,-1.4359816277964068,-0.6877458621096435,-40.53463504336603,-55.2300626075541,-26.451763927293975,-0.10001441983099812,-0.13825618204340273,-0.06433473216145869,-3.8467084550383897,-5.317545463207797,-2.474412775440719,0.8903432631412361,0.8642082411921246,0.9441393881133406,-0.12316231435489494,-0.15712851641007108,-0.05916564078349148,-0.8015909138650993,-1.0226569038032232,-0.3850742843983283,-89.86445222702906,-114.6476349555183,-43.1697628249247,0.8800619098684201,-0.13628369639303223,-0.8869902559789198,0.8516874422723141,-0.17413965542568757,-1.1333723815111354,0.9387279043220468,-0.06527141187115777,-0.4248131497456488,-99.4383695043632,-127.05968402591203,-47.62479257238215,-0.0853993421138205,-0.11071547770791224,-0.03973886534732041,-9.573917277334138,-12.41204907039375,-4.455029747457445,0.635
32031002207,32031002207,Census Tract 22.07; Washoe County; Nevada,3594,2789,1293,Reno city,Nevada,142228,0.5125348381544382,0.2616212816147359,32031,3594,2789,1293,0.011797,0.007296424454,0.004052580321,0.8450115787758351,0.7747169078248849,0.881919195457193,-0.18341573667984057,-0.29079408219916836,-0.1338907296167798,-7.776537071529812,-12.3292090490067,-5.67675512061721,-216.37554456120787,-343.0497787703589,-157.95089372891516,0.8309003193839778,0.755191925374116,0.8709067867352572,-0.2035137990335486,-0.32416670041143264,-0.14822850760948908,-8.628663120192389,-13.744155265724691,-6.284654225143298,-240.08522871987728,-382.4194564753671,-216.37554456120787,-0.8521260486625772,-1.4149462167179934,-0.607899104526088,-23.709684158669372,-39.369677705008165,-16.91427669799911,0.9005835214503509,0.8690649134182127,0.9329042851951292,-0.11039118103065348,-0.15066203290476018,-0.07192132769637447,-1.2477124975925449,-1.702879701194331,-0.8129013438609467,-44.736912785677475,-61.05699896716856,-29.14669572825194,0.8912024992556401,0.8569538578862974,0.9264474638279114,-0.12207943855098131,-0.1669239723904508,-0.07939202064214515,-1.379820740724245,-1.8866826548537872,-0.8973399454511064,-49.47367302704357,-67.64728056126883,-32.17425404987832,-0.13210824313170022,-0.18380295365945631,-0.0844386015901597,-4.736760241366089,-6.590281594100262,-3.027558321626379,0.8690649134182127,0.8383365980569477,0.9329042851951292,-0.15066203290476018,-0.19283829707273567,-0.07192132769637447,-1.4213873245401087,-1.819289875892988,-0.6785257146791905,-109.92941411756448,-140.7030066429225,-52.47685341679741,0.8569538578862974,-0.1669239723904508,-1.574806963262298,0.8236833145862655,-0.21405882854662167,-2.019490244064398,0.9264474638279114,-0.07939202064214515,-0.7490062999595061,-121.7948154108506,-156.18640712021636,-57.92778808658206,-0.15341963872218933,-0.2002003681714093,-0.07048058528031553,-11.865401293286103,-15.483400477293836,-5.450934669784651,0.0991
32031000106,32031000106,Census Tract 1.06; Washoe County; Nevada,900,734,431,Reno city,Nevada,40422,0.4440138602597878,0.29987318483163955,32031,900,734,431,0.011797,0.007296424454,0.004052580321,0.8689816074034533,0.8082693153808634,0.9005191078162673,-0.1507723425677951,-0.23721138606974265,-0.1104706066981421,-1.6007951927450508,-2.5185444493182785,-1.1728995724961842,-177.86613252722788,-279.8382721464754,-130.32217472179823,0.8568634987264598,0.7912463160701418,0.8911323825773793,-0.16704702847802627,-0.2638289489506485,-0.12216772676103203,-1.7735884154597483,-2.8011510996937203,-1.2970914053399056,-197.0653794955276,-311.2390110770801,-177.86613252722788,-0.17279322271469755,-0.28260665037544186,-0.12419183284372148,-19.199246968299725,-31.40073893060465,-13.799092538191276,0.9163838857140308,0.8895604932955836,0.943728499089651,-0.091245727461496,-0.12415064240911548,-0.05962678987084764,-0.27141898938256837,-0.36929775049575,-0.17736548874248947,-36.97806394857879,-50.313045026668945,-24.16423552349993,0.9084168642096002,0.8792108435105911,0.9382785267586824,-0.10081619947697128,-0.1373836064249518,-0.06578161119655664,-0.29988725759217405,-0.40866044527211426,-0.1956735830558276,-40.85657460383843,-55.67580998257687,-26.65852630188387,-0.02846826820960568,-0.03936269477636422,-0.01830809431333813,-3.8785106552596305,-5.362764955907933,-2.4942907783839416,0.8895604932955836,0.8632536610347643,0.943728499089651,-0.12415064240911548,-0.15840806142810987,-0.05962678987084764,-0.3904238425823359,-0.4981551672924766,-0.18751188049041123,-90.58557832536796,-115.5812453114795,-43.50623677271722,0.8792108435105911,-0.1373836064249518,-0.4320383244695215,0.850652674405311,-0.17556792576840757,-0.5521188040802208,0.9382785267586824,-0.06578161119655664,-0.20686730987653076,-100.24091054977298,-128.10181069146657,-47.9970556558076,-0.04161448188718558,-0.05396363678774424,-0.01935542938611953,-9.655332224405008,-12.520565379987064,-4.490818883090379,0.8707
32031002622,32031002622,Census Tract 26.22; Washoe County; Nevada,3331,1711,456,Reno city,Nevada,114554,0.4382623045061592,0.26179132777797426,32031,3331,1711,456,0.011797,0.007296424454,0.004052580321,0.8710242861877366,0.8111509073418954,0.9020980903893414,-0.1480736138561176,-0.23281622562311424,-0.1085269004043724,-5.818672151882523,-9.148701468554354,-4.264652132598441,-174.68244226606194,-274.6533013675879,-128.02918440703814,0.8590793715277911,0.7943498614835489,0.8928513093205808,-0.16403679699769175,-0.2588911366238214,-0.12000731763607372,-6.445958315719475,-10.173336138780318,-4.715784392414849,-193.51420941817696,-305.41387387512214,-174.68244226606194,-0.6272861638369518,-1.0246346702259643,-0.4511322598164087,-18.83176715211503,-30.760572507534203,-13.54344820823803,0.917722690272686,0.891302696190266,0.94464276181281,-0.08965378169179473,-0.12195329855316672,-0.05860124104582871,-0.621656178023837,-0.8456198951716958,-0.4063389502211885,-36.33291513873974,-49.42255377976013,-23.74862362485029,0.9098768523278076,0.8811051553170777,0.9392784563829224,-0.09904983014088484,-0.13493831464433595,-0.06464700984510038,-0.6868080484431832,-0.9356575413533632,-0.4482600990455772,-40.14073924273426,-54.6848358476542,-26.198719990974705,-0.06515187041934623,-0.09003764618166754,-0.04192114882438874,-3.80782410399452,-5.262282067894071,-2.450096366124415,0.891302696190266,0.8653785540507026,0.94464276181281,-0.12195329855316672,-0.15556364936380188,-0.05860124104582871,-0.4057593015930356,-0.5175866374094157,-0.1949762648598991,-88.98230298092886,-113.50584153715256,-42.757952820153314,0.8811051553170777,-0.13493831464433595,-0.44896265175113054,0.8529562210199282,-0.1723931139211849,-0.573581119444778,0.9392784563829224,-0.06464700984510038,-0.21509156272136676,-98.45672187524792,-125.78533321157413,-47.16920235117692,-0.04320335015809495,-0.05599448203536228,-0.02011529786146762,-9.47441889431907,-12.279491674421552,-4.411249531023602,0.9428
32031001005,32031001005,Census Tract 10.05; Washoe County; Nevada,2238,1393,571,Reno city,Nevada,85766,0.5359481778089211,0.2849478996705668,32031,2238,1393,571,0.011797,0.007296424454,0.004052580321,0.8369736074929429,0.7635744138035845,0.8756521464474323,-0.1947808043737289,-0.30963005297507473,-0.14200599411199258,-5.142541635902617,-8.174755434811289,-3.749197666662677,-229.782914919688,-365.27057349469567,-167.52447125391765,0.8222103508531169,0.7432527147857285,0.8641015382114389,-0.21623377638387845,-0.3454373998328265,-0.1572714036244521,-5.708936266681374,-9.12012976304274,-4.152230215272047,-255.0909860000614,-407.51250058278544,-229.782914919688,-0.5663946307787571,-0.9453743282314502,-0.40303254860936955,-25.308071080373416,-42.241927088089824,-18.008603601848506,0.8952472874859019,0.8621704548856663,0.9292342256094226,-0.11700980721010867,-0.1598634519813271,-0.07615493751768222,-0.6605489573947207,-0.90246825500849,-0.429913233575683,-47.41916420636904,-64.78594795466546,-30.86240011311436,0.8853955098645302,0.8494786141507552,0.9224391291701912,-0.1294387523526123,-0.17719267247207246,-0.084082372892812,-0.7307133901986718,-1.000295939717607,-0.4746655436316525,-52.45609405589891,-71.80875374857193,-34.07505697283938,-0.07016443280395102,-0.09782768470911708,-0.04475231005596947,-5.036929849529865,-7.022805793906466,-3.212656859725016,0.8621704548856663,0.8299884572765565,0.9292342256094226,-0.1598634519813271,-0.20483603263749345,-0.07615493751768222,-0.666032443792661,-0.8533998340676295,-0.3172811453346063,-116.64316003374098,-149.45706375965491,-55.56587483968586,0.8494786141507552,-0.17719267247207246,-0.738230453590555,0.8146653743264873,-0.22749785557872193,-0.947814843422651,0.9224391291701912,-0.084082372892812,-0.3503088892652378,-129.28729484948423,-165.9920916677147,-61.350068172546024,-0.07219800979789393,-0.09441500935502144,-0.03302774393063151,-12.644134815743245,-16.5350279080598,-5.78419333286016,0.6539
32031001701,32031001701,Census Tract 17.01; Washoe County; Nevada,2219,1152,420,Reno city,Nevada,57527,0.4679107120971987,0.25153686757295934,32031,2219,1152,420,0.011797,0.007296424454,0.004052580321,0.8605457562377394,0.7964059478240054,0.8939882141649953,-0.16205325835542686,-0.255641049306912,-0.11858297923314576,-4.242156138889296,-6.69205456079681,-3.10421103794378,-191.17422888189708,-301.57974586736407,-139.89234060134203,0.8477179201968416,0.778480868934371,0.8840258666363209,-0.17963767920324047,-0.2845530826837878,-0.1311886198590043,-4.702473071763033,-7.448900557737411,-3.434195737469739,-211.91857015606277,-335.6872716420645,-191.17422888189708,-0.4603169328737371,-0.7568459969406014,-0.329984699525959,-20.74434127416571,-34.10752577470038,-14.870874246325323,0.9108422367448326,0.882358294731724,0.9399393407077014,-0.0978849680640628,-0.13332645703075108,-0.06389844183676538,-0.4569830729834507,-0.6224442347882579,-0.2983145102556347,-39.66866952981343,-54.03161760314739,-25.895356793023847,0.9023758776771256,0.871383776537384,0.9341353558354534,-0.10818565160914552,-0.14759997480524376,-0.07050867280966998,-0.5050725612201045,-0.6890811877737523,-0.3291748529913174,-43.843104272578515,-59.81607532758266,-28.574205988829632,-0.04808948823665376,-0.06663695298549432,-0.03086034273568266,-4.174434742765084,-5.784457724435271,-2.678849195805787,0.882358294731724,0.854480779002347,0.9399393407077014,-0.13332645703075108,-0.17030133921508997,-0.06389844183676538,-0.408578697006628,-0.5218881595191313,-0.19581666450791407,-97.28064214443523,-124.25908559979317,-46.62301535902717,0.871383776537384,-0.14759997480524376,-0.45231986754308107,0.8411482152758124,-0.1888511225956773,-0.5787339386104298,0.9341353558354534,-0.07050867280966998,-0.2160737058931756,-107.69520655787645,-137.79379490724517,-51.4461204507561,-0.04374117053645304,-0.05684577909129851,-0.02025704138526152,-10.414564413441202,-13.534709307452024,-4.823105091728933,0.8648
32031000201,32031000201,Census Tract 2.01; Washoe County; Nevada,2585,1500,717,Reno city,Nevada,52837,0.4825112770003443,0.2569256168112169,32031,2585,1500,717,0.011797,0.007296424454,0.004052580321,0.8554319503451617,0.7892434923708144,0.890021282594849,-0.16900005850436836,-0.2670361044043488,-0.12356863768977412,-5.153698189105047,-8.143331427656195,-3.768255880665896,-199.36936901760333,-315.02249236581025,-145.77392188262655,0.8421782356975958,0.7707829700093216,0.8797118275212422,-0.18739710623331035,-0.2973820633166121,-0.13673588181449478,-5.714720666875826,-9.0687388794456,-4.169794216224063,-221.07236622343623,-350.8216200946073,-199.36936901760333,-0.5610224777707797,-0.925407451789404,-0.401538335558167,-21.702997205832872,-35.79912772879706,-15.53339789393296,0.907472890277654,0.8779866031977304,0.9376317214529112,-0.10196129351482436,-0.1389695427673754,-0.06651681797886026,-0.6198094974028233,-0.84477785135615,-0.40434712133500217,-41.32063316018822,-56.318523423743336,-26.95647475566681,0.8987047266621959,0.866635905297235,0.9316129586791738,-0.11271251873128162,-0.1538871097857691,-0.07340713832253283,-0.6851648030111036,-0.9354598091600616,-0.44623248628023227,-45.67765353407358,-62.36398727733744,-29.748832418682152,-0.06535530560828029,-0.09068195780391164,-0.0418853649452301,-4.357020373885352,-6.045463853594109,-2.79235766301534,0.8779866031977304,0.8491646341084891,0.9376317214529112,-0.1389695427673754,-0.1776279414296006,-0.06651681797886026,-0.727024212239908,-0.9292670294369628,-0.3479851500464108,-101.39807702090766,-129.60488555606176,-48.53349373032229,0.866635905297235,-0.1538871097857691,-0.8050660061043244,0.835393493225461,-0.19704068574797248,-1.0308255066718204,0.9316129586791738,-0.07340713832253283,-0.38403211127391207,-112.28256709962685,-143.76924779244357,-53.5609639154689,-0.07804179386441645,-0.10155847723485768,-0.03604696122750128,-10.884490078719171,-14.16436223638182,-5.027470185146623,0.8941
32031002411,32031002411,Census Tract 24.11; Washoe County; Nevada,3758,2164,856,Reno city,Nevada,86102,0.5955942084580609,0.30213901951151517,32031,3758,2164,856,0.011797,0.007296424454,0.004052580321,0.8168404910147813,0.7359074486428663,0.8598871938874338,-0.22422922345300864,-0.358866528452951,-0.16294324082108386,-9.940782416224389,-15.90967502308726,-7.223783226169454,-264.52321490751433,-423.35484361594627,-192.22414119663264,0.8004809177995517,0.7136832739153328,0.8470043275627442,-0.2492490173893313,-0.4011817798586017,-0.18063151209333364,-11.049988093297417,-17.785642395375653,-8.007959585204285,-294.03906581419415,-473.2741456991925,-264.52321490751433,-1.1092056770730263,-1.8759673722883932,-0.7841763590348307,-29.515850906679784,-49.91930208324623,-20.86685361987309,0.8817955462110458,0.8448528006761419,0.919949771908455,-0.13404972875726404,-0.1836381428808577,-0.08701586818754158,-1.1755871416128725,-1.610466813187828,-0.763110352448298,-54.3247292797076,-74.42083240239502,-35.2638795031561,0.8707724718971387,0.8307285817518938,0.9123059927646258,-0.14840561946258507,-0.2037626030527754,-0.0961234585006165,-1.3014851995651953,-1.78695397828196,-0.8429819505663109,-60.14256929598869,-82.57643152874122,-38.95480363060586,-0.12589805795232278,-0.17648716509413198,-0.07987159811801292,-5.81784001628109,-8.15559912634621,-3.690924127449765,0.8448528006761419,0.8090950887037165,0.919949771908455,-0.1836381428808577,-0.2359486714993412,-0.08701586818754158,-1.146955971960999,-1.4736738980638144,-0.5434784305013538,-133.99018364030363,-172.15816566166058,-63.49047085296189,0.8307285817518938,-0.2037626030527754,-1.2726481044045703,0.7921355813179423,-0.2624101524845233,-1.6389454106524488,0.9123059927646258,-0.0961234585006165,-0.6003620655451513,-148.67384397249657,-191.4655853565945,-70.13575532069524,-0.12569213244357158,-0.16527151258863437,-0.05688363504379745,-14.68366033219294,-19.307419694933923,-6.645284467733347,0.3295
32031002106,32031002106,Census Tract 21.06; Washoe County; Nevada,2581,1772,1188,Reno city,Nevada,51363,0.5718695525388721,0.2525807065815228,32031,2581,1772,1188,0.011797,0.007296424454,0.004052580321,0.8247899238092219,0.7467900501947825,0.8661235388220366,-0.21242994262294737,-0.33906443951572957,-0.1545697064878768,-6.4680790014902305,-10.323853381047988,-4.7063472336161425,-250.603603312291,-399.99431929670624,-182.34588274374823,0.8090543203127524,0.7253011654789745,0.8537639755115409,-0.23601095117251783,-0.3787376163109014,-0.17128390126889617,-7.186074893925041,-11.531824529478458,-5.215261989017724,-278.42211909821935,-446.7967659619705,-250.603603312291,-0.7179958924348107,-1.2079711484304705,-0.5089147554015812,-27.81851578592835,-46.80244666526425,-19.717735583168587,0.8871216973132616,0.8516989703818773,0.9236315700974754,-0.1272410572626076,-0.17412376294364762,-0.08268278432109573,-0.9137399595030208,-1.2504127482395426,-0.5937593228357834,-51.56546046856776,-70.56505351238954,-33.50786246251599,0.8765597434532193,0.8381364619736223,0.9163231226115992,-0.14082355192412338,-0.1931231313397648,-0.09131809000946596,-1.0112781943225346,-1.3868504868306446,-0.6557709410959404,-57.06987552610241,-78.26470015974293,-37.00738945236684,-0.09753823481951383,-0.13643773859110198,-0.062011618260157,-5.504415057534641,-7.6996466473533856,-3.499526989850846,0.8516989703818773,0.81734183773363,0.9236315700974754,-0.17412376294364762,-0.22347829737047903,-0.08268278432109573,-1.509331287773861,-1.9371439064802296,-0.7167069630609577,-127.04808819645297,-163.0592513872247,-60.328868944525055,0.8381364619736223,-0.1931231313397648,-1.6740207057109302,0.8010213707759489,-0.2484061430612027,-2.153222268225631,0.9163231226115992,-0.09131809000946596,-0.7915591075047168,-140.91083381405136,-181.24766567555815,-66.62955450376404,-0.16468941793706926,-0.21607836174540165,-0.0748521444437591,-13.862745617598422,-18.18841428833347,-6.300685559238981,0.518
32031002615,32031002615,Census Tract 26.15; Washoe County; Nevada,2779,1575,518,Reno city,Nevada,98131,0.39543905093613896,0.20915003045914057,32031,2779,1575,518,0.011797,0.007296424454,0.004052580321,0.8863847981977514,0.832931306411865,0.9139417928609294,-0.1281781930751267,-0.2005791981908331,-0.09416158426203598,-4.202176321362503,-6.575760954138122,-3.086980478309544,-151.211814370727,-236.62328010572588,-111.08242095392389,0.8757588384659253,0.8178433077401182,0.905754271834946,-0.1418668657135212,-0.2227281076166302,-0.10405220388762149,-4.650943889791477,-7.301887766352862,-3.4112331970998504,-167.36034148224098,-262.75234855533864,-151.211814370727,-0.44876756842897336,-0.7261268122147397,-0.32425271879030637,-16.148527111513975,-26.1290684496128,-11.667963972303216,0.927752459572282,0.9043820124995552,0.9514778175686512,-0.0778737255636336,-0.10572743174775588,-0.0509966512465204,-0.49705350619386446,-0.674838532133051,-0.32550213981371423,-31.558952774213616,-42.846890929082605,-20.666802527854873,0.9208212346773006,0.8953381861861441,0.9467570211254271,-0.08598711925930705,-0.11689640342458964,-0.05623721576554243,-0.5488397891073529,-0.7461280009798162,-0.3589516884228474,-34.84697073697479,-47.3732064114169,-22.79058339192682,-0.05178628291348841,-0.07128946884676524,-0.03344954860913318,-3.288017962761169,-4.526315482334301,-2.123780864071948,0.9043820124995552,0.8813647812499026,0.9514778175686512,-0.10572743174775588,-0.13460399289140593,-0.0509966512465204,-0.3996018891638039,-0.5087422342455483,-0.1927442844517005,-77.1432218462942,-98.21278653388964,-37.209321322722104,0.8953381861861441,-0.11689640342458964,-0.4418155522434855,0.870304565227409,-0.14902304314432946,-0.5632397248756313,0.9467570211254271,-0.05623721576554243,-0.21255124890234744,-85.29257765318253,-108.73353762077824,-41.03305963365781,-0.04221366307968161,-0.05449749063008302,-0.01980696445064694,-8.149355806888341,-10.520751086888614,-3.823738310935703,0.5852
