geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
53033022901,53033022901,Census Tract 229.01; King County; Washington,1929,1605,631,Bellevue city,Washington,77808,0.7396007536848425,0.21895385702881065,53033,1929,1605,631,0.0085,0.00730409985099999,0.00317867361099999,0.7702056016700219,0.6731712335258415,0.8229849866964204,-0.29835461834050453,-0.4855061389987519,-0.21508899453213992,-4.891971499620082,-7.960601408093035,-3.5267066988462323,-253.60142558942889,-412.6802181489391,-182.82564535231893,0.7503559664747621,0.6470503910353312,0.807106981404292,-0.33270080425706133,-0.5454746861367656,-0.23899312363782532,-5.455128737000906,-8.943875691241477,-3.918650751727603,-282.79568361850215,-463.6534832162508,-253.60142558942889,-0.5631572373808238,-0.9832742831484412,-0.39194405288137046,-29.19425802907329,-50.97326506731164,-20.31850973983258,0.8501455004058187,0.8044620489019187,0.8979143831853494,-0.17626923805707134,-0.24306671938718336,-0.11369192734445575,-0.8992853125861587,-1.2400707754385527,-0.580030194419849,-56.03023754430895,-77.26297666283817,-36.13895292335508,0.8364550097533665,0.7871474934186101,0.8882974617999463,-0.1955215622354341,-0.2704099401459868,-0.12574902327618073,-0.997506264566126,-1.3795696301350908,-0.6415427385447178,-62.149923025926846,-85.95449408941376,-39.971510189702045,-0.09822095197996716,-0.1394988546965381,-0.06151254412486873,-6.119685481617892,-8.691517426575583,-3.832557266346962,0.8044620489019187,0.7607932947241941,0.8979143831853494,-0.24306671938718336,-0.31441747309632123,-0.11369192734445575,-1.1202670445700194,-1.4491146062070157,-0.5239932466227981,-177.53835888589848,-229.65366183946364,-83.04171895765421,0.7871474934186101,-0.2704099401459868,-1.2462888594269383,0.7402754447783283,-0.3508485348983106,-1.617021253560295,0.8882974617999463,-0.12574902327618073,-0.5795630393923917,-197.5101203529221,-256.26327314743185,-91.84834221749472,-0.126021814856919,-0.16790664735327954,-0.05556979276959362,-19.97176146702361,-26.60961130796823,-8.80662325984051,0.1166
53033023201,53033023201,Census Tract 232.01; King County; Washington,3961,2058,512,Bellevue city,Washington,76146,0.6891990443890483,0.24433535526786831,53033,3961,2058,512,0.0085,0.00730409985099999,0.00317867361099999,0.7862167182336873,0.694495714509924,0.8357169001528797,-0.27191393518901213,-0.43989369424065833,-0.1965774532225777,-9.154934326911256,-14.810560844541603,-6.618467983824356,-231.1268449106603,-373.9096401045596,-167.09083523919102,0.7675320190375495,0.6696325056144264,0.820852458343042,-0.3028772418562483,-0.49335641805865194,-0.2182457271536739,-10.197422417437096,-16.610570561407723,-7.3480062646734705,-257.44565557781107,-419.3529553498542,-231.1268449106603,-1.0424880905258398,-1.8000097168661178,-0.7295382808491144,-26.31881066715071,-45.44331524529457,-18.41803284143182,0.8610915363669354,0.8183741359677453,0.9055659858381664,-0.16131672158704372,-0.2219350002031505,-0.10428175929601435,-1.0552872577870025,-1.451834474859244,-0.6821810579959974,-51.27732059217698,-70.5458928503034,-33.14776763828947,0.848309347773827,0.8021342951575441,0.8966276175073984,-0.17881525486456873,-0.24667403704961136,-0.11529020573777791,-1.169757593013658,-1.613670086798001,-0.7541951253768261,-56.8395331882244,-78.40962520884358,-36.64699345854354,-0.11447033522665584,-0.16183561193875695,-0.07201406738082872,-5.562212596047417,-7.863732358540183,-3.4992258202540683,0.8183741359677453,0.7773615924067707,0.9055659858381664,-0.2219350002031505,-0.2864026339453224,-0.10428175929601435,-0.8299701257807444,-1.0710596791941307,-0.38998240385845057,-162.10354019155164,-209.1913435926037,-76.16843825360363,0.8021342951575441,-0.24667403704961136,-0.9224866801969328,0.7580282433559614,-0.31921205939870423,-1.193757058811637,0.8966276175073984,-0.11529020573777791,-0.4311506813701443,-180.17317972596345,-233.15567554914787,-84.20911745510631,-0.09251655441618856,-0.12269737961750636,-0.04116827751169372,-18.069639534411827,-23.964331956544218,-8.04067920150268,0.4257
53033024701,53033024701,Census Tract 247.01; King County; Washington,2346,1951,638,Bellevue city,Washington,111410,0.7408578621456797,0.21948360998308095,53033,2346,1951,638,0.0085,0.00730409985099999,0.00317867361099999,0.7698104514644587,0.6726478169777262,0.8226699217281356,-0.2990210747303278,-0.4866620759926045,-0.2155543476043919,-5.9627792511974675,-9.704528457368529,-4.298369245579179,-254.16791352077863,-413.6627645937139,-183.22119546373312,0.7499325142468554,0.6464969953092135,0.806767102914815,-0.3334533188020034,-0.5467975988375775,-0.23951509225778145,-6.649392630230751,-10.903690918420134,-4.77617045471242,-283.43532098170294,-464.77795901194094,-254.16791352077863,-0.6866133790332833,-1.1991624610516052,-0.47780120913324087,-29.26740746092427,-51.115194418226984,-20.36663295538111,0.8498742726840822,0.8041180964378819,0.8977243672397645,-0.17664463102499744,-0.24359842718357477,-0.1139276558513196,-1.095477968596947,-1.5106981096227607,-0.7065328636076924,-56.14956271639912,-77.4319892169534,-36.21388332176793,0.8361614684902492,0.7867772968569867,0.8880906850858532,-0.19594125977315516,-0.2710076968346622,-0.12601113466619496,-1.215147791218444,-1.6806792229114524,-0.7814696717568779,-62.2833311747024,-86.14450143062288,-40.054826845560115,-0.11966982262149715,-0.1699811132886917,-0.07493680814918546,-6.133768458303289,-8.712512213669488,-3.840943523792182,0.8041180964378819,0.7603845971167562,0.8977243672397645,-0.24359842718357477,-0.3151239567342934,-0.1139276558513196,-1.135172496373654,-1.46848258738401,-0.530904665493921,-177.92672356953824,-230.16968454294823,-83.2138974128403,0.7867772968569867,-0.2710076968346622,-1.262900123408602,0.7398380135533025,-0.35164722774542034,-1.6386816038915684,0.8880906850858532,-0.12601113466619496,-0.5872138665415257,-197.94672780699096,-256.8466463779888,-92.03979099396956,-0.1277276270349481,-0.17019901650755842,-0.05630920104760473,-20.02000423745268,-26.676961835040505,-8.825893581129268,0.5203
53033023806,53033023806,Census Tract 238.06; King County; Washington,2979,956,161,Bellevue city,Washington,30639,0.5346128577493225,0.27248858712696733,53033,2979,956,161,0.0085,0.00730409985099999,0.00317867361099999,0.8374299697611507,0.7642055661674334,0.8760083710510211,-0.19412970171728752,-0.30854843810559907,-0.1415416028504564,-4.915655242034296,-7.812909275490927,-3.5840456965778316,-165.0102464596944,-262.2661723897592,-120.31036242288792,0.8227035081113641,0.7439285331347759,0.8644882243384012,-0.21550472331842355,-0.3442151436055111,-0.15675375539708117,-5.456902851507462,-8.716043758806949,-3.969240217287191,-183.17901482066003,-292.58287206468447,-165.0102464596944,-0.5412476094731664,-0.9031344833160216,-0.38519452070935944,-18.16876836096564,-30.316699674925193,-12.930329664631063,0.895550773961478,0.8625621878573055,0.9294431493121597,-0.11663127214606694,-0.15933669951856377,-0.07591303539119783,-0.35442050612058756,-0.48419427009446125,-0.23068544078643757,-37.07327469880623,-50.647936202349506,-24.130276232890957,0.8857256768839185,0.8499031867774443,0.9226672672600292,-0.1290177377696798,-0.17660460103894177,-0.08381432341218702,-0.3920606461498256,-0.536668175967906,-0.25469596941975625,-41.01052783993991,-56.136838490366735,-26.641837805413832,-0.03764014002923804,-0.05247390587344469,-0.0240105286333187,-3.937253141133686,-5.488902288017227,-2.511561572522877,0.8625621878573055,0.8304623289197248,0.9294431493121597,-0.15933669951856377,-0.2041485389238688,-0.07591303539119783,-0.1873735972771921,-0.2400705313504473,-0.08927069886885872,-116.38111632123734,-149.11213127356976,-55.44763904898057,0.8499031867774443,-0.17660460103894177,-0.20767996006164627,0.8151770243599283,-0.22672741026428395,-0.2666223826081645,0.9226672672600292,-0.08381432341218702,-0.09856229813060596,-128.9937640134449,-165.6039643528972,-61.218818714662085,-0.02030636278445416,-0.02655185125771719,-0.00929159926174724,-12.612647692207554,-16.49183307932745,-5.771179665681519,0.4331
53033022804,53033022804,Census Tract 228.04; King County; Washington,3683,1656,495,Bellevue city,Washington,61986,0.6938184950815284,0.26832962320461484,53033,3683,1656,495,0.0085,0.00730409985099999,0.00317867361099999,0.784735505595464,0.6925134690733558,0.8345418331822758,-0.27431471224332005,-0.44401523531100184,-0.1982622802583771,-8.587559224133257,-13.900118949028569,-6.206699814628626,-233.16750540682204,-377.4129500143516,-168.52293821962058,0.7659415567106426,0.667530397577413,0.8195829642730543,-0.3055826403969096,-0.498059120047834,-0.22013273041487655,-9.566417348945452,-15.591989782657468,-6.891365192002918,-259.74524433737315,-423.350252040659,-233.16750540682204,-0.9788581248121968,-1.691870833628899,-0.6846653773742917,-26.577738930551092,-45.93730202630733,-18.589882633024484,0.860082463750524,0.8170891037631568,0.9048619903165352,-0.162679210594928,-0.2238567316519523,-0.10514090623939674,-0.8563244124137335,-1.1783557560654496,-0.5534494815092615,-51.71041137764091,-71.15674855467691,-33.42086240997956,0.8472159087188404,0.8007489187992235,0.8958608958933929,-0.180336664725996,-0.24883090881916745,-0.11624472569790524,-0.9492711938630204,-1.3098169151774348,-0.6118986935418401,-57.3231397260278,-79.09522434646345,-36.95040419938648,-0.0929467814492868,-0.1314611591119852,-0.05844921203257858,-5.612728348386884,-7.938475791786545,-3.529541789406919,0.8170891037631568,0.7758281620263332,0.9048619903165352,-0.2238567316519523,-0.2889452187300955,-0.10514090623939674,-0.80936060055066406,-1.044689940891458,-0.38014004041060545,-163.50719203043715,-211.04847290736527,-76.79596775971827,0.8007489187992235,-0.24883090881916745,-0.8996554729949863,0.7563835831127825,-0.3220805188349684,-1.164491593468085,0.8958608958933929,-0.11624472569790524,-0.42028622640655466,-181.74858040302752,-235.25082696324952,-84.90630836496054,-0.09029487244432231,-0.119801652576627,-0.04014618599594921,-18.241388372590368,-24.202354055884243,-8.110340605242266,0.2633
53033023000,53033023000,Census Tract 230; King County; Washington,4886,3137,965,Bellevue city,Washington,185965,0.7158866792484957,0.2591209691615799,53033,4886,3137,965,0.0085,0.00730409985099999,0.00317867361099999,0.7776978277527316,0.6831216191000552,0.8289510260697077,-0.2858464615873265,-0.4638681781399344,-0.20634388347558244,-11.87148939618326,-19.264909306329617,-8.569667824624416,-242.9694923492276,-394.28795141894426,-175.39230095424512,0.758388911470784,0.6575788447473423,0.8135453381632057,-0.31858467980583566,-0.5207301876997339,-0.2291877945705707,-13.231140337016162,-21.62644542535765,-9.518398296310371,-270.79697783496033,-442.6206595447739,-242.9694923492276,-1.3596509408329034,-2.3615361190280346,-0.9487304716859573,-27.827485485732772,-48.332708125829605,-19.417324430740017,0.8552781842633634,0.8109779974536899,0.9015063859408718,-0.16921022703424032,-0.2330790763002223,-0.10925448293561855,-1.6872796295789283,-2.324147803683629,-1.089430980198055,-53.78640833850585,-74.0882309111772,-34.72843417909005,0.8420117151323678,0.7941636021469348,0.8922071272252572,-0.18763193198896969,-0.2591863909358335,-0.12081597365174168,-1.8709716442816708,-2.5844768685383253,-1.2047163746732543,-59.642067079428465,-82.38689411980636,-38.403454723406256,-0.18369201470274232,-0.2603290648546963,-0.11528539447519924,-5.855658740922611,-8.298663208629147,-3.675020544316202,0.8109779974536899,0.7685442487651168,0.9015063859408718,-0.2330790763002223,-0.30116125598074817,-0.10925448293561855,-1.6428476968490229,-2.122721968963197,-0.7700754546925439,-170.2432846475671,-219.9711884935956,-79.80056525311336,0.7941636021469348,-0.2591863909358335,-1.8268639646361011,0.748575768201127,-0.3358701182688035,-2.3673658699744315,0.8922071272252572,-0.12081597365174168,-0.8515661174179225,-189.31232794156492,-245.322888080252,-88.24519351481062,-0.1840162677870787,-0.24464390101123443,-0.08149066272537864,-19.06904329399779,-25.35169958665642,-8.444628261697268,0.4472
53033024800,53033024800,Census Tract 248; King County; Washington,4402,3076,1150,Bellevue city,Washington,157371,0.7379960466648693,0.2295075612454225,53033,4402,3076,1150,0.0085,0.00730409985099999,0.00317867361099999,0.7707103081731214,0.6738399699438411,0.8233873444791449,-0.2975043792659048,-0.48403188383636786,-0.21449522719173697,-11.13172135899236,-18.111020997505378,-8.025767915833221,-252.87872237601908,-411.4271012609128,-182.3209431129764,0.7508968533950023,0.6477574925693057,0.8075410465327695,-0.3317408316185329,-0.5437876234106342,-0.23832714670488353,-12.412746696670649,-20.346901505155703,-8.917486848256628,-281.979706875753,-462.2194798990392,-252.87872237601908,-1.2810253376782867,-2.235880507650325,-0.8917189324234069,-29.100984499733908,-50.79237863812642,-20.257131586174623,0.8504918501069039,0.8049013202047441,0.8981569981992792,-0.1757902205345101,-0.242388321273505,-0.1133910908726498,-1.7188064651212065,-2.3699760567339885,-1.1086927332274186,-55.87797350849176,-77.04733604466803,-36.04332682793949,0.8368298667953232,0.7876203048067962,0.8885614835575815,-0.1949860296329336,-0.26964730835031053,-0.125414525054863,-1.906495408688608,-2.6365035295240395,-1.2262530636173017,-61.979694690787,-85.71207833303119,-39.865184122799135,-0.1876889435674016,-0.26652747279005107,-0.1175603303898829,-6.1017211822952415,-8.664742288363168,-3.821857294859652,0.8049013202047441,0.7613153190373037,0.8981569981992792,-0.242388321273505,-0.31351619361149496,-0.1133910908726498,-2.03599277649264,-2.6334466205003784,-0.952452827439796,-177.0428501297948,-228.99535830438072,-82.82198499476486,0.7876203048067962,-0.26964730835031053,-2.264960494455662,0.740834204355181,-0.34982968405244713,-2.9384695846372844,0.8885614835575815,-0.125414525054863,-1.0534462458314298,-196.95308647440535,-255.5190943162856,-91.60402137664607,-0.22896771796302184,-0.305022964136906,-0.10099341839163378,-19.910236344610595,-26.52373601190487,-8.782036381881198,0.4186
53033023702,53033023702,Census Tract 237.02; King County; Washington,1071,393,101,Bellevue city,Washington,134295,0.602381290832321,0.28426355389802677,53033,1071,393,101,0.0085,0.00730409985099999,0.00317867361099999,0.8145804667399721,0.7328234600262953,0.8581113925802847,-0.22762580350360523,-0.36458513482103566,-0.16534987024594275,-2.07219150219507,-3.3190007748432984,-1.50526254378394,-193.48193297806444,-309.89736459788037,-140.54738970905137,0.798045018218572,0.7103940257080852,0.8450804105714277,-0.2530621420734384,-0.4076694958171278,-0.1833193474734772,-2.303751210365547,-3.711219255171223,-1.6688476797247995,-215.1028207624227,-346.5190714445586,-193.48193297806444,-0.23155970817047675,-0.3922184803279247,-0.16358513594085977,-21.62088778435824,-36.621706846678315,-15.274055643404273,0.8802777469423541,0.8429044107387189,0.9188991959364544,-0.13600508870467456,-0.1863741454663916,-0.08825865168038971,-0.16990010406591444,-0.2328220731409108,-0.11025436068628595,-43.23157864272632,-59.24225779666941,-28.05454470388956,0.8691239056004264,0.8286214264166276,0.9111600267102612,-0.15058393119351496,-0.20682372929275897,-0.09750205308116426,-0.188112267151908,-0.25836807625957975,-0.1218013908369353,-47.86571683254657,-65.74251304315007,-30.992720314741803,-0.01821216308599357,-0.02554600311866894,-0.01154703015064934,-4.6341381898202485,-6.5002552464806485,-2.9381756108522494,0.8429044107387189,0.8067512257267819,0.9188991959364544,-0.1863741454663916,-0.23953948641246264,-0.08825865168038971,-0.13749083218126362,-0.17671165302840236,-0.06510965046340772,-136.1295368131323,-174.9620327013885,-64.46500045881953,0.8286214264166276,-0.20682372929275897,-0.15257677820136098,0.7896117408703685,-0.2664452011538304,-0.1965603777587831,0.9111600267102612,-0.09750205308116426,-0.07192863786961491,-151.06611703105048,-194.61423540473575,-71.21647313823259,-0.01508594602009735,-0.01984872473038074,-0.00681898740620719,-14.936580217918175,-19.652202703347267,-6.751472679413061,0.2571
53033022703,53033022703,Census Tract 227.03; King County; Washington,1812,1411,476,Bellevue city,Washington,136354,0.8533384827310787,0.1711401515519685,53033,1812,1411,476,0.0085,0.00730409985099999,0.00317867361099999,0.7352624312772472,0.6274249432044197,0.7949620259913824,-0.3600586096352957,-0.5938161382184525,-0.25792172117016343,-5.545622705602824,-9.145956160840605,-3.9725103494628575,-306.0498181900013,-504.7437174856846,-219.23346299463896,0.7129952122313716,0.5988498678216595,0.7769284446607279,-0.4025339621432036,-0.6698676141276281,-0.2871198202000236,-6.199828084929622,-10.317300992793728,-4.422219470720764,-342.15386782172305,-569.3874720084839,-306.0498181900013,-0.6542053793267977,-1.1713448319531228,-0.4497091212579063,-36.10404963172173,-64.64375452279927,-24.81838417538114,0.8259529709887703,0.7739305316714371,0.8808843138529864,-0.21072268655063175,-0.2921056336158837,-0.13522284853274527,-0.9451141052412776,-1.3101254500401334,-0.6064891426319906,-66.98186429775178,-92.8508469199244,-42.98293002352875,0.8103093527726521,0.7543487551235393,0.8697826976236075,-0.234096578767454,-0.325646782350997,-0.1497124543086084,-1.049948547085773,-1.4605611401618723,-0.6714765961535805,-74.4116617353489,-103.51248335661744,-47.58870277488168,-0.10483444184449532,-0.15043569012173896,-0.06498745352158986,-7.4297974375971165,-10.661636436693051,-4.605772751352931,0.7739305316714371,0.7246908674837571,0.8808843138529864,-0.2921056336158837,-0.37989871939763825,-0.13522284853274527,-1.0155787083257375,-1.3208134535597529,-0.4701362454022344,-213.35687149700368,-277.48181797473796,-98.76811878198204,0.7543487551235393,-0.325646782350997,-1.132192948477508,0.7017268065153998,-0.42505600572073127,-1.4778141178324893,0.8697826976236075,-0.1497124543086084,-0.520513004439175,-237.85566144485463,-310.4651508051448,-109.35147152083508,-0.11661424015177048,-0.1570006642727364,-0.05037675903694061,-24.498789947850938,-32.98333283040681,-10.583352738853067,0.1258
53033023403,53033023403,Census Tract 234.03; King County; Washington,2570,2052,887,Bellevue city,Washington,173044,0.778594483657607,0.23449894160197032,53033,2570,2052,887,0.0085,0.00730409985099999,0.00317867361099999,0.7580425177203849,0.6571236486045793,0.813268064005211,-0.3191872178980661,-0.5217836127546595,-0.2296068716570094,-6.972644774983254,-11.398363020625537,-5.015762111347371,-271.30913521335617,-443.5160708414606,-195.165840908458,0.7373317272617635,0.6301033761006789,0.7966307942052291,-0.35624165219867904,-0.5870411712255584,-0.2552866488141038,-7.782098892280144,-12.823914385422324,-5.576736843344098,-302.80540436887725,-498.98499554172474,-271.30913521335617,-0.8094541172968901,-1.4255513647967888,-0.5609747319967271,-31.496269155521013,-55.468924700264154,-21.827810583530237,0.8417725615677335,0.7938613124542664,0.8920390394397171,-0.1879693466577013,-0.25966586897709426,-0.1210271700979504,-1.2260560502941749,-1.6937065291502793,-0.7894164489425533,-59.74932018977461,-82.5393045394873,-38.47058718043632,0.8273975715935465,0.7757452081796194,0.8819058988715704,-0.2086088167675252,-0.2890830513109088,-0.13390782540352106,-1.360679847487538,-1.885584167841335,-0.8734323039207971,-66.30993408808665,-91.89006665893446,-42.56492709165678,-0.13462379719336326,-0.19187763869105567,-0.08401585497824382,-6.56061389831205,-9.350762119447158,-4.09433991122046,0.7938613124542664,0.7482177589132918,0.8920390394397171,-0.25966586897709426,-0.3365093090711929,-0.1210271700979504,-1.6823067607610716,-2.1801551660971006,-0.7841031526154199,-189.66254349053793,-245.78975942470132,-88.3994535079391,0.7757452081796194,-0.2890830513109088,-1.872892935669884,0.7268266002353465,-0.37584397664614905,-2.434994115298681,0.8819058988715704,-0.13390782540352106,-0.8675535251613241,-211.1491472006634,-274.52019338203843,-97.8076127577592,-0.1905861749088127,-0.25483894920158034,-0.08345037254590426,-21.486603710125443,-28.730433957337137,-9.408159249820097,0.2688
53033022803,53033022803,Census Tract 228.03; King County; Washington,5645,3311,576,Bellevue city,Washington,154003,0.7047818464461425,0.24539782412330385,53033,5645,3311,576,0.0085,0.00730409985099999,0.00317867361099999,0.7812313015642236,0.6878316201870587,0.8317596538827278,-0.280030636250424,-0.4538441831564036,-0.20227038584032225,-13.43657000388597,-21.776578518302134,-9.705438788583264,-238.02604081286043,-385.7675556829431,-171.92982796427393,0.7621800893895397,0.662567837582821,0.8165779250802616,-0.3120258767202114,-0.5092794175585077,-0.22462286731754327,-14.971781629727545,-24.436499653001096,-10.77796673106402,-265.2219952121797,-432.8875049247315,-238.02604081286043,-1.5352116258415744,-2.6599211346989584,-1.0725279424807574,-27.195954399319294,-47.119949241788454,-18.999609255637864,0.8576923606030681,0.8140474055927257,0.9031933863640548,-0.16591921058603265,-0.228429687423275,-0.1071825979878522,-1.7462313867963788,-2.4041284215716257,-1.128052719535551,-52.74030162477737,-72.61034193813427,-34.06984957824074,0.8446264860830897,0.7974705726270935,0.8940438574292723,-0.18395529441356587,-0.2539647660047408,-0.1185133611626093,-1.9360537440947712,-2.6728746115141497,-1.247304337369508,-58.473383995613744,-80.72710998230595,-37.67152936784984,-0.18982235729839236,-0.2687461899425241,-0.1192516178339571,-5.7330823708363745,-8.116768044171673,-3.6016797896090944,0.8140474055927257,0.7722009660757755,0.9031933863640548,-0.228429687423275,-0.29499967486685424,-0.1071825979878522,-0.961040589622456,-1.2411112787942622,-0.4509345012438897,-166.84732458723195,-215.47070812400383,-78.2872397992864,0.7974705726270935,-0.2539647660047408,-1.0684707894918588,0.7524945774047284,-0.32891323077555035,-1.3837910860221845,0.8940438574292723,-0.1185133611626093,-0.4986048519989705,-185.4984009534477,-240.24150798996257,-86.56334236093237,-0.10743019986940285,-0.14267980722792228,-0.0476703507550808,-18.65107636621577,-24.770799865958733,-8.276102561645974,0.3565
