geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
24510151200,24510151200,Census Tract 1512; Baltimore city; Maryland,2061,1750,984,Baltimore city,Maryland,43485,0.6464026924074073,0.23191811487740965,24510,2061,1750,984,0.014642,0.007381444272,0.003640901028,0.8000728626468069,0.7131319077274783,0.84668214205888,-0.2498861624824928,-0.40226511976820384,-0.181080774383993,-7.540855206792508,-12.13921968619449,-5.464503863671208,-365.883319106866,-588.996588364604,-265.1384698530426,0.7824245954381768,0.6894247263675943,0.8327074301983597,-0.27807843187748427,-0.45048467476463855,-0.200901977975373,-8.391617887472808,-13.594349008889813,-6.062651535483264,-407.1624399550125,-659.5996607903838,-365.883319106866,-0.8507626806803001,-1.4551293226953206,-0.5981476718120557,-41.27912084814653,-70.60307242577974,-29.02220629849858,0.8704964410741288,0.8303756715266097,0.9121141667203706,-0.14876977413724204,-0.2042742029779645,-0.09635398340060296,-0.9478980412853216,-1.3015487723286154,-0.6139268051265131,-54.16560235916125,-74.37421556163517,-35.081531721515034,0.8585067218043636,0.8150834562120367,0.903762092419078,-0.16481324444175974,-0.2268682334043827,-0.10648588648293968,-1.0501202444530322,-1.4455083723894817,-0.6784830037356463,-60.006871111601846,-82.6004784222561,-38.770457356322645,-0.10222220316771048,-0.14395960006086628,-0.0645561986091332,-5.841268752440598,-8.22626286062093,-3.688925634807611,0.8303756715266097,0.7917127693053836,0.9121141667203706,-0.2042742029779645,-0.26308433913142404,-0.09635398340060296,-1.4837132271612363,-1.9108713099244024,-0.6998518539150557,-150.78386454890614,-194.1942388134555,-71.1231558856764,0.8150834562120367,-0.2268682334043827,-1.647821378410155,0.7734360567851443,-0.29293170550722564,-2.1276629147482455,0.903762092419078,-0.10648588648293968,-0.773443322639084,-167.46152219615396,-216.22590597035017,-78.60196368283374,-0.16410815124891864,-0.2167916048238432,-0.07359146872402833,-16.67765764724783,-22.031667156894635,-7.4788077971573506,0.8351
24510270702,24510270702,Census Tract 2707.02; Baltimore city; Maryland,1668,1291,329,Baltimore city,Maryland,55477,0.6758746514825268,0.18976201585162897,24510,1668,1291,329,0.014642,0.007381444272,0.003640901028,0.7905048249586464,0.7002451678203877,0.8391155529962298,-0.2650144166448483,-0.4280712612593125,-0.1917309796359991,-6.472408935641133,-10.454722771474568,-4.682618106388938,-388.03410885138686,-626.7819407358854,-280.7325003830299,0.7721380910480498,0.6757330062899226,0.824525227233893,-0.2951051263934737,-0.4798744336767693,-0.21281916789227617,-7.207310006769607,-11.719904191769286,-5.1976518914728835,-432.09292606532415,-702.6321457895256,-388.03410885138686,-0.7349010711284736,-1.2651814202947185,-0.5150337850839453,-44.05881721393727,-75.85020505364018,-30.877325244840847,0.8640087532764305,0.8220920294483283,0.9075996679220332,-0.1573956817079382,-0.21640882550711307,-0.10180736655569636,-0.7398231702391522,-1.0172087417969429,-0.47853567430583455,-57.30620993331931,-78.79231152571208,-37.06705455506077,0.8514711872982755,0.8061437315013676,0.8988428355928524,-0.1744378611013339,-0.2404735792432363,-0.11254154831242226,-0.8199282852575046,-1.1303227879187383,-0.5289906568759422,-63.51109878059679,-87.55405018735385,-40.97526389434099,-0.08010511501835238,-0.11311404612179544,-0.05045498257010761,-6.204888847277489,-8.7617386616417825,-3.9082093392802175,0.8220920294483283,0.7818016355662222,0.9075996679220332,-0.21640882550711307,-0.27909683800513796,-0.10180736655569636,-0.5255477865129603,-0.6777853217984651,-0.2472386974915733,-159.74096854497273,-206.01377562263377,-75.14854027099493,0.8061437315013676,-0.2404735792432363,-0.5839889246197949,0.762792180062402,-0.3109730620444911,-0.7551965777720465,0.8988428355928524,-0.11254154831242226,-0.27330660599325163,-177.50423240723248,-229.54303275746096,-83.07191671527404,-0.0584411381068346,-0.07741125597358145,-0.02606790850167834,-17.763263862259755,-23.529257134827187,-7.92337644427913,0.6277
24510272004,24510272004,Census Tract 2720.04; Baltimore city; Maryland,2433,1440,794,Baltimore city,Maryland,45422,0.6882257731341475,0.16419200735957695,24510,2433,1440,794,0.014642,0.007381444272,0.003640901028,0.7865291510681105,0.6949140765659719,0.8359646857483506,-0.2714086930433475,-0.4390268289594283,-0.19622277956012696,-9.66865948125451,-15.63988560847507,-6.99023755193105,-397.3966083540695,-642.823082962395,-287.30939383193794,0.7678675342448609,0.6700762419669446,0.8211201785161985,-0.30230795730076504,-0.4923674909956453,-0.21784852712674233,-10.769414438571053,-17.540092606083995,-7.76063288048369,-442.6393110797802,-720.9244803158239,-397.3966083540695,-1.1007549573165427,-1.900206997608924,-0.7703953285526399,-45.24270272571076,-78.10139735342887,-31.664419587038225,0.8613042886436904,0.8186451368244013,0.9057143803726844,-0.1610298627152037,-0.2215304959595688,-0.10410083097998152,-0.844263061485817,-1.1614616790804633,-0.5457899844441633,-58.6293792698484,-80.6570610472544,-37.902082253066894,0.8485399041823132,0.8024264854131707,0.8967892416222133,-0.1784949594841268,-0.2462200814384863,-0.1150892022200082,-0.9358307733291488,-1.290906644578025,-0.60340088833132,-64.98824814785756,-89.64629476236286,-41.90283946745278,-0.0915677118433319,-0.1294449654975618,-0.05761090388715673,-6.35886887800916,-8.989233715108458,-4.000757214385884,0.8186451368244013,0.7776850569364041,0.9057143803726844,-0.2215304959595688,-0.2858675772161273,-0.10410083097998152,-1.298360718316418,-1.6754317787716455,-0.610121099142814,-163.5215010474078,-211.01155903925007,-76.84144825476245,0.8024264854131707,-0.2462200814384863,-1.4430630889696776,0.7583752123695202,-0.31860849839162136,-1.8673219551179032,0.8967892416222133,-0.1150892022200082,-0.6745224788017677,-181.74598097854883,-235.17908754633544,-84.9524532495929,-0.14470237065325953,-0.1918901763462579,-0.06440137965895376,-18.224479931141,-24.167528507085382,-8.111004994830449,0.3402
24510270501,24510270501,Census Tract 2705.01; Baltimore city; Maryland,2901,2078,849,Baltimore city,Maryland,80884,0.6818288292344882,0.1822110378419051,24510,2901,2078,849,0.014642,0.007381444272,0.003640901028,0.7885857459876527,0.6976700909397098,0.8375951160720209,-0.26809291835165566,-0.4333422243356804,-0.19389425846892677,-11.387633296974837,-18.406835858145516,-8.235938223988377,-392.54165105049424,-634.4996848723032,-283.8999732502026,0.7700764017027455,0.6730000798155444,0.8228819762498326,-0.2985724504592812,-0.48588392481926534,-0.21524110244504024,-12.682295374731533,-20.638620351317883,-9.14267620402281,-437.1697819624795,-711.4312427203682,-392.54165105049424,-1.2946620777566942,-2.2317844931723663,-0.906737980034432,-44.62813091198532,-76.93155784806503,-31.2560489498253,0.8627039376429194,0.8204285576319829,0.9066903268750158,-0.159146210381514,-0.21887517285638777,-0.10291239506942108,-1.204067178837185,-1.655964105377807,-0.7786138099145661,-57.94356009803586,-79.69028418564999,-37.46938450021973,0.8500568244451723,0.804349591999518,0.8978522610794243,-0.176391943741755,-0.24324051375984185,-0.11376898332668976,-1.3345448161259692,-1.84030721485367,-0.8607525021485145,-64.2225609300274,-88.56146365994563,-41.42216083486595,-0.13047763728878414,-0.1843431094758632,-0.08213869223394843,-6.279000831991537,-8.87117947429563,-3.952776334646219,0.8204285576319829,0.7798144190963542,0.9066903268750158,-0.21887517285638777,-0.2823563857139189,-0.10291239506942108,-1.3716570424282606,-1.7694840391660442,-0.64493615062842935,-161.56148909637935,-208.4197925990629,-75.96421091029792,0.804349591999518,-0.24324051375984185,-1.5243508861622723,0.7606596641549014,-0.3146483862937672,-1.971853039868143,0.8978522610794243,-0.11376898332668976,-0.7129727193515408,-179.54662970109217,-232.2559528702171,-83.97794103080575,-0.15269384373401196,-0.20236900070209884,-0.06803656872311148,-17.985140604712836,-23.836160271154164,-8.01373012050783,0.2574
24510090700,24510090700,Census Tract 907; Baltimore city; Maryland,1498,717,265,Baltimore city,Maryland,34678,0.5292452589655835,0.23920757442596843,24510,1498,717,265,0.014642,0.007381444272,0.003640901028,0.8392669253494249,0.7667478830537654,0.8774417531283107,-0.1915160359544189,-0.30420966539516175,-0.13967678929653946,-4.200658342070013,-6.6724484052325055,-3.063631028222136,-280.41777984446014,-445.4237920715958,-204.5147548879931,0.8246888430721219,0.7466513319206929,0.8660443368435932,-0.2125785481404246,-0.3393132205732368,-0.15467529485225318,-4.662637502604401,-7.442399815098733,-3.392603989505583,-311.2575101872097,-496.8224175633334,-280.41777984446014,-0.4619791605343879,-0.7699514098662279,-0.3289729612834469,-30.83973034274953,-51.39862549173751,-21.96081183467603,0.8967717397531061,0.8641386371282668,0.9302834359280434,-0.11511096488758008,-0.15722172002774007,-0.07494120757122574,-0.3005001709919691,-0.4104313937262887,-0.1956359736146019,-41.910763039326234,-57.2428722072927,-27.285351968563724,0.887054095016133,0.8516119873852662,0.9235848855056484,-0.12732696418228345,-0.17424368704618007,-0.08273751085967097,-0.33239035521969423,-0.4548676818301752,-0.2159884263420294,-46.358487478339505,-63.44040192889474,-30.123908834313724,-0.03189018422772516,-0.04443628810388655,-0.0203524527274275,-4.447724439013272,-6.19752972160203,-2.83855686575,0.8641386371282668,0.832369886414092,0.9302834359280434,-0.15722172002774007,-0.2013889694016566,-0.07494120757122574,-0.30753869165417863,-0.393933485477968,-0.14659120205129764,-116.05233647327496,-148.65414546338414,-55.31743473633873,0.8516119873852662,-0.17424368704618007,-0.3408350674049844,0.8172369529087893,-0.22363531952477517,-0.4374491868056059,0.9235848855056484,-0.08273751085967097,-0.16184141628788387,-128.61700656791865,-165.07516483230413,-61.0722325614656,-0.03329637575080579,-0.04351570132763799,-0.01525021423658623,-12.564670094643697,-16.421019368919996,-5.754797825126881,0.8422
24510180300,24510180300,Census Tract 1803; Baltimore city; Maryland,1265,675,174,Baltimore city,Maryland,30193,0.4194288796183881,0.21360451072435865,24510,1265,675,174,0.014642,0.007381444272,0.003640901028,0.8777466857975125,0.8206587489537361,0.9072878582274632,-0.13928086107372686,-0.21853328350536363,-0.10218602721485257,-2.579778215319509,-4.0477018864132015,-1.892702880257037,-203.93503678415087,-319.9764337085535,-149.6207810479871,0.8663754115599879,0.8045978434534671,0.8985031600557308,-0.1542340498784573,-0.2428569230409996,-0.11296214020880428,-2.85674312227527,-4.498227499965391,-2.0922994460257,-225.8294958320371,-355.5911067166317,-203.93503678415087,-0.2769649069557616,-0.45052561355218934,-0.1995965657686631,-21.894459047886293,-35.614673008078206,-15.77838464574412,0.9221202991141416,0.8970314408301283,0.9476427111897902,-0.08445720255879358,-0.11478812724176404,-0.05525003062016263,-0.20756271304236315,-0.2821042420717951,-0.1357829279653376,-30.750031561831577,-41.79322104767335,-20.11598932819816,0.9146740136307236,0.8873366746871294,0.9425601819532796,-0.09328567893886242,-0.1269679576273517,-0.06094021278056442,-0.22925964893367293,-0.31203749302772754,-0.14976716626752465,-33.96439243461821,-46.22777674484852,-22.187728335929577,-0.02169693589130977,-0.02993325095593246,-0.01398423830218706,-3.2143608727866337,-4.43455569717518,-2.071739007731417,0.8970314408301283,0.8723731726614619,0.9476427111897902,-0.11478812724176404,-0.14629843206797666,-0.05525003062016263,-0.14743057659208478,-0.18790150786999005,-0.07096155383653019,-84.73021643223264,-107.98937233907476,-40.78250220490241,0.8873366746871294,-0.1269679576273517,-0.16307400121873597,0.8605429119511413,-0.16205709920108738,-0.2081414877144556,0.9425601819532796,-0.06094021278056442,-0.07826986051405917,-93.72069035559538,-119.62154466348024,-44.98267845635584,-0.01564342462665119,-0.02023997984446554,-0.00730830667752897,-8.990473923362755,-11.632172324405486,-4.200176251453436,0.584
24510270703,24510270703,Census Tract 2707.03; Baltimore city; Maryland,2148,1738,724,Baltimore city,Maryland,51386,0.6264294977872046,0.18649498296254083,24510,2148,1738,724,0.014642,0.007381444272,0.003640901028,0.8066228882475714,0.7219998289166166,0.8518487827062587,-0.23973670294993735,-0.3850418794427297,-0.17391727299659468,-7.539962880265727,-12.109958311023364,-5.469874935692268,-351.02248045929827,-563.7783198800448,-254.64967112161395,0.7894735699346617,0.6988609980983618,0.8382986327735839,-0.26666685001596935,-0.4308997107022048,-0.19289231892388173,-8.386943366521853,-13.552233695690417,-6.066659408752107,-390.4536017933824,-630.9233564101684,-351.02248045929827,-0.8469804862561263,-1.4422753846670524,-0.5967844730598397,-39.43112133408409,-67.14503653012349,-27.783262246733695,0.8749208293219274,0.8360369090563345,0.9151864088904376,-0.14296055881423037,-0.19611944062222875,-0.09267356932495266,-0.904638116766223,-1.2410214600257838,-0.5864277806655027,-52.05052455501858,-71.40514729722577,-33.741529382364945,0.8633077339061861,0.8211982137490271,0.9071111769735826,-0.15833550508730643,-0.21773279977642268,-0.10240070388761464,-1.001929023833333,-1.3777883325423437,-0.6479799791549665,-57.64839032412733,-79.27435745352956,-37.28308280523398,-0.09729090706710997,-0.13676687251655983,-0.0615521984894638,-5.5978657691087435,-7.869210156303788,-3.5415534228690335,0.8360369090563345,0.7985008926899546,0.9151864088904376,-0.19611944062222875,-0.25234675271463264,-0.09267356932495266,-1.0480947784447672,-1.3485828484854552,-0.4952629061206539,-144.76447216087945,-186.26834923832257,-68.40647874594667,0.8211982137490271,-0.21773279977642268,-1.1636001500810074,0.7807337372350716,-0.2808464042318046,-1.500889707243943,0.9071111769735826,-0.10240070388761464,-0.5472463245518409,-160.7182527736198,-207.30520818286507,-75.58650891600011,-0.1155053716362402,-0.15230685875848793,-0.05198341843118698,-15.953780612740358,-21.03685894454253,-7.180030170053451,0.2094
24510010300,24510010300,Census Tract 103; Baltimore city; Maryland,1712,648,92,Baltimore city,Maryland,40840,0.36567560157111056,0.2455780623818781,24510,1712,648,92,0.014642,0.007381444272,0.003640901028,0.8972200946528914,0.848412900222866,0.922264995710068,-0.11455372651553368,-0.17867137538492667,-0.08428705919829749,-2.8715301761524405,-4.478773948596997,-2.1128324787778796,-167.72956636404444,-261.6106278386096,-123.41311207814717,0.8875419532639315,0.8345800321558178,0.914831895829064,-0.1267073024801865,-0.19820743544137176,-0.09309699908719596,-3.176185128830293,-4.968486397782152,-2.3336721582066464,-185.52483229148908,-290.2153269732565,-167.72956636404444,-0.30465495267785236,-0.4897124491851548,-0.2208396794287668,-17.795265927444646,-28.604699134646893,-12.899513985325164,0.934787948061289,0.9135854195030308,0.9562574973562684,-0.06976133151262606,-0.09458839715718828,-0.04574343496878724,-0.16458817914509194,-0.22316277110531849,-0.10792266297256638,-25.399410361896905,-34.43869924464791,-16.654731940210862,0.928505359655273,0.9053657805329351,0.9519898948985078,-0.07699970668049869,-0.10452595128055238,-0.05043131797802387,-0.18166570566325457,-0.24660848096858665,-0.11898280348028915,-28.034831120872617,-38.05686434700411,-18.3615437469582,-0.0170775265181626,-0.02344570986326818,-0.01106014050772277,-2.6354207589757106,-3.6181651023562016,-1.706811806747342,0.9135854195030308,0.8926493202755762,0.9562574973562684,-0.09458839715718828,-0.12026075333960128,-0.04574343496878724,-0.06423430638021015,-0.08166822049742044,-0.03106404067494023,-69.81989823935886,-88.76980488850047,-33.7652616031959,0.9053657805329351,-0.10452595128055238,-0.07098282856067696,0.8825696047379598,-0.1330551093439322,-0.0903567764748934,0.9519898948985078,-0.05043131797802387,-0.03424754861608314,-77.15524843551843,-98.2138874727102,-37.2255963218295,-0.00674852218046681,-0.00868855597747295,-0.0031835079411429,-7.335350196159581,-9.44408258420973,-3.4603347186335927,2e-4
24510060300,24510060300,Census Tract 603; Baltimore city; Maryland,1169,579,97,Baltimore city,Maryland,24249,0.372964839724355,0.23147317517650823,24510,1169,579,97,0.014642,0.007381444272,0.003640901028,0.8945542835913829,0.8445949661098272,0.9202196136912192,-0.1178751455811964,-0.18399947918937115,-0.08669711569041968,-2.017609693590257,-3.149426717545913,-1.483951007320837,-172.59278815998778,-269.41203742907726,-126.9419167939125,0.8846416235693965,0.8304497095007237,0.912600356742434,-0.1304012532952607,-0.2041668370276292,-0.09576989819458624,-2.232012791225823,-3.4946212576497415,-1.6392452709078391,-190.9335150749207,-298.94108277585474,-172.59278815998778,-0.2144030976355662,-0.34519454010382855,-0.15529426358700205,-18.34072691493295,-29.529045346777465,-13.284368142600687,0.9330599991704004,0.9113228291571164,0.9550847111048149,-0.0717424398099984,-0.09730599081436528,-0.04702754464913213,-0.1512389241333063,-0.20512897807023045,-0.09913790604560048,-26.120712285545128,-35.42814819865811,-17.122263565734105,0.9266175651191352,0.902899629281747,0.9507056661305836,-0.07919387419709654,-0.10754281823716762,-0.0518502577880351,-0.16694715656782114,-0.22670904657728427,-0.10930457933498024,-28.833705797551143,-39.155275747372066,-18.8781656882522,-0.01570823243451483,-0.02158006850705382,-0.01016667328937975,-2.712993512006016,-3.727127548713959,-1.7559021225180926,0.9113228291571164,0.8898723836641167,0.9550847111048149,-0.09730599081436528,-0.12375664011779366,-0.04702754464913213,-0.06967109860721418,-0.08860976600498699,-0.03367172640742638,-71.82587485279812,-91.35027423194536,-34.713120007656066,0.902899629281747,-0.10754281823716762,-0.07700066800813338,0.8795499372799632,-0.13694510978254687,-0.0980527115297308,0.9507056661305836,-0.0518502577880351,-0.03712478947006787,-79.38213196714781,-101.08526961827916,-38.27297883512151,-0.00732956940091919,-0.00944294552474381,-0.00345306306264148,-7.556257114349686,-9.734995386333829,-3.5598588274654523,0.2419
24510260203,24510260203,Census Tract 2602.03; Baltimore city; Maryland,1723,1261,489,Baltimore city,Maryland,57284,0.6460807352977715,0.2308353601787261,24510,1723,1261,489,0.014642,0.007381444272,0.003640901028,0.8001780225844148,0.71327398649893,0.8467651765089781,-0.24972190159659743,-0.4019857991855982,-0.18096495668701745,-6.300025587314625,-10.141364471496937,-4.565413967482887,-365.64280831773794,-588.587607167553,-264.968889581131,0.7825377204956716,0.6895758189663885,0.8327972609779126,-0.2778936705652788,-0.45016685982247623,-0.2007724410929852,-7.010747651370168,-11.356884267300162,-5.065120472119053,-406.89191244168126,-659.1343161520697,-365.64280831773794,-0.7107220640555427,-1.215519795803225,-0.4997065046361655,-41.24910412394328,-70.54670898451681,-29.00211866721796,0.8705675820992043,0.8304666229277047,0.9121636077284512,-0.14867589899074193,-0.2041423127574073,-0.09629455892269864,-0.682597248410987,-0.9372533269910712,-0.4421052867598721,-54.13142334742165,-74.32619563767418,-35.059895857246005,0.8585838994060085,0.8151816608318956,0.9038159796788188,-0.16470854006443275,-0.22672043306211856,-0.10641991565070724,-0.7562059284724661,-1.04091345549144,-0.4885925835486323,-59.968749284097235,-82.54666578044727,-38.74643802923333,-0.07360868006147914,-0.10366012850036876,-0.04648729678876018,-5.837325936675586,-8.220470142773097,-3.6865421719873255,0.8304666229277047,0.7918217312638157,0.9121636077284512,-0.2041423127574073,-0.26291052710047985,-0.09629455892269864,-0.7368570364310623,-0.9489824487097112,-0.3475777380681282,-150.68651051759963,-194.06594043143377,-71.07929203847203,0.8151816608318956,-0.22672043306211856,-0.8183533543241781,0.7735531488161288,-0.292735995620253,-1.056638260220794,0.9038159796788188,-0.10641991565070724,-0.38412547895844507,-167.35242419717343,-216.08144380793337,-78.55326768066361,-0.08149631789311584,-0.10765581151108285,-0.03654774089031687,-16.66591367957379,-22.015503376499556,-7.47397564219159,0.7113
24510270701,24510270701,Census Tract 2707.01; Baltimore city; Maryland,1688,1045,393,Baltimore city,Maryland,33793,0.6763123268377247,0.20467344452104555,24510,1688,1045,393,0.014642,0.007381444272,0.003640901028,0.7903635998097294,0.7000555577261914,0.8390036959067373,-0.2652404541918911,-0.4284580544550495,-0.19188986279645528,-6.555602432708706,-10.58963902266245,-4.742691514358899,-388.3650730277669,-627.3482833330835,-280.9651371065699,0.7719863541158081,0.6755317389666312,0.8244043246779096,-0.2953596843630048,-0.48031534614452265,-0.21299703321024513,-7.30002016937198,-11.871328079442794,-5.264369921726323,-432.46564984431166,-703.2777298248101,-388.3650730277669,-0.7444177366632747,-1.281689056780344,-0.5216784073674239,-44.10057681654471,-75.92944649172655,-30.90511891987108,0.8639127726754401,0.8219696374082521,0.9075327936993788,-0.1575242682234147,-0.2165899499075105,-0.10188855647154836,-0.5993391322645093,-0.8240687869799959,-0.38765962674863785,-57.35302701095783,-78.85825712727232,-37.09661499986965,0.8513671412591228,0.806011713039137,0.8987699839642693,-0.174581389788027,-0.2406767591868031,-0.11263172762983048,-0.6642370718185966,-0.915712871636192,-0.4285346166939447,-63.563356154889625,-87.62802599389398,-41.008097291286575,-0.06489793955408729,-0.09164408465619622,-0.04087498994530686,-6.210329143931798,-8.769768866621648,-3.9114822914169247,0.8219696374082521,0.7816553884231255,0.9075327936993788,-0.2165899499075105,-0.2793361560742932,-0.10188855647154836,-0.628307431531201,-0.8103283778023161,-0.2955692877088589,-159.87466451175598,-206.19042692170893,-75.20847015492592,0.806011713039137,-0.2406767591868031,-0.6981810396026598,0.7626352212618249,-0.31124287486413366,-0.902886820795602,0.8987699839642693,-0.11263172762983048,-0.32673423455815975,-177.6542085502951,-229.7421935866672,-83.13848207586761,-0.0698736080714587,-0.09255844299328596,-0.03116494684930088,-17.779544038539107,-23.55176666495826,-7.9300119209417,0.6732
