geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
12057002200,12057002200,Census Tract 22; Hillsborough County; Florida,1282,888,327,Tampa city,Florida,51850,0.6152417582234686,0.22773535821300436,12057,1282,888,327,0.01029,0.008241179256,0.003436880739,0.8103152072108597,0.7270151824075408,0.8547565767090627,-0.2340876625554685,-0.3754870932522464,-0.1699237271155557,-3.088032945145979,-4.953343127023119,-2.2415964248884457,-240.87620476957716,-386.3762189565616,-174.85151520190684,0.7934496782040636,0.704202931191945,0.8414468639380125,-0.26031937181379083,-0.4200452109839762,-0.1884291722473729,-3.43407588270573,-5.541144013354198,-2.485716185869449,-267.8686335963908,-432.2265221025115,-240.87620476957716,-0.3460429375597509,-0.5878008863310784,-0.24411976098100352,-26.99242882681364,-45.85030314594995,-19.0421030406399,0.8774089145132835,0.8392248294784002,0.9169118069361992,-0.13971944376097462,-0.19157580290078613,-0.09061743172599626,-0.42641676983178795,-0.5846797900987769,-0.27655987947645094,-48.01990651258873,-65.84231870481722,-31.14413057167241,0.8660086836420225,0.8246433420547868,0.9089925454237602,-0.15472283233289694,-0.21264545410416105,-0.1001190329166158,-0.4722063630276724,-0.6489833141164917,-0.30555829214452035,-53.17639223284599,-73.08370654464997,-34.40971758384238,-0.04578959319588444,-0.06430352401771477,-0.0289984126680694,-5.1564857202572565,-7.241387839832745,-3.265587012169978,0.8392248294784002,0.8023285755023856,0.9169118069361992,-0.19157580290078613,-0.2463721604005449,-0.09061743172599626,-0.5162710442313236,-0.6639398639784823,-0.2442018010331345,-157.88105328175033,-203.03971375488752,-74.67944985722767,0.8246433420547868,-0.21264545410416105,-0.5730509228154133,0.7848514883874419,-0.27412639817324275,-0.7387338050701752,0.9089925454237602,-0.1001190329166158,-0.2698073393854449,-175.2449305245912,-225.9124786147325,-82.50988972031953,-0.05677987858408961,-0.0747939410916929,-0.02560553835231038,-17.36387724284086,-22.872764859844924,-7.830439863091861,0.5905
12057002000,12057002000,Census Tract 20; Hillsborough County; Florida,1851,1265,539,Tampa city,Florida,51770,0.639457675921415,0.20936054025305437,12057,1851,1265,539,0.01029,0.008241179256,0.003436880739,0.8023443630561449,0.7162030127397506,0.8484751066536589,-0.2463476358093688,-0.39625215506231576,-0.1785849604285355,-4.692131686257527,-7.547331584519366,-3.401470238440626,-253.49171724784048,-407.7434675591229,-183.76392428096307,0.7848684764237636,0.692691339643411,0.8346473438136829,-0.27409882042463807,-0.44364443839414497,-0.19811080381659796,-5.2207026718757925,-8.450002452761217,-3.77337487702594,-282.0476862169526,-456.5101271075752,-253.49171724784048,-0.5285709856182654,-0.9026708682418504,-0.3719046385853142,-28.55596896911212,-48.76665954845222,-20.09209284631627,0.8720323323877364,0.8323398185814481,0.9131812657598518,-0.14674647127116464,-0.20143236893831917,-0.09507283766701775,-0.6380029025945244,-0.8757582717042923,-0.4133438157935064,-50.43501206280826,-69.2299029015251,-32.6754004579847,0.8601730792277351,0.8172044796658907,0.9049252210040686,-0.1625567274179305,-0.2236839431042328,-0.10506368569376404,-0.7067404281038115,-0.9725004201333146,-0.456780567527498,-55.868808545755854,-76.87750356785097,-36.109135772924745,-0.06873752550928713,-0.09674214842902228,-0.04343675173399158,-5.433796482947599,-7.647600666325872,-3.4337353149400465,0.8323398185814481,0.7940665449346186,0.9131812657598518,-0.20143236893831917,-0.2593402988440187,-0.09507283766701775,-0.8947617003455824,-1.1519884712911326,-0.42231312840126994,-166.00402603814146,-213.7269891078168,-78.35122975904822,0.8172044796658907,-0.2236839431042328,-0.9936030953060686,0.7759658149598556,-0.2887165654993896,-1.282477719076396,0.9049252210040686,-0.10506368569376404,-0.46669243156601187,-184.3419471810888,-237.9364970457135,-86.58486670983523,-0.09884139496048616,-0.13048924778526327,-0.04437930316474192,-18.33792114294734,-24.20950793789671,-8.233636950786998,0.9278
12057006200,12057006200,Census Tract 62; Hillsborough County; Florida,2737,2250,559,Tampa city,Florida,59487,0.5878020227448961,0.2180580688167919,12057,2737,2250,559,0.01029,0.008241179256,0.003436880739,0.8194429367628802,0.7394641542813767,0.8619305067201046,-0.2203412283354236,-0.35233059535092176,-0.16018634008591923,-6.20563086270722,-9.922943758202615,-4.5114448318680065,-226.73112395715088,-362.5481826160985,-164.83174394841092,0.8032867210051078,0.7174784131448403,0.8492185602401662,-0.24488551080336032,-0.3937701562571276,-0.1775531610109788,-6.896889407177923,-11.090036362883552,-5.000559287359734,-251.98719061665776,-405.1894907885843,-226.73112395715088,-0.6912585444707036,-1.167092604680937,-0.4891144554917277,-25.25606665950689,-42.64130817248581,-17.870458731886288,0.8835413446770443,0.8470952831195745,0.9211574095318412,-0.13180894818852443,-0.18050474359546367,-0.08559079007813536,-1.019276179328224,-1.395839872263111,-0.6618720101745054,-45.301163525698854,-62.03732765613827,-29.41653378553357,0.8726690317214467,0.8331543953658815,0.91362344301637,-0.14590980503499398,-0.2002577260134934,-0.09454284217845148,-1.128317846751036,-1.548589323086358,-0.7310980649102324,-50.1474598556016,-68.82619213717146,-32.49324732934366,-0.10904166742281184,-0.15274945082324698,-0.06922605473572707,-4.846296329902749,-6.788864481033198,-3.076713543810092,0.8470952831195745,0.8117944540298941,0.9211574095318412,-0.18050474359546367,-0.23183891567110315,-0.08559079007813536,-0.8315527192274506,-1.068039968972286,-0.3943012954263881,-148.75719485285342,-191.0626062562229,-70.53690436965798,0.8331543953658815,-0.2002577260134934,-0.9225511379691586,0.7950431278547001,-0.25779340134458373,-1.1876075920055182,0.91362344301637,-0.09454284217845148,-0.435541780958264,-165.0359817476133,-212.4521631494666,-77.91445097643363,-0.090998418741708,-0.11956762303323232,-0.04124048553187587,-16.27878689475993,-21.389556893243707,-7.377546606775648,0.0371
12057001400,12057001400,Census Tract 14; Hillsborough County; Florida,3137,2217,593,Tampa city,Florida,82694,0.6608280634216654,0.2089171074388012,12057,3137,2217,593,0.01029,0.008241179256,0.003436880739,0.7953752991494506,0.7067949888977246,0.8429701056511687,-0.2572681111286315,-0.4148374220359718,-0.1862816881596655,-8.30454516484222,-13.39083997721722,-6.0131225977381995,-264.72888635136184,-426.867707275015,-191.6838571162958,0.7773727441451613,0.6826888470333616,0.8286924665794841,-0.2863841799594491,-0.4647961576427101,-0.20672027359872816,-9.244404005362428,-15.00349447374412,-6.672874617293074,-294.68932117827313,-478.2752462143487,-264.72888635136184,-0.9398588405202072,-1.6126544965268987,-0.6597520195548743,-29.960434826911296,-51.40753893933371,-21.03130441679548,0.8673149076274347,0.8263107757190757,0.9099016973713526,-0.15298375619477045,-0.21019842580386985,-0.09901982037063516,-1.1656696128262691,-1.6016204838867982,-0.7544879178323551,-52.57869250456785,-72.24269210134408,-34.03193134110759,0.8550558691193998,0.8106954918019308,0.9013509539386872,-0.16951422253831724,-0.2335087713110413,-0.1094457665243933,-1.2916245689719894,-1.779235167288852,-0.8339290880499695,-58.260016642850225,-80.25417985064736,-37.61520469327783,-0.12595495614572028,-0.17761468340205375,-0.07944117021761432,-5.681324138282377,-8.011487749303283,-3.583273352170244,0.8263107757190757,0.7868460562805979,0.9099016973713526,-0.21019842580386985,-0.27089662840400525,-0.09901982037063516,-1.0272437634825733,-1.3238770509923932,-0.4839117731157957,-173.2282906378707,-223.25076745234287,-81.60400895713248,0.8106954918019308,-0.2335087713110413,-1.1411618718380028,0.7682078658626167,-0.3017310085429874,-1.4745652617983809,0.9013509539386872,-0.1094457665243933,-0.5348635731775446,-192.43876422226015,-248.66193284964265,-90.19621807378492,-0.11391810835542948,-0.1506882108059877,-0.05095180006174898,-19.210473584389455,-25.411165397299783,-8.592209116652443,0.86
12057001600,12057001600,Census Tract 16; Hillsborough County; Florida,1589,1204,248,Tampa city,Florida,51826,0.6538643313947963,0.22370115845039093,12057,1589,1204,248,0.01029,0.008241179256,0.003436880739,0.7976395566151905,0.7098470241528637,0.8447600251338309,-0.2536991072051801,-0.408754232918574,-0.18376813562120828,-4.14818589908153,-6.683462799147349,-3.004757869596608,-261.05638131413025,-420.60810567321266,-189.0974115542233,0.7798073993396203,0.6859322821395349,0.8306282353263585,-0.28236792937185484,-0.457869859807205,-0.2039080270454499,-4.6169443632526175,-7.486543082434245,-3.3340614076950126,-290.5565993236386,-471.1480857416139,-261.05638131413025,-0.4687584641710876,-0.8030802832868966,-0.3293035380984044,-29.50021800950834,-50.539980068401306,-20.723948275544643,0.8688493129522928,0.8282705811300011,0.910969078344588,-0.15094756374044396,-0.20733492506242376,-0.09773210065175753,-0.6246216843998821,-0.8579528342047392,-0.40441586347168984,-51.87887744185067,-71.25854104690525,-33.589357431203474,0.8567200052800743,0.8128107892307657,0.902514107495022,-0.16724249910924557,-0.23029862945887805,-0.10801592096499796,-0.6920501988126722,-0.9529767442616004,-0.4469703572770172,-57.479252393079086,-79.1508923805316,-37.12378382699478,-0.06742851441279007,-0.09502391005686128,-0.04255449380532733,-5.600374951228412,-7.892351333626353,-3.5344263957913067,0.8282705811300011,0.7891916764767399,0.910969078344588,-0.20733492506242376,-0.2671192940913807,-0.09773210065175753,-0.4237537023002528,-0.545941740365126,-0.1997460846130689,-170.86842834687613,-220.137798534325,-80.54277605365681,0.8128107892307657,-0.23029862945887805,-0.47068720736987063,0.7707273058881621,-0.29747576394433206,-0.6079846715552341,0.902514107495022,-0.10801592096499796,-0.22076428465927023,-189.79322877817364,-245.15510949807825,-89.01785671744767,-0.04693350506961785,-0.06204293119010806,-0.021018200046201332,-18.92480043129752,-25.017310963753253,-8.47508066379086,0.0805
12057006501,12057006501,Census Tract 65.01; Hillsborough County; Florida,2321,1555,568,Tampa city,Florida,54288,0.545787667958037,0.21512212955390655,12057,2321,1555,568,0.01029,0.008241179256,0.003436880739,0.8336184982870953,0.7589397243683337,0.8730317187770791,-0.1995895029378336,-0.3176276954435361,-0.14543375514554602,-4.766814061719545,-7.585930836770563,-3.473407463179039,-205.37759852303083,-326.83889861139863,-149.65133404476686,0.8185855565848522,0.7382917471183746,0.8612575160385835,-0.22161940429539315,-0.3544780960956132,-0.161092915159188,-5.292956178533262,-8.466032272080179,-3.847396591109251,-228.0463670199596,-364.757960882386,-205.37759852303083,-0.526142116813717,-0.8801014353096157,-0.37398912793021255,-22.66876849692878,-37.91906227098732,-16.113275654037594,0.893014174256615,0.8592893964536205,0.9276961897679212,-0.11980305445033368,-0.16375228663021713,-0.07793910444988114,-0.6402694000378346,-0.8751494592236637,-0.4165338177274873,-41.174881031372,-56.27970798866004,-26.78674068987057,0.8829664203374591,0.8463566247544185,0.9207598005087754,-0.1325459009163815,-0.1815350299764749,-0.08605957758737907,-0.7083716258034812,-0.9701866556087976,-0.4599324646787185,-45.554445389291395,-62.391424797993416,-29.577650461653924,-0.06810222576564662,-0.09503719638513386,-0.04339864695123119,-4.379564357919397,-6.111716809333368,-2.7909097717833564,0.8592893964536205,0.8265049956539511,0.9276961897679212,-0.16375228663021713,-0.20991404196991623,-0.07793910444988114,-0.7665227862933226,-0.9826054929921334,-0.3648321543077922,-134.95119476995117,-172.9939248225587,-64.23101308235778,0.8463566247544185,-0.1815350299764749,-0.849763626822735,0.8109050988754427,-0.2331899273870552,-1.0915596756209165,0.9207598005087754,-0.08605957758737907,-0.4028440063769552,-149.6062723279463,-192.17599922903457,-70.9232405593231,-0.08324084052941239,-0.10895418262878288,-0.03801185206916302,-14.655077557995137,-19.18207440647586,-6.6922274769653205,0.5961
12101032109,12101032109,Census Tract 321.09; Pasco County; Florida,3213,2128,742,Tampa city,Florida,152136,0.7251295141564813,0.2088742451049286,12101,3213,2128,742,0.01491599999999999,0.008241179256,0.003436880739,0.774769017479966,0.679225968580793,0.8266205670057185,-0.2907072655701002,-0.4722640862649105,-0.20974488164783597,-13.932177098831731,-22.63330733876715,-10.052046105419755,-433.61895732436136,-704.4291110727404,-312.85546546591206,0.7552478015463928,0.653455036961866,0.8110298287434315,-0.3240687334044133,-0.5303271739236092,-0.23300027268953752,-15.531029047829712,-25.41598708562375,-11.166563232675534,-483.38092274602275,-791.0360126244553,-433.61895732436136,-1.5988519489979804,-2.782679746856602,-1.1145171272557786,-49.76196542166139,-86.60690155171496,-34.68774127780201,0.8532739863815937,0.8084320780358332,0.900104655601109,-0.17195650630416476,-0.23696229673320277,-0.1109819216879606,-1.257635241496234,-1.7330669346725724,-0.8116865065685158,-59.09940044625159,-81.44111535115472,-38.14316290265582,0.8398415484089738,0.7914215860078051,0.8906812476539463,-0.19070079575657584,-0.26354905865574646,-0.122736110852226,-1.3947250178520088,-1.9275140624358984,-0.8976529107826452,-65.54158918477485,-90.57866834755164,-42.18293753677844,-0.1370897763557748,-0.19444712776332615,-0.08596640421412938,-6.442188738523251,-9.137552996396908,-4.0397746341226215,0.8084320780358332,0.7655138777869616,0.900104655601109,-0.23696229673320277,-0.3063120460871575,-0.1109819216879606,-1.449013783104506,-1.8730843802166877,-0.6786494578179314,-195.2848764291787,-252.43724800763985,-91.46219108058376,0.7914215860078051,-0.26354905865574646,-1.611590636067992,0.7453296103098285,-0.34168827612297165,-2.0894084352366513,0.8906812476539463,-0.122736110852226,-0.7505257957123712,-217.1955035132065,-281.59143332030345,-101.14902907174816,-0.16257685296348612,-0.21632405501996368,-0.07187633789443981,-21.910627084027777,-29.154185312663568,-9.686837991164396,0.4422
12057000702,12057000702,Census Tract 7.02; Hillsborough County; Florida,1731,1136,461,Tampa city,Florida,47099,0.7009546159551061,0.19194412483934883,12057,1731,1136,461,0.01029,0.008241179256,0.003436880739,0.7824528136784693,0.6894624142861956,0.8327298381554638,-0.27803233948229705,-0.45040538726872553,-0.20086966286094377,-4.952309250535281,-8.022616253976667,-3.5778884261825015,-286.0952773272837,-463.46714349951856,-206.69488308391112,0.7634910883957142,0.664296027529609,0.8176257097002724,-0.30977298255209523,-0.505352973009353,-0.2230535171974753,-5.517673267488095,-9.001342101712867,-3.973027017786258,-318.756399046106,-520.0082092266243,-286.0952773272837,-0.565364016952814,-0.9787258477362002,-0.3951385916037564,-32.6611217188223,-56.541065727105725,-22.827186112290956,0.8585259736027334,0.8151079528768863,0.903775534640939,-0.1647871243820178,-0.2268313619938876,-0.10646942926740108,-0.6433777961837849,-0.8856168971470872,-0.41568822212229134,-56.63536938237543,-77.95923390379289,-36.59227307414537,0.8455295352916219,0.7986134929865741,0.8946777539521418,-0.18269079702236715,-0.25217017841797407,-0.1177208727752631,-0.7132790429598398,-0.9845471499199988,-0.4596171938494328,-62.788648147873225,-86.66788291549285,-40.459260021957114,-0.06990124677605491,-0.09893025277291156,-0.0439289717271415,-6.1532787654977925,-8.708649011699961,-3.866986947811752,0.8151079528768863,0.7734652644841074,0.903775534640939,-0.2268313619938876,-0.2928828816469073,-0.10646942926740108,-0.8617739988492309,-1.112715851515024,-0.4044969135151426,-186.93579150742536,-241.37003286659953,-87.74336518766651,0.7986134929865741,-0.25217017841797407,-0.9580408155889724,0.7538499254828623,-0.32652397539135064,-1.2405245444002344,0.8946777539521418,-0.1177208727752631,-0.4472432135830219,-207.8179643360027,-269.0942612581853,-97.01588147137134,-0.09626681673974148,-0.12780869288521046,-0.04274630006787927,-20.882172828577325,-27.724228391585783,-9.272516283704832,0.9521
12057014200,12057014200,Census Tract 142; Hillsborough County; Florida,2112,1023,544,Tampa city,Florida,71211,0.460501490010291,0.24293639039204631,12057,2112,1023,544,0.01029,0.008241179256,0.003436880739,0.8631524964251502,0.800065441844998,0.8960080364208775,-0.15854383106301626,-0.24989775548102816,-0.1160614183713358,-3.44555063770038,-5.430897973036336,-2.5223024535266885,-163.14160216384374,-257.144790389978,-119.42719950410456,0.8505430183564806,0.7824166126193928,0.88622315999313,-0.17571948557324915,-0.2780914718211011,-0.1283839614479857,-3.818820205830926,-6.043617349522644,-2.7901018744891206,-180.8153506548734,-286.1561245039131,-163.14160216384374,-0.37326956813054624,-0.6127193764863081,-0.26779942096243214,-17.673748491029652,-29.01133411393504,-12.679896825872731,0.9125568318156564,0.8845850782213075,0.9411125396440686,-0.09582216157470816,-0.13047351195519233,-0.0625721769451747,-0.33690391633962596,-0.4587356038928219,-0.2199993312641947,-32.93293414854604,-44.84219001884867,-21.50531097401708,0.9042445769799248,0.8738030776823564,0.9354179859163844,-0.10589549050975508,-0.1444226113878698,-0.06904080855399375,-0.37232102562857294,-0.5077796470562179,-0.2427425807020643,-36.39501716799344,-49.63632913550517,-23.728502512420754,-0.03541710928894698,-0.049044043163396,-0.02274324943786962,-3.4620830194474075,-4.794139116656501,-2.2231915384036776,0.8845850782213075,0.8571912336867072,0.9411125396440686,-0.13047351195519233,-0.16660082453139924,-0.0625721769451747,-0.5849390464993338,-0.7469050689834008,-0.2805236784939743,-107.5255600182599,-137.29872591606633,-51.56685266433351,0.8738030776823564,-0.1444226113878698,-0.6474756702124816,0.8440836597849293,-0.18471669058822665,-0.828122147139689,0.9354179859163844,-0.06904080855399375,-0.3095238575243165,-119.02126290670618,-152.22833587126635,-56.89776792726406,-0.06253662371314783,-0.0812170781562882,-0.02900017903034218,-11.495702888446292,-14.929609955200036,-5.3309152629305485,0.9632
12057001500,12057001500,Census Tract 15; Hillsborough County; Florida,2006,1125,431,Tampa city,Florida,57666,0.6897201684934703,0.1978679829952825,12057,2006,1125,431,0.01029,0.008241179256,0.003436880739,0.7860494815824078,0.6942718121037126,0.8355842571093324,-0.2721845423609786,-0.4403580594319401,-0.19676740136231957,-5.618362555434307,-9.089756569698656,-4.061621539396647,-280.077894089447,-453.1284431554664,-202.47365600182687,0.7673524325087767,0.6693950341657973,0.8207091473071153,-0.30318215937702436,-0.4938861941905559,-0.21845845544815495,-6.2582073064990995,-10.194670410070966,-4.509362638162399,-311.9744419989581,-508.2088938220821,-280.077894089447,-0.6398447510647927,-1.1049138403723102,-0.44774109876575174,-31.896547909511103,-55.08045066661566,-22.320094654324613,0.8609776428214381,0.8182290693329969,0.9054865401121396,-0.1614703451799089,-0.2221516412453776,-0.10437864694946798,-0.6243236091770742,-0.8589472840501606,-0.4035790814214461,-55.49543192685103,-76.3508696933476,-35.87369612635076,0.8481859254106351,0.8019778898229415,0.8965410901722766,-0.17898678820432756,-0.2469171690266639,-0.11539784507572665,-0.6920507755292915,-0.9547029701506672,-0.4461847099457297,-61.515624491492574,-84.86248623561485,-39.66086310628708,-0.06772716635221732,-0.09575568610050655,-0.04260562852428362,-6.0201925646415395,-8.51161654226725,-3.787166979936322,0.8182290693329969,0.7771884532814026,0.9054865401121396,-0.2221516412453776,-0.2866892138938177,-0.10437864694946798,-0.7890711354301545,-1.018305254260552,-0.3707475533440097,-183.079149751776,-236.26572024606773,-86.02031400093033,0.8019778898229415,-0.2469171690266639,-0.8770370087244319,0.757842529043177,-0.31953534101940917,-1.1349729983302257,0.8965410901722766,-0.11539784507572665,-0.40988717494785265,-203.4888651332789,-263.3348023968041,-95.10143270251804,-0.08796587329427741,-0.11666774406967372,-0.03913962160384293,-20.40971538150288,-27.069082150736364,-9.081118701587688,0.2243
12057002100,12057002100,Census Tract 21; Hillsborough County; Florida,2158,1294,430,Tampa city,Florida,51685,0.6433337798262284,0.2221859990519509,12057,2158,1294,430,0.01029,0.008241179256,0.003436880739,0.8010758151029669,0.7144873618985828,0.8474739621453895,-0.24832129637001243,-0.399604882223157,-0.17997725554716654,-5.51417800935915,-8.873554085768625,-3.996542540774382,-255.52261396474285,-411.19342380762856,-185.1965959580344,0.7835035749431264,0.6908662964420164,0.8335640962191718,-0.2763183627752928,-0.44745807567981266,-0.19966779343752664,-6.135875826482853,-9.9361734860923,-4.433787080870898,-284.33159529577637,-460.4343598745274,-255.52261396474285,-0.6216978171237031,-1.0626194003236744,-0.43724454009651614,-28.80898133103351,-49.240936066898726,-20.261563489180546,0.8711747976406475,0.8312430304046778,0.9125855500752764,-0.14787526304507698,-0.20301760546872247,-0.09578767702108933,-0.6576491584744335,-0.9028850034998792,-0.4259988039104111,-50.822964333418355,-69.77472979133532,-32.921082218733474,0.8592426650706584,0.8160200292456599,0.904275879368472,-0.163815579290126,-0.22546011637044464,-0.10585720886238824,-0.7285409043182075,-1.002694113587966,-0.47078127127713426,-56.30146092103613,-77.487953136628,-36.38186022234422,-0.070891745843774,-0.09980911008808702,-0.04478246736672314,-5.478496587617775,-7.7132233452926595,-3.4607780036107534,0.8312430304046778,0.7927520106036011,0.9125855500752764,-0.20301760546872247,-0.26142852572344827,-0.09578767702108933,-0.7194349258803999,-0.92642611754106,-0.3394434692440505,-167.31044787916278,-215.44793431187443,-78.94034168466291,0.8160200292456599,-0.22546011637044464,-0.7989646106576055,0.7745529054736033,-0.2910673924701711,-1.0314575794769694,0.904275879368472,-0.10585720886238824,-0.37512694052315254,-185.80572340874548,-239.87385569231847,-87.23882337747735,-0.07952968477720557,-0.1050314619359094,-0.03568347127910204,-18.495275529582692,-24.425921380444045,-8.298481692814427,0.5479
