geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
47125101803,47125101803,Census Tract 1018.03; Montgomery County; Tennessee,5811,4113,1524,Clarksville city,Tennessee,525230,0.79615169698484,0.16248015546637687,47125,5811,4113,1524,0.009446,0.007511132516,0.003803074181,0.7526288952973176,0.6500235584372114,0.8089304873403271,-0.3286760663168018,-0.5384057808677012,-0.23620016262199245,-18.041261325432068,-29.55347342630941,-12.965193683635976,-310.4674122428509,-508.5781006076305,-223.11467361273404,0.7315415139247899,0.6226184794624785,0.7919583168661595,-0.3669764202921372,-0.6061200124726848,-0.26269271842118863,-20.143594795188136,-33.27035540535447,-14.419388775198248,-346.6459266079528,-572.5409637816981,-310.4674122428509,-2.1023334697560685,-3.7168819790450622,-1.4541950915622728,-36.17851436510185,-63.9628631740675,-25.024868207920715,0.8380295570655552,0.7891339718481558,0.8894061896962276,-0.1932753344662456,-0.2672119509162619,-0.12434567196068776,-3.02322130641047,-4.179741122003523,-1.945020485255614,-73.50404343327182,-101.6226871384275,-47.28958145527873,0.8233514790189169,0.7706653161221556,0.879043085787214,-0.21454813100180817,-0.29758012859825306,-0.1376006661885803,-3.3559713280873393,-4.65476149673783,-2.1523556895990894,-81.59424575947823,-113.1719303850676,-52.33055408701895,-0.3327500216768695,-0.47502037473430736,-0.2073352043434753,-8.090202326206407,-11.5492432466401,-5.040972631740221,0.7891339718481558,0.7426236060008075,0.8894061896962276,-0.2672119509162619,-0.34657717842450686,-0.12434567196068776,-3.058766104742978,-3.967257161991799,-1.423380673508994,-200.70643731909303,-260.3187114167847,-93.39768198877913,0.7706653161221556,-0.29758012859825306,-3.406389600765415,0.7208511990261658,-0.3872488543418536,-4.432824451525407,0.879043085787214,-0.1376006661885803,-1.5751101411612365,-223.51637800298,-290.86774616308446,-103.35368380323072,-0.3476234960224369,-0.46556728953360826,-0.15172946765224227,-22.809940683886936,-30.549034746299757,-9.956001814451591,0.3524
47125100100,47125100100,Census Tract 1001; Montgomery County; Tennessee,1342,571,221,Clarksville city,Tennessee,55961,0.581502143827822,0.26299642300923987,47125,1342,571,221,0.009446,0.007511132516,0.003803074181,0.821553040000228,0.7423522667776642,0.8635860471949284,-0.2172068646958235,-0.3470693695605051,-0.15796220104315825,-2.753429770936277,-4.399635969453569,-2.002412896314029,-205.1736043916749,-327.84172648685313,-149.21109510536726,0.8055623639985087,0.7205614818774546,0.8510129690611773,-0.24136881846909533,-0.387806627401809,-0.1750702237865806,-3.059719551125678,-4.916043122071108,-2.21928329407775,-227.9969859259074,-366.3221402437487,-205.1736043916749,-0.3062897801894007,-0.5164071526175391,-0.2168703977637212,-22.82338153423254,-38.48041375689561,-16.16023828343675,0.8849553261337773,0.8489126511926455,0.9221349274115032,-0.13000054406004177,-0.17797749697226267,-0.0844399992602703,-0.28230337791212845,-0.3864879870380384,-0.1833661327683544,-49.440171263069786,-67.68616235342178,-32.113158103039304,0.8742053946527483,0.8351208111895974,0.9146899748317674,-0.14389593809040704,-0.197431541162935,-0.09326660126992546,-0.31247799526127124,-0.42873352092243594,-0.20253358764962623,-54.72469269024015,-75.08467967117969,-35.46998032392754,-0.03017461734914278,-0.04224553388439756,-0.0191674548812718,-5.2845214271703655,-7.39851731775789,-3.3568222208882323,0.8489126511926455,0.8139834376152231,0.9221349274115032,-0.17797749697226267,-0.2285262252138213,-0.0844399992602703,-0.29543557678204846,-0.3793444581726621,-0.14016704532495788,-133.68125646246537,-171.6490760962272,-63.4240024094832,0.8351208111895974,-0.197431541162935,-0.32772851754135385,0.7974016409939341,-0.2540731653794115,-0.42175136427727983,0.9146899748317674,-0.09326660126992546,-0.15481885412163102,-148.29344685129132,-190.8377213924343,-70.05378014553439,-0.03229294075930539,-0.04240690610461772,-0.01465180879667313,-14.612190388825969,-19.188645296207113,-6.629777736051191,0.6901
47125101202,47125101202,Census Tract 1012.02; Montgomery County; Tennessee,2976,1632,636,Clarksville city,Tennessee,191404,0.7738569496890891,0.1776316700343834,47125,2976,1632,636,0.009446,0.007511132516,0.003803074181,0.7595099570114344,0.659052746083294,0.8144424694041826,-0.31663843346420406,-0.5173292364578291,-0.22783380971226205,-8.901116728088546,-14.542795295520026,-6.404703663629073,-299.0966642502872,-488.66919675806537,-215.21181665420272,0.7389019606024123,0.6321384269006314,0.7978963037897767,-0.35335951630811696,-0.5819319905973608,-0.25329569174626976,-9.933393957354305,-16.358862439551626,-7.120470166204146,-333.7833991046473,-549.692958318267,-299.0966642502872,-1.0322772292657572,-1.8160671440315992,-0.7157665025750726,-34.68673485436012,-61.02376156020159,-24.05129376932367,0.8427854126675406,0.7951417545889269,0.892750806246344,-0.186541656950198,-0.25763738884141596,-0.12013340453266633,-1.157792631060516,-1.599056613750892,-0.7456220384558206,-70.94317592282573,-97.98141015630466,-45.68762490538117,0.8284927475064431,0.7771216634773686,0.8826799793657462,-0.20701116939134476,-0.2867997985351777,-0.13291342658361266,-1.2848390562570522,-1.780056523365822,-0.8249427413877503,-78.72788334908408,-109.0720908925136,-50.54796209483764,-0.1270464251965362,-0.18099990961492973,-0.07932070293192961,-7.784707426258346,-11.09068073620893,-4.860337189456471,0.7951417545889269,0.7497344582613403,0.892750806246344,-0.25763738884141596,-0.33380557473513217,-0.12013340453266633,-1.2307544896703644,-1.5946160284800155,-0.5738869177834063,-193.5148568664095,-250.72579064151188,-90.23379210430916,0.7771216634773686,-0.2867997985351777,-1.370065661940847,0.7284474358654094,-0.3727826480876839,-1.780812636971464,0.8826799793657462,-0.13291342658361266,-0.6349381091031965,-215.41912923598215,-280.0019869451987,-99.83303602251516,-0.1393111722704823,-0.18619660849144837,-0.0610511913197902,-21.904272369572688,-29.276196303686852,-9.599243918206009,0.5158
47125101304,47125101304,Census Tract 1013.04; Montgomery County; Tennessee,3499,1459,371,Clarksville city,Tennessee,150331,0.7331135504198713,0.18364949876489595,47125,3499,1459,371,0.009446,0.007511132516,0.003803074181,0.7722479676909243,0.6758787619062223,0.8246127721412465,-0.2949208568202132,-0.47955529358496,-0.21269040910357345,-9.747592624919545,-15.850047681909157,-7.029748541768848,-278.58224135237333,-452.98793032035314,-200.90736043923545,0.7525449599174306,0.649913681990894,0.8088631732621163,-0.3288242606923049,-0.5386658685760842,-0.23630303994065607,-10.868152808781792,-17.803744043199348,-7.81018268496275,-310.60739664995117,-508.82377945696913,-278.58224135237333,-1.1205601838622492,-1.9536963612901912,-0.7804341431939017,-32.02515529757786,-55.835849136615934,-22.30449108870825,0.8515465249028985,0.8062393267901674,0.8988955840930275,-0.17433395681349248,-0.2403264970728238,-0.11247626275635272,-0.967324251272256,-1.3334960847046016,-0.624095377890659,-66.30049700289622,-91.39794960278284,-42.77555708640569,0.8379714437302885,0.7890606323890489,0.8893652812809444,-0.19335808813296787,-0.2673297322821534,-0.1243973888430966,-1.0728831677397124,-1.4833285370749578,-0.6902419541340843,-73.53551526660125,-101.66748026559,-47.30924976929981,-0.1055589164674564,-0.14983245237035625,-0.06614657624342524,-7.235018263705031,-10.269530662807146,-4.533692682894122,0.8062393267901674,0.762905838902165,0.8988955840930275,-0.2403264970728238,-0.31077775133955937,-0.11247626275635272,-0.6697010658160444,-0.866022656007629,-0.3134297464674056,-180.5124166620066,-233.4292873335927,-84.48241144674006,0.7890606323890489,-0.2673297322821534,-0.7449490955607192,0.7425368864720636,-0.3467344427173085,-0.9662206567782238,0.8893652812809444,-0.1243973888430966,-0.3466495160028499,-200.79490446380572,-260.43683471111154,-93.43652722448785,-0.07524802974467482,-0.10019800077059482,-0.03321976953544425,-20.282487801799142,-27.00754737751882,-8.954115777747777,0.7649
47125102100,47125102100,Census Tract 1021; Montgomery County; Tennessee,3620,2495,1188,Clarksville city,Tennessee,178089,0.7442018155649842,0.21361981535833255,47125,3620,2495,1188,0.009446,0.007511132516,0.003803074181,0.7687603243911203,0.6712574905332831,0.8218324246843858,-0.300795538312969,-0.4897412901948344,-0.21679307114712248,-10.285559050753584,-16.74646834239307,-7.413135007201702,-284.1314654904305,-462.6096227180406,-204.78273500557188,0.7488072791085739,0.6450272457832513,0.8058637105486695,-0.33545710344918295,-0.5503221089300006,-0.2409046181260024,-11.470794633035156,-18.81800036024908,-8.237617782601951,-316.8727799180982,-519.8342640952785,-284.1314654904305,-1.185235582281571,-2.0715320178560113,-0.8244827754002495,-32.7413144276677,-57.22464137723788,-22.775767276249987,0.8491532184080315,0.8032038862954698,0.8972191137565503,-0.17764377302222537,-0.24501389629996884,-0.1145549450157368,-1.6856031542576428,-2.324856027396534,-1.086974079469582,-67.55924465962497,-93.18060230046228,-43.56609536952233,0.8353811396080368,0.7857934080791934,0.8875408859168298,-0.19705838758725483,-0.2725991204792832,-0.12670865744624257,-1.8698220266265364,-2.5866031187608853,-1.202296646989231,-74.94276659825798,-103.67146768580704,-48.188242364297835,-0.18421887236889356,-0.26174709136435137,-0.11532256751964898,-7.383521938633008,-10.490865385344744,-4.62214699477551,0.8032038862954698,0.7592985153218159,0.8972191137565503,-0.24501389629996884,-0.31700507747755413,-0.1145549450157368,-2.186314229924211,-2.828707768472362,-1.022199598383036,-184.0331843370548,-238.1067145178756,-86.04373723762929,0.7857934080791934,-0.2725991204792832,-2.432463403785955,0.7386756887110063,-0.35377407877739453,-3.156805855870326,0.8875408859168298,-0.12670865744624257,-1.1306499141997752,-204.75281176649457,-265.72439864228335,-95.17255170031778,-0.2461491738617441,-0.3280980873979642,-0.10845031581673936,-20.719627429439736,-27.61768412440776,-9.1288144626884975,0.8573
47125102009,47125102009,Census Tract 1020.09; Montgomery County; Tennessee,3718,2298,616,Clarksville city,Tennessee,152636,0.7885687231707361,0.15699840151891206,47125,3718,2298,616,0.009446,0.007511132516,0.003803074181,0.7549622836276842,0.6530806324337045,0.8108010445858603,-0.32456948073601793,-0.5312044950307295,-0.2333481890255561,-11.398954165290556,-18.656022980104087,-8.195241601964627,-306.5883315032425,-501.7757660060271,-220.42069935354027,0.7340367121354883,0.6258402419079228,0.7939729918054426,-0.3623296811555391,-0.5978518686357114,-0.25948868578774387,-12.725101013349835,-20.99669393671223,-9.113301808285923,-342.25661681952226,-564.7308751132929,-306.5883315032425,-1.326146848059281,-2.340670956608143,-0.9180602063212966,-35.66828531627975,-62.95510910726582,-24.692313241562573,0.8396441173655079,0.7911722504438188,0.8905423648241203,-0.1909807730656524,-0.2639472623553676,-0.1229112050132475,-1.6690696802666,-2.3067577207642445,-1.0741781089247195,-72.63140471134028,-100.3811018609332,-46.744043034147936,0.8250965564346554,0.7728552315524037,0.8802783950724599,-0.21197936435600223,-0.2939033847145469,-0.136004252288488,-1.852586122725365,-2.5685581877194954,-1.1886043303637164,-80.6173247487104,-111.77363741164037,-51.7234260384559,-0.1835164424587652,-0.26180046695525094,-0.11442622143899683,-7.985920037370113,-11.392535550707178,-4.979383004307956,0.7911722504438188,0.7450345753126789,0.8905423648241203,-0.2639472623553676,-0.34221958703099953,-0.1229112050132475,-1.2212464047085358,-1.5834013073405495,-0.5686926467103391,-198.25428647865843,-257.04566677606323,-92.32023485557454,0.7728552315524037,-0.2939033847145469,-1.3598491180070045,0.7234259288669296,-0.3823115264423219,-1.7689010031015509,0.8802783950724599,-0.136004252288488,-0.6292723123938511,-220.75472694918903,-287.15925375025176,-102.15459616783296,-0.13860271329846863,-0.18549969576100137,-0.06057966568351192,-22.50044047053062,-30.11358697418853,-9.834361312258428,0.1428
47125101101,47125101101,Census Tract 1011.01; Montgomery County; Tennessee,2037,895,329,Clarksville city,Tennessee,87906,0.6910538780131424,0.1993634551841048,47125,2037,895,329,0.009446,0.007511132516,0.003803074181,0.7856216359164426,0.6936991088588716,0.8352448805135477,-0.27287736778466,-0.4415471884416723,-0.19725367174373232,-5.250570417983271,-8.496031109494815,-3.795456919364369,-257.75996160938985,-417.08547420200375,-186.32581832912953,0.7668930092380485,0.6687876585323823,0.8203424862566032,-0.30396285786143296,-0.4952429029483662,-0.2190030587873269,-5.848701937466478,-9.529217307566794,-4.213947793662468,-287.12331553590957,-467.8064461250267,-257.75996160938985,-0.5981315194832071,-1.033186198071979,-0.4184908742980995,-29.36335392651974,-50.72097192302303,-20.544471001379456,0.860686224421411,0.8178579183521965,0.9052832469274884,-0.16186360560405338,-0.22270626420635473,-0.10462664960826162,-0.5509434728881264,-0.7580367567983862,-0.35612310424389365,-61.557929931634234,-84.69684433501521,-39.79029097697136,0.8478701331433476,0.801577741559151,0.8963196793581921,-0.17942590605551162,-0.2475396310966637,-0.1156733730492763,-0.6107211774964119,-0.8425633639191978,-0.3937234045332311,-68.23700307222478,-94.14115797979863,-43.99144184728839,-0.05977770460828546,-0.08452660712081161,-0.03760030028933747,-6.679073140590554,-9.44431364478342,-4.201150870317036,0.8178579183521965,0.776745515066514,0.9052832469274884,-0.22270626420635473,-0.2874229469022017,-0.10462664960826162,-0.5503433903944913,-0.7102688361238291,-0.25854946324129563,-167.2776262597238,-215.88718423216687,-78.58646299127527,0.801577741559151,-0.2475396310966637,-0.6117106778303737,0.757367438821185,-0.32036307443645035,-0.7916692472520404,0.8963196793581921,-0.1156733730492763,-0.2858477130365739,-185.9302972128795,-240.62895053253507,-86.88380335458174,-0.06136728743588238,-0.08140041112821128,-0.02729824979527828,-18.652670953155734,-24.74176630036817,-8.29734036330647,0.5722
47125101308,47125101308,Census Tract 1013.08; Montgomery County; Tennessee,2704,749,353,Clarksville city,Tennessee,85716,0.7129912099748547,0.18242548686070584,47125,2704,749,353,0.009446,0.007511132516,0.003803074181,0.7786176009659722,0.6843465853733847,0.8296824311247557,-0.2843275039754757,-0.461247884293004,-0.2052804331946067,-7.262288557301536,-11.78118608064576,-5.243269540169713,-268.57576025523434,-435.6947515031716,-193.9078971956255,0.7593756002809234,0.6588760405526227,0.8143349664253511,-0.3168713870054028,-0.5177361725906204,-0.22799590000372233,-8.093523896949806,-13.224009036530866,-5.823467629960676,-299.3167121653035,-489.0535886291,-268.57576025523434,-0.8312353396482699,-1.4428229558851058,-0.5801980897909624,-30.740951910069153,-53.35883712592847,-21.45702994789062,0.8559069998671343,0.8117771964166828,0.901945949773154,-0.1683512346028644,-0.2318651033980302,-0.10871388718083085,-0.47954892300956287,-0.6604683409677501,-0.30967178611271995,-64.02522336576273,-88.18001882079442,-41.34469774535647,0.842692708207719,0.795024536220638,0.8926856714761984,-0.18667218816554135,-0.2578228148199901,-0.12021513501649492,-0.531736206163235,-0.7344089484456717,-0.342433120033849,-70.99281791231442,-98.05192903146484,-45.71870761466609,-0.05218728315367216,-0.07394060747792164,-0.03276133392112906,-6.96759454655169,-9.871910210670446,-4.374009869309622,0.8117771964166828,0.7694960274290766,0.901945949773154,-0.2318651033980302,-0.29955186817669255,-0.10871388718083085,-0.6147740396629023,-0.7942407433835469,-0.288247237769477,-174.1569517458647,-224.99737772905013,-81.65644129446942,0.795024536220638,-0.2578228148199901,-0.6835990886996592,0.7495955856042796,-0.33405268014466644,-0.8857172236057178,0.8926856714761984,-0.12021513501649492,-0.31874198876681703,-193.65413277610745,-250.9113947891552,-90.29518095377252,-0.0688250490367569,-0.09147648022217092,-0.03049475099734,-19.497181030242743,-25.91401706010507,-8.638739659303118,0.7205
47125101201,47125101201,Census Tract 1012.01; Montgomery County; Tennessee,1633,810,302,Clarksville city,Tennessee,92317,0.6991434580749326,0.20570446563580325,47125,1633,810,302,0.009446,0.007511132516,0.003803074181,0.783031534681766,0.6902355012008099,0.8331893522463091,-0.2770877745126992,-0.44878088458256576,-0.2002073685939016,-4.27416703577068,-6.922587857007374,-3.088262326504145,-261.73711180469564,-423.9184235766916,-189.11588037379943,0.7641122774606169,0.6651154283732503,0.8181220207126387,-0.3087081957684431,-0.5034984264999168,-0.22231155583482945,-4.761922088934489,-7.766623341260844,-3.429226443826999,-291.60576172287136,-475.60461367182137,-261.73711180469564,-0.4877550531638093,-0.8440354842534701,-0.34096411732285414,-29.868649918175706,-51.686190095129824,-20.879615267780412,0.858920746139651,0.8156103165314588,0.9040511550866076,-0.1642517711842661,-0.22607571254455705,-0.1061320970318327,-0.5059759528412657,-0.6964239913168,-0.32693887277769124,-62.46616701744022,-85.97827053293827,-40.36282379971497,0.8459572212038929,0.799154927317544,0.8949778890573,-0.1820928705790663,-0.25132182236129824,-0.11734603974777756,-0.5609352826611715,-0.7741943823327387,-0.3614833121459718,-69.25126946434216,-95.5795533744122,-44.62756940073726,-0.05495932981990581,-0.07777039101593874,-0.03454443936828055,-6.785102446901951,-9.60128284147392,-4.264745601022291,0.8156103165314588,0.774064288992111,0.9040511550866076,-0.22607571254455705,-0.2918823594123868,-0.1061320970318327,-0.51282155994253,-0.6620948583500115,-0.2407460179921338,-169.80846355712913,-219.2367080629177,-79.71722450070656,0.799154927317544,-0.25132182236129824,-0.5700888765993335,0.7544921666956252,-0.32539480744989197,-0.7381132226698816,0.8949778890573,-0.11734603974777756,-0.2661832997415548,-188.77115119183227,-244.40835187744423,-88.14016547733603,-0.05726731665680351,-0.07601836431987008,-0.025437281749421,-18.96268763470315,-25.171643814526515,-8.422940976629471,0.8228
47125101906,47125101906,Census Tract 1019.06; Montgomery County; Tennessee,3894,2244,995,Clarksville city,Tennessee,267627,0.6909426389100687,0.23262022599405568,47125,3894,2244,995,0.009446,0.007511132516,0.003803074181,0.7856573118210985,0.6937468575649046,0.8352731812187609,-0.27281956770957827,-0.4414479706763117,-0.19721310642451545,-10.035046860860728,-16.237658865746862,-7.254035262795577,-257.70536365846755,-416.9917531008439,-186.28750032859725,0.7669313172848531,0.6688382961074906,0.8203730616505095,-0.3038977252099626,-0.4951296984933525,-0.21895762640974445,-11.178186150625896,-18.212219043884197,-8.05385793992474,-287.06179123333067,-467.6995131968207,-257.70536365846755,-1.143139289765168,-1.9745601781373343,-0.7998226771291623,-29.35642757486307,-50.70776009597675,-20.539873578047313,0.8607105266339621,0.8178888680585276,0.9053002010124298,-0.16183080031653213,-0.2226599958179657,-0.10460596262064673,-1.3810799841120862,-1.9002023278955436,-0.892717584734046,-61.545453837437,-84.67924812368733,-39.78242356212326,0.8478964675536893,0.8016111086101938,0.8963381442129056,-0.17938927483110362,-0.24748770227718792,-0.11565038981814411,-1.5309257344648364,-2.112084419408251,-0.9869718138956908,-68.22307194584833,-94.12140906453882,-43.98270115399692,-0.14984575035275016,-0.2118820915127075,-0.09425422916164485,-6.677618108411327,-9.442160940851494,-4.200277591873656,0.8178888680585276,0.7767824490291046,0.9053002010124298,-0.2226599958179657,-0.28736173332687104,-0.10460596262064673,-1.6640665909277423,-2.147619998750354,-0.7817807009713831,-167.2428734600746,-215.8412059045582,-78.57092472074203,0.8016111086101938,-0.24748770227718792,-1.849618363244892,0.7574070527118029,-0.3202940168296861,-2.393741950467258,0.8963381442129056,-0.11565038981814411,-0.864322076433882,-185.89129278843137,-240.5770804489707,-86.86654034511378,-0.1855517723171496,-0.24612195171690401,-0.08254137546249896,-18.64841932835674,-24.73587454441246,-8.295615624371754,0.7016
47125100200,47125100200,Census Tract 1002; Montgomery County; Tennessee,1082,598,327,Clarksville city,Tennessee,101845,0.6883982235131051,0.24535906303309024,47125,1082,598,327,0.009446,0.007511132516,0.003803074181,0.7864737831861898,0.6948399301544266,0.8359207761688703,-0.27149820042158995,-0.4391803876005691,-0.19628561522675075,-2.77486690527929,-4.4886747724595235,-2.0061512629893024,-256.45720011823386,-414.84979412749755,-185.41139214318875,0.7678080748412407,0.6699975965142876,0.8210727357923248,-0.3024088086163583,-0.4925426676193683,-0.21791889610731344,-3.0907910018977103,-5.034067797475822,-2.2272557678253166,-285.655360619012,-465.2558038332552,-256.45720011823386,-0.31592409661842025,-0.5453930250162982,-0.2211045048360143,-29.19816050077821,-50.40600970575769,-20.43479711977951,0.8612665880134004,0.8185971126315338,0.905688085114584,-0.16108068502529796,-0.2216021588267184,-0.10413288684645104,-0.36633587297794745,-0.5039761303152769,-0.2368230058285221,-61.26017942775041,-84.2769448687754,-39.60250933587325,0.848499048167101,0.8023747055314081,0.8967606019120195,-0.17855170510817456,-0.24630050412382556,-0.11512481465829304,-0.40606913704291386,-0.5601460546243618,-0.2618212697111801,-67.90453796704246,-93.66990880006053,-43.78282102193647,-0.03973326406496641,-0.05616992430908496,-0.02499826388265802,-6.644358539292042,-9.392963931285111,-4.180311686063215,0.8185971126315338,0.7776277336279731,0.905688085114584,-0.2216021588267184,-0.285962365738376,-0.10413288684645104,-0.5442860001147857,-0.7023637001334848,-0.255764983347386,-166.4483180779161,-214.79012236498008,-78.21559123773272,0.8023747055314081,-0.24630050412382556,-0.6049486021507523,0.7583137226222829,-0.3187154210291159,-0.7828098002532722,0.8967606019120195,-0.11512481465829304,-0.2827627005805297,-184.99957252316585,-239.39137622424224,-86.47177387783783,-0.06066260203596663,-0.08044610011978737,-0.0269977172331437,-18.551254445249732,-24.601253859262194,-8.256182640105107,0.8512
