geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
17031740200,17031740200,Census Tract 7402; Cook County; Illinois,3651,2788,1422,Chicago city,Illinois,79857,0.5601003252477641,0.18010908168543338,17031,3651,2788,1422,0.010544,0.007676560355,0.00345826479,0.8287621064035717,0.7522482169564967,0.8692340019392214,-0.20661887443131088,-0.3293484483697102,-0.1504381993445328,-7.954029943225662,-12.678645294616931,-5.791290585067841,-217.85894120037423,-347.26500396102256,-158.6220373888754,0.8133413909418538,0.7311345106002917,0.8571372650340013,-0.22949601623248825,-0.36773738006014606,-0.16667427819782343,-8.834711688312208,-14.156471136978114,-6.416317014599473,-241.9805995155357,-387.74229353541807,-217.85894120037423,-0.8806817450865454,-1.477825842361181,-0.6250264295316317,-24.121658315161476,-40.477289574395535,-17.11932154290966,0.8897757977893196,0.8551157481112318,0.9254634853380668,-0.12387862480024346,-0.16943232797289323,-0.08053966022733511,-1.194393380828284,-1.633605889276492,-0.7765345896017649,-42.84050863803027,-58.59418541163888,-27.85274711627564,0.879444925814615,0.841835808589496,0.9183224825172784,-0.13708086845087758,-0.18788009466538325,-0.08894208629067829,-1.3216846908006616,-1.811472655751375,-0.8575477756065262,-47.406194074629184,-64.97391161231617,-30.758528536819448,-0.1272913099723776,-0.17786676647488298,-0.08101318600476126,-4.565685436598909,-6.379726200677295,-2.9057814205438044,0.8551157481112318,0.8214639886242442,0.9254634853380668,-0.16943232797289323,-0.21733881685399375,-0.08053966022733511,-1.8495349532998833,-2.3724854830809714,-0.8791764741684027,-130.06574917720698,-166.8414545063974,-61.8267562706331,0.841835808589496,-0.18788009466538325,-2.050912044179142,0.8054663146272256,-0.24151684786818883,-2.636414533680316,0.9183224825172784,-0.08894208629067829,-0.9708979353712344,-144.22728862019284,-185.40186594095047,-68.276929351001,-0.2013770908792587,-0.26392905059934435,-0.09172146120283152,-14.161539442985845,-18.56041143455305,-6.450173080367899,0.2953
17031740100,17031740100,Census Tract 7401; Cook County; Illinois,1776,1378,466,Chicago city,Illinois,58777,0.6058247313385092,0.21580187845335083,17031,1776,1378,466,0.010544,0.007676560355,0.00345826479,0.8134362307815667,0.7312637372558392,0.8572118388326777,-0.22935266731256723,-0.36749567776002146,-0.16657278247786034,-4.294891074879227,-6.88177698111176,-3.1192659111610896,-241.8294524143709,-387.48744263016664,-175.63434184465595,0.7968119952702651,0.7087310198273546,0.8441059788847586,-0.2550011871505736,-0.41097252980911975,-0.18468536536278324,-4.775188950752592,-7.695930773249869,-3.4584447464760912,-268.8732517315649,-433.32943543073594,-241.8294524143709,-0.48029787587336514,-0.814153792138109,-0.3391788353150016,-27.043799317193983,-45.8419928005692,-19.0979073938627,0.8795086875519287,0.8419176098255927,0.918366642854673,-0.1369984335043389,-0.18776467950011735,-0.08888972370727224,-0.6528645115272858,-0.8947904923309875,-0.4236029899283899,-47.37768588732117,-64.93399799208908,-30.74042016896879,0.8682886958412529,0.8275544013327196,0.9105791689615708,-0.15169068167026736,-0.2083797734500216,-0.09820214879328432,-0.7228802567933272,-0.9930314933221928,-0.4679812481273873,-52.458654339138405,-72.06324334703866,-33.96090334741562,-0.07001574526604148,-0.09824100099120536,-0.04437825819899738,-5.080968451817235,-7.129245354949592,-3.220483178446834,0.8419176098255927,0.8055646594810469,0.918366642854673,-0.18776467950011735,-0.241365281148518,-0.08888972370727224,-0.6716862929394652,-0.8634304991255742,-0.3179831753038178,-144.13868947198824,-185.2855148338142,-68.23673289781497,0.8275544013327196,-0.2083797734500216,-0.745432196965048,0.7883343415370965,-0.26849732062946446,-0.9604893233270276,0.9105791689615708,-0.09820214879328432,-0.35129630054628935,-159.96399076503178,-206.11358869678708,-75.38547222023377,-0.07374590402558279,-0.09705882420145352,-0.03331312524247154,-15.825301293043516,-20.828073862972857,-7.148739322418786,0.5456
17031530501,17031530501,Census Tract 5305.01; Cook County; Illinois,3169,1810,596,Chicago city,Illinois,60684,0.6316425258748144,0.18309236750960284,17031,3169,1810,596,0.010544,0.007676560355,0.00345826479,0.8049081698589534,0.7196747110832746,0.8504972504341066,-0.24237774872533985,-0.3895166588454551,-0.17578275472329266,-8.09879458373259,-13.015284709595871,-5.8735937162278,-255.5630982559984,-410.7063650866479,-185.34533658023983,0.7876276776633014,0.6963857350493758,0.8368357117333796,-0.2696354233852666,-0.4359857614388052,-0.1949776831687191,-9.009580780328204,-14.568000329627507,-6.514971826827859,-284.3035904174252,-459.70338686107624,-255.5630982559984,-0.9107861965956144,-1.552715620031634,-0.6413781106000584,-28.740492161426772,-48.99702177442834,-20.239132552857637,0.8737638945468944,0.8345556075614783,0.91438355338671,-0.14447393196370004,-0.198242502883589,-0.0936329686772934,-0.9043286926890842,-1.2408908723628589,-0.5860917537553405,-49.96291119829195,-68.55750676037893,-32.38075987598567,0.862052080700888,0.819597844511463,0.9062358668017269,-0.1600227206539006,-0.22011057825081173,-0.10346548468577409,-1.0016557021916763,-1.377773199435093,-0.6476379872310651,-55.34009404373904,-76.1200662671322,-35.78110426690967,-0.09732700950259232,-0.13688232707223436,-0.06154623347572463,-5.37718284544709,-7.562559506753279,-3.4003443909240127,0.8345556075614783,0.7967235914519709,0.91438355338671,-0.198242502883589,-0.2551404410876959,-0.0936329686772934,-0.9070050408340312,-1.1673261930265677,-0.4283923646203641,-152.1820538312133,-195.860099501102,-71.87791352690674,0.819597844511463,-0.22011057825081173,-1.0070565146749189,0.7788224194474157,-0.2839897453254011,-1.2993183944341469,0.9062358668017269,-0.10346548468577409,-0.4733783865584052,-168.9692138716307,-218.0064420191521,-79.42590378496732,-0.10005147384088776,-0.13199220140757895,-0.04498602193804107,-16.787160040417408,-22.14634251805016,-7.547990258060584,0.9432
17031750300,17031750300,Census Tract 7503; Cook County; Illinois,1514,1126,386,Chicago city,Illinois,41581,0.6588164106151512,0.20361563013329784,17031,1514,1126,386,0.010544,0.007676560355,0.00345826479,0.7960287270584046,0.7076752973058624,0.8434867799519229,-0.2562360703932612,-0.4130774435776196,-0.18555503627098704,-4.090454233106991,-6.594209687534787,-2.962129345896109,-270.1753126226546,-435.5488565082422,-195.64923024412872,0.7780752750108008,0.6836242180654174,0.8292511992541887,-0.2852226926065973,-0.4627919455953328,-0.2059072099013897,-4.5531855392577585,-7.387832907376786,-3.287023630497183,-300.73880708439617,-487.967827435719,-270.1753126226546,-0.4627313061507676,-0.793623219841999,-0.32489428460107384,-30.563494461741588,-52.41897092747681,-21.459331875896556,0.8677578814622455,0.826876439050331,0.9102099092501466,-0.1523951799952716,-0.2093705332183629,-0.09864767438515884,-0.59342776867142355,-0.8152901447222562,-0.38413465108821887,-52.70228851433601,-72.40587430925899,-34.11497789415798,0.8555362652818943,0.8113059837150355,0.9016868066511528,-0.16885752314719904,-0.2325805800432032,-0.10903252950321024,-0.6575322342067161,-0.905670209882136,-0.4245733408215323,-58.39540268265686,-80.43252308011864,-37.70633577455883,-0.06410446553529259,-0.09038006515987962,-0.04043868973331349,-5.693114168320834,-8.026648770859646,-3.5913578804008432,0.826876439050331,0.7875229319112859,0.9102099092501466,-0.2093705332183629,-0.2698042932832965,-0.09864767438515884,-0.620396776436388,-0.7994712113909559,-0.292308082951051,-160.72455348092953,-207.1168941427347,-75.72748262980595,0.8113059837150355,-0.2325805800432032,-0.6891716799995874,0.7689348236876035,-0.30050034046353946,-0.8904282741028341,0.9016868066511528,-0.10903252950321024,-0.3230799902484287,-178.5418860102558,-230.68090002664096,-83.69947933897116,-0.06877490356319937,-0.0909570627118782,-0.03077190729737772,-17.81733252932626,-23.56400588390627,-7.971996709165212,0.0566
17031530503,17031530503,Census Tract 5305.03; Cook County; Illinois,2396,1615,487,Chicago city,Illinois,72029,0.6381151906181515,0.2260477586605482,17031,2396,1615,487,0.010544,0.007676560355,0.00345826479,0.802784191765779,0.7167981869700039,0.8488221278807683,-0.24566478794310995,-0.3950928143765623,-0.17810312332063435,-6.206333699676876,-9.98139728894839,-4.499494720173474,-259.0289524072152,-416.5858634786473,-187.79193322927688,0.7853417630596283,0.6933245652355894,0.8350228538222445,-0.27333098408529866,-0.4423259323866641,-0.19757201305639355,-6.905276543284153,-11.17466757607963,-4.991345536377207,-288.20018961953895,-466.38846310849874,-259.0289524072152,-0.6989428436072771,-1.1932702871312395,-0.4918508162037325,-29.171237212323753,-49.80259962985141,-20.527997337384495,0.872329535585369,0.8327200275513095,0.9133876820359595,-0.14635577405843414,-0.20088381078162948,-0.09482536240359608,-0.8174112876867573,-1.1219556966770177,-0.529608907378944,-50.61370202394782,-69.47094097071317,-32.79312119993461,0.8604955622249397,0.8176151137821238,0.9051502286268543,-0.1621210426865546,-0.22306936741200908,-0.10478898239581295,-0.9054618522302132,-1.245864196563367,-0.5852566978419823,-56.06574936409989,-77.14329390485244,-36.23880481993699,-0.08805056454345583,-0.12390849988634932,-0.05564779046303836,-5.452047340152064,-7.672352934139277,-3.445683620002375,0.8327200275513095,0.7945223408189086,0.9133876820359595,-0.20088381078162948,-0.258617849523661,-0.09482536240359608,-0.7510010918322908,-0.966838923474613,-0.35450318480818926,-154.20966978075785,-198.52955307486923,-72.79326176759533,0.8176151137821238,-0.22306936741200908,-0.8339414601352095,0.7764557756484551,-0.28790335697464864,-1.0763223506606012,0.9051502286268543,-0.10478898239581295,-0.391752027627539,-171.2405462289958,-221.01074962230004,-80.44189479004909,-0.08294036830291873,-0.10948342718598825,-0.03724884281934976,-17.030876448237933,-22.48119654743085,-7.648633022453749,0.6715
17031720600,17031720600,Census Tract 7206; Cook County; Illinois,1040,793,296,Chicago city,Illinois,39156,0.6308620221561224,0.18769115908757297,17031,1040,793,296,0.010544,0.007676560355,0.00345826479,0.8051646682946735,0.7200223546024174,0.8506994676442252,-0.2419819688784715,-0.3888457679236653,-0.1755032629433999,-2.653516195048788,-4.263989368066612,-1.9245266606542173,-255.14578798546037,-409.99897769871274,-185.0506404475209,0.78790377292833,0.696755776977097,0.8370545802293323,-0.26919052092286766,-0.4352231198405563,-0.19466522687926113,-2.9518786467151457,-4.772552278622779,-2.1346521583035267,-283.8344852610717,-458.89925755988264,-255.14578798546037,-0.29836245166635766,-0.5085629105561669,-0.21012549764930943,-28.688697275611315,-48.90027986116989,-20.204374773972063,0.8739370154245335,0.8347772234468024,0.9145037134760746,-0.14424721959422754,-0.19792439457199293,-0.09348927212001108,-0.39558414889844534,-0.5427886471104995,-0.2563853518061828,-49.88450805781152,-68.44749648303902,-32.3310658015363,0.8622399629895576,0.8198372559334525,0.9063668659952034,-0.15976995143301048,-0.21975427776994272,-0.10330599839611972,-0.4381537504498466,-0.6026550056420924,-0.2833067810013342,-55.25267975407902,-75.99684812636727,-35.725949684909736,-0.04256960155140127,-0.05986635853159294,-0.02692142919515139,-5.3681716962675,-7.54935164332824,-3.3948838833734416,0.8347772234468024,0.7969894400949643,0.9145037134760746,-0.19792439457199293,-0.25472176881144903,-0.09348927212001108,-0.4497360539549865,-0.5787945614759797,-0.212432107832388,-151.9378560658738,-195.5387032013445,-71.76760399742838,0.8198372559334525,-0.21975427776994272,-0.4993392650648384,0.779108287185681,-0.28351862821563717,-0.6442285669341868,0.9063668659952034,-0.10330599839611972,-0.2347382805895185,-168.69569765704,-217.6447861264145,-79.30347317213463,-0.04960321110985194,-0.0654340054582071,-0.02230617275713051,-16.757841591166198,-22.10608292506997,-7.535869174706254,0.0846
17031720300,17031720300,Census Tract 7203; Cook County; Illinois,2190,1658,930,Chicago city,Illinois,60833,0.5854411696484508,0.2186222937104477,17031,2190,1658,930,0.010544,0.007676560355,0.00345826479,0.8202330533736685,0.7405451435448397,0.8625505413908613,-0.21916569429498012,-0.3503565700440657,-0.15935235329804753,-5.0608339466153325,-8.090209687252736,-3.6796625568524033,-231.08830806462703,-369.4159674544628,-168.02112131746134,0.8041387545235574,0.7186322316686465,0.8498905636893437,-0.24356647950948215,-0.39153235261661495,-0.17662207668130445,-5.624281262286077,-9.041014505917198,-4.078443956595606,-256.81649599479806,-412.8317125989588,-231.08830806462703,-0.5634473156707447,-0.9508048186644622,-0.39878139974320304,-25.72818793017099,-43.41574514449599,-18.209196335306075,0.8840709633948473,0.8477758778921537,0.9215236087821692,-0.1311309175453329,-0.1795570339726166,-0.08515939306377676,-0.7518788512754591,-1.0295446639812256,-0.4882871852854403,-45.3485435027418,-62.09557683843339,-29.45037305702294,0.8732444606776305,0.8338907583730758,0.9140229755528354,-0.1451547018391714,-0.19919784451263617,-0.09406440182224354,-0.8322884680368221,-1.1421612028065835,-0.5393467514140707,-50.19833944733547,-68.88788919219442,-32.52996088142767,-0.08040961676136305,-0.11261653882535794,-0.05105956612863038,-4.84979594459367,-6.792312353761034,-3.0795878244047277,0.8477758778921537,0.8126140759033111,0.9215236087821692,-0.1795570339726166,-0.23059645365899983,-0.08515939306377676,-1.2818937798636865,-1.646274462570914,-0.6079700352038032,-137.83804084555769,-177.0187594162273,-65.37312206492508,0.8338907583730758,-0.19919784451263617,-1.422113476668056,0.7959261523477343,-0.25639796738718956,-1.8304766585387868,0.9140229755528354,-0.09406440182224354,-0.6715446837962449,-152.91542759871572,-196.82544715470823,-72.20910578454246,-0.14021969680436963,-0.1842021959678728,-0.06357464859244166,-15.077386753158024,-19.806687738480942,-6.835983719617384,0.0675
17031691400,17031691400,Census Tract 6914; Cook County; Illinois,1590,1055,441,Chicago city,Illinois,41456,0.5177047234860693,0.2103977338053432,17031,1590,1055,441,0.010544,0.007676560355,0.00345826479,0.8432301043480236,0.7722426352234943,0.880531524793982,-0.18591591410649316,-0.29492979847012785,-0.13567768085755935,-3.116872863358794,-4.944486274159755,-2.2746308924697485,-196.0297398338864,-310.9739795069028,-143.05854669621058,0.8289736254374412,0.7525392438620989,0.8693995280788451,-0.20631099629051505,-0.32883435403037625,-0.15021916587618717,-3.4587956003706335,-5.512894791945097,-2.518418307147643,-217.5343144887191,-346.72294288962877,-196.0297398338864,-0.3419227370118394,-0.5684085177853424,-0.24378741467789444,-21.504574654832663,-35.74896338272594,-15.332541803641162,0.8994025012158301,0.8675378247362034,0.93209265660389,-0.11184925397492249,-0.1526874926797284,-0.07285471343968385,-0.40807857533375025,-0.5570756376971103,-0.26580818923906835,-38.68043368092419,-52.80337798076875,-25.19508902739984,0.8899169937691358,0.8552976151481813,0.9255608901475736,-0.1237003080080772,-0.1691836645969706,-0.08042594565610661,-0.45131678277979526,-0.617261415386411,-0.2934315979485402,-42.77884196964884,-58.5081910318873,-27.8134216064967,-0.04323820744604501,-0.06018577768930067,-0.02762340870947183,-4.098408288724645,-5.704813051118547,-2.618332579096856,0.8675378247362034,0.8364860562034759,0.93209265660389,-0.1526874926797284,-0.19547719006657197,-0.07285471343968385,-0.516902606077214,-0.6617612693791842,-0.24663965974588956,-117.21147530095556,-150.05924475718464,-55.92736048659628,0.8552976151481813,-0.1691836645969706,-0.5727481380501962,0.8216835196137332,-0.21701357777029767,-0.7346697619752058,0.9255608901475736,-0.08042594565610661,-0.27227103003824016,-129.87486123587215,-166.59178276081764,-61.73946259370525,-0.05584553197298214,-0.07290849259602161,-0.0256313702923506,-12.663385934916583,-16.532538003633018,-5.81210210710898,0.8767
17031813000,17031813000,Census Tract 8130; Cook County; Illinois,2334,1606,559,Chicago city,Illinois,46838,0.5906579699710084,0.2167428485685404,17031,2334,1606,559,0.010544,0.007676560355,0.00345826479,0.8184881421131347,0.7381585797204825,0.8611810403552113,-0.22176479847129665,-0.35472245053179313,-0.1611960239945948,-5.457564273879876,-8.729611671962468,-3.966985146915684,-233.8288035081352,-374.0193518407227,-169.96508769990078,0.80225721419812,0.7160851032664699,0.8484063411914035,-0.24648302601994024,-0.396482059797688,-0.17868048769616218,-6.06587233951082,-9.757302961074924,-4.397272483334293,-259.891702635425,-418.0506838506823,-233.8288035081352,-0.6083080656309443,-1.0276912891124557,-0.4302873364186088,-26.062899127289818,-44.03133200995954,-18.43561852693268,0.8829010837426039,0.8462726911524405,0.9207146091871046,-0.132629711769087,-0.18165221500674456,-0.08611288451575261,-0.7366218716841249,-1.0088915434484351,-0.47826865731677853,-45.866866231888224,-62.820145918333445,-29.78011564861635,0.8719734364234951,0.8322644788181481,0.913140357985338,-0.14682392631319294,-0.2015411271907743,-0.09512189583461254,-0.8154561596057424,-1.119354029744631,-0.5283044652153586,-50.77560146984697,-69.69825839007665,-32.89567031228883,-0.07883428792161751,-0.11046248629619582,-0.05003580789858003,-4.908735237958749,-6.878112471743201,-3.11555466367248,0.8462726911524405,0.8108040542209046,0.9207146091871046,-0.18165221500674456,-0.2333436109429575,-0.08611288451575261,-0.7795054833943598,-1.0013234588872038,-0.3695273722285308,-139.44641921187116,-179.1276312857252,-66.10507553283199,0.8322644788181481,-0.2015411271907743,-0.8648527284341432,0.793976233693622,-0.2594835431634318,-1.1134950638448426,0.913140357985338,-0.09512189583461254,-0.4081868167211423,-154.71426268947104,-199.1941080223332,-73.02089744564263,-0.08534724503978341,-0.11217160495763888,-0.03865944449261149,-15.267843477599897,-20.06647673660803,-6.915821912810642,0.1011
17031812100,17031812100,Census Tract 8121; Cook County; Illinois,2944,2417,858,Chicago city,Illinois,53980,0.5725168748051701,0.19085399305137127,17031,2944,2417,858,0.010544,0.007676560355,0.00345826479,0.824572001981437,0.7464909958318471,0.8659527827433842,-0.21275036940013917,-0.33960088679389483,-0.15479737455424206,-6.604098250747719,-10.541733153044612,-4.805148274930989,-224.32398949550677,-358.07517503548274,-163.21835172999283,0.8088191827486648,0.7249816778963041,0.853578826004177,-0.2363702806870041,-0.3793452034563451,-0.17153796408148775,-7.337296577275744,-11.775457789517462,-5.324801887402209,-249.22882395637717,-399.9815825243704,-224.32398949550677,-0.7331983265280249,-1.23372463647285,-0.5196536124712203,-24.904834460870408,-41.90640748888757,-17.651277597527866,0.8869759483674967,0.8515114399190505,0.9235309177342272,-0.1274262868576393,-0.17438234311340034,-0.08280078208251059,-1.0651086740842366,-1.4575967866404265,-0.6921007697224091,-44.06738411602137,-60.30603171867714,-28.63470292604092,0.8764013297087618,0.8379334655711917,0.916213281689044,-0.14102976125368433,-0.1934121754145871,-0.09144892350446458,-1.178815028826392,-1.6166600376398594,-0.7643873494414051,-48.77182576857228,-66.88705161935704,-31.62545922388933,-0.11370635474215528,-0.15906325099943297,-0.07228657971899599,-4.704441652550901,-6.581019900679891,-2.990756297848407,0.8515114399190505,0.8171157153571886,0.9235309177342272,-0.17438234311340034,-0.22381687343128204,-0.08280078208251059,-1.1485673471469366,-1.474167326657139,-0.5453664225417366,-133.86565817563363,-171.81437373626324,-63.56252010975951,0.8379334655711917,-0.1934121754145871,-1.273907124171332,0.8007776062015224,-0.24878617016213317,-1.6386273195339895,0.916213281689044,-0.09144892350446458,-0.6023273090249849,-148.47402379619254,-190.98220507389155,-70.20131806818006,-0.12533977702439536,-0.16445999287685087,-0.05696088648324826,-14.6083656205589,-19.167831337628307,-6.638797958420543,0.1688
17031730600,17031730600,Census Tract 7306; Cook County; Illinois,1929,1315,553,Chicago city,Illinois,52444,0.5731689401713096,0.188744586272487,17031,1929,1315,553,0.010544,0.007676560355,0.00345826479,0.8243525415958739,0.7461898712958142,0.8657808095256223,-0.21307322964527783,-0.3401414820378434,-0.15502675619238884,-4.333776533289654,-6.918265496364944,-3.153147484257325,-224.66441333798105,-358.6451786607021,-163.4602117292548,0.8085823913615708,0.7246599916257351,0.8533923604522374,-0.2367323487172424,-0.3799575132560507,-0.17179394419475577,-4.814988251923111,-7.7280987261398,-3.494181625500155,-249.6105884874604,-400.6272019771799,-224.66441333798105,-0.4812117186334577,-0.8098332297748563,-0.34103414124282994,-24.946175149479405,-41.98202331647777,-17.679323029695695,0.8868291556905441,0.8513225771175057,0.9234295389541376,-0.12761290445095205,-0.1746428755430185,-0.08291965744628967,-0.5803347666892558,-0.7942091191189266,-0.3770869432451549,-44.13192142123618,-60.3961307314773,-28.67581317453649,0.8762417841695769,0.8377290314682696,0.9161026492451196,-0.14123751921703898,-0.19370340818596388,-0.0915807315086501,-0.6422943127518331,-0.8808891442457595,-0.4164742012727329,-48.84367397352343,-66.98776762325167,-31.671041921880825,-0.06195954606257736,-0.08668002512683293,-0.03938725802757803,-4.711752552287252,-6.591636891774367,-2.995228747344337,0.8513225771175057,0.8168879993701289,0.9234295389541376,-0.1746428755430185,-0.2241580250549179,-0.08291965744628967,-0.7413830857962345,-0.9515817224405988,-0.3520053785163095,-134.0656574676735,-172.07626083916796,-63.6537755002368,0.8377290314682696,-0.19370340818596388,-0.8222976748615404,0.8005321304992038,-0.24916909877984544,-1.0577571788375957,0.9161026492451196,-0.0915807315086501,-0.3887728320680052,-148.6975903908753,-191.27616253844403,-70.30250127812029,-0.08091458906530591,-0.10617545639699688,-0.03676745355169569,-14.631932923201791,-19.199901699276108,-6.648725777883489,0.608
