geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06085509107,06085509107,Census Tract 5091.07; Santa Clara County; California,3753,1476,398,Sunnyvale city,California,36207,0.4940158715169905,0.207005585624308,06085,3753,1476,398,0.007389,0.009493868073,0.003212018401,0.8514239145514186,0.7836452006815962,0.8869079207367787,-0.17450306822408224,-0.2760876977619764,-0.12751276273333156,-4.8391301011673615,-7.656165031358452,-3.5360458397987107,-128.94031711077437,-204.00119987632436,-94.2191803836587,0.8378387233755225,0.7647710260312617,0.8763273917341836,-0.1935471255985339,-0.30758091763680756,-0.14112603284153646,-5.367239275561519,-8.529500897770147,-3.9135543032679214,-143.0119711047567,-227.2715400418371,-128.94031711077437,-0.5281091743941575,-0.8733358664116944,-0.37750846346921074,-14.071653993982348,-23.270340165512778,-10.058845282952593,0.9048267773401512,0.874557167896035,0.9358174117759988,-0.10518391480369552,-0.14343582867858595,-0.06858452024545603,-0.4986705406819011,-0.6800205371115732,-0.3251550377929908,-33.78526698386864,-46.07185210783016,-22.02947410521618,0.8958225470023143,0.8629130242319004,0.9296302208758448,-0.11629251054943196,-0.15886534554293463,-0.0756965270103385,-0.5513357172640949,-0.7531709378317311,-0.35887262916992513,-37.35336837832621,-51.02784131651295,-24.313863764900077,-0.05266517658219383,-0.07315040072015788,-0.03371759137693431,-3.5681013944575763,-4.955989208682784,-2.2843896596838964,0.874557167896035,0.8449990571488731,0.9358174117759988,-0.14343582867858595,-0.18343327313774577,-0.06858452024545603,-0.5419808120975381,-0.6931135355565964,-0.2591506900500221,-136.17608344159248,-174.14912953683327,-65.1132387060357,0.8629130242319004,-0.15886534554293463,-0.6002821595185596,0.8308867756195679,-0.20353341675745087,-0.769063124042582,0.9296302208758448,-0.0756965270103385,-0.286023830726133,-150.82466319561797,-193.2319407142166,-71.86528410204347,-0.05830134742102144,-0.07594958848598565,-0.0268731406761109,-14.648579754025487,-19.08281117738333,-6.752045396007766,0.2605
06085508403,06085508403,Census Tract 5084.03; Santa Clara County; California,1854,1507,606,Sunnyvale city,California,56456,0.5257078543570923,0.18090798752604575,06085,1854,1507,606,0.007389,0.009493868073,0.003212018401,0.8404797350795166,0.7684279660770327,0.8783876757739119,-0.18979668189785856,-0.30135815476001676,-0.1384494882842481,-2.600063843435235,-4.128367441837351,-1.8966480606005016,-140.2407682543277,-222.67354055217643,-102.30032689323092,0.8259998552727663,0.7484511815965568,0.867071391459499,-0.21065396515084664,-0.33609248617505355,-0.15330757057587702,-2.885792063318269,-4.60420020316421,-2.100191990678478,-155.6522148499606,-248.33873803474705,-140.2407682543277,-0.28572821988303376,-0.4758327613268598,-0.20354393007797664,-15.41144659563289,-25.665197482570647,-10.97863700528461,0.8975773017924977,0.8651791380486956,0.9308376246437648,-0.11411016967893468,-0.15582999638129988,-0.07430122453709795,-0.5523516148782054,-0.7542969254173795,-0.3596559489479969,-36.65239647499704,-50.05288158044987,-23.865690042999137,0.8879306504164225,0.8527400147427657,0.9241901216081352,-0.12621407936646756,-0.17269036600992174,-0.08202844481820687,-0.6109407317032849,-0.8359097423820354,-0.3970596493613708,-40.54019453903682,-55.46846332992936,-26.347687416149352,-0.0585891168250795,-0.08161281696465594,-0.03740370041337387,-3.887798064039781,-5.415581749479492,-2.481997373150224,0.8651791380486956,0.8336294172997769,0.9308376246437648,-0.15582999638129988,-0.19957379052087296,-0.07430122453709795,-0.8965342330408378,-1.1482047062484255,-0.42747605019104035,-147.94294274601282,-189.4727238033706,-70.54060234175584,0.8527400147427657,-0.17269036600992174,-0.993536728740026,0.8185973509094022,-0.22160180324193893,-1.2749381205390302,0.9241901216081352,-0.08202844481820687,-0.4719329434024743,-163.94995523762805,-210.3858284717872,-77.87672333374164,-0.09700249569918806,-0.12673341429060447,-0.04445689321143398,-16.007012491615193,-20.91310466841658,-7.336120991985805,0.2331
06085508707,06085508707,Census Tract 5087.07; Santa Clara County; California,3001,1621,358,Sunnyvale city,California,57992,0.45690379712718054,0.21182357987968511,06085,3001,1621,358,0.007389,0.009493868073,0.003212018401,0.8644210966686183,0.8018484409402583,0.8969904459563869,-0.156843584514408,-0.24711846895578732,-0.11483907605479848,-3.4779106551768586,-5.4797010597100515,-2.546486344839687,-115.89172459769604,-182.59583671143125,-84.8545932968906,0.8519181938621551,0.7843348604549535,0.8872920677902204,-0.17382162654200267,-0.2749656433987263,-0.12702461376722998,-3.854388363555091,-6.0971951383586385,-2.816693198249313,-128.43679985188575,-203.17211390731885,-115.89172459769604,-0.3764777083782329,-0.617494078648587,-0.270206853409626,-12.5450752541897,-20.5762771958876,-9.003893815715628,0.913390550765815,0.8856683625448013,0.941682737400861,-0.0948219238326573,-0.12909079999954867,-0.06192877949541749,-0.49370758771748824,-0.6721347225223435,-0.32244345083030984,-30.456976416871576,-41.46420249983612,-19.89163792907525,0.9051533557711524,0.8749802381972273,0.936041427116784,-0.10478516554583436,-0.14288295477433666,-0.06832878442167105,-0.5455830172936681,-0.7439460841574852,-0.3557662401790791,-33.65718798850512,-45.894267992442025,-21.94733128803696,-0.05187542957617985,-0.07181136163514168,-0.03332278934876925,-3.20021157163355,-4.430065492605903,-2.055693358961706,0.8856683625448013,0.8585104473165717,0.941682737400861,-0.12909079999954867,-0.16480818972637934,-0.06192877949541749,-0.43875442681888016,-0.5601508613991674,-0.2104838311576016,-122.55710246337436,-156.46672106121994,-58.79436624514012,0.8749802381972273,-0.14288295477433666,-0.485631268257856,0.8455127149341003,-0.182714325092013,-0.6210103196945481,0.936041427116784,-0.06832878442167105,-0.23223619842983328,-135.65119225079778,-173.46656974708048,-64.87044648878025,-0.04687684143897586,-0.06085945829538075,-0.02175236727223167,-13.094089787423425,-16.999848685860545,-6.076080243640133,0.4967
06085507806,06085507806,Census Tract 5078.06; Santa Clara County; California,3830,2751,463,Sunnyvale city,California,67691,0.4502341183146888,0.2053688660768872,06085,3830,2751,463,0.007389,0.009493868073,0.003212018401,0.8667778593793248,0.8051644194416547,0.8988145623778262,-0.15369813520164416,-0.2419823527391523,-0.11257654454828409,-4.349637245448953,-6.848069124812154,-3.185901575765648,-113.56755210049486,-178.80076043895963,-83.18280876672709,0.8544734840641849,0.7879035050583392,0.8892771027040827,-0.1703113304858079,-0.26919095241993685,-0.12450888138155702,-4.819788512275401,-7.618068958660397,-3.523585156943484,-125.84304209596344,-198.90519474309133,-113.56755210049486,-0.4701512668264476,-0.7699998338482432,-0.33768358117783626,-12.275489995468606,-20.104434304131676,-8.816803686105386,0.914938178335598,0.8876801486630248,0.9427407277561816,-0.09297002101184763,-0.12653189496931433,-0.06073703040294142,-0.8215075215546124,-1.1180690539007565,-0.5366883514692231,-29.86214182314113,-40.6422774954837,-19.50884592763443,0.9068405363477504,0.8771667453065337,0.9371983095926778,-0.10272970816616116,-0.14003409881953643,-0.06701003380449637,-0.9077466803504004,-1.2373780730856352,-0.5921182569487362,-32.99697129590696,-44.979210217580345,-21.52374616316744,-0.08623915879578814,-0.11930901918487868,-0.0554299054795131,-3.1348294727658352,-4.336932722096645,-2.0149002355330095,0.8876801486630248,0.8609614798024144,0.9427407277561816,-0.12653189496931433,-0.16149214971788758,-0.06073703040294142,-0.5561913055716629,-0.7098647310462632,-0.26697939080537925,-120.12771178653624,-153.31851642467888,-57.66293537913158,0.8771667453065337,-0.14003409881953643,-0.6155424153402393,0.8481684102570843,-0.17901113494299406,-0.7868722497197619,0.9371983095926778,-0.06701003380449637,-0.2945533866948145,-132.9465259914124,-169.95080987467858,-63.61844205071588,-0.05935110976857649,-0.07700751867349864,-0.02757399588943526,-12.818814204876132,-16.632293449999707,-5.955506671584291,0.3176
06085509109,06085509109,Census Tract 5091.09; Santa Clara County; California,4854,2756,654,Sunnyvale city,California,76482,0.5271547269286467,0.2270358830821389,06085,4854,2756,654,0.007389,0.009493868073,0.003212018401,0.8399834588198275,0.7677403324555252,0.8780006504148122,-0.1904996336534947,-0.3025237280443769,-0.1389513202838165,-6.832499103540774,-10.850378349927595,-4.98365667727134,-140.76017930656724,-223.53478265199007,-102.671130557712,0.8254633721229863,0.7477144816009226,0.8666511574840288,-0.21144079043522893,-0.3374088968544676,-0.15386680253574656,-7.58357894655275,-12.101577000815087,-5.518618436308408,-156.23360005259065,-249.31143388576615,-140.76017930656724,-0.7510798430119765,-1.2511986508874902,-0.5349617590370679,-15.473420746023416,-25.776651233776064,-11.02104983595113,0.8972477226248986,0.8647534000437109,0.9306109099620182,-0.11451940727639806,-0.1563990380950832,-0.07456294493776545,-1.0137627501300213,-1.3844947572448558,-0.6600552510323814,-36.783844344340395,-50.235658826010734,-23.94975511728525,0.8875720162600159,0.8522784474541887,0.9239425194451696,-0.12666913972088106,-0.17332545834881222,-0.08231841153982507,-1.1213161026070864,-1.5343328917093648,-0.7287091441849165,-40.686360762231,-55.6724561578144,-26.440825260700887,-0.1075533524770651,-0.149838134464509,-0.06865389315253512,-3.902516417890606,-5.436797331803665,-2.491070143415643,0.8647534000437109,0.8331140126013601,0.9306109099620182,-0.1563990380950832,-0.2003159049954593,-0.07456294493776545,-0.971080019709909,-1.2437593948176218,-0.4629605585922745,-148.4831834418821,-190.1772774950492,-70.78907623735084,0.8522784474541887,-0.17332545834881222,-1.076175989057345,0.8180406461510303,-0.22243314522952873,-1.381085112060023,0.9239425194451696,-0.08231841153982507,-0.511114170996265,-164.55290352558794,-211.17509358715947,-78.15201391380198,-0.10509596934743604,-0.13732571724240117,-0.04815361240399052,-16.069720083705814,-20.99781609211027,-7.36293767645115,0.2932
06085508601,06085508601,Census Tract 5086.01; Santa Clara County; California,2563,1860,652,Sunnyvale city,California,56351,0.4947165415395426,0.20224400681843796,06085,2563,1860,652,0.007389,0.009493868073,0.003212018401,0.851180418741157,0.7833055308924295,0.8867186583435804,-0.17483905642347589,-0.2766410558351195,-0.12775342053592606,-3.311103274421181,-5.239030251892884,-2.4193951723833114,-129.18857879130633,-204.41007615656983,-94.39700243399577,0.8375751554539996,0.7644063962464869,0.87612168892071,-0.19392271068255304,-0.3082046473058877,-0.1413939554811103,-3.672509652365164,-5.8367817681114325,-2.677719718658955,-143.28949092333843,-227.73241389432044,-129.18857879130633,-0.3614063779439829,-0.5977515162185485,-0.25832454627564383,-14.100912132032107,-23.322337737750622,-10.078991270996635,0.9046658693107984,0.8743487365864019,0.9357070274603032,-0.10538048789419913,-0.14370840621805078,-0.06871057997095611,-0.6295803631738971,-0.8585649239804172,-0.41050134381077313,-33.84840662225253,-46.1594045150762,-22.06996472100931,0.8956473111021436,0.86268680512305,0.9295096016309066,-0.11651091629968126,-0.15916923043393977,-0.07583611642678226,-0.6960774851538215,-0.9509333644698922,-0.4530718226471576,-37.423520707194704,-51.125449702682374,-24.3587001423203,-0.06649712197992441,-0.092368440489475,-0.04257047883638443,-3.575114084942173,-4.966045187606183,-2.288735421310991,0.8743487365864019,0.844746020122544,0.9357070274603032,-0.14370840621805078,-0.18378776126691188,-0.06871057997095611,-0.889555319549154,-1.1376466068028526,-0.42531862631424994,-136.43486496152667,-174.48567589000808,-65.23291814635735,0.86268680512305,-0.15916923043393977,-0.985257852113536,0.8306130875416575,-0.20392998256224473,-1.2623269965749926,0.9295096016309066,-0.07583611642678226,-0.46942571110999937,-151.1131675020761,-193.6084350575142,-71.99780845245388,-0.095702532564382,-0.12468038977214002,-0.04410708479574943,-14.678302540549389,-19.12275916750614,-6.764890306096538,0.1525
06085508404,06085508404,Census Tract 5084.04; Santa Clara County; California,4109,2772,1075,Sunnyvale city,California,68369,0.5279329634766872,0.18736917777083784,06085,4109,2772,1075,0.007389,0.009493868073,0.003212018401,0.839716645447225,0.767370726071181,0.8777925496928615,-0.1908779055670733,-0.3031510924580676,-0.13922133464210737,-5.795320632962044,-9.204091881707464,-4.226954768824213,-141.03968442351044,-223.9983422172661,-102.87064416705314,0.8251749553901805,0.7473185290642906,0.8664252083877384,-0.21186421554342283,-0.33811749757106796,-0.15416771155680048,-6.4324944056642925,-10.26572092887172,-4.680747711828353,-156.5464688650351,-249.8350189552621,-141.03968442351044,-0.6371737727022486,-1.0616290471642549,-0.4537929430041397,-15.506784441524667,-25.836676737995976,-11.043877902266724,0.897070500293082,0.864524492878085,0.9304889886471144,-0.11473958810738943,-0.15670522725261846,-0.07470374416139114,-1.0216085925943932,-1.3952586836541196,-0.6651408480115975,-36.85456683240957,-50.33400734682971,-23.994980086998467,0.8873791758355135,0.8520302852989141,0.9238093678750682,-0.12691398134111964,-0.17366720086619258,-0.08247440952042337,-1.1300059203376398,-1.54628326267534,-0.7343286377876326,-40.7650043411847,-55.78222448323737,-26.490932099120943,-0.10839732774324662,-0.15102457902122035,-0.06918778977603512,-3.910437508775131,-5.448217136407661,-2.4959520121224794,0.864524492878085,0.8328369211188509,0.9304889886471144,-0.15670522725261846,-0.20071525966521592,-0.07470374416139114,-1.599319160427282,-2.0484815101619605,-0.7624195534994458,-148.77387538858437,-190.55641954994985,-70.92274916273915,0.8520302852989141,-0.17366720086619258,-1.7724315056531357,0.8177413651951588,-0.22288053724828272,-2.27469829792515,0.9238093678750682,-0.08247440952042337,-0.8417262506393852,-164.87734936308237,-211.59984166745585,-78.30011633854745,-0.1731123452258534,-0.22621678776318976,-0.07930669713993943,-16.10347397449799,-21.043422117506022,-7.377367175808319,0.3459
06085504806,06085504806,Census Tract 5048.06; Santa Clara County; California,1973,1301,560,Sunnyvale city,California,45646,0.43741254783827793,0.20525271753186855,06085,1973,1301,560,0.007389,0.009493868073,0.003212018401,0.8713264861413623,0.8115775148199018,0.9023316098877356,-0.14767543039861403,-0.23216819310464912,-0.10824001846107992,-2.1528858190399034,-3.3846633066715475,-1.5779767844147985,-109.11737552153588,-171.5490778850252,-79.97854964089196,0.8594072384757695,0.7948094220259692,0.8931055510483673,-0.1635927127790819,-0.2581632430212013,-0.1196884834341867,-2.384935872471707,-3.7636320638948537,-1.7448781966798403,-120.8786554724636,-190.75682026836563,-109.11737552153588,-0.23205005343180352,-0.37896875722330625,-0.16690141226504207,-11.7612799509277,-19.20774238334041,-8.45927076862859,0.917920656105576,0.8915603849933579,0.944777913531902,-0.08941877857140584,-0.12162901900071524,-0.0584498067505189,-0.3736664055783564,-0.5082677159107647,-0.24425215311764648,-28.721476216630005,-39.0674647125876,-18.77418548175607,0.910092755367798,0.8813853739648183,0.939426280102556,-0.09878910045368668,-0.13457748396890956,-0.06447948197790594,-0.4128234434265982,-0.5623772266838144,-0.2694491766625763,-31.731240847547905,-43.226535486842,-20.710928259998177,-0.03915703784824187,-0.05410951077304971,-0.02519702354492981,-3.0097646309178994,-4.159070774254397,-1.9367427782421067,0.8915603849933579,0.8656929369623391,0.944777913531902,-0.12162901900071524,-0.15514399771925574,-0.0584498067505189,-0.6466487217350724,-0.8248333221320789,-0.3107522623417919,-115.47298602412008,-147.29166466644267,-55.49147541817712,0.8813853739648183,-0.13457748396890956,-0.7154900919023758,0.8532970842205533,-0.1719247826956457,-0.914049475019326,0.939426280102556,-0.06447948197790594,-0.3428094293756272,-127.76608783970995,-163.22312053916534,-61.215969531362,-0.0688413701673034,-0.08921615288724694,-0.03205716703383532,-12.293101815589894,-15.931455872722667,-5.724494113184878,0.543
06085509106,06085509106,Census Tract 5091.06; Santa Clara County; California,3129,1570,588,Sunnyvale city,California,48811,0.4943526040722824,0.1979543241743947,06085,3129,1570,588,0.007389,0.009493868073,0.003212018401,0.8513068850589762,0.7834819415857799,0.8868169587438369,-0.17466452762298842,-0.27635360424004685,-0.1276284132144757,-4.038275492922992,-6.38934535003225,-2.95079201426147,-129.05961946062615,-204.19767817297057,-94.3046345241761,0.8377120458398433,0.7645957681747824,0.876228527711308,-0.19372761197131397,-0.3078806365710953,-0.14125478499539465,-4.479017453474546,-7.118256043918943,-3.2658361962096083,-143.1453324856039,-227.4930023623823,-129.05961946062615,-0.4407419605515539,-0.7289106938866929,-0.3150441819481382,-14.085713024977752,-23.29532418941173,-10.068526108921004,0.9047494435413848,0.8744569924212419,0.9357643609386368,-0.1052783808142328,-0.14356681765577534,-0.06864510099201725,-0.5309050713523977,-0.7239886383308785,-0.3461682442140345,-33.81560964028011,-46.11392600833621,-22.048932752486277,0.8957383267152019,0.8628042989787246,0.9295722509413612,-0.11639746807211014,-0.15901137857526887,-0.07576360953903045,-0.5869771705655616,-0.8018735341048611,-0.3820659495059056,-37.38708092774278,-51.074747395214075,-24.3354107965545,-0.05607209921316392,-0.07788489577398261,-0.03589770529187108,-3.5714712874626695,-4.960821386877874,-2.286478044068222,0.8744569924212419,0.8448774415107528,0.9357643609386368,-0.14356681765577534,-0.18360362209679484,-0.06864510099201725,-0.8014466027728142,-1.0249478367562077,-0.3832040292134722,-136.30044264843778,-174.31085659119177,-65.1707532675973,0.8628042989787246,-0.15901137857526887,-0.8876642335760832,0.8307552335697801,-0.20372398462417152,-1.1372676363967256,0.9295722509413612,-0.07576360953903045,-0.42294235165432953,-150.96330502994613,-193.41286333277645,-71.92897136978394,-0.08621763080326894,-0.11231979964051808,-0.03973832244085734,-14.662862381508324,-19.102006741584702,-6.758218102186623,0.4372
06085508204,06085508204,Census Tract 5082.04; Santa Clara County; California,3061,2180,608,Sunnyvale city,California,51445,0.5093637215195695,0.1862033562337286,06085,3061,2180,608,0.007389,0.009493868073,0.003212018401,0.846106165625126,0.7762385041089274,0.8827714500871012,-0.181884780689635,-0.2882638450767611,-0.1327960367333267,-4.113820678862598,-6.519873528444167,-3.003544771108429,-134.39466445157132,-212.9981551272188,-98.12299154225512,0.8320843346271791,0.7568236581968212,0.8718326053565821,-0.201801257859345,-0.32131176023561603,-0.1470091779728713,-4.564286162121785,-7.267342317522139,-3.3250137479031725,-149.11094943227002,-237.41725963809665,-134.39466445157132,-0.45046548325918767,-0.7474687890779723,-0.3214689767947436,-14.716284980698717,-24.419104510877897,-10.502090061899498,0.901308705697961,0.8700029325092863,0.933402473542059,-0.10949777105016852,-0.1494214130011868,-0.07134920717021237,-0.7667253049499456,-1.0462786351778472,-0.4996014265939136,-35.170885548162644,-47.99443280632327,-22.91749663274833,0.8919919243497204,0.8579713545964384,0.9269916926684488,-0.12108638284928376,-0.165540078515054,-0.07875831888135751,-0.8478710838128979,-1.1591447566794777,-0.5514815094636665,-38.89316898224302,-53.171777829333834,-25.29731694787461,-0.08114577886295227,-0.11286612150163022,-0.05188008286975287,-3.722283434080379,-5.17734502301056,-2.379820315126279,0.8700029325092863,0.8394737129819754,0.933402473542059,-0.1494214130011868,-0.19122252970590797,-0.07134920717021237,-0.8625010068472247,-1.1037884135248337,-0.41184701567218224,-141.85871823145143,-181.54414696132133,-67.73799599871418,0.8579713545964384,-0.165540078515054,-0.9555423250593186,0.8249123611257562,-0.21224998815062257,-1.225164618686677,0.9269916926684488,-0.07875831888135751,-0.4546144221794109,-157.16156662159844,-201.5073385997824,-74.77210891108732,-0.09304131821209384,-0.12137620516184322,-0.0427674065072286,-15.302848390147012,-19.963191638461055,-7.034112912373125,0.3844
06085504807,06085504807,Census Tract 5048.07; Santa Clara County; California,4762,2050,856,Sunnyvale city,California,47288,0.4379443053689019,0.21137818937596264,06085,4762,2050,856,0.007389,0.009493868073,0.003212018401,0.87113736431702,0.8113105277338615,0.9021854718575444,-0.1479245879712776,-0.23257367655906389,-0.10841953366979148,-5.204936384835145,-8.183434599204023,-3.814895031070357,-109.301478051977,-171.8486896094923,-80.11119342860891,0.8592020524821018,0.7945218088374029,0.8929464441409246,-0.16387059028915807,-0.25861869224617823,-0.11988799167241013,-5.766019087821056,-9.099865407987386,-4.2184289881659405,-121.08397916465888,-191.09335170070108,-109.301478051977,-0.5610827029859111,-0.916430808783362,-0.403533957095584,-11.78250111268188,-19.24466209120878,-8.474043618134901,0.917796768791829,0.8913991207416065,0.9446933365336776,-0.08956583200481497,-0.12183193446280503,-0.05854456819739687,-0.5897585560256978,-0.8022191514141095,-0.38549477217370826,-28.76871005003404,-39.13264153239558,-18.804623032863816,0.9099576423778118,0.8812100093606247,0.9393337728076216,-0.09895225165305312,-0.13480326979668017,-0.06458431384943197,-0.651564728916478,-0.8876306953589037,-0.425264309225686,-31.783645312998924,-43.299058310190425,-20.744600450033463,-0.06180617289078016,-0.08541154394479422,-0.03976953705197778,-3.0149352629648862,-4.16641677779484,-1.939977417169648,0.8913991207416065,0.8654961902362143,0.9446933365336776,-0.12183193446280503,-0.15540658789852846,-0.05854456819739687,-0.9900978038152248,-1.2629506545652536,-0.4757771322694528,-115.66563128682532,-147.54096431837075,-55.58144068568374,0.8812100093606247,-0.13480326979668017,-1.0955126171254532,0.8530837641829826,-0.1722178313377261,-1.3995714451809875,0.9393337728076216,-0.06458431384943197,-0.5248606417126043,-127.98044592587073,-163.5013370538537,-61.3154955271734,-0.1054148133102285,-0.13662079061573396,-0.04908350944315148,-12.314814639045386,-15.960372735482938,-5.73405484148966,0.207
