geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
19153000802,19153000802,Census Tract 8.02; Polk County; Iowa,2284,1500,626,Des Moines city,Iowa,70336,0.7123263668917412,0.16294011683221535,19153,2284,1500,626,0.010992,0.008238848681,0.00325897486,0.7788289481800027,0.6846281659130176,0.8298504637537326,-0.2839789819534036,-0.46064688803213893,-0.20503638146638567,-7.129499078639059,-11.564875474981337,-5.147587623199319,-312.1496969631812,-506.3430593249271,-225.3759905078511,0.7596023399601545,0.6591742571880418,0.8145163850600742,-0.3164783037035612,-0.5170495344673803,-0.22772238636580108,-7.945418210683001,-12.980904974864677,-5.717136291610711,-347.8729514309545,-568.3408482865444,-312.1496969631812,-0.8159191320439421,-1.41602949988334,-0.5695486684113913,-35.723254467773295,-61.997788961617346,-24.936456585437444,0.8560514505939615,0.8119608156158941,0.902046910460626,-0.16815408618975117,-0.23158652581217623,-0.10858979550116156,-0.8220149092480084,-1.1321019983049352,-0.53083712038624,-54.80099394986723,-75.47346655366235,-35.389141359082664,0.8428491521455392,0.7952223512889359,0.8927955886279592,-0.18645192612986655,-0.2575099258454573,-0.12007721894861924,-0.9114632097837184,-1.258827561796214,-0.5869929567183986,-60.76421398558122,-83.92183745308094,-39.13286378122657,-0.08944830053570996,-0.12672556349127895,-0.05615583633215859,-5.963220035713997,-8.448370899418597,-3.7437224221439065,0.8119608156158941,0.7697147363989765,0.902046910460626,-0.23158652581217623,-0.299182609752786,-0.10858979550116156,-1.194411970545863,-1.543040076337164,-0.5600539632901878,-190.80063427250207,-246.49202497398784,-89.46548934348047,0.7952223512889359,-0.2575099258454573,-1.328112405873055,0.7498299470075485,-0.3336357183263222,-1.7207326478649343,0.8927955886279592,-0.12007721894861924,-0.6193005711325653,-212.15853128962536,-274.8774197867307,-98.92980369529798,-0.13370043532719178,-0.1776925715277704,-0.05924660784237756,-21.357897017123285,-28.385394812742877,-9.464314351817505,0.3103
19153002900,19153002900,Census Tract 29; Polk County; Iowa,2647,1252,381,Des Moines city,Iowa,66120,0.6739413656916354,0.19602305918885252,19153,2647,1252,381,0.010992,0.008238848681,0.00325897486,0.7911289422130309,0.7010833221808638,0.8396098230576373,-0.26401645375618865,-0.4263639832271212,-0.19102941930605813,-7.681776271594204,-12.405411415915273,-5.55815836295127,-290.20688596880257,-468.65929036325167,-209.97953770121913,0.7728086955531761,0.6766227556558579,0.8250594863681201,-0.29398129932298506,-0.4779284197007074,-0.212033818800098,-8.553628144392892,-13.905721184209916,-6.169298673855542,-323.14424421582515,-525.3389189350175,-290.20688596880257,-0.8718518727986879,-1.5003097682946436,-0.6111403109042728,-32.937358247022594,-56.67962857176591,-23.088035923848615,0.8644328433598149,0.8226328737893784,0.9078951215943812,-0.15682786428298184,-0.2156090910804441,-0.1014488085847082,-0.6398947799412537,-0.8797360884881092,-0.4139351341766543,-51.109806704572975,-70.26646074186176,-33.06191167545162,0.8519309283378227,0.806727138052673,0.8991647041687778,-0.17380408051515456,-0.23957649722043656,-0.1121432985121877,-0.7091617574633093,-0.9775287744233048,-0.4575711825920063,-56.642312896430454,-78.07737814882626,-36.547219056869515,-0.06926697752205568,-0.09779268593519552,-0.04363604841535201,-5.532506191857483,-7.810917406964499,-3.4853073814178925,0.8226328737893784,0.7824479612844565,0.9078951215943812,-0.2156090910804441,-0.2780402652700544,-0.1014488085847082,-0.6767972274263555,-0.8727687673311145,-0.3184479468457121,-177.63706756597256,-229.07316727850775,-83.58213827971446,0.806727138052673,-0.23957649722043656,-0.7520309475949368,0.7634858801145119,-0.30978191744687456,-0.9724058562847916,0.8991647041687778,-0.1121432985121877,-0.35201796513847833,-197.3834508123194,-255.2246341954833,-92.3931667030127,-0.07523372016858132,-0.09963708895367696,-0.03357001829276623,-19.7463832463468,-26.151466916975583,-8.811028423298223,0.3815
19153000202,19153000202,Census Tract 2.02; Polk County; Iowa,1573,1086,485,Des Moines city,Iowa,83234,0.6340191586278645,0.21728024227544593,19153,1573,1086,485,0.010992,0.008238848681,0.00325897486,0.8041276355873661,0.7186171704118273,0.8498817952885296,-0.2435836747104968,-0.391561517277575,-0.1766342161270865,-4.211663066553169,-6.7702615233204595,-3.0540790766712345,-267.74717524177805,-430.40441979151046,-194.15633036689349,0.7867875636446681,0.6952601677592567,0.8361696098429932,-0.27099111146045485,-0.43831050069053235,-0.19592961550918975,-4.685549049453632,-7.578570894107592,-3.3877045588739425,-297.873429717332,-481.7909023590332,-267.74717524177805,-0.47388598290046335,-0.808309370787132,-0.33362548220270805,-30.126254475553935,-51.386482567522705,-21.209503000807885,0.8732369528835389,0.8338811497610001,0.9140177633029568,-0.14516454748951418,-0.19921166258118608,-0.09407064080060304,-0.5137731453631207,-0.7050592189855845,-0.3329392048285156,-47.308761083160284,-64.9225800170888,-30.65738534332556,0.8614802314789046,0.8188692675379797,0.9058370910284792,-0.1607927419103956,-0.2211961538214881,-0.10395126221273292,-0.5690851808623022,-0.782867757014154,-0.3679091615351891,-52.401950355644765,-72.08727044329227,-33.87745502165646,-0.05531203549918151,-0.07780853802856946,-0.03496995670667358,-5.093189272484485,-7.16469042620345,-3.2200696783309004,0.8338811497610001,0.7959146286991605,0.9140177633029568,-0.19921166258118608,-0.25641615814298546,-0.09407064080060304,-0.7960182505959587,-1.0245983542571602,-0.3758913808172235,-164.1274743496822,-211.25739263034228,-77.50337748808732,0.8188692675379797,-0.2211961538214881,-0.8838647954749036,0.7779525983783414,-0.28542536149955805,-1.1405145361105722,0.9058370910284792,-0.10395126221273292,-0.415372778991285,-182.24016401544404,-235.1576363114582,-85.64387195696598,-0.08784654487894494,-0.115916181853412,-0.03948139817406149,-18.112689665761845,-23.90024368111588,-8.140494468878657,0.4552
19153000600,19153000600,Census Tract 6; Polk County; Iowa,2458,1810,691,Des Moines city,Iowa,105841,0.7032109569390754,0.21824147853323209,19153,2458,1810,691,0.010992,0.008238848681,0.00325897486,0.7817324411986076,0.6885005135768766,0.8321577298812728,-0.2792100561500672,-0.4524317415608464,-0.20169526051590475,-7.543791111641383,-12.223952810556112,-5.449470318226248,-306.90769372015393,-497.3129703236823,-221.7034303590825,0.7627179172888348,0.6632766297559324,0.8170078264751861,-0.3111007062147047,-0.5076665679717565,-0.223978482940973,-8.405423410346181,-13.716305909427756,-6.051525908869477,-341.96189627120344,-558.0270915145547,-306.90769372015393,-0.861632298704798,-1.492353098871643,-0.6020555906432294,-35.05420255104955,-60.71412119087237,-24.493718089635045,0.8580344196810096,0.8144825409321886,0.9034322841603064,-0.16545441192413796,-0.22777340181593528,-0.106889821775019,-0.9759733017756982,-1.3435771004336086,-0.6305157479379481,-53.92117689368498,-74.23077902948114,-34.83512419546675,0.8449970265283449,0.7979394870769115,0.894303986354586,-0.183436117057692,-0.25322786526494123,-0.11818801577331473,-1.082042785971734,-1.4937264766173384,-0.6971609076069142,-59.781369390703546,-82.52632467499107,-38.51717721585161,-0.1060694841960359,-0.1501493761837298,-0.06664515966896611,-5.8601924970185575,-8.295545645509934,-3.682053020384868,0.8144825409321886,0.7727196480342304,0.9034322841603064,-0.22777340181593528,-0.2941304165669427,-0.106889821775019,-1.2967240984626078,-1.6744975322510047,-0.6085285053961171,-187.6590591118101,-242.32959945745367,-88.06490671434402,0.7979394870769115,-0.25322786526494123,-1.44163749003778,0.7530505859210359,-0.32793203895715306,-1.866931670614269,0.894303986354586,-0.11818801577331473,-0.6728496259040109,-208.63060637305065,-270.1782446619781,-97.3733177863981,-0.1449133915751721,-0.19243413836326395,-0.06432112050789374,-20.971547261240534,-27.84864520452445,-9.308411072054088,0.7757
19153000801,19153000801,Census Tract 8.01; Polk County; Iowa,3857,2841,1139,Des Moines city,Iowa,127057,0.661820415261729,0.223636020149326,19153,3857,2841,1139,0.010992,0.008238848681,0.00325897486,0.7950531596080539,0.706361134643496,0.8427153458986996,-0.2577775308672203,-0.415706429692943,-0.18664031083184665,-10.928773318611116,-17.62434965498789,-7.912829494231729,-283.34906192924853,-456.94450751848296,-205.1550296663658,0.7770264181145935,0.6822278983701685,0.8284169814521106,-0.2869575302554553,-0.4657858501374452,-0.20712156123010173,-12.16589277459464,-19.747523975589544,-8.78115553541621,-315.42371725679646,-511.99180647107966,-283.34906192924853,-1.2371194559835228,-2.123174320601656,-0.8683260411844804,-32.07465532754791,-55.047298952596734,-22.512990437762003,0.8670964711578861,0.8260318755568766,0.9097496943562275,-0.15327421257364798,-0.2106070353832789,-0.0992034470620371,-1.4191272443226974,-1.9499573786088449,-0.9184996751414766,-49.95168054638147,-68.63630336532366,-32.33015400005198,0.8548189882187689,0.8103945042992713,0.901185323288149,-0.16983830937559352,-0.23396690709875437,-0.10964967377776026,-1.5724900354572109,-2.1662405342596074,-1.015218651437187,-55.34987805199615,-76.2492268306796,-35.734553024892186,-0.15336279113451323,-0.2162831556507625,-0.09671897629571048,-5.398197505614687,-7.612923465355949,-3.4043990248402136,0.8260318755568766,0.7865123666634048,0.9097496943562275,-0.2106070353832789,-0.2714358252779503,-0.0992034470620371,-1.97634666557593,-2.547166989125754,-0.9309299732456204,-173.5159495676848,-223.63186910673872,-81.73221889777177,0.8103945042992713,-0.23396690709875437,-2.195556838157025,0.7678495094783859,-0.30233852813075063,-2.837159456040583,0.901185323288149,-0.10964967377776026,-1.0289578729304416,-192.7617943948222,-249.0921383705516,-90.33870701759804,-0.2192101725810951,-0.28999246691482883,-0.09802789968482116,-19.24584482713741,-25.46026926381289,-8.606488119826267,0.5559
19153000901,19153000901,Census Tract 9.01; Polk County; Iowa,2076,1537,413,Des Moines city,Iowa,64407,0.7143072754623351,0.1582603595570534,19153,2076,1537,413,0.010992,0.008238848681,0.00325897486,0.7781994055370762,0.6837895345313663,0.8293499086913504,-0.2850176868354809,-0.4624382935099291,-0.2057636825184224,-6.503930322832078,-10.552560695414128,-4.695402130751428,-313.29144136956063,-508.312172226114,-226.1754398242499,0.7589269657236074,0.658286114670762,0.8139759650432619,-0.31764984664438534,-0.519096298271678,-0.22853750349600457,-7.248576369318114,-11.845461916010343,-5.215086878976698,-349.1607114315084,-570.5906510602284,-313.29144136956063,-0.7446460464860358,-1.2929012205962156,-0.51968474822527,-35.86927006194778,-62.27847883411444,-25.032984018558288,0.8556211296607785,0.8114138422808823,0.9017461301078276,-0.1687415905641113,-0.232416737171999,-0.10895956923089148,-0.8452341124822175,-1.164185746459169,-0.5457833157044137,-54.9924601484852,-75.74403034867723,-35.50964968799048,0.842383111035921,0.79463310383317,0.8924681289574424,-0.18710832031075453,-0.25844241219775055,-0.12048819173876096,-0.9372338765279788,-1.294549507157418,-0.6035306972539513,-60.978131198957634,-84.22573241102263,-39.26679878034816,-0.09199976404576138,-0.13036376069824906,-0.05774738154953751,-5.985671050472438,-8.481702062345416,-3.7571490923576785,0.8114138422808823,0.7690632734395452,0.9017461301078276,-0.232416737171999,-0.30028312953707625,-0.10895956923089148,-0.7908315336671331,-1.0217567407395074,-0.3707506795382267,-191.4846328491848,-247.3987265713093,-89.77014032402583,0.79463310383317,-0.25844241219775055,-0.8793876537890067,0.7491318801658985,-0.3348784459400469,-1.1394723040055643,0.8924681289574424,-0.12048819173876096,-0.4099784835677649,-212.92679268498952,-275.9012842628485,-99.26839795829656,-0.08855612012187364,-0.11771556326605692,-0.03922780402953818,-21.442159835804755,-28.50255769153921,-9.498257634270749,0.3966
19153003200,19153003200,Census Tract 32; Polk County; Iowa,1512,1006,464,Des Moines city,Iowa,70947,0.6812380237977491,0.2340727845382145,19153,1512,1006,464,0.010992,0.008238848681,0.00325897486,0.7887759589013976,0.6979251801077747,0.8377458587741828,-0.2677871184015217,-0.43281834285672055,-0.1936794309711453,-4.450596200269924,-7.193399307717782,-3.2189335495150613,-294.3516005469526,-475.7539224681073,-212.89243052348291,0.7702807273169425,0.6732707607404026,0.8230448819581792,-0.29822798953210256,-0.4852865419260002,-0.2150005691315536,-4.9565205561365495,-8.065415739302098,-3.5732888189117844,-327.81220609368717,-533.4269668850594,-294.3516005469526,-0.5059243558666253,-0.8720164315843162,-0.3543552693967231,-33.46060554673448,-57.67304441695213,-23.43619506592084,0.8628333203342982,0.8205934656870334,0.9067805158374178,-0.1589723952855201,-0.21863022533668405,-0.10280269870652588,-0.5211955619075095,-0.7167854704564386,-0.33704159908847076,-51.80870396694925,-71.25104080083882,-33.503141062472245,0.8501970600528069,0.8045274375467321,0.8979505023869105,-0.17619790397521323,-0.24296568809303493,-0.11364713015007388,-0.5776698866765535,-0.796569983753829,-0.37259537891066025,-57.4224539439914,-79.18190693378023,-37.03731400702388,-0.05647432476904401,-0.07978451329739045,-0.03555377982218949,-5.613749977042149,-7.9308661329413965,-3.534172944551639,0.8205934656870334,0.7800113754204533,0.9067805158374178,-0.21863022533668405,-0.2820325850516798,-0.10280269870652588,-0.8357852634498285,-1.0781614391873522,-0.39299680768965656,-180.12613436418718,-232.3623791352052,-84.69758786415012,0.8045274375467321,-0.24296568809303493,-0.928815498037331,0.7608709971098008,-0.31428324091539883,-1.2014500781025748,0.8979505023869105,-0.11364713015007388,-0.4344531798680763,-200.1757538873558,-258.93320648762386,-93.63215083363714,-0.09303023458750248,-0.12328863891522256,-0.0414563721784198,-20.049619523168637,-26.570827352418657,-8.934562969487025,0.384
19153004300,19153004300,Census Tract 43; Polk County; Iowa,3021,2162,893,Des Moines city,Iowa,27371,0.8316527223242749,0.18242752233280896,19153,3021,2162,893,0.010992,0.008238848681,0.00325897486,0.741800281670514,0.6359005627439296,0.8002303776079367,-0.34807174479366226,-0.5725729124770241,-0.2496401386176045,-11.558359953310015,-19.013332512375243,-8.289758143531504,-382.60046187719354,-629.3721453947448,-274.40444036847083,0.7199721432608729,0.6077544259300437,0.7825940415954755,-0.38894262696169696,-0.6454014275086599,-0.27780170413935,-12.91555247115574,-21.43173677584025,-9.2249145186691,-427.52573555629726,-709.4252491175189,-382.60046187719354,-1.3571925178457231,-2.4184042634650034,-0.9351563751375966,-44.92527367910371,-80.05310372277403,-30.955192821502703,0.8305119033333243,0.7796610316882778,0.8841062348518304,-0.2040766616184814,-0.28260867140505946,-0.1310857910278085,-1.4379044944305477,-1.991233468617168,-0.9236178531146634,-66.5080709727358,-92.10145553270895,-42.72052974628415,0.8152305526734829,0.7604950840826573,0.873282784221624,-0.22664686292801545,-0.3149328916520796,-0.14510444734270336,-1.59693195815814,-2.218986809952422,-1.0223919547743066,-73.86364283802683,-102.63583764812314,-47.28917459640641,-0.15902746372759236,-0.22775334133525416,-0.09877410165964318,-7.355571865291044,-10.53438211541416,-4.568644850122256,0.7796610316882778,0.7314395839295202,0.8841062348518304,-0.28260867140505946,-0.367166915724864,-0.1310857910278085,-2.0792344811227497,-2.7013541647786843,-0.9644364248810204,-232.83700796447363,-302.5032659326634,-107.99959965073016,0.7604950840826573,-0.3149328916520796,-2.317053204019188,0.7089184931462316,-0.41059939847517257,-3.020899617104086,0.873282784221624,-0.14510444734270336,-1.0675757710448224,-259.4684438991252,-338.28663125465687,-119.54935845966656,-0.23781872289643813,-0.31954545232540177,-0.10313934616380194,-26.631435934651524,-35.78336532199348,-11.549758808936389,0.3027
19153000101,19153000101,Census Tract 1.01; Polk County; Iowa,2162,1389,421,Des Moines city,Iowa,90050,0.7285042972444065,0.17556577896503878,19153,2162,1389,421,0.010992,0.008238848681,0.00325897486,0.7737023889154357,0.6778091154570892,0.8257712936943041,-0.2924866386955129,-0.475341622287917,-0.21098905669902632,-6.95085839255381,-11.29635295255215,-5.014092479691579,-321.50131325410774,-522.4955112188783,-231.91917112356975,0.7541041513430782,0.6519557884789062,0.8101132949865917,-0.32607677363793214,-0.533846339999717,-0.23439524593476913,-7.749118006780461,-12.686700251576635,-5.570333638646992,-358.423589582815,-586.8038969276889,-321.50131325410774,-0.7982596142266507,-1.3903472990244854,-0.5562411589554133,-36.92227632870725,-64.30838570881062,-25.728083207928456,0.8525433761907882,0.8075044943433249,0.8995933932314574,-0.1729608462481478,-0.238383200347653,-0.11161332166732454,-0.7829446440152972,-1.0790930663443097,-0.5052418179939616,-56.367504968703905,-77.68848569793445,-36.3745009354904,0.8390505626525597,0.7904227706318825,0.8901247626337105,-0.19182328754850905,-0.26514573865398205,-0.12343801900442523,-0.8683295603678842,-1.2002394788516368,-0.5587688655773339,-62.514727168314195,-86.41032965094578,-40.22814007036241,-0.08538491635258705,-0.12114641250732738,-0.05352704758337223,-6.147222199610299,-8.72184395301133,-3.853639134872011,0.8075044943433249,0.7644103962389066,0.8995933932314574,-0.238383200347653,-0.30819780175708505,-0.11161332166732454,-0.8268453117336211,-1.0690011170997464,-0.3871369778283644,-196.40031157568197,-253.91950524934597,-91.95652680008656,0.7904227706318825,-0.26514573865398205,-0.919672655675677,0.7441478708125316,-0.3438189360242402,-1.1925549909653426,0.8901247626337105,-0.12343801900442523,-0.4281515943852018,-218.44956191821308,-283.26721875661343,-101.69871600598616,-0.09282734394205594,-0.12355387386559612,-0.04101461655683741,-22.049250342531103,-29.34771350726749,-9.742189205899622,0.9596
19153000201,19153000201,Census Tract 2.01; Polk County; Iowa,1772,1162,451,Des Moines city,Iowa,75091,0.6733840245073518,0.21007608179178125,19153,1772,1162,451,0.010992,0.008238848681,0.00325897486,0.7913089585974428,0.701325137441181,0.8397523687540751,-0.26372890024201434,-0.4258721762755416,-0.19082724527908307,-5.136865102627513,-8.295063295991975,-3.716899497950811,-289.89080714602215,-468.1186961620753,-209.75730801076816,0.7730021302547825,0.6768794763286438,0.8252135706124677,-0.29365749570495847,-0.4773678844924414,-0.2118075073072381,-5.719809017621937,-9.298087637396105,-4.125549349209098,-322.78831927889036,-524.7227786340916,-289.89080714602215,-0.5829439149944244,-1.003024341404128,-0.408649851258287,-32.8975121328682,-56.60408247201626,-23.061504021348025,0.864555141673346,0.8227888582523777,0.9079803149098716,-0.15666422163021382,-0.21537863568549387,-0.10134546264834204,-0.5932762508345373,-0.8156235556511033,-0.3837880499672703,-51.0564759754335,-70.19135590801233,-33.02823149460157,0.8520635117986847,0.8068954049746894,0.8992575161003357,-0.17362143332370272,-0.23931800061665728,-0.11202851474240431,-0.6574920039492897,-0.906280225859085,-0.4242440074787139,-56.582788635911335,-77.99313475551506,-36.5098113148635,-0.06421575311475247,-0.09065667020798164,-0.04045595751144359,-5.526312660477838,-7.801778847502722,-3.4815798202619272,0.8227888582523777,0.7826343877985653,0.9079803149098716,-0.21537863568549387,-0.27773583117508033,-0.10134546264834204,-0.8002868668283878,-1.031988792340805,-0.3765714390007981,-177.44719885330105,-228.8223486343249,-83.49699312656276,0.8068954049746894,-0.23931800061665728,-0.8892388619677668,0.763685981955308,-0.30943872694853447,-1.1497879001639837,0.8992575161003357,-0.11202851474240431,-0.4162666773948509,-197.1704793720104,-254.9418847370252,-92.29859809198469,-0.08895199513937901,-0.11779910782317836,-0.03969523839405287,-19.723280518709316,-26.1195361027003,-8.801604965421921,0.6391
19153001700,19153001700,Census Tract 17; Polk County; Iowa,1541,964,359,Des Moines city,Iowa,63971,0.5843840541962972,0.2211985272107708,19153,1541,964,359,0.010992,0.008238848681,0.00325897486,0.8205870895304092,0.7410296884678085,0.8628283178856663,-0.21863969438303257,-0.3494735981059706,-0.15897911469858642,-3.7034660693344312,-5.919618650976858,-2.6928950787297343,-240.32875206582943,-384.14137903808296,-174.7498428766862,0.8045205610965908,0.7191494764188908,0.8501916379482527,-0.24297631204970532,-0.3905314997650351,-0.17620540518756014,-4.115696053579606,-6.615084980188007,-2.98468556309918,-267.0795622050361,-429.2722245417266,-240.32875206582943,-0.4122299842451751,-0.6954663292111487,-0.29179048436944566,-26.750810139206692,-45.13084550364365,-18.935138505479927,0.8843082128196672,0.8480808039517761,0.9216876284242278,-0.13082744851078892,-0.17913292617912194,-0.08496628267611632,-0.41101428452959976,-0.5627732737074185,-0.26693447193830844,-42.63633656946055,-58.37897030159943,-27.690297918911664,0.8735022425613304,0.8342206893870455,0.914201930231102,-0.14481675177815925,-0.19872356646388495,-0.09385023913393968,-0.4549638038312136,-0.624320243336308,-0.2948447694245677,-47.19541533518814,-64.76351071953403,-30.585556994249767,-0.04394951930161384,-0.0615469696288895,-0.02791029748625928,-4.559078765727576,-6.384540417934596,-2.8952590753381,0.8480808039517761,0.8129813448693781,0.9216876284242278,-0.17913292617912194,-0.23004052468223635,-0.08496628267611632,-0.5298298170542559,-0.6804015973343699,-0.25130874019805827,-147.5849072574529,-189.52690733547908,-70.00243459555941,0.8342206893870455,-0.19872356646388495,-0.5877739682466094,0.7963218606519558,-0.2557736380378797,-0.7565136278374814,0.914201930231102,-0.09385023913393968,-0.27758523288516945,-163.72533934445946,-210.72803003829569,-77.32179189001934,-0.05794415119235352,-0.07611203050311155,-0.02627649268711118,-16.140432087006552,-21.201122702816587,-7.31935729445994,0.9334
