geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48121021522,48121021522,Census Tract 215.22; Denton County; Texas,3391,2459,405,Frisco city,Texas,115196,0.5807674865817304,0.2282491532437981,48121,3391,2459,405,0.006679,0.006897320142,0.003436016044,0.821799462136403,0.7426897961438634,0.8637793141368323,-0.21684187697122043,-0.34645716851385694,-0.15770311193350578,-4.911140865322039,-7.846731370057236,-3.5717371958917745,-144.82868962907813,-231.39874285040509,-105.32990846038852,0.8058281563482352,0.7209218738631245,0.8512224698588848,-0.24095936847341212,-0.3871128568223494,-0.1747810183697094,-5.457365606317022,-8.767521279499556,-3.958525971955162,-160.93676220339196,-258.55267707164717,-144.82868962907813,-0.5462247409949823,-0.9207899094423206,-0.38678877606338746,-16.10807257431384,-27.15393422124213,-11.406333708740414,0.8851203641369753,0.8491248363575251,0.922248987688632,-0.1297898461245286,-0.1776831358386374,-0.08430587981042933,-1.0966156243415095,-1.5012738573993925,-0.7123141584995082,-44.59599936321715,-61.05221054897895,-28.96763556321709,0.8743847328623595,0.8353504257527349,0.9148144289409644,-0.14366132254668965,-0.1971024005870342,-0.09311786998992856,-1.2138179959556314,-1.665350399380065,-0.786768103865243,-49.36226091726846,-67.72470107279646,-31.99544952685006,-0.11720237161412173,-0.16407654198067245,-0.0744539453657348,-4.766261554051311,-6.672490523817505,-3.0278139636329726,0.8491248363575251,0.8142390888374126,0.922248987688632,-0.1776831358386374,-0.2281404979314131,-0.08430587981042933,-0.4963426760439901,-0.6372910108932393,-0.23550128037672968,-122.55374717135558,-157.3558051588245,-58.148464290550535,0.8353504257527349,-0.1971024005870342,-0.550588734830229,0.7976771329575892,-0.2536400489409138,-0.7085218304431024,0.9148144289409644,-0.09311786998992856,-0.260116822905977,-135.94783576055036,-174.94366183780303,-64.22637602616716,-0.05424605878623884,-0.0712308195498631,-0.0246155425292473,-13.394088589194777,-17.587856678978543,-6.077911735616619,0.2526
48085030509,48085030509,Census Tract 305.09; Collin County; Texas,1778,1420,423,Frisco city,Texas,50783,0.5271828230831702,0.19010617988212003,48085,1778,1420,423,0.006619,0.006897320142,0.003436016044,0.8399738247598393,0.767726985706015,0.8779931366350477,-0.19051328806098752,-0.30254637210698365,-0.13896106731830457,-2.242071252635353,-3.56054178894355,-1.6353747155429874,-126.10074536756764,-200.2554436976125,-91.9783304579858,0.8254529578524419,0.7477001831413079,0.8666429991695053,-0.21145607449475057,-0.3374344724628881,-0.15387766468810032,-2.48853815208958,-3.9711252588062407,-1.8109219148504132,-139.96277570807538,-223.34787732318563,-126.10074536756764,-0.2464668994542274,-0.4105834698626909,-0.1755471993074258,-13.862030340507726,-23.092433625573168,-9.873295799067815,0.8972413238762315,0.8647451349066555,0.9306065080402354,-0.11452735556119284,-0.15641009082744886,-0.07456802779716254,-0.5587953202829147,-0.7631471657677883,-0.3638280546302936,-39.351783118515115,-53.74275815266115,-25.621693988048847,0.8875650535418096,0.8522694869640745,0.9239377120290232,-0.12667797814878037,-0.1733377943192196,-0.082324043039589,-0.6180799427837808,-0.8457398480836231,-0.4016707604211835,-43.52675653406907,-59.55914423124107,-28.286673269097435,-0.05928462250086608,-0.08259268231583483,-0.03784270579088994,-4.174973415553949,-5.816386078579918,-2.6649792810485873,0.8647451349066555,0.8331040073486773,0.9306065080402354,-0.15641009082744886,-0.20033032031914363,-0.07456802779716254,-0.4563368287576378,-0.5844770154841988,-0.21755717391154947,-107.88104698762125,-138.1742353390541,-51.43195600745851,0.8522694869640745,-0.1733377943192196,-0.5057245280340621,0.8180298395049244,-0.2224492942766061,-0.6490105911488057,0.9239377120290232,-0.082324043039589,-0.24018586353637297,-119.55662601278064,-153.43039979877204,-56.7815280227832,-0.04938769927642428,-0.06453357566460682,-0.02262868962482347,-11.675579025159404,-15.256164459717924,-5.349572015324699,0.2411
48121021539,48121021539,Census Tract 215.39; Denton County; Texas,5649,4547,1025,Frisco city,Texas,107322,0.46059770121632,0.17907107360311889,48121,5649,4547,1025,0.006679,0.006897320142,0.003436016044,0.863118596488925,0.80001781450912,0.8959817791370102,-0.15858933415163812,-0.24997216544932355,-0.11609412522113774,-5.983523401650371,-9.431367561560544,-4.380193149626329,-105.9218162798791,-166.9564093036032,-77.5392662351979,0.850506273253692,0.7823653783871258,0.886194592440336,-0.1757702811225667,-0.2781751693326917,-0.12842033626754049,-6.631754878331954,-10.495457619291749,-4.8452570370836705,-117.39697076176232,-185.7931955973048,-105.9218162798791,-0.6482314766815831,-1.0640900577312031,-0.4650638874573412,-11.47515448188322,-18.836786293701593,-8.232676357892391,0.9125345465595356,0.8845561267169786,0.9410972958867004,-0.0958489229478811,-0.1305105123306197,-0.06258938833503025,-1.4975018732619814,-2.0390394663251077,-0.9778693739625522,-32.93384370490392,-44.84362142786689,-21.50581425033104,0.904220286517836,0.8737716192504985,0.935401319258644,-0.10592519866039832,-0.1444638140773871,-0.06905985635401264,-1.6549292213314395,-2.2570397824615327,-1.0789611513274024,-36.3960682061016,-49.63799829473351,-23.72907744287228,-0.15742734806945813,-0.218000316136425,-0.1010917773648502,-3.4622245011976722,-4.794376866866616,-2.2232631925412405,0.8845561267169786,0.8571559824955519,0.9410972958867004,-0.1305105123306197,-0.1666488018768385,-0.06258938833503025,-0.9226771050767404,-1.178165891270918,-0.4424915250596306,-90.01727854407223,-114.94301378252858,-43.169904883866394,0.8737716192504985,-0.1444638140773871,-1.021323503991758,0.8440454764936183,-0.18477028531004855,-1.3062803057748866,0.935401319258644,-0.06905985635401264,-0.488236136690012,-99.64131746261052,-127.44198105120844,-47.63279382341581,-0.09864639891501747,-0.12811441450396877,-0.04574461163038146,-9.62403891853829,-12.49896726867988,-4.462888939549411,0.0224
48121021521,48121021521,Census Tract 215.21; Denton County; Texas,3089,2231,648,Frisco city,Texas,109319,0.562733147634747,0.2164984527256546,48121,3089,2231,648,0.006679,0.006897320142,0.003436016044,0.8278718557417982,0.7510237499857056,0.8685372106047485,-0.20791641008736764,-0.33151581427222926,-0.1513611481351686,-4.289613068485229,-6.8396456475663125,-3.1227970838315096,-138.86737029735283,-221.41941235242192,-101.0941108394791,0.8123803881597841,0.72982550799189,0.8563814914897963,-0.23095044461279352,-0.3701905305440656,-0.16770389124169313,-4.764838162448171,-7.637560387773282,-3.459971260584496,-154.25180195688478,-247.2502553503814,-138.86737029735283,-0.47522509396294144,-0.7979147402069691,-0.33717417675298655,-15.384431659531934,-25.8308429979595,-10.915318120847736,0.889181376443386,0.8543502132561562,0.9250533634679008,-0.12462994220580124,-0.17048019007186016,-0.08101871685665162,-0.9553822030706765,-1.3068588229127818,-0.6210693741047422,-42.82304809819258,-58.577266827108105,-27.838161098374815,0.8787986757032746,0.8410068349911165,0.917874839392436,-0.13791705386871664,-0.18905097841513135,-0.08947315808539276,-1.0572379031399275,-1.4492178769742527,-0.6858790221226188,-47.388520983412256,-64.9582194968289,-30.743120668875783,-0.10185570006925115,-0.14235905406147098,-0.06480964801787659,-4.565472885219685,-6.380952669720797,-2.9049595705009676,0.8543502132561562,0.8205400458197609,0.9250533634679008,-0.17048019007186016,-0.21870956218955712,-0.08101871685665162,-0.7619549788189199,-0.977514394812646,-0.362110193920037,-117.58564487946296,-150.85098685380342,-55.88120276543781,0.8410068349911165,-0.18905097841513135,-0.8449564385942953,0.8044698263520077,-0.24305470167185012,-1.0863241059629862,0.917874839392436,-0.08947315808539276,-0.3998970099991128,-130.39451212874928,-167.64260894490528,-61.71250154307297,-0.08300145977537532,-0.1088097111503401,-0.0377868160790758,-12.808867249286315,-16.791622091101868,-5.831298777635155,0.4028
48121021626,48121021626,Census Tract 216.26; Denton County; Texas,1585,1435,683,Frisco city,Texas,98988,0.5661384672454951,0.24287152850894775,48121,1585,1435,683,0.006679,0.006897320142,0.003436016044,0.8267218145593896,0.7494429674280819,0.8676368018782219,-0.2095967257534638,-0.33432434949889905,-0.15255599789594457,-2.2188360021222047,-3.539229443530487,-1.614990593266017,-139.98965313073847,-223.29523303031468,-101.89215099470138,0.811139101149038,0.7281359058543859,0.855404954486485,-0.23283416935939436,-0.37336998760775575,-0.1690369511599544,-2.4648325761849605,-3.9525749633630376,-1.7894615079237766,-155.50994171513946,-249.37381472322005,-139.98965313073847,-0.24599657406275588,-0.4133455198325504,-0.17447091465775988,-15.520288584401005,-26.078581692905388,-11.007628685032168,0.8884131346838315,0.8533610789621384,0.9245231771618916,-0.1256024488605518,-0.1718368984160896,-0.08163864865974249,-0.6193058622615328,-0.8472732777692458,-0.4025342989786834,-43.15720294505456,-59.04343399088821,-28.05117066053543,0.8779635134353168,0.8399358425939076,0.9172961767815684,-0.13899949678680376,-0.19056712345049936,-0.09016043597674955,-0.6853624590316963,-0.9396260803660016,-0.4445525310294599,-47.760450106738425,-65.47916936348444,-30.97927045501463,-0.06605659677016351,-0.09235280259675592,-0.04201823205077648,-4.603247161683869,-6.435735372596232,-2.9280997944791975,0.8533610789621384,0.8193465498132023,0.9245231771618916,-0.1718368984160896,-0.22048478782022543,-0.08163864865974249,-0.8095012306989421,-1.0386750967692964,-0.3845890328085216,-118.52141005841028,-152.07541680370372,-56.30878957665032,0.8399358425939076,-0.19056712345049936,-0.8977368794820625,0.8031827863835603,-0.2450466032802271,-1.1543826079403077,0.9172961767815684,-0.09016043597674955,-0.42473406210349834,-131.44024589781296,-169.0164872533393,-62.186539107393614,-0.0882356487831204,-0.1157075111710113,-0.04014502929497671,-12.918835839402696,-16.941070449635625,-5.877749530743296,0.0076
48085030303,48085030303,Census Tract 303.03; Collin County; Texas,6588,5195,1354,Frisco city,Texas,219651,0.5748710052088092,0.21186478365434425,48085,6588,5195,1354,0.006619,0.006897320142,0.003436016044,0.8237799664619068,0.7454044279305776,0.8653320743304904,-0.213916386307559,-0.34155360838979865,-0.15562571833905786,-9.3280319516686,-14.893777083944526,-6.786210716372844,-141.5912560969733,-226.07433339320772,-103.00866296862242,0.8079646290906977,0.7238209768082887,0.8529058273906471,-0.2376779428146792,-0.3815570866839634,-0.17246238434009542,-10.364177719394505,-16.63816763834248,-7.520389902587439,-157.31903034903615,-252.5526356761154,-141.5912560969733,-1.0361457677259018,-1.7443905543979543,-0.734179186214595,-15.727774252062868,-26.478302282907624,-11.144189226086748,0.8864461019954101,0.8508297920370097,0.9231649656524176,-0.12810017185362715,-0.17532320724907297,-0.08323001544288643,-2.2866013065581035,-3.129537368800462,-1.485664377359432,-44.01542457282201,-60.24133529933518,-28.59796684041255,0.8758254644744384,0.8371956387541917,0.9158139319127048,-0.1417800013385951,-0.19446393854616004,-0.09192486066626,-2.5307876766557333,-3.4712014006208665,-1.6408682631965577,-48.71583593177543,-66.81812128240358,-31.58552960917339,-0.2441863700976299,-0.34166403182040384,-0.15520388583712563,-4.7004113589534144,-6.576785983068409,-2.98756276876084,0.8508297920370097,0.816293898701997,0.9231649656524176,-0.17532320724907297,-0.2250489702178557,-0.08323001544288643,-1.6373384309256227,-2.101725912727845,-0.7772827398575414,-120.92602887190714,-155.2234795219974,-57.40640619331916,0.8371956387541917,-0.19446393854616004,-1.816093174467466,0.799891727759386,-0.25016919827530487,-2.336323005933229,0.9158139319127048,-0.09192486066626,-0.858483651354413,-134.12800402270798,-172.5497050172252,-63.40351930239387,-0.1787547435418433,-0.23459709320538424,-0.08120091149687159,-13.201975150800834,-17.32622549522779,-5.997113109074711,0.0985
48085030404,48085030404,Census Tract 304.04; Collin County; Texas,3739,2643,910,Frisco city,Texas,86027,0.5383901154989197,0.20510254129841757,48085,3739,2643,910,0.006619,0.006897320142,0.003436016044,0.8361396880168619,0.7624215555003951,0.8750010830338918,-0.19597241266202595,-0.31161034572753726,-0.1428557282840147,-4.850011692393803,-7.711870256227558,-3.5354565629489687,-129.71413994099498,-206.25488783705688,-94.55620655118932,0.8213092646587778,0.742018414150952,0.8633948416332002,-0.21756814762763113,-0.3476754497315826,-0.15821864085775292,-5.384472465041719,-8.604425354830537,-3.9156646983682872,-144.00835691472903,-230.1263801773345,-129.71413994099498,-0.5344607726479156,-0.8925550986029798,-0.3802081354193185,-14.294216973734036,-23.871492340277605,-10.168711832557328,0.8946925591406151,0.8614545417760545,0.9288522823656602,-0.117702376960122,-0.16082735827047512,-0.07659745148403604,-1.0689012366880115,-1.4605360281451245,-0.6956113609003469,-40.44272556519152,-55.26053833314886,-26.31900722286595,0.8847920423638553,0.8487027346493817,0.9220220724625718,-0.1302090797837074,-0.1782688557179241,-0.08457273406607471,-1.182479487699452,-1.618929075700871,-0.76803801561239,-44.74004872112947,-61.25346483923084,-29.059327113597806,-0.11357825101144026,-0.15839304755574668,-0.07242665471204313,-4.297323155937959,-5.992926506081978,-2.7403198907318624,0.8614545417760545,0.829122574021743,0.9288522823656602,-0.16082735827047512,-0.2060942873010907,-0.07659745148403604,-1.0094427776010744,-1.2935634338471824,-0.4807686019015057,-110.92777775835982,-142.14982789529478,-52.83171449467096,0.8487027346493817,-0.1782688557179241,-1.118915406003422,0.8137305358695671,-0.2289080425516808,-1.436755367827326,0.9220220724625718,-0.08457273406607471,-0.5308259521455314,-122.95773692345298,-157.8852052557501,-58.33252221379466,-0.10947262840234771,-0.14319193398014352,-0.05005735024402569,-12.029959165093157,-15.735377360455333,-5.500807719123703,0.2987
48085030520,48085030520,Census Tract 305.20; Collin County; Texas,3900,3189,728,Frisco city,Texas,83372,0.6020733038587192,0.20921058776825163,48085,3900,3189,728,0.006619,0.006897320142,0.003436016044,0.8146828874686879,0.7329631261693021,0.85819189612179,-0.22747146820171144,-0.3643251130876355,-0.1652405534462019,-5.8719712273058,-9.40472490175553,-4.2655361707156,-150.5633648027128,-241.14679235270592,-109.37272232604104,0.7981553947331507,0.7105429576662798,0.8451676201273991,-0.25288885672987593,-0.4073744440229457,-0.1831972453573905,-6.52809823651069,-10.51600463545272,-4.729072011380213,-167.38713426950488,-269.6411444987877,-150.5633648027128,-0.6561270092048899,-1.1112797336971898,-0.4635358406646128,-16.823769466792047,-28.49435214608179,-11.885534376015714,0.8803465656322031,0.84299272816406,0.9189468434020688,-0.13591628460760807,-0.18624985316051723,-0.08820222538429011,-1.4892965946882784,-2.0408244153668065,-0.9664719300412534,-46.70105345526116,-63.995748365218134,-30.30642615369249,0.8691986472632169,0.8287169298957293,0.9112119976301064,-0.1504849934461217,-0.20668465180966175,-0.09743945711954476,-1.6489325685882656,-2.2647378053566327,-1.067688482622703,-51.706885186210904,-71.01717796665515,-33.48035379814058,-0.1596359738999873,-0.22391338998982624,-0.10121655258144968,-5.005831730949742,-7.02142960143701,-3.173927644448093,0.84299272816406,0.8068574392747887,0.9189468434020688,-0.18624985316051723,-0.23937631522466932,-0.08820222538429011,-0.9352069007361646,-1.2019680986162689,-0.44288534159854553,-128.4624863648578,-165.10550805168526,-60.83589857122879,0.8287169298957293,-0.20668465180966175,-1.0378151143134586,0.789726094360422,-0.2662618180419545,-1.336966904455955,0.9112119976301064,-0.09743945711954476,-0.48926778279738,-142.55702119690366,-183.6493000626311,-67.20711302161813,-0.102608213577294,-0.13499880583968582,-0.04638244119883444,-14.09453483204588,-18.543792010945857,-6.371214450389347,0.3014
48085030512,48085030512,Census Tract 305.12; Collin County; Texas,3110,2609,616,Frisco city,Texas,84539,0.514467040834103,0.2265107555027173,48085,3110,2609,616,0.006619,0.006897320142,0.003436016044,0.8443453271321552,0.7737912421201956,0.8814003090637215,-0.18434954024857428,-0.2923382245319684,-0.1345582588486525,-3.794851877475524,-6.017808662430777,-2.769893868642808,-122.02096069053133,-193.4986708177099,-89.06411153192309,0.8301797096584157,0.7541994146534775,0.8703431554793558,-0.20455846892651505,-0.32590927620841154,-0.1489720964706542,-4.210854493114516,-6.70887178258501,-3.0666040133370993,-135.39725058246032,-215.7193499223476,-122.02096069053133,-0.41600261563899155,-0.691063120154233,-0.29671014469429124,-13.37628989192899,-22.22067910463771,-9.540519122002934,0.900141943341608,0.8684938620887281,0.9326008629213474,-0.11093590005114937,-0.1514186152047172,-0.07227007797046921,-0.994492182113339,-1.3574021482503766,-0.6478698735865932,-38.11775324313296,-52.02767912036706,-24.83211474076632,0.8907218348409969,0.8563344755979266,0.9261160147698476,-0.12268495155786814,-0.16776800245226656,-0.07977832588124872,-1.0998173281237058,-1.5039673069819923,-0.7151780564669437,-42.15474619101977,-57.64535480958192,-27.411960769143104,-0.1053251460103668,-0.14656515873161569,-0.06730818288035045,-4.036992947886807,-5.61767568921486,-2.57984602837679,0.8684938620887281,0.8376444944355232,0.9326008629213474,-0.1514186152047172,-0.193823879513332,-0.07227007797046921,-0.6433397213475499,-0.8235090544714176,-0.30705743650097067,-104.43826645252432,-133.6865348167886,-49.84698644496277,0.8563344755979266,-0.16776800245226656,-0.712804167458228,0.8229353384922381,-0.2151623016119048,-0.914170658451432,0.9261160147698476,-0.07977832588124872,-0.33895809886139844,-115.71496224971234,-148.404327670687,-55.02566539957766,-0.06946444611067815,-0.09066160398001422,-0.03190066236042777,-11.276695797188012,-14.71779285389841,-5.178678954614898,0.0201
48121021537,48121021537,Census Tract 215.37; Denton County; Texas,3704,2661,786,Frisco city,Texas,150583,0.4853589917914325,0.28856055524794144,48121,3704,2661,786,0.006679,0.006897320142,0.003436016044,0.8544380936441709,0.7878540421844489,0.8892496205418455,-0.17035980422526442,-0.2692706344786189,-0.12454363420551258,-4.214533922485684,-6.6614905346967035,-3.081086959308323,-113.78331324205408,-179.84585676826953,-83.18269328586184,0.8411019941243791,0.7692904556532546,0.8788728679441221,-0.18891645363537635,-0.29989913777213695,-0.1378209937680987,-4.673607169148833,-7.4192095677311,-3.4095557699648937,-126.17729938306783,-200.30263411801025,-113.78331324205408,-0.4590732466631495,-0.7577190330343964,-0.32846881065657074,-12.393986141013755,-20.45677734974072,-8.86794845185126,0.9068171821697236,0.8771364699310492,0.9371823008208794,-0.10275810787717934,-0.14007344840946925,-0.06702826026921176,-0.939541907970726,-1.2807249733711643,-0.6128553828235619,-35.3078507317071,-48.12946160733425,-23.031017768641934,0.8979904426803509,0.865712893073485,0.9311217811267158,-0.1135975980046822,-0.15511736974340778,-0.07397337305324035,-1.038649953517812,-1.4182751370073432,-0.6763562067583244,-39.03231693039504,-53.29857711414293,-25.41736966397311,-0.09910804554708608,-0.1375501636361789,-0.06350082393476253,-3.72446619868794,-5.1691155068086765,-2.3863518953311735,0.8771364699310492,0.8481316266831612,0.9371823008208794,-0.14007344840946925,-0.17906226880226062,-0.06702826026921176,-0.7593792938201874,-0.9707491375196916,-0.3633798805355093,-96.61314170740296,-123.50497932820502,-46.231536963805254,0.865712893073485,-0.15511736974340778,-0.8409368087423404,0.8342756809054652,-0.19864455225959488,-1.0769104461193588,0.9311217811267158,-0.07397337305324035,-0.4010313762423906,-106.98941587052676,-137.01150713986752,-51.02180359317946,-0.08155751492215302,-0.10616130859966733,-0.03765149570688131,-10.376274163123794,-13.50652781166251,-4.790266629374213,0.2286
48085030506,48085030506,Census Tract 305.06; Collin County; Texas,3877,2595,818,Frisco city,Texas,92314,0.4539436323270893,0.21942369339675,48085,3877,2595,818,0.006619,0.006897320142,0.003436016044,0.8654662930426901,0.8033184635530082,0.8977995755964684,-0.15544650096577928,-0.2448363200530539,-0.11383434252086054,-3.9890468116131954,-6.282956102625621,-2.921201302465398,-102.8900389892493,-162.05716024311636,-75.3469513145576,0.8530513489704271,0.7859167119713983,0.8881725268354632,-0.17226237460022722,-0.2723994601051221,-0.12590737698561258,-4.420573457045711,-6.9902776264916096,-3.231017858894143,-114.0204657478904,-180.30120264358033,-102.8900389892493,-0.4315266454325153,-0.7073215238659882,-0.30981655642874495,-11.130426758641097,-18.244042400463975,-7.991141512219369,0.9140771019579512,0.8865606785454757,0.9421521524919934,-0.09399961760118702,-0.12795437943473542,-0.0613996872532733,-0.838143983968575,-1.140900315155129,-0.547467955744462,-32.298419420754335,-43.96533006378145,-21.09703104988293,0.9059017795546592,0.875949989450405,0.9365547031859668,-0.10387243139272714,-0.1416176859907577,-0.06774328995221031,-0.9261745493622456,-1.2627286638579414,-0.6040304458320146,-35.69073407946997,-48.660064117839745,-23.276703114913857,-0.08803056539367071,-0.12182834870281269,-0.05656249008755254,-3.392314658715634,-4.694734054058292,-2.1796720650309265,0.8865606785454757,0.8595974124367013,0.9421521524919934,-0.12795437943473542,-0.16333528408990833,-0.0613996872532733,-0.7219196165594305,-0.9215389592894404,-0.3464175190764831,-88.25423185323112,-112.65757448526168,-42.349329960450255,0.875949989450405,-0.1416176859907577,-0.799008099762842,0.8466903489278454,-0.1810693263083592,-1.0215945651620233,0.9365547031859668,-0.06774328995221031,-0.3822081754670902,-97.6782518047484,-124.88931114450162,-46.72471582727264,-0.07708848320341155,-0.10005560587258278,-0.03579065639060708,-9.424019951517304,-12.23173665923995,-4.3753858668223815,0.1732
