geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48303010506,48303010506,Census Tract 105.06; Lubbock County; Texas,2733,1492,634,Lubbock city,Texas,104739,0.45914242838207353,0.19240195047676703,48303,2733,1492,634,0.01192,0.006897320142,0.003436016044,0.8636315028954444,0.8007385197363673,0.896379024152722,-0.1579012537724264,-0.2488471271860843,-0.11559950986718252,-5.144005988595692,-8.106782447306854,-3.765926848766757,-188.21829449673223,-296.62577560581246,-137.79461576168157,0.8510622424854605,0.7831406964092201,0.8866267983350815,-0.1750021914725984,-0.27690976166237036,-0.12787026275069968,-5.701109392391769,-9.020988993189237,-4.165675582924133,-208.6026122353373,-330.07643590154544,-188.21829449673223,-0.5571034037960763,-0.9142065458823828,-0.399748734157376,-20.38431773860506,-33.450660295733,-14.626737437152434,0.9128716873528252,0.884994143041449,0.941327896510084,-0.09544420519802985,-0.1299509808769036,-0.06232908182944452,-0.48929814798795,-0.6661983735980542,-0.31953227795925027,-32.79478203672587,-44.65136552265779,-21.416372517376026,0.9045877692551312,0.8742475746655249,0.935653447755778,-0.1054759239376348,-0.14384074829442473,-0.06877177912245318,-0.5407261146229116,-0.7374047654295486,-0.35256099716724665,-36.24169669054368,-49.4239118920609,-23.630093643917338,-0.05142796663496163,-0.07120639183149435,-0.03302871920799638,-3.4469146538178035,-4.772546369403107,-2.2137211265413126,0.884994143041449,0.8576893403721532,0.941327896510084,-0.1299509808769036,-0.16592331620455716,-0.06232908182944452,-0.5682627703327018,-0.7255662303811705,-0.2725589023929325,-89.63135178749239,-114.4426230885127,-42.990363153459384,0.8742475746655249,-0.14384074829442473,-0.6290013477462433,0.8446232144400598,-0.18395988045740216,-0.8044383396984088,0.935653447755778,-0.06877177912245318,-0.30073217963512683,-99.2115690451488,-126.8830188798752,-47.43409773424713,-0.06073857741354149,-0.07887210931723831,-0.02817327724219431,-9.580217257656386,-12.44039579136251,-4.443734580787747,0.7534
48303001708,48303001708,Census Tract 17.08; Lubbock County; Texas,2013,783,173,Lubbock city,Texas,18120,0.3564739290462441,0.20696411456537345,48303,2013,783,173,0.01192,0.006897320142,0.003436016044,0.9005966658530563,0.8532571777110989,0.9248535057330654,-0.11037497463172108,-0.1719795931662074,-0.0812523213688544,-2.6484431012891623,-4.126643458839419,-1.9496462011528064,-131.5669697610115,-204.9996750541192,-96.85276707167444,0.8912168074970115,0.8398233499559637,0.9176567042524602,-0.12206142387339716,-0.19072659750700569,-0.08973213552078628,-2.9288589833852097,-4.5764770781167,-2.153119002535846,-145.4972172570894,-227.34610422835075,-131.5669697610115,-0.2804158820960474,-0.44983361927728094,-0.2034728013830396,-13.930247496077865,-22.34642917423154,-10.10793846910281,0.9369738189460848,0.9164496555798222,0.957740037257532,-0.06726567997898535,-0.09116741319229037,-0.04412466963736673,-0.1809716232491784,-0.24527685972983185,-0.11871303601038014,-23.11259556183632,-31.32526944186869,-15.161307281019177,0.9308939366181224,0.908488582337373,0.9536135366477068,-0.07423623751695643,-0.10072929857542635,-0.04864283231062163,-0.19972521516993985,-0.2710021615427225,-0.13086870340775478,-25.5076903154457,-34.61074860060313,-16.713755224489756,-0.01875359192076145,-0.02572530181289065,-0.01215566739737464,-2.395094753609381,-3.285479158734438,-1.5524479434705802,0.9164496555798222,0.8961672030431959,0.957740037257532,-0.09116741319229037,-0.11586319673852127,-0.04412466963736673,-0.1087842745078032,-0.13825218198053227,-0.05265116126826062,-62.88108353052208,-79.91455605811115,-30.434197264890535,0.908488582337373,-0.10072929857542635,-0.12019386405201088,0.886396332814656,-0.1281635121668518,-0.15292936589125478,0.9536135366477068,-0.04864283231062163,-0.05804239736137636,-69.476221995382,-88.3984773937889,-33.5505187059979,-0.01140958954420767,-0.0146771839107225,-0.00539123609311573,-6.595138464859929,-8.48392133567775,-3.116321441107363,0.6607
48303002104,48303002104,Census Tract 21.04; Lubbock County; Texas,2168,1061,442,Lubbock city,Texas,63097,0.49682296474703513,0.20339630155761695,48303,2168,1061,442,0.01192,0.006897320142,0.003436016044,0.8504488169380313,0.7822852684970404,0.88614992228617,-0.17584971615389508,-0.27830606080725817,-0.12847721909189955,-4.5444068406900024,-7.1921410747752175,-3.3201802430155603,-209.6128616554429,-331.74082448225175,-153.1448451575443,0.836783290823019,0.76331125688492,0.875503575600984,-0.19505254343265985,-0.3100815571370045,-0.14219978977647943,-5.040657056811117,-8.013301245206467,-3.674806599286056,-232.50263177173048,-369.61721610730933,-209.6128616554429,-0.49625021612111464,-0.8211601704312494,-0.3546263562704959,-22.889770116287576,-37.87639162505763,-16.357304256019184,0.9041823040498634,0.8737224289601729,0.9353752576657526,-0.10597165584967304,-0.14452824702017944,-0.0690896426911267,-0.3863316486009551,-0.5268940594824562,-0.251874101127356,-36.412030970872294,-49.660137557253165,-23.73931207609387,0.8951207060873503,0.862007080041343,0.9291470784199992,-0.11716776653629894,-0.16008327907473652,-0.07625587296737253,-0.42714833552353,-0.5836016869088165,-0.2779994035459901,-40.25903256583695,-55.00487152769242,-26.20164029651179,-0.04081668692257489,-0.05670762742636037,-0.02612530241863414,-3.847001594964646,-5.344733970439243,-2.462328220417921,0.8737224289601729,0.8439857715166162,0.9353752576657526,-0.14452824702017944,-0.18485409795834712,-0.0690896426911267,-0.4406110544530239,-0.563549068785272,-0.21062775578859433,-99.68575892602352,-127.49978931793484,-47.65333841370912,0.862007080041343,-0.16008327907473652,-0.48803236632053754,0.8297908422701566,-0.20512296479939704,-0.625341050460356,0.9291470784199992,-0.07625587296737253,-0.2324748365051341,-110.41456251595872,-141.4798756697638,-52.59611685636518,-0.04742131186751364,-0.06179198167508404,-0.02184708071653976,-10.728803589935213,-13.980086351828968,-4.9427784426560555,0.47
48303010413,48303010413,Census Tract 104.13; Lubbock County; Texas,1489,1077,277,Lubbock city,Texas,25373,0.4454645767340482,0.18008667444921528,48303,1489,1077,277,0.01192,0.006897320142,0.003436016044,0.8684671389415627,0.8075441087346318,0.9001212772702841,-0.1514540449034628,-0.2383224509766208,-0.11096140625917542,-2.688139668506173,-4.229956583689925,-1.9694406843253536,-180.53322152492768,-284.080361564132,-132.2659962609371,0.8563054917330922,0.7904654247760423,0.8906993400889512,-0.16780752856796685,-0.26507747038186247,-0.12271330514305002,-2.9783956876494155,-4.704828212511231,-2.1780237273873775,-200.02657405301647,-315.97234469518,-180.53322152492768,-0.2902560191432424,-0.4748716288213055,-0.20858304306202413,-19.493352528088813,-31.891983131048057,-14.00826346957852,0.916046507230352,0.8891215950507285,0.9434980341293412,-0.09164763154163384,-0.12470555834710702,-0.05988562119559568,-0.33915024276427164,-0.461484052299399,-0.22161208778591213,-31.490273237165425,-42.849029925663785,-20.576795523297317,0.9080489811277622,0.8787336842439039,0.938026482392762,-0.10126217944547232,-0.13800121462333417,-0.06606798290934489,-0.3747297356633788,-0.5106858153776329,-0.24449046926511128,-34.793847322504995,-47.417438753726366,-22.701064927122683,-0.03557949289910717,-0.04920176307823398,-0.02287838147919915,-3.30357408533957,-4.568408828062579,-2.124269403825363,0.8891215950507285,0.8627185231806787,0.9434980341293412,-0.12470555834710702,-0.1591266132935117,-0.05988562119559568,-0.2382571621556995,-0.3040205730143305,-0.11441493345693228,-86.01341594068575,-109.75471949975832,-41.305030128856416,0.8787336842439039,-0.13800121462333417,-0.2636592803560306,0.8500726333460424,-0.17637006624224078,-0.3369651844637594,0.938026482392762,-0.06606798290934489,-0.12622669210555634,-95.18385572419876,-121.64808103384814,-45.569202926193626,-0.02540211820033108,-0.03294461144942889,-0.01181175864862406,-9.170439783513029,-11.893361534089854,-4.264172797337206,0.5542
48303010411,48303010411,Census Tract 104.11; Lubbock County; Texas,826,541,159,Lubbock city,Texas,36284,0.5091066669320363,0.15659973682478034,48303,826,541,159,0.01192,0.006897320142,0.003436016044,0.8461949562730818,0.7763619774285495,0.882840570964029,-0.18176076634198535,-0.2880589584154802,-0.13270734591188674,-1.7896019645418806,-2.8362054598421444,-1.306625911260764,-216.65883347964655,-343.36627843125234,-158.187156326969,0.8321803862429908,0.7569560828309337,0.8719076964542186,-0.2016625440004146,-0.32108060517871573,-0.1469103943762551,-1.9855532752245624,-3.1613339521412205,-1.4464679901970576,-240.38175244849415,-382.7280813730291,-216.65883347964655,-0.19595131068268157,-0.32512849229907603,-0.13984207893629377,-23.722918968847647,-39.36180294177676,-16.93003376952709,0.9013675155987048,0.870079013829151,0.9334428689529386,-0.10942538164999392,-0.14932090546475396,-0.07130284376345374,-0.20340916553087943,-0.2775703435428925,-0.13254376389834233,-37.59873669702023,-51.30690268815019,-24.499771515405236,0.8920559467430218,0.8580538870381537,0.927035822528436,-0.12100592306019804,-0.16542797032458947,-0.07870696654694367,-0.2249360565421437,-0.3075115196474501,-0.14630717430795953,-41.577829305387,-56.84131601616453,-27.043839982986977,-0.0215268910112642,-0.0299411761045576,-0.0137634104096172,-3.979092608366766,-5.5344133280143435,-2.5440684675817384,0.870079013829151,0.8395659564594399,0.9334428689529386,-0.14932090546475396,-0.19109164956751176,-0.07130284376345374,-0.1637563401325123,-0.20956522508127068,-0.07819596793497621,-102.99140888837252,-131.80202835300042,-49.17985404715485,0.8580538870381537,-0.16542797032458947,-0.1814205378114251,0.8250120694570988,-0.21210347947764255,-0.232608350589119,0.927035822528436,-0.07870696654694367,-0.0863158761631128,-114.10096717699692,-146.29456011894277,-54.28671456799547,-0.01766419767891278,-0.02304312550784831,-0.00811990822813658,-11.10955828862439,-14.492531765942338,-5.1068605208406215,0.2053
48303002002,48303002002,Census Tract 20.02; Lubbock County; Texas,1981,681,251,Lubbock city,Texas,16356,0.4490246796626556,0.2050677485936035,48303,1981,681,251,0.01192,0.006897320142,0.003436016044,0.8672059079853504,0.8057671857587719,0.8991457335610346,-0.15312867542974917,-0.24105326907588528,-0.11216676304466876,-3.615907039833891,-5.6921161903887985,-2.648652102490547,-182.52938111226104,-287.3354967384553,-133.70278154924517,0.8549376649735639,0.7885523581385163,0.8896375321255844,-0.1696759202098338,-0.2681466102778948,-0.12405329574026612,-4.006645735393315,-6.331885344729275,-2.929334980028689,-202.2536968901219,-319.63075945125064,-182.52938111226104,-0.3907386955594241,-0.6397691543404767,-0.28068287753814225,-19.724315777860884,-32.29526271279539,-14.168746973152055,0.9152190963632756,0.8880454427731936,0.9429327045149948,-0.09263454398363256,-0.12606850036547004,-0.06052106922556923,-0.21675806374169823,-0.2949910785210657,-0.14161487946904064,-31.82937793563851,-43.31733898987749,-20.79513648590905,0.9071468159943156,0.8775638179257278,0.9374082446600688,-0.10235739393949024,-0.13951826587799743,-0.06677107407203217,-0.23950882215051755,-0.32646254699173055,-0.15623943409668478,-35.17016477981168,-47.93869999878569,-22.942648178661493,-0.02275075840881929,-0.03147146847066484,-0.01462455462764414,-3.340786844173171,-4.621361008908201,-2.147511692752444,0.8880454427731936,0.8614066839228294,0.9429327045149948,-0.12606850036547004,-0.16089185127519484,-0.06052106922556923,-0.2182532365174652,-0.2785403742275015,-0.10477573063600865,-86.95348068424909,-110.97226064840696,-41.7433189784895,0.8775638179257278,-0.13951826587799743,-0.24153783849972296,0.848650870420078,-0.17834086413533623,-0.3087485826199273,0.9374082446600688,-0.06677107407203217,-0.11559590999910035,-96.23021454172228,-123.007403434234,-46.05414741000014,-0.02328460198225776,-0.03020820839242582,-0.0108201793630917,-9.276733857473213,-12.035142785827023,-4.310828431510641,0.9371
48303001709,48303001709,Census Tract 17.09; Lubbock County; Texas,3161,1575,384,Lubbock city,Texas,0,NA,NA,48303,3161,1575,384,0.01192,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.853
48303010502,48303010502,Census Tract 105.02; Lubbock County; Texas,2141,1485,917,Lubbock city,Texas,82061,0.5311158018861531,0.20153159844326643,48303,2141,1485,917,0.01192,0.006897320142,0.003436016044,0.8386263116752386,0.7658609578311252,0.8769419708422684,-0.1924262166332482,-0.30572003935537245,-0.14032630806749863,-4.9108555953564705,-7.802195522777441,-3.5812284168243735,-229.3720502268319,-364.418286911604,-167.26895921645837,0.8239964346821217,0.7457013401970377,0.8655017328283011,-0.2135974840543774,-0.34101944853118893,-0.15539918878288456,-5.451161583256231,-8.703061860518885,-3.9658991851551377,-254.60820099281787,-406.49518264917725,-229.3720502268319,-0.5403059878997603,-0.9008663377414434,-0.3846707683307642,-25.236150765986,-42.07689573757326,-17.966873812740037,0.8963460591623246,0.8635889369143268,0.9299905200523708,-0.11564053835919652,-0.15795832629940926,-0.07527977806019648,-0.5900539765314101,-0.8059798050205137,-0.38411384992733755,-39.73427451389967,-54.27473434481574,-25.86625252035943,0.886590931421312,0.8510161014739981,0.9232650031492554,-0.12791589058651848,-0.1750658985981054,-0.0831126454365774,-0.6526887627216718,-0.8932709159654454,-0.4240809290213546,-43.95210523378261,-60.152923634036725,-28.557638317936338,-0.06263478619026164,-0.0872911109449317,-0.03996707909401703,-4.217830719882938,-5.878189289220989,-2.6913857975769044,0.8635889369143268,0.8317046289198233,0.9299905200523708,-0.15795832629940926,-0.2023499271595378,-0.07527977806019648,-0.9990615464982572,-1.2798314333783467,-0.4761327449513926,-108.94891455815235,-139.56722283297128,-51.92287294998829,0.8510161014739981,-0.1750658985981054,-1.1072642480460644,0.816518502597674,-0.22471198976948775,-1.4212679589315491,0.9232650031492554,-0.0831126454365774,-0.5256743979803671,-120.74855485780418,-154.99105331859857,-57.32545234246097,-0.10820270154780708,-0.1414365255532024,-0.04954165302897451,-11.79964029965181,-15.423830485627308,-5.402579392472684,0.1731
48303002206,48303002206,Census Tract 22.06; Lubbock County; Texas,2752,1646,464,Lubbock city,Texas,63052,0.4359588478395576,0.17928676393252374,48303,2752,1646,464,0.01192,0.006897320142,0.003436016044,0.871843710290384,0.8123078431987826,0.9027312377078892,-0.14699456817430173,-0.23106037738365975,-0.1077494144758792,-4.821986295258887,-7.579667650033193,-3.534594552560425,-175.21752526376767,-275.42396984132245,-128.437302055248,0.8599684188288363,0.7955962202981341,0.8935406566075105,-0.16283339958212445,-0.2569189929349709,-0.11914325621923212,-5.341560786548078,-8.427929537199915,-3.908356314094695,-194.0974123018924,-306.24743957848534,-175.21752526376767,-0.5195744912891911,-0.8482618871667222,-0.3737617615342703,-18.879887038124675,-30.82346973716287,-13.581459358076684,0.9182594202313222,0.8920013924332881,0.9450091657961182,-0.08901687036119509,-0.12107448315983316,-0.05819079453854302,-0.5034511477547708,-0.6847588245160963,-0.3291086530038531,-30.586339474773443,-41.60138666561946,-19.99445036475414,0.9104622248958768,0.8818649576682513,0.9396792197836622,-0.09834320706096608,-0.13396046787493496,-0.06419294898340432,-0.5561979461627048,-0.7576378615845181,-0.36305493231029906,-33.79088372798936,-46.02903168800231,-22.05680026186507,-0.05274679840793395,-0.0728790370684218,-0.03394627930644595,-3.204544253215914,-4.427645022382856,-2.0623498971109324,0.8920013924332881,0.8662310245181175,0.9450091657961182,-0.12107448315983316,-0.1544264424797044,-0.05819079453854302,-0.38748151472057846,-0.49421967604811873,-0.18623129021184984,-83.5089471380557,-106.51286121726696,-40.13605392496764,0.8818649576682513,-0.13396046787493496,-0.4287212602537672,0.8538805233000786,-0.17112403048520028,-0.5476579111220483,0.9396792197836622,-0.06419294898340432,-0.20544032447889243,-92.39682333055327,-118.02972222457936,-44.275931999761305,-0.04123974553318876,-0.05343823507392958,-0.01920903426704259,-8.887876192497579,-11.51686100731241,-4.139878074793663,0.5736
48303002401,48303002401,Census Tract 24.01; Lubbock County; Texas,1614,1208,495,Lubbock city,Texas,31217,0.40147102242436217,0.19435508483821357,48303,1614,1208,495,0.01192,0.006897320142,0.003436016044,0.884204874904921,0.8298283455105063,0.9122641577181524,-0.13095960945423488,-0.2050685005039264,-0.09617372505492422,-2.5195162111368905,-3.945288272974979,-1.8502747554846808,-156.10385446944798,-244.44165260068027,-114.63908026546969,0.8733899605439441,0.8144925045983237,0.9039255730744616,-0.14496392811431402,-0.22775838249507463,-0.10628577151409374,-2.788943617319914,-4.381816189816842,-2.044819203867068,-172.79700231226232,-271.487991934129,-156.10385446944798,-0.2694274061830235,-0.4365279168418623,-0.1945444483823875,-16.693147842814344,-27.046339333448717,-12.05355937933008,0.926333087285942,0.9025281451088464,0.9505120652141512,-0.07952529573341083,-0.10799868726464838,-0.0520644993335241,-0.3300862319889639,-0.4482709483841025,-0.21610450167964185,-27.325019204384432,-37.108522217227026,-17.889445503281607,0.9192717082774632,0.8933195316593822,0.9457000179797468,-0.08781766152012428,-0.11942027970938232,-0.05741776566342003,-0.3645054158670878,-0.4956786364489696,-0.23832434374841335,-30.174289392970845,-41.03299970604053,-19.728836403014352,-0.03441918387812387,-0.04740768806486711,-0.02221984206877153,-2.849270188586413,-3.9244774888135026,-1.839390899732743,0.9025281451088464,0.8790952583852707,0.9505120652141512,-0.10799868726464838,-0.1375331517960956,-0.0520644993335241,-0.36872625288510896,-0.469562038147597,-0.17775723236844934,-74.49015209800181,-94.86101780759536,-35.91055199362613,0.8933195316593822,-0.11942027970938232,-0.40772155079838435,0.8678397358906137,-0.15228648636808256,-0.5199324816415872,0.9457000179797468,-0.05741776566342003,-0.1960342122513767,-82.36799006027967,-105.03686497809844,-39.60287116189429,-0.03899529791327538,-0.05037044349399022,-0.01827697988292739,-7.877837962277855,-10.175847170503076,-3.6923191682681606,0.9362
48303001908,48303001908,Census Tract 19.08; Lubbock County; Texas,1880,1448,404,Lubbock city,Texas,67746,0.546791310104973,0.2054740476139927,48303,1880,1448,404,0.01192,0.006897320142,0.003436016044,0.8332770291237893,0.7584685633210068,0.872764872509767,-0.20008108354015697,-0.3184462064207793,-0.14578396942620894,-4.483737049701501,-7.136252107407096,-3.266960441253572,-238.4966515798671,-379.58787805356894,-173.77449155604108,0.818216721680093,0.7377875860471252,0.8609679482951326,-0.22217008465268304,-0.3554036675484619,-0.1614834233726996,-4.978742729032766,-7.964454028294012,-3.618778924412849,-264.8267409059982,-423.6411717177666,-238.4966515798671,-0.49500567933126494,-0.828201920886916,-0.3518184831592772,-26.330089326131112,-44.05329366419766,-18.713749104216873,0.8927867067962094,0.8589960659818752,0.9275394510467352,-0.12008836196556796,-0.1641496854318539,-0.07812125820793113,-0.597481779619665,-0.8167023395985116,-0.38868069824772133,-41.26255384113709,-56.4020952761403,-26.8425896579918,0.8827190245686384,0.8460388229215013,0.9205886784910118,-0.13286331456226827,-0.1819788559428599,-0.08626145787405917,-0.6610416557567202,-0.9054087250608486,-0.4291810506829731,-45.65204804949725,-62.528226868843134,-29.63957532340974,-0.06355987613705527,-0.088706385462337,-0.04050035243525174,-4.389494208360171,-6.126131592702832,-2.796985665417938,0.8589960659818752,0.826150500283564,0.9275394510467352,-0.1641496854318539,-0.21043320757751133,-0.07812125820793113,-0.4574059443793642,-0.5863757812726944,-0.21768624041340223,-113.21929316320896,-145.14252011700356,-53.88273277559462,0.8460388229215013,-0.1819788559428599,-0.5070872371191727,0.8105225222022542,-0.2337720083125148,-0.6514097541541586,0.9205886784910118,-0.08626145787405917,-0.24036904791270525,-125.51664285128037,-161.24003815696994,-59.49728908730328,-0.04968129273980842,-0.06503397288146417,-0.02268280749930301,-12.297349688071392,-16.097518039966378,-5.614556311708667,0.0042
