geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
12011110319,12011110319,Census Tract 1103.19; Broward County; Florida,4349,2851,1262,Pembroke Pines city,Florida,17849,0.6157881777239544,0.24280985383788356,12011,4349,2851,1262,0.010462,0.008241179256,0.003436880739,0.8101344789940331,0.7267694206519705,0.854614327093991,-0.23436296803677367,-0.3759522230626046,-0.1701184596335692,-10.66333646109156,-17.10553967375454,-7.740260283061159,-245.1905371600726,-393.321215768097,-177.97793246864012,0.7932550170901503,0.7039410803391818,0.8412928271634634,-0.26062864836107796,-0.4205734370810798,-0.1886467680601058,-11.858404901398998,-19.13577091023008,-8.583284197897553,-272.6696919153598,-440.00392987422583,-245.1905371600726,-1.1950684403074394,-2.03023123647554,-0.8430239148363947,-27.47915475528718,-46.68271410612877,-19.3843162758426,0.8772872299553665,0.8390688465299925,0.916827461399646,-0.13987752910854154,-0.19179731691332083,-0.09071776544888951,-1.370596541379978,-1.8793350217344145,-0.8889022872965193,-48.07423856120582,-65.91845042912712,-31.1786140756408,0.8658765707053498,0.8244747435935802,0.908900567087551,-0.1548990165947003,-0.2128934303570904,-0.10023036205639618,-1.5177852923260695,-2.086046280553931,-0.9821119121224944,-53.23694466243667,-73.16893302539218,-34.44798008146244,-0.14718875094609163,-0.20671125881951655,-0.09320962482597496,-5.162706101230853,-7.25048259626505,-3.26936600582164,0.8390688465299925,0.8021412024720839,0.916827461399646,-0.19179731691332083,-0.2466633018203575,-0.09071776544888951,-1.9947627197121771,-2.5653891655571375,-0.943498164861294,-158.06360695025174,-203.27964861783977,-74.76213667680618,0.8244747435935802,-0.2128934303570904,-2.2141700675608877,0.7846498701006442,-0.27445378901513556,-2.8544204654258154,0.908900567087551,-0.10023036205639618,-1.0424326723178836,-175.4492921997534,-226.18228727621357,-82.60163806005417,-0.21940734784871063,-0.2890312998686779,-0.0989345074565896,-17.385685249501634,-22.90263865837385,-7.839501383247987,0.3573
12011110332,12011110332,Census Tract 1103.32; Broward County; Florida,3976,3149,1509,Pembroke Pines city,Florida,94350,0.6213862019347912,0.2595388830463263,12011,3976,3149,1509,0.010462,0.008241179256,0.003436880739,0.8082852530721579,0.7242563915019495,0.8531583540557586,-0.23718699085399145,-0.38072651029867816,-0.172115346753839,-9.866246386098286,-15.83704714496121,-7.159466932768927,-248.14502983144584,-398.3160750744771,-180.06707577386638,0.7912634783165465,0.7012640412903057,0.8397163560410014,-0.26380153691353364,-0.42599640238223063,-0.19087831600028088,-10.973329316457011,-17.72013486221024,-7.939948513371876,-275.9891679189389,-445.6774361722898,-248.14502983144584,-1.1070829303587253,-1.8830877172490317,-0.7804815806029488,-27.844138087493093,-47.36136109781266,-19.629818425627484,0.8760415530314848,0.8374724826840804,0.9159637948986036,-0.14149836447776373,-0.19406908367308096,-0.09174620827747812,-1.5313996479384544,-2.1003587391951712,-0.9929451239551076,-48.6313003473628,-66.69922957113913,-31.532077610514698,0.8645242445812564,0.8227494500801993,0.9079587923002542,-0.15670555946567238,-0.2154368500672019,-0.10137156937107838,-1.695983126599612,-2.331616464709944,-1.0971178799047805,-53.857831902178845,-74.0430760466797,-34.840199425366166,-0.16458347866115752,-0.23125772551477253,-0.1041727559496728,-5.226531554816053,-7.34384647554057,-3.3081218148514697,0.8374724826840804,0.8002240994637091,0.9159637948986036,-0.19406908367308096,-0.24964994264753573,-0.09174620827747812,-2.4134313828556624,-3.104631582270168,-1.1409502952457695,-159.93581065975232,-205.7409928608461,-75.60969484730083,0.8227494500801993,-0.2154368500672019,-2.679159632925476,0.782587287840404,-0.2778127316117788,-3.454862321904835,0.9079587923002542,-0.10137156937107838,-1.260650703445486,-177.54536997518065,-228.95045208116863,-83.54212746490961,-0.2657282500698135,-0.3502307396346671,-0.1197004081997166,-17.609559315428328,-23.20945922032254,-7.932432617608788,0.2786
12011110356,12011110356,Census Tract 1103.56; Broward County; Florida,3017,2240,1299,Pembroke Pines city,Florida,66346,0.6407383790826622,0.25214518495897315,12011,3017,2240,1299,0.010462,0.008241179256,0.003436880739,0.8019250001764004,0.7156356894588343,0.8481441878228255,-0.24699940740097737,-0.3973590399833229,-0.1790448067173416,-7.796253233290969,-12.542182723613765,-5.65134413868439,-258.4107800229025,-415.7170276305524,-187.3166767876828,0.784417236621727,0.6920877945826948,0.8342892724363721,-0.27483175192162995,-0.4449033891761749,-0.19862502496250903,-8.674749292218548,-14.042865620061963,-6.269371288662992,-287.5289788604093,-465.45792575611415,-258.4107800229025,-0.8784960589275794,-1.5006828964482004,-0.6180271499786016,-29.118198837506775,-49.74089812556183,-20.484824328094188,0.8717489010707639,0.8319772689023083,0.9129843923870192,-0.14711931242093462,-0.20195591559776271,-0.095308976077319807,-1.1326146298755313,-1.5547804080369352,-0.733746908460053,-50.56315311944336,-69.40983964450604,-32.756558413395226,0.859865549771651,0.8168129354455919,0.9047106205263816,-0.1629725138605258,-0.22427052340261364,-0.10532581060911712,-1.2546622902769795,-1.726571934545677,-0.8108626395565617,-56.011709387365165,-77.07910422078915,-36.199224980203645,-0.12204766040144845,-0.17179152650874174,-0.07711573109650871,-5.448556267921805,-7.669264576283114,-3.4426665668084246,0.8319772689023083,0.7936319688123632,0.9129843923870192,-0.20195591559776271,-0.2600298870223913,-0.095308976077319807,-2.161997018023749,-2.7836958312187727,-1.0203104051701517,-166.4354902250769,-214.2952910868955,-78.54583565590083,0.8168129354455919,-0.22427052340261364,-2.400881407172049,0.7754986907789851,-0.28949282815101113,-3.0991052148644327,0.9047106205263816,-0.10532581060911712,-1.1275435422816995,-184.8253585197882,-238.57622901188861,-86.80088855132408,-0.2388843891482999,-0.31540938364565996,-0.10723313711154804,-18.38986829471131,-24.28093792499307,-8.255052895423251,0.3192
12011070405,12011070405,Census Tract 704.05; Broward County; Florida,3280,2546,1284,Pembroke Pines city,Florida,73311,0.705270552070924,0.2327102301063862,12011,3280,2546,1284,0.010462,0.008241179256,0.003436880739,0.781075461946764,0.6876236592053997,0.8316358507985706,-0.28028602704735495,-0.45428387550767874,-0.20244936415350456,-9.618115921099724,-15.58891473024118,-6.947122812698605,-293.2352414969428,-475.2717905561335,-211.80252477739648,0.7620128478370997,0.6623474859912484,0.8164442283759648,-0.3123138315035029,-0.509781528804977,-0.224823405254706,-10.717161561022044,-17.493336682293158,-7.714896087741129,-326.7427305189648,-533.333435435767,-293.2352414969428,-1.09904563992232,-1.9044219520519776,-0.7677732750425239,-33.50748902202194,-58.06164487963347,-23.407721800076946,0.8575859734232189,0.8139120818789126,0.903119077855188,-0.16606384781260852,-0.22863393020472705,-0.107273696814039,-1.4531082154180572,-2.0006151048523564,-0.9386768534632896,-57.07416399913814,-78.57875510024967,-36.86869023814963,0.8445112436437653,0.7973247489810059,0.8939629464383665,-0.18411685756290952,-0.25419410507201284,-0.11861459581081656,-1.6110774370561514,-2.2242742611130675,-1.0379131033726614,-63.27876814831703,-87.3634823689343,-40.76642197064656,-0.15796922163809413,-0.2236591562607111,-0.09923624990937184,-6.2046041491788735,-8.784727268684646,-3.8977317324969305,0.8139120818789126,0.7720396745072738,0.903119077855188,-0.22863393020472705,-0.2952702212334017,-0.107273696814039,-2.419329752422098,-3.1244532716319213,-1.1351353061294065,-188.42132028209485,-243.3374822143241,-88.40617648982915,0.7973247489810059,-0.25419410507201284,-2.689799194460573,0.7523216862206775,-0.3292186285677153,-3.4836842564542754,0.8939629464383665,-0.11861459581081656,-1.2551410040481252,-209.48591857169572,-271.3149732441024,-97.7524146454926,-0.270469442038475,-0.35923098482235405,-0.12000569791871896,-21.064598289600855,-27.977491029778353,-9.34623815566347,0.3462
12011110334,12011110334,Census Tract 1103.34; Broward County; Florida,1446,1154,893,Pembroke Pines city,Florida,61108,0.6339464924553233,0.26606109969657415,12011,1446,1154,893,0.010462,0.008241179256,0.003436880739,0.8041514894072179,0.7186494819538582,0.8499006063896439,-0.24354678586388273,-0.39149895061665985,-0.1766081733344967,-3.6843884409816834,-5.922616482874263,-2.6717376298292796,-254.79864737079413,-409.5862021351496,-184.7674709425505,0.7868132370668859,0.6952945552989908,0.836189968223925,-0.27094963949493317,-0.43823936542977776,-0.19590049869171353,-4.098940235660604,-6.629707908668681,-2.9635929310341744,-283.4675128395991,-458.4860241126336,-254.79864737079413,-0.41455179467892034,-0.7070914257944185,-0.2918553012048948,-28.668865468805,-48.899821977483995,-20.183630788720247,0.8732530595531274,0.8339017634056017,0.9140289452621844,-0.14514342556295565,-0.19918201865416812,-0.09405725626463084,-0.5756621028411121,-0.789987829361667,-0.3730461625716377,-49.884064370980255,-68.45648434676491,-32.326357241909676,0.8614977102963274,0.8188915343694304,0.9058492811018272,-0.1607691907341603,-0.22116294775232745,-0.10393640626799734,-0.6376363934579161,-0.8771677193082449,-0.4122284558319962,-55.25445350588528,-76.01106753104375,-35.721703278335895,-0.06197429061680404,-0.08717988994657788,-0.03918229326035849,-5.370389134905029,-7.554583184278846,-3.395346036426212,0.8339017634056017,0.7959393507710284,0.9140289452621844,-0.19918201865416812,-0.25637713354830055,-0.09405725626463084,-1.4658547852287354,-1.8867749738369195,-0.6922024393194861,-164.14947203009356,-211.28499147109963,-77.51427092043518,0.8188915343694304,-0.22116294775232745,-1.6276206430105775,0.7779791789840305,-0.28538144337732585,-2.100228510669241,0.9058492811018272,-0.10393640626799734,-0.7649067898641543,-182.26434972122928,-235.18796312085567,-85.65585552790081,-0.16176585778184216,-0.21345353683232135,-0.07270435054466817,-18.114877691135742,-23.902971649756033,-8.141584607465642,0.6788
12011070503,12011070503,Census Tract 705.03; Broward County; Florida,4311,2757,835,Pembroke Pines city,Florida,22488,0.6913457530835919,0.24623107476377065,12011,4311,2757,835,0.010462,0.008241179256,0.003436880739,0.785528035283504,0.6935738388901566,0.8351706281778375,-0.2730290391724735,-0.4418075537569016,-0.19736011571884984,-12.314068901522443,-19.926263794741683,-8.901273178634767,-285.6429807822418,-462.21906274047046,-206.47815306506072,0.7667925036458293,0.6686548111974947,0.8202622663307065,-0.30413377184225315,-0.4955399755654174,-0.219122274724787,-13.716944663089857,-22.34968639623923,-9.882783153753982,-318.18475210136523,-518.4339224365398,-285.6429807822418,-1.4028757615674117,-2.4234226014975455,-0.9815099751192148,-32.54177131912344,-56.214859696069254,-22.767570752011476,0.8606224622467584,0.8177767164357834,0.905238763407889,-0.16194968626472955,-0.22282767398712777,-0.10468093106769975,-1.5345510451803124,-2.111399212302857,-0.9919020893797912,-55.66017574103418,-76.58321408425307,-35.977587572716395,0.847801039406406,0.8014901979203465,0.8962712320994827,-0.17952202641808168,-0.24767589497006148,-0.11573367992358348,-1.7010574063257815,-2.3468480381678365,-1.096632192290807,-61.69957948225541,-85.12325129371914,-39.77628553829551,-0.16650636114546913,-0.2354488258649794,-0.10473010291101605,-6.039403741221223,-8.540037209466064,-3.7986979655791098,0.8177767164357834,0.7766486141213601,0.905238763407889,-0.22282767398712777,-0.2875835761727616,-0.10468093106769975,-1.533362941778749,-1.978973214938251,-0.7203497552076008,-183.6362804525448,-237.00278023212587,-86.26943176138931,0.8014901979203465,-0.24767589497006148,-1.704353108945152,0.7572635076396381,-0.3205442886280925,-2.2057885566293787,0.8962712320994827,-0.11573367992358348,-0.7964079718426612,-204.11414478385052,-264.1662942071112,-95.378200220678,-0.1709901671664027,-0.2268153416911276,-0.0760582166350604,-20.47786433130571,-27.16351397498534,-9.10876845928867,0.6203
12011110360,12011110360,Census Tract 1103.60; Broward County; Florida,3646,2745,1221,Pembroke Pines city,Florida,116692,0.6396930943915623,0.25727856737172144,12011,3646,2745,1221,0.010462,0.008241179256,0.003436880739,0.8022672594499571,0.7160986938174793,0.848414267569647,-0.24646741870734012,-0.39645555652260706,-0.17866947577930636,-9.401364622446035,-15.122579945909871,-6.815249242728914,-257.8542134516192,-414.77180323395146,-186.92400556031032,0.7847855101911689,0.6925803567026866,0.834581511714242,-0.27423351605511437,-0.4438757760340056,-0.19820531124154203,-10.46048718995554,-16.931398232891876,-7.560432980798061,-286.9031044968607,-464.3828368867766,-257.8542134516192,-1.0591225675095028,-1.8088182869820049,-0.7451837380691471,-29.04889104524144,-49.61103365282515,-20.438391060590977,0.8719802252163558,0.8322731629589839,0.9131450733712764,-0.14681499772759177,-0.2015285900180852,-0.09511624073933904,-1.385087575997863,-1.901268607178253,-0.8973492174697685,-50.45856378862888,-69.26297293909847,-32.69031757631215,0.8601165410060141,0.8171324920481694,0.90488576939056,-0.16263314600411552,-0.22379174703170496,-0.10511186475338127,-1.534319745682306,-2.1113045208065726,-0.9916503096639336,-55.89507270245195,-76.91455449204273,-36.12569434112691,-0.14923216968444297,-0.21003591362831964,-0.09430109219416516,-5.436508913823059,-7.651581552944249,-3.4353767648147597,0.8322731629589839,0.7939866434353811,0.9131450733712764,-0.2015285900180852,-0.2594670304191149,-0.09511624073933904,-2.027877380604074,-2.6108817709299417,-0.9571052578995763,-166.08332355479726,-213.83143087059312,-78.38699900897431,0.8171324920481694,-0.22379174703170496,-2.2518999499313592,0.7758799272310946,-0.28885922280362286,-2.9066401151805423,0.90488576939056,-0.10511186475338127,-1.0576860233447178,-184.43079033016863,-238.05406348734988,-86.62457193650432,-0.2240225693272846,-0.29575834425060066,-0.1005807654451415,-18.347466775371384,-24.222632616756812,-8.237572927530017,0.2485
12011110367,12011110367,Census Tract 1103.67; Broward County; Florida,4179,2859,999,Pembroke Pines city,Florida,0,NA,NA,12011,4179,2859,999,0.010462,0.008241179256,0.003436880739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.628
12011110349,12011110349,Census Tract 1103.49; Broward County; Florida,2802,1658,491,Pembroke Pines city,Florida,63740,0.602630501850045,0.2665692732743275,12011,2802,1658,491,0.010462,0.008241179256,0.003436880739,0.814497601315433,0.7327104671238127,0.8580462577894509,-0.2277506997994545,-0.364795570514241,-0.16543833263285676,-6.6764033552879045,-10.693808506933411,-4.849745972485863,-238.2727821301893,-381.649125871999,-173.08158360049475,0.7979557170308841,0.710273538639605,0.8450098505950886,-0.2532023753409564,-0.4079082854688793,-0.1834181569549294,-7.422507108789476,-11.957637224176317,-5.376815964091046,-264.9003250817086,-426.7536482575416,-238.2727821301893,-0.7461037535015711,-1.2638287172429037,-0.5270699916051829,-26.627542951519313,-45.104522385542595,-18.81049220575242,0.8802220654868277,0.8428329545036413,0.9188606432784534,-0.1360769505896518,-0.1864747274730342,-0.08830431177468329,-0.7754138553346852,-1.062597939811169,-0.5031887218164213,-46.7680250503429,-64.08913991623454,-30.34913883090599,0.8690634322733143,0.8285441567911848,0.9111179760434472,-0.15066399397818306,-0.20693627708731363,-0.09755270589932293,-0.8585359087230239,-1.1791949755602702,-0.5558892924330209,-51.78141789644293,-71.12153049217552,-33.52770159427146,-0.08312205338833867,-0.11659703574910152,-0.05270057061659961,-5.01339284610004,-7.032390575940984,-3.1785627633654765,0.8428329545036413,0.8066652921104266,0.9188606432784534,-0.1864747274730342,-0.23967153388211884,-0.08830431177468329,-0.7545548830071402,-0.9698114519819624,-0.35731624624472236,-153.6771655819023,-197.51760732830192,-72.77316624128765,0.8285441567911848,-0.20693627708731363,-0.8373508864365061,0.789519222617239,-0.26659360703723195,-1.0787494407118488,0.9111179760434472,-0.09755270589932293,-0.394739124086067,-170.53989540458372,-219.70457040974517,-80.3949336224169,-0.08279600342936588,-0.10893798872988636,-0.03742287784134457,-16.86272982268144,-22.186963081443253,-7.62176738112924,0.3316
12011110352,12011110352,Census Tract 1103.52; Broward County; Florida,2163,1377,388,Pembroke Pines city,Florida,50332,0.6033621886011613,0.2898408811056419,12011,2163,1377,388,0.010462,0.008241179256,0.003436880739,0.8142543560683817,0.7323788191668942,0.8578550497721392,-0.2281174703547048,-0.3654135999420819,-0.1656980981409585,-5.1621400406025435,-8.269056169650954,-3.7496329664497816,-238.65649748509216,-382.2957082594061,-173.3533502750708,0.7976935853311894,0.7099199051222163,0.8448027196369003,-0.25361419270385166,-0.40860960903447974,-0.18370831053882505,-5.739113172638428,-9.246551877381608,-4.157191573926098,-265.3311684067696,-427.48737297187273,-238.65649748509216,-0.5769731320358842,-0.977495707730654,-0.4075586074763162,-26.674670921677492,-45.19166471246666,-18.842284210648,0.8800586043679115,0.8426231930785996,0.9187474615247856,-0.13628796427510023,-0.18677008681236287,-0.08843838146814029,-0.6449943450988408,-0.8839052697597793,-0.418542137891968,-46.8405479374612,-64.19065139867679,-30.39521698561859,0.8688859061191142,0.8283173338090293,0.9109945259582308,-0.15089909153493805,-0.20726677951007677,-0.09770143673272735,-0.7141427435523695,-0.9809076056121868,-0.46238033223124814,-51.862218122902654,-71.23512023327427,-33.57881860793378,-0.06914839845352871,-0.09700233585240736,-0.04383819433928015,-5.021670185441446,-7.044468834597485,-3.1836016223151895,0.8426231930785996,0.806413042794366,0.9187474615247856,-0.18677008681236287,-0.240059308235914,-0.08843838146814029,-0.5972118368507933,-0.7676082550024875,-0.2827885832583076,-153.9205765079364,-197.83717912435247,-72.88365547894526,0.8283173338090293,-0.20726677951007677,-0.6627516012974718,0.789247650468434,-0.26702942911072375,-0.8538473080683818,0.9109945259582308,-0.09770143673272735,-0.3124079208290619,-170.81226837563705,-220.0637391928819,-80.51750536831491,-0.06553976444667853,-0.0862390530658943,-0.0296193375707543,-16.89169186770065,-22.22656006852946,-7.633849889369665,0.5581
12011110303,12011110303,Census Tract 1103.03; Broward County; Florida,2672,2082,834,Pembroke Pines city,Florida,120031,0.6779904056524283,0.25844237940925613,12011,2672,2082,834,0.010462,0.008241179256,0.003436880739,0.7898223661941817,0.6993290546465859,0.838574965938102,-0.2661074727708396,-0.4299420185042386,-0.19249922859468396,-7.438891767703417,-12.018798678364073,-5.381212755777864,-278.40163801285246,-449.8053397591344,-201.3926929557584,0.7714048600765046,0.674760620945375,0.8239409398429445,-0.2963361416997352,-0.4820070539963454,-0.21367922340479287,-8.283918005044148,-13.474248838686895,-5.97328815821724,-310.02687144626304,-504.27577989097665,-278.40163801285246,-0.8450262373407309,-1.455450160322826,-0.5920754024393764,-31.625233433410585,-54.470440131842295,-22.15851057033594,0.8635448749404225,0.8215005463543257,0.90727643877631,-0.15801741058215618,-0.2172846438603399,-0.1021998998990328,-1.130707123291165,-1.5547988901320078,-0.7313001421156662,-54.30869948564673,-74.67814073640768,-35.124886749071386,0.8509683390639086,0.8055057450765863,0.8984907202913973,-0.17513185167386,-0.24145607416483592,-0.1129775493682131,-1.2531709732064586,-1.727759631133518,-0.8084205365218351,-60.19072878032943,-82.98557306116801,-38.82903633630332,-0.12246384991529367,-0.17296074100151015,-0.07712039440616891,-5.882029294682694,-8.307432324760335,-3.704149587231936,0.8215005463543257,0.7810949198306221,0.90727643877631,-0.2172846438603399,-0.2802541337957323,-0.1021998998990328,-1.493428537490737,-1.9262268779072615,-0.7024345776409968,-179.06816996291812,-230.96245538456375,-84.22476950131856,0.8055057450765863,-0.24145607416483592,-1.659562246561798,0.7620337291659219,-0.31227787134113105,-2.1463306214472415,0.8984907202913973,-0.1129775493682131,-0.7765109090300262,-198.98827896424436,-257.35379154043665,-93.10682362470338,-0.16613370907106106,-0.22010374353997977,-0.07407633138902936,-19.920109001326267,-26.39133615587287,-8.882054123384815,0.0634
