geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
22071001900,22071001900,Census Tract 19; Orleans Parish; Louisiana,1019,776,231,New Orleans city,Louisiana,28969,0.5536177062320407,0.22083915734923704,22071,1019,776,231,0.012384,0.00721975350599999,0.003708017999,0.8309581925656052,0.7552716545722484,0.8709520473707637,-0.20342997872428908,-0.32402691660175514,-0.14816883778941353,-2.5671431167955063,-4.088991572564862,-1.869786422040595,-251.92768565215957,-401.2749335196136,-183.49228871840972,0.8157124509207021,0.7343675945080638,0.8590009988770735,-0.22592219705766517,-0.3617158593032382,-0.16414300019120703,-2.8509790776410058,-4.564599496441915,-2.071369105740898,-279.78204883621254,-447.9489201611301,-251.92768565215957,-0.28383596084549945,-0.4756079238770532,-0.20158268370030297,-27.85436318405294,-46.67398664151651,-19.782402718381057,0.8912410952506521,0.8570035974652157,0.926474075640044,-0.12203084589446654,-0.16685624536201352,-0.07936101645279314,-0.3511342366556647,-0.48011582577317535,-0.22835513208249228,-45.249257300987715,-61.87059610479064,-29.427207742589214,0.8810381697801278,0.8438804182891775,0.919425614418227,-0.13502460426834892,-0.18500201963132187,-0.08763556759592454,-0.38852276243747463,-0.5323288752679712,-0.25216450731065704,-50.067366293489,-68.59908186442928,-32.49542619982694,-0.03738852578180995,-0.05221304949479588,-0.02380937522816476,-4.8181089925012826,-6.7284857596386445,-3.0682184572377267,0.8570035974652157,0.8237433869250592,0.926474075640044,-0.16685624536201352,-0.21397029205040025,-0.07936101645279314,-0.2782766823260408,-0.35685174899467653,-0.13235537163497346,-120.4660962450393,-154.48127662107208,-57.29669767747769,0.8438804182891775,-0.18500201963132187,-0.3085395343454232,0.8079251641871366,-0.2377383999495947,-0.39649132135233767,0.919425614418227,-0.08763556759592454,-0.1461553623686255,-133.5668979850317,-171.64126465469164,-63.270719640097624,-0.03026285201938239,-0.03963957235766113,-0.01379999073365204,-13.100801739992376,-17.159988033619538,-5.974021962619931,0.7889
22071006000,22071006000,Census Tract 60; Orleans Parish; Louisiana,1189,554,136,New Orleans city,Louisiana,41023,0.40302260180021854,0.22404775389073872,22071,1189,554,136,0.012384,0.00721975350599999,0.003708017999,0.8836450095515075,0.8290320544235726,0.9118331246497904,-0.13167616994470244,-0.206225977227505,-0.09669189785584086,-1.938875771739687,-3.036590074860667,-1.4237471985625658,-163.0677688595195,-255.39025019854225,-119.74324630467332,0.872781660544695,0.8136328133162681,0.9034557816608844,-0.14576193016694375,-0.22905564234082687,-0.10686103326676576,-2.146282618649856,-3.3727472138763233,-1.5734834057750209,-180.51157431874316,-283.66250747488004,-163.0677688595195,-0.20740684691016908,-0.33615713901565636,-0.14973620721245506,-17.44380545922364,-28.27225727633779,-12.593457292889408,0.9259683392086092,0.9020518971619608,0.9502638072230724,-0.07995053141305339,-0.10858366702204586,-0.0523393529237636,-0.16423773726810614,-0.2230571262102035,-0.10751769553432013,-29.64580095092169,-40.26301917151687,-19.407526269732873,0.918873551729161,0.8928010177433919,0.945428320247676,-0.08828902313944405,-0.12007040776853044,-0.05772164698644512,-0.18136701695101304,-0.2466536711667511,-0.11857422990054509,-32.7377286915186,-44.52232331529803,-21.40329059576626,-0.01712927968290689,-0.02359654495654761,-0.01105653436622497,-3.0919277405969128,-4.259304143781158,-1.9957643260333888,0.9020518971619608,0.8785124238522586,0.9502638072230724,-0.10858366702204586,-0.13828782934568068,-0.0523393529237636,-0.10661683425203829,-0.13578294954276263,-0.05139130284114345,-78.39473106767521,-99.84040407556076,-37.787722677311365,0.8928010177433919,-0.12007040776853044,-0.11789550965370284,0.8672068474625768,-0.15312742620283992,-0.15035374901820853,0.945428320247676,-0.05772164698644512,-0.05667610459553748,-86.68787474536973,-110.55422721927096,-41.67360632024815,-0.01127867540166455,-0.01457079947544587,-0.00528480175439402,-8.293143677694523,-10.7138231437102,-3.885883642936783,0.9326
22071005000,22071005000,Census Tract 50; Orleans Parish; Louisiana,962,496,138,New Orleans city,Louisiana,41518,0.543706786023865,0.22521072633324024,22071,962,496,138,0.012384,0.00721975350599999,0.003708017999,0.8343269226258124,0.759917529673856,0.8735852392660866,-0.1985709353028877,-0.31593227021514225,-0.14470798618359965,-2.3656565692049045,-3.7638300354392378,-1.7239652802635856,-245.91024627909607,-391.2505234344322,-179.20637008976982,0.8193508030662836,0.7393381375705343,0.861858196012804,-0.22047845227912993,-0.35256109374527966,-0.16028368080303518,-2.626649757209805,-4.200204154713765,-1.9095248851483255,-273.04051530247455,-436.6116584941544,-245.91024627909607,-0.26099318800490057,-0.43637411927452696,-0.1855596048847401,-27.130269023378435,-45.36113505972214,-19.288940216708948,0.8934859741559016,0.8598978866562348,0.9280212453390748,-0.1192117491768406,-0.16292877970494937,-0.07756153754284568,-0.21925149857343915,-0.29965485245972484,-0.14264939031053708,-44.20393116399983,-60.41428477010581,-28.7599577238986,0.8834795744746313,0.8470159133961628,0.9211146943674224,-0.1318880808247984,-0.18061536292799749,-0.08564113254837645,-0.24256551526575196,-0.33218360824993426,-0.1575091950282858,-48.90433775519193,-66.97250166329319,-31.75588609441246,-0.02331401669231278,-0.03252875579020942,-0.01485980471774872,-4.700406591192094,-6.558216893187383,-2.995928370513856,0.8598978866562348,0.8272404664424619,0.9280212453390748,-0.16292877970494937,-0.20883834938647108,-0.07756153754284568,-0.16233017673342917,-0.2080710739134914,-0.07727657519958808,-117.630562850311,-150.77614051702275,-55.99751826057107,0.8470159133961628,-0.18061536292799749,-0.17995177916368835,0.8116988822140921,-0.23198395601121688,-0.23113164320518712,0.9211146943674224,-0.08564113254837645,-0.08532648564240532,-130.39983997368722,-167.48669797477328,-61.830786697395155,-0.0176216024302592,-0.02306056929169572,-0.00804991044281723,-12.769277123376234,-16.710557457750525,-5.833268436824083,0.7365
22071002200,22071002200,Census Tract 22; Orleans Parish; Louisiana,953,606,133,New Orleans city,Louisiana,27556,0.5534537488918836,0.23936551955640717,22071,953,606,133,0.012384,0.00721975350599999,0.003708017999,0.8310138110041552,0.7553482802140888,0.8709955438948018,-0.2033494350613144,-0.3238926018558874,-0.1481114995472115,-2.3999202718207497,-3.822564940258294,-1.748004808304212,-251.8279403799318,-401.108598138331,-183.42128103926672,0.8157725089182858,0.7344495502397705,0.8590481886346587,-0.22583194342501176,-0.3615639081997355,-0.16407905077986976,-2.6652577563687045,-4.2671598895056855,-1.9364530815095855,-279.6702787375346,-447.7607439145525,-251.8279403799318,-0.2653374845479548,-0.4445949492473913,-0.1884482732053736,-27.842338357602813,-46.65214577622154,-19.77421544652399,0.8912781865850797,0.8570513986427116,0.9264996496279704,-0.1219841515828929,-0.16679116513160364,-0.07933122306257029,-0.2741055743752394,-0.3747895732835934,-0.1782619314172089,-45.23194296621112,-61.84646423821674,-29.416160299869453,0.8810785032482884,0.8439321945586157,0.9194535318245484,-0.13497264581224205,-0.1849293183121296,-0.08760254367136579,-0.30329148602693395,-0.41554707195157115,-0.1968480760671144,-50.04810000444454,-68.57212408441768,-32.48318086916079,-0.02918591165169454,-0.04075749866797767,-0.01858614464990549,-4.816157038233423,-6.725659846200937,-3.067020569291335,0.8570513986427116,0.823801119027126,0.9264996496279704,-0.16679116513160364,-0.21388521683602144,-0.07933122306257029,-0.16015741619741977,-0.20537840636974697,-0.07617599948688755,-120.419109922872,-154.4198544133436,-57.27518758412598,0.8439321945586157,-0.1849293183121296,-0.17757416453474292,0.8079874502345278,-0.2376429853084207,-0.22819126225545133,0.9194535318245484,-0.08760254367136579,-0.08411834665017953,-133.51440942461875,-171.5723776356777,-63.24687718058612,-0.01741674833732315,-0.02281285588570436,-0.00794234716329198,-13.09529950174673,-17.152523222334107,-5.971689596460135,0.5989
22071000902,22071000902,Census Tract 9.02; Orleans Parish; Louisiana,631,473,82,New Orleans city,Louisiana,41443,0.814716381528742,0.17340010943026934,22071,631,473,82,0.012384,0.00721975350599999,0.003708017999,0.7469466748778955,0.6425994767889718,0.8043691723682388,-0.33878365569198304,-0.5561792938222353,-0.2432102501588683,-2.647358475808486,-4.346154080432269,-1.9005188306574456,-419.54967920895183,-688.7724374694563,-301.19157379674255,0.7254684968219767,0.6148007722854759,0.7870475287035262,-0.3784196066137257,-0.6265431747630614,-0.27057129783160916,-2.9570858456400635,-4.895998836723691,-2.114326374930735,-468.6348408304379,-775.9110676265753,-419.54967920895183,-0.30972736983157745,-0.5498447562914217,-0.21380754427328963,-49.08516162148612,-87.13863015711914,-33.88392143792229,0.8340898727699112,0.7841659826944661,0.8866307133126118,-0.1989115713383756,-0.2752402196329767,-0.1278652825637183,-0.34886951582426873,-0.48274176063580504,-0.22426196182851996,-73.75676867320692,-102.05956884477908,-47.412676919348826,0.8190947323970916,0.7653301074216202,0.876026105972436,-0.2208600061112427,-0.3066257165407713,-0.1415184926366393,-0.38736471125603605,-0.5377885486957108,-0.24820822476102752,-81.8952877919738,-113.6973675889452,-52.47531178880075,-0.03849519543176732,-0.05504678805990576,-0.02394626293250756,-8.138519118766878,-11.637798744166124,-5.062634869451917,0.7841659826944661,0.7367539362346789,0.8866307133126118,-0.2752402196329767,-0.3573052695323084,-0.1278652825637183,-0.16294765633636624,-0.21153178973828896,-0.07569877741097703,-198.7166540687393,-257.9655972418158,-92.31558220850856,0.7653301074216202,-0.3066257165407713,-0.18152849154604964,0.7145863421572545,-0.3994110172622588,-0.23645922556156596,0.876026105972436,-0.1415184926366393,-0.08378174793693134,-221.37620920249955,-288.3649092214219,-102.17286333772115,-0.0185808352096834,-0.024927435823277,-0.00808297052595431,-22.659555133760243,-30.3993119796061,-9.85728112921258,0.8355
22071009400,22071009400,Census Tract 94; Orleans Parish; Louisiana,728,614,289,New Orleans city,Louisiana,36693,0.5425005393726693,0.2194376450826114,22071,728,614,289,0.012384,0.00721975350599999,0.003708017999,0.8347378580014264,0.7604849210248774,0.8739062649592646,-0.19798088754983864,-0.3149504643068228,-0.14428748264736724,-1.784906986711723,-2.8394522883823052,-1.300831302756437,-245.1795311417202,-390.0346549975694,-178.6856185104996,0.8197947290174272,0.7399453885894155,0.8622065902679401,-0.21981755261900685,-0.35145108736515807,-0.15981484169500385,-1.9817765761493928,-3.168525553597126,-1.4408190156730756,-272.2220571633781,-435.2370265930119,-245.1795311417202,-0.19686958943766952,-0.32907326521482094,-0.13998771291663847,-27.0425260216579,-45.20237159544243,-19.229081444593195,0.8937595814686117,0.8602508138188544,0.9282097258559916,-0.11886912401746312,-0.16245167564650864,-0.07734272992863069,-0.27063207474861944,-0.3698574746806879,-0.17608797608563537,-44.07688513821164,-60.23737372649641,-28.67882346671586,0.8837771764493525,0.8473983252704329,0.9213204820379924,-0.13150693030745855,-0.18008257767191932,-0.08539864194483758,-0.29940485964800306,-0.4099981557386685,-0.19442905667287105,-48.76300645732949,-66.77494393137923,-31.66597014216141,-0.02877278489938362,-0.04014068105798057,-0.01834108058723568,-4.686121319117854,-6.5375702048828295,-2.9871466754455516,0.8602508138188544,0.8276671041186694,0.9282097258559916,-0.16245167564650864,-0.20821522931594225,-0.07734272992863069,-0.33895684483848765,-0.4344429006064903,-0.16137628376852847,-117.28610548044556,-150.32626318563678,-55.83954455658425,0.8473983252704329,-0.18008257767191932,-0.3757438764182271,0.812159378640843,-0.231285417984719,-0.4825790514333547,0.9213204820379924,-0.08539864194483758,-0.17818501478618623,-130.01518215163568,-166.98237073818504,-61.65571445888797,-0.03678703157973945,-0.0481361508268644,-0.01680873101765775,-12.72907667119012,-16.656107552548235,-5.816169902303722,0.9314
22071006900,22071006900,Census Tract 69; Orleans Parish; Louisiana,951,559,197,New Orleans city,Louisiana,40317,0.4379230291301817,0.23394574907460464,22071,951,559,197,0.012384,0.00721975350599999,0.003708017999,0.8711449305132785,0.8113212085114169,0.9021913185559276,-0.14791461784757234,-0.23255745013095888,-0.1084123504985922,-1.7420176706805437,-2.738871880763127,-1.276792199694412,-183.1774627424336,-287.9991462421795,-134.25785485745658,0.8592102612719994,0.7945333145773122,0.8929528096493756,-0.16385947081168636,-0.2586004660257638,-0.11988000843253656,-1.9298031378918596,-3.045585270871169,-1.4118489172315347,-202.9235686531924,-320.2508171263059,-183.1774627424336,-0.18778546721131617,-0.3067133901080421,-0.13505671753712267,-19.746105910758796,-32.251670884126405,-14.201547585396709,0.9178017253465452,0.8914055725520853,0.9446967204125624,-0.0895599478443106,-0.1218238148736382,-0.05854077651850642,-0.18563825331527856,-0.2525142181263865,-0.12134227143038664,-33.208989859620495,-45.17248982582943,-21.70702530060584,0.9099630480208002,0.8812170252327377,0.9393374739573832,-0.0989457233181426,-0.1347942349796188,-0.06458011920577213,-0.20509292035015045,-0.2793990722514168,-0.13386051261544588,-36.68925229877467,-49.98194494658619,-23.946424439256862,-0.01945466703487189,-0.02688485412503027,-0.01251824118505924,-3.4802624391541843,-4.809455120756758,-2.2393991386510277,0.8914055725520853,0.8655040614432715,0.9446967204125624,-0.1218238148736382,-0.15539608021301454,-0.05854077651850642,-0.17326896916600412,-0.2210185148025041,-0.08326204537314949,-87.95379145482443,-112.1921394936569,-42.26499765134492,0.8812170252327377,-0.1347942349796188,-0.19171668666479005,0.8530922983420945,-0.1722061047127103,-0.24492726876607612,0.9393374739573832,-0.06458011920577213,-0.09185175078459291,-97.31811505826909,-124.32856282541934,-46.625254205377125,-0.01844771749878593,-0.02390875396357203,-0.00858970541144343,-9.364323603444635,-12.136423331762453,-4.360256554032202,0.8868
22071001736,22071001736,Census Tract 17.36; Orleans Parish; Louisiana,980,729,341,New Orleans city,Louisiana,67339,0.6368434784805883,0.23333687150627971,22071,980,729,341,0.012384,0.00721975350599999,0.003708017999,0.803201055949244,0.7173624409609048,0.849150985738752,-0.2450182835207729,-0.39399547969155313,-0.1776468693962723,-2.973620294658827,-4.78165522009019,-2.155979253991368,-303.4306423121252,-487.92400205001945,-219.99788306034367,0.7857903621854194,0.6939249423147065,0.8353787235040011,-0.27260405334932636,-0.4410780460842456,-0.19706184975060648,-3.308410024744497,-5.353064312253152,-2.3916056683652807,-337.5928596678058,-546.2310522707298,-303.4306423121252,-0.3347897300856699,-0.5714090921629618,-0.23562641437391285,-34.1622173556806,-58.30705022071038,-24.043511670807433,0.8726111642413449,0.8330803528413151,0.9135832594884662,-0.14598579639925646,-0.20036440253258464,-0.0945909851280772,-0.3946207933115116,-0.541614057182335,-0.2556931599651796,-54.13179606467923,-74.29548109497051,-35.07450753980516,0.8608011560646152,0.8180042903877173,0.9053634258944973,-0.16170847698645055,-0.2224874756170539,-0.1045288238941198,-0.4371214806340876,-0.6014159342581398,-0.28255658034158543,-59.96179432566359,-82.49875641401094,-38.759476041369744,-0.04250068732257595,-0.05980187707580475,-0.02686342037640582,-5.829998260984355,-8.203275319040433,-3.684968501564584,0.8330803528413151,0.7949543493472985,0.9135832594884662,-0.20036440253258464,-0.25793386855616973,-0.0945909851280772,-0.4932843248028181,-0.6350166625721714,-0.23287694641142032,-144.6581597662223,-186.22189518245497,-68.29235965144292,0.8180042903877173,-0.2224874756170539,-0.5477499136554141,0.7769201919139537,-0.2871334924845834,-0.7069042663179581,0.9053634258944973,-0.1045288238941198,-0.25734326889058107,-160.63047321273143,-207.30330390555957,-75.46723427876277,-0.05446558885259606,-0.07188760374578673,-0.02446632247916072,-15.972313446509109,-21.081408723104616,-7.17487462731986,0.8944
22071010300,22071010300,Census Tract 103; Orleans Parish; Louisiana,1766,1204,495,New Orleans city,Louisiana,34997,0.580749309997213,0.2084282471308944,22071,1766,1204,495,0.012384,0.00721975350599999,0.003708017999,0.8218055599474701,0.7426981491004677,0.8637840964155191,-0.21683284798404157,-0.346442025217335,-0.1576967023932736,-4.742165609341099,-7.57673697915475,-3.4488495896660387,-268.5257989434371,-429.0338040291478,-195.29159624383004,0.8058347335837889,0.7209307928166359,0.8512276538943777,-0.2409492397438615,-0.38709569623605133,-0.1747738638717702,-5.269594569888775,-8.465838618462701,-3.8223295703120126,-298.3915384987981,-479.37931021872595,-268.5257989434371,-0.5274289605476756,-0.8891016393079516,-0.3734799806459739,-29.865739555361024,-50.34550618957823,-21.14835677497021,0.8851244478288691,0.8491300868270348,0.9222518098994872,-0.12978463362175827,-0.17767585381025003,-0.08430256169297887,-0.5794174839855727,-0.7932256177549841,-0.37636488100772575,-48.12437574631002,-65.88252639160997,-31.259541611937355,0.8743891704402251,0.8353561075811532,0.914817508347508,-0.1436555183963842,-0.197094258274579,-0.0931141903988724,-0.6413434064348397,-0.8799181848467591,-0.4157039891294435,-53.267724786946815,-73.08290571816936,-34.526909396133185,-0.06192592244926698,-0.08669256709177497,-0.03933910812171781,-5.143349040636792,-7.200379326559383,-3.2673677841958315,0.8491300868270348,0.8142454150715586,0.9222518098994872,-0.17767585381025003,-0.22813095596260335,-0.08430256169297887,-0.6349740548966575,-0.8152893882233779,-0.30127863909709435,-128.2775868478096,-164.70492691381372,-60.86437153476654,0.8353561075811532,-0.197094258274579,-0.7043711212842287,0.7976839502717911,-0.2536293348503185,-0.9064149333574671,0.914817508347508,-0.0931141903988724,-0.3327694437823522,-142.29719621903612,-183.11412795100347,-67.22615025906104,-0.06939706638757126,-0.09112554513408933,-0.03149080468525783,-14.019609371226515,-18.409201037189764,-6.361778724294512,0.9029
22071004500,22071004500,Census Tract 45; Orleans Parish; Louisiana,1612,1103,395,New Orleans city,Louisiana,33871,0.5819512139776509,0.23013777071102792,22071,1612,1103,395,0.012384,0.00721975350599999,0.003708017999,0.8214024472001882,0.7421460224862825,0.863467931202741,-0.21743002277211976,-0.34744372360829245,-0.1581206016615821,-4.34055728404001,-6.936021833942132,-3.156562835934977,-269.26534020099314,-430.2743073165094,-195.8165530977033,0.8053999376527782,0.7203412756522829,0.850884933980598,-0.24161916738453643,-0.3882308758365689,-0.17524703995147034,-4.823445371450841,-7.750256080172432,-3.4984580605275224,-299.22117688901,-480.785116636007,-269.26534020099314,-0.48288808741083145,-0.8142342462303009,-0.3418952245925455,-29.95583668801684,-50.51080931949758,-21.20938117819761,0.8848544593583749,0.848782975972024,0.9220652133204936,-0.13012935565145858,-0.1781574658172222,-0.0845219899348026,-0.5322217582281306,-0.7286540321668553,-0.345690193168468,-48.25219929538808,-66.06110899064872,-31.340905998954486,0.8740957896235949,0.8349804869607906,0.914613908747586,-0.1440393740262978,-0.19763277779084007,-0.09335752543861532,-0.5891129523739885,-0.8083069646566051,-0.38182703728934,-53.41005914542054,-73.28258972408025,-34.617138466848594,-0.05689119414585797,-0.0796529324897498,-0.03613684412087203,-5.157859850032454,-7.221480733431532,-3.2762324678941104,0.848782975972024,0.813827206539855,0.9220652133204936,-0.1781574658172222,-0.22876206639944488,-0.0845219899348026,-0.5080699304393161,-0.6523842637162428,-0.24104003360052567,-128.6252988453965,-165.16057309271972,-61.022793316588775,0.8349804869607906,-0.19763277779084007,-0.5636096764405949,0.7972332892978788,-0.254337987919066,-0.7253217440951265,0.914613908747586,-0.09335752543861532,-0.2662372370307862,-142.68599403559364,-183.6257579987662,-67.40183215969272,-0.05553974600127875,-0.0729374803788837,-0.02519720343026055,-14.060695190197157,-18.465184906046503,-6.379038843103936,0.3009
22071005601,22071005601,Census Tract 56.01; Orleans Parish; Louisiana,1650,1144,508,New Orleans city,Louisiana,51802,0.6427015912004641,0.1951998617807881,22071,1650,1144,508,0.012384,0.00721975350599999,0.003708017999,0.8012825770242469,0.7147669020645926,0.8476371671437143,-0.2479991811549647,-0.39905750687604064,-0.17975006142038727,-5.067516068048087,-8.154181472502264,-3.672940855039626,-307.1221859423083,-494.1928165152888,-222.60247606300763,0.7837260268897407,0.6911636306339421,0.8337406768070703,-0.2759560939535903,-0.4468353884344146,-0.1994137119825359,-5.638776441410083,-9.130455593113457,-4.074740025166347,-341.7440267521262,-553.3609450371792,-307.1221859423083,-0.5712603733619961,-0.9762741206111922,-0.40179917012672073,-34.62184080981795,-59.168128521890445,-24.351464856164892,0.871314603115682,0.8314218167592768,0.9126826841714664,-0.14769108244503143,-0.20275891231458015,-0.09567105560658296,-0.6265015236456771,-0.8600977485902243,-0.4058339956213852,-54.764119199796944,-75.1833696320126,-35.47499961725396,0.8593943459646023,0.8162130946799705,0.9043817545233558,-0.16361016883067686,-0.225170248453427,-0.1057277471581,-0.6940298517650539,-0.955166022215673,-0.44849420553761354,-60.66694508435786,-83.49353341046093,-39.20403894559559,-0.06752832811937681,-0.09506827362544878,-0.04266020991622832,-5.90282588456091,-8.31016377844832,-3.729039328341636,0.8314218167592768,0.7929662612086772,0.9126826841714664,-0.20275891231458015,-0.2610877018597892,-0.09567105560658296,-0.7436456389724159,-0.9575743362448532,-0.3508864910822809,-146.38693680559368,-188.49888508756956,-69.07214391383482,0.8162130946799705,-0.225170248453427,-0.8258422348850084,0.7747831738748303,-0.290683682505416,-1.0661215842399776,0.9043817545233558,-0.1057277471581,-0.38777076279889633,-162.56736907185206,-209.86645359054677,-76.33282732261739,-0.08219659591259254,-0.10854724799512427,-0.0368842717166154,-16.18043226625837,-21.36756850297722,-7.26068340878256,0.1216
