geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06037901007,06037901007,Census Tract 9010.07; Los Angeles County; California,1419,1063,552,Lancaster city,California,132540,0.4243543322320428,0.1892585527026636,06037,1419,1063,552,0.009245,0.009493868073,0.003212018401,0.8759836017101011,0.8181614808207839,0.9059277166760972,-0.14157388111808622,-0.2222526034796881,-0.10384082702432322,-1.8572589033991875,-2.9156552279018277,-1.3622519846467729,-130.8850530936707,-205.4725319169717,-96.0008445839868,0.8644613364097202,0.8019050194036319,0.8970216017953785,-0.1567897346955953,-0.24703047842709505,-0.1148003548615902,-2.056870437013045,-3.2407076209700025,-1.5060262493067746,-144.95210972607788,-228.37967730584936,-130.8850530936707,-0.1996115336138573,-0.3250523930681748,-0.14377426466000176,-14.06705663240714,-22.907145388877716,-10.13208348555333,0.9209681740379576,0.8955296723226579,0.9468572241106362,-0.0858138513251003,-0.11665758366932326,-0.05612543743253341,-0.29300071669646516,-0.3983128025998734,-0.19163332187871224,-27.56356695169005,-37.47063053620634,-18.027593779747153,0.9134169885860244,0.8857027197651978,0.9417008159092882,-0.09479023545205412,-0.12904700153241344,-0.06190839288422958,-0.323649463279069,-0.4406149281574944,-0.21137850363907332,-30.446798050712044,-41.45013435159872,-19.885089712048288,-0.03064874658260386,-0.04230212555762097,-0.01974518176036108,-2.883231099022,-3.9795038153923774,-1.8574959323011364,0.8955296723226579,0.8705384488305755,0.9468572241106362,-0.11665758366932326,-0.14871434035261127,-0.05612543743253341,-0.6113575034074757,-0.7793546289847432,-0.29413181918518616,-110.7531709071514,-141.18743278709115,-53.2847498523888,0.8857027197651978,-0.12904700153241344,-0.6762856746862589,0.8585522939965646,-0.16475141583396824,-0.863398770135747,0.9417008159092882,-0.06190839288422958,-0.3244380632891888,-122.5155207764962,-156.41282067676576,-58.775011465432755,-0.06492817127878314,-0.08404414115100378,-0.03030624410400262,-11.762349869344773,-15.225387889674597,-5.490261613043954,0.3473
06037901009,06037901009,Census Tract 9010.09; Los Angeles County; California,3252,2280,997,Lancaster city,California,82286,0.35577720831194054,0.198288309992836,06037,3252,2280,997,0.009245,0.009493868073,0.003212018401,0.9008528457529494,0.853625095127136,0.9250497949147692,-0.11005921190622596,-0.17147446309678066,-0.08102288708916086,-3.3089015905655885,-5.155335149644306,-2.435932034384978,-101.74974140730592,-158.52814113297373,-74.90565911392922,0.8914956743826574,0.8402216958898993,0.9178709444463788,-0.1217104342009058,-0.19016207852247335,-0.08947778121809713,-3.659192559537341,-5.7171734486377455,-2.6901262280989737,-112.52129641873742,-175.8048415940266,-101.74974140730592,-0.3502909689717524,-0.5618382989934396,-0.25419419371399554,-10.7715550114315,-17.27670046105288,-7.8165496222015856,0.937139533993984,0.916666891575745,0.9578523839200408,-0.06707695463247786,-0.09090882324876584,-0.04400220408437953,-0.49123150064263926,-0.665761853841307,-0.32224582738417246,-21.54524125625611,-29.200081308829255,-14.13358892035844,0.9310750419421936,0.90872546893081,0.9537365862379712,-0.0740272856138762,-0.10044236041560728,-0.04850753806616097,-0.5421315681347048,-0.7355797785601546,-0.3552401990710348,-23.777700356785296,-32.26227098948046,-15.580710485571704,-0.05090006749206549,-0.06981792471884751,-0.03299437168686237,-2.2324591005291885,-3.0621896806512066,-1.4471215652132616,0.916666891575745,0.8964341296086701,0.9578523839200408,-0.09090882324876584,-0.11553093191190816,-0.04400220408437953,-0.8604871454716718,-1.0935449196446343,-0.4164978671368259,-86.30763745954582,-109.68354259224014,-41.77511204983209,0.90872546893081,-0.10044236041560728,-0.9507257591703134,0.8866867550443767,-0.12779399749796902,-1.2096195747087088,0.9537365862379712,-0.04850753806616097,-0.4591425944453193,-95.35865187264928,-121.32593527670096,-46.05241669461578,-0.0902386136986416,-0.11607465506407456,-0.04264472730849333,-9.051014413103472,-11.642392684460836,-4.277304644783685,0.6564
06037900807,06037900807,Census Tract 9008.07; Los Angeles County; California,2789,1802,765,Lancaster city,California,55835,0.3639125160288472,0.1787651479633454,06037,2789,1802,765,0.009245,0.009493868073,0.003212018401,0.8978660803346216,0.8493389527134849,0.9227604052060692,-0.11375184106221568,-0.17738624468497552,-0.08370492964171096,-2.9330121642596927,-4.573781035762038,-2.158273435885416,-105.16357706201838,-163.99358321125987,-77.38520745376178,0.8882448978767022,0.8355821359560248,0.9153724687005612,-0.1258156420492162,-0.19677043939655048,-0.09245147106027116,-3.2440688883678153,-5.073589024384673,-2.383796927516705,-116.31656107450036,-181.9142712221109,-105.16357706201838,-0.3110567241081226,-0.499807988622635,-0.22552349163128893,-11.152984012481983,-17.920688010851023,-8.086177541458907,0.9352063763351932,0.9141335270264604,0.9565413814242336,-0.06928270091433146,-0.09393209026349844,-0.04543307735527233,-0.4010122329944776,-0.5436843074720914,-0.26296924862350246,-22.25373102078122,-30.171160237074993,-14.593188047919115,0.9289625475649502,0.9059632921999162,0.9523007783723996,-0.07646966244361218,-0.1037974812111184,-0.05008839928612085,-0.442610777122628,-0.6007857541688705,-0.28991451805094715,-24.562196288714095,-33.33994196275641,-16.088486018365543,-0.04159854412815045,-0.05710144669677908,-0.02694526942744468,-2.308465267932877,-3.168781725681414,-1.4952979704464309,0.9141335270264604,0.8933222926964892,0.9565413814242336,-0.09393209026349844,-0.11941681985961038,-0.04543307735527233,-0.6822108376788282,-0.8673015630849256,-0.3299717665594398,-89.17788727827819,-113.37275334443471,-43.13356425613593,0.9059632921999162,-0.1037974812111184,-0.7538612885899615,0.8833015429260603,-0.13211621558744213,-0.9595348496347692,0.9523007783723996,-0.05008839928612085,-0.3637824809297867,-98.5439592928054,-125.42939210912016,-47.553265481017874,-0.07165045091113331,-0.09223328654984377,-0.03381071437034688,-9.36607201452723,-12.056638764685458,-4.419701224881946,0.5392
06037900501,06037900501,Census Tract 9005.01; Los Angeles County; California,5308,3859,1822,Lancaster city,California,91473,0.3614904106909675,0.20155460070049003,06037,5308,3859,1822,0.009245,0.009493868073,0.003212018401,0.898754285990449,0.8506128006595958,0.9234414266517248,-0.11265116126592456,-0.1756230322710451,-0.0829057167446628,-5.528069605175633,-8.61825422619957,-4.068387468723795,-104.14599859034726,-162.3634933345812,-76.64633513044076,0.8892115024601646,0.8369607761391485,0.9161156219664628,-0.12459184033643178,-0.1947991214271019,-0.09156527410096708,-6.114028101235935,-9.559272094266602,-4.4933332507087425,-115.1851563910312,-180.09178775935573,-104.14599859034726,-0.5859584960603028,-0.941017868067032,-0.42494578198494715,-11.039157800683926,-17.728294424774532,-8.0057607759033,0.9357815133873536,0.9148870466574768,0.9569315153036084,-0.06862551321428388,-0.09303110548289208,-0.04500686204563668,-0.8506255209070429,-1.1531372059083105,-0.5578681117096929,-22.04264112223485,-29.881762267642145,-14.456286906185357,0.9295909938014288,0.9067847894514725,0.9527280318271348,-0.07574191947648262,-0.10279750127360972,-0.04961748431208374,-0.9388346504310312,-1.2741934300114823,-0.6150176000473017,-24.32844390855225,-33.01874656676554,-15.937227262174185,-0.0882091295239884,-0.12105622410317209,-0.0571494883376088,-2.285802786317398,-3.136984299123402,-1.480940355988826,0.9148870466574768,0.8942476413149124,0.9569315153036084,-0.09303110548289208,-0.11825847091929484,-0.04500686204563668,-1.609236026778942,-2.045614645631781,-0.7785209417878756,-88.32250421399243,-112.27303214224924,-42.72892106409855,0.9067847894514725,-0.10279750127360972,-1.7781734577234256,0.884308060515621,-0.130827643272777,-2.2630340224415826,0.9527280318271348,-0.04961748431208374,-0.8582746910153337,-97.594591532570007,-124.20603855332506,-47.106185017307006,-0.16893743094448355,-0.2174193768098016,-0.07975374922745815,-9.272087318577585,-11.93300641107583,-4.377263953208461,0.7467
06037900804,06037900804,Census Tract 9008.04; Los Angeles County; California,2008,1232,418,Lancaster city,California,59227,0.289737124992979,0.1806590542337632,06037,2008,1232,418,0.009245,0.009493868073,0.003212018401,0.925469151934196,0.8892288859529767,0.9438458463048686,-0.08053304414311102,-0.1245698557445209,-0.05949504775061887,-1.495012210150947,-2.312509819247056,-1.1044636866405786,-74.45279931030613,-115.16483163580956,-55.00317164544714,0.91832866767826,0.8788503260722899,0.9384068640532752,-0.08893475200793123,-0.13785017804925406,-0.0656358540267752,-1.650981178885155,-2.55904519129923,-1.2184613687188937,-82.22017823133243,-127.44248960653536,-74.45279931030613,-0.15596896873420785,-0.24653537205217413,-0.11399768207831508,-7.767378921026287,-12.277657970725803,-5.677175402306528,0.952980960692705,0.9374935520515192,0.9685614365887698,-0.04933890733044414,-0.06667400304961865,-0.03245902864144107,-0.1952442531801243,-0.26384280958568485,-0.12844708464267035,-15.847747823062042,-21.415812466370525,-10.425899727489476,0.9484024047615194,0.9314619490676452,0.9654724618367316,-0.05440474948126592,-0.07358116024058592,-0.03576232314030229,-0.2152908375286855,-0.29117585809274005,-0.14151890366664396,-17.474905643562135,-23.63440406596916,-11.486923998915907,-0.02004658434856116,-0.0273330485070552,-0.01307181902397361,-1.6271578205000945,-2.2185915995986365,-1.0610242714264295,0.9374935520515192,0.9220996155145992,0.9685614365887698,-0.06667400304961865,-0.08448152799838951,-0.03245902864144107,-0.26459157094008545,-0.33525960923446524,-0.12881160552242024,-63.299418885187904,-80.20564814221657,-30.816173569956995,0.9314619490676452,-0.07358116024058592,-0.29200218809664136,0.914651445422659,-0.09331265478720324,-0.3703053782500795,0.9654724618367316,-0.03576232314030229,-0.14192052115301443,-69.85698279823956,-88.58980340910992,-33.952277787802494,-0.0274106171565559,-0.03504576901561423,-0.01310891563059418,-6.557563913051652,-8.384155266893359,-3.136104217845499,0.9744
06037900505,06037900505,Census Tract 9005.05; Los Angeles County; California,2941,2223,1091,Lancaster city,California,55612,0.372591636540417,0.17739037890171822,06037,2941,2223,1091,0.009245,0.009493868073,0.003212018401,0.8946905784089165,0.8447900233248944,0.9203242253550498,-0.11770485141171567,-0.1837261004388235,-0.08657359270773547,-3.200341354177157,-4.995429075555911,-2.353896594738645,-108.81813513013113,-169.85477985569233,-80.03728645830144,0.8847898876695122,0.830660681378263,0.9127144774384462,-0.13021183213784793,-0.20386100175195837,-0.09563288927608832,-3.5404004694444624,-5.542887880879951,-2.600214746452221,-120.3808388114404,-188.46949611968552,-108.81813513013113,-0.3400591152673056,-0.5474588053240392,-0.24631815171357596,-11.56270368130927,-18.614716263993177,-8.375319677442228,0.9331483911448666,0.911438535757268,0.9551447218753234,-0.07164091958955651,-0.09716668844723668,-0.04696176097440827,-0.5115388692653602,-0.6938009481637738,-0.3353218557940015,-23.01119519862169,-31.21011912567583,-15.084204039316306,0.926714125403142,0.9030257309406228,0.9507713755215266,-0.07908142607082518,-0.10738815709976016,-0.05177756266743943,-0.5646664434784723,-0.7667854735816385,-0.3697082060359166,-25.40109957168116,-34.493273665390845,-16.63104840467461,-0.05312757421311209,-0.07298452541786471,-0.03438635024191511,-2.3899043730594736,-3.2831545397150115,-1.5468443653583046,0.911438535757268,0.8900143505503239,0.9551447218753234,-0.09716668844723668,-0.12357738881588658,-0.04696176097440827,-1.0064341038383189,-1.2799911220102234,-0.48642100061497007,-92.2487721208358,-117.32274262238528,-44.5848763166792,0.9030257309406228,-0.10738815709976016,-1.1123061347535237,0.8797042906013591,-0.1367456208681302,-1.4163851685340114,0.9507713755215266,-0.05177756266743943,-0.5363021598748204,-101.9528996107721,-129.82448840825035,-49.15693491061599,-0.10587203091520504,-0.13639404652378806,-0.04988115925985037,-9.7041274899363,-12.501745785865085,-4.57205859393679,0.9184
06037900508,06037900508,Census Tract 9005.08; Los Angeles County; California,2230,1548,612,Lancaster city,California,108307,0.4803296247899647,0.2332444259692916,06037,2230,1548,612,0.009245,0.009493868073,0.003212018401,0.856194132208058,0.790309616407512,0.8906129107245246,-0.16795941759268768,-0.26532687852853376,-0.12282225864712382,-3.4627101388870067,-5.470071792151737,-2.532146672059631,-155.27848156443977,-245.29469919962943,-113.54917811926596,0.8430036826792964,0.7719283532940346,0.880355101480198,-0.18623443829062097,-0.29545701454379764,-0.13590527086017365,-3.8394743618528433,-6.091245221790023,-2.801870630898141,-172.17373819967906,-273.1500099457409,-155.27848156443977,-0.37676422296583656,-0.6211734296382856,-0.26972395883850986,-16.89525663523931,-27.855310746111464,-12.095244790964568,0.9079755531225354,0.8786384530178342,0.9379761712201052,-0.10135123854490548,-0.1381245568815351,-0.0661251646715237,-0.5039390828277435,-0.6867835411801991,-0.3287878403344502,-32.55420431703769,-44.365861833346194,-21.23952456940893,0.8992523284557964,0.8673436964699951,0.9319894281695256,-0.11203492985912904,-0.1529454863970341,-0.07297354430731112,-0.5570605806939891,-0.7604762333852972,-0.3628393842727693,-35.98582562622669,-49.126371665716874,-23.439236710127215,-0.05312149786624565,-0.07369269220509811,-0.0340515439383191,-3.4316213091889955,-4.760509832370679,-2.1997121407182885,0.8786384530178342,0.8499568786889419,0.9379761712201052,-0.1381245568815351,-0.17653027473876037,-0.0661251646715237,-0.8025378282530256,-1.025684545227264,-0.38420355689446994,-131.13363206748784,-167.59551392602353,-62.77835896968463,0.8673436964699951,-0.1529454863970341,-0.8886510933711257,0.8362508693885287,-0.19581340552890025,-1.1377243030779312,0.9319894281695256,-0.07297354430731112,-0.4239943359133731,-145.20442702142577,-185.90266390162276,-69.28012024728318,-0.08611326511810014,-0.11203975785066712,-0.03979077901890315,-14.07079495393793,-18.3071499755992,-6.501761277598554,0.7658
06037901014,06037901014,Census Tract 9010.14; Los Angeles County; California,3496,2017,700,Lancaster city,California,154071,0.42123657305722767,0.20946381958152535,06037,3496,2017,700,0.009245,0.009493868073,0.003212018401,0.8770992033956215,0.8197413408527552,0.9067884347868992,-0.14012188829790012,-0.21989699697190643,-0.10279306797181,-4.528812293170047,-7.107185288570442,-3.322325409244245,-129.54268573140865,-203.29477370052751,-95.03219133993836,0.8656724338541427,0.8036084996619749,0.8979591284109708,-0.15517135684661312,-0.2443870372459152,-0.11363643217214216,-5.015218942388096,-7.898716125047348,-3.672788578748365,-143.45591940469384,-225.93581593384863,-129.54268573140865,-0.48640664921804966,-0.7915308364769063,-0.3504631695041196,-13.913233673285172,-22.64104223332112,-10.024690203207085,0.9216972896489356,0.8964799835254755,0.947354353425039,-0.08495491006693658,-0.11547387379183208,-0.05557122990423523,-0.5503923732652359,-0.7481137864349526,-0.36002605485852635,-27.287673439030044,-37.09042074541163,-17.849581301860503,0.914212471271359,0.8867366460287488,0.9422446944290748,-0.093837626836724,-0.12773054376234622,-0.06129544258768203,-0.6079403073412551,-0.8275203524366683,-0.3971111744994617,-30.14081841057289,-41.02728569343918,-19.688208948907373,-0.05754793407601921,-0.0794065660017157,-0.03708511964093536,-2.8531449715428465,-3.93686494802755,-1.8386276470468697,0.8964799835254755,0.87169936079628485,0.947354353425039,-0.11547387379183208,-0.14718450531673485,-0.05557122990423523,-0.7674056065605342,-0.9781451931067934,-0.3693101477556131,-109.62937236579062,-139.73502758668477,-52.75859253651617,0.8867366460287488,-0.12773054376234622,-0.8488598519605876,0.8598117984681702,-0.1630452173156815,-1.0835508481900866,0.9422446944290748,-0.06129544258768203,-0.4073515917825192,-121.26569313722678,-154.7929783128695,-58.19308454035989,-0.0814542454000533,-0.10540565508329323,-0.03804144402690601,-11.636320771436186,-15.057950726184748,-5.434492003843716,0.2999
06037900509,06037900509,Census Tract 9005.09; Los Angeles County; California,2689,1645,484,Lancaster city,California,64796,0.4233349817432333,0.20794924409111468,06037,2689,1645,484,0.009245,0.009493868073,0.003212018401,0.8763481911573309,0.818677680318909,0.9062090382929214,-0.1410989491281667,-0.22148193854565384,-0.10349815301308188,-3.5076923610311437,-5.505997803266937,-2.572943901765378,-130.4459784689901,-204.76005218545697,-95.68404246059418,0.8648571178399107,0.8024615741151192,0.8973280181115768,-0.15626035719937834,-0.2461655888043088,-0.11441967688080884,-3.8846020092068914,-6.119628535385299,-2.8444508554199155,-144.46270023082528,-227.58008684958344,-130.4459784689901,-0.3769096481757477,-0.613630732118362,-0.2715069536545376,-14.016721761835168,-22.820034664126517,-10.096948815713558,0.9212064947000768,0.8958402654139707,0.9470197316912186,-0.08553294592823776,-0.11627043191444043,-0.05594420742867475,-0.4519364367707761,-0.6143462513883037,-0.2955963399704846,-27.47333962132377,-37.34627668014003,-17.969382369026423,0.9136769952403035,0.8860406289563907,0.9418786022888572,-0.0944786890874852,-0.1286164170347748,-0.06170795001595956,-0.49920368851548785,-0.6795796005166058,-0.3260506316950669,-30.34672878513604,-41.31182981863865,-19.820707093925037,-0.0472672517447118,-0.06523334912830214,-0.03045429172458225,-2.8733891638122677,-3.9655531384986102,-1.851324724898617,0.8958402654139707,0.8709178384620764,0.9470197316912186,-0.11627043191444043,-0.14821393688050452,-0.05594420742867475,-0.5342663724310304,-0.6810478046485542,-0.25706543159177014,-110.38561413864262,-140.7123563323459,-53.11269247763846,0.8860406289563907,-0.1286164170347748,-0.5909965709494492,0.8589638854997956,-0.16419329948678957,-0.7544734895183088,0.9418786022888572,-0.06170795001595956,-0.28355001406929037,-122.10672953501016,-155.8829523798159,-58.58471365067983,-0.05673019851841887,-0.07342568486975465,-0.02648458247752022,-11.721115396367535,-15.170596047469967,-5.472021173041369,0.8473
06037900301,06037900301,Census Tract 9003.01; Los Angeles County; California,2480,1291,444,Lancaster city,California,170280,0.42444075248722674,0.187840089889488,06037,2480,1291,444,0.009245,0.009493868073,0.003212018401,0.8759526988923851,0.8181177325383192,0.9059038703227592,-0.1416141548104924,-0.2223179625961252,-0.10386988372587004,-3.246872695833045,-5.097217319218919,-2.3814871461132583,-130.9222861223002,-205.53295642011773,-96.02770750456686,0.8644277904982207,0.8018578526012855,0.8969956287159888,-0.15683462631811157,-0.2471038311290797,-0.1148326346154636,-3.5958415783711346,-5.665497798595086,-2.632836713409503,-144.99361203109413,-228.44749187883417,-130.9222861223002,-0.34896888253808944,-0.5682804793761669,-0.2513495672962449,-14.07132590879393,-22.914535458716408,-10.13506319742923,0.9209479721128468,0.8955033452777148,0.946843448044848,-0.08583766974999839,-0.1166904124628128,-0.05614080349282231,-0.35594441758411904,-0.4838819718976272,-0.2327999543808386,-27.571217473595592,-37.48117520508344,-18.032529386587033,0.913394948695757,0.8856740778430707,0.941685744771964,-0.09481665234508573,-0.1290835139212308,-0.06192538811571076,-0.393177706181243,-0.5352726409771262,-0.256786982576698,-30.45528320536352,-41.46186219807329,-19.89054861167297,-0.03723328859712394,-0.05139066907949902,-0.0239870281958594,-2.884065731767927,-3.9806869929898543,-1.8580192250859335,0.8955033452777148,0.8705062918822781,0.946843448044848,-0.1166904124628128,-0.14875677444871793,-0.05614080349282231,-0.4918824612998194,-0.6270510730620285,-0.23664906155164425,-110.78433813058994,-141.22771915811452,-53.299338187307264,0.8856740778430707,-0.1290835139212308,-0.5441228220959362,0.8585174084520479,-0.16479874508666356,-0.6946724297352408,0.941685744771964,-0.06192538811571076,-0.26103269052210665,-122.5501851567424,-156.45775444487407,-58.79114651398798,-0.05224036079611682,-0.06762135667321234,-0.02438362897046242,-11.76584702615244,-15.230035286759538,-5.491808326680726,0.9062
06037900902,06037900902,Census Tract 9009.02; Los Angeles County; California,895,697,436,Lancaster city,California,1790630,0.4681191263891522,0.2170669101729112,06037,895,697,436,0.009245,0.009493868073,0.003212018401,0.860472545090897,0.7963032521770264,0.8939314643950679,-0.1621521287403352,-0.2558029836825152,-0.11865399063529967,-1.3416913050329369,-2.116584232809643,-0.9817757483638944,-149.90964302043986,-236.48985841448524,-109.69561434233457,0.8476385887373005,0.7783704469951982,0.8839641377287555,-0.17974808283524157,-0.2847353131922917,-0.13126761292532224,-1.487285068101568,-2.355978283564149,-1.0861443279376706,-166.1771025811808,-263.2377970462736,-149.90964302043986,-0.14559376306863123,-0.23939405075450584,-0.10436857957377632,-16.26745956074092,-26.74793863178836,-11.661293807125846,0.910794053446663,0.8822957385765092,0.9399063609066596,-0.09794304894257966,-0.13340681165863288,-0.06393577232031131,-0.2192726281911658,-0.2986680783047903,-0.1431379253909655,-31.459487545360947,-42.850513386627014,-20.53628771749864,0.9023233688428418,0.8713158208685193,0.9340993021274328,-0.10825014017138967,-0.14768947842954291,-0.0705499915506593,-0.2423479051725091,-0.3306437816777998,-0.15794568612262522,-34.770144214133296,-47.43813223497845,-22.660787105111226,-0.02307527698134329,-0.03197570337300948,-0.0148077607316597,-3.310656668772352,-4.587618848351432,-2.1244993876125835,0.8822957385765092,0.854404660576587,0.9399063609066596,-0.13340681165863288,-0.17040560069646543,-0.06393577232031131,-0.5522143480880058,-0.70536441527387606,-0.2646510353737187,-126.65466699266187,-161.78082919125598,-60.699778755440065,0.8713158208685193,-0.14768947842954291,-0.6113349688553932,0.8410657918277968,-0.1889676285927748,-0.7821987088643755,0.9340993021274328,-0.0705499915506593,-0.2920294481772857,-140.21444239802597,-179.40337359274668,-66.97923123332241,-0.05912062076738733,-0.07683429359049943,-0.02737841280356701,-13.559775405364068,-17.622544401490693,-6.279452477882342,0.4779
