geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
55025002401,55025002401,Census Tract 24.01; Dane County; Wisconsin,2335,1653,711,Madison city,Wisconsin,77658,0.8169189547000896,0.12292824730664668,55025,2335,1653,711,0.008719,0.007731232826,0.0031699323,0.7462753713439978,0.6417243059216919,0.8038297130625742,-0.3399879433231987,-0.5583015802459376,-0.2440445827637064,-6.921768639744653,-11.366386501513707,-4.9684707144676254,-296.4354877834969,-486.783147816433,-212.7824717116756,0.724751328567836,0.613879792734412,0.7864669215937986,-0.379783603813568,-0.6289834130973562,-0.27150929370744575,-7.731963119253915,-12.805388394488304,-5.527621056835237,-331.1333241650499,-548.4106378795848,-296.4354877834969,-0.8101944795092617,-1.439001892974595,-0.5591503423676114,-34.69783638155296,-61.62749006315181,-23.94648147184631,0.8336236868515204,0.7835786439859402,0.8863019972523145,-0.1995820365623961,-0.276196087878504,-0.12828359080783802,-1.045789532560815,-1.4472393538648178,-0.6721929426960708,-63.26615441989202,-87.55229000997083,-40.665029806174886,0.8185911610834941,0.7646995772967536,0.8756688497235957,-0.22161104045686456,-0.3077030898003679,-0.1419842104873884,-1.1612192680338984,-1.6123328331166822,-0.7439827936127944,-70.24919951808218,-97.53979631679869,-45.00803349139712,-0.11542973547308331,-0.16509347925186435,-0.07178985091672363,-6.983045098190159,-9.98750630682785,-4.34300368522224,0.7835786439859402,0.7360606258044577,0.8863019972523145,-0.276196087878504,-0.3585837428908479,-0.12828359080783802,-1.5182240815845596,-1.9711013211783517,-0.7051629091946943,-213.53362610190712,-277.22944039076674,-99.17903082907092,0.7646995772967536,-0.3077030898003679,-1.6914151264821498,0.7138466820010112,-0.4008610325075146,-2.2034956309354947,0.8756688497235957,-0.1419842104873884,-0.7804739351034852,-237.892422852623,-309.914997318635,-109.77129888937908,-0.1731910448975902,-0.23239430975714329,-0.07531102590879091,-24.35879675071592,-32.68555692786825,-10.592268060308143,0.2943
55025001603,55025001603,Census Tract 16.03; Dane County; Wisconsin,4632,15,15,Madison city,Wisconsin,3411,0.4305614731950307,0.2430471529037144,55025,4632,15,15,0.008719,0.007731232826,0.0031699323,0.8737667752526538,0.8150251999168785,0.904216546230748,-0.14447015876844857,-0.2269559273774436,-0.10592977331428852,-5.834630775847341,-9.165934681083806,-4.2781230444183675,-125.96353143021028,-197.88287308039307,-92.36016935272814,0.8620552070038864,0.7985243072238755,0.8951579950691579,-0.16001851375104764,-0.2523100310829217,-0.1171212294459172,-6.46257298390342,-10.189895857807556,-4.7301057578644254,-139.52014213953842,-219.9891161011994,-125.96353143021028,-0.627942208056079,-1.0239611767237502,-0.4519827134460579,-13.556610709328131,-22.106243020806353,-9.757830601167052,0.919518295887548,0.8936406977038557,0.9458682668339564,-0.08752594099801862,-0.11901797061103724,-0.05722967464299783,-0.0041617696118627,-0.00565918363980566,-0.00272121291253994,-27.745130745751347,-37.727890932037774,-18.14141941693298,0.911835323785727,0.8836478657628442,0.9406189436693544,-0.09668925288859608,-0.13167251203250543,-0.06312976868082201,-0.00459747578691643,-0.00626089423370966,-0.00300175639249299,-30.6498385794429,-41.73929489139777,-20.01170928328661,-4.357061750537329e-4,-6.01710593903999e-4,-2.805434799530446e-4,-2.904707833691553,-4.011403959359994,-1.870289866353631,0.8936406977038557,0.8682317924470537,0.9458682668339564,-0.11901797061103724,-0.15176616279112093,-0.05722967464299783,-0.01380233461907931,-0.01760009309470161,-0.00663683908831867,-92.01556412719546,-117.3339539646774,-44.24559392212447,0.8836478657628442,-0.13167251203250543,-0.01526986270961379,0.8560502393102705,-0.16815573909039674,-0.0195007675490395,0.9406189436693544,-0.06312976868082201,-0.00732106409884436,-101.79908473075862,-130.0051169935967,-48.8070939922958,-0.00146752809053447,-0.00190067445433789,-6.842250105256985e-4,-9.783520603563154,-12.671163028919278,-4.5615000701713235,0.124
55025001605,55025001605,Census Tract 16.05; Dane County; Wisconsin,2969,406,150,Madison city,Wisconsin,8436,0.44884002048145993,0.2652792859988907,55025,2969,406,150,0.008719,0.007731232826,0.0031699323,0.8672712817842129,0.8058592568603746,0.8991963080853138,-0.15304175406653392,-0.2409114761503109,-0.11210421018001128,-3.961747658453438,-6.236405759686489,-2.9020092908132096,-133.4371053706109,-210.05071605545604,-97.74366085595184,0.8550085591019406,0.7886514731563383,0.8896925759653157,-0.16957893503469876,-0.2679872339524116,-0.12398375238210887,-4.389840882931021,-6.937308077015466,-3.209531566611214,-147.85587345675384,-233.65806928310764,-133.4371053706109,-0.4280932244775833,-0.7009023173289766,-0.3075222757980045,-14.41876808614292,-23.60735322765162,-10.357772846008908,0.9152619950018837,0.888101229735023,0.9429620192978376,-0.09258333183379032,-0.1259977652529132,-0.06048809976952726,-0.1191540549727494,-0.16215818063602905,-0.07784773157736909,-29.34828940215502,-39.940438580302725,-19.1743181225047,0.907193588401336,0.8776244594736573,0.9374403020464364,-0.10230055942327392,-0.13943952815505584,-0.0667345939970743,-0.1316600541353056,-0.1794576288633612,-0.08588692288571706,-32.42858476239054,-44.20138641954709,-21.1544145038712,-0.0125059991625562,-0.01729944822733214,-0.00803919130834797,-3.0802953602355196,-4.260947839244372,-1.980096381366496,0.888101229735023,0.8614746787117251,0.9429620192978376,-0.1259977652529132,-0.16080022397806257,-0.06048809976952726,-0.14611770880889471,-0.18647759550710244,-0.07014713737807983,-97.41180587259647,-124.31839700473496,-46.76475825205322,0.8776244594736573,-0.13943952815505584,-0.16170591859714784,0.848724557416189,-0.1782385595679542,-0.2067005703886086,0.9374403020464364,-0.0667345939970743,-0.07739110256099452,-107.80394573143188,-137.8003802590724,-51.59406837399634,-0.01558820978825312,-0.02022297488150615,-0.00724396518291468,-10.392139858835414,-13.481983254337432,-4.829310121943125,0.1838
55025001300,55025001300,Census Tract 13; Dane County; Wisconsin,1747,889,361,Madison city,Wisconsin,1807,0.19904261830767417,0.17895055513278404,55025,1747,889,361,0.008719,0.007731232826,0.0031699323,0.9603752627356466,0.9405570057243062,0.9702829037967108,-0.0412596396449047,-0.06319977833764343,-0.03062724911158015,-0.6284706682176753,-0.96266490121837,-0.4665171068017562,-35.9742798063924,-55.103886732591306,-26.70389850038673,0.95650019193296,0.934810614147314,0.967360204230573,-0.04547809653768344,-0.06973539331509233,-0.03374109832788533,-0.6927265959249721,-1.0622159963670648,-0.5139475476524937,-39.652352371206185,-60.80228943142901,-35.9742798063924,-0.06425592770729682,-0.09955109514869476,-0.04743044085073755,-3.678072564813785,-5.6984026988377074,-2.714965131696483,0.975173706012072,0.9668686323171714,0.9834638399000776,-0.02545832997226116,-0.03426666930276444,-0.01681420244348043,-0.07174335122750147,-0.09656586641242756,-0.0473835963642272,-8.070118248312877,-10.862302183625149,-5.329988342432755,0.97272523107792,0.96361647806192,0.9818253385427272,-0.02803954092139209,-0.03775726418798549,-0.01851109432992286,-0.07901738388862047,-0.1064026064938152,-0.05216555616821992,-8.888344644389253,-11.968797130912847,-5.867891582476933,-0.00727403266111899,-0.00983674008138765,-0.00478195980399272,-0.8182263960763771,-1.1064949472877004,-0.5379032400441764,0.9668686323171714,0.9585484358406652,0.9834638399000776,-0.03426666930276444,-0.04324409973397027,-0.01681420244348043,-0.09563741907699004,-0.12069320342526609,-0.04692801950853038,-26.492359855121897,-33.43302033940889,-12.999451387404536,0.96361647806192,-0.03775726418798549,-0.10537958231194888,0.9544989810909944,-0.04767005498214134,-0.1330459340961513,0.9818253385427272,-0.01851109432992286,-0.05166400242645423,-29.19102003101077,-36.8548293895156,-14.31135801286821,-0.00974216323495881,-0.01235273067088522,-0.00473598291792385,-2.698660175888868,-3.4218090501067113,-1.3119066254636715,0.3123
55025002200,55025002200,Census Tract 22; Dane County; Wisconsin,2736,1881,765,Madison city,Wisconsin,83432,0.7082574167821075,0.22571249500410595,55025,2736,1881,765,0.008719,0.007731232826,0.0031699323,0.7801236787658884,0.686354011731132,0.830879593091025,-0.2818480289970733,-0.45697407301195136,-0.2035438206874428,-6.723536591762518,-10.901200594929533,-4.8555752945619535,-245.7432964825482,-398.43569425912034,-177.46985725738134,0.7609915003150558,0.6610023357291925,0.8156275781868771,-0.3140751238167483,-0.5128539582191313,-0.2260497643090721,-7.492319868471312,-12.234225538445688,-5.392458720749547,-273.8421004558228,-447.15736617126055,-245.7432964825482,-0.7687832767087937,-1.333024943516156,-0.5368834261875932,-28.09880397327462,-48.721671912140195,-19.622932243698585,0.8569360443640129,0.8130855009125769,0.902665052919836,-0.16694822977386134,-0.22988295680790913,-0.10783063636430391,-0.9954526362433992,-1.3707099242192091,-0.6429555520417725,-52.92145859879848,-72.8713410004896,-34.18158171407615,0.8438072480408091,0.7964340852343806,0.8934685948047515,-0.1851047763832872,-0.2555966884638199,-0.1192335195827769,-1.103713635547861,-1.5240317174433946,-0.710946869925047,-58.67696095416592,-81.02241985345,-37.796218496812706,-0.10826099930446163,-0.1533217932241853,-0.0679913178832745,-5.755502355367446,-8.151078852960408,-3.6146367827365498,0.8130855009125769,0.7710546266929865,0.902665052919836,-0.22988295680790913,-0.2969249718258593,-0.10783063636430391,-1.359618176285604,-1.7561310081149946,-0.6377527729637544,-177.72786618112474,-229.5596089039209,-83.36637555081758,0.7964340852343806,-0.2555966884638199,-1.5116992936723106,0.7512658750773211,-0.3310866807268184,-1.9581767839292183,0.8934685948047515,-0.1192335195827769,-0.7051939069267772,-197.607750806838,-255.97082142865597,-92.18221005578786,-0.1520811173867065,-0.20204577581422375,-0.06744113396302276,-19.879884625713267,-26.411212524735134,-8.815834504970296,0.3601
55025002800,55025002800,Census Tract 28; Dane County; Wisconsin,1430,1048,452,Madison city,Wisconsin,73842,0.6675003505729106,0.2701082369151624,55025,1430,1048,452,0.008719,0.007731232826,0.0031699323,0.7932118348886472,0.703882997746856,0.8412586554687126,-0.26069727658612424,-0.42069065910246534,-0.1886950505642568,-3.2504179630128163,-5.245242655101585,-2.3526819685937492,-227.30195545544169,-366.80018567143946,-164.52321458697548,0.7750471147780444,0.6795955437849536,0.8268419454475875,-0.2902441424949719,-0.4714634449051552,-0.20942098487598895,-3.618813310131533,-5.878286379863108,-2.611096441001259,-253.06386784136595,-411.0689776128048,-227.30195545544169,-0.3683953471187169,-0.6330437247615235,-0.2584144724075097,-25.76191238592426,-44.26879194136528,-18.07094212639928,0.8658472620735786,0.8244373420063899,0.908880161487119,-0.15493810952886194,-0.21294845471986085,-0.10025506373006288,-0.5147181971555082,-0.7074337297244498,-0.3330562494647961,-49.11433178964772,-67.50321848515743,-31.780176475648485,0.8534644125757587,0.8086738877963154,0.9002378867724413,-0.17169501770085105,-0.23659242012260295,-0.11081750134425988,-0.5703861383122314,-0.7859810882969359,-0.36814560780845296,-54.42615823589995,-74.99819544818091,-35.12839769164627,-0.05566794115672324,-0.07854735857248607,-0.03508935834365684,-5.311826446252218,-7.494976963023481,-3.34822121599779,0.8244373420063899,0.7846051448863985,0.908880161487119,-0.21294845471986085,-0.27452643730087706,-0.10025506373006288,-0.7441520456860257,-0.959337367256748,-0.35034304833652813,-164.6354083376163,-212.2427803665372,-77.50952396825843,0.8086738877963154,-0.23659242012260295,-0.8267762903452623,0.7658015953609014,-0.30582125456232206,-1.0686976456166486,0.9002378867724413,-0.11081750134425988,-0.3872536686477946,-182.91510848346513,-236.4375322160727,-85.67559040880411,-0.08262424465923668,-0.1093602783599006,-0.03691062031126646,-18.279700145848825,-24.19475184953553,-8.166066440545677,0.108
55025002500,55025002500,Census Tract 25; Dane County; Wisconsin,1114,634,228,Madison city,Wisconsin,259739,0.7024969043164518,0.23860625506871316,55025,1114,634,228,0.008719,0.007731232826,0.0031699323,0.7819603420101812,0.688804776110182,0.8323387395188441,-0.27883723288230383,-0.4517901656361902,-0.20143392650217992,-2.708336562519899,-4.388222517958684,-1.9565208793621724,-243.11818335008073,-393.9158454181942,-175.63024051725066,0.762962514049076,0.6635990640178016,0.8172033142810459,-0.31068038283159616,-0.5069340121510091,-0.22368568815677636,-3.017627995310277,-4.923832824266338,-2.1726514837533712,-270.8822257908687,-441.9957651944648,-243.11818335008073,-0.30929143279037774,-0.535610306307654,-0.2161306043911988,-27.76404244078795,-48.07991977627056,-19.40131098664262,0.8581899487739467,0.8146804099144432,0.903540896771618,-0.16524319753295905,-0.22747520110986688,-0.10675676504852603,-0.33209538100231456,-0.4571653460415013,-0.21455302906670864,-52.38097492150072,-72.10809874471629,-33.84117177708338,0.8451655105541448,0.798152724712315,0.8944222537715285,-0.18320019867390916,-0.2528930479570041,-0.11804016031944606,-0.3681842320085617,-0.508248535298202,-0.23722968691066312,-58.07322271428418,-80.16538411643565,-37.417931689379046,-0.03608885100624715,-0.05108318925670074,-0.02267665784395448,-5.692247792783462,-8.057285371719361,-3.5767599122956595,0.8146804099144432,0.7729555316627724,0.903540896771618,-0.22747520110986688,-0.29373548546681894,-0.10675676504852603,-0.40097533315811446,-0.5177737334476826,-0.1881824006456874,-175.86637419215546,-227.0937427402117,-82.53614063407342,0.798152724712315,-0.2528930479570041,-0.4457799077137832,0.7533034570855492,-0.3274862747462933,-0.5772669613233236,0.8944222537715285,-0.11804016031944606,-0.20807187939254493,-195.51750338323825,-253.1872637382998,-91.2595962248004,-0.04480457455566877,-0.05949322787564093,-0.01988947874685753,-19.651129191082795,-26.093520998088128,-8.72345559072699,0.8793
55025001706,55025001706,Census Tract 17.06; Dane County; Wisconsin,2744,480,201,Madison city,Wisconsin,27187,0.42972033333967696,0.26900780980395905,55025,2744,480,201,0.008719,0.007731232826,0.0031699323,0.874066852123403,0.815449497262722,0.9044482402886768,-0.14407724943539843,-0.22631751366181715,-0.10564646538626196,-3.4470389717979435,-5.414632030038101,-2.5275849229925327,-125.62095378272387,-197.3262401617384,-92.1131531702818,0.8623808728514964,0.7989815969103441,0.8954103085120678,-0.15958044928972098,-0.2515932830831055,-0.11680644112946638,-3.81795203610782,-6.019353195793182,-2.7945866284102507,-139.13819373570772,-219.3641835201597,-125.62095378272387,-0.3709130643098763,-0.6047211657550813,-0.26700170541771806,-13.517239952983832,-22.03794335842133,-9.730382850499929,0.9197146374768866,0.8938964421792323,0.9460022215301562,-0.08729377488583355,-0.11869781868926296,-0.05707997004753593,-0.13282337116777565,-0.1806067437132664,-0.08685102755362402,-27.671535659953257,-37.62640494026383,-18.09396407367167,0.9120494972498524,0.8839260429130431,0.9407654771175908,-0.0964317211021431,-0.1313163674920434,-0.0629641757942668,-0.14672737318381202,-0.1998067175192152,-0.09580424380469976,-30.568202746627502,-41.626399483169834,-19.95921745931245,-0.01390400201603636,-0.01919997380594881,-0.00895321625107574,-2.8966670866742428,-3.9999945429060033,-1.86525338564078,0.8938964421792323,0.8685440128778616,0.9460022215301562,-0.11869781868926296,-0.15135213089152252,-0.05707997004753593,-0.18445377491723025,-0.23519785108935112,-0.08870100616585994,-91.76804722250262,-117.01385626335878,-44.12985381386066,0.8839260429130431,-0.1313163674920434,-0.20406271960005865,0.8563888692708568,-0.16769383148500755,-0.26059249099361514,0.9407654771175908,-0.0629641757942668,-0.0978449312552967,-101.52374109455651,-129.64800546946026,-48.67907027626701,-0.01960894468282836,-0.02539463990426402,-0.00914392508943676,-9.755693872053914,-12.634149206101505,-4.549216462406348,0.3125
55025011406,55025011406,Census Tract 114.06; Dane County; Wisconsin,3775,2498,599,Madison city,Wisconsin,105121,0.7491429761225636,0.1838153634315202,55025,3775,2498,599,0.008719,0.007731232826,0.0031699323,0.7672112359345976,0.66920834677354,0.8205964656870771,-0.3034219953541542,-0.49430293991595986,-0.21862577017402837,-9.986899825035584,-16.26959818255538,-7.195897790306258,-264.55363774928696,-430.98273331272526,-190.61980901473532,0.7471476760975598,0.6428615987579606,0.8045306729381639,-0.3384234897485295,-0.5555447734505342,-0.2429606895508132,-11.138946886868291,-18.285325670924905,-7.996862802030613,-295.0714407117428,-484.37948797152063,-264.55363774928696,-1.1520470618327074,-2.0157274883695244,-0.8009650117243545,-30.517802962455825,-53.39675465879535,-21.21761620461866,0.8480888791975514,0.8018549147484336,0.8964730513057998,-0.1791216988320665,-0.2471084002942484,-0.115482499494439,-1.4183735395790824,-1.9567256154357808,-0.9144471196699252,-56.780365875863986,-78.33168996940674,-36.60717052321558,0.8342294269911755,0.78434182610924,0.8867291034666646,-0.19871101119833548,-0.2749543205677827,-0.12774013629472997,-1.5734913310026368,-2.1772232813173367,-1.011509104949573,-62.99004527632653,-87.15865817923685,-40.49275840470669,-0.15511779142355442,-0.2204976658815561,-0.09706198527964782,-6.209679400462547,-8.826968209830106,-3.885587881491106,0.8018549147484336,0.7576965160498135,0.8964730513057998,-0.2471084002942484,-0.3197896239689938,-0.115482499494439,-1.1443610929852095,-1.4809484549077254,-0.5348004324610411,-191.04525759352413,-247.23680382432812,-89.28220909199351,0.78434182610924,-0.2749543205677827,-1.273315785425677,0.7369615324529591,-0.3569229274037187,-1.6529130973646915,0.8867291034666646,-0.12774013629472997,-0.5915656522167987,-212.5735868824169,-275.94542526956457,-98.75887349195304,-0.12895469244046742,-0.17196464245696608,-0.05676521975575754,-21.528329288892724,-28.708621445236407,-9.476664399959525,0.3071
55025001102,55025001102,Census Tract 11.02; Dane County; Wisconsin,625,11,6,Madison city,Wisconsin,0,NA,NA,55025,625,11,6,0.008719,0.007731232826,0.0031699323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-999
55025002602,55025002602,Census Tract 26.02; Dane County; Wisconsin,4008,2314,765,Madison city,Wisconsin,169279,0.6935260011702381,0.24717090456278212,55025,4008,2314,765,0.008719,0.007731232826,0.0031699323,0.7848292100594996,0.6926388127416409,0.8346161869339862,-0.2741625657946496,-0.44375391849865486,-0.19815553023667248,-9.580817031943509,-15.507314384882203,-6.924694017079258,-239.04234111635495,-386.90904153897714,-172.77180681335471,0.7660421636388914,0.6676633027360781,0.8196632877164068,-0.3054111737789346,-0.49776091617138335,-0.2200131627049123,-10.672823136907551,-17.39462953181795,-7.688525420621515,-266.2880024178531,-433.9977428098291,-239.04234111635495,-1.0920061049640442,-1.8873151469357463,-0.7638314035422571,-27.24566130149811,-47.08870127085195,-19.057669749058313,0.8601463210278822,0.81717040943255,0.904906549599608,-0.16259289327075352,-0.22373496208019616,-0.10508648704384764,-1.1926551859954646,-1.6411459163168869,-0.7708328527138292,-51.54084641294142,-70.9224682937289,-33.31170495738242,0.8472851011681884,0.8008365669217072,0.8959094236465369,-0.18024027404855456,-0.2486942296401954,-0.11618426328165282,-1.3221026654054822,-1.824227718327208,-0.8522375200198902,-57.13494664673648,-78.83438713600727,-36.82962489282153,-0.12944747941001755,-0.1830818020103215,-0.081404667306061,-5.5941002337950545,-7.911918842278372,-3.5179199354391097,0.81717040943255,0.7759251658528697,0.904906549599608,-0.22373496208019616,-0.2887840786821691,-0.10508648704384764,-1.3232565186160823,-1.7079825657813208,-0.6215227951248503,-172.97470831582777,-223.26569487337525,-81.24480982024187,0.8008365669217072,-0.2486942296401954,-1.4708754387507614,0.7564876136450277,-0.32189870919583546,-1.9038355083941312,0.8959094236465369,-0.11618426328165282,-0.6871594064630216,-192.27129918310607,-248.8673867181871,-89.82475901477407,-0.14761892013467892,-0.1958529426128106,-0.06563661133817134,-19.29659086727829,-25.60169184481184,-8.579949194532201,0.4792
