geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
39035105900,39035105900,Census Tract 1059; Cuyahoga County; Ohio,1828,1360,678,Cleveland city,Ohio,65758,0.5881483075901385,0.20055173431466383,39035,1828,1360,678,0.01415599999999999,0.007698481651,0.00363660615,0.8193271081844797,0.7393057298594138,0.8618395988603077,-0.2205137484293269,-0.3526203837080497,-0.16030871791270082,-5.706271314415427,-9.124816909437664,-4.148335625291568,-312.15926227655507,-499.169415177115,-226.93302107721925,0.8031618225077654,0.7173093293927929,0.8491200369166656,-0.2450791010927708,-0.3940986949751603,-0.1776897924010973,-6.341953072266612,-10.198158138452978,-4.598108609848318,-346.9339755069263,-557.8861126068368,-312.15926227655507,-0.6356817578511853,-1.0733412290153144,-0.4497729845567502,-34.774713230371184,-58.7166974297218,-24.60464904577408,0.8834636880310587,0.8469955009038922,0.9211037084540674,-0.13190843443567135,-0.18064381561982948,-0.08565408088340891,-0.6523906725116625,-0.8934253587458515,-0.4236266139459551,-47.96990239056342,-65.69304108425378,-31.149015731320222,0.8725846609357374,0.8330464419231685,0.913564855133286,-0.1460206038089481,-0.20041326590556352,-0.09461303637178917,-0.7221864191401343,-0.9912007968539104,-0.4679356759181581,-53.1019425838334,-72.88241153337574,-34.40703499398221,-0.06979574662847177,-0.09777543810805878,-0.04430906197220297,-5.132040193269983,-7.189370449121968,-3.2580192626619833,0.8469955009038922,0.8116743032009285,0.9211037084540674,-0.18064381561982948,-0.2320212627853168,-0.08565408088340891,-0.9428831417429696,-1.211051352383946,-0.4470775188696231,-139.06830999158845,-178.62114341946105,-65.94063700141935,0.8330464419231685,-0.20041326590556352,-1.046071182429474,0.7949136901358312,-0.25799821088642283,-1.3466398659149692,0.913564855133286,-0.09461303637178917,-0.49383941917955054,-154.28778501909645,-198.61944924999543,-72.83767244536143,-0.10318804068650432,-0.1355885135310233,-0.04676190030992744,-15.219475027508013,-19.99830583053441,-6.897035443942101,0.5998
39035119702,39035119702,Census Tract 1197.02; Cuyahoga County; Ohio,1073,889,527,Cleveland city,Ohio,37912,0.6784407263273842,0.18384194217488536,39035,1073,889,527,0.01415599999999999,0.007698481651,0.00363660615,0.7896771865869762,0.6991342223274002,0.8384599514384056,-0.2663402425515791,-0.4303405098251738,-0.19266280790688592,-4.0455452841300445,-6.536608975852376,-2.9264301424671575,-377.03124735601534,-609.1900257085159,-272.73347087298765,0.7712488878566218,0.6745538374880325,0.8238166325838253,-0.2965983040560363,-0.4824613610144072,-0.21386235777201015,-4.505146720449108,-7.328292807455904,-3.2484383307938773,-419.8645592217249,-682.9723026519948,-377.03124735601534,-0.4596014363190637,-0.7916838316035282,-0.32200818832671985,-42.83331186570957,-73.78227694347886,-30.010082789069884,0.8634461744454983,0.8213747090366077,0.9072076570007472,-0.15814978350236597,-0.2174711358874226,-0.10228346540419075,-0.5112892145469208,-0.7030717576217455,-0.330676599926319,-57.512847530587266,-79.08568702156866,-37.19646793321923,0.8508613503357934,0.8053700201557819,0.8984157932843876,-0.1752796147167208,-0.2416652904544064,-0.11307037061786893,-0.5666689801902786,-0.7812900770606391,-0.3655500481976603,-63.74229248484573,-87.88414815080304,-41.11924051717214,-0.05537976564335778,-0.07821831943889368,-0.03487344827134131,-6.229444954258469,-8.798461129234385,-3.922772583952903,0.8213747090366077,0.7809445837410307,0.9072076570007472,-0.2174711358874226,-0.2805005896956324,-0.10228346540419075,-0.8823021084555144,-1.1380188947906484,-0.414974230111029,-167.41975492514504,-215.94286428665055,-78.74273816148559,0.8053700201557819,-0.2416652904544064,-0.9804602088380808,0.7618723965646069,-0.3125557567240196,-1.268069907494608,0.8984157932843876,-0.11307037061786893,-0.45873778142049937,-186.0455804246833,-240.62047580542847,-87.04701734734334,-0.09815810038256656,-0.13005101270395958,-0.04376355130947035,-18.625825499538248,-24.677611518777912,-8.304279185857752,0.8445
39035121100,39035121100,Census Tract 1211; Cuyahoga County; Ohio,1113,764,297,Cleveland city,Ohio,42027,0.645549084067495,0.1806889652049209,39035,1113,764,297,0.01415599999999999,0.007698481651,0.00363660615,0.8003517045761167,0.7135086646668644,0.8469023100139745,-0.2494507030876148,-0.40152467590130503,-0.18077373054219115,-3.93025248218691,-6.326273426321526,-2.8482036505950017,-353.1224152908275,-568.3983312058874,-255.90329295552576,0.7827245609225056,0.6898253922865072,0.8329456207224631,-0.27758863069457956,-0.4496422010291368,-0.20055856603536815,-4.373583202253177,-7.084395252516295,-3.1599261586666954,-392.9544656112468,-636.5134997768458,-353.1224152908275,-0.44333072006626706,-0.7581218261947686,-0.31172250807169366,-39.83205032041932,-68.11516857095856,-28.00741312414139,0.8706850707647928,0.8306168337602969,0.9122452560623264,-0.1485208987465691,-0.20392455263985704,-0.0961964376953448,-0.41264557853196954,-0.5665772676513026,-0.2672690174952708,-54.01120137853004,-74.15932822661028,-34.98285569309828,0.8587113587960647,0.8153438530765229,0.9039049713228172,-0.1645356612052105,-0.226476407747133,-0.10631098591763788,-0.4571404676389532,-0.6292345998937524,-0.29537094549329307,-59.835139743318486,-82.36054972431315,-38.66111852006454,-0.04449488910698368,-0.06265733224244985,-0.02810192799802224,-5.8239383647884395,-8.20122149770286,-3.6782628269662623,0.8306168337602969,0.792001694143884,0.9122452560623264,-0.20392455263985704,-0.2626235617853725,-0.0961964376953448,-0.4662630997258379,-0.6004753934429117,-0.2199482536152855,-156.99094266863233,-202.1802671524955,-74.05665104891767,0.8153438530765229,-0.226476407747133,-0.5178267674194322,0.7737465429499409,-0.29241288263138254,-0.6685871578017534,0.9039049713228172,-0.10631098591763788,-0.2430746527928365,-174.35244694256977,-225.11352114537152,-81.84331743866548,-0.05156366769359427,-0.0681117643588417,-0.02312639917755096,-17.361504273937467,-22.933253992875994,-7.7866663897478,0.7656
39035112301,39035112301,Census Tract 1123.01; Cuyahoga County; Ohio,1047,666,217,Cleveland city,Ohio,43853,0.5696073274728923,0.26348371527686626,39035,1047,666,217,0.01415599999999999,0.007698481651,0.00363660615,0.8255519570648495,0.7478361096477768,0.8667205519571007,-0.21131079811787917,-0.3371913807037077,-0.15377441753509505,-3.1319074940900617,-4.997625400948045,-2.279141695394265,-299.1315658156697,-477.3281185241686,-217.68306546268053,0.8098766027244052,0.7264187987162456,0.8544113409656349,-0.23475600682378564,-0.3766163565249651,-0.17039644964195394,-3.479396716129592,-5.581956056686874,-2.52550235176468,-332.3206032597509,-533.1381142967406,-299.1315658156697,-0.34748922203953025,-0.584330655738829,-0.24636065637041504,-33.18903744408121,-55.809995772572016,-23.53014865046944,0.8876312405712011,0.8523546656165291,0.923983410420056,-0.1265939663823552,-0.17322053874917837,-0.08227051343420315,-0.3066080162015115,-0.4195366277633692,-0.1992575131089082,-46.03723966989662,-62.99348765215753,-29.91854551184808,0.8771135837291756,0.838846268581485,0.916707091859432,-0.1401031959262961,-0.19211354625327343,-0.0908609837103126,-0.3393270958641888,-0.4652951083327739,-0.22006345769587776,-50.95001439402234,-69.86413038029637,-33.04256121559726,-0.03271907966267728,-0.04575848056940468,-0.02080594458696955,-4.912774724125718,-6.870642728138842,-3.1240157037491816,0.8523546656165291,0.818132568942576,0.923983410420056,-0.17322053874917837,-0.22229579650213033,-0.08227051343420315,-0.2893771251927038,-0.3713608039711394,-0.13743869426586894,-133.3535139136884,-171.13401104660804,-63.33580380915619,0.838846268581485,-0.19211354625327343,-0.32093922653044227,0.8018738483037728,-0.2470789540216696,-0.4127628162728488,0.916707091859432,-0.0908609837103126,-0.15178968064718634,-147.89826107393654,-190.2132793884096,-69.94916158856515,-0.03156210133773846,-0.04140201230170942,-0.0143509863813174,-14.544747160248138,-19.079268341801576,-6.613357779408942,0.9218
39035115700,39035115700,Census Tract 1157; Cuyahoga County; Ohio,990,625,254,Cleveland city,Ohio,49286,0.5423810014421321,0.27057782392503676,39035,990,625,254,0.01415599999999999,0.007698481651,0.00363660615,0.8347785923391702,0.7605411720507302,0.8739380847333167,-0.1979224301833802,-0.3148532081486013,-0.1442458195481334,-2.77377202245917,-4.412491394406083,-2.0215243833081424,-280.178992167593,-445.7062014551599,-204.1943821523376,0.8198387347662778,0.7400055937610915,0.8622411234861224,-0.2197520775656973,-0.3513411363790945,-0.15976839049024416,-3.0797023059198105,-4.923849275316637,-2.239064522422097,-311.08104100200103,-497.3585126582461,-280.178992167593,-0.3059302834606399,-0.5113578809105537,-0.21754013911395464,-30.90204883440807,-51.65231120308623,-21.973751425651983,0.89378670026345,0.8602857964627678,0.9282284061859816,-0.11883517589290923,-0.16240440573550588,-0.07732104871571666,-0.27009795718030344,-0.3691255379280225,-0.1757413758025155,-43.21567314884855,-59.06008606848359,-28.118620128402483,0.883806673989482,0.8474362313357691,0.9213408779099777,-0.13146916563327604,-0.18002979224024054,-0.08537461429960355,-0.29881348517333767,-0.4091859060275506,-0.19404615463488512,-47.81015762773403,-65.46974496440811,-31.047384741581624,-0.02871552799303423,-0.04006036809952817,-0.01830477883236964,-4.594484478885477,-6.409658895924508,-2.9287646131791423,0.8602857964627678,0.8277093954999438,0.9282284061859816,-0.16240440573550588,-0.20815349618689677,-0.07732104871571666,-0.3175679037494732,-0.4070263312305261,-0.15119468739260153,-125.0267337596351,-160.24658709863235,-59.525467477402174,0.8474362313357691,-0.18002979224024054,-0.35203283725748785,0.8122050276372447,-0.23121621508433984,-0.4521235024670767,0.9213408779099777,-0.08537461429960355,-0.16694274501826184,-138.5956052194834,-178.00137892404595,-65.72549016467002,-0.03446493350801466,-0.0450971712365506,-0.01574805762566031,-13.568871459848292,-17.754791825413623,-6.200022687267839,0.8141
39035152400,39035152400,Census Tract 1524; Cuyahoga County; Ohio,1009,658,250,Cleveland city,Ohio,39530,0.5903488795599311,0.19943829736205085,39035,1009,658,250,0.01415599999999999,0.007698481651,0.00363660615,0.8185914229012754,0.7382997667431525,0.861262121343778,-0.2216106497375346,-0.3544633833642949,-0.1610867066111734,-3.1653544409037004,-5.062943707799103,-2.300866509556861,-313.712035768454,-501.7783654904958,-228.03434187877707,0.8023685708610289,0.7162357662576572,0.84849420766778,-0.24631003296513856,-0.39618830434148145,-0.17855842852322762,-3.518145710094392,-5.658917610984333,-2.550422172202383,-348.6764826654501,-560.8441636258011,-313.712035768454,-0.35279126919069137,-0.5959739031852305,-0.2495556626455224,-34.96444689699617,-59.06579813530531,-24.73296953870391,0.8829703548246812,0.8463616791973768,0.9207625218371436,-0.13254085432863222,-0.18152797388974623,-0.08605636772091735,-0.3171552669733648,-0.4343759010288748,-0.2059231503941616,-48.19988859777581,-66.01457462444905,-31.295311610054952,0.8720486918056659,0.832360745868817,0.9131926284680564,-0.1467249585907845,-0.2014021624196145,-0.09505921185278192,-0.3510962234944903,-0.4819325853508326,-0.2274659377001906,-53.35808867697421,-73.2420342478469,-34.569291443797965,-0.0339409565211255,-0.04755668432195781,-0.02154278730602901,-5.158200079198404,-7.227459623397843,-3.2739798337430113,0.8463616791973768,0.8109111838201846,0.9207625218371436,-0.18152797388974623,-0.23318067373176704,-0.08605636772091735,-0.3493724440333546,-0.44878428452295654,-0.16562584196279773,-139.74897761334185,-179.51371380918263,-66.25033678511909,0.832360745868817,-0.2014021624196145,-0.387622712964781,0.7940916312535352,-0.2593005147547298,-0.49905506373353553,0.9131926284680564,-0.09505921185278192,-0.18295289955179084,-155.04908518591242,-199.62202549341424,-73.18115982071633,-0.03825026893142641,-0.05027077921057898,-0.01732705758899311,-15.300107572570564,-20.108311684231595,-6.930823035597245,0.6892
39035154200,39035154200,Census Tract 1542; Cuyahoga County; Ohio,894,723,487,Cleveland city,Ohio,66281,0.6637868985614199,0.217845754427296,39035,894,723,487,0.01415599999999999,0.007698481651,0.00363660615,0.7944151806639369,0.7055021786541784,0.8422107314227817,-0.25878762684802226,-0.4174300664919391,-0.18735129189182656,-3.275077495220579,-5.282771179006341,-2.3710175298905027,-366.3397645660603,-590.9140021259889,-265.21448880206964,0.7763405806294799,0.6813153836881982,0.8278713398502936,-0.2880944587350702,-0.4677490394927685,-0.20791716280555497,-3.6459690511211664,-5.91958113033531,-2.6312881688678393,-407.8265157853654,-662.1455403059631,-366.3397645660603,-0.3708915559005877,-0.6368099513289689,-0.2602706389773366,-41.486751219305106,-71.23153817997415,-29.113046865473898,0.8666637714013339,0.825479474135561,0.9094485542368592,-0.1538500085022256,-0.21141715976305311,-0.09956741955472648,-0.40451263437094725,-0.5558720020853227,-0.261789255481368,-55.94918870967459,-76.88409434098517,-36.20874902923485,0.8543497695964715,0.8097983857601677,0.900857193010084,-0.17048079789653645,-0.23487526967751077,-0.11005385510509688,-0.4482394075772274,-0.6175496186889202,-0.2893608865195302,-61.99715180874515,-85.41488501921441,-40.02225263064041,-0.04372677320628015,-0.06167761660359749,-0.02757163103816218,-6.047963099070561,-8.530790678229252,-3.8135036014055577,0.825479474135561,0.7858515322480307,0.9094485542368592,-0.21141715976305311,-0.2725049948549056,-0.09956741955472648,-0.7926368779443489,-1.0216649802131177,-0.37329424285750695,-162.75911251424003,-209.78747026963404,-76.65179524794803,0.8097983857601677,-0.23487526967751077,-0.8805850985424788,0.7671398702038918,-0.30354325050817416,-1.1380323842848503,0.900857193010084,-0.11005385510509688,-0.4126095734802713,-180.81829538859935,-233.68221443220753,-84.7247584148401,-0.0879482205981299,-0.11636740407173284,-0.03931533062276432,-18.059182874359323,-23.89474416257348,-8.072963166892057,0.8081
39035124300,39035124300,Census Tract 1243; Cuyahoga County; Ohio,2585,1787,788,Cleveland city,Ohio,63911,0.625398851917339,0.19737319010852583,39035,2585,1787,788,0.01415599999999999,0.007698481651,0.00363660615,0.8069623302588332,0.7224604068143814,0.8521162426467994,-0.2392152179882423,-0.3841588972458745,-0.1735488070193941,-8.753664667800425,-14.057626408231569,-6.350716617950512,-338.6330625841557,-543.8153349412598,-245.67569121665423,0.7898390254058453,0.699351412637632,0.8385881633912221,-0.2660807681491391,-0.42989630381736094,-0.19248046139362843,-9.736762729881164,-15.73130721862768,-7.043487568697006,-376.66393539192126,-608.5612076838561,-338.6330625841557,-0.9830980620807388,-1.673680810396112,-0.6927709507464934,-38.030872807765526,-64.7458727425962,-26.79964993216609,0.8751497433379214,0.8363300820948021,0.91534522151908,-0.14266159318733893,-0.1957001444875029,-0.09248399018288368,-0.9271027965239744,-1.271779931661466,-0.6010178634389228,-51.88040271538748,-71.16843489991415,-33.63278474756144,0.8635562002825412,0.8215149858114474,0.9072843309396637,-0.1580022234485916,-0.21726324811014233,-0.1021903122302485,-1.0267956493646917,-1.4119102444081728,-0.6640955153354452,-57.459185750682245,-79.01008642463195,-37.162591792694194,-0.09969285284071738,-0.14013031274670684,-0.06307765189652237,-5.578783035294761,-7.841651524717786,-3.529807045132757,0.8363300820948021,0.7988527445787075,0.91534522151908,-0.1957001444875029,-0.251795160980979,-0.09248399018288368,-1.187196049490851,-1.5274910561786543,-0.5610452055301449,-150.65939714350898,-193.8440426622658,-71.19863014341941,0.8215149858114474,-0.21726324811014233,-1.3180065376619217,0.7811121708266099,-0.2802258591640592,-1.699963144309253,0.9072843309396637,-0.1021903122302485,-0.6199276719682488,-167.2597129012591,-215.73136349102197,-78.6710243614529,-0.130810488171071,-0.17247208813059878,-0.05888246643810391,-16.600315757750124,-21.88732082875619,-7.472394218033491,0.8202
39035101501,39035101501,Census Tract 1015.01; Cuyahoga County; Ohio,1374,838,334,Cleveland city,Ohio,40501,0.5409363088883051,0.2327713934060393,39035,1374,838,334,0.01415599999999999,0.007698481651,0.00363660615,0.8352710501464389,0.7612213308704852,0.8743227387365108,-0.19721616093923167,-0.3136783737477016,-0.14374241420863215,-3.835922172627418,-6.101152274753364,-2.7958394037483827,-279.1791974255763,-444.04310587724626,-203.4817615537397,0.8203707592881736,0.740733599337861,0.8626585889610562,-0.2189610474021388,-0.3500130153322278,-0.15920714497765692,-4.258867694571906,-6.807873552689104,-3.096633737073299,-309.9612587024677,-495.4784245043016,-279.1791974255763,-0.42294552194448753,-0.7067212779357401,-0.30079433332491634,-30.78206127689138,-51.43531862705532,-21.891872876631464,0.8941145133645693,0.8607086966570437,0.9284541996838332,-0.11842497247582048,-0.16183327051760693,-0.07705905185256352,-0.36089725593764727,-0.49318300041103424,-0.23483560753560875,-43.06649832191495,-58.8523866838943,-28.023342188020138,0.8841632485400944,0.84789448454799,0.921587410809644,-0.1310128549803127,-0.17939203311730115,-0.08508426685371917,-0.39925852517808824,-0.5466929072103293,-0.2592922572749031,-47.644215415046325,-65.2378170895381,-30.941796810847627,-0.03836126924044097,-0.05350990679929501,-0.02445664973929437,-4.5777170931313815,-6.385430405643796,-2.918454622827491,0.8607086966570437,0.8282206848743201,0.9284541996838332,-0.16183327051760693,-0.20740766110151773,-0.07705905185256352,-0.4161207348427728,-0.5333058404711314,-0.19814139070795955,-124.5870463601116,-159.67240732668603,-59.32376967304179,0.84789448454799,-0.17939203311730115,-0.4612694559465684,0.8127569279647792,-0.2303801611437448,-0.5923748660687272,0.921587410809644,-0.08508426685371917,-0.2187765688321563,-138.10462752891272,-177.35774433195428,-65.50196671621445,-0.04514872110379564,-0.05906902559759586,-0.02063517812419671,-13.51758116880109,-17.68533700526822,-6.178197043172669,0.9899
39035109301,39035109301,Census Tract 1093.01; Cuyahoga County; Ohio,1062,790,437,Cleveland city,Ohio,50086,0.521735674136917,0.2594717137232211,39035,1062,790,437,0.01415599999999999,0.007698481651,0.00363660615,0.8418436980121023,0.7703189331496699,0.8794510754637095,-0.18786896232799735,-0.2981636007714534,-0.1370729172998379,-2.8243603586194688,-4.482493776336976,-2.0607092787688877,-265.9473030715131,-422.0803932520693,-194.04042172965043,0.8274744857268559,0.7504774191558644,0.8682261312094423,-0.2084964760231818,-0.33248512809992087,-0.15177367284142468,-3.134467633688379,-4.998472360732193,-2.2817156157332863,-295.14761145841607,-470.6659473382479,-265.9473030715131,-0.3101072750689102,-0.5159785843952172,-0.22100633696439864,-29.200308386903036,-48.58555408617864,-20.810389544670304,0.8984827364526135,0.8663490183135281,0.9314603211412416,-0.11298743918908968,-0.15426921351702186,-0.07358303655359394,-0.3246037448199577,-0.4432029327990152,-0.21139809338051485,-41.08908162277945,-56.10163706316648,-26.759252326647452,0.8889159740148826,0.8540084667883656,0.924870218866662,-0.1249657214319084,-0.17094857825082077,-0.08123278228744579,-0.3590163777677872,-0.4911213942905459,-0.23337519216202776,-45.44511110984648,-62.1672651000691,-29.541163564813644,-0.03441263294782953,-0.04791846149153073,-0.02197709878151291,-4.35602948706703,-6.065628036902623,-2.7819112381661912,0.8663490183135281,0.8350460265277438,0.9314603211412416,-0.15426921351702186,-0.19753878017737703,-0.07358303655359394,-0.5189981160842724,-0.6645671707811729,-0.24755073599219216,-118.7638709574994,-152.07486745564597,-56.64776567327053,0.8540084667883656,-0.17094857825082077,-0.5751114434097464,0.8201276521661399,-0.21932237909400704,-0.7378523489545802,0.924870218866662,-0.08123278228744579,-0.2732862896641161,-131.60444929284813,-168.84493111088793,-62.53690838995792,-0.05611332732547403,-0.0732851781734073,-0.02573555367192392,-12.840578335348749,-16.77006365524194,-5.889142716687398,0.8892
39035121900,39035121900,Census Tract 1219; Cuyahoga County; Ohio,671,527,272,Cleveland city,Ohio,44015,0.5903056986602033,0.21003407043172945,39035,671,527,272,0.01415599999999999,0.007698481651,0.00363660615,0.8186058525887427,0.738319493162709,0.8612734492198636,-0.22158911622439548,-0.3544271948128323,-0.16107143544921082,-2.104803220141876,-3.3665890891159744,-1.529965378186968,-313.68155292725424,-501.7271369770454,-228.0127240219028,0.8023841289665145,0.7162568168734256,0.848506483614509,-0.2462858672043008,-0.3961472707026488,-0.1785413774802894,-2.339389655952679,-3.762874572688753,-1.6959066972789654,-348.64227361440817,-560.7860764066695,-313.68155292725424,-0.2345864358108032,-0.3962854835727785,-0.1659413190919974,-34.96072068715397,-59.05893942962421,-24.73044993919484,0.8829800326447432,0.8463741118512357,0.920769215583096,-0.13252844122052576,-0.18151061805605723,-0.08604847238157215,-0.25398962329483565,-0.34786354596412933,-0.16491116083471033,-48.19537443924775,-66.0082629912959,-31.292440386093045,0.8720592057356,0.8323741955641228,0.913199931056608,-0.14671113316954124,-0.201382749884831,-0.0950504549895891,-0.2811706310261725,-0.3859483165293915,-0.18216338345545577,-53.353060915782265,-73.23497467350883,-34.566106917543785,-0.02718100773133686,-0.03808477056526216,-0.01725222262074544,-5.157686476534508,-7.226711682212934,-3.2736665314507474,0.8463741118512357,0.8109261512879797,0.920769215583096,-0.18151061805605723,-0.2331579126061203,-0.08604847238157215,-0.38008087621801345,-0.48822964005956054,-0.1801843833175029,-139.7356162566226,-179.49619119836785,-66.24425857261136,0.8323741955641228,-0.201382749884831,-0.42169286211003193,0.7941077539897059,-0.25927494722959615,-0.5429183712766027,0.913199931056608,-0.0950504549895891,-0.19903441795458243,-155.03414048162938,-199.6023423811039,-73.17441836565531,-0.04161198589201848,-0.05468873121704215,-0.01885003463707957,-15.298524225006792,-20.106151182736088,-6.93015979304396,0.454
