geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
32003002905,32003002905,Census Tract 29.05; Clark County; Nevada,3719,2177,1113,Las Vegas city,Nevada,85813,0.24180905417795096,0.1519899386787057,32003,3719,2177,1113,0.01109,0.007296424454,0.004052580321,0.9437544300608114,0.9159944944229096,0.9577256556042736,-0.05959767514475603,-0.09170961844046374,-0.04414034869834783,-2.458029230344526,-3.782444907169139,-1.8205117410135352,-66.09382173553445,-101.7059668504743,-48.951646706467734,0.938306886141232,0.907992266707067,0.9535977850019204,-0.06574939901856605,-0.10133096576539036,-0.04866015392221815,-2.711749145796023,-4.179264966047688,-2.0069252769233277,-72.91608351158975,-112.37604103381793,-66.09382173553445,-0.2537199154514971,-0.3968200588785491,-0.18641353590979248,-6.8222617760553135,-10.670074183343615,-5.012463993272183,0.964645185794048,0.9529040425501192,0.9764083485735784,-0.03665058896950753,-0.04942360966781579,-0.02416166500510399,-0.32334862486489857,-0.4360381830492171,-0.213165500842201,-14.852945561088587,-20.02931479325756,-9.791708812227885,0.9611791940060452,0.9483182016493888,0.9740800136735386,-0.04038872900708095,-0.05449837223489135,-0.02660970963638769,-0.3563282433290771,-0.4808101101509877,-0.23476329469462867,-16.367856836429816,-22.085903084565352,-10.783798561994884,-0.03297961846417852,-0.04477192710177052,-0.02159779385242766,-1.5149112753412273,-2.0565882913077873,-0.9920897497670031,0.9529040425501192,0.9411851063549316,0.9764083485735784,-0.04942360966781579,-0.06249025111845378,-0.02416166500510399,-0.4013652008481298,-0.5074783561901804,-0.19621495865596028,-36.0615634185202,-45.595539639728706,-17.629376339259682,0.9483182016493888,-0.05449837223489135,-0.4425769437920537,0.9354973266029588,-0.06895014187936568,-0.5599386149640105,0.9740800136735386,-0.02660970963638769,-0.21609533428461863,-39.76432558778559,-50.30895013153734,-19.415573610477868,-0.04121174294392382,-0.05246025877383009,-0.01988037562865838,-3.702762169265393,-4.7134104918086335,-1.7861972712181835,0.8893
32003000105,32003000105,Census Tract 1.05; Clark County; Nevada,2517,1707,586,Las Vegas city,Nevada,72487,0.22370671068335415,0.1495014090013097,32003,2517,1707,586,0.01109,0.007296424454,0.004052580321,0.950754359690684,0.9263121309602408,0.963020977743279,-0.05179638652967886,-0.07954971826113538,-0.03839897895410003,-1.4458199892877868,-2.22051344717375,-1.07185105100464,-57.442192661413856,-88.22063755159913,-42.58446766009694,0.9459651959836785,0.91924883206870045,0.9593991344936712,-0.05712134468132573,-0.08784473269286101,-0.04231905579918651,-1.5944583684025262,-2.4520565813641566,-1.1812742336222666,-63.34757125159024,-97.41980855638286,-57.442192661413856,-0.14863837911473943,-0.23154313419040665,-0.10942318261762662,-5.905378590176378,-9.199171004783734,-4.347365221200899,0.9690877928171396,0.9587902403045768,0.979388625122832,-0.03189825257523743,-0.04298099622116738,-0.02104514423432589,-0.22066428373780597,-0.2973319846631332,-0.1455851435019172,-12.927023066069475,-17.41839394628783,-8.528713737663574,0.9660496228237128,0.954763845669941,0.9773509991283852,-0.03514351268732132,-0.04737941694714843,-0.02317386577781511,-0.2431141968321609,-0.3277591799079782,-0.1603111167684258,-14.242190792745218,-19.20088927404676,-9.39139524126689,-0.02244991309435493,-0.03042719524484499,-0.01472597326650859,-1.3151677266757429,-1.7824953277589335,-0.8626815036033155,0.9587902403045768,0.948496000690204,0.979388625122832,-0.04298099622116738,-0.05430070266223308,-0.02104514423432589,-0.18377404884484863,-0.2321737712176228,-0.08998282274716544,-31.36075918854072,-39.62009747741003,-15.355430502929256,0.954763845669941,-0.04737941694714843,-0.2025803971476494,0.9434938082948624,-0.05989036833983977,-0.2560735311947303,0.9773509991283852,-0.02317386577781511,-0.09908460751960886,-34.57003364294358,-43.698554811387424,-16.908636095496394,-0.01880634830280075,-0.02389975997710752,-0.00910178477244341,-3.2092744544028595,-4.0784573339773935,-1.5532055925671358,0.758
32003003609,32003003609,Census Tract 36.09; Clark County; Nevada,3553,2138,1118,Las Vegas city,Nevada,84075,0.24048135615302593,0.14449483423145948,32003,3553,2138,1118,0.01109,0.007296424454,0.004052580321,0.94426607682292,0.9167473100416016,0.9581130442153324,-0.05902353642164362,-0.09081312707055618,-0.04371817713740851,-2.3256908302086465,-3.578288758941899,-1.722617278564566,-65.45710189160278,-100.7117579212468,-48.483458445386034,0.9388664640822186,0.9088131632636648,0.9540220844121756,-0.065114197020065,-0.10033617515933796,-0.04819376442019563,-2.5656797289163067,-3.953523232483107,-1.8989678148831517,-72.21164449525209,-111.2728182517058,-65.45710189160278,-0.23998889870766016,-0.3752344735412083,-0.17635053631858555,-6.754542603649314,-10.561060330459002,-4.9634262966109075,0.9649703310677332,0.953334529046736,0.9766266254138004,-0.03630129114281324,-0.04894973331127103,-0.02393276404510905,-0.3145295141640045,-0.42412088805000314,-0.20736344109898627,-14.711389811225652,-19.837272593545517,-9.698944859634532,0.9615355747328244,0.9487894685560057,0.97431954832381,-0.0400031223783513,-0.05397459936178832,-0.026357319547134,-0.3466037226391328,-0.4676584215055121,-0.22837080034456908,-16.211586652906117,-21.873639920744253,-10.681515451102388,-0.03207420847512832,-0.04353753345550898,-0.0210073592455828,-1.500196841680464,-2.0363673271987364,-0.982570591467858,0.953334529046736,0.9417193962283992,0.9766266254138004,-0.04894973331127103,-0.06188744121127341,-0.02393276404510905,-0.39930267882473447,-0.5048407701044546,-0.19522919020055007,-35.71580311491364,-45.155703944942275,-17.462360483054567,0.9487894685560057,-0.05397459936178832,-0.44029253390623335,0.9360815103330732,-0.06828303834799994,-0.557012230429667,0.97431954832381,-0.026357319547134,-0.21500726541010165,-39.38215866782051,-49.82220307957665,-19.231419088560077,-0.04098985508149888,-0.05217146032521236,-0.01977807520955157,-3.666355552906877,-4.666499134634379,-1.7690586055055075,0.8792
32003002204,32003002204,Census Tract 22.04; Clark County; Nevada,2397,1473,451,Las Vegas city,Nevada,38798,0.2204661671510817,0.15281069643506073,32003,2397,1473,451,0.01109,0.007296424454,0.004052580321,0.9520129016272126,0.9281713421807368,0.9639719909725508,-0.05040593283007635,-0.07738728244992124,-0.03737453926550362,-1.3399273028200551,-2.057165234799995,-0.9935172861692808,-55.90017950855467,-85.82249623696266,-41.44836404544351,0.9473427097295412,0.9212785734571058,0.9604413661385064,-0.05558420382576435,-0.08544801627969195,-0.04118797383804992,-1.4775798825652606,-2.271441545798655,-1.0948887877839446,-61.642882042772655,-94.76185005417835,-55.90017950855467,-0.13765257974520528,-0.2142763109986605,-0.10137150161466368,-5.742702534217992,-8.939353817215709,-4.229098940953846,0.9698852308775512,0.9598477730874682,0.9799230906701708,-0.03104982750917973,-0.04183186963426218,-0.0204882500687871,-0.18535041806299743,-0.2497132881905705,-0.12230360102664692,-12.583191993414625,-16.95270116704484,-8.303027904049351,0.9669240906213398,0.9559223104297854,0.977937704080134,-0.03420734853902114,-0.04611011699308198,-0.02256002179670347,-0.20419908454112148,-0.27525207536417795,-0.13467094045186173,-13.862802752282516,-18.686495272517178,-9.142630037465157,-0.01884866647812405,-0.02553878717360744,-0.01236733942521479,-1.2796107588678924,-1.7337941054723314,-0.8396021334158045,0.9598477730874682,0.9498107214712468,0.9799230906701708,-0.04183186963426218,-0.05284134764346567,-0.0204882500687871,-0.13765560752674277,-0.17388435840877228,-0.06742042693852598,-30.522307655597068,-38.55529011280982,-14.949096882156535,0.9559223104297854,-0.04611011699308198,-0.15173398232751106,0.944932473859651,-0.05827667866617114,-0.19177033387630585,0.977937704080134,-0.02256002179670347,-0.07423798011882833,-33.64389852051243,-42.52113833177513,-16.460749472024023,-0.01407837480076829,-0.01788597546753353,-0.00681755318030234,-3.121590864915363,-3.965848218965308,-1.5116525898674826,0.9327
32003005806,32003005806,Census Tract 58.06; Clark County; Nevada,3133,2095,1085,Las Vegas city,Nevada,56545,0.3169318368976798,0.16752711523412112,32003,3133,2095,1085,0.01109,0.007296424454,0.004052580321,0.9152519443689876,0.8743911618248369,0.9360599847364842,-0.0925953297913409,-0.1436529137749059,-0.0683076045404461,-3.2172219557402455,-4.991216179521692,-2.373345670529663,-102.68822073859704,-159.31108137637065,-75.75313343535471,0.907182630171624,0.8627328505494689,0.929895290409538,-0.10231387456218884,-0.1591073637257542,-0.07538989638240569,-3.554892502247014,-5.528180579430417,-2.6194196881097938,-113.4660868894674,-176.4500663718614,-102.68822073859704,-0.3376705465067684,-0.536964399908725,-0.2460740175801308,-10.77786615087036,-17.138984995490745,-7.854261652733189,0.946425427964814,0.9288606183662956,0.9641371204021778,-0.05660728299575855,-0.07658778962857343,-0.03719686633667049,-0.4806046504916976,-0.6502422642176655,-0.315807189447008,-22.940556109388908,-31.037816907764466,-15.074328851885822,0.9412284375511422,0.9220311746397364,0.9606223447813176,-0.06244133740982986,-0.08456202729883644,-0.04099181684936417,-0.530136681252375,-0.717944784205096,-0.34802691044868705,-25.304853520399764,-34.26944077351293,-16.612263028576947,-0.04953203076067741,-0.06770251998743049,-0.03221972100167908,-2.3642974110108548,-3.231623865748472,-1.5379341766911256,0.9288606183662956,0.9114429845079388,0.9641371204021778,-0.07658778962857343,-0.0971613331796839,-0.03719686633667049,-0.6063164679192479,-0.7691894052241035,-0.2944734757888914,-55.88170211237308,-70.89303273954872,-27.140412515105194,0.9220311746397364,-0.08456202729883644,-0.6694454815914046,0.9030305793981588,-0.10738221142684684,-0.8501042198166961,0.9606223447813176,-0.04099181684936417,-0.3245166589378451,-61.700044386304576,-78.35061933794434,-29.90936948735899,-0.06312901367215673,-0.08091481459259264,-0.03004318314895371,-5.818342273931496,-7.457586598395634,-2.7689569722537986,0.4195
32003001005,32003001005,Census Tract 10.05; Clark County; Nevada,874,763,295,Las Vegas city,Nevada,94895,0.31284597191101465,0.19919959267213272,32003,874,763,295,0.01109,0.007296424454,0.004052580321,0.916779795813168,0.8766045465676439,0.9372256572708008,-0.09077447448873702,-0.14076524461972345,-0.06697889909672128,-0.8798461178980017,-1.3643896559158086,-0.6492036961188264,-100.66889220800934,-156.10865628327332,-74.27959909826389,0.9088485884061056,0.8651354152685867,0.9311691649185786,-0.10029328620485777,-0.1558884104744963,-0.07391872247771432,-0.9721087234663766,-1.510973360669731,-0.7164690446108425,-111.22525440118724,-172.8802472162164,-100.66889220800934,-0.09226260556837484,-0.14658370475392268,-0.06726534849201604,-10.5563621931779,-16.7715909329431,-7.696264129521287,0.9474074765816816,0.9301525793340748,0.9648005586746344,-0.05551204177538927,-0.07509243345423099,-0.03648364525588544,-0.1716498271631115,-0.23219472408940797,-0.11281176483819026,-22.49670080774725,-30.431811807261855,-14.785290280234635,0.9423028148862432,0.9234419807204914,0.9613494914620124,-0.0612299827637915,-0.08290506699703663,-0.04020443021112781,-0.1893303799044312,-0.2563523150268368,-0.12431687389295408,-24.813942320371066,-33.597944302337716,-16.293168269063443,-0.01768055274131969,-0.02415759093742883,-0.01150510905476381,-2.3172415126238124,-3.166132495075863,-1.5078779888288096,0.9301525793340748,0.9130361913527288,0.9648005586746344,-0.07509243345423099,-0.09524683629290548,-0.03648364525588544,-0.16163234899091652,-0.2050135969206386,-0.07852904761775056,-54.790626776581874,-69.49613454936902,-26.62001614161036,0.9234419807204914,-0.08290506699703663,-0.17844861466831752,0.9047670831872034,-0.10525683193217156,-0.22655956412583708,0.9613494914620124,-0.04020443021112781,-0.08653783338672476,-60.49105581976865,-76.79985224604647,-29.334858775160935,-0.01681626567740099,-0.02154596720519847,-0.00800878576897419,-5.7004290431867775,-7.303717696677447,-2.714842633550574,0.5093
32003000510,32003000510,Census Tract 5.10; Clark County; Nevada,3407,2308,908,Las Vegas city,Nevada,53727,0.2498264981224593,0.1586498205916558,32003,3407,2308,908,0.01109,0.007296424454,0.004052580321,0.9406706836831704,0.9114616578967222,0.9553896952029708,-0.06307129301035208,-0.09713885530586971,-0.04669330747549232,-2.383062398724729,-3.6702585675005177,-1.7642426531302358,-69.94606394848046,-107.72699053420948,-51.782877990320976,0.9349348966782642,0.9030509305605662,0.9510396157890856,-0.0695931915183677,-0.1073572554531924,-0.05148090931027261,-2.629483398849143,-4.056346817858904,-1.9451356294428952,-77.17884939386977,-119.05919629759036,-69.94606394848046,-0.24642100012441404,-0.386088250358386,-0.18089297631265944,-7.232785445389316,-11.332205763380864,-5.309450434771336,0.9626840888727134,0.9503086326154092,0.975091297327816,-0.03876236405961887,-0.05228971481384071,-0.0255449953665314,-0.36255816645220057,-0.48908428541809024,-0.2389314198657946,-15.708759378344912,-21.190826924527308,-10.352314552244133,0.9590299569069004,0.9454773773879288,0.9726348095110252,-0.04272029543815057,-0.05766676592802346,-0.0281351132217158,-0.3995781052086963,-0.5393777553901337,-0.26315771264366594,-17.31274285999551,-23.369920077562117,-11.401980617143238,-0.03701993875649578,-0.05029346997204342,-0.02422629277787133,-1.6039834816505971,-2.1790931530348105,-1.0496660648991043,0.9503086326154092,0.9379651767856144,0.975091297327816,-0.05228971481384071,-0.06613766134365205,-0.0255449953665314,-0.3464273821052372,-0.43817215219883954,-0.16923951301366616,-38.15279538603934,-48.25684495581933,-18.63871288696764,0.9454773773879288,-0.05766676592802346,-0.38205117059909455,0.9319774114892244,-0.07298737895597825,-0.4835525821561703,0.9726348095110252,-0.0281351132217158,-0.1863994411393032,-42.07612011003244,-53.254689664776464,-20.52857281269859,-0.03562378849385733,-0.04538042995733077,-0.01715992812563704,-3.9233247239930984,-4.997844708957134,-1.8898599257309523,0.9677
32003000108,32003000108,Census Tract 1.08; Clark County; Nevada,2443,1552,485,Las Vegas city,Nevada,54149,0.26693325459394585,0.19148686210434088,32003,2443,1552,485,0.01109,0.007296424454,0.004052580321,0.934124563473082,0.901864830726102,0.9504245054257302,-0.0705210408791655,-0.10881361145315792,-0.05216142291287313,-1.9106173928039163,-2.9480730293309185,-1.4132026499934929,-78.20783433499452,-120.67429510155212,-57.847018010376296,0.9277805667064152,0.8925973570556993,0.945604190260542,-0.07784107135371554,-0.12032597015363852,-0.05752492459288962,-2.108938026846939,-3.259975866996408,-1.5585153037549615,-86.32574813127053,-133.44150090038508,-78.20783433499452,-0.1983206340430228,-0.3119028376654893,-0.14531265376146862,-8.117913796276005,-12.767205798832965,-5.948123363138298,0.9585130304311814,0.9447944358340548,0.972287051771528,-0.0432826349268887,-0.05843129687487029,-0.02850284612756935,-0.272230662254983,-0.36750975700838384,-0.17927163377569005,-17.540635454573646,-23.679752384560818,-11.551007330907863,0.9544601997420707,0.939444351702262,0.9695583532415694,-0.047712623606763,-0.06445900514278663,-0.03139743642726987,-0.30009353969165814,-0.40542165900849286,-0.1974774624082438,-19.335923949204776,-26.12252957528949,-12.724063299500244,-0.02786287743667515,-0.03791190200010902,-0.01820582863255376,-1.7952884946311305,-2.442777190728674,-1.1730559685923818,0.9447944358340548,0.9311316188272324,0.972287051771528,-0.05843129687487029,-0.07396202618434103,-0.02850284612756935,-0.2067746785474176,-0.2617342932116249,-0.10086489879449116,-42.63395433967373,-53.96583365188142,-20.796886349379623,0.939444351702262,-0.06445900514278663,-0.22810532678110496,0.924511210790256,-0.08165264880370421,-0.2889496059806323,0.9695583532415694,-0.03139743642726987,-0.11110817612630852,-47.03202614043401,-59.57723834652212,-22.90890229408423,-0.02133064823368735,-0.0272153127690074,-0.01024327733181734,-4.398071800760279,-5.611404694640702,-2.1120159447046074,0.9534
32003001501,32003001501,Census Tract 15.01; Clark County; Nevada,2436,1700,1042,Las Vegas city,Nevada,53009,0.18651273417113065,0.1059163416916004,32003,2436,1700,1042,0.01109,0.007296424454,0.004052580321,0.9653001173079988,0.9478774061127404,0.9739930672268154,-0.03594724798000786,-0.0549887501813291,-0.02670135306736046,-0.9711235315194277,-1.4855342834486491,-0.7213434614394791,-39.86549800982872,-60.98252395109397,-29.611800551702753,0.9618970545326584,0.9428169649247052,0.971429867656302,-0.03961229040861754,-0.06065125809425944,-0.02941039110999032,-1.070135532338501,-1.6385082937183613,-0.794528774330255,-43.93003006315685,-67.26224522653372,-39.86549800982872,-0.09901200081907335,-0.15297401026971214,-0.0731853128907759,-4.064532053328135,-6.279721275439743,-3.0043231892765148,0.9782801046950692,0.9709986642498768,0.9855406267528848,-0.02220212309408131,-0.02986753413561854,-0.01467151414625615,-0.15295900813033902,-0.20576898782716585,-0.10107773216426436,-8.997588713549355,-12.104058107480345,-5.9457489508390795,0.9761342324593072,0.9681451980495054,0.984106238695451,-0.02444926808945595,-0.03290291788325922,-0.01615045274544551,-0.16844045862771018,-0.226680919779198,-0.11126671185143594,-9.908262272218243,-13.33417175171753,-6.54510069714329,-0.01548145049737115,-0.02091193195203217,-0.01018897968717158,-0.9106735586688912,-1.2301136442371865,-0.5993517463042108,0.9709986642498768,0.9636960262946452,0.9855406267528848,-0.02986753413561854,-0.03767160257466382,-0.01467151414625615,-0.22707910711861476,-0.2864124583415266,-0.11154567756689622,-21.792620644780687,-27.48680022471465,-10.704959459395033,0.9681451980495054,-0.03290291788325922,-0.25015674814672395,0.960138921139498,-0.04151594939323438,-0.3156405438959423,0.984106238695451,-0.01615045274544551,-0.12278986180595176,-24.007365465136655,-30.29179883838218,-11.784055835504008,-0.02307764102810919,-0.02922808555441569,-0.01124418423905554,-2.2147448203559685,-2.804998613667533,-1.0790963761089774,0.9972
32003000528,32003000528,Census Tract 5.28; Clark County; Nevada,1523,895,308,Las Vegas city,Nevada,36503,0.24433962305881143,0.14583175606289128,32003,1523,895,308,0.01109,0.007296424454,0.004052580321,0.9427800080479628,0.9145613528070716,0.9569877335005283,-0.06069283551155455,-0.09342035603263887,-0.04494547316937766,-1.025106240288642,-1.577876352816193,-0.7591321880139104,-67.30835458231398,-103.60317484019652,-49.84452974483981,0.937241263979322,0.9064297053232708,0.9527896003818672,-0.06696113202935393,-0.10322951038255976,-0.04954965881156922,-1.1309782072550298,-1.743553656427161,-0.8368972058035208,-74.2598954205535,-114.48152701425876,-67.30835458231398,-0.1058719669663879,-0.165677303610968,-0.07776501778961042,-6.95154083823952,-10.878352174062243,-5.1060418771904414,0.9640257680449316,0.95208408119005,0.975992451883552,-0.03731667051600207,-0.05032740254417228,-0.02459808789516365,-0.13534978009765986,-0.18254047783601435,-0.08921872560966083,-15.122880457839088,-20.395584115755792,-9.968572693816853,0.9605003044233902,0.9474206234438284,0.9736236279537436,-0.04112408439091789,-0.05549739498497299,-0.02709093256260792,-0.1491594963339905,-0.2012923474506647,-0.09826042126178287,-16.66586551217771,-22.490765078286564,-10.978818018076298,-0.01380971623633065,-0.01875186961465039,-0.00904169565212204,-1.54298505433862,-2.0951809625307702,-1.0102453242594458,0.95208408119005,0.9401675986784936,0.975992451883552,-0.05032740254417228,-0.06364014395476637,-0.02459808789516365,-0.11310070791391696,-0.1430184148031524,-0.05527925173229335,-36.72100906296005,-46.43455026076376,-17.94780900399135,0.9474206234438284,-0.05549739498497299,-0.1247192253697094,0.9343848922282594,-0.07022278326361425,-0.1578115717740337,0.9736236279537436,-0.02709093256260792,-0.06088141839209503,-40.49325499016539,-51.237523303257696,-19.76669428314774,-0.01161851745579245,-0.01479315697088132,-0.00560216665980167,-3.772245927205342,-4.802973042493935,-1.8188852791563888,0.9721
32003003249,32003003249,Census Tract 32.49; Clark County; Nevada,2325,1984,636,Las Vegas city,Nevada,61147,0.2923777355253258,0.17857369101415824,32003,2325,1984,636,0.01109,0.007296424454,0.004052580321,0.9244720800599217,0.8877771714595213,0.9430870077687158,-0.08169843261808725,-0.12640877930661634,-0.06034755198879979,-2.106532811232916,-3.259355567836622,-1.5560163673672107,-90.60356177345876,-140.18733625103752,-66.92543515557895,0.9172404094923284,0.8772722069409031,0.9375769851836098,-0.0902267166287158,-0.13989704915770157,-0.06657908182778789,-2.326428218233965,-3.607140489744466,-1.7166916906181398,-100.06142874124582,-155.145827515891,-90.60356177345876,-0.21989540700104904,-0.34778492190784416,-0.16067532325092904,-9.457866967787057,-14.95849126485351,-6.910766591437809,0.95234243203718,0.9366517876261302,0.9681309463395916,-0.05004247039678199,-0.06763261781031861,-0.03291812309161498,-0.4023574433965399,-0.5437878461356896,-0.26467222228514375,-20.280113074422378,-27.40866159958113,-13.340333784533456,0.9477034212247656,0.9305420067888244,0.9650004432843536,-0.05518243113193445,-0.07464251232554868,-0.03626895402920883,-0.4436843691889072,-0.6001496366960687,-0.2916139731342583,-22.363123447021533,-30.249477656051848,-14.698284936202535,-0.0413269257923673,-0.05636179056037904,-0.02694175084911454,-2.083010372599158,-2.840816056470718,-1.35795115166908,0.9366517876261302,0.9210594164347272,0.9681309463395916,-0.06763261781031861,-0.08570628795136713,-0.03291812309161498,-0.31385091820079963,-0.3977222535516696,-0.1527574045222609,-49.347628647924466,-62.53494552699207,-24.018459830544167,0.9305420067888244,-0.07464251232554868,-0.34638051562472255,0.9135165327912628,-0.09467093818705818,-0.43932294562766655,0.9650004432843536,-0.03626895402920883,-0.16830702245142265,-54.462345224012985,-69.07593484711738,-26.46336830997212,-0.03252959742392292,-0.04160069207599698,-0.01554961792916176,-5.114716576088509,-6.540989320125311,-2.44490847942795,0.1857
