geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
40017301406,40017301406,Census Tract 3014.06; Canadian County; Oklahoma,3859,2793,1036,Oklahoma City city,Oklahoma,268431,0.6577713043070702,0.19140567284023136,40017,3859,2793,1036,0.00987399999999999,0.00771700047899999,0.003791914842,0.7963684118284704,0.7081330732631721,0.8437553307671904,-0.25570023263980207,-0.41216395301502584,-0.18517769729613795,-9.74314183065258,-15.704998819319536,-7.055967646190872,-252.4784097085405,-406.9706872070364,-182.8444583102066,0.7784405087585071,0.6841106735586688,0.8295416241894267,-0.2846196835193561,-0.46175178761370506,-0.20548501827998564,-10.8450818198156,-17.594482065314313,-7.829753053046294,-281.0334755070122,-455.9337150897723,-252.4784097085405,-1.1019399891630215,-1.8894832459947768,-0.7737854068554215,-28.555065798471663,-48.96302788273586,-20.051448739451192,0.8679881072641678,0.8271704687935257,0.910370074598262,-0.15208951785286973,-0.20894064491755343,-0.0984543845438801,-1.6107524266645654,-2.212852375239864,-1.042712483139277,-57.67105000589206,-79.22851325599227,-37.333064201191426,0.8557859501923746,0.8116233316905764,0.901861340322362,-0.16851649618132564,-0.23209863609643044,-0.10881790280816273,-1.7847275669561111,-2.4581144486204782,-1.1524706205089048,-63.900020299180504,-88.00982630220116,-41.262822073358556,-0.17397514029154593,-0.24526207338061431,-0.10975813736962814,-6.228970293288433,-8.781313046208892,-3.9297578721671376,0.8271704687935257,0.7878748163274035,0.910370074598262,-0.20894064491755343,-0.26923716722079777,-0.0984543845438801,-1.6704412789601364,-2.1525006689501693,-0.7871243438614247,-161.23950569113285,-207.7703348407499,-75.97725326847728,0.8116233316905764,-0.23209863609643044,-1.8555850762249304,0.7693127688066113,-0.2998614354877276,-2.3973359515789485,0.901861340322362,-0.10881790280816273,-0.8699787291857642,-179.11052859314,-231.40308412924216,-83.9747808094367,-0.18514379726479424,-0.2448352826287792,-0.08285438532433953,-17.871022902007166,-23.6327492884922,-7.997527540959414,0.2884
40109108529,40109108529,Census Tract 1085.29; Oklahoma County; Oklahoma,1534,1262,715,Oklahoma City city,Oklahoma,81778,0.49136856520852673,0.19753434236234843,40109,1534,1262,715,0.013355,0.00771700047899999,0.003791914842,0.8523445314607865,0.7849298880704384,0.8876233660375155,-0.17323448803754854,-0.2739991369907697,-0.1266039609391433,-3.5489804655954007,-5.6133024999009935,-2.5936809080570256,-231.3546587741461,-365.92584745117296,-169.0795898342259,0.8388352976870662,0.7661502591385155,0.8771050243829177,-0.19212913757601255,-0.3052269944076411,-0.14011432177525646,-3.936067025990611,-6.253054186821748,-2.8704618610513157,-256.58846323276475,-407.63065103140474,-231.3546587741461,-0.3870865603952107,-0.6397516869207545,-0.2767809529942902,-25.233804458618692,-41.70480358023171,-18.043086896629084,0.905434986440725,0.8753451220384797,0.9362345888424928,-0.10444152807813532,-0.14240654894063665,-0.06810836933117696,-0.49979412611608903,-0.6814718052358114,-0.32592555430251013,-39.60333804406411,-53.99935065259995,-25.82611365313075,0.8964849415314506,0.8637682721137497,0.930086091809009,-0.11546770466854275,-0.15771791148669315,-0.07516928680764277,-0.5525587533176518,-0.7547427464425301,-0.3597148442972708,-43.784370310432,-59.8052889415634,-28.503553430845542,-0.05276462720156277,-0.07327094120671873,-0.03378928999476066,-4.1810322663678905,-5.80593828896345,-2.6774397777147914,0.8753451220384797,0.8459557785914322,0.9362345888424928,-0.14240654894063665,-0.18209488640772775,-0.06810836933117696,-0.7857502555671554,-1.0047368228267983,-0.3757985079081101,-109.89514063876298,-140.52263256318858,-52.55923187526015,0.8637682721137497,-0.15771791148669315,-0.8702330769201287,0.8319216518024922,-0.202036270883609,-1.114766509416692,0.930086091809009,-0.07516928680764277,-0.4147582169449774,-121.71091984896904,-155.91139991841845,-58.008142230066774,-0.08448282135297336,-0.11002968658989354,-0.03895970903686729,-11.815779210206063,-15.388767355229866,-5.448910354806615,0.0985
40109106903,40109106903,Census Tract 1069.03; Oklahoma County; Oklahoma,3172,1667,724,Oklahoma City city,Oklahoma,131825,0.45469503294593705,0.29328639184874783,40109,3172,1667,724,0.013355,0.00771700047899999,0.003791914842,0.8652008634617472,0.8029450617693737,0.8975941191152795,-0.15580097319703223,-0.24541521906417235,-0.11408929571158244,-6.600050174631071,-10.396294234909613,-4.833057590291797,-208.07219970463655,-327.7520250602022,-152.36625442281832,0.8527635691335738,0.7855148769789616,0.8879489506712827,-0.1726579748429235,-0.27305036391663773,-0.12619086856739636,-7.314147489774416,-11.566975899258445,-5.345705145704159,-230.58472540272433,-364.6587610106697,-208.07219970463655,-0.714097315143345,-1.1706816643488305,-0.5126475554123617,-22.5125256980878,-36.906735950467535,-16.161650548939523,0.913902780713914,0.8863340902444965,0.9420329752173434,-0.09420829119135564,-0.12824273714232137,-0.0615339656972014,-0.5955021059524682,-0.810637992427238,-0.3889637068764995,-35.72298176079593,-48.628553834867304,-23.333155781433685,0.9057117430021044,0.8757037285492854,0.936424387860672,-0.10410404604600172,-0.14193872584809847,-0.06789187996755515,-0.6580543800825803,-0.8972120085170221,-0.42915285890952487,-39.47536773140854,-53.82195611979736,-25.744022730025485,-0.0625522741301121,-0.0865740160897841,-0.04018915203302531,-3.752385970612604,-5.19340228493006,-2.4108669485918,0.8863340902444965,0.8593213697452607,0.9420329752173434,-0.12824273714232137,-0.16370898619272364,-0.0615339656972014,-0.7165060671038291,-0.9146598432028772,-0.34379693335829264,-98.9649263955565,-126.33423248658524,-47.485764276007274,0.8757037285492854,-0.14193872584809847,-0.7930270399195001,0.8463912661027425,-0.18148667176654337,-1.0139856986590805,0.936424387860672,-0.06789187996755515,-0.3793192892463995,-109.53412153584254,-140.05327329545307,-52.39216702298336,-0.07652097281567094,-0.09932585545620298,-0.03552235588810687,-10.56919514028604,-13.719040808867817,-4.906402746976087,0.6928
40109101200,40109101200,Census Tract 1012; Oklahoma County; Oklahoma,1182,641,371,Oklahoma City city,Oklahoma,37156,0.4743112463250466,0.23053906016560857,40109,1182,641,371,0.013355,0.00771700047899999,0.003791914842,0.8583002349978115,0.7932581337836764,0.8922470354642582,-0.16509347105392533,-0.26062369537921776,-0.12076584202902424,-2.606101147603554,-4.114104012015134,-1.9063624835917856,-220.4823305925173,-348.0629451789453,-161.28278202976188,0.8452849850165363,0.7750968774277807,0.8821320981256358,-0.1830329625226184,-0.2901613064402709,-0.13361706497792258,-2.8892869635266707,-4.580373220556605,-2.1092268770861446,-244.4405214489569,-387.5104247509818,-220.4823305925173,-0.28318581592311665,-0.4662692085414708,-0.20286439349435925,-23.95819085643965,-39.44747957203644,-17.162808248253743,0.9093636595506268,0.880439177741599,0.9389270379783224,-0.09967007093087736,-0.13579679923499618,-0.06504548229133815,-0.24225981003149744,-0.3300700649482921,-0.1581006819412725,-37.79404212659866,-51.49298985152763,-24.664692970557333,0.9007646914666314,0.8692992310803538,0.9330287583449566,-0.11016784902147192,-0.15035187452911122,-0.07177832521887072,-0.2677758922638859,-0.36544788441620296,-0.17446564720478816,-41.77471018157346,-57.012150454945854,-27.21772967313388,-0.02551608223238843,-0.03537781946791085,-0.01636496526351566,-3.980668054974795,-5.5191606034182294,-2.5530367025765464,0.880439177741599,0.8521462250334665,0.9389270379783224,-0.13579679923499618,-0.17350751622554783,-0.06504548229133815,-0.3887872109197021,-0.49675326434020417,-0.18622568267764475,-104.79439647431325,-133.89575858226527,-50.195601799904246,0.8692992310803538,-0.15035187452911122,-0.43045849595884833,0.8386206204778243,-0.19243430888955,-0.5509408075882525,0.9330287583449566,-0.07177832521887072,-0.20550186030555775,-116.02654877596989,-148.50156538766913,-55.391337009584305,-0.04167128503914624,-0.05418754324804831,-0.019276177627913,-11.23215230165667,-14.60580680540386,-5.1957352096800555,0.572
40109104300,40109104300,Census Tract 1043; Oklahoma County; Oklahoma,1528,906,435,Oklahoma City city,Oklahoma,67363,0.5233541388316947,0.2180607574875316,40109,1528,906,435,0.013355,0.00771700047899999,0.003791914842,0.8412876843585213,0.7695478975898326,0.8790176379757034,-0.18865403427662944,-0.2994642739352891,-0.137633600052563,-3.849757231223982,-6.1109997382040415,-2.8086118014566237,-251.94746277643864,-399.9345378405786,-183.8096728701979,0.8268733300633377,0.7496511673753399,0.8677554470089838,-0.2093750803685988,-0.33395376879245753,-0.1523984129939401,-4.272600015036989,-6.814807545637157,-3.1099090708560593,-279.6204198322637,-445.99525822232704,-251.94746277643864,-0.4228427838130071,-0.7038078074331153,-0.3012972693994356,-27.672957055825073,-46.06072038174839,-19.718407683209136,0.8981137069250831,0.865872159799072,0.9312065532042976,-0.11344475904253833,-0.1549048998550234,-0.07387560424589273,-0.3897366161978264,-0.5321718871060609,-0.25379778018275734,-43.01728655605148,-58.73861888587869,-28.01300002017189,0.8885143720249491,0.8534914084323713,0.9245930528670656,-0.12547419770033888,-0.17165795709264922,-0.08155690430412116,-0.4310634501284493,-0.5897265938537963,-0.2801866933239239,-47.57874725479573,-65.09123552470159,-30.92568358983707,-0.04132683393062292,-0.05755470674773544,-0.02638891314116653,-4.561460698744251,-6.352616638822896,-2.9126835696651807,0.865872159799072,0.834468538777187,0.9312065532042976,-0.1549048998550234,-0.19836752799018575,-0.07387560424589273,-0.5199995160755881,-0.6658990042054646,-0.24799266190810632,-119.54011863806625,-153.08023085183095,-57.00980733519686,0.8534914084323713,-0.17165795709264922,-0.5762377736420389,0.8195037859292454,-0.22025061649481908,-0.7393582391508954,0.9245930528670656,-0.08155690430412116,-0.2737779812675871,-132.46845371081352,-169.9674112990564,-62.937466958066,-0.05623825756645073,-0.07345923494543083,-0.02578531935948078,-12.928335072747297,-16.88718044722548,-5.927659622869145,0.802
40109105500,40109105500,Census Tract 1055; Oklahoma County; Oklahoma,1676,1096,329,Oklahoma City city,Oklahoma,54629,0.5498024379971702,0.19103369603008927,40109,1676,1096,329,0.013355,0.00771700047899999,0.003791914842,0.8322533922045026,0.7570567401091454,0.8719647694808549,-0.20155713316008747,-0.32090495602196123,-0.14683532523380957,-4.5114492803795745,-7.1828092125404375,-3.286612148001855,-269.1795513352968,-428.5685687673292,-196.0985768497527,0.8171111398790136,0.7362770666137614,0.8600997710223024,-0.22382372629024003,-0.3581843647516232,-0.16265581469858337,-5.009841989079916,-8.017233472548286,-3.6407218472820975,-298.9165864606156,-478.3552191257927,-269.1795513352968,-0.4983927087003419,-0.8344242600078484,-0.3541096992802424,-29.737035125318737,-49.786650358463504,-21.128263680205393,0.8921046063806827,0.8581166164176427,0.927069362313786,-0.12094477805361284,-0.16534277610737128,-0.07866794077219134,-0.502639079664424,-0.6871544365059705,-0.32693913689519966,-45.86122989638905,-62.696572673902416,-29.830213220364932,0.8819772034783783,0.8450860695341232,0.9200754689055828,-0.13381615313429704,-0.1833114235941403,-0.08686736446683714,-0.5561317250575373,-0.7618310333869075,-0.3610154388735166,-50.74194571692859,-69.51013078347697,-32.93936486072232,-0.05349264539311327,-0.07467659688093697,-0.03407630197831696,-4.880715820539532,-6.813558109574541,-3.1091516403573864,0.8581166164176427,0.8250878551412792,0.927069362313786,-0.16534277610737128,-0.21199214576824751,-0.07866794077219134,-0.41978764291610554,-0.5382254083540374,-0.1997294965482906,-127.59502824197736,-163.59434904378037,-60.708053662094414,0.8450860695341232,-0.1833114235941403,-0.46540811907142815,0.8093757981523207,-0.23552001713276416,-0.5979601599740899,0.9200754689055828,-0.08686736446683714,-0.2205469572628163,-141.46143436821524,-181.75080850276288,-67.03554932000496,-0.04562047615532261,-0.05973475162005248,-0.02081746071452572,-13.866406126237877,-18.15645945898252,-6.327495657910555,0.9755
40109106609,40109106609,Census Tract 1066.09; Oklahoma County; Oklahoma,809,499,164,Oklahoma City city,Oklahoma,47792,0.4944235894065904,0.21211171040762317,40109,809,499,164,0.013355,0.00771700047899999,0.003791914842,0.8512822165610753,0.7834475298855578,0.8867977845759436,-0.17469856710938936,-0.2764096660641398,-0.1276527945750207,-1.887477385270429,-2.986383932041849,-1.3791856848834658,-233.30993637458948,-369.14510902865874,-170.48030715494016,0.8376853438653936,0.7645588278455854,0.8762076879787883,-0.19376566311358132,-0.3079438279692006,-0.14128192861075248,-2.0934820085834396,-3.3270851664256975,-1.526437506686649,-258.7740430881878,-411.25898225286744,-233.30993637458948,-0.20600462331301064,-0.3407012343838485,-0.14725182180318308,-25.464106713598348,-42.11387322420871,-18.20170850471979,0.9047331419351948,0.8744358762674088,0.9357531778732592,-0.10529829587212032,-0.14359443286861753,-0.06865787223160538,-0.1992418033064454,-0.27170443275031864,-0.1299120575628469,-39.92821709548003,-54.44978612230834,-26.03448047351641,0.8957205735610652,0.8627813807619205,0.9295600309769922,-0.11641959503548868,-0.15904216560271858,-0.07577775149064174,-0.2202851419670348,-0.30093409977813246,-0.14338404750480527,-44.1453190314699,-60.30743482527705,-28.7342780570752,-0.02104333866058941,-0.02922966702781382,-0.01347198994195836,-4.217101935989862,-5.857648702968701,-2.69979758355879,0.8744358762674088,0.8448518064055026,0.9357531778732592,-0.14359443286861753,-0.18363953585492016,-0.06865787223160538,-0.18173140238553215,-0.2324120073295441,-0.0868925845953408,-110.81183072288547,-141.71463861557567,-52.98328328984196,0.8627813807619205,-0.15904216560271858,-0.20128186877452975,0.830727506338653,-0.20376416137633185,-0.25788149347484646,0.9295600309769922,-0.07577775149064174,-0.09590341890633532,-122.73284681373764,-157.2448130944186,-58.47769445508252,-0.01955046638899757,-0.02546948614530236,-0.00901083431099453,-11.92101609085218,-15.530174478842904,-5.494411165240568,0.1012
40109106907,40109106907,Census Tract 1069.07; Oklahoma County; Oklahoma,1206,889,260,Oklahoma City city,Oklahoma,55946,0.5250417877880452,0.2197367840439826,40109,1206,889,260,0.013355,0.00771700047899999,0.003791914842,0.8407082939846316,0.7687447246226536,0.8785658999126154,-0.18947321818414253,-0.3008219347337446,-0.13821854467543393,-3.0516802835921637,-4.845077187673206,-2.2261658489533467,-253.04148288492237,-401.7476938369159,-184.590866414042,0.8262469420251989,0.7487905647585308,0.867264914303932,-0.21029192259267931,-0.3354869132498738,-0.1530502197273843,-3.38698904322763,-5.40339583810119,-2.4650467354578165,-280.84486262252324,-448.04277264520647,-253.04148288492237,-0.33530875963546647,-0.5583186504279842,-0.2388808865044698,-27.803379737600867,-46.29507880829057,-19.807702031879753,0.8977290639750198,0.8653751966284433,0.9309420111210812,-0.11392182800915304,-0.15556813263895644,-0.07418076319894108,-0.3840318828350984,-0.5244220877642405,-0.2500642647618424,-43.19818704556788,-58.990111109588355,-28.12871369649521,0.8880957960540761,0.8529525808707737,0.9243041273578834,-0.1260046545013823,-0.17239811734798494,-0.08189498499643481,-0.4247632394931727,-0.5811561731352621,-0.2760690012839868,-47.77989195648737,-65.37189799046818,-31.053880909334847,-0.04073135665807426,-0.05673408537102165,-0.02600473652214441,-4.581704910919489,-6.381786880879825,-2.925167212839641,0.8653751966284433,0.8338667905846189,0.9309420111210812,-0.15556813263895644,-0.19923231299199015,-0.07418076319894108,-0.3121350320639102,-0.3997437222457812,-0.14883777613609162,-120.05193540919625,-153.7475854791466,-57.245298513881394,0.8529525808707737,-0.17239811734798494,-0.3459030520798055,0.8188537568072983,-0.22121928572323937,-0.4438588268114717,0.9243041273578834,-0.08189498499643481,-0.16431574599574816,-133.03963541530982,-170.71493338902758,-63.19836384451852,-0.03376802001589529,-0.04411510456569051,-0.01547796985965654,-12.987700006113576,-16.967347909880967,-5.953065330637134,0.8893
40109107216,40109107216,Census Tract 1072.16; Oklahoma County; Oklahoma,1607,1135,592,Oklahoma City city,Oklahoma,55726,0.5308223700151716,0.19551953357283747,40109,1607,1135,592,0.013355,0.00771700047899999,0.003791914842,0.8387267723285692,0.7660000218209086,0.8770203528071685,-0.192283390720539,-0.30548299153155994,-0.14022439365198083,-4.126687105697987,-6.556118640509701,-3.009423720996082,-256.79446830727983,-407.97253519039833,-187.2696777222204,0.8241050142559979,0.7458502853264677,0.8655868285758617,-0.2134375870808165,-0.3407516490555312,-0.15528560161351637,-4.580687573571137,-7.313036404930546,-3.332659609744457,-285.04589754643047,-455.07382731366187,-256.79446830727983,-0.4540004678731506,-0.7569177644208454,-0.3232358887483753,-28.251429239150628,-47.101292123263555,-20.114243232630695,0.8964128222667598,0.8636751451988167,0.9300364636349766,-0.1155574475957397,-0.15784274395183795,-0.075226659492012,-0.4973388407285821,-0.6793272863645323,-0.32376225333848896,-43.818400064192254,-59.852624349298,-28.52530866418405,0.8866635718496972,0.8511095504534136,0.923315175733148,-0.12782348542172317,-0.1749368802961588,-0.08305378952096314,-0.550129700682921,-0.7528974294372864,-0.3574488382866835,-48.46957715268026,-66.33457528081819,-31.493289716888412,-0.05279085995433891,-0.07357014307275411,-0.03368658494819454,-4.6511770884880095,-6.481950931520186,-2.967981052704365,0.8636751451988167,0.8318089526205558,0.9300364636349766,-0.15784274395183795,-0.20219913100186063,-0.075226659492012,-0.7210989381643406,-0.9237395081504872,-0.34367030706138846,-121.80725306830077,-156.0370790794742,-58.05241673334264,0.8511095504534136,-0.1749368802961588,-0.7991928895118121,0.8166311640395817,-0.2245430299933184,-1.0258168126486134,0.923315175733148,-0.08305378952096314,-0.3794282710414943,-134.99879890402232,-173.27986700145496,-64.09261335160376,-0.07809395134747155,-0.10207730449812602,-0.03575796398010583,-13.191545835721543,-17.242787921980746,-6.04019661826112,0.9904
40109108302,40109108302,Census Tract 1083.02; Oklahoma County; Oklahoma,3176,1596,702,Oklahoma City city,Oklahoma,283835,0.6324978468807168,0.23529767405142385,40109,3176,1596,702,0.013355,0.00771700047899999,0.003791914842,0.8046271779097853,0.719293936010975,0.850275704348853,-0.2428116119539276,-0.3902522319953799,-0.17608911425477794,-10.298971070599578,-16.5527357411554,-7.468904303891249,-324.2749077644703,-521.1818558298299,-235.16701208725596,0.7873252276456502,0.6959804474390419,0.8365959287275758,-0.2701231522712847,-0.43682197349026247,-0.1953201846451181,-11.45740316269963,-18.52801368013676,-8.284599385411315,-360.7494698583007,-583.3757455962456,-324.2749077644703,-1.1584320921000533,-1.9752779389813604,-0.8156950815200661,-36.47456209383039,-62.19388976641563,-25.68309450629931,0.8735742180833937,0.8343128156519739,0.91425189315907,-0.14472242804278515,-0.19859120133321911,-0.0937904613406263,-0.8758450960936797,-1.201853314426366,-0.5676101260632948,-54.87751228657141,-75.3040923826044,-35.564544239554806,0.8618462354630646,0.8193355639492373,0.9060923320704358,-0.16029978301489736,-0.22050115239713416,-0.10364028543866342,-0.970117629708176,-1.334450061554664,-0.627220237988039,-60.784312638356894,-83.6121592452797,-39.29951365839843,-0.09427253361449628,-0.13259674712829783,-0.0596101119247443,-5.906800351785481,-8.308066862675302,-3.734969418843628,0.8343128156519739,0.7964323610060484,0.91425189315907,-0.19859120133321911,-0.2555994067554038,-0.0937904613406263,-1.0758349338611737,-1.384667442543224,-0.5080942866340533,-153.25283958136373,-197.2460744363567,-72.37810350912441,0.8193355639492373,-0.22050115239713416,-1.1945284640654528,0.7785092695385702,-0.28450622122034513,-1.54126532109599,0.9060923320704358,-0.10364028543866342,-0.5614540769264513,-170.16074986687363,-219.5534645435883,-79.97921323738623,-0.11869353020427932,-0.15659787855276597,-0.05335979029239801,-16.90791028550987,-22.30739010723162,-7.601109728261825,0.2792
40027201611,40027201611,Census Tract 2016.11; Cleveland County; Oklahoma,1623,1076,356,Oklahoma City city,Oklahoma,82062,0.570256126931477,0.20470707721184112,40027,1623,1076,356,0.010503,0.00771700047899999,0.003791914842,0.8253333362043612,0.7475359531249839,0.8665492882812346,-0.21163165975933568,-0.3377283003173568,-0.15400244801246046,-3.607551364340087,-5.75704122895248,-2.6251825557237174,-222.27673224523025,-354.7160338233198,-161.7487711474872,0.8096406891261547,0.7260980887935014,0.8542256282824802,-0.23511579078282255,-0.3772243935548975,-0.17065089935385824,-4.007870527410792,-6.4303062083380045,-2.908978200567729,-246.94211505919853,-396.1987805507088,-222.27673224523025,-0.40031916307070503,-0.6732649793855243,-0.28379564484401154,-24.665382813968268,-41.48274672738905,-17.48586844387009,0.8874850751470587,0.8521665625525712,0.9238824899510693,-0.12677951213353905,-0.17347950969187295,-0.08238873544725595,-0.517273134363458,-0.7078138116798417,-0.336154309981522,-48.07371137206859,-65.7819527583496,-31.241106875606135,0.8769547081970093,0.8386426366893803,0.9165969541625092,-0.14030974536412252,-0.19240300486938375,-0.09099206086026744,-0.5724778439736397,-0.7850235713551453,-0.3712567411823118,-53.2042605923457,-72.95758098096147,-34.50341460802154,-0.05520470961018164,-0.07720975967530364,-0.03510243120078976,-5.130549220277104,-7.175628222611862,-3.2623077324154055,0.8521665625525712,0.8179057113658816,0.9238824899510693,-0.17347950969187295,-0.22263481731901047,-0.08238873544725595,-0.4765919595424372,-0.6116339851138657,-0.2263426322842015,-133.87414593888687,-171.8072991892881,-63.57939109106784,0.8386426366893803,-0.19240300486938375,-0.5285795727427542,0.8016292675268651,-0.24745944354693464,-0.6798334934009774,0.9165969541625092,-0.09099206086026744,-0.24997813669882163,-148.47740807380737,-190.9644644384768,-70.2185777243881,-0.05198761320031703,-0.06819950828711174,-0.02363550441462011,-14.603262134920517,-19.15716524918869,-6.639186633320257,0.2641
