geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
32003004714,32003004714,Census Tract 47.14; Clark County; Nevada,3524,1956,825,Sunrise Manor CDP,Nevada,59767,0.2009281403604692,0.1457221542728582,32003,3524,1956,825,0.01109,0.007296424454,0.004052580321,0.9596363389064838,0.9394603218214796,0.969725815686154,-0.04206141374295082,-0.06444091013992231,-0.03121932387911588,-1.6438088403144595,-2.5184255197239263,-1.2200873916115482,-46.64610784093245,-71.46496934517384,-34.62223018193951,0.9556906865481096,0.9336117020633968,0.9667492707262176,-0.04636365518213077,-0.0711091107682957,-0.03439436706148684,-1.8119454263576815,-2.779026535393487,-1.344171762228697,-51.41729359698302,-78.86000384203992,-46.64610784093245,-0.16813658604322201,-0.2606010156695606,-0.12408437061714885,-4.771185756050568,-7.395034496866078,-3.5211228892493995,0.9747071035451942,0.9662486593043031,0.983151699911934,-0.02594922758109668,-0.03493028463294079,-0.01713702991061829,-0.20569555960283237,-0.2768870257199122,-0.13584261598456915,-10.516132904030284,-14.155778411038456,-6.944919017616009,0.972213269319264,0.9629368234147452,0.9814825620414456,-0.02858090046455747,-0.03848972817741285,-0.01886680280904735,-0.22655642818796923,-0.3051021904860584,-0.14955426128176383,-11.582639477912538,-15.598271497242251,-7.645923378413284,-0.02086086858513686,-0.02821516476614621,-0.01371164529719468,-1.0665065738822526,-1.4424930862037944,-0.701004360797274,0.9662486593043031,0.9577761998703312,0.983151699911934,-0.03493028463294079,-0.04408524677830306,-0.01713702991061829,-0.2102646009592999,-0.265373354939414,-0.10315721138973094,-25.48661829809696,-32.16646726538351,-12.503904410876478,0.9629368234147452,-0.03848972817741285,-0.23169084996872755,0.953653144206056,-0.04859927959712139,-0.29254580198185637,0.9814825620414456,-0.01886680280904735,-0.11356966614240144,-28.083739390148796,-35.46009720992198,-13.766020138472902,-0.02142624900942766,-0.02717244704244237,-0.01041245475267049,-2.5971210920518377,-3.29362994453847,-1.262115727596424,0.9145
32003004716,32003004716,Census Tract 47.16; Clark County; Nevada,2250,1240,434,Sunrise Manor CDP,Nevada,46073,0.17576631721459018,0.1039453467737676,32003,2250,1240,434,0.01109,0.007296424454,0.004052580321,0.96954409622633,0.9542012130191964,0.97718643639654,-0.03141260298753889,-0.04799699094480417,-0.02334617300623499,-0.7838229760465641,-1.197644916550226,-0.5825453819380786,-34.83657671318063,-53.22866295778782,-25.890905863914604,0.9665499947484856,0.949738318896816,0.9749339033283804,-0.03460763067948557,-0.05292161019844535,-0.02571056005545093,-0.8635469045298636,-1.3205264784767077,-0.6415427497836393,-38.37986242354949,-58.69006571007589,-34.83657671318063,-0.07972392848329946,-0.1228815619264816,-0.05899736784556075,-3.543285710368864,-5.461402752288071,-2.622105237580478,0.9809522293540096,0.9745548904044236,0.9873253031164848,-0.01941763327102494,-0.02610946786693261,-0.01283740712762827,-0.09757748290844266,-0.13120528742994805,-0.06451053313763341,-7.869151847455053,-10.581071566931294,-5.202462349809147,0.9790675223281008,0.9720462645574576,0.986066702865366,-0.02138001434479654,-0.02875761829635627,-0.01413017709060234,-0.10743883949156104,-0.1445127719034373,-0.07100696023592891,-8.664422539642018,-11.654255798664298,-5.726367760962009,-0.00986135658311837,-0.01330748447348925,-0.00649642709829549,-0.7952706921869658,-1.0731842317330047,-0.5239054111528625,0.9745548904044236,0.9681329396561128,0.9873253031164848,-0.02610946786693261,-0.03291599638703203,-0.01283740712762827,-0.082679499764143,-0.10423338113929442,-0.04065155234071967,-19.05057598252143,-24.01690809661162,-9.36671712919808,0.9720462645574576,-0.02875761829635627,-0.09106526058932796,0.9650026288427068,-0.03626660706537572,-0.1148435864564508,0.986066702865366,-0.01413017709060234,-0.04474530003383813,-20.982778937633174,-26.46165586554166,-10.30997696632215,-0.00838576082518496,-0.01061020531715638,-0.00409374769311846,-1.932202955111744,-2.444747768930042,-0.9432598371240692,0.7154
32003001501,32003001501,Census Tract 15.01; Clark County; Nevada,2436,1700,1042,Sunrise Manor CDP,Nevada,53009,0.18651273417113065,0.1059163416916004,32003,2436,1700,1042,0.01109,0.007296424454,0.004052580321,0.9653001173079988,0.9478774061127404,0.9739930672268154,-0.03594724798000786,-0.0549887501813291,-0.02670135306736046,-0.9711235315194277,-1.4855342834486491,-0.7213434614394791,-39.86549800982872,-60.98252395109397,-29.611800551702753,0.9618970545326584,0.9428169649247052,0.971429867656302,-0.03961229040861754,-0.06065125809425944,-0.02941039110999032,-1.070135532338501,-1.6385082937183613,-0.794528774330255,-43.93003006315685,-67.26224522653372,-39.86549800982872,-0.09901200081907335,-0.15297401026971214,-0.0731853128907759,-4.064532053328135,-6.279721275439743,-3.0043231892765148,0.9782801046950692,0.9709986642498768,0.9855406267528848,-0.02220212309408131,-0.02986753413561854,-0.01467151414625615,-0.15295900813033902,-0.20576898782716585,-0.10107773216426436,-8.997588713549355,-12.104058107480345,-5.9457489508390795,0.9761342324593072,0.9681451980495054,0.984106238695451,-0.02444926808945595,-0.03290291788325922,-0.01615045274544551,-0.16844045862771018,-0.226680919779198,-0.11126671185143594,-9.908262272218243,-13.33417175171753,-6.54510069714329,-0.01548145049737115,-0.02091193195203217,-0.01018897968717158,-0.9106735586688912,-1.2301136442371865,-0.5993517463042108,0.9709986642498768,0.9636960262946452,0.9855406267528848,-0.02986753413561854,-0.03767160257466382,-0.01467151414625615,-0.22707910711861476,-0.2864124583415266,-0.11154567756689622,-21.792620644780687,-27.48680022471465,-10.704959459395033,0.9681451980495054,-0.03290291788325922,-0.25015674814672395,0.960138921139498,-0.04151594939323438,-0.3156405438959423,0.984106238695451,-0.01615045274544551,-0.12278986180595176,-24.007365465136655,-30.29179883838218,-11.784055835504008,-0.02307764102810919,-0.02922808555441569,-0.01124418423905554,-2.2147448203559685,-2.804998613667533,-1.0790963761089774,0.9972
32003000528,32003000528,Census Tract 5.28; Clark County; Nevada,1523,895,308,Sunrise Manor CDP,Nevada,36503,0.24433962305881143,0.14583175606289128,32003,1523,895,308,0.01109,0.007296424454,0.004052580321,0.9427800080479628,0.9145613528070716,0.9569877335005283,-0.06069283551155455,-0.09342035603263887,-0.04494547316937766,-1.025106240288642,-1.577876352816193,-0.7591321880139104,-67.30835458231398,-103.60317484019652,-49.84452974483981,0.937241263979322,0.9064297053232708,0.9527896003818672,-0.06696113202935393,-0.10322951038255976,-0.04954965881156922,-1.1309782072550298,-1.743553656427161,-0.8368972058035208,-74.2598954205535,-114.48152701425876,-67.30835458231398,-0.1058719669663879,-0.165677303610968,-0.07776501778961042,-6.95154083823952,-10.878352174062243,-5.1060418771904414,0.9640257680449316,0.95208408119005,0.975992451883552,-0.03731667051600207,-0.05032740254417228,-0.02459808789516365,-0.13534978009765986,-0.18254047783601435,-0.08921872560966083,-15.122880457839088,-20.395584115755792,-9.968572693816853,0.9605003044233902,0.9474206234438284,0.9736236279537436,-0.04112408439091789,-0.05549739498497299,-0.02709093256260792,-0.1491594963339905,-0.2012923474506647,-0.09826042126178287,-16.66586551217771,-22.490765078286564,-10.978818018076298,-0.01380971623633065,-0.01875186961465039,-0.00904169565212204,-1.54298505433862,-2.0951809625307702,-1.0102453242594458,0.95208408119005,0.9401675986784936,0.975992451883552,-0.05032740254417228,-0.06364014395476637,-0.02459808789516365,-0.11310070791391696,-0.1430184148031524,-0.05527925173229335,-36.72100906296005,-46.43455026076376,-17.94780900399135,0.9474206234438284,-0.05549739498497299,-0.1247192253697094,0.9343848922282594,-0.07022278326361425,-0.1578115717740337,0.9736236279537436,-0.02709093256260792,-0.06088141839209503,-40.49325499016539,-51.237523303257696,-19.76669428314774,-0.01161851745579245,-0.01479315697088132,-0.00560216665980167,-3.772245927205342,-4.802973042493935,-1.8188852791563888,0.9721
32003006203,32003006203,Census Tract 62.03; Clark County; Nevada,2045,1284,393,Sunrise Manor CDP,Nevada,43464,0.18200293876676063,0.10267372407020744,32003,2045,1284,393,0.01109,0.007296424454,0.004052580321,0.9670788604786072,0.9505261083418538,0.975331910135434,-0.0340418355387275,-0.05204895607176006,-0.02529199507185265,-0.772036490274578,-1.18042087719925,-0.5735984208342999,-37.7523956124488,-57.7222922835819,-28.04882253468459,0.9638469537103737,0.945715387227607,0.9728988200792472,-0.03750911506277384,-0.05740058108976107,-0.02785611346362334,-0.850671095964401,-1.3017906485637456,-0.6317501900471869,-41.597608604616184,-63.65724442854502,-37.7523956124488,-0.07863460568982306,-0.12136977136449568,-0.058151769212887,-3.8452129921673865,-5.9349521449631135,-2.8436072964736923,0.9794005895942256,0.9724894719483566,0.98628918323802,-0.0210326710282141,-0.02828876696888743,-0.01390141653684862,-0.1094437798997974,-0.14720097041533292,-0.07233620350517363,-8.523658870700734,-11.4642500323468,-5.633660709125672,0.9773641326735428,0.9697803928515256,0.9849284836262072,-0.0231601166543095,-0.03116128906217342,-0.01530214287062135,-0.12051397115314966,-0.16214817685017785,-0.07962490137752795,-9.385823298531903,-12.62836268303566,-6.201316306661055,-0.01107019125335224,-0.01494720643484492,-0.00728869787235432,-0.8621644278311721,-1.1641126506888573,-0.5676555975353835,0.9724894719483566,0.9655555208620388,0.98628918323802,-0.02828876696888743,-0.03567322478484668,-0.01390141653684862,-0.08111789247652199,-0.10229278694156532,-0.03986223977692801,-20.64068510852977,-26.028698967319414,-10.143063556470231,0.9697803928515256,-0.03116128906217342,-0.08935483467184213,0.9621770117075408,-0.03930980249188882,-0.11272065464420498,0.9849284836262072,-0.01530214287062135,-0.04387881526984274,-22.73659915314049,-28.68210041837277,-11.16509294398034,-0.00823694219532014,-0.01042786770263967,-0.00401657549291473,-2.095914044610724,-2.653401451053353,-1.0220293875101096,0.7487
32003006201,32003006201,Census Tract 62.01; Clark County; Nevada,2746,1814,516,Sunrise Manor CDP,Nevada,94608,0.20050184902712936,0.1655434845379929,32003,2746,1814,516,0.01109,0.007296424454,0.004052580321,0.9598033499529618,0.9397081554693928,0.9698517378725662,-0.04188008934226805,-0.06416018013644967,-0.03108543393814607,-1.2753802239525966,-1.9538789481205208,-0.9466490716791136,-46.44501908057526,-71.15363977132267,-34.473746237403994,0.9558736449381048,0.9338826254693328,0.9668873608618986,-0.04616337660899994,-0.070798377362936,-0.03424663562525446,-1.4058197707466005,-2.156032897606321,-1.0429175892248614,-51.19518465938092,-78.51540049549601,-46.44501908057526,-0.1304395467940036,-0.2021539494857998,-0.09626851754574772,-4.7501655788056665,-7.361760724173335,-3.5057726710031947,0.974812576590184,0.9663887921276773,0.9832222619227382,-0.02583822163837845,-0.03478021283579023,-0.01706403396974772,-0.1899466039339706,-0.2556825854627064,-0.12544421002849268,-10.47114685413289,-14.09496060985151,-6.915336826267512,0.972328993451303,0.9630904422956034,0.9815600487556956,-0.02845848137313913,-0.03832408264422159,-0.0187863710097821,-0.2092091307830883,-0.28173492158385105,-0.1381057653074476,-11.533028157832872,-15.531142314435009,-7.613327745724785,-0.01926252684911769,-0.02605233612114466,-0.0126615552789549,-1.0618813036999832,-1.436181704583498,-0.6979909194572715,0.9663887921276773,0.9579507376551092,0.9832222619227382,-0.03478021283579023,-0.04389501536145764,-0.01706403396974772,-0.13094593685239844,-0.16526275836189533,-0.06424532032622904,-25.377119545038457,-32.027666349204516,-12.450643474075395,0.9630904422956034,-0.03832408264422159,-0.14428844727172638,0.9538443110216128,-0.04838912225513221,-0.18218286866385025,0.9815600487556956,-0.0187863710097821,-0.07072984180824846,-27.962877378241544,-35.30675749299424,-13.70733368376908,-0.01334251041932793,-0.01692011030195492,-0.00648452148201941,-2.5857578332030884,-3.2790911437897137,-1.2566902096936854,0.9797
32003004709,32003004709,Census Tract 47.09; Clark County; Nevada,3293,2238,558,Sunrise Manor CDP,Nevada,56184,0.21096848506802632,0.13476727343729292,32003,3293,2238,558,0.01109,0.007296424454,0.004052580321,0.9557111567313809,0.9336420128277424,0.9667647211867464,-0.04634124333139642,-0.0710743371233668,-0.03437783577006818,-1.6923530114792984,-2.595590014912968,-1.2554569042863548,-51.39243885451863,-78.82143986981379,-38.12501986900561,0.9513916193454558,0.9272533795200932,0.9635025608970456,-0.05109187390991114,-0.07845387473007345,-0.03787996066037881,-1.8658430473093912,-2.8650860792012023,-1.383352298941818,-56.66088816609145,-87.00534707565144,-51.39243885451863,-0.17349003583009304,-0.26949606428823447,-0.12789539465546307,-5.268449311572822,-8.18390720583767,-3.883856503354481,0.972226217456553,0.9629540112091746,0.9814912320262886,-0.02856720179394682,-0.03847119214375259,-0.01885780266778341,-0.2590952290286216,-0.3489212003116723,-0.17103413685484564,-11.57708798161848,-15.590759620718154,-7.642275998876034,0.969491623506789,0.9593257486025502,0.9796593023761788,-0.03146842711529358,-0.04239879045954935,-0.02076303218321371,-0.28540839909406535,-0.3845432396175807,-0.18831394889989872,-12.752832846026156,-17.182450385057223,-8.414385562998156,-0.02631317006544376,-0.0356220393059084,-0.01727981204505307,-1.175744864407675,-1.5916907643390708,-0.7721095641221215,0.9629540112091746,0.9536745326981876,0.9814912320262886,-0.03847119214375259,-0.04857576218455369,-0.01885780266778341,-0.15663179809977265,-0.19777159352388685,-0.07677774915392808,-28.070214713220903,-35.442937907506604,-13.759453253392133,0.9593257486025502,-0.04239879045954935,-0.17262264091322543,0.9491616961303556,-0.053561267881866,-0.2180696055763545,0.9796593023761788,-0.02076303218321371,-0.08453470983452056,-30.935957152907783,-39.080574476049186,-15.149589576078954,-0.01599084281345278,-0.02029801205246761,-0.00775696068059247,-2.8657424396868785,-3.637636568542584,-1.3901363226868242,0.9937
32003001610,32003001610,Census Tract 16.10; Clark County; Nevada,1820,1246,481,Sunrise Manor CDP,Nevada,53620,0.2381687143868956,0.13386934611693213,32003,1820,1246,481,0.01109,0.007296424454,0.004052580321,0.9451579477149266,0.918060074529378,0.9587881886422536,-0.05802421956844678,-0.08925333727493442,-0.0429832280434188,-1.171149242925616,-1.8014715088898212,-0.8675648781827563,-64.34885950140747,-98.98195103790228,-47.66839990015144,0.9398419581159958,0.9102448089534568,0.9547615983190716,-0.06400867865550162,-0.09860555112611766,-0.04738188230504251,-1.2919383682469137,-1.9902347228193331,-0.956346436068517,-70.9856246289513,-109.35355619886448,-64.34885950140747,-0.1207891253212976,-0.18876321392951212,-0.0887815578857607,-6.636765127543824,-10.371605160962204,-4.878107576140698,0.9655369448741766,0.9540848334714328,0.9770069459697662,-0.03569315012623821,-0.04812482592507546,-0.0235341766249278,-0.18023309981393015,-0.24300703422940728,-0.11883617976215628,-14.464935779609164,-19.502972249551146,-9.53741410611206,0.9621566496382422,0.9496109009219496,0.9747369207900274,-0.03933179734920127,-0.05306289031552715,-0.02591784374956969,-0.19860650383695855,-0.26794186483483623,-0.1308725428536547,-15.939526792693302,-21.504162506808687,-10.5034143542259,-0.01837340402302836,-0.02493483060542894,-0.01203636309149842,-1.4745910130841386,-2.00119025725754,-0.9660002481138384,0.9540848334714328,0.9426507697789008,0.9770069459697662,-0.04812482592507546,-0.0608382574540838,-0.0235341766249278,-0.16889793438434683,-0.21351674147425467,-0.08259507942065251,-35.11391567242138,-44.39017494267249,-17.17153418308784,0.9496109009219496,-0.05306289031552715,-0.1862284672096015,0.9370999380410352,-0.067122042597137,-0.23557018915693465,0.9747369207900274,-0.02591784374956969,-0.09096075027499877,-38.71693704981321,-48.97509130081801,-18.910758892931135,-0.0173305328252547,-0.02205344768267994,-0.00836567085434623,-3.603021377391831,-4.584916358145518,-1.7392247098432927,0.8603
32003001611,32003001611,Census Tract 16.11; Clark County; Nevada,3028,1883,894,Sunrise Manor CDP,Nevada,60559,0.2577687873871055,0.15221532821616915,32003,3028,1883,894,0.01109,0.007296424454,0.004052580321,0.9376257791202858,0.9069934285640048,0.9530812496024412,-0.06652357717621199,-0.10254382061317444,-0.04922848961421691,-2.2338963138373304,-3.4434748189771165,-1.6531182800600033,-73.7746470884191,-113.72109706001044,-54.59439498216656,0.9316064640742904,0.8981824284857938,0.948512193122782,-0.07341462147718149,-0.11335956737191574,-0.05428270427152344,-2.4653011648069225,-3.806673219323964,-1.8228414364439784,-81.41681521819427,-125.71576021545457,-73.7746470884191,-0.23140485096959207,-0.36319840034684736,-0.16972315638397517,-7.642168129775167,-11.9946631554441,-5.605124054952945,0.9607453060658028,0.9477445218320676,0.9737883436237352,-0.04085858519043184,-0.05513667129082233,-0.0269172007940905,-0.31179222087375463,-0.4207484207597445,-0.2054053946356327,-16.558269828664613,-22.344578903863223,-10.908411823453674,0.9569056049866546,0.9426715736086324,0.9712052666883416,-0.04503515789725827,-0.06081484580245619,-0.02964845259730112,-0.34366368372134914,-0.4640786201104959,-0.22624760102920868,-18.250859464755663,-24.645704732368344,-12.015273554392389,-0.03187146284759451,-0.04333019935075138,-0.02084220639357598,-1.6925896360910522,-2.3011258285051186,-1.1068617309387137,0.9477445218320676,0.9347862920490247,0.9737883436237352,-0.05513667129082233,-0.06976322663870964,-0.0269172007940905,-0.3596566977063531,-0.4550657688759429,-0.17558099396386376,-40.230055671851574,-50.90221128366252,-19.639932210723018,0.9426715736086324,-0.06081484580245619,-0.3966954497028769,0.9285035502847704,-0.07700180542476295,-0.5022830433564309,0.9712052666883416,-0.02964845259730112,-0.19339695893146172,-44.37309280792805,-56.18378561033902,-21.632769455420775,-0.03703875199652373,-0.04721727448048801,-0.01781596496759796,-4.14303713607648,-5.281574326676512,-1.992837244697759,0.9525
32003000519,32003000519,Census Tract 5.19; Clark County; Nevada,2705,1873,565,Sunrise Manor CDP,Nevada,57035,0.24304064939591644,0.133595225110386,32003,2705,1873,565,0.01109,0.007296424454,0.004052580321,0.9432800657047185,0.9152967225881428,0.9573664473912544,-0.06013053424690624,-0.09254187775560438,-0.04453211487087145,-1.8038228250791049,-2.77611289275761,-1.3358944213480937,-66.68476247981903,-102.62894243096524,-49.38611539179644,0.9377881103306498,0.9072314520664816,0.9532043663826884,-0.06633896184439281,-0.102254554471421,-0.04909297026711712,-1.9900660299409256,-3.067478139583199,-1.4727130139095994,-73.56990868543161,-113.40030090880587,-66.68476247981903,-0.1862432048618208,-0.2913652468255892,-0.13681859256150575,-6.885146205612598,-10.771358477840636,-5.057988634436442,0.9643436734705813,0.9525048897660738,0.9762059148888638,-0.03697470882045104,-0.04986337681226026,-0.0243740431687971,-0.280655896558691,-0.3784871110857347,-0.18501075888163113,-14.984297734046503,-20.207533960797367,-9.87777676890716,0.9608487272899736,0.9478812557502168,0.9738578699170898,-0.04074655208260566,-0.05498446554735696,-0.02684388645453556,-0.3092860084970802,-0.4173586477700267,-0.2037580622095478,-16.51286751185693,-22.282896303792135,-10.878700598480927,-0.02863011193838921,-0.03887153668429199,-0.01874730332791666,-1.5285697778104226,-2.075362342994768,-1.0009238295737672,0.9525048897660738,0.9406897610195596,0.9762059148888638,-0.04986337681226026,-0.0630497337572353,-0.0243740431687971,-0.20556076449157568,-0.25992125485053175,-0.1004815010101095,-36.38243619319923,-46.0037619204481,-17.78433646196628,0.9478812557502168,-0.05498446554735696,-0.22667234944056855,0.9349557538119172,-0.06956933087249333,-0.2867981623699598,0.9738578699170898,-0.02684388645453556,-0.11066338010550904,-40.118999900985585,-50.760736702647755,-19.586438956727264,-0.02111158494899287,-0.02687690751942806,-0.01018187909539954,-3.736563707786349,-4.756974782199657,-1.8021024947609807,0.977
32003004907,32003004907,Census Tract 49.07; Clark County; Nevada,2223,1581,774,Sunrise Manor CDP,Nevada,85570,0.2514451777991972,0.14016733632124964,32003,2223,1581,774,0.01109,0.007296424454,0.004052580321,0.9400493151371286,0.9105492271851104,0.9549187688342244,-0.0637739785535891,-0.09823826119914396,-0.04720949324392413,-1.572224357460131,-2.42187473002078,-1.1638589416069889,-70.72534221593031,-108.94623166985066,-52.35532800751188,0.934255581427902,0.9020565682026764,0.9505239681378164,-0.07037091335501067,-0.10857792654009836,-0.05205132486991661,-1.7348590529050127,-2.676779223447903,-1.283224955610795,-78.04134291070682,-120.4129205329691,-70.72534221593031,-0.16263469544488185,-0.25490449342712296,-0.1193660140038062,-7.316000694776512,-11.466688863118442,-5.36959127322565,0.9622886377196898,0.9497854913286482,0.9748256072438366,-0.03918924198219141,-0.05286931536625926,-0.02582450909074903,-0.2510905478969107,-0.33874054946714943,-0.16546097369557575,-15.881755085193593,-21.42571470380452,-10.465589734065512,0.9585966206879978,0.9449048632802548,0.9723432906610792,-0.04319165999384231,-0.05830760202511965,-0.02844335905286846,-0.2767345583606643,-0.37358435628061715,-0.18224028451121208,-17.50376713223683,-23.62962405316997,-11.526899716079194,-0.02564401046375358,-0.03484380681346771,-0.01677931081563632,-1.6220120470432378,-2.2039093493654467,-1.0613099820136829,0.9497854913286482,0.9373164277256492,0.9748256072438366,-0.05286931536625926,-0.06687557202688663,-0.02582450909074903,-0.2985758913005697,-0.3776752807528536,-0.14584217264312976,-38.5756965504612,-48.79525591122139,-18.84265796422865,0.9449048632802548,-0.05830760202511965,-0.32928824827112163,0.9312683676698073,-0.07380432399112949,-0.4168049399699776,0.9723432906610792,-0.02844335905286846,-0.16063195110357287,-42.5437013270183,-53.85076743798161,-20.75348205472518,-0.03071235697055191,-0.03912965921712408,-0.0147897784604431,-3.9680047765570943,-5.055511526760217,-1.910824090496525,0.4394
