geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
72021030200,72021030200,Census Tract 302; Bayamón Municipio; Puerto Rico,2331,1490,755,Bayamón zona urbana,Puerto Rico,43460,0.498116923764252,0.2562390124958732,72021,2331,1490,755,0.012828,0.0073709,0.002928,0.8499997115903939,0.7816591884354571,0.8858007331343978,-0.17647098741827538,-0.279329936620545,-0.12892207309595372,-5.276847465808416,-8.352542759263228,-3.855036596416179,-226.37698266016372,-358.3244426968352,-165.38123536748944,0.8362972259231375,0.762639299563327,0.8751240897475827,-0.19574712076338768,-0.3112358628418196,-0.14269508943404358,-5.853243715871031,-9.306595934734764,-4.266878267522853,-251.10440651527375,-399.25336485348623,-226.37698266016372,-0.576396250062615,-0.954053175471536,-0.41184167110667413,-24.72742385511004,-40.92892215665105,-17.668025358501676,0.9038853819251896,0.8733379156313794,0.935171512449062,-0.10633496237110882,-0.1450321600626377,-0.069322564564828,-0.4639096670356838,-0.6327347053484708,-0.3024349388782664,-31.13487698226066,-42.46541646634032,-20.297646904581637,0.8947973703463807,0.8615897959050051,0.9289244534036816,-0.11757145599667417,-0.16064512921675247,-0.0765138072702144,-0.5129313425058104,-0.7008497181365104,-0.3338083172539098,-34.4249223158262,-47.03689383466513,-22.40324276871878,-0.04902167547012653,-0.06811501278803966,-0.03137337837564341,-3.2900453335655393,-4.5714773683248096,-2.105595864137142,0.8733379156313794,0.8435190961299087,0.935171512449062,-0.1450321600626377,-0.185509616306294,-0.069322564564828,-0.8071082491973007,-1.032366487278207,-0.3857821168189225,-106.90175486056962,-136.73728308320622,-51.096969115089074,0.8615897959050051,-0.16064512921675247,-0.8939948831225395,0.829286147174481,-0.20585639035111117,-1.1455968850674492,0.9289244534036816,-0.0765138072702144,-0.4258015946160576,-118.4099182943761,-151.73468676390056,-56.397562200802334,-0.08688663392523877,-0.11323039778924215,-0.0400194777971351,-11.50816343380646,-14.997403680694324,-5.300593085713259,0.0969
72021031306,72021031306,Census Tract 313.06; Bayamón Municipio; Puerto Rico,2258,1342,733,Bayamón zona urbana,Puerto Rico,64096,0.5691166292965278,0.25738298968052875,72021,2258,1342,733,0.012828,0.0073709,0.002928,0.8257173422384341,0.748063203225937,0.8668501040978901,-0.2110681813816623,-0.3367854423097064,-0.15360198409467318,-6.1137215802650315,-9.755200490616648,-4.449177316940284,-270.7582630763965,-432.02836539489147,-197.04062519664677,0.8100550738857124,0.7266614512189464,0.8545518254734169,-0.2344839656434103,-0.3761566659722196,-0.17020404168700431,-6.791974382855941,-10.895612551644907,-4.930066274786093,-300.79603112736675,-482.53377110916335,-270.7582630763965,-0.6782528025909098,-1.140412061028259,-0.4808889578458082,-30.03776805097032,-50.505405714271895,-21.297119479442348,0.8877418039806729,0.8524969587715797,0.9240597456262298,-0.1264536552361919,-0.17302471253500698,-0.08218110867096143,-0.4968839579973668,-0.6798791528419555,-0.32292047606506774,-37.02563025315699,-50.66163583025004,-24.062628618857502,0.8772337631399598,0.8390003117181881,0.9167903996812314,-0.1399470038870964,-0.19189467039899036,-0.09076185826956804,-0.5499043983458634,-0.7540263123937031,-0.35663746759984216,-40.976482738141826,-56.18675949282438,-26.57507210132952,-0.05302044034849657,-0.07414715955174755,-0.03371699153477442,-3.9508524849848414,-5.525123662574334,-2.512443482472013,0.8524969587715797,0.8183041870148723,0.9240597456262298,-0.17302471253500698,-0.22203945167132025,-0.08218110867096143,-0.9348299767065994,-1.1996502256395905,-0.4440138219507448,-127.53478536242832,-163.66305943241343,-60.57487339027896,0.8390003117181881,-0.19189467039899036,-1.036781900290192,0.8020588785077204,-0.24679126033809537,-1.3333810227055072,0.9167903996812314,-0.09076185826956804,-0.4903744939603436,-141.4436426043918,-181.90737008260672,-66.89965811191591,-0.10195192358359252,-0.13373079706591673,-0.04636067200959881,-13.908857241963506,-18.244310650193277,-6.324784721636946,0.4891
72021031122,72021031122,Census Tract 311.22; Bayamón Municipio; Puerto Rico,1857,1190,543,Bayamón zona urbana,Puerto Rico,37270,0.46967796954227126,0.24148963667556525,72021,1857,1190,543,0.012828,0.0073709,0.002928,0.85992515682516,0.7955355557412075,0.8935071164114099,-0.16289190060678735,-0.2570148408618785,-0.11918526627554706,-3.8803450479270434,-6.122503705015962,-2.839183262368507,-208.9577300983869,-329.69863785761777,-152.8908595782718,0.8470454612464684,0.777545038152485,0.8835025705270524,-0.18057417901567124,-0.2860991337248932,-0.1318586197247295,-4.301565140542999,-6.815337979544382,-3.141082768200138,-231.64055684130312,-367.00796874229303,-208.9577300983869,-0.4212200926159553,-0.69283427452842,-0.30189950583163094,-22.68282674291628,-37.30933088467528,-16.257377804611252,0.9104337453327092,0.8818279878949565,0.9396597238393803,-0.09837756467886603,-0.134008008055104,-0.06421502872771191,-0.3427789161618665,-0.4669267826265599,-0.22374570889654116,-28.804950937971977,-39.23754475853445,-18.80216041147405,0.9019307237675568,0.8708077117156151,0.9338296810790238,-0.10873260401063504,-0.14835914582090426,-0.0708590873279136,-0.3788591868063359,-0.5169307389666931,-0.2468957351583959,-31.836906454313944,-43.43955789636076,-20.747540769613103,-0.03608027064446939,-0.05000395634013316,-0.02315002626185475,-3.0319555163419656,-4.202013137826317,-1.9453803581390543,0.8818279878949565,0.8538355447089963,0.9396597238393803,-0.134008008055104,-0.17118572328916035,-0.06421502872771191,-0.5363534772293378,-0.6851535163510953,-0.25701414750025686,-98.7759626573366,-126.17928477920724,-47.33225552490918,0.8708077117156151,-0.14835914582090426,-0.5937924523666978,0.8404495583714601,-0.18983940206679503,-0.7598129760409178,0.9338296810790238,-0.0708590873279136,-0.2836063190044279,-109.35404279313036,-139.92872486941397,-52.22952467853184,-0.05743897513735996,-0.07465945968982246,-0.02659217150417103,-10.578080135793732,-13.749440090206717,-4.897269153622658,0.2179
72021032302,72021032302,Census Tract 323.02; Bayamón Municipio; Puerto Rico,1439,953,392,Bayamón zona urbana,Puerto Rico,105057,0.8441229251808554,0.13842759986174624,72021,1439,953,392,0.012828,0.0073709,0.002928,0.7380336791330572,0.631012842448662,0.7971966078585394,-0.35495171599034026,-0.5847538001278606,-0.25439570382297405,-6.552228361709958,-10.794258095429845,-4.696015459554559,-455.33206127240857,-750.1221748040197,-326.3388088641111,0.7159518222000998,0.6026178864940198,0.7793310618324043,-0.3967420278742055,-0.659426350282956,-0.2831517297010429,-7.323656289607674,-12.172675437637425,-5.226837089202564,-508.9406733570308,-845.912122142976,-455.33206127240857,-0.7714279278977152,-1.378417342207582,-0.5308216296480053,-53.608612084622315,-95.78994733895637,-36.88822999638675,0.8278872642933707,0.7763605944838207,0.8822520608319904,-0.20789392847289817,-0.28806125285746964,-0.1334629233475179,-0.5801038917079194,-0.8038015109934376,-0.3724128059021403,-60.87134225686457,-84.3443348366671,-39.077943956153234,0.8123970204179488,0.7569545996166623,0.8712683733797136,-0.2309252432825717,-0.3210831937693766,-0.14775197924484162,-0.6443701040517955,-0.8959454065629682,-0.41228475885313814,-67.614911233137,-94.01315913567348,-43.26177952288963,-0.06426621234387608,-0.09214389556953062,-0.03987195295099782,-6.743568976272412,-9.668824299006362,-4.183835566736393,0.7763605944838207,0.727551153114765,0.8822520608319904,-0.28806125285746964,-0.3744738025894634,-0.1334629233475179,-0.8323221099653523,-1.082001908990617,-0.38562680978727015,-212.3270688687123,-276.0208951506676,-98.37418617022198,0.7569545996166623,-0.3210831937693766,-0.9277354682782416,0.7047740205829578,-0.418894526181377,-1.2103508279078825,0.8712683733797136,-0.14775197924484162,-0.4269135050157949,-236.66721129546983,-308.76296630303125,-108.90650638158031,-0.09541335831288944,-0.12834891891726552,-0.04128669522852474,-24.340142426757513,-32.74207115236366,-10.532320211358352,0.695
72061040411,72061040411,Census Tract 404.11; Guaynabo Municipio; Puerto Rico,3227,2363,1117,Bayamón zona urbana,Puerto Rico,63072,0.5518251122136136,0.2524485888702254,72061,3227,2363,1117,0.012828,0.0073709,0.002928,0.8315664875689113,0.7561098476133861,0.8714277256891537,-0.20254966373585465,-0.32255915348337033,-0.14754209731985185,-8.384736967824235,-13.352644524994847,-6.107646168800306,-259.8307086403543,-413.7788820884675,-189.267002441906,0.8163693229116117,0.7352641375508354,0.8595170792274536,-0.2249357881717831,-0.36005545344697437,-0.1634440131181739,-9.311431989984456,-14.904839708451002,-6.76592117550335,-288.5476290667634,-461.8791356817788,-259.8307086403543,-0.9266950221602208,-1.5521951834561545,-0.6582750067030441,-28.716920426409075,-48.100253593311265,-20.39897758608751,0.8916467095970185,0.8575263666592003,0.9267537219389488,-0.12152042870427004,-0.16614490105517862,-0.07903532117228057,-0.8407833194265407,-1.1495339746942377,-0.5468346383873298,-35.58118152461027,-48.6472270289563,-23.14154203924375,0.8814792477774773,0.8444466760669507,0.919730889700774,-0.13445665626429168,-0.18420739679803833,-0.08727456172026683,-0.9302873185873822,-1.2745059262396627,-0.6038408232021323,-39.368908954184604,-53.935925782465624,-25.553991671694128,-0.08950399916084151,-0.12497195154542529,-0.05700618481480246,-3.7877274295743337,-5.288698753509323,-2.4124496324503792,0.8575263666592003,0.8243748088055176,0.9267537219389488,-0.16614490105517862,-0.21304046329236512,-0.07903532117228057,-1.3679200329765673,-1.7540250451348522,-0.6507211383417281,-122.4637451187616,-157.0299950881694,-58.25614488287628,0.8444466760669507,-0.18420739679803833,-1.516633894282524,0.8086064167472332,-0.23669560281586977,-1.9487847941945673,0.919730889700774,-0.08727456172026683,-0.7185572388210328,-135.77743010586607,-174.46596187954944,-64.32920669839147,-0.14871386130595665,-0.19475974905971505,-0.06783610047930477,-13.313684987104445,-17.43596679138004,-6.0730618155151985,0.1863
72137121900,72137121900,Census Tract 1219; Toa Baja Municipio; Puerto Rico,1711,1169,666,Bayamón zona urbana,Puerto Rico,48994,0.5930219587561656,0.25351908465117146,72137,1711,1169,666,0.012828,0.0073709,0.002928,0.8176986596494255,0.737079644076151,0.8605611682072686,-0.22294440402865912,-0.3567054904268738,-0.16203244690114485,-4.8933416242590635,-7.829224651376248,-3.5564028635587333,-285.99308148796393,-457.5818031195937,-207.85522288478865,0.8014060458599666,0.714933848506884,0.847734620663721,-0.24780690782901169,-0.39873080857546095,-0.1796144402089715,-5.439041460321891,-8.751626088026688,-3.9423049007301745,-317.88670136305615,-511.4918812406013,-285.99308148796393,-0.5456998360628278,-0.92240143665044,-0.3859020371714412,-31.893619875092217,-53.91007812100761,-22.554181015280022,0.8823714635635942,0.8455924011372871,0.9203482455580074,-0.1333095428555052,-0.182602869485394,-0.08654523418328428,-0.4562961691911946,-0.6250189449664301,-0.29622979701003926,-39.03303414809193,-53.46612018532336,-25.34044456886563,0.871398082093967,0.8315285761894771,0.9127406812223908,-0.1475811349010581,-0.20260449085532573,-0.09560143485743054,-0.5051454311356585,-0.6934811346433163,-0.3272276504759287,-43.21175629902981,-59.32259492243937,-27.992100126255664,-0.04884926194446387,-0.06846218967688622,-0.03099785346588945,-4.178722150937885,-5.856474737116016,-2.6516555573900304,0.8455924011372871,0.8099851723288501,0.9203482455580074,-0.182602869485394,-0.2345905013604431,-0.08654523418328428,-0.896401028799467,-1.1516093222341417,-0.42485223358328567,-134.59474906898905,-172.91431264776898,-63.791626664157,0.8315285761894771,-0.20260449085532573,-0.9945893761359166,0.7930942031880923,-0.2608842631558579,-1.2806859089868117,0.9127406812223908,-0.09560143485743054,-0.4693092983829627,-149.33774416455205,-192.2951815295513,-70.46686161906348,-0.09818834733644954,-0.1290765867526702,-0.04445706479967709,-14.742995095562994,-19.380868881782312,-6.67523495490647,0.10780000000000001
72021030105,72021030105,Census Tract 301.05; Bayamón Municipio; Puerto Rico,1747,1023,411,Bayamón zona urbana,Puerto Rico,58011,0.5520935686337691,0.2506250586314262,72021,1747,1023,411,0.012828,0.0073709,0.002928,0.83147536180193,0.7559842617761939,0.8713564722204039,-0.2026814574912384,-0.3227788600393455,-0.14763593532711666,-4.5421960460107185,-7.233640807373514,-3.3085974908233133,-259.99977366976066,-414.0607216584725,-189.38737783762528,0.8162709169974729,0.7351298028437243,0.8594397720070555,-0.2250834608665788,-0.3603039845911164,-0.16354866573685936,-5.044236501085839,-8.074598211542968,-3.665209990274539,-288.73706359964734,-462.19795143348415,-259.99977366976066,-0.5020404550751207,-0.8409574041694539,-0.3566124994512254,-28.737289929886707,-48.13722977501167,-20.41285056961794,0.8915859535985541,0.8574480571647484,0.926711837119723,-0.1215968532970636,-0.1662514033871815,-0.07908409059288704,-0.3642244049422397,-0.4979801436273738,-0.23688405625286063,-35.603558645380225,-48.67841091176675,-23.155821725597328,0.8814131784860609,0.8443618498945942,0.919685165641086,-0.13454169328126792,-0.18432636449033657,-0.08732861783513579,-0.4029986537198862,-0.5521208699179427,-0.261579251460767,-39.39380779275525,-53.97075952277055,-25.569819302127762,-0.03877424877764651,-0.05414072629056893,-0.02469519520790633,-3.7902491473750257,-5.292348611003805,-2.4139975765304333,0.8574480571647484,0.8242802171260368,0.926711837119723,-0.1662514033871815,-0.21317966781567765,-0.07908409059288704,-0.5036486348521229,-0.6458149915495598,-0.23958049949730667,-122.54224692265764,-157.13260135025786,-58.29209233511111,0.8443618498945942,-0.18432636449033657,-0.5584056432089688,0.8085043567385097,-0.23685171473160616,-0.7175280349913457,0.919685165641086,-0.08732861783513579,-0.264556799281612,-135.86512000218218,-174.58103041151963,-64.36905092010025,-0.05475700835684594,-0.07171304344178586,-0.02497629978430535,-13.32287307952456,-17.448429061261766,-6.0769585849891365,0.2418
72021031101,72021031101,Census Tract 311.01; Bayamón Municipio; Puerto Rico,2144,1493,607,Bayamón zona urbana,Puerto Rico,45108,0.46531500172709395,0.23966909879775464,72021,2144,1493,607,0.012828,0.0073709,0.002928,0.8614580916525122,0.7976860881564742,0.8946953100662575,-0.16082257476010997,-0.25362597498859707,-0.11769894035316236,-4.423140584464649,-6.975534031337583,-3.2371012626871862,-206.3031989022691,-325.35140071537234,-150.98420068503668,0.8487065817119546,0.7798574398877665,0.8847950348971155,-0.1782635147978544,-0.28228564459667843,-0.13020525721675255,-4.902822804620823,-7.763767573611993,-3.58106539685202,-228.67643678268763,-362.11602488861905,-206.3031989022691,-0.4796822201561737,-0.7882335422744102,-0.3439641341648336,-22.373237880418547,-36.764624173246744,-16.043103272613507,0.9114425526142704,0.8831377764570462,0.9403501869156948,-0.09716185307754416,-0.13232615188513314,-0.063433616448733507,-0.42474342937589665,-0.5784643022704671,-0.2773003080401043,-28.448990581104933,-38.74509727196698,-18.57336289618917,0.90303010870004,0.872230579361289,0.9345845058736016,-0.10738278864206809,-0.14648583030908308,-0.06999419925676108,-0.4694242900799551,-0.6403633931394779,-0.30597992202772806,-31.44168051439753,-42.89105111449952,-20.49430154237964,-0.04468086070405847,-0.0618990908690108,-0.02867961398762375,-2.9926899332925965,-4.145953842532538,-1.9209386461904725,0.8831377764570462,0.8554293696291684,0.9403501869156948,-0.13232615188513314,-0.16900358522118955,-0.063433616448733507,-0.5920452395885877,-0.7561450754682678,-0.2838106459935557,-97.5362832930128,-124.57085263068664,-46.756284348196985,0.872230579361289,-0.14648583030908308,-0.6553975708215088,0.8421754408934448,-0.1874010466739837,-0.8384578255820648,0.9345845058736016,-0.06999419925676108,-0.3131635876841078,-107.97324066252206,-138.13143749292666,-51.592024330166026,-0.06335233123292117,-0.08231275011379702,-0.02935294169055208,-10.436957369509251,-13.560584862240036,-4.835739981969041,0.4052
72021031502,72021031502,Census Tract 315.02; Bayamón Municipio; Puerto Rico,1178,719,397,Bayamón zona urbana,Puerto Rico,32824,0.392445970247444,0.20500402756131617,72021,1178,719,397,0.012828,0.0073709,0.002928,0.8874684762789293,0.8344753084552563,0.914775384870062,-0.12680058698299304,-0.1983578062377372,-0.09316452600224227,-1.9161323613254095,-2.9974609794560423,-1.407844927597868,-162.65979298178348,-254.45339384176927,-119.5114539556764,0.8769366661064019,0.819511099035348,0.9066630499950824,-0.1403332060911528,-0.22023972729241453,-0.102945576094034,-2.120628965194549,-3.3281270911709564,-1.555650131458168,-180.01943677373083,-282.5235221707094,-162.65979298178348,-0.2044966038691396,-0.3306661117149141,-0.14780520386030016,-17.359643791947335,-28.07012832894008,-12.547131057750438,0.9284575630795124,0.9053033196293608,0.9519573907012856,-0.07705515013868298,-0.10460215743979467,-0.05046718452736878,-0.16221896783675985,-0.22021180911129384,-0.10624513181692163,-22.56174796060638,-30.627511698371876,-14.776791629613582,0.9215910831825472,0.8963415407319496,0.9472819474338464,-0.08507994299020541,-0.1156461622691315,-0.05565191304338145,-0.1791130185411561,-0.24346200148616823,-0.11716018820014402,-24.911407307532144,-33.86119631240171,-16.29488013910209,-0.01689405070439625,-0.02325019237487444,-0.01091505638322237,-2.3496593469257663,-3.2336846140298245,-1.5180885094885086,0.9053033196293608,0.8824930987049504,0.9519573907012856,-0.10460215743979467,-0.1331533373660256,-0.05046718452736878,-0.3060917807823741,-0.38963959395332154,-0.14767946246181468,-77.10120422729825,-98.1459934391238,-37.19885704327826,0.8963415407319496,-0.1156461622691315,-0.33840927009540794,0.8715302177082459,-0.14740714628297688,-0.4313497638112661,0.9472819474338464,-0.05565191304338145,-0.16285126028302976,-85.24162974695415,-108.65233345371942,-41.020468585146034,-0.03231748931303385,-0.04171016985794457,-0.01517179782121508,-8.140425519655883,-10.50634001459561,-3.821611541867779,0.963
72021031611,72021031611,Census Tract 316.11; Bayamón Municipio; Puerto Rico,1228,940,414,Bayamón zona urbana,Puerto Rico,36463,0.4538950504032668,0.23014433015328176,72021,1228,940,414,0.012828,0.0073709,0.002928,0.8654834572358584,0.8033426118790404,0.8978128610356925,-0.15542358625057306,-0.2447989005101728,-0.11381786049091258,-2.4483541827106476,-3.8562642031742422,-1.79294817165548,-199.37737644223515,-314.0280295744497,-146.00555143774267,0.8530699587626864,0.7859426997491219,0.8881869841244782,-0.17223680159880966,-0.27235738727416975,-0.1258890502496391,-2.7132091324369036,-4.2903870925343455,-1.9831030165477108,-220.94536909095308,-349.380056395305,-199.37737644223515,-0.264854949726256,-0.4341228893601032,-0.1901548448922308,-21.567992648717915,-35.352026820855315,-15.484922222494363,0.914088373869429,0.8865753306408406,0.9421598584361154,-0.09398612714752992,-0.12793573815907217,-0.06139100604423231,-0.2586798974706896,-0.35212009084997753,-0.16896769375566148,-27.519138028796768,-37.45958413297633,-17.975286569751223,0.9059140677697723,0.875965913870545,0.9365631293677216,-0.10385745798368427,-0.14159693221554442,-0.06773368355329659,-0.2858489587576539,-0.3897200684754872,-0.18642477191740928,-30.40946369762276,-41.45958175271141,-19.83242254440524,-0.02716906128696433,-0.0375999776255097,-0.01745707816174779,-2.890325668825993,-3.9999976197350753,-1.857135974654021,0.8865753306408406,0.859615263071485,0.9421598584361154,-0.12793573815907217,-0.16331112645313833,-0.06139100604423231,-0.39040263441223594,-0.49835249253700314,-0.18733788411089283,-94.30015323967052,-120.37499819734376,-45.250696645143194,0.875965913870545,-0.14159693221554442,-0.4320904866543684,0.8467096898114203,-0.1810423478473722,-0.5524602472837531,0.9365631293677216,-0.06773368355329659,-0.20669289815463948,-104.36968276675564,-133.4445041748196,-49.9258208102994,-0.04168785224213245,-0.05410775474674995,-0.01935501404374665,-10.069529527085134,-13.069505977475831,-4.675124165156196,0.7342
72021031402,72021031402,Census Tract 314.02; Bayamón Municipio; Puerto Rico,1572,1054,507,Bayamón zona urbana,Puerto Rico,34731,0.4491574020648112,0.2283543651366673,72021,1572,1054,507,0.012828,0.0073709,0.002928,0.8671589241012587,0.8057010168422215,0.899109385257824,-0.1531911535551808,-0.24115519168548796,-0.11221172462040878,-3.0891939771908103,-4.863042991935943,-2.262818549392909,-196.5136117805859,-309.353879894144,-143.94520034306038,0.854886713981107,0.788481127656505,0.8895979718818825,-0.16974563254482855,-0.2682611731902369,-0.12410328216527934,-3.4230252435761153,-5.409651806263812,-2.502619132484672,-217.74969742850607,-344.1254329684359,-196.5136117805859,-0.3338312663853049,-0.5466088143278691,-0.23980058309176264,-21.23608564792016,-34.77155307429193,-15.254490018559965,0.9151882645303048,0.8880053484771054,0.942911635297494,-0.0926713538150783,-0.12611934344197478,-0.06054476640803587,-0.2859941770649589,-0.38921841922839967,-0.1868479301490364,-27.13417239705492,-36.92774375981022,-17.7275076042729,0.9071132001668905,0.8775202348559092,0.9373852043310648,-0.10239824513194191,-0.13957486138676015,-0.0667972946229914,-0.31601245308062753,-0.4307436546240172,-0.20614393250354923,-29.98220617463259,-40.86751941404338,-19.55824786561188,-0.03001827601566864,-0.04152523539561753,-0.01929600235451284,-2.84803377757767,-3.9397756542331623,-1.8307402613389792,0.8880053484771054,0.861357816492912,0.942911635297494,-0.12611934344197478,-0.1609577121753894,-0.06054476640803587,-0.47131382576826114,-0.6015064227415039,-0.22625859528951475,-92.9613068576452,-118.64032006735778,-44.62694187169917,0.8775202348559092,-0.13957486138676015,-0.521597719318405,0.8485979123956272,-0.17841440026285052,-0.6667428743690046,0.9373852043310648,-0.0667972946229914,-0.2496245827208599,-102.87923457956708,-131.5074702897445,-49.23561789366074,-0.0502838935501439,-0.06523645162750069,-0.02336598743134518,-9.917927721921874,-12.867150222386725,-4.608676021961576,0.8943
