geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48201530200,48201530200,Census Tract 5302; Harris County; Texas,2363,1711,553,Houston city,Texas,117281,0.5331913579628472,0.22366388630285283,48201,2363,1711,553,0.008491,0.006897320142,0.003436016044,0.8379160584680684,0.7648780255363975,0.8763877451505664,-0.19343696769371369,-0.3073979989145524,-0.1410474479286524,-3.881164390620144,-6.167705073955327,-2.8300088592958494,-164.2473292687323,-261.01164087834644,-119.76338803621876,0.8232288181116418,0.7446486431578992,0.864900056814563,-0.21472909839799292,-0.3429152247685687,-0.15620295330192455,-4.308374662137257,-6.880330969003935,-3.1340924503379335,-182.3264774497358,-291.1693173509917,-164.2473292687323,-0.4272102715171129,-0.7126258950486077,-0.30408359104208404,-18.079148181003507,-30.15767647264527,-12.868539612445367,0.8958739600942376,0.8629793983277696,0.929665608283052,-0.11622844791114292,-0.1587762140530131,-0.07565558098555963,-0.6833097709759499,-0.933449085923752,-0.44478093483462094,-39.93628117919053,-54.55576188917312,-25.99537900845242,0.8860772877272599,0.8503553939300613,0.9229101910728472,-0.12856972394016064,-0.17597889910279843,-0.08352904721697677,-0.7558644221693143,-1.0345840747564927,-0.4910692274520149,-44.17676342310428,-60.46663207226725,-28.70071463775657,-0.07255465119336435,-0.10113498883274064,-0.04628829261739398,-4.240482243913755,-5.910870183094135,-2.7053356293041486,0.8629793983277696,0.8309670808991636,0.929665608283052,-0.1587762140530131,-0.20341710638877672,-0.07565558098555963,-0.6056070997298678,-0.7758771965328345,-0.28856688171028616,-109.51303792583504,-140.30329051226664,-52.18207625864126,0.8503553939300613,-0.17597889910279843,-0.6712218913578406,0.8157220487092833,-0.22590777285265196,-0.8616615022578192,0.9229101910728472,-0.08352904721697677,-0.31859799863588273,-121.37828053487172,-155.81582319309572,-57.61265798117229,-0.06561479162797279,-0.08578430572498474,-0.03003111692559656,-11.865242609036672,-15.512532680829068,-5.430581722531025,0.3554
48201534002,48201534002,Census Tract 5340.02; Harris County; Texas,2999,2105,820,Houston city,Texas,30257,0.39739788061120945,0.2593056813896708,48201,2999,2105,820,0.008491,0.006897320142,0.003436016044,0.8856762986663987,0.8319223770924522,0.9133966576204432,-0.1290806827570563,-0.20203522291944456,-0.09481460399162564,-3.286976207793205,-5.144727752349202,-2.4144073366761876,-109.6024077290165,-171.54810778090035,-80.50708024928934,0.8749888625856185,0.8167536552061981,0.9051600127329344,-0.14287168986925142,-0.22435938134557767,-0.10477704044914322,-3.6381574325207615,-5.713201485508895,-2.6680958895105715,-121.31235186798138,-190.50355070053,-109.6024077290165,-0.35118122472755653,-0.568473733159693,-0.25368855283438396,-11.709944138964872,-18.955442919629643,-8.459104796078158,0.927291292617112,0.9037795682348488,0.9511640904509268,-0.07840978122169247,-0.10646449106287852,-0.05134330662748323,-0.5671233455283783,-0.7700378372545668,-0.3713565753071124,-26.94172662842652,-36.58136994083453,-17.64164253240439,0.9203177534509536,0.8946821462422042,0.9464136391847248,-0.08658123376438029,-0.11771538551444909,-0.05662044437719283,-0.6262259400214415,-0.8514134615981802,-0.409525129903225,-29.749450832372517,-40.447195325329226,-19.45487552984442,-0.05910259449306321,-0.08137562434361345,-0.03816855459611257,-2.8077242039459955,-3.865825384494701,-1.813232997440027,0.9037795682348488,0.8806271319889448,0.9511640904509268,-0.10646449106287852,-0.1355543835464676,-0.05134330662748323,-0.6021421364649322,-0.7666688235765843,-0.2903876028260702,-73.43196786157709,-93.49619799714442,-35.413122295862216,0.8946821462422042,-0.11771538551444909,-0.6657749736163259,0.8695033669863613,-0.15008180297901663,-0.8488330389605745,0.9464136391847248,-0.05662044437719283,-0.32023405179047826,-81.19206995321046,-103.5162242634847,-39.05293314518027,-0.06363283715139367,-0.08216421538399021,-0.02984644896440808,-7.7601020916333745,-10.02002626634027,-3.6398108493180583,0.839
48201521100,48201521100,Census Tract 5211; Harris County; Texas,1668,867,331,Houston city,Texas,36620,0.5428389453502592,0.2349501463532366,48201,1668,867,331,0.008491,0.006897320142,0.003436016044,0.8346225518812613,0.7603256997082168,0.8738161910326576,-0.19814639293651187,-0.3152258306982925,-0.14440543704989148,-2.8063449854031024,-4.464539657469949,-2.045212472072369,-168.24610224239223,-267.6582528459202,-122.61465659906288,0.8196701637239043,0.7397749772813239,0.862108835932494,-0.22000292832036952,-0.3517624016900438,-0.15994635285039968,-3.115898833766254,-4.982006673987271,-2.2653182760639767,-186.80448643682575,-298.6814552750162,-168.24610224239223,-0.3095538483631515,-0.5174670165173216,-0.22010580399160817,-18.558384194433543,-31.02320242909602,-13.19579160621152,0.8936828139615477,0.8601517873953262,0.9281568448029108,-0.11896523506720004,-0.16258550485392356,-0.07740411073771136,-0.35440051767203634,-0.4843464315743317,-0.23058885143960717,-40.87664563691307,-55.86464031999213,-26.59617663663289,0.8836936757085154,0.8472910242656387,0.9212627447800316,-0.13161384707006546,-0.18023202342632708,-0.0854666659062268,-0.39208106055598146,-0.5369158676254296,-0.2546074121886123,-45.222729014530735,-61.92801241354436,-29.366483528098307,-0.03768054288394512,-0.05256943605109793,-0.02401856074900515,-4.346083377617662,-6.063372093552241,-2.770306891465416,0.8601517873953262,0.8275473910241035,0.9281568448029108,-0.16258550485392356,-0.20839000986092604,-0.07740411073771136,-0.3711848158280741,-0.4757570947061688,-0.1767145885134538,-112.1404277426206,-143.73326124053438,-53.3880932064815,0.8472910242656387,-0.18023202342632708,-0.411472046551313,0.8120301624985885,-0.2314813490708705,-0.5284749215479138,0.9212627447800316,-0.0854666659062268,-0.19512150651034352,-124.31179654118216,-159.66009714438482,-58.94909562246028,-0.04028723072323886,-0.05271782684174492,-0.01840691799688973,-12.171368798561591,-15.926835903850428,-5.561002415978772,0.8904
48201553700,48201553700,Census Tract 5537; Harris County; Texas,2661,1937,758,Houston city,Texas,3417,0.3885831141684674,0.24064247561304009,48201,2661,1937,758,0.008491,0.006897320142,0.003436016044,0.8888690247589788,0.8364722216357189,0.9158523387775382,-0.12502514110124935,-0.1954969622834612,-0.09187907008544675,-2.8248869268943744,-4.41716608465874,-2.075966334878201,-106.1588473090708,-165.9964706748869,-78.014518409552835,0.8784591067746259,0.8216685709011678,0.9078372627759268,-0.138356916432487,-0.21703571904088595,-0.10151900676808968,-3.126112404536565,-4.903824622690968,-2.2937763758909475,-117.47885774282469,-184.28502903761623,-106.1588473090708,-0.30122547764219076,-0.4866585380322279,-0.2178100410127466,-11.32001043375388,-18.288558362729347,-8.185270237232116,0.9293683585634908,0.90649374176652,0.952576682872186,-0.07599961929593049,-0.10315157615016826,-0.04978425147340816,-0.5058202600693796,-0.6865318215829322,-0.331342225933849,-26.11359112387092,-35.44304706158659,-17.105948680116107,0.9225855975334836,0.8976381276406011,0.9479598451164648,-0.08391026553360738,-0.11403467522981912,-0.05489700344548006,-0.5584700650858745,-0.7589649739832705,-0.3653704691821954,-28.83170186297751,-39.18249736619878,-18.86269846061928,-0.05264980501649485,-0.07243315240033821,-0.03402824324834641,-2.7181107391066006,-3.7394503046121943,-1.7567497805031709,0.90649374176652,0.883951435339237,0.952576682872186,-0.10315157615016826,-0.13128386925038094,-0.04978425147340816,-0.5392938384455785,-0.6863742117808629,-0.2602804636949839,-71.14694438596024,-90.55068757003468,-34.33779204419313,0.8976381276406011,-0.11403467522981912,-0.5961925160605873,0.8731145908342971,-0.14532503579450967,-0.7597837987639356,0.9479598451164648,-0.05489700344548006,-0.2870107933607644,-78.65336623490597,-100.23532965223426,-37.8642207599953,-0.05689867761500877,-0.07340958698307276,-0.02673032966578048,-7.506421848945748,-9.684642082199574,-3.5264287158021745,0.7673
48201532800,48201532800,Census Tract 5328; Harris County; Texas,1201,766,249,Houston city,Texas,63711,0.656602977395249,0.23046861757718076,48201,1201,766,249,0.008491,0.006897320142,0.003436016044,0.7967483178655895,0.7086451726919452,0.8440556456024886,-0.2551014888602486,-0.4111434587231847,-0.18475601130088767,-2.6014461570367575,-4.192713948730292,-1.884084713638961,-216.6066741912371,-349.10191080185615,-156.87632919558374,0.778849007422097,0.6846548931402892,0.8298664113500944,-0.28394591309795475,-0.4605898680039012,-0.20501322420450585,-2.8955926824857956,-4.696953151634571,-2.090661511351271,-241.09847481147335,-391.0868569221125,-216.6066741912371,-0.2941465254490381,-0.5042392029042793,-0.20657679771231072,-24.49180062023631,-41.98494612025639,-17.200399476462177,0.8682455495635281,0.8274992891400419,0.9105491571988072,-0.15174791336702578,-0.20846025262357049,-0.09823834561153998,-0.39939873096902895,-0.548664943773975,-0.25856217524946756,-52.14082649726226,-71.62727725508812,-33.754853165726836,0.8560651598320838,0.8119782427240889,0.9020564919357787,-0.1681353790827662,-0.23156009284820345,-0.10857802026793034,-0.4425303488307836,-0.6094634527392424,-0.28577607786443626,-57.77158600924067,-79.56441941765567,-37.30758196663659,-0.04313161786175462,-0.06079850896526739,-0.0272139026149687,-5.63075951197841,-7.937142162567545,-3.552728800909752,0.8274992891400419,0.7882683749149182,0.9105491571988072,-0.20846025262357049,-0.26860347544443236,-0.09823834561153998,-0.3580164577075132,-0.46130839618712727,-0.16871774865590475,-143.78170992269608,-185.26441613940855,-67.758131990323193,0.8119782427240889,-0.23156009284820345,-0.39768887902884054,0.7697354945002414,-0.2991475736080746,-0.5137658296344727,0.9020564919357787,-0.10857802026793034,-0.18647544417694753,-159.71440924853033,-206.33165848774004,-74.889736617248,-0.03967242132132731,-0.05245743344734543,-0.01775769552104278,-15.932699325834262,-21.0672423483315,-7.131604626924813,0.6374
48201540200,48201540200,Census Tract 5402; Harris County; Texas,1443,940,357,Houston city,Texas,76515,0.5802478126142061,0.2679328265256246,48201,1443,940,357,0.008491,0.006897320142,0.003436016044,0.8219738182184161,0.7429286467183965,0.8639160513526846,-0.21658376195904397,-0.3460242843200595,-0.15751987526362166,-2.653695358992092,-4.239667041947225,-1.9300143194259027,-183.90127227942423,-293.8092198161625,-133.75012608634114,0.8060162226474393,0.7211769129259933,0.8513706954309788,-0.24066981768109075,-0.38662231427064464,-0.1745764863257156,-2.9488100698451944,-4.737094931691159,-2.1390006682001528,-204.35274219301417,-328.28100704720435,-183.90127227942423,-0.2951147108531025,-0.4974278897439337,-0.20898634877425004,-20.45146991358991,-34.47178723104184,-14.48276845282398,0.8852371255363858,0.8492749616507307,0.9223296789442637,-0.1296408286018017,-0.17747495823532342,-0.08421101784845629,-0.4187210890112501,-0.573218395670513,-0.2719893839043342,-44.54479670332447,-60.98068039048011,-28.935040840886614,0.8745116134187099,0.8355128861635529,0.9149024741800836,-0.14349539177726986,-0.19686963128926355,-0.09301267427020456,-0.46346932028355897,-0.6358603789850975,-0.30041745862250274,-49.30524683867648,-67.6447211686274,-31.959304108776887,-0.04474823127230892,-0.06264198331458448,-0.02842807471816855,-4.760450135352014,-6.664040778147285,-3.0242632678902712,0.8492749616507307,0.8144199771438418,0.9223296789442637,-0.17747495823532342,-0.22786771943756143,-0.08421101784845629,-0.4370042726769464,-0.5610885501228221,-0.207356434801659,-122.41016041371049,-157.1676610988297,-58.0830349584479,0.8355128861635529,-0.19686963128926355,-0.4847606157465196,0.7978720649834634,-0.25333376601012575,-0.6237946990412768,0.9149024741800836,-0.09301267427020456,-0.22902913443874465,-135.78728732395507,-174.73240869503553,-64.15381917051671,-0.04775634306957321,-0.06270614891845472,-0.02167269963708565,-13.377126910244598,-17.564747596205805,-6.070784212068809,0.7392
48201222300,48201222300,Census Tract 2223; Harris County; Texas,2953,2083,756,Houston city,Texas,25322,0.8239229939976261,0.1324058940964827,48201,2953,2083,756,0.008491,0.006897320142,0.003436016044,0.7441446768360684,0.638949233122017,0.8021166708897072,-0.3438247038892617,-0.565069567599019,-0.2467014292207651,-8.621034150817147,-14.168510827621098,-6.185772640271415,-291.94155607237207,-479.80056984832703,-209.47418355135167,0.7224754885635556,0.6109602967699214,0.7846234738243091,-0.3841300027883656,-0.6367675694916478,-0.2744966641463463,-9.631646111905264,-15.966261006330727,-6.882708220562349,-326.16478536760127,-540.6793432553582,-291.94155607237207,-1.0106119610881183,-1.797750178709629,-0.6969355802909343,-34.2232292952292,-60.87877340703112,-23.600933975311015,0.8321429769388501,0.781713867198574,0.8852575113092028,-0.20171656519728684,-0.2792404509641071,-0.12961481515260467,-1.4437301211286506,-1.998585736873591,-0.9276819313144568,-69.31013543584497,-95.94746696464672,-44.5358584404444,0.8169918936968964,0.7626979828770731,0.8745337661014192,-0.22400235267328064,-0.31113497406636476,-0.14346642606825377,-1.6032344366056457,-2.2268619007906554,-1.026820977656626,-76.96756776791385,-106.90647627415532,-49.295294174585976,-0.15950431547699506,-0.22827616391706407,-0.0991390463421692,-7.657432332068893,-10.959009309508597,-4.759435734141584,0.781713867198574,0.733860276821462,0.8852575113092028,-0.2792404509641071,-0.3626572136200881,-0.12961481515260467,-1.4560641548932998,-1.8910303555324337,-0.6758601256917722,-192.6010786895899,-250.13629041434308,-89.39948752536671,0.7626979828770731,-0.31113497406636476,-1.6223741277724906,0.7114996952689235,-0.4054819793310422,-2.1143347015830667,0.8745337661014192,-0.14346642606825377,-0.7480876058873184,-214.59975235085855,-279.6739023258025,-98.95338702213206,-0.1663099728791908,-0.2233043460506332,-0.07222748019554615,-21.998673661268622,-29.537611911459415,-9.553899496765364,0.8553
48201412700,48201412700,Census Tract 4127; Harris County; Texas,1712,1489,600,Houston city,Texas,12369,0.5580257898659943,0.24122969821175785,48201,1712,1489,600,0.008491,0.006897320142,0.003436016044,0.829464254721229,0.7532144431903024,0.8697834332075044,-0.20559746162429343,-0.32764315533358185,-0.1497114819861484,-2.988686415868011,-4.762814870676904,-2.176294731347989,-174.57280466518756,-278.2018031937444,-127.1200193544386,0.8140994148883925,0.7321675942935846,0.8577332474551611,-0.22835120835591455,-0.3658075115504497,-0.16586363297322929,-3.3194483485769206,-5.317594545944175,-2.411091960169581,-193.89301101500703,-310.60715805748686,-174.57280466518756,-0.3307619327089095,-0.5547796752672713,-0.23479722882159224,-19.32020634981948,-32.40535486374249,-13.714791403130388,0.8902444526620616,0.8557194353278565,0.9257867694069488,-0.12328697697552714,-0.1686073246856482,-0.08016233656114079,-0.6307642700163089,-0.8626334969333929,-0.4101287820028766,-42.361603090416985,-57.93374727558045,-27.54390745486075,0.8799544740668938,0.8424895748166212,0.9186753572011296,-0.1364224280584548,-0.186958307724654,-0.08852381002864516,-0.6979682311881565,-0.9565213081575894,-0.45290798575477054,-46.87496515702865,-64.23917449010003,-30.416923153443285,-0.06720396117184768,-0.09388781122419654,-0.04277920375189392,-4.5133620666116645,-6.305427214519579,-2.8730156985825333,0.8557194353278565,0.822192743195587,0.9257867694069488,-0.1686073246856482,-0.21625982262180513,-0.08016233656114079,-0.6977632179858331,-0.8949679382848341,-0.33174317915576357,-116.29386966430552,-149.16132304747234,-55.290529859293926,0.8424895748166212,-0.186958307724654,-0.773706780950094,0.806252368096139,-0.2403064345241814,-0.9944822466575044,0.9186753572011296,-0.08852381002864516,-0.3663462347742935,-128.951130158349,-165.74704110958405,-61.057705795715584,-0.07594356296426097,-0.09951430837267015,-0.03460305561852994,-12.657260494043491,-16.58571806211169,-5.7671759364216575,0.2087
48201340600,48201340600,Census Tract 3406; Harris County; Texas,1443,1129,562,Houston city,Texas,57824,0.6903467360629088,0.14423333174535083,48201,1443,1129,562,0.008491,0.006897320142,0.003436016044,0.785848453616652,0.6940027011919563,0.8354248031456287,-0.27250998000667204,-0.4409165818555035,-0.19699582324428908,-3.3389320726614895,-5.402336151100121,-2.4136938852463543,-231.38822402366523,-374.3822696535081,-167.26915351672585,0.7671365643447715,0.6691096245978883,0.8205368720584741,-0.3035488679308649,-0.49452341326126553,-0.2187142760462527,-3.7192364504582054,-6.059154549788029,-2.6797995105423,-257.7433437600974,-419.8998302001406,-231.38822402366523,-0.3803043777967159,-0.6568183986879079,-0.2661056252959457,-26.35511973643215,-45.517560546632566,-18.441138274147313,0.8608407241724115,0.8180546841796789,0.9053910286855988,-0.1616550796448116,-0.2224121679625495,-0.10449514995940452,-0.6271024259493939,-0.8627950967976614,-0.4053640763004101,-55.544944725367046,-76.4211777500143,-35.904701178069985,0.8480375537271196,0.8017898780456506,0.89643706608207,-0.17919306238857746,-0.24720955874060577,-0.11552727774918747,-0.6951368579575883,-0.9589906753609936,-0.4481605916685474,-61.57102373406451,-84.94160100628818,-39.69535798658524,-0.06803443200819437,-0.09619557856333216,-0.04279651536813728,-6.026079008697464,-8.520423256273885,-3.790656808515259,0.8180546841796789,0.7769803325020369,0.9053910286855988,-0.2224121679625495,-0.28703386452497937,-0.10449514995940452,-0.8621349343636566,-1.1126276238360224,-0.4050539144366469,-153.40479259139798,-197.97644552242392,-72.07365025563112,0.8017898780456506,-0.24720955874060577,-0.9582569094636398,0.7576192978157238,-0.31992413984580237,-1.2401199980828082,0.89643706608207,-0.11552727774918747,-0.44781768431068336,-170.5083468796512,-220.6619213670477,-79.68286197698993,-0.0961219750999832,-0.12749237424678572,-0.04276376987403652,-17.10355428825324,-22.685475844623795,-7.609211721358811,0.1842
48201321800,48201321800,Census Tract 3218; Harris County; Texas,2258,1341,745,Houston city,Texas,47151,0.6643267910244829,0.16966970344616225,48201,2258,1341,745,0.008491,0.006897320142,0.003436016044,0.7942401149246326,0.7052665375054428,0.8420722438109178,-0.2590650877598803,-0.41790365318768963,-0.1875465642643173,-4.966971508661927,-8.012332177591245,-3.5957698866460626,-219.97216601691437,-354.8419919216672,-159.2457877168318,0.7761523918112009,0.681065068962878,0.8277215983715484,-0.2884067749458795,-0.4682884875050108,-0.20813568471257793,-5.5295302290558155,-8.978344382040596,-3.990518463303779,-244.8861926065463,-397.6237547405047,-219.97216601691437,-0.5625587203938887,-0.9660122044493508,-0.394748576657717,-24.914026589631913,-42.78176281883751,-17.482222172618112,0.8665450126827061,0.8253278785215419,0.9093658945053196,-0.15400814194768175,-0.21163967197056097,-0.09966736826432644,-0.7096229329427165,-0.9751715906150156,-0.45923708507852545,-52.91744466388639,-72.71973084377446,-34.24586764194821,0.8542209920113686,0.8096347998248671,0.9007671266699196,-0.17065725304335683,-0.2351247750421684,-0.11016484770812868,-0.7863370007652841,-1.083383841677674,-0.5076062950255387,-58.63810594819419,-80.78924993867815,-37.85281842099468,-0.07671406782256762,-0.10821225106265842,-0.04836920994701321,-5.720661284307802,-8.069519094903686,-3.6069507790464734,0.8253278785215419,0.7856701991818292,0.9093658945053196,-0.21163967197056097,-0.27279868963003395,-0.09966736826432644,-1.087511196384973,-1.4017770230388475,-0.5121411212391044,-145.9746572328823,-188.15798966964397,-68.74377466296704,0.8096347998248671,-0.2351247750421684,-1.2081894808522675,0.7669451555084003,-0.30387419858869835,-1.5614586347671533,0.9007671266699196,-0.11016484770812868,-0.5660824561630406,-162.17308467815673,-209.59176305599377,-75.98422230376384,-0.12067828446729444,-0.15968161172830575,-0.05394133492393627,-16.198427445274422,-21.433773386349767,-7.240447640796815,0.8579
48201313000,48201313000,Census Tract 3130; Harris County; Texas,2192,1474,560,Houston city,Texas,49566,0.5406559439330075,0.21188982885711047,48201,2192,1474,560,0.008491,0.006897320142,0.003436016044,0.8353666528622546,0.761353396678553,0.8743974064141367,-0.19707914671199123,-0.3134505005987447,-0.1436447462726974,-3.668090684131487,-5.8340259756799995,-2.6735550889984303,-167.33990347315176,-266.1508200583941,-121.96875406014736,0.8204740468778895,0.7408749630497546,0.8627396280146753,-0.21880759520091095,-0.3497554241589932,-0.1590982580702667,-4.07250647754525,-6.509743087922553,-2.9611800539299993,-185.78952908509353,-296.97733065340117,-167.33990347315176,-0.4044157934137633,-0.6757171122425536,-0.28762496493156897,-18.44962561194176,-30.826510595007008,-13.121576867316104,0.8941781445007813,0.8607907910702832,0.9284980247709452,-0.1183453835793526,-0.16172246540489582,-0.07700821468811847,-0.5993824025134729,-0.8190737730787176,-0.39002255379136486,-40.66366367119897,-55.568098580645696,-26.460146118817153,0.8842324640181948,0.847983444384992,0.9216352619780523,-0.13092432215814132,-0.17926830602837948,-0.08502792943681209,-0.6630907973691823,-0.9079379753732713,-0.4306399040264217,-44.98580714851983,-61.59687756942139,-29.21573297329862,-0.06370839485570945,-0.08886420229455361,-0.04061735023505686,-4.322143477320858,-6.028778988775685,-2.7555868544814697,0.8607907910702832,0.8283199450799407,0.9284980247709452,-0.16172246540489582,-0.2072629736127996,-0.07700821468811847,-0.6246529061086082,-0.8005530862506111,-0.29744417374997906,-111.54516180510862,-142.9559082590377,-53.11503102678198,0.847983444384992,-0.17926830602837948,-0.6924237028753866,0.8128640762105842,-0.23021797772366495,-0.8892167730902073,0.9216352619780523,-0.08502792943681209,-0.32842031618876405,-123.6470897991762,-158.78870948039415,-58.64648503370786,-0.06777079676677833,-0.08866368683959625,-0.03097614243878499,-12.10192799406756,-15.832801221356473,-5.531454006925891,0.6643
