geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
53053061400,53053061400,Census Tract 614; Pierce County; Washington,3003,1670,749,Tacoma city,Washington,55995,0.5050670629042072,0.2301363480855017,53053,3003,1670,749,0.011285,0.00730409985099999,0.00317867361099999,0.8475915226573127,0.7783049379523247,0.8839275142668055,-0.17981359330360727,-0.28484344790480476,-0.13131448434374574,-6.093676790494918,-9.653018303745982,-4.450097519324969,-202.9196400431208,-321.44583096057215,-148.18839558191706,0.8336912911496278,0.7590401772372347,0.873088600277463,-0.1994847620646714,-0.3174533180046072,-0.14535913042754786,-6.760310176319149,-10.75812946312702,-4.926054493985258,-225.11855398998165,-358.2460693681992,-202.9196400431208,-0.6666333858242313,-1.105111159381039,-0.4759569746602885,-22.19891394686085,-36.800238407627006,-15.849383105570714,0.9022922153168752,0.871275503361323,0.9340779111047964,-0.108288404825493,-0.1477425867501915,-0.0705745078772211,-0.5748365363094529,-0.7842745210785989,-0.37463665408371927,-34.421349479607954,-46.96254617237119,-22.43333257986343,0.8930626601909493,0.8593519247363332,0.9277295977460394,-0.1197422583832875,-0.16366760952658663,-0.07790028735694628,-0.6356379999303141,-0.8688106720006139,-0.4135247114771062,-38.06215568444995,-52.02459113776131,-24.76195877108421,-0.06080146362086125,-0.08453615092201505,-0.03888805739338691,-3.640806204841991,-5.062044965390123,-2.328626191220773,0.871275503361323,0.8410168914924347,0.9340779111047964,-0.1477425867501915,-0.189036760278905,-0.0705745078772211,-0.8082658277954528,-1.0341767860674178,-0.38609695610033623,-107.91266058684285,-138.07433725866727,-51.54832524704089,0.8593519247363332,-0.16366760952658663,-0.8953879772051441,0.8265805662691595,-0.20980342486587067,-1.1477864480622697,0.9277295977460394,-0.07790028735694628,-0.4261746164802696,-119.54445623566676,-153.24251643020955,-56.89914772767285,-0.08712214940969132,-0.11360966199485167,-0.04007766037993338,-11.63179564882394,-15.16817917154228,-5.350822480631959,0.8271
53053061300,53053061300,Census Tract 613; Pierce County; Washington,3886,2480,687,Tacoma city,Washington,74793,0.5922520758768107,0.19716933405947423,53053,3886,2480,687,0.011285,0.00730409985099999,0.00317867361099999,0.8179556876364759,0.7374308489798244,0.8607629936567767,-0.22256011556023328,-0.35605935306804526,-0.1617599819802931,-9.760042253321846,-15.614452400363051,-7.093742987372603,-251.1590904097233,-401.812979937289,-182.54613966476072,0.8016831476004852,0.7153085755559335,0.847953322223489,-0.24737560343272305,-0.39799805870187704,-0.1793101976153791,-10.848288498892954,-17.453611847263353,-7.863381544228004,-279.163368473828,-449.1408092450683,-251.1590904097233,-1.0882462455711082,-1.8391594469003003,-0.7696385568554014,-28.004278064104685,-47.32782930777922,-19.805418344194575,0.882543910667176,0.8458138918802189,0.9204675436018356,-0.13308809670901345,-0.18229318482465448,-0.08640441148739482,-1.0491481799489493,-1.4370373294468417,-0.6811355282190386,-42.3043620947157,-57.94505360672748,-27.465142266896716,0.8715854166858445,0.8317681669463964,0.9128708251895362,-0.14733447904904698,-0.2022580807236463,-0.0954452397932352,-1.161453986948222,-1.59442281104325,-0.752405377265283,-46.832822054363795,-64.29124238077621,-30.33892650263238,-0.11230580699927284,-0.15738548159640864,-0.07126984904624445,-4.5284599596480986,-6.346188774048736,-2.8737842357356636,0.8458138918802189,0.8102517676597053,0.9204675436018356,-0.18229318482465448,-0.23418428680304512,-0.08640441148739482,-0.9147319977677428,-1.1751172196547837,-0.4335701305116555,-133.1487624116074,-171.05054143446634,-63.110644907082325,0.8317681669463964,-0.2022580807236463,-1.0149141802693888,0.7933813474071697,-0.2604279181355545,-1.3068055729004489,0.9128708251895362,-0.0954452397932352,-0.4789362529239184,-147.7313217277131,-190.2191518050144,-69.71415617524285,-0.1001821825016459,-0.1316883532456652,-0.04536612241226284,-14.582559316105662,-19.168610370548063,-6.6035112681605295,0.7059
53053060700,53053060700,Census Tract 607; Pierce County; Washington,4807,2392,770,Tacoma city,Washington,85913,0.648142427343321,0.16502996151790644,53053,4807,2392,770,0.011285,0.00730409985099999,0.00317867361099999,0.7995048570211011,0.7123646570726605,0.8462335960253865,-0.2507741400420377,-0.40377542607086553,-0.1817068061311059,-13.603743520989717,-21.90360351918911,-9.85704820366007,-282.99861703743954,-455.6605683209717,-205.056130718953,0.7818135931220612,0.6886088514741783,0.8322221861247915,-0.27907727468211757,-0.45220323244348887,-0.2016021883007698,-15.139103524294455,-24.530666489345776,-10.936312900740916,-314.93870447876964,-510.3113478124772,-282.99861703743954,-1.5353600033047403,-2.627062970156665,-1.0792646970808466,-31.94008744133015,-54.6507794915054,-22.45193877846571,0.8701121223437254,0.8298843767262913,0.911847052498147,-0.14927717281585495,-0.204987138021295,-0.0966751466272159,-1.1350121566110316,-1.558596597284711,-0.7350585799169803,-47.45034099544446,-65.15872062227052,-30.729873742348676,0.8580898031303086,0.8145530000918291,0.9034709615494336,-0.16537919032717033,-0.22766719892660697,-0.1068424360701325,-1.2574420316988424,-1.7310418838253567,-0.8123644191140345,-52.56864681015227,-72.3679717318293,-33.96172320710846,-0.12242987508781078,-0.17244528654064606,-0.07730583919705414,-5.118305814707808,-7.209251109558783,-3.2318494647597884,0.8298843767262913,0.7911242392965784,0.911847052498147,-0.204987138021295,-0.26402396782728055,-0.0966751466272159,-1.152879823694258,-1.4849122165321047,-0.543716191537943,-149.72465242782573,-192.84574240676685,-70.61249240752507,0.8145530000918291,-0.22766719892660697,-1.2804360443932112,0.7728036421430425,-0.29398976074559496,-1.653444537096218,0.9034709615494336,-0.1068424360701325,-0.6008986224628554,-166.2903953757417,-214.73305676574256,-78.03878213803317,-0.12755622069895312,-0.16853232056411316,-0.05718243092491237,-16.56574294791599,-21.887314358975733,-7.4262897305081,0.3107
53053061002,53053061002,Census Tract 610.02; Pierce County; Washington,3084,1960,1071,Tacoma city,Washington,112475,0.634266603576207,0.219423585282384,53053,3084,1960,1071,0.011285,0.00730409985099999,0.00317867361099999,0.8040464131784759,0.7185071531121954,0.849817742306759,-0.24370929788356369,-0.3917745921784154,-0.1767229021196755,-8.481800071683793,-13.63490762510986,-6.150476559096941,-275.0259426616016,-442.1176272733418,-199.43179504205384,0.7867001460492672,0.695143083071914,0.8361002886141314,-0.2711323431448491,-0.4385527589239465,-0.19602877025379176,-9.436202670529594,-15.262925355664574,-6.8223775294165,-305.97284923896217,-494.9067884456736,-275.0259426616016,-0.9544025988458014,-1.6280177305547134,-0.6719009703195598,-30.94690657736062,-52.78916117233182,-21.786672189350185,0.8731821082154929,0.833810959405188,0.9139796871986348,-0.14523647540566606,-0.19931261243359708,-0.0941162194370196,-0.9048523293842168,-1.241757493305005,-0.5863628964594173,-46.16593517266411,-63.35497414821454,-29.916474309153944,0.8614207147650597,0.8187934484219114,0.9057955822692056,-0.16087294263957408,-0.22130923485933385,-0.10400185160408132,-1.0022706518849682,-1.3788008564472125,-0.6479523647305012,-51.136257749233074,-70.34698247179655,-33.05879411890312,-0.09741832250075157,-0.13704336314220744,-0.06158946827108391,-4.9703225765689565,-6.992008323582013,-3.1423198097491793,0.833810959405188,0.7958304501456217,0.9139796871986348,-0.19931261243359708,-0.256549054911155,-0.0941162194370196,-1.5591609675959417,-2.0069039676270615,-0.736242097136648,-145.5799222778657,-187.38599137507575,-68.7434264366618,0.8187934484219114,-0.22130923485933385,-1.731233746565614,0.7778620921439378,-0.28557492401231094,-2.23396437088252,0.9057955822692056,-0.10400185160408132,-0.8135743423302562,-161.6464749360984,-208.58677599276564,-75.96399088050944,-0.17207277896967232,-0.22706040325545865,-0.07733224519360815,-16.066552658232713,-21.20078461768988,-7.220564443847633,0.6646
53053063301,53053063301,Census Tract 633.01; Pierce County; Washington,2586,1951,566,Tacoma city,Washington,83716,0.7384497949800496,0.20441855178121723,53053,2586,1951,566,0.011285,0.00730409985099999,0.00317867361099999,0.770567563407504,0.6736508101313523,0.8232735535087237,-0.2977447371103056,-0.4844485970483941,-0.214663091918941,-8.68908764053742,-14.137668252149254,-6.264515158101374,-336.00493582897985,-546.7002417691127,-242.2472992305249,0.7507438722272528,0.6475574736204982,0.8074182862432566,-0.3320122041532914,-0.5442644718606879,-0.2385154225980992,-9.689115473927544,-15.883275524955174,-6.960597962834554,-374.67577238698937,-614.2024564947864,-336.00493582897985,-1.000027833390126,-1.7456072728059198,-0.6960828047331802,-38.67083655800951,-67.50221472567361,-26.917355171430017,0.8503939016664163,0.8047770871622494,0.8980883895259321,-0.1759256481501318,-0.24258010814663283,-0.1134761474066749,-1.091019129997418,-1.5043829102108135,-0.7037327923523494,-55.92102152728949,-77.10829883192278,-36.07036352395435,0.836723854869131,0.7874865834671744,0.8884868205854808,-0.19513743295439617,-0.2698629043267809,-0.12550909797517992,-1.210162785076971,-1.6735796866067156,-0.778356244922204,-62.027820865042074,-85.78060925713561,-39.89524576741179,-0.11914365507955305,-0.16919677639590214,-0.07462345256985459,-6.106799337752591,-8.672310425212821,-3.824882243457437,0.8047770871622494,0.7611676746894859,0.8980883895259321,-0.24258010814663283,-0.313770977476079,-0.1134761474066749,-1.0028554017814717,-1.2971670352044329,-0.46912406903267384,-177.18293317693846,-229.1814549831153,-82.8841111365148,0.7874865834671744,-0.2698629043267809,-1.1156457691945558,0.7406761662709889,-0.3501176972314418,-1.4474287550222409,0.8884868205854808,-0.12550909797517992,-0.5188697368419253,-197.11055992836677,-255.7294620180637,-91.6730983819656,-0.11279036741308412,-0.150261719817808,-0.04974566780925144,-19.927626751428292,-26.548007034948412,-8.788987245450784,0.8586
53053062901,53053062901,Census Tract 629.01; Pierce County; Washington,2976,1468,668,Tacoma city,Washington,56859,0.5030941451314811,0.2538183381719911,53053,2976,1468,668,0.011285,0.00730409985099999,0.00317867361099999,0.8482744346009738,0.7792556345204459,0.8844588569870643,-0.17886377239507104,-0.2832759311588427,-0.13063484197165495,-6.006989550319648,-9.513584196187558,-4.387261434350775,-201.8477671478377,-319.676888312754,-147.4214191650126,0.8344302045540721,0.7600601207120041,0.8736659276324327,-0.1984225817118042,-0.3156853948122243,-0.14460226543333665,-6.663855731822305,-10.60202880903691,-4.856345618675647,-223.919883461771,-356.2509680455951,-201.8477671478377,-0.6568661815026564,-1.0884446128493508,-0.4690841843248714,-22.072116313933343,-36.57407973284109,-15.762237376507777,0.9027441777064512,0.8718604593749671,0.9343882187968658,-0.10773353591782894,-0.14697253355989504,-0.07021897310265426,-0.5027162295380501,-0.6858168841059785,-0.3276622928920152,-34.24497476417235,-46.71777139686502,-22.320319679292588,0.8935547457016694,0.8599865918880628,0.9280686219849068,-0.1191256101658817,-0.16280882682664144,-0.07750652948620325,-0.5558749842731282,-0.7597136663204761,-0.36166816521832584,-37.86614334285615,-51.75161214717139,-24.63679599579876,-0.05315875473507814,-0.07389678221449758,-0.03400587232631064,-3.6211685786837977,-5.033840750306375,-2.3164763165061744,0.8718604593749671,0.8417264303534711,0.9343882187968658,-0.14697253355989504,-0.1880344538783987,-0.07021897310265426,-0.7170993763979157,-0.9174461809394602,-0.3426081091722819,-107.35020604759217,-137.3422426556078,-51.28863909764699,0.8599865918880628,-0.16280882682664144,-0.7943668477476589,0.8273476939579596,-0.2086816791814415,-1.0181868569728183,0.9280686219849068,-0.07750652948620325,-0.3781651075550984,-118.91719277659564,-152.42318218155964,-56.61154304717042,-0.07726747134974321,-0.10074067603335836,-0.03555699838281651,-11.566986729003474,-15.080939525951848,-5.32290394952343,0.7602
53053061602,53053061602,Census Tract 616.02; Pierce County; Washington,1080,394,145,Tacoma city,Washington,65682,0.4882337519333428,0.26065485596409355,53053,1080,394,145,0.011285,0.00730409985099999,0.00317867361099999,0.8534359692537711,0.7864538771426647,0.8884713084529678,-0.17173406796339022,-0.27153038348947894,-0.12552874863368313,-2.0930604735242073,-3.309358007893071,-1.5299192825976031,-193.80189569668585,-306.422037767877,-141.6591928331114,0.8400169262635764,0.7677866979026381,0.8780267521169152,-0.19045220249076852,-0.30244507065790366,-0.13891746189852228,-2.3211933535169886,-3.686140032164398,-1.6930982421268097,-214.9253105108323,-341.3092622374442,-193.80189569668585,-0.2281328799927813,-0.3767820242713267,-0.16317895952920658,-21.123414814146415,-34.887224469567286,-15.10916291937098,0.9061557272244608,0.8762790976933389,0.9367288304378986,-0.1035630741561196,-0.14118892329206084,-0.06754480860007657,-0.1297021250922728,-0.17682464082578694,-0.08459294285890104,-32.91932108940934,-44.87935046339771,-21.470290065710923,0.8972699508114975,0.8647821119083897,0.9306262014226262,-0.11449179714041764,-0.1563606441780037,-0.07454528839970734,-0.14338922937300705,-0.19582566465834697,-0.09336032557785044,-36.39320542462108,-49.7019453447581,-23.695514106053412,-0.01368710428073424,-0.01900102383256,-0.0087673827189494,-3.473884335211738,-4.822594881360406,-2.2252240403424883,0.8762790976933389,0.8470900831730984,0.9367288304378986,-0.14118892329206084,-0.18051199024089537,-0.06754480860007657,-0.14953240906915682,-0.19117925214822437,-0.07153633383258819,-103.1257993580392,-131.8477601022237,-49.335402643164265,0.8647821119083897,-0.1563606441780037,-0.165600694887209,0.8331487695611808,-0.20026583070716136,-0.2121004355131424,0.9306262014226262,-0.07454528839970734,-0.07895050333449287,-114.20737578428206,-146.27616242285683,-54.44862298930543,-0.01606828581805217,-0.02092118336491802,-0.00741416950190468,-11.081576426242876,-14.42840232063312,-5.11322034614116,0.7923
53053061700,53053061700,Census Tract 617; Pierce County; Washington,3877,2581,448,Tacoma city,Washington,104600,0.5444707515249011,0.2540116385150976,53053,3877,2581,448,0.011285,0.00730409985099999,0.00317867361099999,0.8340667650325876,0.7595583964262701,0.8733819815201473,-0.19894478706501303,-0.3165544673128624,-0.14497438825045397,-8.704221381705162,-13.849873643376654,-6.342911461142508,-224.5091922028672,-357.23171636256524,-163.6035971406373,0.8190697708907233,0.7389537983717991,0.8616376164527383,-0.22089721234922197,-0.353264577844226,-0.16058071387004147,-9.66468268535648,-15.456012380288794,-7.025718561302791,-249.282504136097,-398.659076097209,-224.5091922028672,-0.960461303651318,-1.6061387369121398,-0.6828071001602831,-24.77331193322976,-41.427359734643794,-17.61173846170449,0.893312730742314,0.8596744382969672,0.9279018926898596,-0.11942880201542896,-0.16323105056028026,-0.07770014036843698,-0.9798125930896118,-1.3391730991452773,-0.6374641186469379,-37.962518135978755,-51.88582329117696,-24.69833857601464,0.8832911427682811,0.8467738055298818,0.9209843843666172,-0.1321295454927207,-0.18095292210206543,-0.08579473981822579,-1.0840114813866202,-1.484566108341788,-0.7038734800662603,-41.999669949113525,-57.5190278319174,-27.271347542280523,-0.1041988882970084,-0.14539300919651077,-0.06640936141932241,-4.03715181313477,-5.633204540740441,-2.5730089662658817,0.8596744382969672,0.8269703730516434,0.9279018926898596,-0.16323105056028026,-0.2092331631057731,-0.07770014036843698,-0.5341306396500105,-0.6846604421283808,-0.25425325349212524,-119.22558920759164,-152.8259915465136,-56.75295836877795,0.8467738055298818,-0.18095292210206543,-0.5921207986909424,0.8114073659908594,-0.2324265737701784,-0.7605547724737537,0.9209843843666172,-0.08579473981822579,-0.2807406991526532,-132.16982113637107,-169.76669028432002,-62.66533463228866,-0.05799015904093185,-0.07589433034537285,-0.02648744566052796,-12.944231928779432,-16.940698737806443,-5.912376263510706,0.6298
53053071705,53053071705,Census Tract 717.05; Pierce County; Washington,3480,2555,1007,Tacoma city,Washington,93116,0.6660896434098078,0.2072549202363392,53053,3480,2555,1007,0.011285,0.00730409985099999,0.00317867361099999,0.7936687603231259,0.7044976718971556,0.8416202137604497,-0.2599714767567146,-0.41945110664039575,-0.18818438964517303,-10.209547840894343,-16.472599969760292,-7.390339713267307,-293.37781151995244,-473.3505738436865,-212.3660837145778,0.7755382368396925,0.680248383609605,0.8272328523120177,-0.2894270746404279,-0.47005126964608945,-0.20884947594273923,-11.366322189863956,-18.459759451287297,-8.201894849328067,-326.61845373172287,-530.4528577956119,-293.37781151995244,-1.156774348969611,-1.9871594815270015,-0.8115551360607602,-33.24064221177043,-57.10228395192533,-23.320549886803455,0.866157356007149,0.8248330836133496,0.909096046948092,-0.15452462888480767,-0.21236650161908632,-0.0999937832279438,-1.25497348501898,-1.72473689509308,-0.812100618027388,-49.11833600857064,-67.50437945569784,-31.784760001071938,0.8538006436592342,0.8091008904610775,0.9004731055022048,-0.17123359817835448,-0.2359398089775133,-0.1105273371182894,-1.390675564206819,-1.916187771904972,-0.8976489926185786,-54.4295719846113,-74.99756445812024,-35.13303297920073,-0.13570207918783894,-0.1914508768118921,-0.08554837459119058,-5.3112359760406624,-7.493185002422392,-3.34827297812879,0.8248330836133496,0.7850784032702526,0.909096046948092,-0.21236650161908632,-0.2737581314611244,-0.0999937832279438,-1.562004155763193,-2.0135536243057435,-0.7354771292163836,-155.11461328333596,-199.95567272152368,-73.03645771761505,0.8091008904610775,-0.2359398089775133,-1.7353912190628065,0.7663097187802479,-0.30495539269908006,-2.243016610843622,0.9004731055022048,-0.1105273371182894,-0.8129538255231642,-172.3327923597623,-222.74246383749968,-80.73027065771244,-0.1733870632996135,-0.22946298653787833,-0.07747669630678056,-17.218179076426367,-22.786791115976,-7.6938129400973745,0.8199
53053060400,53053060400,Census Tract 604; Pierce County; Washington,2861,2311,1021,Tacoma city,Washington,93587,0.6550561824123913,0.2336924436863488,53053,2861,2311,1021,0.011285,0.00730409985099999,0.00317867361099999,0.7972515695661531,0.7093237314784588,0.8444534089337418,-0.2543092270664054,-0.40979351968906824,-0.18419795505670444,-8.210725614118386,-13.230751347186338,-5.947086093173457,-286.9879627444385,-462.4519869691136,-207.86739228149096,0.7793901650253963,0.6853760734043689,0.8302966057660197,-0.2830544249521229,-0.4590529766130373,-0.20438888110040432,-9.138804139957848,-14.82116113832452,-6.598978104926878,-319.4269185584708,-518.0412841078127,-286.9879627444385,-0.928078525839462,-1.5904097911381818,-0.6518920117534206,-32.43895581403222,-55.58929713869912,-22.785460040315293,0.8685865052457007,0.827934828716722,0.9107863060507482,-0.15129580526596578,-0.20782453559777728,-0.0979523883446277,-1.1114060822242096,-1.5266613141901175,-0.7195498909122521,-48.09199836539202,-66.06063670229847,-31.1358671965492,0.856434956846448,0.8124483624778196,0.9023149259695928,-0.16763099404791354,-0.23084745589268227,-0.1082605099604648,-1.2314029858701656,-1.6957857231672158,-0.7952724731742559,-53.28442171658007,-73.37887162125556,-34.41248261247321,-0.11999690364595604,-0.16912440897709824,-0.07572258226200379,-5.19242335118806,-7.318234918957086,-3.2766154159240064,0.827934828716722,0.7887897254022284,0.9107863060507482,-0.20782453559777728,-0.2677649921087258,-0.0979523883446277,-1.5498485538432405,-1.9968536659826115,-0.7304785596404642,-151.7971159493869,-195.578223896436,-71.54540251130892,0.8124483624778196,-0.23084745589268227,-1.7215416584214485,0.7702955154039106,-0.2982030662292536,-2.2238451760167037,0.9023149259695928,-0.1082605099604648,-0.8073512317395146,-168.61328681894696,-217.81049716128345,-79.07455746714149,-0.1716931045782082,-0.226991510034092,-0.07687267209905047,-16.816170869560057,-22.232273264847407,-7.529154955832563,0.1021
53053940008,53053940008,Census Tract 9400.08; Pierce County; Washington,4390,2642,1106,Tacoma city,Washington,645,0.4725184063289979,0.26448181130976217,53053,4390,2642,1106,0.011285,0.00730409985099999,0.00317867361099999,0.8589286317295408,0.7941386047127972,0.8927344111187083,-0.16424108250576946,-0.25922602687430524,-0.120153975858144,-8.136692104580701,-12.842355481283988,-5.952566141084691,-185.34606160776084,-292.53657132765346,-135.5937617559155,0.8459657644394397,0.7760432742060844,0.88266214818454,-0.18208093286449673,-0.2885879347682383,-0.13293631323921676,-9.020498807179962,-14.296978164543509,-6.585817834631023,-205.47833273758457,-325.6714843859569,-185.34606160776084,-0.8838067025992604,-1.4546226832595206,-0.6332516935463328,-20.1322711298237,-33.134913058303425,-14.424867734540612,0.909777578492594,0.880976316275373,0.9392104819652088,-0.09916975713656856,-0.13510429454884795,-0.06472406260585484,-0.8328331422309626,-1.1346133882637428,-0.5435562816167324,-31.522829001928944,-42.94524558151941,-20.57366698019426,0.901215707133753,0.869882625372261,0.933338592771982,-0.10961226272944448,-0.14958038111412564,-0.07142253384169614,-0.9205298856413816,-1.2561843692712376,-0.5998104160279611,-34.84216069800839,-47.54672101707939,-22.702892355335397,-0.08769674341041911,-0.12157098100749476,-0.05625413441122873,-3.319331696079452,-4.6014754355599825,-2.1292253751411327,0.880976316275373,0.8527995081324793,0.9392104819652088,-0.13510429454884795,-0.17260855624772903,-0.06472406260585484,-1.0914176749981723,-1.394389643747221,-0.5228626237353061,-98.68152576837004,-126.07501299703624,-47.2751016035539,0.869882625372261,-0.14958038111412564,-1.2083603435854782,0.8393278529021134,-0.1914295427493992,-1.546431867108211,0.933338592771982,-0.07142253384169614,-0.5769751145830397,-109.2550039408208,-139.82204946728848,-52.167731879117525,-0.11694266858730562,-0.15204222336098971,-0.05411249084773362,-10.57347817245078,-13.747036470252237,-4.892630275563619,0.4699
