geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06065031001,06065031001,Census Tract 310.01; Riverside County; California,3677,2698,1108,Riverside city,California,68368,0.4833906173569342,0.20653606968125465,06065,3677,2698,1108,0.010586,0.009493868073,0.003212018401,0.8551249359446024,0.7888141854230901,0.8897829311236806,-0.16941976308451737,-0.2677256804955121,-0.12386961473528106,-6.594617179370702,-10.42114768554863,-4.821590317817919,-179.34776120127012,-283.4144053725491,-131.12837415876854,0.8418457582558864,0.7703217906205888,0.8794526813806374,-0.187866055263821,-0.2981587852972161,-0.13707084095771646,-7.312633974380869,-11.605747829551824,-5.335444378585327,-198.8750061022809,-315.630890115633,-179.34776120127012,-0.7180167950101675,-1.1846001440031948,-0.5138540607674082,-19.52724490101081,-32.216484743083896,-13.974818079070118,0.9072703648528024,0.8777240042911975,0.9374929227279892,-0.10220727882172403,-0.13931030154239207,-0.06667471909027615,-0.8857308994665083,-1.2072666459041537,-0.5778048255693782,-32.82916602915153,-44.746725200302215,-21.416042459947302,0.8984841036770642,0.8663507851595392,0.9314612612655896,-0.11298574555462912,-0.15426685948677146,-0.07358195298566239,-0.979137368597322,-1.3368805606245049,-0.6376630916490112,-36.29122937721727,-49.55079913359914,-23.63465869714645,-0.09340646913081374,-0.12961391472035122,-0.05985826607963307,-3.4620633480657426,-4.804073933296932,-2.21861623719915,0.8777240042911975,0.8488455195378011,0.9374929227279892,-0.13931030154239207,-0.17807065830364868,-0.06667471909027615,-1.465433735451077,-1.8731619060686695,-0.7013650934269373,-132.25936240533184,-169.05793376071026,-63.30009868474164,0.8663507851595392,-0.15426685948677146,-1.6227648468998075,0.8350481663746997,-0.19753571143258308,-2.0779188063242326,0.9314612612655896,-0.07358195298566239,-0.7740237084531204,-146.45892120034367,-187.53779840471415,-69.85773541995671,-0.1573311114487308,-0.20475690025556317,-0.0726586150261831,-14.199558795011804,-18.479864644003893,-6.557636735215081,0.7617
06065030503,06065030503,Census Tract 305.03; Riverside County; California,2541,1404,399,Riverside city,California,34678,0.3575061938538868,0.22271670131605456,06065,2541,1404,399,0.010586,0.009493868073,0.003212018401,0.9002172423969419,0.8527123609890666,0.924562759300756,-0.11084297534378916,-0.172728396759833,-0.08159234182901443,-2.9815680756899434,-4.646225635381064,-2.1947545242595465,-117.3383736989352,-182.8502808099592,-86.37365306019467,0.8908037973282726,0.8392335058541166,0.9173393768717304,-0.12258165378193506,-0.19156348385097643,-0.09010909725706429,-3.297327092203269,-5.152871132757995,-2.4238469499543003,-129.76493869355645,-202.7891040046437,-117.3383736989352,-0.3157590165133257,-0.5066454973769314,-0.22909242569475377,-12.42656499462124,-19.93882319468443,-9.015837296133558,0.9367283485995332,0.9161278923173056,0.9575736081234688,-0.06754535772837654,-0.09155065399279969,-0.04430614160270474,-0.3046075324236449,-0.4128635888888333,-0.19980624751569975,-21.6956931925673,-29.406238524845676,-14.231214210519928,0.9306256748534424,0.90813772353361,0.953431254964874,-0.07454589640188361,-0.10115456509057828,-0.04884331701171422,-0.33617767851049335,-0.4561740954801899,-0.22026742874253336,-23.944279096188986,-32.491032441608965,-15.68856330075024,-0.03157014608684844,-0.0433105065913566,-0.0204611812268336,-2.2485859036216835,-3.084793916763291,-1.4573490902303137,0.9161278923173056,0.8957718694634034,0.9575736081234688,-0.09155065399279969,-0.1163556638578444,-0.04430614160270474,-0.34679876257079983,-0.4407614635628708,-0.16783402861669447,-86.91698310045109,-110.46653222127088,-42.06366631997355,0.90813772353361,-0.10115456509057828,-0.38317889028470487,0.8859662166998126,-0.12871120946909076,-0.4875649296441105,0.953431254964874,-0.04884331701171422,-0.1850210911748156,-96.03480959516412,-122.19672422158158,-46.371200795693134,-0.03638012771390503,-0.04680346608123975,-0.01718706255812113,-9.11782649471304,-11.730192000310716,-4.307534475719583,0.9741
06065041102,06065041102,Census Tract 411.02; Riverside County; California,3389,2074,533,Riverside city,California,83508,0.5156223263788525,0.2250944297222515,06065,3389,2074,533,0.010586,0.009493868073,0.003212018401,0.8439472188077559,0.7732383047034876,0.8810902069494768,-0.1849082237781408,-0.29326236674665035,-0.13495756973876075,-6.633758930486285,-10.521067179333958,-4.8417315638995735,-195.74384569153983,-310.44754143800407,-142.86608332545217,0.8297491476420633,0.753606604648386,0.870006328328674,-0.2051835218412052,-0.32695227699944984,-0.14941692656540836,-7.361154591133073,-11.72972484982752,-5.360474784281968,-217.20727622109985,-346.11168043161763,-195.74384569153983,-0.7273956606467884,-1.2086576704935634,-0.5187432203823947,-21.46343052956,-35.664138993613555,-15.306675136689131,0.8998780223002764,0.8681526033911837,0.932419490502832,-0.11126172127616912,-0.15187122182643129,-0.07247865385216626,-0.7411951196408599,-1.0117244919502753,-0.4828329446748474,-35.73746960659884,-48.78131590888502,-23.28027698528676,0.8904345640741022,0.8559643538913886,0.9259178943282832,-0.12304715062338908,-0.16827294904723075,-0.080009368136751,-0.8197064226733667,-1.120988307306519,-0.533000501055619,-39.52297119929444,-54.04958087302406,-25.69915627076273,-0.07851130303250675,-0.10926381535624374,-0.05016755638077169,-3.7855015926956006,-5.268264964139043,-2.4188792854759735,0.8681526033911837,0.8372309509369036,0.932419490502832,-0.15187122182643129,-0.1944135592227565,-0.07247865385216626,-0.7685035684082083,-0.9837776519660972,-0.3667587805573261,-144.18453441054567,-184.5736682863222,-68.81027777810996,0.8559643538913886,-0.16827294904723075,-0.8515001081453288,0.8224884397479548,-0.215822559532195,-1.092112153631327,0.9259178943282832,-0.080009368136751,-0.4048659395751172,-159.75611785090598,-204.89909073758483,-75.95983856944036,-0.08299653973712051,-0.10833450166522962,-0.0381071590177911,-15.57158344036032,-20.325422451262593,-7.149560791330414,0.6487
06065042017,06065042017,Census Tract 420.17; Riverside County; California,2768,1838,857,Riverside city,California,57350,0.41215830247001534,0.2180259136785511,06065,2768,1838,857,0.010586,0.009493868073,0.003212018401,0.8803557030849865,0.8243589624495983,0.9092993282277612,-0.1359044946216058,-0.21306378113301644,-0.099747870647849,-3.982280024818035,-6.243205141821142,-2.922816893621063,-143.8684980064319,-225.54931870741123,-105.59309586781298,0.8692085711870824,0.8085893191868894,0.9006945964100812,-0.150471858134458,-0.236721752651385,-0.11025424598495714,-4.409133609705079,-6.936432158835011,-3.2306752080550214,-159.28950902113723,-250.59364735675615,-143.8684980064319,-0.42685358488704406,-0.6932270170138688,-0.3078583144339584,-15.421011014705348,-25.044328649344973,-11.12204893186266,0.9238236127473034,0.899252840554527,0.9488033782645966,-0.08245771833668575,-0.11203429658709436,-0.05395914781526631,-0.4868047924103101,-0.6614157363683814,-0.31855807170887257,-26.485570860190972,-35.98562221808386,-17.331777568491432,0.9165327001651749,0.8897541046252901,0.9438301459182016,-0.09106854542100123,-0.12390602617240935,-0.05951267219500991,-0.5376404446187019,-0.7315027454793213,-0.35134435706045125,-29.25138436445603,-39.79884360605665,-19.115579818305292,-0.05083565220839176,-0.0700870091109399,-0.03278628535157868,-2.765813504265058,-3.813221387972791,-1.7838022498138564,0.899252840554527,0.8750885210146985,0.9488033782645966,-0.11203429658709436,-0.1427415352682971,-0.05395914781526631,-0.9115384785519884,-1.1613800938491088,-0.4390248433010253,-106.36388314492278,-135.51693043746894,-51.22810306896445,0.8897541046252901,-0.12390602617240935,-1.0081297783024723,0.8634897481061952,-0.15809134062471383,-1.2862698699881507,0.9438301459182016,-0.05951267219500991,-0.4842096779268893,-117.63474659305396,-150.08983313747382,-56.50054584911194,-0.09659129975048396,-0.12488977613904197,-0.04518483462586398,-11.270863448131152,-14.572902700004896,-5.272442780147489,0.1458
06065041404,06065041404,Census Tract 414.04; Riverside County; California,2517,1709,638,Riverside city,California,56736,0.44620347537168903,0.21001248762104335,06065,2517,1709,638,0.010586,0.009493868073,0.003212018401,0.8682052199566112,0.8071749867693904,0.899918716368375,-0.15180141401358463,-0.23888873712795028,-0.1112114703375694,-4.04474290793823,-6.365181323002224,-2.9632254011086636,-160.6969768747807,-252.88761712364817,-117.72846249935095,0.8560214197169205,0.7900679868821173,0.8904788578943781,-0.16819506728078382,-0.26571385830521665,-0.12299128849009966,-4.481551176283928,-7.0799356574158825,-3.277098208149743,-178.05129822343775,-281.28469040190237,-160.6969768747807,-0.43680826834569864,-0.7147543344136587,-0.3138728070410792,-17.354321348657077,-28.39707327825422,-12.470115496268544,0.9158747167807176,0.8888981326721352,0.94338067221655,-0.09185239168407364,-0.12498830095849016,-0.0600174769856355,-0.5042089570010626,-0.6861032109035694,-0.3294563039452091,-29.503157226510393,-40.14647225883964,-19.27772404594553,0.9078616631841836,0.8784907505464312,0.9378981337551716,-0.10148940147186676,-0.13831591212313693,-0.0662138712188113,-0.5571097749832983,-0.7592629926080607,-0.3634704152404589,-32.59858250341125,-44.42732548906148,-21.26801727562662,-0.05290081798223567,-0.07315978170449133,-0.03401411129524984,-3.095425276900859,-4.280853230221845,-1.9902932296810905,0.8888981326721352,0.8624460870182221,0.94338067221655,-0.12498830095849016,-0.15949276720281716,-0.0600174769856355,-0.7570651166997914,-0.9660616992887556,-0.36353112947144794,-118.6622439968325,-151.4203290421247,-56.97980085759372,0.8784907505464312,-0.13831591212313693,-0.8377916280957954,0.8497773509925599,-0.17677883369329214,-1.0707649222667048,0.9378981337551716,-0.0662138712188113,-0.4010632335746559,-131.3153022093723,-167.8314925182923,-62.862575795400616,-0.08072651139600406,-0.1047032229779491,-0.03753210410320795,-12.653058212539824,-16.41116347616757,-5.882774937806889,0.4624
06065031701,06065031701,Census Tract 317.01; Riverside County; California,1973,1461,605,Riverside city,California,312275,0.6116674088911069,0.2124601678516283,06065,1973,1461,605,0.010586,0.009493868073,0.003212018401,0.8114984179076601,0.7286248598644219,0.8556876727482532,-0.23228829278357188,-0.3724483682674153,-0.16865070264276685,-4.851614630393798,-7.779022915442788,-3.5224685952218984,-245.9003867406892,-394.2738426478859,-178.53363381763296,0.7947242134907987,0.7059182069070828,0.8424551762152126,-0.2582981404423737,-0.4165947134037102,-0.18700677286187295,-5.394860938348416,-8.701071338008877,-3.905856745198648,-273.4344114722968,-441.0071636091675,-245.9003867406892,-0.5432463079546181,-0.922048422566089,-0.38338814997674975,-27.53402473160761,-46.73332096128175,-19.431735933945756,0.8782053184828681,0.8402458920507917,0.9174637363813644,-0.13868588467163542,-0.1901278059917625,-0.08996133617680949,-0.6508194173589392,-0.8922239506368439,-0.4221668595477287,-44.546161352425685,-61.0694011387299,-28.895746717845903,0.8668733847383618,0.8257470629996985,0.9095944422789836,-0.1535710031077009,-0.21102459192200015,-0.09939106212490244,-0.7206716891371086,-0.9902875284551086,-0.46641828976301647,-49.327288784196334,-67.78148723169807,-31.924592044012076,-0.06985227177816933,-0.09806357781826468,-0.04425143021528777,-4.781127431770659,-6.712086092968152,-3.0288453261661714,0.8402458920507917,0.8035553377705646,0.9174637363813644,-0.1901278059917625,-0.24446936383306717,-0.08996133617680949,-1.0920542257923125,-1.4041807323134332,-0.516719039686726,-180.5048307094731,-232.09598881213773,-85.40810573334313,0.8257470629996985,-0.21102459192200015,-1.2120809796990093,0.7861716329959041,-0.2719868766941505,-1.5622355525775578,0.9095944422789836,-0.09939106212490244,-0.5708814070267483,-200.3439635866131,-258.22075249215834,-94.36056314491708,-0.1200267539066968,-0.15805482026412454,-0.05416236734002233,-19.83913287713997,-26.124763680020585,-8.95245741157394,0.9426
06065031703,06065031703,Census Tract 317.03; Riverside County; California,2628,1752,625,Riverside city,California,73761,0.4878006914781264,0.2397136891622794,06065,2628,1752,625,0.010586,0.009493868073,0.003212018401,0.8535868563426839,0.7866646419127516,0.8885885115744615,-0.17152694253592926,-0.271189712516543,-0.1253802935490715,-4.771880913565092,-7.544499971727927,-3.4880807695775173,-181.57842136853472,-287.0814296700124,-132.72757875104708,0.8401802937767288,0.7680130392250398,0.878154160812319,-0.19022072691667063,-0.3020612267326159,-0.13875221985507638,-5.291942144587592,-8.403345744191189,-3.860087866385984,-201.3676615139875,-319.76201461914724,-181.57842136853472,-0.5200612310224999,-0.8588457724632619,-0.37200709680846655,-19.789240145452812,-32.680584949134776,-14.155521187536776,0.9062553394379153,0.8764082005776392,0.9367971282156736,-0.10344177461092578,-0.1410208158035281,-0.06746697858127457,-0.5821140598611442,-0.7935884696592567,-0.3796674695134477,-33.22568834823882,-45.29614552849638,-21.67051766629268,0.8973784503639172,0.8649222628676033,0.9307008398070225,-0.11435704701229044,-0.15617326889534985,-0.07445911428139088,-0.6435392776316983,-0.8788582363401956,-0.4190154071798694,-36.731693928749905,-50.16314134361847,-23.916404519398935,-0.0614252177705541,-0.08526976668093889,-0.03934793766642169,-3.5060055805110784,-4.866995815122082,-2.2458868531062612,0.8764082005776392,0.8472469018080867,0.9367971282156736,-0.1410208158035281,-0.1802934868996594,-0.06746697858127457,-0.8367706379909556,-1.069801611904075,-0.40032662120908585,-133.8833020785529,-171.168257904652,-64.05225939345374,0.8649222628676033,-0.15617326889534985,-0.9266802571385035,0.8333184326361577,-0.200021457387609,-1.1868608301294692,0.9307008398070225,-0.07445911428139088,-0.4418156298874719,-148.26884114216057,-189.89773282071508,-70.69050078199551,-0.08990961914754791,-0.11705921822539422,-0.04148900867838606,-14.385539063607665,-18.729474916063076,-6.638241388541771,0.6747
06065031501,06065031501,Census Tract 315.01; Riverside County; California,3994,1660,466,Riverside city,California,80913,0.4714317394954185,0.2161303589448272,06065,3994,1660,466,0.010586,0.009493868073,0.003212018401,0.8593097361988336,0.79467274677606,0.8930299462825441,-0.16372474077101865,-0.25837963370071565,-0.11978327732764728,-6.922361282573202,-10.924415968608969,-5.064494940519154,-173.31901058020034,-273.52068023557763,-126.80257737904743,0.8463786617636112,0.7766174616587546,0.8829835743761888,-0.1815042665611227,-0.2876352250233071,-0.13252389854078667,-7.674088238269284,-12.161356529434334,-5.603174571871354,-192.14041658160448,-304.4906492096729,-173.31901058020034,-0.7517269556960819,-1.2369405608253654,-0.5386796313522,-18.821406001404156,-30.96996897409528,-13.487221616229345,0.9100285525840562,0.8813020433761167,0.9393823232044494,-0.0988666203499515,-0.13468476275077249,-0.06452929259810829,-0.5271519303224841,-0.7181324942410691,-0.34406699687953735,-31.756140380872537,-43.26099362898007,-20.726927522863697,0.901489184311005,0.8702364198337276,0.9335264380779248,-0.10927564900768652,-0.1491130194149606,-0.07120694091850285,-0.5826523563538849,-0.7950632452346095,-0.3796718874851907,-35.099539539390655,-47.89537621895238,-22.871800450915103,-0.05550042603140082,-0.07693075099354041,-0.03560489060565336,-3.3433991585181215,-4.634382589972313,-2.144872928051407,0.8813020433761167,0.8531957164303856,0.9393823232044494,-0.13468476275077249,-0.17206401853939984,-0.06452929259810829,-0.5958645859535985,-0.7612357409294522,-0.2854867872990322,-127.86793689991384,-163.3553092123288,-61.26325907704553,0.8702364198337276,-0.1491130194149606,-0.6596972497802227,0.8397568072095151,-0.19082095127393836,-0.8442190846229554,0.9335264380779248,-0.07120694091850285,-0.3150296551803719,-141.56593342923233,-181.16289369591317,-67.60293029621715,-0.06383266382662423,-0.08298334369350313,-0.02954286788133969,-13.697996529318504,-17.807584483584364,-6.339671219171608,0.8025
06065041002,06065041002,Census Tract 410.02; Riverside County; California,1901,1222,471,Riverside city,California,47504,0.4749335841987889,0.23776699545122737,06065,1901,1222,471,0.010586,0.009493868073,0.003212018401,0.8580822108899844,0.7929527294494765,0.8920779178734963,-0.1653895015057142,-0.26110922235461664,-0.12097831362507493,-3.328296012847971,-5.254558335135192,-2.4345658896946167,-175.08132629394902,-276.4102227845972,-128.0676428035043,0.8450487982231812,0.7747686302706446,0.8819481794362307,-0.1833636141517776,-0.2907079106322063,-0.13385346590230704,-3.690006804099774,-5.85020192365177,-2.693665273869504,-194.10872194107176,-307.7433941952536,-175.08132629394902,-0.3617107912518032,-0.5956435885165785,-0.2590993841748874,-19.027395647122734,-31.333171410656416,-13.629636200677927,0.9092200223679344,0.8802528006226319,0.9388286677561952,-0.09984379511973572,-0.1360372830312689,-0.06515707747826292,-0.391895530937624,-0.5339581012211836,-0.2557471642786182,-32.07001071502651,-43.69542563184808,-20.928573181556317,0.9006081858626873,0.8690968123864963,0.9329212314149024,-0.11036077141815656,-0.15061979948361578,-0.07190185658371545,-0.4331755724803693,-0.5911957394804838,-0.2822210055966335,-35.44808285436737,-48.379356749630425,-23.095008641295703,-0.04128004154274528,-0.05723763825930017,-0.02647384131801528,-3.3780721393408575,-4.683931117782338,-2.1664354597393847,0.8802528006226319,0.8519195717890019,0.9388286677561952,-0.1360372830312689,-0.17381972795863143,-0.06515707747826292,-0.6083059285289757,-0.7772543574560022,-0.2913571605700087,-129.15200181082287,-165.0221565723996,-61.859269760086775,0.8690968123864963,-0.15061979948361578,-0.6735132820806852,0.8383752624559305,-0.1927832854593146,-0.8620520261290393,0.9329212314149024,-0.07190185658371545,-0.3215171948271032,-142.99645054791617,-183.0259078830232,-68.2626740609561,-0.06520735355170948,-0.08479766867303706,-0.03016003425709451,-13.844448737093307,-18.00375131062358,-6.403404300869323,0.8439
06065041403,06065041403,Census Tract 414.03; Riverside County; California,2836,2064,893,Riverside city,California,75195,0.4736935929940837,0.23495053549422829,06065,2836,2064,893,0.010586,0.009493868073,0.003212018401,0.8585166727384266,0.7935613555395978,0.8924149117507681,-0.16479974327147476,-0.26014200794849707,-0.12055500959544475,-4.947600753322915,-7.809956307860952,-3.619289960353445,-174.45700822718317,-275.38632961427896,-127.6195331577378,0.845519459223334,0.7754227912625564,0.8823146703201407,-0.18270489116662864,-0.28961904559418894,-0.13338249225433166,-5.485147241295843,-8.694912866447998,-4.0043953106803505,-193.41139778899307,-306.5907216660084,-174.45700822718317,-0.5375464879729286,-0.8849565585870467,-0.3851053503269059,-18.954389561809897,-31.20439205172943,-13.579173142697671,0.909506237964796,0.880624190955831,0.9390246779264056,-0.09949768155268723,-0.13555817597356518,-0.06493473867826632,-0.6596304245843999,-0.8986972940266925,-0.4304917318293537,-31.958838400406975,-43.54153556330875,-20.857157549871783,0.9009200458920462,0.8695001727155486,0.933135488138071,-0.10997641195767792,-0.15008602801870127,-0.07165573779146144,-0.7291002783366131,-0.9950112288168008,-0.4750493077395084,-35.3246258884018,-48.20790837290701,-23.01595483234053,-0.06946985375221315,-0.0963139347901082,-0.04455757591015474,-3.3657874879948233,-4.666372809598265,-2.1587972824687376,0.880624190955831,0.8523712318059958,0.9390246779264056,-0.13555817597356518,-0.17319773671996153,-0.06493473867826632,-1.1492654949462249,-1.4683746014246215,-0.5505182852330085,-128.6971438909546,-164.43164629615026,-61.64818423661909,0.8695001727155486,-0.15008602801870127,-1.2724329760018471,0.8388642026062663,-0.19208806013309557,-1.6285272202627754,0.933135488138071,-0.07165573779146144,-0.6074990782901944,-142.48969496101313,-182.36587013021,-68.02901212656153,-0.1231674810556227,-0.16015261883815368,-0.05698079305718595,-13.792551070058533,-17.93422383405976,-6.380827889942435,0.5839
06065030104,06065030104,Census Tract 301.04; Riverside County; California,4262,2718,1020,Riverside city,California,103436,0.4715379932031023,0.27251632502927636,06065,4262,2718,1020,0.010586,0.009493868073,0.003212018401,0.8592724645481313,0.7946205028047776,0.8930010446957558,-0.1637752182898978,-0.258462368476893,-0.11981951862183832,-7.389133652001449,-11.661184180552011,-5.405960965645386,-173.3724460816858,-273.60826326963894,-126.84094241307804,0.8463382799942564,0.776561299179456,0.882952140331071,-0.18156064027587937,-0.28772834939963876,-0.13256421760871534,-8.191567997587475,-12.981593011345382,-5.980970330016177,-192.20009379604588,-304.58923067445755,-173.3724460816858,-0.8024343455860263,-1.3204088307933706,-0.575009364370791,-18.827647714360072,-30.98096740481864,-13.491538347508,0.9100040094166852,0.8812701886411769,0.9393655192723186,-0.09889625721649556,-0.13472577750745388,-0.06454833553466177,-0.8633906332808641,-1.176191876572003,-0.5635241399732333,-31.76565979694129,-43.274167644297385,-20.73304414912558,0.9014624401972754,0.8702018196524877,0.9335080689958818,-0.1093085584144368,-0.14915870941219914,-0.07122801956670773,-0.954292792555928,-1.3021952114611932,-0.6218395584619149,-35.11011010139544,-47.91005193013956,-22.87857095150533,-0.09090215927506395,-0.12600333488919024,-0.0583154184886816,-3.3444503044541554,-4.635884285842172,-2.14552680237975,0.8812701886411769,0.853156967274633,0.9393655192723186,-0.13472577750745388,-0.17211725199226785,-0.06454833553466177,-1.30465013284188,-1.666739653171925,-0.625069649535773,-127.90687576881176,-163.40584835018873,-61.28133818978167,0.8702018196524877,-0.14915870941219914,-1.444414971280329,0.8397148546163682,-0.19088044531123555,-1.8484376408103689,0.9335080689958818,-0.07122801956670773,-0.6897540092847334,-141.60931090983615,-181.21937655003617,-67.62294208673858,-0.1397648384384489,-0.18169798763844391,-0.06468435974896036,-13.7024351410244,-17.813528199847443,-6.341603896956897,0.8168
