geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
12103024406,12103024406,Census Tract 244.06; Pinellas County; Florida,4947,2626,1069,St. Petersburg city,Florida,78504,0.6369179945713287,0.24897731326414071,12103,4947,2626,1069,0.015548,0.008241179256,0.003436880739,0.8031766237844881,0.7173293661986586,0.8491317127684732,-0.2450561562512861,-0.3940597543068633,-0.17767359876319092,-18.848728531753046,-30.309482723637505,-13.665934704831246,-381.0133117394996,-612.684105996311,-276.2469113570092,0.7857640694119283,0.693889748829393,0.8353578671045624,-0.27264663647500126,-0.4411511363109508,-0.19709173682185388,-20.97087669465919,-33.93156138984309,-15.159499357353292,-423.9109903913319,-685.9017867362662,-381.0133117394996,-2.122148162906143,-3.622078666205585,-1.4935646525220465,-42.89767865183228,-73.21768073995523,-30.191321053609183,0.8725946596766626,0.8330592352478641,0.9135717984545488,-0.14600747198080155,-0.20039483111001735,-0.09460471710232096,-1.3177537642955608,-1.8086132131328256,-0.8538311114522432,-50.1810268200899,-68.87331352371766,-32.51451300275107,0.860783246772303,0.817981481440055,0.905350932195924,-0.16173264727179693,-0.2225215639839446,-0.10454406621585406,-1.4596773840445652,-2.0083124829072787,-0.9435362103168288,-55.585582027591975,-76.47800772685753,-35.93054875540095,-0.14192361974900436,-0.19969926977445307,-0.08970509886458555,-5.40455520750207,-7.604694203139872,-3.4160357526498686,0.8330592352478641,0.7949290292900456,0.9135717984545488,-0.20039483111001735,-0.2579739362306395,-0.09460471710232096,-1.76544251618909,-2.272704104030444,-0.8334505879185302,-165.14897251534987,-212.60094518526137,-77.96544321033959,0.817981481440055,-0.2225215639839446,-1.9603750638182451,0.776892971740027,-0.2871785900704887,-2.5299918657649196,0.905350932195924,-0.10454406621585406,-0.92101447073467,-183.38400971171612,-236.66902392562392,-86.1566389835987,-0.19493254762915505,-0.25728776173447576,-0.08756388281613992,-18.235037196366232,-24.06807874036256,-8.191195773259114,0.6395
12103024301,12103024301,Census Tract 243.01; Pinellas County; Florida,3142,1748,862,St. Petersburg city,Florida,67663,0.5981200446602497,0.1881073845379021,12103,3142,1748,862,0.015548,0.008241179256,0.003436880739,0.8159986835340067,0.7347582182606128,0.8592258943596814,-0.2254921731847684,-0.36099192244122413,-0.16383829510309075,-11.01570215386244,-17.63511097258495,-8.00379824612989,-350.5952308676779,-561.2702410116152,-254.73578122628547,0.7995735219137687,0.7124573933048992,0.8462878240203829,-0.25066672744053997,-0.40359270518797985,-0.1816310853314544,-12.24552484624741,-19.716236572785437,-8.873008360492511,-389.73662782455153,-627.5059380262711,-350.5952308676779,-1.229822692384969,-2.0811256002004868,-0.8692101143626214,-39.14139695687362,-66.23569701465584,-27.664230247059884,0.8812303864579191,0.844127175009786,0.9195586561725356,-0.13477702921647094,-0.18465561778461523,-0.08747820847262122,-0.8096955824524786,-1.109349559523933,-0.5255399927785488,-46.32125757737292,-63.46393361120899,-30.065216978177848,0.8701585872363917,0.829943771314217,0.9118793492454774,-0.1492158034962136,-0.20490090360760063,-0.09663630482194475,-0.8964389378914732,-1.2309765058341269,-0.5805587908692194,-51.283692099054534,-70.42199690126583,-33.21274547306747,-0.08674335543899458,-0.12162694631019356,-0.05501879809067056,-4.962434521681613,-6.958063290056839,-3.1475284948896203,0.844127175009786,0.8082220174825369,0.9195586561725356,-0.18465561778461523,-0.23728378882180956,-0.08747820847262122,-1.3117744003333556,-1.6856394813485551,-0.6214361406283174,-152.17800467904357,-195.5498238223382,-72.09235970166095,0.829943771314217,-0.20490090360760063,-1.4555948158107814,0.7911953842886731,-0.26391030566874885,-1.8747915016818884,0.9118793492454774,-0.09663630482194475,-0.6864943094019396,-168.86250763466143,-217.49321365219123,-79.63971106751039,-0.14382041547742586,-0.18915202033333323,-0.06505816877362214,-16.684502955617848,-21.943389829853043,-7.547351365849436,0.5097
12103021600,12103021600,Census Tract 216; Pinellas County; Florida,1357,923,490,St. Petersburg city,Florida,1386,0.524944752960064,0.19385239360932516,12103,1357,923,490,0.015548,0.008241179256,0.003436880739,0.8407415964046471,0.7687908819731992,0.8785918672248768,-0.18942610223689016,-0.30074383482979566,-0.13818490394021438,-3.996632379994931,-6.34528470031798,-2.915512988929549,-294.51970375791683,-467.59651439336625,-214.8498886462453,0.8262829446257849,0.7488400200853217,0.8672931109700432,-0.21023918804579683,-0.3353987142488212,-0.15301273277903452,-4.435760101513819,-7.076455386803891,-3.2283599522701176,-326.87988957360494,-521.4779209140672,-294.51970375791683,-0.4391277215188878,-0.7311706864859113,-0.31284696334056905,-32.36018581568812,-53.88140652070091,-23.05430827859757,0.8977511753437818,0.8654037628122038,0.9309572194726392,-0.1138943924156528,-0.15552998839572202,-0.0741632151115081,-0.361300452418308,-0.4933785938021809,-0.23526358589100865,-39.14414435734648,-53.453802145415054,-25.489012555905596,0.8881198575916547,0.8529835526440829,0.9243207372742612,-0.12597414802967538,-0.1723555476541075,-0.08187554349252187,-0.3996203475060414,-0.5467533214187994,-0.2597289495859106,-43.29581229751261,-59.23654619921987,-28.139647842460516,-0.03831989508773342,-0.05337472761661849,-0.02446536369490196,-4.151667940166135,-5.78274405380482,-2.6506352865549254,0.8654037628122038,0.8339013775669555,0.9309572194726392,-0.15552998839572202,-0.19918257350487248,-0.0741632151115081,-0.628057751885845,-0.8043346535332746,-0.29948425146826085,-128.1750514052745,-164.14992929250502,-61.11923499352262,0.8529835526440829,-0.1723555476541075,-0.6960023523519395,0.818891117586533,-0.221163569275532,-0.8930978234552522,0.9243207372742612,-0.08187554349252187,-0.3306280049961055,-142.041296398355,-182.26486192964333,-67.4751030604297,-0.06794460046609452,-0.08876316992197764,-0.03114375352784465,-13.866244993080514,-18.114932637138292,-6.355868066907073,0.8821
12103022102,12103022102,Census Tract 221.02; Pinellas County; Florida,2054,1513,579,St. Petersburg city,Florida,0,NA,NA,12103,2054,1513,579,0.015548,0.008241179256,0.003436880739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1859
12103024005,12103024005,Census Tract 240.05; Pinellas County; Florida,2253,1895,942,St. Petersburg city,Florida,56392,0.5458911795263813,0.1899588590225693,12103,2253,1895,942,0.015548,0.008241179256,0.003436880739,0.8335832740758936,0.7588911172010836,0.8730041935656004,-0.1996401932471536,-0.3177120898293895,-0.14546986987051244,-6.993324897538994,-11.129341401219534,-5.095757754290377,-310.40057246067437,-493.9787572667347,-226.1765536746727,0.8185475087648494,0.7382397340667527,0.861227646695782,-0.2216761877498767,-0.3545735265308526,-0.16113318451472983,-7.765237940155342,-12.42058440620032,-5.644438090137299,-344.6621367135083,-551.2909190501696,-310.40057246067437,-0.7719130426163483,-1.291243004980787,-0.5486803358469219,-34.26156425283392,-57.312161783434846,-24.3533216088292,0.8929907115079222,0.8592591389099244,0.9276800231489138,-0.11983247654545,-0.16379326645116932,-0.07795788962405753,-0.7804556183841516,-1.066767363410226,-0.5077310818273114,-41.18499305457264,-56.293792264391875,-26.793196930201127,0.882940901737792,0.8463238424457673,0.9207421502089308,-0.1325786335549909,-0.18158079667249868,-0.08608039696356287,-0.8634699241690253,-1.1826155733330934,-0.5606320705344846,-45.565695206808726,-62.40715426559859,-29.58480583295433,-0.08301430578487379,-0.11584820992286748,-0.05290098870717319,-4.3807021522360845,-6.1133620012067285,-2.791608902753203,0.8592591389099244,0.8264684274095292,0.9276800231489138,-0.16379326645116932,-0.2099675762985716,-0.07795788962405753,-1.2715583889043656,-1.6300183690393713,-0.605201976128264,-134.98496697498572,-173.03804342243856,-64.24649428113206,0.8463238424457673,-0.18158079667249868,-1.4096463809254798,0.8108656331233235,-0.23324994814265523,-1.8107638653187392,0.9207421502089308,-0.08608039696356287,-0.6682585508597069,-149.643989482535,-192.22546340963265,-70.94039818043598,-0.1380879920211142,-0.180745496279368,-0.06305657473144288,-14.65902250754928,-19.187419987194055,-6.693903899303915,0.293
12103022501,12103022501,Census Tract 225.01; Pinellas County; Florida,3596,2329,1050,St. Petersburg city,Florida,0,NA,NA,12103,3596,2329,1050,0.015548,0.008241179256,0.003436880739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6154
12103022901,12103022901,Census Tract 229.01; Pinellas County; Florida,1842,1314,545,St. Petersburg city,Florida,26589,0.494118584013046,0.2471286311487055,12103,1842,1314,545,0.015548,0.008241179256,0.003436880739,0.8513882157000274,0.7835953986560641,0.8868801738908566,-0.17455231533570284,-0.27616880052523163,-0.12754803798676914,-4.999076372662373,-7.909313164463127,-3.652901319886883,-271.39393988395074,-429.3872510566301,-198.31168946182865,0.8378000812860228,0.7647175634086177,0.8762972343629808,-0.19360217590931764,-0.30767233270103655,-0.1411653041755224,-5.544653254372125,-8.81155592791539,-4.0428918710493225,-301.01266310380703,-478.3689428835716,-271.39393988395074,-0.5455768817097528,-0.9022427634522624,-0.38999055116243886,-29.61872321985629,-48.98169182694151,-21.172125470273556,0.904803187748676,0.8745266104626538,0.9358012295234088,-0.10521272862465468,-0.1434757822531742,-0.06860299864030608,-0.4751471310671304,-0.6479454264361045,-0.30981534660916765,-36.160360050770954,-49.310915253889235,-23.578032466451116,0.8957968567077845,0.8628798586500855,0.929612538101792,-0.11632452437395334,-0.15890988759945007,-0.07571698854442595,-0.5253286817245475,-0.7176467921523472,-0.3419425610400554,-39.97935172941762,-54.61543319272049,-26.023025954342113,-0.05018155065741714,-0.06970136571624264,-0.03212721443088773,-3.8189916786466624,-5.3045179388312516,-2.4449934878909994,0.8745266104626538,0.8449619592492996,0.9358012295234088,-0.1434757822531742,-0.1834852315581672,-0.06860299864030608,-0.6444132540415615,-0.8241134028342406,-0.30812643706516823,-118.2409640443232,-151.2134684099524,-56.53696092938866,0.8628798586500855,-0.15890988759945007,-0.7137346537455443,0.8308466495450391,-0.20359154188993497,-0.914419743487611,0.929612538101792,-0.07571698854442595,-0.34007851504891645,-130.96048692578793,-167.78343917203873,-62.399727531911275,-0.06932139970398288,-0.0903063406533704,-0.03195207798374822,-12.71952288146475,-16.56997076208631,-5.862766602522608,0.4419
12103023900,12103023900,Census Tract 239; Pinellas County; Florida,1273,997,468,St. Petersburg city,Florida,52225,0.596072161172411,0.18679334638794615,12103,1273,997,468,0.015548,0.008241179256,0.003436880739,0.8166811329514067,0.7356898471050707,0.859762020097785,-0.22446810591313243,-0.3592684525075154,-0.16311255513038947,-4.442808330968689,-7.110858210174059,-3.2284222111239673,-349.0030110737384,-558.5905899586849,-253.60740071672956,0.8003091363680188,0.7134511443042535,0.8468687002762587,-0.2495171610038376,-0.4016376706146915,-0.1808205919923455,-4.938594358953201,-7.949455365959026,-3.5789103723500655,-387.9492819287667,-624.4662502717224,-349.0030110737384,-0.49578602798451143,-0.8385971557849672,-0.35048816122609816,-38.94627085502839,-65.87566031303749,-27.532455712969217,0.8816885757560367,0.8447154459369338,0.9198757500641525,-0.13418731681139548,-0.183830608058586,-0.0871033396958879,-0.45980224715347445,-0.6299084644469868,-0.2984656991318611,-46.118580456717595,-63.18038760752124,-29.936379050337123,0.8706562760292658,0.8305800186672732,0.9122252456056232,-0.148558883145737,-0.2039779160646962,-0.09622048372066652,-0.5090474265986624,-0.6989446275914006,-0.3297062322152313,-51.05791640909352,-70.1047770904113,-33.06983271968218,-0.04924517944518797,-0.06903616314441385,-0.03124053308337021,-4.939335952375925,-6.924389482890056,-3.133453669345057,0.8447154459369338,0.8089298090164473,0.9198757500641525,-0.183830608058586,-0.2362011992312028,-0.0871033396958879,-0.7090111050751337,-0.9109977661261676,-0.3359464225556741,-151.49809937502857,-194.6576423346512,-71.78342362300728,0.8305800186672732,-0.2039779160646962,-0.7867166910194984,0.7919575863650269,-0.26269388312808306,-1.0131766539865994,0.9122252456056232,-0.09622048372066652,-0.371110079078408,-168.10185705544836,-216.49073803132464,-79.29702544410428,-0.07770558594436472,-0.10217888786043185,-0.0351636565227339,-16.60375768041981,-21.833095696673468,-7.513601821096987,0.5451
12103024413,12103024413,Census Tract 244.13; Pinellas County; Florida,3257,2437,1301,St. Petersburg city,Florida,77743,0.6153619854829342,0.23945255000285895,12103,3257,2437,1301,0.015548,0.008241179256,0.003436880739,0.8102754385927967,0.7269611009584389,0.8547252758652117,-0.2341482320341555,-0.3755894210592308,-0.16996657082327557,-11.85722806989958,-19.019786685774392,-8.60707927197306,-364.053671166705,-583.966431862892,-264.2640243160289,0.7934068433276593,0.7041453084741911,0.84141296920783,-0.2603874146155081,-0.420161418339767,-0.18847704586901695,-13.185975972593331,-21.276905318253192,-9.544446692571496,-404.85035224419187,-653.2669732346696,-364.053671166705,-1.3287479026937508,-2.2571186324788,-0.937367420598436,-40.79668107748698,-69.30054137177771,-28.780086601118704,0.8773821391287422,0.839190506468544,0.916893247941677,-0.13975422498686807,-0.19162453851887537,-0.09063950710171367,-1.1705364380728704,-1.6049855006982328,-0.7591673582783628,-48.03186040512394,-65.85906855552862,-31.151717615033352,0.8659796134471203,0.8246062428163583,0.9089723068713528,-0.15476159539067888,-0.2127000113224977,-0.10014352741059968,-1.2962333456187252,-1.781506882206175,-0.838769975521462,-53.189714633513546,-73.10245720993743,-34.41813604930086,-0.12569690754585472,-0.17652138150794228,-0.07960261724309925,-5.157854228389607,-7.243388654408792,-3.2664184342675116,0.839190506468544,0.8022873445472368,0.916893247941677,-0.19162453851887537,-0.24643621365402493,-0.09063950710171367,-2.05455503548881,-2.6422334404724475,-0.9718163298366206,-157.9212171782329,-203.09250118927343,-74.69764257007077,0.8246062428163583,-0.2127000113224977,-2.280521496301575,0.7848071223960137,-0.27419842591005433,-2.9398936119087686,0.9089723068713528,-0.10014352741059968,-1.073716289695291,-175.28989210619332,-225.9718379637793,-82.53007607189015,-0.22596646081276583,-0.2976601714363212,-0.1018999598586704,-17.36867492796048,-22.879336774505855,-7.8324335018194,0.5273
12103024202,12103024202,Census Tract 242.02; Pinellas County; Florida,2081,1670,566,St. Petersburg city,Florida,51394,0.6337166650162547,0.16784114770028666,12103,2081,1670,566,0.015548,0.008241179256,0.003436880739,0.8042269385554901,0.7187516859602366,0.8499601045882963,-0.24343012159745248,-0.3913010842736622,-0.17652580939005372,-7.876276035172754,-12.66069840649504,-5.711561054829231,-378.4851530597191,-608.3949258286899,-274.4623284396555,0.7868944420819075,0.695403326871031,0.8362543606571932,-0.27081848151611476,-0.43801440309396056,-0.19580841314133524,-8.76243704702472,-14.172125961693494,-6.3354571808522,-421.0685750612552,-681.0247939304899,-378.4851530597191,-0.886161011851966,-1.5114275551984555,-0.6238961260229692,-42.58342200153609,-72.62986810179989,-29.98059231249251,0.8733040034326431,0.8339669632743527,0.9140643122892724,-0.14507662402709776,-0.19908826612718816,-0.09401492494056755,-0.8326804615124543,-1.1426851874464432,-0.5396072014603014,-49.86110547978769,-68.42426272134391,-32.31180847067673,0.8615529943624983,0.8189619635432109,0.9058878367559235,-0.16069470658615123,-0.22105793005762345,-0.10388942143334384,-0.9223218650150832,-1.268782069170486,-0.596282771021889,-55.228854192519954,-75.9749742018255,-35.70555515101132,-0.08964140350262895,-0.12609688172404265,-0.05667556956158759,-5.367748712732272,-7.550711480481596,-3.393746680334586,0.8339669632743527,0.7960175464101766,0.9140643122892724,-0.19908826612718816,-0.2562537151470202,-0.09401492494056755,-0.928648702328941,-1.1952973656730868,-0.4385333186328249,-164.07220889203904,-211.1832801542556,-77.47938491746024,0.8189619635432109,-0.22105793005762345,-1.0311263636018946,0.7780632536885878,-0.28524254970180135,-1.3305160006785657,0.9058878367559235,-0.10388942143334384,-0.4845929811762223,-182.17780275651847,-235.07349835310345,-85.6171344834315,-0.10247766127295356,-0.1352186350054787,-0.04605966254339738,-18.105593864479424,-23.89021819884783,-8.13774956597127,0.3041
12103024519,12103024519,Census Tract 245.19; Pinellas County; Florida,2800,1428,595,St. Petersburg city,Florida,44404,0.6022290972484875,0.24497415294843636,12103,2800,1428,595,0.015548,0.008241179256,0.003436880739,0.8146310769391777,0.7328924735500378,0.8581511729373794,-0.22754953537656705,-0.36445663735108,-0.16529584942136005,-9.90623249289762,-15.866401033096858,-7.196055627049256,-353.7940176034864,-566.6571797534592,-257.0019866803306,0.7980995595179403,0.7104676174137692,0.8451235045643405,-0.2529765091012072,-0.4075236864984517,-0.18325900841616993,-11.013180537815597,-17.741299177498195,-7.978070975992908,-393.32787635055695,-633.6178277677927,-353.7940176034864,-1.106948044917976,-1.874898144401337,-0.7820153489436512,-39.533858747070575,-66.96064801433347,-27.929119605130403,0.8803117534324026,0.8429480521600953,0.9189227409044995,-0.13596120476742898,-0.18631272406105157,-0.08823076792690511,-0.6672793327686358,-0.9143978270156394,-0.43302475917772726,-46.728244591641165,-64.033461275605,-30.323862687515916,0.869160838831673,0.8286686186497957,0.9111857080770768,-0.15053503945737026,-0.206755001328958,-0.09747112047043938,-0.7388057560922552,-1.014725778352445,-0.4783751684385433,-51.73709776556409,-71.05922817594153,-33.49966165536017,-0.07152642332361936,-0.1003279513368056,-0.04535040926081601,-5.008853173922924,-7.025766900336527,-3.1757989678442584,0.8429480521600953,0.8068037100318666,0.9189227409044995,-0.18631272406105157,-0.2394588517205786,-0.08823076792690511,-0.9135847512131704,-1.1741868762718015,-0.4326397167561955,-153.54365566607905,-197.34233214652127,-72.71255743801606,0.8286686186497957,-0.206755001328958,-1.0138234916757445,0.7896682472538541,-0.26635457798587503,-1.3060701145885076,0.9111857080770768,-0.09747112047043938,-0.47794980076763693,-170.39050280264613,-219.5075822837828,-80.3276976080062,-0.1002387404625742,-0.13188323831670612,-0.04531008401144137,-16.84684713656709,-22.165250137261538,-7.6151401699901475,0.7056
