geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06037650101,06037650101,Census Tract 6501.01; Los Angeles County; California,3308,2722,1221,Torrance city,California,66965,0.3562907124775023,0.20687598673729635,06037,3308,2722,1221,0.009245,0.009493868073,0.003212018401,0.9006640263901733,0.8533539135403022,0.9249051198391512,-0.1102919298419872,-0.1718467380682751,-0.08119198234507383,-3.37299853271538,-5.255495993103501,-2.483050552388926,-101.9648891389172,-158.87230934412034,-75.06198767802074,0.8912901326342046,0.8399280846336795,0.9177130381243516,-0.12196911351919015,-0.19057812007337885,-0.08966524224590813,-3.730115535436092,-5.828347734019305,-2.7421836843757954,-112.7604454484913,-176.18947200783873,-101.9648891389172,-0.3571170027207118,-0.5728517409158043,-0.25913313198686927,-10.795556309574115,-17.31716266371839,-7.83352877832132,0.9370173941725805,0.9165067771143708,0.9577695797689874,-0.06721604766263216,-0.09109940588601886,-0.04409246349335773,-0.5876775732267094,-0.7964924989669362,-0.38550543872232546,-21.589918193486753,-29.261296802606033,-14.162580408608576,0.9309415584495944,0.9085508703918072,0.9536458934452744,-0.07418128552066856,-0.10065383523187406,-0.04860725230752086,-0.6485754424662491,-0.8800279647789163,-0.4249787524056219,-23.827165410222232,-32.330197089600155,-15.612738883380672,-0.06089786923953966,-0.08353546581198013,-0.03947331368329643,-2.237247216735476,-3.068900286994127,-1.450158474772095,0.9165067771143708,0.8962373889870398,0.9577695797689874,-0.09109940588601886,-0.11577581150707912,-0.04409246349335773,-1.0560254897738726,-1.3420747024816164,-0.511120406363218,-86.48857410105427,-109.91602804927244,-41.8608031419507,0.9085508703918072,-0.10065383523187406,-1.1667805581668609,0.8864726958943394,-0.12806632920726996,-1.4845465424204805,0.9536458934452744,-0.04860725230752086,-0.5634558966151246,-95.55942327328916,-121.58448340872074,-46.147084079862786,-0.1107550683929881,-0.14247183993886403,-0.05233549025190665,-9.070849172234896,-11.668455359448323,-4.2862809379120925,0.7817
06037603400,06037603400,Census Tract 6034; Los Angeles County; California,2575,1815,592,Torrance city,California,51749,0.3154737604675623,0.17746279697414247,06037,2575,1815,592,0.009245,0.009493868073,0.003212018401,0.9157968790216376,0.875180385341175,0.9364757986448384,-0.09194519320519871,-0.14262158607469938,-0.06783325468430308,-2.18883577629381,-3.3952316503960343,-1.6148299818576837,-85.00333111820622,-131.8536563260596,-62.7118439556382,0.9077767911188106,0.8635894600215366,0.9303496834903098,-0.1015923845855618,-0.15795762488238516,-0.07486466405662584,-2.4184956083958107,-3.760319473246951,-1.7822188344490275,-93.92215954935187,-146.0318242037651,-85.00333111820622,-0.22965983210200047,-0.3650878228509167,-0.16738885259134406,-8.91882843114565,-14.1781678777055,-6.500537964712391,0.9467757636779052,0.9293214598075182,0.9643738217469052,-0.05621630629341058,-0.07605392025179399,-0.03694229089354604,-0.32773057560499674,-0.44338016324026214,-0.2153666623971738,-18.05678102506869,-24.42865913169488,-11.865931812516465,0.9416116977968376,0.9225343855377734,0.9608817702568276,-0.06200889638454782,-0.08397043587385578,-0.0407107627119584,-0.36150029492635904,-0.4895319720777697,-0.23733614989344248,-19.917371621287,-26.97145851668153,-13.076371894955509,-0.0337697193213623,-0.04615180883750758,-0.02196948749626864,-1.8605905962183087,-2.5427993849866435,-1.210440082439044,0.9293214598075182,0.912011214936614,0.9643738217469052,-0.07605392025179399,-0.09647774459604797,-0.03694229089354604,-0.42745116410055706,-0.542240611671877,-0.2076293397461675,-72.2045885304995,-91.59469791754678,-35.07252360577154,0.9225343855377734,-0.08397043587385578,-0.47194491020946633,0.9036498830734054,-0.1066232826799003,-0.5992622885297103,0.9608817702568276,-0.0407107627119584,-0.22880954532041617,-79.72042402186932,-101.22673792731594,-38.65026103385408,-0.04449374610890927,-0.05702167685783332,-0.0211802055742486,-7.51583549136981,-9.632040009769142,-3.577737428082534,0.5916
06037650003,06037650003,Census Tract 6500.03; Los Angeles County; California,2221,1492,723,Torrance city,California,33680,0.45550704308168305,0.2550870227957768,06037,2221,1492,723,0.009245,0.009493868073,0.003212018401,0.8649141153037179,0.8025417357597557,0.8973721429514346,-0.15618416014501765,-0.24604111592191916,-0.11436487955935971,-3.206952006960869,-5.051997909186575,-2.3482706548998693,-144.3922560540688,-227.4650116698143,-105.73033115262804,0.8524526855289348,0.7850808601309234,0.8877074036666811,-0.1730856351042101,-0.2737541453159816,-0.12649730741175932,-3.553992443011836,-5.621033560124121,-2.5973875551952292,-160.01766965384223,-253.085707344625,-144.3922560540688,-0.34704043605096757,-0.569035650937546,-0.24911690029535993,-15.625413599773417,-25.62069567481072,-11.216429549543443,0.9137144357350094,0.8860892899724602,0.9419042018072806,-0.09443384157062244,-0.1285544372521196,-0.06167909441453594,-0.4525582693085214,-0.61607547323214,-0.2955866642350266,-30.3323236801958,-41.2919217984008,-19.811438621650577,0.905506422528955,0.8754376815722692,0.9362835814189656,-0.10435439784859556,-0.14228576293862435,-0.06805247880612211,-0.500100863203526,-0.6818805372287045,-0.3261300347251187,-33.51882461149638,-45.70244887591853,-21.858581415892676,-0.04754259389500459,-0.0658050639965645,-0.03054337049009209,-3.186500931300576,-4.410527077517727,-2.047142794242097,0.8860892899724602,0.8590231605421573,0.9419042018072806,-0.1285544372521196,-0.16411296683650256,-0.06167909441453594,-0.8824062211810848,-1.1264823370429964,-0.4233694129239762,-122.047886747038,-155.80668562143794,-58.557318523371535,0.8754376815722692,-0.14228576293862435,-0.976658955429942,0.8460681774152446,-0.18193784696526488,-1.248833501682921,0.9362835814189656,-0.06805247880612211,-0.4671167479621632,-135.08422620054523,-172.72939165738882,-64.60812558259518,-0.09425273424885729,-0.12235116463992468,-0.04374733503818701,-13.03633945350723,-16.922706035950856,-6.0508070592236525,0.8539
06037650502,06037650502,Census Tract 6505.02; Los Angeles County; California,2774,2134,1005,Torrance city,California,54211,0.4243878584682181,0.2064228531281931,06037,2774,2134,1005,0.009245,0.009493868073,0.003212018401,0.8759716130119829,0.8181445086509065,0.905918465547268,-0.14158950489451586,-0.22227795875445924,-0.10385209931215732,-3.6311520544079423,-5.700458287372123,-2.6633525136828413,-130.8994972749799,-205.4959728684976,-96.01126581408946,0.8644483223135963,0.8018867209871713,0.8970115256007637,-0.15680714993305248,-0.24705893466964912,-0.11481287749369876,-4.021418148537589,-6.335982026731994,-2.9444485754387255,-144.96821011310703,-228.40598510209065,-130.8994972749799,-0.3902660941296463,-0.6355237393598712,-0.2810960617558842,-14.06871283812712,-22.910012233593047,-10.133239428835044,0.920960336765808,0.895519458806559,0.9468518797421124,-0.085823091482702,-0.11667031929454676,-0.05613139857985295,-0.5882698549220918,-0.7997105513141596,-0.3847497116297613,-27.56653490731452,-37.47472124246296,-18.0295085112353,0.9134084382754388,0.885691608187861,0.941694969120442,-0.09480048365663288,-0.1290611661614541,-0.06191498605330321,-0.649804916180069,-0.8846429577659429,-0.42439300698485294,-30.45008979288046,-41.45468405651092,-19.88720745008683,-0.06153506125797714,-0.08493240645178335,-0.0396432953550917,-2.883554885565939,-3.979962814047955,-1.857698938851532,0.895519458806559,0.8705259735881854,0.9468518797421124,-0.11667031929454676,-0.14873080222769333,-0.05613139857985295,-1.1131908825142995,-1.4190907678148807,-0.5355686133344539,-110.76526194172136,-141.2030614741175,-53.29040928701034,0.885691608187861,-0.1290611661614541,-1.231416133308799,0.8585387601838498,-0.1647697767143994,-1.572124035156896,0.941694969120442,-0.06191498605330321,-0.590751772878354,-122.52896848843773,-156.43025225441752,-58.78127093316955,-0.1182252507944994,-0.1530332673420154,-0.05518315954390007,-11.763706546716358,-15.227190780300038,-5.490861646159211,0.3328
06037620704,06037620704,Census Tract 6207.04; Los Angeles County; California,2293,1848,601,Torrance city,California,42346,0.3728030475454006,0.18955852279780216,06037,2293,1848,601,0.009245,0.009493868073,0.003212018401,0.8946133679854009,0.8446795223759419,0.9202649637975916,-0.11780131594939332,-0.18388095545061592,-0.08664356390725955,-2.49724476952826,-3.898052840192185,-1.8367382829037553,-108.90731659521413,-169.9979433140944,-80.10197483226146,0.8847058964219258,0.8305411640902409,0.9126498289413292,-0.13031913096133502,-0.2040342408499175,-0.0957104995680509,-2.7626072386361846,-4.325278004415619,-2.028946302585704,-120.48003657375422,-188.62965566574871,-108.90731659521413,-0.2653624691079246,-0.42722516422343393,-0.19220801968194867,-11.572719978540103,-18.631712351654336,-8.382382018401598,0.933098318099754,0.9113729888304342,0.9551107266935124,-0.07169842727451346,-0.097245597857032115,-0.04699902540293869,-0.4255882419622634,-0.5772313927066457,-0.27897728521426857,-23.02966677284975,-31.235464973303337,-15.096173442330551,0.9266594249915464,0.9029542950938968,0.9507341521078776,-0.0791451239047426,-0.10747576641851146,-0.05181874216140753,-0.4697904183245348,-0.6379557296072023,-0.3075862081706855,-25.42155943314582,-34.52141393978368,-16.64427533391155,-0.04420217636227136,-0.06072433690055656,-0.02860892295641692,-2.3918926602960693,-3.2859489664803334,-1.5481018915810023,0.9113729888304342,0.8899339267994173,0.9551107266935124,-0.097245597857032115,-0.12367892703723224,-0.04699902540293869,-0.5548653629175394,-0.705689041437707,-0.26816773058778043,-92.32368767346746,-117.41914167016756,-44.62025467350756,0.9029542950938968,-0.10747576641851146,-0.6132368092005688,0.879616849675337,-0.1368586224435058,-0.7808899413848277,0.9507341521078776,-0.05181874216140753,-0.2956681413753128,-102.03607474219112,-129.93177061311607,-49.1960301789206,-0.05837144628302937,-0.07520089994712065,-0.02750041078753234,-9.71238706872369,-12.512628942948528,-4.575775505413036,0.0925
06037651221,06037651221,Census Tract 6512.21; Los Angeles County; California,2424,1695,609,Torrance city,California,39194,0.3848974866976572,0.2005219516369367,06037,2424,1695,609,0.009245,0.009493868073,0.003212018401,0.8902073762209236,0.8383819706856556,0.9168810637663828,-0.12333376099978424,-0.19277374152281457,-0.0906540003042264,-2.7638947839538446,-4.320036414677292,-2.0315452683376773,-114.02206204430053,-178.21932403784206,-83.80962328125732,0.8799141614724739,0.8237323522356627,0.9089590200708992,-0.13647449238295126,-0.2139865543534081,-0.10015960886993512,-3.058376997362852,-4.795413004673353,-2.244564815622182,-126.17066820803844,-197.83056949972575,-114.02206204430053,-0.29448221340900727,-0.4753765899960616,-0.213019547284504,-12.148606163737924,-19.61124546188373,-8.787935118997689,0.9302381994772544,0.9076310063266442,0.953167937366845,-0.07499348076863324,-0.10176932368936002,-0.04913306543076759,-0.4082923461116929,-0.5540699738890966,-0.2674986458926705,-24.088044018388963,-32.68849403475496,-15.781631026116251,0.9235354838298472,0.8988769752968414,0.9486070929574412,-0.08279542855577038,-0.11249929354321724,-0.05417723251713492,-0.450769045867487,-0.6124879126277327,-0.2949609638536965,-26.594044003981537,-36.134980096031434,-17.401826776029292,-0.0424766997557941,-0.0584179387386361,-0.02746231796102605,-2.5059999855925725,-3.4464860612764663,-1.6201957499130415,0.9076310063266442,0.8853451097542513,0.953167937366845,-0.10176932368936002,-0.1295030480007665,-0.04913306543076759,-0.5884063805879975,-0.7487562753373341,-0.2840758703040667,-96.61845329852176,-122.94848527706635,-46.64628412217844,0.8988769752968414,-0.11249929354321724,-0.6504445517838481,0.8746289576063752,-0.14334197524940376,-0.828769709625712,0.9486070929574412,-0.05417723251713492,-0.3132400623294561,-106.8053451205005,-136.08698023410705,-51.43514980779246,-0.06203817119585053,-0.08001343428837782,-0.02916419202538939,-10.186891821978742,-13.138494957040692,-4.788865685614021,0.6318
06037650102,06037650102,Census Tract 6501.02; Los Angeles County; California,1514,1145,502,Torrance city,California,44811,0.3879505333942853,0.19683187560403992,06037,1514,1145,502,0.009245,0.009493868073,0.003212018401,0.8890985889032041,0.8367996909073735,0.9160288213749284,-0.12473466101616956,-0.1950291221016851,-0.09166870808609888,-1.745902318817054,-2.729808970018739,-1.2830804902715598,-115.31719410944874,-180.30442338300784,-84.7477206255984,0.8787086731815194,0.8220224190201725,0.9080296965520286,-0.13803360604069612,-0.21651183332928045,-0.10128556785884994,-1.9320467213992003,-3.0305009752816052,-1.4176870033305724,-127.61206878462356,-200.16518991291977,-115.31719410944874,-0.1861444025821466,-0.3006920052628663,-0.1346065130590126,-12.294874675174809,-19.86076652991191,-8.890786859908363,0.9295175954194148,0.906688834234221,0.9526781364546733,-0.07582686430888073,-0.10291421074418387,-0.04967245676638697,-0.2788730895505421,-0.3784938777367436,-0.18268342770420615,-24.355728345025508,-33.05623386347106,-15.954884515651193,0.922748561298962,0.8978506351793359,0.9480709037638376,-0.08371883949869337,-0.11377100022907576,-0.05477343100606079,-0.3078978886622932,-0.41842255544018175,-0.20144359217759003,-26.89064529801687,-36.54345462359666,-17.593326827737123,-0.0290247991117511,-0.03992867770343816,-0.01876016447338388,-2.534916952991362,-3.487220760125604,-1.6384423120859286,0.906688834234221,0.8841904818766253,0.9526781364546733,-0.10291421074418387,-0.13097801943940637,-0.04967245676638697,-0.4904810777003848,-0.6242309945843176,-0.23673504320374075,-97.70539396422006,-124.3488037020553,-47.1583751401874,0.8978506351793359,-0.11377100022907576,-0.5422236870874652,0.8733743218744516,-0.1449844298762781,-0.6909844510420209,0.9480709037638376,-0.05477343100606079,-0.26104588739430856,-108.0126866708098,-137.64630498845037,-52.001172787710864,-0.05174260938708036,-0.06675345645770325,-0.02431084419056781,-10.307292706589712,-13.29750128639507,-4.842797647523468,0.3316
06037670003,06037670003,Census Tract 6700.03; Los Angeles County; California,4003,2918,1607,Torrance city,California,60037,0.3507726652448158,0.2134670906922502,06037,4003,2918,1607,0.009245,0.009493868073,0.003212018401,0.9026951281534252,0.8562725114259679,0.926460964444859,-0.10779372659917193,-0.16785250799967846,-0.079376291476248,-3.989201668644605,-6.2118411351374805,-2.9375367602357447,-99.65530024093442,-155.17964364570275,-73.38338146979127,0.8935013405652176,0.843088571954066,0.9194113018362308,-0.11919250100667196,-0.18611499819319463,-0.08765249894450831,-4.411044491242148,-6.887694532659226,-3.243820453026143,-110.19346718066818,-172.06331582960843,-99.65530024093442,-0.4218428225975428,-0.6758533975217453,-0.30628369279039847,-10.538166939733769,-16.883672183905706,-7.651353804406656,0.938330726388831,0.918228811223448,0.9586597570851249,-0.06572232143404644,-0.08905317256120528,-0.0431229564079891,-0.615993610331969,-0.8346659716294694,-0.4041772266459311,-21.110130580259387,-28.60404289340197,-13.851172948798189,0.9323769568894554,0.9104288409433862,0.9546209178551278,-0.07252757869107451,-0.09838348152921014,-0.04753623275596278,-0.6797770387855926,-0.922115875730646,-0.4455414081243518,-23.295991733570684,-31.600955302626662,-15.268725432637142,-0.06378342845362361,-0.08744990410117659,-0.04136418147842069,-2.185861153311296,-2.9969124092246946,-1.4175524838389544,0.918228811223448,0.8983538004004084,0.9586597570851249,-0.08905317256120528,-0.11314718049201392,-0.0431229564079891,-1.3586527283475454,-1.7262464779079203,-0.6579116801016718,-84.54590717781862,-107.42044044230992,-40.94036590551784,0.9104288409433862,-0.09838348152921014,-1.5010019492806106,0.8887756555220406,-0.12514332923827606,-1.9092674726127437,0.9546209178551278,-0.04753623275596278,-0.7252434750133586,-93.40397942007532,-118.80942580041965,-45.13027224725318,-0.14234922093306523,-0.1830209947048231,-0.06733179491168684,-8.858072242256704,-11.388985358109716,-4.189906341735335,0.6153
06037670001,06037670001,Census Tract 6700.01; Los Angeles County; California,2082,1648,781,Torrance city,California,50847,0.34749608837242596,0.1935127846951795,06037,2082,1648,781,0.009245,0.009493868073,0.003212018401,0.9039033485440068,0.858010275149716,0.9273860519633376,-0.1063129720791322,-0.1654872079772098,-0.07829959042723783,-2.0463216547466234,-3.185312672994052,-1.507117563506612,-98.2863426871577,-152.99292377493046,-72.38797134998137,0.8948169349388919,0.8449708711308753,0.9204212053763612,-0.11754702102088752,-0.18347274937612923,-0.08645910606883396,-2.262555639841935,-3.531499992539179,-1.664172654932462,-108.67222093381052,-169.62055679823146,-98.2863426871577,-0.21623398509531144,-0.3461873195451268,-0.15705509142584995,-10.385878246652808,-16.627633023300998,-7.543472210655618,0.9391114445151764,0.919252873371374,0.959188729439364,-0.06483634699634366,-0.08783995021139801,-0.0425476960978156,-0.3432051292704852,-0.4649725480233477,-0.2252222436318877,-20.825553960587698,-28.214353642193423,-13.66639827863396,0.9332303332417546,0.9115458026885346,0.9552003520077816,-0.07154682437968782,-0.0970375784196214,-0.04690078672819982,-0.3787264126942286,-0.5136593313543577,-0.2482649211074001,-22.98097164406727,-31.16864874723044,-15.064618999235442,-0.03552128342374339,-0.04868678333101006,-0.02304267747551236,-2.155417683479574,-2.9542951050370183,-1.3982207206014785,0.919252873371374,0.8996128744700078,0.959188729439364,-0.08783995021139801,-0.11158924953039784,-0.0425476960978156,-0.6513078419986488,-0.8274020320706127,-0.3154788687925142,-83.39408988459012,-105.94136134066744,-40.39422135627583,0.9115458026885346,-0.0970375784196214,-0.7195055967262757,0.8901459664652657,-0.12341125801081854,-0.9150588079788646,0.9552003520077816,-0.04690078672819982,-0.3477557776213194,-92.12619676392777,-117.16502022776756,-44.52698817174384,-0.0681977547276269,-0.08765677590825194,-0.03227690882880518,-8.73210687933763,-11.22365888710012,-4.132766815468013,0.7103
06037650605,06037650605,Census Tract 6506.05; Los Angeles County; California,1749,1278,361,Torrance city,California,32600,0.3213238789420575,0.21437348901356185,06037,1749,1278,361,0.009245,0.009493868073,0.003212018401,0.913612441806216,0.872018147776055,0.9348085785281436,-0.0945560220513145,-0.146765124728588,-0.06973772274800936,-1.52892407133884,-2.373119418124527,-1.1276244566625513,-87.41704238644026,-135.68435781157962,-64.47252468053466,0.9053952376747654,0.8601576883622774,0.928527900673529,-0.10449001539725174,-0.16257752913187296,-0.07697356134869733,-1.689551826415939,-2.6287981701854655,-1.2446243850955685,-96.60101923475924,-150.30292568241657,-87.41704238644026,-0.16062775507709892,-0.25567875206093804,-0.116999928433017,-9.183976848318975,-14.61856787083694,-6.68953278633602,0.9453709240772304,0.927473844611348,0.9634244756940512,-0.05778586429034994,-0.07819752094361598,-0.03796408045332215,-0.2372086335365782,-0.3209976577624841,-0.1558410133412012,-18.56092594182928,-25.11718761834774,-12.194132499311518,0.9400749170776088,0.9205170524693026,0.9598413222266914,-0.06374500780073881,-0.08634598057415997,-0.04183887153362637,-0.2616706763996071,-0.3544467546675225,-0.1717468738606601,-20.47501380278616,-27.73448784565904,-13.4387225243083,-0.02446204286302891,-0.03344909690503839,-0.01590586051945886,-1.914087860956879,-2.617300227311298,-1.2445900249967807,0.927473844611348,0.9097334898643976,0.9634244756940512,-0.07819752094361598,-0.09922302645916348,-0.03796408045332215,-0.2680052980382384,-0.3400657266055582,-0.1301137756525121,-74.23969474743446,-94.20103230070865,-36.04259713365986,0.9205170524693026,-0.08634598057415997,-0.2959324027019673,0.9011676661666104,-0.10967141581300044,-0.37587534907189857,0.9598413222266914,-0.04183887153362637,-0.14339379432550323,-81.97573482048955,-104.12059531077524,-39.72127266634439,-0.02792710466372888,-0.03580962246634034,-0.01328001867299116,-7.736040073055094,-9.919563010066575,-3.6786755326845335,0.346
06037650607,06037650607,Census Tract 6506.07; Los Angeles County; California,1914,1383,353,Torrance city,California,35287,0.3427789477190769,0.20680784868453356,06037,1914,1383,353,0.009245,0.009493868073,0.003212018401,0.9056456096992844,0.8605182507848678,0.9287194813447692,-0.10418467145448387,-0.1620904020198441,-0.07675139812079529,-1.8435404684600905,-2.8681783174129998,-1.3581106171496042,-96.31872875967036,-149.85257666734586,-70.95666756267525,0.8967143396178298,0.8476881152612452,0.9218770665672102,-0.11518234494408722,-0.1796791555722289,-0.08474333104271245,-2.0381435310214773,-3.1794100803097005,-1.4995273107676237,-106.48607790080862,-166.11337932652563,-96.31872875967036,-0.1946030625613868,-0.31123176289670074,-0.14141669361801945,-10.167349141138288,-16.260802659179767,-7.388541986312406,0.9402365502454753,0.9207291756742836,0.959950779812282,-0.06356214267454484,-0.08609570155921636,-0.04172007672679809,-0.2823571135067559,-0.38245617209715177,-0.1853298196723109,-20.41627718776254,-27.654097765520735,-13.40056541376073,0.9344602727164878,0.913156249319609,0.9560351550424562,-0.07013645116553473,-0.09510283781674612,-0.04598664047619819,-0.31156164769503253,-0.4224678659706601,-0.2042828406716427,-22.527957172453544,-30.54720650547072,-14.770993540971997,-0.02920453418827662,-0.04001169387350833,-0.01895302099933182,-2.1116799846910066,-2.893108739949988,-1.3704281272112673,0.9207291756742836,0.9014286064626584,0.959950779812282,-0.08609570155921636,-0.1093501946029322,-0.04172007672679809,-0.2885355749862199,-0.3664691814249416,-0.13981797126719953,-81.73812322555806,-103.8156321317115,-39.60849044396587,0.913156249319609,-0.09510283781674612,-0.31872150984683634,0.8921224527102689,-0.1209223542821941,-0.4052513701569962,0.9560351550424562,-0.04598664047619819,-0.15411665752393214,-90.28937956001027,-114.80208786317174,-43.65910978015074,-0.03018593486061643,-0.03878218873205463,-0.01429868625673261,-8.551256334452248,-10.986455731460236,-4.050619336184876,0.5149
