geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
04019003901,04019003901,Census Tract 39.01; Pima County; Arizona,1140,797,273,Tucson city,Arizona,68777,0.3095397217102008,0.16177440456682077,04019,1140,797,273,0.013668,0.00781773244399999,0.00314654663299999,0.918017988062502,0.8783997008775565,0.9381699729102752,-0.08930327401375097,-0.1384339031547483,-0.06590493074290499,-1.3914807501107411,-2.1570106306837737,-1.0268989964691888,-122.05971492199484,-189.21145883190997,-90.07885933940253,0.9101989080463392,0.867084448670855,0.9322012515586204,-0.09866095329251794,-0.15329020320095685,-0.07272973333603824,-1.537287616946434,-2.388494366979773,-1.133239794570147,-134.8497909602135,-209.5170497350678,-122.05971492199484,-0.14580686683569288,-0.23148373629599917,-0.10634079810095788,-12.790076038218674,-20.305590903157825,-9.328140184294549,0.9482028885521676,0.9311993393849628,0.96533774192622,-0.05462661216622392,-0.07388392335037368,-0.03590687131388371,-0.13699249051931148,-0.18528593057000584,-0.09004716809230925,-17.18851825838287,-23.247921025094836,-11.298264503426507,0.9431730903002014,0.9245851740252568,0.9619382957873306,-0.06025077505308308,-0.08156612077870398,-0.03956771903078932,-0.1510967530829984,-0.20455132735437256,-0.09922783345418068,-18.958187337891893,-25.66516027031023,-12.450167309182016,-0.0141042625636869,-0.01926539678436673,-0.00918066536187141,-1.7696690795090226,-2.4172392452153986,-1.1519028057555096,0.9311993393849628,0.914327440275508,0.96533774192622,-0.07388392335037368,-0.093700085932756,-0.03590687131388371,-0.15768609529387953,-0.19997856109197185,-0.07663391540343126,-57.76047446662254,-73.25222018020946,-28.07103128330815,0.9245851740252568,-0.08156612077870398,-0.17408175568681075,0.906174692567434,-0.10353997766891276,-0.22097926104980944,0.9619382957873306,-0.03956771903078932,-0.08444704653896726,-63.766210874289655,-80.94478426732947,-30.932984080207788,-0.01639566039293122,-0.02100069995783762,-0.007813131135536,-6.005736407667114,-7.69256408712001,-2.861952796899634,0.9072
04019001700,04019001700,Census Tract 17; Pima County; Arizona,2208,1165,596,Tucson city,Arizona,59079,0.3804898564574576,0.1660586275831406,04019,2208,1165,596,0.013668,0.00781773244399999,0.00314654663299999,0.8918105526924401,0.8406715594063391,0.9181128300602344,-0.12131438339782832,-0.18952519424610323,-0.08919074786744162,-3.6611399829575904,-5.719670223742271,-2.69168258520964,-165.81249922815172,-259.04303549557386,-121.9059141852192,0.8816574216833313,0.8262072291502637,0.910302346195462,-0.13422739423065205,-0.2103500970676309,-0.09853611185275143,-4.050841013752771,-6.3481437997985966,-2.9737158015819216,-183.4620024344552,-287.5065126720379,-165.81249922815172,-0.38970103079518026,-0.6284735760563258,-0.2820332163722816,-17.649503206303454,-28.463477176464036,-12.77324349512145,0.931279508516057,0.908992930986473,0.9538754986314324,-0.07379147812824244,-0.10011856628495744,-0.04835484445794508,-0.2704994010115192,-0.36700731435609896,-0.17725565056641945,-23.218832704851433,-31.502773764472018,-15.21507730183858,0.924672734074484,0.9003607544626585,0.9493817148958004,-0.08146370402163101,-0.11066591368346222,-0.05331710555406605,-0.2986236852951319,-0.4056710086731801,-0.19544594419125672,-25.63293436009716,-34.82154580885666,-16.776475896245213,-0.02812428428361269,-0.03866369431708116,-0.01819029362483726,-2.414101655245724,-3.3187720443846493,-1.561398594406632,0.908992930986473,0.8870146860380118,0.9538754986314324,-0.10011856628495744,-0.12737704994113971,-0.04835484445794508,-0.46648929768003505,-0.5934966187837302,-0.2253030408606967,-78.27001638926762,-99.5799695945856,-37.80252363434508,0.9003607544626585,-0.11066591368346222,-0.5156332762934712,0.8764434332203185,-0.14097494726578907,-0.6568542337424451,0.9493817148958004,-0.05331710555406605,-0.24842404408247604,-86.51565038481061,-110.21044190309482,-41.68188659101947,-0.04914397861343617,-0.06335761495871495,-0.02312100322177934,-8.245633995542981,-10.63047230850922,-3.879362956674387,0.2785
04019002202,04019002202,Census Tract 22.02; Pima County; Arizona,1906,1131,448,Tucson city,Arizona,109104,0.28047817772163386,0.16737472521414376,04019,1906,1131,448,0.013668,0.00781773244399999,0.00314654663299999,0.928973754586512,0.8943379088762815,0.9465114391992304,-0.07645667605012364,-0.118145602545777,-0.05651126714963128,-1.9917887707703896,-3.0778356662053663,-1.4721867748586115,-104.500984825309,-161.481409559568,-77.23959994011604,0.9221547102173476,0.8844062516703252,0.9413225308032562,-0.08441673497964848,-0.13070209319683104,-0.06233513729526126,-2.1991579216356985,-3.4049474159060305,-1.6239056273874084,-115.38079337018354,-178.64362098142868,-104.500984825309,-0.20736915086530905,-0.32711174970066415,-0.1517188525287967,-10.879808544874557,-17.162211421860658,-7.960065715047046,0.9552232601957832,0.940451067425938,0.9700724058985932,-0.04687567992747511,-0.0633195438195956,-0.03085088692290372,-0.1668185560281276,-0.22533806196917697,-0.1097904161951012,-14.749651284538247,-19.92378974086445,-9.707375437232644,0.9508573724615546,0.9346947946316844,0.9671293565180394,-0.05168243835689711,-0.06986794592565289,-0.03398784584546673,-0.183924579911148,-0.24864215025790473,-0.12095405069792128,-16.262120239712466,-21.984275000698915,-10.694434190797638,-0.0171060238830204,-0.02330408828872779,-0.01116363450282009,-1.512468955174218,-2.0604852598344645,-0.9870587535649952,0.940451067425938,0.9257562241637703,0.9700724058985932,-0.0633195438195956,-0.0801979764200814,-0.03085088692290372,-0.22176683292186403,-0.28088091234668294,-0.10805042287126516,-49.50152520577322,-62.696632220241725,-24.118397962335973,0.9346947946316844,-0.06986794592565289,-0.24470159063105917,0.9186420155845664,-0.08856331741332611,-0.31017921531091247,0.9671293565180394,-0.03398784584546673,-0.1190371325551636,-54.62089076586141,-69.23643198904296,-26.570788516777583,-0.02293475770919512,-0.02929830296422952,-0.01098670968389843,-5.119365560088196,-6.539799768801234,-2.452390554441615,0.9265
04019004046,04019004046,Census Tract 40.46; Pima County; Arizona,3476,2527,1179,Tucson city,Arizona,70071,0.3626523536296806,0.18432081072392892,04019,3476,2527,1179,0.013668,0.00781773244399999,0.00314654663299999,0.8983280825015184,0.8500014665184635,0.9231146613726414,-0.11317904836656348,-0.1764685584554556,-0.08328904506080814,-5.377132966165884,-8.384015565224825,-3.957059865589553,-154.69312330741897,-241.1972256969167,-113.83946678911256,0.8887476674947313,0.8362991252247121,0.915759037977068,-0.1251787617275836,-0.19574440512693567,-0.09199031462361758,-5.947238963957122,-9.29981042375975,-4.3704569040780035,-171.09433152926127,-267.54345292749565,-154.69312330741897,-0.5701059977912379,-0.9157948585349248,-0.4133970384884504,-16.40120822184229,-26.346227230578968,-11.892895238447942,0.9355055620053224,0.9145254874514418,0.9567443387238574,-0.06894073174341067,-0.09346323718845136,-0.04521130622402075,-0.5481700494977448,-0.7431564194371892,-0.35948971448287464,-21.692522734378503,-29.4086434284602,-14.225948337272444,0.9292894597932152,0.906390604287699,0.9525230440195864,-0.07609097408951473,-0.10327710290627444,-0.04984336733740736,-0.6050239383623545,-0.8211896389905557,-0.3963207301334216,-23.94237983230528,-32.49662204157324,-15.683447967290128,-0.05685388886460962,-0.0780332195533665,-0.03683101565054692,-2.249857097926776,-3.0879786131130396,-1.4574996300176857,0.9145254874514418,0.893803609481718,0.9567443387238574,-0.09346323718845136,-0.11881400946664464,-0.04521130622402075,-0.8614606158118302,-1.0951213850621415,-0.4167174267982093,-73.06705816894234,-92.88561366091108,-35.344989550314615,0.906390604287699,-0.10327710290627444,-0.9519160618148832,0.8838250664577276,-0.13144561967210158,-1.2115482822425498,0.9525230440195864,-0.04984336733740736,-0.45941162763324217,-80.73927581127084,-102.7606685532273,-38.96621099518593,-0.090455446003053,-0.1164268971804081,-0.04269420083503289,-7.672217642328499,-9.875054892316207,-3.6212214448713222,0.4949
04019004037,04019004037,Census Tract 40.37; Pima County; Arizona,1721,951,492,Tucson city,Arizona,53884,0.3040681950906702,0.15170350840226074,04019,1721,951,492,0.013668,0.00781773244399999,0.00314654663299999,0.9200707521202676,0.881378588411361,0.9397348152520744,-0.08687293634270891,-0.13458621884886943,-0.06412999047157787,-2.0434797648572225,-3.1658215599085437,-1.508505909506471,-118.73792939321454,-183.95244392263473,-87.65287097655265,0.9124379661303964,0.8703195625246118,0.9339117694725196,-0.09596491719974116,-0.1490032432445995,-0.07076496162459477,-2.257347048340313,-3.504947861636227,-1.6645778677296184,-131.1648488286062,-203.6576328667186,-118.73792939321454,-0.21386728348309036,-0.3391263017276831,-0.15607195822314734,-12.426919435391657,-19.705188944083854,-9.068678571943485,0.9495206862877442,0.9329342152019738,0.9662273857585428,-0.05316294256801315,-0.07188693876288682,-0.03495307081877407,-0.1590829737188042,-0.2151120204701078,-0.10459237540023072,-16.727967793775417,-22.61956051210387,-10.99814672978241,0.9446150785937288,0.9264801590210184,0.9629135027471174,-0.05863226478315817,-0.07935392923758613,-0.03851487921508807,-0.17544918672701887,-0.2374559877538124,-0.11525060920241982,-18.44891553386108,-24.96908388578469,-12.118886351463704,-0.01636621300821467,-0.02234396728370458,-0.01065823380218909,-1.7209477400856643,-2.3495233736808183,-1.1207396216812928,0.9329342152019738,0.9164683461516396,0.9662273857585428,-0.07188693876288682,-0.09114515978551772,-0.03495307081877407,-0.27650048390549903,-0.3505738486022525,-0.13444084783262095,-56.19928534664614,-71.2548472768806,-27.32537557573597,0.9264801590210184,-0.07935392923758613,-0.30522095128250215,0.9085089633884604,-0.10070460534622148,-0.3873425769538828,0.9629135027471174,-0.03851487921508807,-0.14814071824173533,-62.03677871595572,-78.72816604753716,-30.109902081653523,-0.02872046737700312,-0.03676872835163031,-0.01369987040911435,-5.837493369309578,-7.473318770656567,-2.784526505917552,0.8884
04019004035,04019004035,Census Tract 40.35; Pima County; Arizona,2299,1432,862,Tucson city,Arizona,78734,0.330338826707777,0.15983482403278956,04019,2299,1432,862,0.013668,0.00781773244399999,0.00314654663299999,0.9102564525210796,0.8671675407493807,0.9322452257534272,-0.09859149828640412,-0.15317969482094468,-0.07267913245875224,-3.098014228132136,-4.813324498200332,-2.2837769012438724,-134.75485985785716,-209.3660068812671,-99.33783824462256,0.9017375249703352,0.8548960581596642,0.9257275415118555,-0.10897015185532784,-0.1697328469997876,-0.08023144516889505,-3.4241398777492695,-5.33346976287133,-2.521091199514884,-148.94040355586208,-231.99085527930967,-134.75485985785716,-0.32612564961713364,-0.5201452646709974,-0.23731429827101147,-14.185543698004942,-22.624848398042516,-10.322501012223205,0.9432101666236726,0.9246338854364108,0.9619633765405188,-0.06020909802065959,-0.0815091418891896,-0.03954061494136227,-0.27129345202291466,-0.36726835646925304,-0.1781642687766259,-18.945073465287336,-25.647231597014876,-12.441638881049291,0.9377116692870008,0.9174170046593478,0.958240212139158,-0.06642588841872984,-0.0900168570249214,-0.04357966544486619,-0.2993054067447189,-0.40560288536733263,-0.19636364378826415,-20.901215554798807,-28.324223838500885,-13.712544957281017,-0.02801195472180423,-0.03833452889807959,-0.01819937501163826,-1.9561420895114687,-2.676992241486005,-1.2709060762317224,0.9246338854364108,0.9062346806558288,0.9619633765405188,-0.0815091418891896,-0.10346692898170122,-0.03954061494136227,-0.549280763531616,-0.6972517736550714,-0.2664596714197727,-63.7216663029717,-80.88767675812893,-30.9117948282799,0.9174170046593478,-0.0900168570249214,-0.6066132805640894,0.897355948320277,-0.114384990562394,-0.7708273390742373,0.958240212139158,-0.04357966544486619,-0.29367836975331063,-70.37277036706372,-89.42312518262614,-34.06941644469961,-0.05733251703247333,-0.07357556541916588,-0.0272186983335379,-6.651104064092033,-8.5354484244972,-3.1576216164197106,0.8365
04019003302,04019003302,Census Tract 33.02; Pima County; Arizona,2718,1950,949,Tucson city,Arizona,78625,0.30660879934691665,0.16590107572562035,04019,2718,1950,949,0.013668,0.00781773244399999,0.00314654663299999,0.9191170180939536,0.8799941416807604,0.939007884721388,-0.08800074453390032,-0.13637120139235506,-0.06495378395753175,-3.269194571154452,-5.066138856154266,-2.413008651399536,-120.27941762893497,-186.39215806307087,-88.77883191315438,0.911397615899032,0.8688158976373933,0.9331171314813086,-0.09721594895063213,-0.15099183005207548,-0.07167681983559333,-3.611535950319177,-5.609289713506504,-2.662766906408034,-132.87475902572396,-206.3756333151767,-120.27941762893497,-0.3423413791647252,-0.5431508573522379,-0.2497582550084978,-12.595341396789006,-19.983475252105883,-9.189045438134578,0.9489085631717358,0.932128255447626,0.965814193844711,-0.05384231822873493,-0.07281374012182561,-0.03539584153262669,-0.3303638620143038,-0.44676806619211135,-0.21718059869354173,-16.94173651355404,-22.911182881646734,-11.137466599668809,0.943945243484972,0.9255997745398068,0.9624605601708676,-0.05938348320722302,-0.08038055702550682,-0.03900361363635292,-0.3643631533259243,-0.4931962835811823,-0.23931704386648336,-18.68528991414996,-25.292117106727297,-12.272668916229916,-0.03399929131162049,-0.04642821738907093,-0.02213644517294163,-1.7435534005959228,-2.3809342250805607,-1.1352023165611096,0.932128255447626,0.9154736325770816,0.965814193844711,-0.07281374012182561,-0.09233075035156876,-0.03539584153262669,-0.540207183254892,-0.6850044303696048,-0.2626027425769511,-56.92383385193804,-72.18171026023232,-27.671521873229832,0.9255997745398068,-0.08038055702550682,-0.5963456104103169,0.907424340163297,-0.10202025198050498,-0.7568911151265434,0.9624605601708676,-0.03900361363635292,-0.289368905154491,-62.839368852509686,-79.75670338530489,-30.4919815758157,-0.05613842715542483,-0.0718866847569386,-0.02676616257753988,-5.915535000571636,-7.57499312507256,-2.820459702585868,0.6713
04019002901,04019002901,Census Tract 29.01; Pima County; Arizona,4321,2575,1003,Tucson city,Arizona,78632,0.334502978075329,0.1493050216377513,04019,4321,2575,1003,0.013668,0.00781773244399999,0.00314654663299999,0.9087104314098174,0.8649360854658834,0.9310635457630416,-0.1004605707547029,-0.15615479201722365,-0.07404054701815464,-5.933143845326281,-9.222412695996193,-4.3727923556993185,-137.30950810752793,-213.4323697291412,-101.19861966441376,0.9000529607190773,0.8524765045439262,0.9244368630958626,-0.11104573135459972,-0.17305285796116887,-0.0817396405537991,-6.558297375644324,-10.22040280495188,-4.827496416032978,-151.77730561546687,-236.5286462613256,-137.30950810752793,-0.6251535303180429,-0.9979901089556868,-0.4547040603336594,-14.46779750793897,-23.096276532184373,-10.523121044518849,0.9422137457066108,0.9233249997512196,0.961289219386175,-0.0613303027648495,-0.08304226601623443,-0.04026965020843941,-0.49692004348894,-0.6728381335149374,-0.3262791056092909,-19.297865766560776,-26.129636253007273,-12.671033227545276,0.9366220534155032,0.9159885691728912,0.957501535328731,-0.06766651111126575,-0.0917166803762284,-0.04438474833011982,-0.5482582692128265,-0.7431213404564784,-0.35962110206782905,-21.291583270401027,-28.85908118277586,-13.96586804146909,-0.05133822572388646,-0.070283206941541,-0.03334199645853814,-1.993717503840251,-2.7294449297685826,-1.294834813923811,0.9233249997512196,0.9046230701830824,0.961289219386175,-0.08304226601623443,-0.1054327851683183,-0.04026965020843941,-0.6511498239101697,-0.8267180411874588,-0.3157618029958773,-64.92022172583945,-82.42453052716439,-31.481735094304817,0.9159885691728912,-0.0917166803762284,-0.7191675172367185,0.8956007014999601,-0.11656902269637692,-0.9140393469909346,0.957501535328731,-0.04438474833011982,-0.34802905130027,-71.70164678332188,-91.1305430698838,-34.698808703915255,-0.06801769332654872,-0.08732130580347575,-0.0322672483043927,-6.781425057482425,-8.706012542719417,-3.217073609610439,0.9003
04019002603,04019002603,Census Tract 26.03; Pima County; Arizona,1935,1160,444,Tucson city,Arizona,49734,0.3452420146204718,0.20304524278712036,04019,1935,1160,444,0.013668,0.00781773244399999,0.00314654663299999,0.9047354650986018,0.8592077917719382,0.9280229888148908,-0.10529545770709438,-0.16386281592920268,-0.07755951312911519,-2.7848100413449948,-4.333774933312862,-2.051261428243324,-143.91783159405657,-223.9676968120342,-106.00834254487464,0.8957231035845307,0.8462682110386193,0.9211165979181086,-0.11641644164158658,-0.18165847063155868,-0.08563888899644435,-3.0789331536311924,-4.804426934705798,-2.2649413678445818,-159.11799243572054,-248.2907976592144,-143.91783159405657,-0.2941231122861976,-0.4706520013929367,-0.21367993960125764,-15.200160841663958,-24.323100847180193,-11.042890935465511,0.9396489053886524,0.919958025158042,0.959552797786479,-0.06422728134439279,-0.0870061162064512,-0.04215213827402275,-0.23442919759869368,-0.31757181031978626,-0.15385505576145697,-20.20941358609428,-27.376880199981574,-13.26336687598767,0.933817854624454,0.9123149959101584,0.9555991695520124,-0.07087264935854334,-0.0961126414483233,-0.04646386462307488,-0.2586847516046604,-0.35081057367203117,-0.16959283147164872,-22.300409621091415,-30.242290833795792,-14.620071678590406,-0.02425555400596674,-0.0332387633522449,-0.01573777571019174,-2.090996034997133,-2.865410633814216,-1.3567048026027368,0.919958025158042,0.9004800606879736,0.959552797786479,-0.0870061162064512,-0.1105187595558667,-0.04215213827402275,-0.3020045986471618,-0.38361870495923706,-0.14631315770214798,-68.01905374936075,-86.40060922505339,-32.95341389688018,0.9123149959101584,-0.0961126414483233,-0.33361401440611865,0.8910898785447613,-0.12222125295946557,-0.42423891624574983,0.9555991695520124,-0.04646386462307488,-0.16127947550022168,-75.1382915329096,-95.54930546075448,-36.32420619374362,-0.03160941575895687,-0.04062021128651277,-0.01496631779807369,-7.1192377835488445,-9.148696235701076,-3.370792296863445,0.9909
04019004078,04019004078,Census Tract 40.78; Pima County; Arizona,2169,1745,578,Tucson city,Arizona,82218,0.32111906638147986,0.1684696885444473,04019,2169,1745,578,0.013668,0.00781773244399999,0.00314654663299999,0.9136888308314148,0.872128664416645,0.9348668977099338,-0.09446451161063864,-0.146619805999481,-0.06967099000897066,-2.8004847090417395,-4.346674933721565,-2.065458645339023,-129.1140944694209,-200.39995084009055,-95.2263091442611,0.9054785101874336,0.860277603956667,0.9285916209616718,-0.10438844075162046,-0.16241547542410625,-0.07689965903889587,-3.094688440570939,-4.814951643551708,-2.2797589867039307,-142.67812081931484,-221.9894718096684,-129.1140944694209,-0.29420373152919943,-0.4682767098301426,-0.2143003413649076,-13.564026349893934,-21.589520969577805,-9.88014483010178,0.9454200722606342,0.9275384674992104,0.9634576964932506,-0.05773087470933151,-0.07812240143113108,-0.03792829061385297,-0.31698429206720186,-0.42894853467782473,-0.20825377079568064,-18.16528894367919,-24.581577918499985,-11.934313512646456,0.9401286773559248,0.9205876046963244,0.9598777292588662,-0.06368417865143844,-0.08626272491456312,-0.04179935581182069,-0.34967224015478937,-0.4736448031751499,-0.2295087208982371,-20.03852379110541,-27.14296866333238,-13.152362229125334,-0.03268794808758751,-0.04469626849732522,-0.02125495010255645,-1.8732348474262184,-2.5613907448323907,-1.21804871647888,0.9275384674992104,0.9098131368103304,0.9634576964932506,-0.07812240143113108,-0.0991267981751192,-0.03792829061385297,-0.35300773865283763,-0.44791924240248526,-0.17138464582872506,-61.07400322713453,-77.49467861634693,-29.651322807737905,0.9205876046963244,-0.08626272491456312,-0.3897910060914628,0.9012544532576728,-0.10956455902703356,-0.49508382371891563,0.9598777292588662,-0.04179935581182069,-0.18887663207951816,-67.4378903272427,-85.65464078181931,-32.67761800683705,-0.0367832674386252,-0.04716458131643036,-0.01749198625079309,-6.363887100108166,-8.159962165472383,-3.026295199099151,0.5649
04019000402,04019000402,Census Tract 4.02; Pima County; Arizona,1213,442,153,Tucson city,Arizona,46532,0.32781715419150326,0.18300106549816497,04019,1213,442,153,0.013668,0.00781773244399999,0.00314654663299999,0.911193950243368,0.8685216340884925,0.9329615410901104,-0.09746119334189272,-0.15138179724157724,-0.07185554383255603,-1.6158368033941484,-2.509801808898526,-1.191313468174395,-133.20995905969895,-206.9086404697878,-98.2121573103376,0.9027591737959826,0.8563645971404132,0.9265100095965848,-0.10771513491813398,-0.16772692768852945,-0.07931915429107331,-1.78583981290606,-2.7807923685955935,-1.3150547856315231,-147.22504640610552,-229.2491647646821,-133.20995905969895,-0.1700030095119116,-0.27099055969706765,-0.12374131745712802,-14.015087346406563,-22.34052429489428,-10.201262774701403,0.9438140784132152,0.9254274052097378,0.9623718536646748,-0.05953070935458721,-0.08058178779929388,-0.03909938366551198,-0.08279373966126187,-0.11207102406179698,-0.05437839103909062,-18.7316153079778,-25.355435308098865,-12.302803402509191,0.9383721208022624,0.9182831006920096,0.9586878074192692,-0.06567530922066266,-0.0889887870596872,-0.04309243557810641,-0.0913394870099834,-0.12376325678745642,-0.05993182226961857,-20.66504230995099,-28.00073682974127,-13.559235807606012,-0.00854574734872151,-0.01169223272565944,-0.00555343123052794,-1.9334270019731936,-2.6453015216424087,-1.2564324050968207,0.9254274052097378,0.9072120141636192,0.9623718536646748,-0.08058178779929388,-0.10227817135107546,-0.03909938366551198,-0.09638492910173166,-0.12233625690809696,-0.04676728359400832,-62.99668568740632,-79.9583378484294,-30.56685202222766,0.9182831006920096,-0.0889887870596872,-0.10644065074555475,0.8984205397162907,-0.11306449017270552,-0.1352379137623843,0.9586878074192692,-0.04309243557810641,-0.05154342515162118,-69.56905277487239,-88.39079330874792,-33.688513170994234,-0.01005572164382309,-0.01290165685428734,-0.00477614155761285,-6.572367087466075,-8.432455460318527,-3.121661148766573,0.5307
