geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48085030801,48085030801,Census Tract 308.01; Collin County; Texas,2968,1528,497,McKinney city,Texas,60470,0.6364651484553856,0.25079013320370375,48085,2968,1528,497,0.006619,0.006897320142,0.003436016044,0.8033251133955959,0.7175303903092708,0.8492488444180463,-0.24482601542615037,-0.3936691929786818,-0.1775111695150519,-4.8096540796416845,-7.733706880551255,-3.4872410072677407,-162.05033961056887,-260.5696388325895,-117.49464310201284,0.7859238683449961,0.6941036527675214,0.8354846227894043,-0.2723878740390045,-0.4407070125806319,-0.1969101198551492,-5.351112083968058,-8.657773877892929,-3.8683371112974183,-180.29353382641705,-291.7039716271202,-162.05033961056887,-0.5414580043263735,-0.924066997341674,-0.3810961040296776,-18.243194215848163,-31.134332794530795,-12.840165230110433,0.8726949653531478,0.8331875784754024,0.9136414511957938,-0.14587575235447411,-0.2002099237123016,-0.09452126837193987,-0.7658816181953909,-1.051148651346444,-0.4962586365873288,-50.12314255205438,-68.79245100434844,-32.47765946252152,0.8608920901341862,0.8181201048492541,0.9054268610459396,-0.1615857683674747,-0.22231441822867665,-0.1044514394512334,-0.848362855081662,-1.1672023871890838,-0.548394343669652,-55.52112925927107,-76.3875907846259,-35.88968217733325,-0.08248123688627107,-0.11605373584263969,-0.05213570708232318,-5.397986707216694,-7.595139780277465,-3.412022714811726,0.8331875784754024,0.7950829157411783,0.9136414511957938,-0.2002099237123016,-0.2577304582979217,-0.09452126837193987,-0.6863132339062232,-0.8834917921688976,-0.3240158937500167,-138.09119394491412,-177.76494812251462,-65.19434481891685,0.8181201048492541,-0.22231441822867665,-0.7620867362087146,0.7770584077733715,-0.28690454925448694,-0.9834996456229886,0.9054268610459396,-0.1044514394512334,-0.35805620354237905,-153.33737147056632,-197.88725264044035,-72.04350171878853,-0.07577350230249136,-0.10000785345409102,-0.03404030979236233,-15.246177525652184,-20.12230451792576,-6.849156899871696,0.629
48085030902,48085030902,Census Tract 309.02; Collin County; Texas,0,0,0,McKinney city,Texas,144245,0.7168555987401808,0.23800323093365905,48085,0,0,0,0.006619,0.006897320142,0.003436016044,0.7773902839976705,0.6827121948238669,0.8287064178305342,-0.28635515594248995,-0.4647460636879209,-0.2066999584942207,-0,-0,-0,NA,NA,NA,0.7580590192320238,0.6571453308135077,0.8132812735259901,-0.3191585016864285,-0.5217334022020033,-0.22958690007024107,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.8550678650073371,0.8107107348676793,0.9013593412309648,-0.16949781523062998,-0.23348557875358056,-0.10943544295477538,-0,-0,-0,NA,NA,NA,0.8417839553069618,0.7938757134581869,0.892047047832297,-0.18795326721966768,-0.2596430184819725,-0.12101710602600176,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.8107107348676793,0.7682260151983736,0.9013593412309648,-0.23348557875358056,-0.3017002551544378,-0.10943544295477538,-0,-0,-0,NA,NA,NA,0.7938757134581869,-0.2596430184819725,-0,0.7482348135913749,-0.33647884572518544,-0,0.892047047832297,-0.12101710602600176,-0,NA,NA,NA,0,0,0,NA,NA,NA,-999
48085030607,48085030607,Census Tract 306.07; Collin County; Texas,3293,3022,1287,McKinney city,Texas,18234,0.5699061222944041,0.2646238529437712,48085,3293,3022,1287,0.006619,0.006897320142,0.003436016044,0.8254512673266524,0.747697862112368,0.866641674845664,-0.21145855555913048,-0.33743862417211873,-0.15387942794014045,-4.6090282822566975,-7.354936092430571,-3.3540124851333553,-139.96441792458845,-223.3506253395254,-101.85279335357896,0.8097679477311039,0.7262710829976556,0.8543258087708521,-0.2349216868880881,-0.37689634546998474,-0.17051362575448165,-5.120439303671856,-8.214971066822574,-3.7165775654453337,-155.4946645512255,-249.4676910665829,-139.96441792458845,-0.5114110214151584,-0.8600349743920033,-0.3625650803119784,-15.53024662663706,-26.117065727057497,-11.010175533312433,0.8875639232958377,0.8522680324255093,0.923936931648299,-0.126679412888536,-0.17333979681726816,-0.0823249571981118,-1.3153934802813796,-1.7998981318879128,-0.8548327584855714,-43.527249512951016,-59.55983229278335,-28.28698737543254,0.8770404124199142,0.838752482838429,0.9166563679576286,-0.14019831451189116,-0.1922468433308144,-0.09092134736167988,-1.4557688944899496,-1.9962221055171447,-0.9440945834125776,-48.1723658004616,-66.05632380930327,-31.240720827682907,-0.14037541420857003,-0.19632397362923193,-0.08926182492700607,-4.64511628751059,-6.496491516519918,-2.953733452250366,0.8522680324255093,0.8180280852862727,0.923936931648299,-0.17333979681726816,-0.22245191575549073,-0.0823249571981118,-1.5387115526613373,-1.9746725158877143,-0.730786380502238,-119.55800719979312,-153.43220791668332,-56.78215854718244,0.838752482838429,-0.1922468433308144,-1.7065465878423678,0.8017612010413321,-0.24725416832492544,-2.194838416975304,0.9166563679576286,-0.09092134736167988,-0.8070952553176997,-132.59880247415444,-170.53911553809664,-62.71136404954931,-0.1678350351810305,-0.22016590108758935,-0.07630887481546167,-13.040795274361344,-17.106907621413317,-5.929205502366874,0.0066
48085030701,48085030701,Census Tract 307.01; Collin County; Texas,2088,1178,363,McKinney city,Texas,172092,0.5737637140464579,0.2631787026028236,48085,2088,1178,363,0.006619,0.006897320142,0.003436016044,0.8241524142831911,0.7459153099671777,0.8656239759296682,-0.21336779783597776,-0.34063476997677217,-0.15523602373191406,-2.9488436756937917,-4.70773330069042,-2.145435119378254,-141.2281453876337,-225.46615424762552,-102.75072410815392,0.8083664652942976,0.7243666936963364,0.8532223135803768,-0.23706269734474383,-0.3805162615872735,-0.1720274822674292,-3.2763183708975068,-5.258914338811588,-2.377501001907502,-156.91179937248597,-251.86371354461633,-141.2281453876337,-0.3274746952037151,-0.5511810381211681,-0.23206588252924787,-15.683653984852256,-26.39755929699081,-11.114266404657464,0.8866952816356016,0.8511503446299009,0.9233370771784504,-0.12778315246630842,-0.17488056758623793,-0.08302809961430056,-0.5172185252679637,-0.7078512896199448,-0.3360667694407739,-43.90649620271339,-60.08924360101399,-28.528588237756697,0.8760962818820124,0.8375426027640045,0.9160017487919628,-0.14142705622699384,-0.1939691147648657,-0.09170097253505832,-0.572443957148433,-0.7851146066588708,-0.3711713231736575,-48.59456342516409,-66.64809903725559,-31.50860128808637,-0.05522543188046924,-0.07726331703892597,-0.03510455373288357,-4.6880672224507,-6.558855436241594,-2.980013050329675,0.8511503446299009,0.8166803462109538,0.9233370771784504,-0.17488056758623793,-0.22446928549165013,-0.08302809961430056,-0.4378532358362733,-0.5620098582417321,-0.20787971232727623,-120.62072612569511,-154.82365240819067,-57.26713838216977,0.8375426027640045,-0.1939691147648657,-0.4856457508362832,0.8003082883025152,-0.24951848508409005,-0.62472622088877094,0.9160017487919628,-0.09170097253505832,-0.22959422026125784,-133.78670821936174,-172.10088729718208,-63.24909649070465,-0.04779251500000991,-0.06271636264703884,-0.02171450793398161,-13.165982093666644,-17.277234888991416,-5.9819581085348785,0.8155
48085030605,48085030605,Census Tract 306.05; Collin County; Texas,4487,3065,1197,McKinney city,Texas,48349,0.47182478243121995,0.24829749829975176,48085,4487,3065,1197,0.006619,0.006897320142,0.003436016044,0.8591718727599912,0.7944795083233462,0.8929230411341479,-0.1639114730183317,-0.25868570494710447,-0.11991734330189097,-4.86808108906871,-7.682823935848396,-3.5614795012793747,-108.49300399083371,-171.22406810448845,-79.3732895315216,0.8462292952370992,0.7764097313877335,0.8828673023318332,-0.18171281191561303,-0.2879797348915596,-0.13267304991225226,-5.3967711169855885,-8.552840601364334,-3.94031701023559,-120.27571020694424,-190.61378652472328,-108.49300399083371,-0.5286900279168787,-0.870016665515938,-0.37883750895621526,-11.782706216110514,-19.389718420234857,-8.443002205398155,0.9099377682936096,0.8811842153201219,0.9393201653040876,-0.09897625403029774,-0.1348364877787943,-0.06459973599764937,-1.042357450262871,-1.420015527769737,-0.6803249603844584,-34.008399682312266,-46.33003353245471,-22.19657293260876,0.901390259159455,0.870108437220978,0.9334584908375936,-0.10939738902048753,-0.14928204028670278,-0.07128491498609503,-1.1521064784883104,-1.572147263076396,-0.7507291820153765,-37.58911838461045,-51.29354855061651,-24.493611158739853,-0.10974902822543942,-0.1521317353066589,-0.07040422163091808,-3.5807187022981863,-4.963515018161791,-2.297038226131096,0.8811842153201219,0.853052388269761,0.9393201653040876,-0.1348364877787943,-0.17226094639778405,-0.06459973599764937,-1.113222476370758,-1.4222022576374935,-0.5333413771365699,-93.00104230332148,-118.8138895269418,-44.55650602644695,0.870108437220978,-0.14928204028670278,-1.2324862899000717,0.8396016308956488,-0.19104104041966377,-1.577252445594114,0.9334584908375936,-0.07128491498609503,-0.588534831305358,-102.96460233083305,-131.7671216035183,-49.16748799543509,-0.1192638135293136,-0.1550501879566204,-0.05519345416878807,-9.963560027511578,-12.953232076576477,-4.610981968988143,0.6563
48085030201,48085030201,Census Tract 302.01; Collin County; Texas,4457,3433,1204,McKinney city,Texas,1185396,0.7438601246337491,0.1817569248549948,48085,4457,3433,1204,0.006619,0.006897320142,0.003436016044,0.7688675624447643,0.671399424569685,0.8219179624543653,-0.30061410943167516,-0.4894263584466466,-0.21666643835578928,-8.868381670493045,-14.438509737650582,-6.391851247960852,-198.97647903282575,-323.95130665583537,-143.41151554769692,0.7489221800886815,0.6451772739299582,0.8059559743186164,-0.3352522152322793,-0.5499616003346115,-0.24076256255242137,-9.89023637705829,-16.224352825964132,-7.102708188639163,-221.9034412622457,-364.0195832614793,-198.97647903282575,-1.0218547065652448,-1.78584308831355,-0.710856940678311,-22.926962229419896,-40.06827660564393,-15.94922460575075,0.8492268689079409,0.8032972541691495,0.8972707283828167,-0.17754164006367948,-0.24486918735244545,-0.1144908313261661,-2.094253326188695,-2.888438508904431,-1.3505158803136663,-61.00359237368758,-84.13744564242442,-39.33923333276045,0.8354608415445425,0.7858938870684808,0.887597049728326,-0.19694418968969132,-0.27243641470500773,-0.12663736354923452,-2.32312275691065,-3.213617196879806,-1.49379446837163,-67.67033955463589,-93.60958918962442,-43.512801292503056,-0.22886943072195495,-0.3251786879753751,-0.14327858805796367,-6.666747180948295,-9.472143547199972,-4.1735679597426065,0.8032972541691495,0.7594094218386159,0.8972707283828167,-0.24486918735244545,-0.31681273795482695,-0.1144908313261661,-2.0334851784097565,-2.6309312900005466,-0.950774620044269,-168.8941178081193,-218.51588787379956,-78.967991698029,0.7858938870684808,-0.27243641470500773,-2.262413729353174,0.7387943732583089,-0.3535566000451445,-2.936066042829409,0.887597049728326,-0.12663736354923452,-1.0516439597588458,-187.90811705591145,-243.85930588284128,-87.34584383379118,-0.22892855094341735,-0.3051347528288626,-0.1008693397145768,-19.01399924779214,-25.343418009041745,-8.377852135762192,0.3154
48085030802,48085030802,Census Tract 308.02; Collin County; Texas,4553,2978,820,McKinney city,Texas,117053,0.6105671429403575,0.24372270840695212,48085,4553,2978,820,0.006619,0.006897320142,0.003436016044,0.8118629846993322,0.7291210721865593,0.8559744893746102,-0.23173493415313556,-0.371514331633706,-0.16825911567833915,-6.9836351182636784,-11.196069953013176,-5.070708365630941,-153.38535291596042,-245.90533610835,-111.37070866749268,0.7951169563641622,0.7064470482669322,0.8427658007914525,-0.25767661222156313,-0.4155342604278932,-0.186569268782486,-7.765421492628978,-12.52266804127294,-5.6225087607945134,-170.55614962945262,-275.0421269772225,-153.38535291596042,-0.7817863743653,-1.3265980882597646,-0.5518003951635722,-17.170796713492205,-29.13679086887249,-12.119490339634794,0.878450615199494,0.8405604483048135,0.9176336996720488,-0.13836792040142457,-0.18968243392457215,-0.08975945451587934,-1.4158436267441965,-1.940917117192344,-0.9184596490837696,-47.54343944742097,-65.17518862297999,-30.841492581724964,0.8671397331377446,0.8260871106493276,0.9097798000205624,-0.15321667521969104,-0.21052608993496097,-0.09916707315044644,-1.5677828537957963,-2.154198905592002,-1.0147226907479747,-52.64549542631955,-72.33710226971128,-34.073965438145564,-0.1519392270516,-0.21328178839965808,-0.09626304166420518,-5.10205597889859,-7.161913646731297,-3.2324728564205905,0.8405604483048135,0.803933340503348,0.9176336996720488,-0.18968243392457215,-0.24388422474666047,-0.08975945451587934,-1.072806387115059,-1.3793610120421806,-0.5076617487251921,-130.83004720915355,-168.2147575661196,-61.90996935673074,0.8260871106493276,-0.21052608993496097,-1.190693989230426,0.7865784502996434,-0.27132900681305816,-1.5345832795164602,0.9097798000205624,-0.09916707315044644,-0.5608693818722845,-145.206584052491,-187.14430238005613,-68.39870510637616,-0.11788760211536696,-0.15522226747427958,-0.05320763314709242,-14.376536843337435,-18.929544813936538,-6.488735749645418,0.7559
48085030903,48085030903,Census Tract 309.03; Collin County; Texas,4173,2961,1045,McKinney city,Texas,263765,0.6891595000777495,0.23433431117143708,48085,4173,2961,1045,0.006619,0.006897320142,0.003436016044,0.7862294100569627,0.6945127077794344,0.835726966326477,-0.27189340313223537,-0.439858463061533,-0.19656304067296265,-7.509991342641546,-12.149368875908888,-5.429284847412439,-179.9662435332266,-291.14231670042864,-130.10507662143397,0.7675456482662578,0.6696505290309244,0.8208633341948407,-0.3028541067997885,-0.49331622487797683,-0.2182295862695206,-8.36515963222425,-13.625930365866164,-6.027738388324434,-200.45913329078,-326.5260092467329,-179.9662435332266,-0.8551682895827044,-1.476561489957275,-0.5984535409119953,-20.492889757553424,-35.38369254630422,-14.341086530361736,0.8611001795332459,0.8183851450674984,0.9055720146799896,-0.16130506504137984,-0.22191856246061564,-0.10427440754491436,-1.6411247495149686,-2.257809109326306,-1.060892358953947,-55.42467914606445,-76.25157410760914,-35.828853730292025,0.8483187141307825,0.8021461648638614,0.8966341837772899,-0.17880223946802296,-0.24665558947067703,-0.11528203819673308,-1.8191417633686755,-2.509484698342794,-1.1728844721066565,-61.43673635152568,-84.75125627635238,-39.611093282899574,-0.17801701385370694,-0.25167558901648723,-0.1119921131527093,-6.012057205461227,-8.499682168743236,-3.782239552607541,0.8183851450674984,0.7773747322478674,0.9055720146799896,-0.22191856246061564,-0.28638089008680073,-0.10427440754491436,-1.5995223224267374,-2.06414741214616,-0.7515786001701139,-153.06433707432893,-197.5260681479579,-71.92139714546545,0.8021461648638614,-0.24665558947067703,-1.7778193808356684,0.7580423377196369,-0.319187531145327,-2.3006078240878924,0.8966341837772899,-0.11528203819673308,-0.8309182946480719,-170.1262565392984,-220.1538587643916,-79.51371240651406,-0.17829705840893095,-0.2364604119417324,-0.07933969447795797,-17.06191946496947,-22.62779061643372,-7.5923152610486095,0.9868
48085030307,48085030307,Census Tract 303.07; Collin County; Texas,12043,8896,2715,McKinney city,Texas,13116,0.7927533799902254,0.18764188936840465,48085,12043,8896,2715,0.006619,0.006897320142,0.003436016044,0.7536737123929693,0.6513918155363482,0.8097682451379911,-0.32683412404676643,-0.5351743392363811,-0.23492123333336185,-26.05280335267038,-42.66014713177772,-18.7261862978699,-216.3315067065547,-354.23189514056065,-155.49436434335215,0.732658688839292,0.6240602594127012,0.7928605624506829,-0.364892023029497,-0.6024093585787583,-0.26125582146381693,-29.086498078105475,-48.01962647760422,-20.825385235365616,-241.52203004322408,-398.73475444328005,-216.3315067065547,-3.033694725435094,-5.3594793458265,-2.0991989374957143,-25.190523336669383,-44.50285930271942,-17.430863883548238,0.8387527395485541,0.7900467782110204,0.8899151883136045,-0.1922464784296678,-0.2657478361780008,-0.1237025877657027,-5.876359412215716,-8.123060620701397,-3.781192102295737,-66.05619842868386,-91.31138287658943,-42.504407624727264,0.8241330802782492,0.7716459604627012,0.8795964763228782,-0.2133962632131858,-0.29593110213441814,-0.1368849545424107,-6.522840626821845,-9.045666436127515,-4.184134854310452,-73.32329841301534,-101.68240148524634,-47.033889998993395,-0.646481214606129,-0.9226058154261184,-0.40294275201471486,-7.267099984331486,-10.371018608656907,-4.529482374266129,0.7900467782110204,0.7437031179374054,0.8899151883136045,-0.2657478361780008,-0.34462257301463417,-0.1237025877657027,-4.976453557088743,-6.453479561666221,-2.3164823908307492,-183.29479031634412,-237.69722142417015,-85.32163502139039,0.7716459604627012,-0.29593110213441814,-5.54167216204009,0.7220039315842521,-0.3850340091718849,-7.21023317480613,0.8795964763228782,-0.1368849545424107,-2.563338346387266,-204.11315513959815,-265.57028268162543,-94.41393541021236,-0.5652186049513466,-0.7567536131399093,-0.24685595555651663,-20.81836482325402,-27.87306125745522,-9.092300388821975,0.2649
48085030901,48085030901,Census Tract 309.01; Collin County; Texas,1527,937,298,McKinney city,Texas,178603,0.7111542018978015,0.2315798032550523,48085,1527,937,298,0.006619,0.006897320142,0.003436016044,0.7792017078873258,0.6851248943890418,0.8301467999611946,-0.28336474352877333,-0.45958789147743234,-0.20460622151015373,-2.864027819535684,-4.645152711383293,-2.0679986619283053,-187.55912374169503,-304.20122536891245,-135.42885801757075,0.7600022628363577,0.6597003628433852,0.8148363372897673,-0.31578555604290104,-0.5158396998447656,-0.22724031101276948,-3.191711877249038,-5.213701720187113,-2.296766225592307,-209.0184595447962,-341.43429732725036,-187.55912374169503,-0.3276840577133542,-0.5685490088038199,-0.22876756366400164,-21.459335803101126,-37.23307195833791,-14.981503841781375,0.8563061867416274,0.8122846503158477,0.9022249387625564,-0.1678065807338716,-0.23109552742522127,-0.10837104699360982,-0.5402611791578711,-0.744022919714131,-0.34890568283608864,-57.6586103690364,-79.40479399297023,-37.23646561751213,0.8431250445281145,0.7955712330249051,0.8929894132439989,-0.18606368828681424,-0.25695847020237267,-0.11983410460294187,-0.599040795615272,-0.8272898804028543,-0.3858115359539353,-63.93178181593085,-88.29134262570483,-41.175190603408254,-0.05877961645740093,-0.0832669606887233,-0.03690585311784666,-6.273171446894442,-8.88654863273461,-3.9387249858961217,0.8122846503158477,0.7701004870774908,0.9022249387625564,-0.23109552742522127,-0.29853183679310635,-0.10837104699360982,-0.4749940711387554,-0.613602755980522,-0.2227460019611187,-159.3939836036092,-205.9069650941349,-74.74698052386535,0.7955712330249051,-0.25695847020237267,-0.5281527999909309,0.7502433210907424,-0.33290090279797285,-0.6842449824432157,0.8929894132439989,-0.11983410460294187,-0.24630718664616896,-177.2324832184332,-229.6124102158442,-82.65341833764059,-0.05315872885217548,-0.07064222646269369,-0.02356118468505019,-17.83849961482399,-23.705445121709293,-7.906437813775234,0.9332
48085030608,48085030608,Census Tract 306.08; Collin County; Texas,1551,1044,376,McKinney city,Texas,32249,0.5327820358546371,0.25312574717774555,48085,1551,1044,376,0.006619,0.006897320142,0.003436016044,0.8380560804499536,0.7650717705036169,0.8764970167175429,-0.19323756885469817,-0.3070669165348227,-0.1409051952566506,-1.9837902152545823,-3.152370152763731,-1.4465424569632477,-127.90394682492472,-203.24759205439915,-93.26514874037704,0.8233801437746666,0.7448561286969548,0.8650186807131657,-0.21450584831405495,-0.3425411451596589,-0.1560443979956003,-2.2021318396956215,-3.516551031548074,-1.6019625568862943,-141.98142099907295,-226.72798398117823,-127.90394682492472,-0.2183416244410392,-0.3641808787843432,-0.15542009992304662,-14.077474174148245,-23.48039192677906,-10.020638292910808,0.895967043449633,0.8630995718640992,0.9297296754113036,-0.11611248126920116,-0.15861487202481966,-0.07558145818848849,-0.4165187798858081,-0.5689833878784357,-0.27112586349500234,-39.896434854962465,-54.50032450942871,-25.969910296456163,0.8861785602579428,0.8504856519862402,0.9229801530566638,-0.12844075093503368,-0.17579878939119223,-0.08344691561163804,-0.4607427580764958,-0.6306255491419256,-0.29934083826191404,-44.13244809161837,-60.404746086391334,-28.67249408639023,-0.04422397819068768,-0.06164216126348987,-0.0282149747669117,-4.236013236655909,-5.904421576962632,-2.7025837899340712,0.8630995718640992,0.8311124815538243,0.9297296754113036,-0.15861487202481966,-0.20320657214824683,-0.07558145818848849,-0.4113505994157154,-0.5269943744323945,-0.19601237723587236,-109.40175516375407,-140.15807830648788,-52.13095139251924,0.8504856519862402,-0.17579878939119223,-0.4559152396586643,0.8158790565093211,-0.22567185910915136,-0.585255678302867,0.9229801530566638,-0.08344691561163804,-0.2164105945303079,-121.2540531007086,-155.65310593161354,-57.55600918359253,-0.04456464024294893,-0.05826130387047246,-0.02039821729443552,-11.852297936954502,-15.495027625125656,-5.425057791073279,0.1635
