geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06059052522,06059052522,Census Tract 525.22; Orange County; California,2531,1632,533,Irvine city,California,49008,0.5002668570527041,0.21380385374173289,06059,2531,1632,533,0.009319,0.009493868073,0.003212018401,0.8492540403071367,0.7806200542498493,0.8852208540731953,-0.17750396528975632,-0.28103293600491447,-0.1296615928089219,-4.18667757436669,-6.628552150424018,-3.058248766350834,-165.4159452535239,-261.89459306297977,-120.83163833863428,0.8354902456353729,0.7615241395676581,0.8744939316845811,-0.1969020646548912,-0.31315600916831393,-0.14351851255691428,-4.644208691853414,-7.386219449931418,-3.3850834658687643,-183.4930340518931,-291.83008494395176,-165.4159452535239,-0.4575311174867238,-0.7576672995073999,-0.3268346995179301,-18.077088798369175,-29.935491880971945,-12.913263513154092,0.903392256714558,0.872699414798843,0.9348330846854884,-0.10693886577773372,-0.14586991012306305,-0.06970968013657347,-0.5605750348053647,-0.7646521154829514,-0.36541912133284504,-34.348960466014994,-46.85368354674947,-22.39087753264982,0.8942604011427389,0.8608969183308716,0.9285546763678256,-0.11824251495665113,-0.161579253807558,-0.07694250586475218,-0.6198289223963308,-0.8470007154859522,-0.40333369527962737,-37.97971338212811,-51.89955364497256,-24.71407446566344,-0.05925388759096606,-0.08234860000300082,-0.03791457394678232,-3.630752916113116,-5.045870098223089,-2.323196933013623,0.872699414798843,0.8427442781105154,0.9348330846854884,-0.14586991012306305,-0.18659957234246857,-0.06970968013657347,-0.7381355407878119,-0.9442370679846293,-0.3527471320325412,-138.48696825287277,-177.1551722297616,-66.18145066276571,0.8608969183308716,-0.161579253807558,-0.8176284594177996,0.8284482669561932,-0.20707597551517132,-1.047852412071158,0.9285546763678256,-0.07694250586475218,-0.3893469059392305,-153.40121189827386,-196.59519926288144,-73.0481999885986,-0.07949291862998775,-0.10361534408652884,-0.03659977390668928,-14.91424364540108,-19.440027033119858,-6.866749325832886,0.2632
06059062631,06059062631,Census Tract 626.31; Orange County; California,1735,1582,758,Irvine city,California,74541,0.6338543478494021,0.21582344304955095,06059,1735,1582,758,0.009319,0.009493868073,0.003212018401,0.8041817383482874,0.7186904568121362,0.8499244604739584,-0.24350001040051544,-0.3914196167786286,-0.17657515050496642,-3.937021395660369,-6.328654374198668,-2.8549491408092815,-226.91765969224028,-364.7639408760039,-164.5503827555782,0.7868457935485302,0.6953381629903305,0.8362157844561189,-0.2708970527632656,-0.4381491671612827,-0.195863578024191,-4.379989516206012,-7.084199474026348,-3.1668134060589006,-252.44896347008716,-408.3112088775993,-226.91765969224028,-0.4429681205456433,-0.75554509982768,-0.3118642652496191,-25.531303777846873,-43.54726800159539,-17.974885605165365,0.8732734841016309,0.8339279033458179,0.9140431247832064,-0.145116642386935,-0.1991444296178136,-0.09404028419029008,-0.7373976091595877,-1.0119351155195035,-0.47785753298858913,-46.61173256381718,-63.96555723890667,-30.20591232544811,0.8615198748846672,0.8189197707772005,0.905864739004828,-0.16073932726609624,-0.221120841973255,-0.10391756842041104,-0.8167829249239243,-1.1236063453816043,-0.5280480945704952,-51.62976769430621,-71.02442132627081,-33.37851419535368,-0.0793853157643366,-0.11167122986210076,-0.05019056158190604,-5.018035130489039,-7.058864087364143,-3.1726018699055656,0.8339279033458179,0.7959707007889446,0.9140431247832064,-0.1991444296178136,-0.2563276500112719,-0.09404028419029008,-1.433113414236382,-1.844623996643202,-0.6767469871507314,-189.0650942264356,-243.3540892669132,-89.28060516500415,0.8189197707772005,-0.221120841973255,-1.591263413228651,0.7780128859242997,-0.2853257549995123,-2.0533045674522232,0.905864739004828,-0.10391756842041104,-0.7478274012681527,-209.92921018847636,-270.88450757944895,-98.65796850503334,-0.158149998992269,-0.2086805708090211,-0.07108041411742128,-20.864115962040767,-27.53041831253577,-9.377363340029191,0.113
06059052506,06059052506,Census Tract 525.06; Orange County; California,1662,1187,598,Irvine city,California,44953,0.5248914999363231,0.23967750222710885,06059,1662,1187,598,0.009319,0.009493868073,0.003212018401,0.8407598734398367,0.7688162144525268,0.8786061184950256,-0.1894002456476156,-0.30070097534571244,-0.1381664422197644,-2.9334647178339956,-4.6573102309280054,-2.1399464507264256,-176.50208891901298,-280.2232389246694,-128.75730750459843,0.8263027036347702,0.7488671627149103,0.8673085857801329,-0.21021024813444741,-0.3353503128307078,-0.1529921603399243,-3.2557737405304885,-5.193965337477686,-2.3695698119492876,-195.8949302364915,-312.5129565269366,-176.50208891901298,-0.32230902269649286,-0.5366551065496807,-0.229623361222862,-19.39284131747851,-32.28971760226719,-13.816086716177017,0.8977633103650865,0.8654194404259121,0.9309655659701738,-0.11387933596143252,-0.1555090552482328,-0.07415358478687058,-0.4341838543283156,-0.5929040630646064,-0.28272283977778834,-36.57825226017823,-49.94979469794494,-23.8182678835542,0.8881330629174401,0.8530005505302234,0.9243298529763118,-0.125957406331757,-0.17233218592696342,-0.08186487408151197,-0.480233500666367,-0.6570450387586863,-0.3121234090691476,-40.45775068798374,-55.35341522819598,-26.295148194536445,-0.04604964633805136,-0.06414097569407984,-0.02940056929135925,-3.8794984278055065,-5.40362053025104,-2.4768803109822457,0.8654194404259121,0.8339203596230992,0.9309655659701738,-0.1555090552482328,-0.1991552771921321,-0.07415358478687058,-0.882876707900787,-1.130670848766901,-0.4209946019617283,-147.63824546835903,-189.0753927703848,-70.4004351106569,0.8530005505302234,-0.17233218592696342,-0.978387224677534,0.8189116220260354,-0.22113299299128436,-1.2554456623040384,0.9243298529763118,-0.08186487408151197,-0.4647741599768937,-163.60990379222977,-209.9407462046887,-77.72143143426317,-0.09551051677674705,-0.12477481353713736,-0.04377955801516542,-15.971658323870743,-20.86535343430391,-7.320996323606257,0.3167
06059052502,06059052502,Census Tract 525.02; Orange County; California,3659,2698,1297,Irvine city,California,96402,0.4225782061020758,0.2390745627713523,06059,3659,2698,1297,0.009319,0.009493868073,0.003212018401,0.8766189640250722,0.8190611224463035,0.9064179506785772,-0.14074648283721017,-0.22091010377013548,-0.10324381732661392,-4.799204676755899,-7.532641539487011,-3.5204305000865106,-131.16164735599614,-205.86612570338923,-96.21291336667151,0.8651510669893745,0.8028750155265865,0.897555572239505,-0.15586749893274035,-0.2455238744029467,-0.1141371419542127,-5.3148044253258435,-8.37192733016792,-3.891873490663116,-145.25292225542069,-228.803698556106,-131.16164735599614,-0.5155997485699446,-0.8392857906809077,-0.3714429905766057,-14.09127489942456,-22.9375728527168,-10.151489220459297,0.9213834661469368,0.8960709223940542,0.9471403969268084,-0.08532444605482634,-0.11598309353491353,-0.05580968063943352,-0.7394238377331656,-1.0051124630641473,-0.483648123710708,-27.406369078323408,-37.25398306390464,-17.926172116779394,0.9138700745587583,0.8862915793812253,0.9420106143220076,-0.09424745140366649,-0.1282968531622083,-0.0615591637677341,-0.8167508309246994,-1.1118238197917072,-0.5334732919512187,-30.272454815593008,-41.209185314740814,-19.772916677213445,-0.0773269931915338,-0.10671135672755994,-0.0498251682405107,-2.8660857372695996,-3.9552022508361726,-1.846744560434051,0.8960709223940542,0.8711996079238218,0.9471403969268084,-0.11598309353491353,-0.1478425735097904,-0.05580968063943352,-1.428163260768398,-1.820466461351757,-0.6872151195075962,-110.11281887188882,-140.35978884747547,-52.98497451870441,0.8862915793812253,-0.1282968531622083,-1.5797893173396669,0.8592695826223071,-0.16377912150481774,-2.016701892364114,0.9420106143220076,-0.0615591637677341,-0.7580116496051047,-121.80333981030584,-155.48973726785766,-58.443457949506914,-0.1516260565712686,-0.19623543101235708,-0.07079653009750853,-11.69052093841701,-15.129948420382195,-5.458483430802508,0.287
06059052421,06059052421,Census Tract 524.21; Orange County; California,6036,4582,1254,Irvine city,California,83833,0.5158191466679104,0.2252856070603764,06059,6036,4582,1254,0.009319,0.009493868073,0.003212018401,0.8438794137758125,0.7731441428873753,0.881037387262772,-0.18500343020058893,-0.29341987415879706,-0.13502561237137037,-10.406347487013145,-16.50471651677727,-7.595121022673599,-172.4046966039288,-273.43798072858294,-125.83036816888004,0.8296758171846461,0.7535056570007914,0.8699489577485152,-0.20529004134809908,-0.3271300496672312,-0.14949272723777426,-11.547458896169235,-18.400896494676125,-8.408888768877548,-191.3097895322935,-304.8524932848927,-172.4046966039288,-1.1411114091560943,-1.896179977898857,-0.8137677462039488,-18.905092928364716,-31.414512556309756,-13.4819043440018,0.8998330670918577,0.8680944782029606,0.9323885944969508,-0.11131723935403778,-0.15194834791496034,-0.07251419193896008,-1.638307942926211,-2.236294995709173,-1.0672253221321455,-35.755302115369076,-48.80608895044026,-23.291691884158567,0.8903856324106185,0.8559013140356395,0.9258841457533504,-0.12310886833675984,-0.16835899606804466,-0.08004873459232303,-1.8118508688425796,-2.4778181899042524,-1.17811471488884,-39.54279504239589,-54.077219334444614,-25.71180084873069,-0.17354292591636855,-0.2415231941950795,-0.11088939275669452,-3.787492927026813,-5.271130384004354,-2.420108964572119,0.8680944782029606,0.8371605179316999,0.9323885944969508,-0.15194834791496034,-0.194514049074619,-0.07251419193896008,-1.808992271544732,-2.3157501632053883,-0.8633039752976135,-144.2577569014938,-184.66907202594803,-68.8440171688687,0.8559013140356395,-0.16835899606804466,-2.004366134356218,0.8224123280159478,-0.2159350801713767,-2.5707741910035793,0.9258841457533504,-0.08004873459232303,-0.9530050455401532,-159.83780975727416,-205.00591634797283,-75.99721256301062,-0.1953738628114856,-0.255024027798191,-0.0897010702425397,-15.580052855780352,-20.336844322024803,-7.153195394141923,0.3017
06059062654,06059062654,Census Tract 626.54; Orange County; California,6091,3306,902,Irvine city,California,87540,0.6454690896628286,0.23196062746786705,06059,6091,3306,902,0.009319,0.009493868073,0.003212018401,0.8003778407370706,0.7135439819799878,0.8469229456005466,-0.24940990255189557,-0.4014553065462561,-0.18074496055943748,-14.157012121537868,-22.78741775238247,-10.259450692878646,-232.42508818811143,-374.1162001704559,-168.4362287453398,0.7827526775532713,0.6898629519195839,0.8329679458199669,-0.2775427394586506,-0.4495632751656567,-0.20052638882233104,-15.75388902589137,-25.518123662287984,-11.38228469759843,-258.6420789015165,-418.9480161268754,-232.42508818811143,-1.5968769043535025,-2.7307059099055095,-1.122834004719785,-26.216990713405064,-44.83181595641947,-18.43431299819052,0.8707027499591744,0.8306394374440456,0.9122575418349874,-0.14849757859026871,-0.2038917909762298,-0.09618167473685164,-1.576885813018042,-2.1651132337206076,-1.0213467438639847,-47.69769549358868,-65.49041844284959,-30.893730909376423,0.8587305384915108,0.8153682599736883,0.903918362125595,-0.16450965137055706,-0.2264396949082488,-0.10629459683556576,-1.7469169384003358,-2.4045479111155728,-1.1287351843827311,-52.84080273443242,-72.73284667621212,-34.14202009627137,-0.17003112538229392,-0.23943467739496516,-0.10738844051874664,-5.143107240843737,-7.242428233362528,-3.248289186894937,0.8306394374440456,0.7920287756300263,0.9122575418349874,-0.2038917909762298,-0.26258038946191214,-0.09618167473685164,-1.7460210317558076,-2.2485990256497344,-0.8236487901546633,-193.57217646960171,-249.2903576108353,-91.3136130991866,0.8153682599736883,-0.2264396949082488,-1.9391093081342536,0.7737756460017224,-0.2923642727284466,-2.503652386757302,0.903918362125595,-0.10629459683556576,-0.9102504850650852,-214.97885899492832,-277.5667834542463,-100.91468792295844,-0.19308827637844608,-0.2550533611075676,-0.0866016949104218,-21.406682525326616,-28.276425843411044,-9.60107482377182,0.121
06059052529,06059052529,Census Tract 525.29; Orange County; California,1941,1481,988,Irvine city,California,44070,0.5042450925530978,0.20099887838590788,06059,1941,1481,988,0.009319,0.009493868073,0.003212018401,0.847875975214064,0.7787008825568177,0.8841488470635378,-0.17941777952551272,-0.2841901459217048,-0.13103127750630517,-3.2453409118400085,-5.140482229467915,-2.3701172021327213,-167.1994287398253,-264.8367969844366,-122.10804750812578,0.8339990627012214,0.7594649465540997,0.8733290839297373,-0.1990421149408991,-0.3167164653711454,-0.14504373941181362,-3.6003094035895566,-5.7288241178805785,-2.623577121310239,-185.48734691342383,-295.14807407937036,-167.1994287398253,-0.35496849174954814,-0.5883418884126632,-0.25345991917751753,-18.28791817359857,-30.311277094933704,-13.058213249743304,0.9024804874409106,0.8715191639844563,0.9342071810696488,-0.10805719781888852,-0.14742169917199344,-0.07042636822275311,-0.51402800918481,-0.7012849126721986,-0.33501818094833236,-34.7081707754767,-47.35212104471294,-22.621079064708464,0.8932676432448567,0.8596162871194721,0.9278708292653588,-0.11948530495007136,-0.163309740618045,-0.077736219805239,-0.5683915062582626,-0.7768643139449202,-0.36979113945757885,-38.37889981487256,-52.45538919276976,-24.969016843860828,-0.05436349707345267,-0.07557940127272156,-0.0347729585092465,-3.6707290393958583,-5.103268148056824,-2.347937779152363,0.8715191639844563,0.8413124316594197,0.9342071810696488,-0.14742169917199344,-0.18861906988297092,-0.07042636822275311,-1.382806937079962,-1.7692358707346425,-0.6605952249821293,-139.9602163036399,-179.0724565520893,-66.86186487673373,0.8596162871194721,-0.163309740618045,-1.5318358388740054,0.8269000857200994,-0.20933594913000628,-1.9635589893688,0.9278708292653588,-0.077736219805239,-0.7291612063407726,-155.04411324635683,-198.74078839765184,-73.80174153246686,-0.14902890179404338,-0.19432311863415763,-0.06856598135864334,-15.08389694271694,-19.668331845562513,-6.939876655733131,0.1668
06059063909,06059063909,Census Tract 639.09; Orange County; California,3207,1405,372,Irvine city,California,51117,0.40634201148000415,0.24374775672906612,06059,3207,1405,372,0.009319,0.009493868073,0.003212018401,0.8824484379448302,0.8273310544669356,0.9109116671933084,-0.133210686313798,-0.20870598849250036,-0.09780128635435038,-3.981138967126816,-6.237394059384485,-2.922892471428565,-124.13903857582837,-194.49311067616105,-91.14101875361912,0.8714817012791526,0.811796657485196,0.9024515415604532,-0.14747102381175586,-0.2318355720973587,-0.10809273844318897,-4.407323884181921,-6.928645558275541,-3.2304631481735133,-137.4282470901753,-216.04756963752857,-124.13903857582837,-0.42618491705510575,-0.6912514988910559,-0.3075706767449482,-13.289208514346925,-21.554458961367505,-9.590604201588656,0.9251884886255038,0.9010338681069976,0.9497329080787342,-0.08086083246197653,-0.10983619528189596,-0.05292760890317444,-0.36491570691220576,-0.4956782118794974,-0.23885625747368852,-25.97264817880468,-35.27958803412793,-17.00044537179278,0.918022324696908,0.8916927326419164,0.9448473190930348,-0.08929812826736826,-0.12146254353468793,-0.0583720563020771,-0.4029922597933514,-0.5481465944362821,-0.26342642711980396,-28.68272311696451,-39.01399248656812,-18.749211894647967,-0.03807655288114564,-0.05246838255678471,-0.02457016964611544,-2.710074938159832,-3.734404452440193,-1.7487665228551914,0.9010338681069976,0.8772668197057516,0.9497329080787342,-0.10983619528189596,-0.13990404918701352,-0.05292760890317444,-0.3879105693245297,-0.49410177793992344,-0.18692543792074115,-104.27703476465852,-132.82305858600094,-50.24877363460783,0.8916927326419164,-0.12146254353468793,-0.4289715634561168,0.8658544114747576,-0.15492857314979813,-0.5471641735307006,0.9448473190930348,-0.0583720563020771,-0.2061536958255731,-115.3149364129346,-147.08714342223135,-55.417660168164815,-0.04106099413158703,-0.05306239559077713,-0.01922825790483198,-11.037901648276083,-14.264084836230412,-5.168886533556985,0.3966
06059052526,06059052526,Census Tract 525.26; Orange County; California,2450,1671,840,Irvine city,California,62127,0.4686239123066075,0.20724368100308457,06059,2450,1671,840,0.009319,0.009493868073,0.003212018401,0.860295251219634,0.7960545749913063,0.8937940296102906,-0.1623916307596812,-0.2561952803435883,-0.11882600114929942,-3.7076526372711984,-5.8493353529286525,-2.7129817865402868,-151.33276070494688,-238.74838175218989,-110.73395047103212,0.8474464762320104,0.778103066516831,0.8838146462508041,-0.1800155266988497,-0.28517678830966176,-0.1314589594572361,-4.110033498601122,-6.511028101131457,-3.0014118057958585,-167.756469330658,-265.75624902577374,-151.33276070494688,-0.40238086132992334,-0.6616927482028041,-0.28843001925557177,-16.423708625711157,-27.007867273583845,-11.772653847166197,0.9106773625578648,0.8821442439955581,0.9398264875949714,-0.0980837353761054,-0.13360145668539364,-0.06402619334448997,-0.5264431407505317,-0.7170767935846682,-0.3436466829625393,-31.50467628668651,-42.913033727388886,-20.56533111684855,0.9021962034698804,0.8711512520797481,0.9340119846883096,-0.10840634903357238,-0.1479062879295003,-0.07065007343959441,-0.5818475269492563,-0.793854867535229,-0.37919892032228425,-34.820318788106306,-47.50777184531592,-22.69293359199786,-0.05540438619872467,-0.0767780739505608,-0.03555223735974494,-3.3156425014197892,-4.5947381179270375,-2.1276024751493083,0.8821442439955581,0.8542203274736844,0.9398264875949714,-0.13360145668539364,-0.17065816375202872,-0.06402619334448997,-1.0654514674706708,-1.3609731174834407,-0.5105992355763419,-126.83946041317508,-162.02060922421916,-60.785623282897845,0.8711512520797481,-0.1479062879295003,-1.1795303392066556,0.8408661931341499,-0.18924985707025832,-1.5092390677216765,0.9340119846883096,-0.07065007343959441,-0.5634236803299474,-140.42027847698282,-179.67131758591387,-67.07424765832707,-0.11407887173598484,-0.14826595023823574,-0.05282444475360548,-13.58081806380772,-17.65070836169473,-6.288624375429224,0.2121
06059052520,06059052520,Census Tract 525.20; Orange County; California,1876,1526,551,Irvine city,California,52235,0.5179717535101147,0.22126886514748775,06059,1876,1526,551,0.009319,0.009493868073,0.003212018401,0.8431381913890681,0.7721150512752575,0.880459909473173,-0.18604519426703048,-0.2951437720950501,-0.13577005521847593,-3.2525246902424807,-5.159834467600476,-2.373592387233913,-173.3755165374457,-275.0444812153772,-126.5241144580977,0.8288742310924575,0.7524024834147485,0.8693217474676171,-0.20645565091581924,-0.329075889624314,-0.15032207915315118,-3.6093493556193583,-5.75305081210725,-2.6279973307585327,-192.39602108845193,-306.66582154089815,-173.3755165374457,-0.3568246653768776,-0.5932163445067742,-0.25440494352461984,-19.02050455100627,-31.62134032552101,-13.561031104723874,0.8993415423580104,0.8674590219155672,0.9320507543151328,-0.11192461695705742,-0.15279220658948134,-0.07290294586456947,-0.5486029959453823,-0.7489171244986764,-0.35733671109986276,-35.95039291909452,-49.07713790948076,-23.416560360410404,0.8898506464401752,0.8552121554573586,0.9255151207324264,-0.12378409118482352,-0.16930049885131757,-0.08047937586219935,-0.6067326841996272,-0.8298331806711989,-0.39447288639599926,-39.75967786367151,-54.37963176089115,-25.85012361703796,-0.05812968825424491,-0.08091605617252251,-0.0371361752961365,-3.809284944576993,-5.302493851410388,-2.4335632566275556,0.8674590219155672,0.8363905847877157,0.9320507543151328,-0.15279220658948134,-0.19561365011516724,-0.07290294586456947,-0.7992745676206465,-1.02327873329673,-0.3813641535443772,-145.05890519430972,-185.7130187471379,-69.21309501712834,0.8552121554573586,-0.16930049885131757,-0.8856314470339108,0.8215803600634719,-0.2171663888396068,-1.1360237240887086,0.9255151207324264,-0.08047937586219935,-0.4209973779452388,-160.73166007874968,-206.17490455330463,-76.40605770331013,-0.08635687941326431,-0.11274499079197864,-0.03963322440086159,-15.672754884439984,-20.46188580616672,-7.192962686181777,0.443
06059062627,06059062627,Census Tract 626.27; Orange County; California,2497,830,285,Irvine city,California,46831,0.5751303466224369,0.23634575726620455,06059,2497,830,285,0.009319,0.009493868073,0.003212018401,0.8236927588626032,0.7452848235619574,0.8652637215601034,-0.21404490842052665,-0.34176890282117434,-0.15571700867911337,-4.980727200422506,-7.952806180260137,-3.6234636292900015,-199.4684501570887,-318.49444053905233,-145.11268038806574,0.8078705429098284,0.7236932225336854,0.8528317193430891,-0.2378220852045801,-0.38180097431194815,-0.1725642671572655,-5.53401123801764,-8.884334189193773,-4.015491634879477,-221.62640120214817,-355.80032796130445,-199.4684501570887,-0.5532840375951338,-0.9315280089336352,-0.39202800558947537,-22.15795104505942,-37.30588742225211,-15.69996017578996,0.886387751134585,0.8507547320683272,0.923124659621524,-0.1281744346308827,-0.17542690308502026,-0.08327731209129932,-0.3417098733348986,-0.467683785813809,-0.2220152548231508,-41.169864257216695,-56.347444073952886,-26.74882588230732,0.8757620477572671,0.8371143962283621,0.9157699484211674,-0.14186268126244228,-0.1945798620899636,-0.0919773046975928,-0.378202400383035,-0.5187451009225146,-0.24520921998533307,-45.56655426301626,-62.49940974970055,-29.543279516305187,-0.03649252704813632,-0.05106131510870565,-0.02319396516218228,-4.396690005799558,-6.15196567574767,-2.7944536339978647,0.8507547320683272,0.8162034143042936,0.923124659621524,-0.17542690308502026,-0.22518477927756397,-0.08327731209129932,-0.4746617641880796,-0.6092942571550127,-0.22532778712362037,-166.5479874344139,-213.78745865088163,-79.06238144688433,0.8371143962283621,-0.1945798620899636,-0.5264849289982249,0.799794195421845,-0.2503216524002878,-0.6773084119555534,0.9157699484211674,-0.0919773046975928,-0.24886781300508473,-184.7315540344649,-237.6520743703696,-87.32203965090693,-0.05182316481014526,-0.06801415480054063,-0.02354002588146436,-18.18356660005097,-23.86461571948794,-8.259658204022585,0.8235
