geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
51700030800,51700030800,Census Tract 308; Newport News city; Virginia,1056,625,351,Newport News city,Virginia,72185,0.5749894841916097,0.26486398159303787,51700,1056,625,351,0.012557,0.00741752448699999,0.003469242894,0.8237401249087152,0.7453497848202273,0.8653008469984322,-0.21397509938078776,-0.3416519604164002,-0.155667423034213,-2.8373509010083264,-4.530370592297867,-2.064179917578887,-268.6885322924552,-429.01236669487383,-195.47158310406127,0.8079216448738754,0.7237626100326712,0.8528719706565209,-0.23774379154813943,-0.3816685003317031,-0.17250892795811243,-3.1525283227363063,-5.060997594750447,-2.2875015064387387,-298.5348790469987,-479.2611358665196,-268.6885322924552,-0.3151774217279799,-0.5306270024525794,-0.22332158885985187,-29.846346754543553,-50.248769171645776,-21.14787773294052,0.8864194441850292,0.8507955003992527,0.9231465518013522,-0.1281340978698819,-0.17537057910006595,-0.08325162245223396,-0.2778301928213677,-0.3802519595997305,-0.18051256225398973,-44.45283085141883,-60.84031353595688,-28.88200996063836,0.8757964922567258,0.8371585224858271,0.9157938379861912,-0.1418177725549349,-0.19451689631091315,-0.09194881917853508,-0.30750018729944767,-0.4217664751809815,-0.19937049221676487,-49.20002996791163,-67.48263602895703,-31.89927875468238,-0.02966999447807994,-0.04151451558125096,-0.01885792996277513,-4.747199116492791,-6.6423224930001545,-3.0172687940440213,0.8507955003992527,0.8162525600588748,0.9231465518013522,-0.17537057910006595,-0.2251110121208953,-0.08325162245223396,-0.4565862632357125,-0.5860880220897332,-0.21674985279079545,-130.08155647741097,-166.97664447000946,-61.75209481219244,0.8371585224858271,-0.19451689631091315,-0.5064346783740248,0.7998471690649089,-0.25023884396451285,-0.6515096161995765,0.9157938379861912,-0.09194881917853508,-0.23939344885043923,-144.2833841521438,-185.61527527053465,-68.20326178075192,-0.04984841513831228,-0.06542159410984327,-0.02264359605964377,-14.201827674732844,-18.63863080052515,-6.451166968559481,0.8131
51700032133,51700032133,Census Tract 321.33; Newport News city; Virginia,1197,437,124,Newport News city,Virginia,47955,0.6340517681706108,0.2382120804272265,51700,1197,437,124,0.012557,0.00741752448699999,0.003469242894,0.8041169312194807,0.7186026708137755,0.8498733537874916,-0.2436002292396126,-0.3915895954958788,-0.17664590323189155,-3.6614890300384935,-5.885877089118175,-2.655116700438786,-305.8888078561816,-491.719055064175,-221.81426068828625,0.7867760427575531,0.6952447366207584,0.836160474013188,-0.27100972278607166,-0.4383424243677221,-0.19594268215101956,-4.073473699562569,-6.588606189874227,-2.945161354945112,-340.30690890247024,-550.4265822785486,-305.8888078561816,-0.4119846695240752,-0.7027291007560521,-0.290044654506326,-34.418101046288655,-58.70752721437361,-24.23096528874904,0.8732297249796248,0.8338718993840422,0.9140127453512292,-0.14517402625446946,-0.199224965775525,-0.09407664727446244,-0.2200924100728125,-0.3020368312121463,-0.14262576140109542,-50.36439589766877,-69.11597968241335,-32.63747400482733,0.8614723878310684,0.8188592753109997,0.9058316206861036,-0.16080331084981492,-0.22121105561172735,-0.10395792900513966,-0.24378732990836097,-0.3353690437640329,-0.15760636893002827,-55.78657434973935,-76.74348827552241,-36.06553064760372,-0.02369491983554847,-0.03333221255188662,-0.01498060752893284,-5.422178452070589,-7.627508593109067,-3.428056642776395,0.8338718993840422,0.7959035347156385,0.9140127453512292,-0.199224965775525,-0.2564336711449352,-0.09407664727446244,-0.18324175169565,-0.2358607763410989,-0.08652916351683518,-147.77560620616936,-190.2103035008862,-69.78158348131869,0.8188592753109997,-0.22121105561172735,-0.2034639643025932,0.77794067040808,-0.2854450706060085,-0.26254467931327546,0.9058316206861036,-0.10395792900513966,-0.09561770001766542,-164.08384217951064,-211.72958009135115,-77.11104840134308,-0.0202222126069432,-0.02668390297217657,-0.00908853650083024,-16.308235973341297,-21.519276590464976,-7.329464920024393,0.3531
51700032228,51700032228,Census Tract 322.28; Newport News city; Virginia,1967,917,327,Newport News city,Virginia,58177,0.714019394274864,0.199345950653669,51700,1967,917,327,0.012557,0.00741752448699999,0.003469242894,0.7782908640044484,0.6839113472009591,0.8294226345281218,-0.2848666819173718,-0.4621778160176687,-0.20565795816378185,-7.036098509153273,-11.415615965888517,-5.079673210963351,-357.7070924836438,-580.3566835733866,-258.24469806626087,0.7590250791055361,0.6584151121605677,0.8140544808498011,-0.31747952410009683,-0.5187986750767805,-0.22841901067369363,-7.841623285573711,-12.814129612101274,-5.641862535997166,-398.65903841249167,-651.4554962939133,-357.7070924836438,-0.8055247764204374,-1.3985136462127592,-0.562189325033815,-40.95194592884786,-71.09881272052665,-28.58105363669624,0.8556836538411251,0.8114933098517038,0.9017898356410472,-0.16865619146871086,-0.2322960495912713,-0.10890582315017906,-0.5365452223980285,-0.73900243154284,-0.3464616305734241,-58.510929378192856,-80.58914193487895,-37.78207530789794,0.8424508237823471,0.7947187107765313,0.8925157105078896,-0.1870129054065199,-0.2583068530283945,-0.12042845658251332,-0.5949433581349307,-0.8217504895500185,-0.3831185351538274,-64.87931931678634,-89.612921434026,-41.7795567234272,-0.05839813573690222,-0.08274805800717855,-0.03665690458040327,-6.368389938593481,-9.02377949914706,-3.997481415529255,0.8114933098517038,0.7691579148982888,0.9017898356410472,-0.2322960495912713,-0.3001231354841315,-0.10890582315017906,-0.563441154997055,-0.7279578210479858,-0.2641543964678237,-172.30616360766209,-222.6170706568764,-80.78116099933446,0.7947187107765313,-0.2583068530283945,-0.6265311522518546,0.7492332883463005,-0.3346977711137061,-0.8118196545445372,0.8925157105078896,-0.12042845658251332,-0.29210289538179773,-191.59974074980263,-248.2628912980236,-89.32810256324089,-0.06308999725479958,-0.08386183349655141,-0.02794849891397405,-19.293577142140546,-25.64582064114722,-8.546941563906438,0.6798
51700030600,51700030600,Census Tract 306; Newport News city; Virginia,1058,758,265,Newport News city,Virginia,47501,0.6246225154825127,0.2219960482933933,51700,1058,758,265,0.012557,0.00741752448699999,0.003469242894,0.8072181100745334,0.7228075322030793,0.85231776292812,-0.2388225530614847,-0.38349416054375185,-0.17327133552223614,-3.1728306971230613,-5.0948372720368695,-2.301962713441577,-299.88947987930635,-481.5536173947892,-217.57681601527193,0.7901144173066156,0.6997210457772449,0.8388063190412525,-0.2656394796703668,-0.42914094986125145,-0.1921703226353735,-3.5291017731016017,-5.701268836037383,-2.5530415403296636,-333.56349462207953,-538.8722907407735,-299.88947987930635,-0.35627107597854035,-0.6064315640005136,-0.2510788268880866,-33.67401474277319,-57.31867334598427,-23.731458117966596,0.8753222129086679,0.8365509832618317,0.9154648657039568,-0.14243644826175705,-0.19538440574280028,-0.09234121096612384,-0.374563150071854,-0.51379965860599,-0.2428284001954257,-49.414663597869925,-67.78359612216227,-32.03540899675801,0.8637434053858862,0.821753675799268,0.9074147813983414,-0.15775124158920756,-0.21690967676823972,-0.10203186073185098,-0.414836249418501,-0.5704043649141839,-0.2683117673166234,-54.72773739030356,-75.25123547680526,-35.39733078055717,-0.04027309934664697,-0.05660470630819392,-0.02548336712119767,-5.313073792433637,-7.467639354642997,-3.361921783799165,0.8365509832618317,0.7991178802171921,0.9154648657039568,-0.19538440574280028,-0.25137983363381905,-0.09234121096612384,-0.38405618270341857,-0.4941232589519623,-0.181509946277621,-144.92686139751643,-186.4616071516839,-68.49431935004566,0.821753675799268,-0.21690967676823972,-0.42636720230735337,0.7813973479424076,-0.27975863065471324,-0.5499058707326949,0.9074147813983414,-0.10203186073185098,-0.20055831373965977,-160.89328388956733,-207.51164933309244,-75.68238254326783,-0.04231101960393479,-0.05578261178073263,-0.01904836746203878,-15.966422492050866,-21.05004218140854,-7.188063193222181,0.9773
51700032005,51700032005,Census Tract 320.05; Newport News city; Virginia,1638,1145,497,Newport News city,Virginia,59106,0.7671670691557908,0.12330129886433462,51700,1638,1145,497,0.012557,0.00741752448699999,0.003469242894,0.7615869699680902,0.6617864769039601,0.8161037382714189,-0.31304767470207523,-0.5110613995594265,-0.22533441902629917,-6.438879148721225,-10.511697914610524,-4.634760802930285,-393.0939651233959,-641.7397994267719,-282.95242997132385,0.7411249867351292,0.6350233245014363,0.799686756753059,-0.3493000747489171,-0.5747453068516986,-0.25048963429163945,-7.184531781263086,-11.821571828108045,-5.152162477316591,-438.61610386221525,-721.7076818136779,-393.0939651233959,-0.7456526325418613,-1.3098739134975208,-0.5174016743863064,-45.52213873881937,-79.96788238690603,-31.58740380868781,0.8442177374591489,0.7969533873693007,0.8937568608001089,-0.18452853526829543,-0.2547785301483504,-0.11887252994598574,-0.7329995846291281,-1.0120524530237642,-0.4721953433789157,-64.01743097197625,-88.38886052609294,-41.239767980691326,0.8300417166958843,0.7790695190369029,0.8837742171403252,-0.20475872463454267,-0.2835824988201497,-0.1315107191469702,-0.813359624234209,-1.12646997138428,-0.5223978089288474,-71.03577504228899,-98.38165688945678,-45.624262788545614,-0.08036003960508098,-0.11441751836051584,-0.05020246554993163,-7.018344070312749,-9.992796363363828,-4.384494807854291,0.7969533873693007,0.7518814297272557,0.8937568608001089,-0.2547785301483504,-0.3299969389625025,-0.11887252994598574,-0.9392435151102164,-1.216536906568535,-0.438224731147877,-188.98259861372568,-244.77603753894064,-88.173990170599,0.7790695190369029,-0.2835824988201497,-1.045429624154305,0.7307423784793367,-0.3684713374376674,-1.3583731485961643,0.8837742171403252,-0.1315107191469702,-0.4848155378490888,-210.3480129083109,-273.3145168201538,-97.54839795756313,-0.10618610904408854,-0.14183624202762934,-0.04659080670121174,-21.36541429458522,-28.53847928121315,-9.374407786964133,0.117
51700032117,51700032117,Census Tract 321.17; Newport News city; Virginia,2400,1757,1105,Newport News city,Virginia,87942,0.7164624205743376,0.20368476920769757,51700,2400,1757,1105,0.012557,0.00741752448699999,0.003469242894,0.7775150676158623,0.6828783056458027,0.8288056687867188,-0.28614870843127915,-0.46438976276203886,-0.20655545402324657,-8.623606396251773,-13.995221402407012,-6.224920406807777,-359.31693317715724,-583.1342251002923,-259.3716836169907,0.7581928690101248,0.6573212121112365,0.8133884180686485,-0.3189256202126666,-0.5213262276872528,-0.2294249312947579,-9.611397631225092,-15.7111042585652,-6.9141332694438615,-400.47490130104546,-654.6293441068833,-359.31693317715724,-0.9877912349733188,-1.7158828561581867,-0.6892128626360847,-41.157968123888274,-71.49511900659111,-28.71720260983686,0.8551532042927675,0.81081917682167,0.9014190076613257,-0.16938110619257316,-0.2333206078325624,-0.10936200756897348,-1.032455717707032,-1.4221963773322648,-0.6666117169298379,-58.76241990364439,-80.9445860746878,-37.94033676322355,0.8418763706144583,0.7939925233216862,0.8921120030399077,-0.18782286200779383,-0.2594577034761948,-0.12093548410116624,-1.1448666982702014,-1.5815139921956574,-0.7371573774701897,-65.16031293512813,-90.0121794078348,-41.9554568850421,-0.11241098056316944,-0.15931761486339258,-0.07054566054035183,-6.397893031483749,-9.067593333146988,-4.015120121818545,0.81081917682167,0.7683551354144553,0.9014190076613257,-0.2333206078325624,-0.3014815075851534,-0.10936200756897348,-1.91238076072133,-2.4710523437040592,-0.8963708828448258,-173.06613219197556,-223.62464648905512,-81.11953690903401,0.7939925233216862,-0.2594577034761948,-2.126609925107383,0.7483731509502306,-0.33623179657136504,-2.7558783807355933,0.8921120030399077,-0.12093548410116624,-0.9912313157076976,-192.45338688754595,-249.40075843761025,-89.70419146675997,-0.214229164386053,-0.2848260370315341,-0.09486043286287173,-19.38725469557041,-25.77611194855512,-8.584654557725946,0.7489
51095080102,51095080102,Census Tract 801.02; James City County; Virginia,3418,2156,713,Newport News city,Virginia,349127,0.7668453453948083,0.24008613077916735,51095,3418,2156,713,0.01508799999999999,0.00741752448699999,0.003469242894,0.7616869988423678,0.6619182304457734,0.8161837158742531,-0.3128752381487759,-0.5107606257143623,-0.22521434886611597,-16.13522132551908,-26.340325904420222,-11.61448053907511,-472.066159318873,-770.6356320778298,-339.8034095691957,0.7412320629150809,0.6351623937460374,0.7997729628004305,-0.3491051588719048,-0.5744005152796228,-0.25035484632847316,-18.003626741468686,-29.622284902974123,-12.910995703358882,-526.7298637059299,-866.6554974538948,-472.066159318873,-1.8684054159496064,-3.2819589985539004,-1.2965151642837718,-54.66370438705695,-96.01986537606496,-37.93198257120456,0.8442866808589168,0.7970406147432396,0.8938052716395504,-0.18443180814207755,-0.25464120836821114,-0.11881192887311068,-1.379492323061566,-1.9046367089155345,-0.8886761205655591,-63.983873982447406,-88.341220265099,-41.21874399654727,0.8301162812802616,0.7791633165128181,0.8838268744193037,-0.20465050806825788,-0.2834279782004456,-0.1314433051801292,-1.5307218837941965,-2.1199527565612644,-0.9831548703038392,-70.99823208692933,-98.32804993326828,-45.60087524600367,-0.1512295607326304,-0.2153160476457301,-0.09447874973827997,-7.0143581044819285,-9.9868296681693,-4.382131249456399,0.7970406147432396,0.7519848347667678,0.8938052716395504,-0.25464120836821114,-0.3298140517822483,-0.11881192887311068,-1.346719675109449,-1.744285913144329,-0.6283600493277326,-188.88073984704755,-244.64038052515127,-88.12903917640008,0.7791633165128181,-0.2834279782004456,-1.4989641196137302,0.73085292684138,-0.3682643433088885,-1.9476377761222332,0.8838268744193037,-0.1314433051801292,-0.6951635455308113,-210.23339686027072,-273.16097841826553,-97.49839348258224,-0.1522444445042812,-0.20335186297790453,-0.06680349620307868,-21.35265701322317,-28.52059789311424,-9.369354306182144,0.9497
51700032006,51700032006,Census Tract 320.06; Newport News city; Virginia,2671,1122,323,Newport News city,Virginia,68018,0.6655042255870462,0.2376557964486196,51700,2671,1122,323,0.012557,0.00741752448699999,0.003469242894,0.7938584533389987,0.7047529080603846,0.8417702994960155,-0.2596704057177474,-0.4189370324873042,-0.18797253906287711,-8.709279711160601,-14.05104207855496,-6.304551403116516,-326.0681284597754,-526.0592316943078,-236.0371173012548,0.7757421349236392,0.6805194843571851,0.8273951258074419,-0.2890881582685151,-0.4694656405680939,-0.2086123894241167,-9.695943689021954,-15.745758809846803,-6.996806762350349,-363.0080003377744,-589.5080048613555,-326.0681284597754,-0.9866639778613528,-1.6947167312918443,-0.6922553592338332,-36.93987187799898,-63.44877316704771,-25.917460098608505,0.8662860719549018,0.8249973649514526,0.909185650543724,-0.15435308539978376,-0.21212508364659508,-0.09988537478782898,-0.6008179227423763,-0.8256948786478785,-0.3888028751542612,-53.54883446901751,-73.59134390801057,-34.65266266972025,0.8539402123326343,0.8092781549931455,0.9005707350414665,-0.17104217081941472,-0.23566908834759032,-0.11040694649483072,-0.6657800296437185,-0.9173396939157472,-0.4297579933536322,-59.33868356895887,-81.75933100853361,-38.30285145754297,-0.06496210690134219,-0.0916448152678686,-0.04095511819937092,-5.789849099941372,-8.16798710052305,-3.65018878782272,0.8249973649514526,0.7852748806946794,0.909185650543724,-0.21212508364659508,-0.27343943450141667,-0.09988537478782898,-0.5082220897285401,-0.655122715463598,-0.2393114149223517,-157.34430022555424,-202.82437011256903,-74.09022133818938,0.8092781549931455,-0.23566908834759032,-0.5646302384680513,0.7665206797332265,-0.3045962443544664,-0.7297700826706393,0.9005707350414665,-0.11040694649483072,-0.26451963201877865,-174.80812336472175,-225.935010114749,-81.89462291603054,-0.05640814873951116,-0.07464736720704124,-0.02520821709642695,-17.46382313916754,-23.11064000217995,-7.804401577841162,0.9135
51700032134,51700032134,Census Tract 321.34; Newport News city; Virginia,1825,1174,655,Newport News city,Virginia,46747,0.6863363223935682,0.21533634746410849,51700,1825,1174,655,0.012557,0.00741752448699999,0.003469242894,0.7871360440516139,0.6957269793696018,0.8364459316917282,-0.2704284190223517,-0.4373454381575082,-0.1955345373938044,-6.197279625236199,-10.022437667172492,-4.480972114548553,-339.5769657663671,-549.1746666943832,-245.5327186054002,0.7685193022464772,0.6709385249380238,0.821640163806679,-0.3012034923220223,-0.4904495163582572,-0.21707779640052585,-6.902537361884932,-11.239398602861913,-4.97466874815756,-378.22122530876345,-615.8574576910637,-339.5769657663671,-0.7052577366487336,-1.2169609356894195,-0.49369663360900695,-38.64425954239636,-66.68279099668052,-27.05187033474011,0.861717463308465,0.8191714979599928,0.9060025340987636,-0.16047317430543315,-0.2207455978269872,-0.10374967217364296,-0.6535897726535416,-0.8990727934589492,-0.4225611223953642,-55.672041963674744,-76.58200966430573,-35.993281294324035,0.8489876715548239,0.802994030055058,0.8971030922192079,-0.1778734055921145,-0.245339270992381,-0.11469908940593544,-0.7244590208004952,-0.999240147426104,-0.4671569070211596,-61.70860483820232,-85.11415225094582,-39.79190008698122,-0.07086924814695361,-0.10016735396715482,-0.04459578462579539,-6.036562874527565,-8.532142586640104,-3.798618792657188,0.8191714979599928,0.77831339600324,0.9060025340987636,-0.2207455978269872,-0.28482948531421287,-0.10374967217364296,-1.072487749617831,-1.3838379416692463,-0.5040655556823734,-163.73858772791314,-211.27296819377807,-76.9565733866219,0.802994030055058,-0.245339270992381,-1.1919755828867082,0.7590492508072525,-0.3174375693494134,-1.5422636181516876,0.8971030922192079,-0.11469908940593544,-0.5572630643198591,-181.9810050208715,-235.46009437430345,-85.07833043051284,-0.11948783326887712,-0.1584256764824412,-0.05319750863748562,-18.24241729295834,-24.187126180525375,-8.121757043890934,0.6111
51700032226,51700032226,Census Tract 322.26; Newport News city; Virginia,2704,1563,470,Newport News city,Virginia,108605,0.7134962004758745,0.20580248322063904,51700,2704,1563,470,0.012557,0.00741752448699999,0.003469242894,0.7784571076750141,0.6841327844827035,0.8295548224196301,-0.28459229177913087,-0.4617045443248778,-0.2054658389944845,-9.66308310288196,-15.676775196188576,-6.97641339684612,-357.36254078705474,-579.7623963087491,-258.0034540253743,0.7592034223387057,0.6586496162592722,0.8141971944655217,-0.3171700371417279,-0.5182579254799989,-0.2282036916823917,-10.769232038874986,-17.596995938762348,-7.748457357456465,-398.2704156388678,-650.7764770252347,-357.36254078705474,-1.1061489359930263,-1.920220742573772,-0.7720439606103442,-40.907874851813105,-71.01408071648565,-28.55192162020504,0.855797296664401,0.8116377537346369,0.9018692712770487,-0.16850100356433798,-0.23207674285559135,-0.10880815196641298,-0.9136843311537616,-1.2584191137555474,-0.590004222233307,-58.457090924744826,-80.51305910144256,-37.74819080187505,0.8425738985167037,0.7948743160098398,0.8926021914692033,-0.1868395184807346,-0.2580605258701313,-0.12031990236773038,-1.0131235830353886,-1.3993142710678863,-0.6524258443206831,-64.81916718076702,-89.52746455968561,-41.741896629602245,-0.09943925188162694,-0.14089515731233893,-0.06242162208737611,-6.362076256022197,-9.014405458243052,-3.9937058277271986,0.8116377537346369,0.7693299456200409,0.9018692712770487,-0.23207674285559135,-0.2998324135089409,-0.10880815196641298,-0.809074413807439,-1.045286706523473,-0.3793309518501602,-172.14349229945512,-222.40142691988788,-80.70871315960855,0.7948743160098398,-0.2580605258701313,-0.899660026791804,0.7494176222007332,-0.33436947621195356,-1.1656910754285388,0.8926021914692033,-0.12031990236773038,-0.419463636380462,-191.41702697697957,-248.0193777507529,-89.24758220860893,-0.09058561298436496,-0.12040436890506578,-0.04013268453030177,-19.27353467752446,-25.61795083086506,-8.538869049000377,0.8391
51199050305,51199050305,Census Tract 503.05; York County; Virginia,2104,1560,588,Newport News city,Virginia,216801,0.7640027579121649,0.19530294188415695,51199,2104,1560,588,0.010558,0.00741752448699999,0.003469242894,0.7625713741419292,0.663083478041483,0.8168906979290603,-0.31135266010376195,-0.5081057410051155,-0.22415398110805895,-6.916397954830091,-11.287077190071347,-4.979363709261817,-328.7261385375519,-536.458041353201,-236.6617732538886,0.7421788060108112,0.6363924629337514,0.8005350394804082,-0.34738420431994005,-0.5713573906737174,-0.24916455955389,-7.716803831057686,-12.69215135986246,-5.534949499196018,-366.7682429209927,-603.2391330733108,-328.7261385375519,-0.800405876227595,-1.40507416979111,-0.5555857899342014,-38.04210438344082,-66.78109172010979,-26.406168723108433,0.8448960743582427,0.7978117263924118,0.8942331191415283,-0.18357751958969576,-0.2534285557845258,-0.11827663122118412,-0.9935250083221288,-1.371560137415752,-0.6401153653289486,-63.687500533469795,-87.92052162921486,-41.03303623903517,0.8307753871294142,0.7799925541321573,0.8842922636934044,-0.2036947838034888,-0.2820635206096672,-0.13084784415428627,-1.102400022757987,-1.526533108669469,-0.7081510075028643,-70.66666812551199,-97.85468645317106,-45.39429535274771,-0.10887501443585834,-0.15497297125371667,-0.06803564217391567,-6.979167592042202,-9.934164823956197,-4.361259113712543,0.7978117263924118,0.7528990872309789,0.8942331191415283,-0.2534285557845258,-0.3281992460341688,-0.11827663122118412,-1.105329760723218,-1.43144245511515,-0.5158640472939252,-187.98125182367653,-243.44259440733848,-87.73198083230021,0.7799925541321573,-0.2820635206096672,-1.2302212857548418,0.7318304028864848,-0.3664368083859333,-1.5982157514947828,0.8842922636934044,-0.13084784415428627,-0.57069344779432,-209.22130710116355,-271.80539991407875,-97.0567088085578,-0.12489152503162382,-0.16677329637963267,-0.05482940050039475,-21.240055277487045,-28.36280550674025,-9.324727976257613,0.4098
