geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
28049003000,28049003000,Census Tract 30; Hinds County; Mississippi,984,680,281,Jackson city,Mississippi,9562,0.4772082368382174,0.2660037349573621,28049,984,680,281,0.014834,0.00746626930099999,0.00395401996,0.8572858011080918,0.7918374727493039,0.8914600636299653,-0.16647213648872028,-0.2628854208275142,-0.1217552426611994,-2.429936509910898,-3.83724805523446,-1.777219393322052,-246.94476726736767,-389.96423325553457,-180.6117269636232,0.8441860938480992,0.7735700649678564,0.8812762804978757,-0.18457293633166336,-0.29270772653483207,-0.134717933671211,-2.6941476585431925,-4.272553992771016,-1.966431334829484,-273.7954937543895,-434.20264154176994,-246.94476726736767,-0.26421114863229445,-0.4353059375365555,-0.1892119415074318,-26.850726487021795,-44.23840828623532,-19.2288558442512,0.908695219666764,0.8795719255143561,0.9384692110422388,-0.10047899268879096,-0.13691668752981165,-0.0655650587507574,-0.270161241003478,-0.3681324944379717,-0.17628697466576584,-39.72959426521735,-54.13713153499584,-25.92455509790674,0.9000363872335265,0.8683573704395914,0.9325283245615872,-0.11106619041673986,-0.15159959947569368,-0.07235348638888114,-0.29862739497648605,-0.4076109327333309,-0.19453924796291255,-43.915793378895,-59.94278422548984,-28.608712935722433,-0.02846615397300805,-0.03947843829535918,-0.01825227329714671,-4.186199113677655,-5.805652690493998,-2.6841578378156923,0.8795719255143561,0.8510916641004252,0.9384692110422388,-0.13691668752981165,-0.17496157250813374,-0.0655650587507574,-0.28725417791246227,-0.36707317116587823,-0.13755691428870062,-102.22568608984422,-130.63102176721645,-48.95263853690414,0.8683573704395914,-0.15159959947569368,-0.31805924540620417,0.8374790863691568,-0.1940596682066933,-0.40714138986558024,0.9325283245615872,-0.07235348638888114,-0.15179918260302053,-113.18834356092675,-144.89017432938795,-54.02106142456247,-0.0308050674937419,-0.04006821869970201,-0.0142422683143199,-10.962657471082528,-14.259152562171533,-5.068422887658329,0.9748
28049000100,28049000100,Census Tract 1; Hinds County; Mississippi,2586,2007,796,Jackson city,Mississippi,131453,0.7267461204170111,0.20104070261484483,28049,2586,2007,796,0.014834,0.00746626930099999,0.00395401996,0.7742578921224433,0.6785468909991024,0.826213634725282,-0.2915593243211749,-0.4737375018071122,-0.21034071331018692,-11.184426769911076,-18.172913555272135,-8.068822049255207,-432.4991016980308,-702.7422101806704,-312.01941412433126,0.7546997479796869,0.6527364293888505,0.810590656628959,-0.32503025564401744,-0.5320119346430356,-0.2336683032577089,-12.468395928409596,-20.40836298954753,-8.963685288817274,-482.1498812223356,-789.1865038494792,-432.4991016980308,-1.28396915849852,-2.235449434275395,-0.894863239562067,-49.65077952430472,-86.44429366880878,-34.60414692815418,0.8529239275697058,0.8079876091596175,0.8998597117781318,-0.1724375031304,-0.23764274187334783,-0.1112843334479215,-1.3684154077649393,-1.8858657984457048,-0.8831210947065732,-68.18213292301641,-93.96441447163453,-44.002047568837725,0.8394625532693699,0.7909429708449137,0.8904146338887962,-0.191238365672657,-0.26431365706653165,-0.12307228783134529,-1.5176137521798416,-2.097518661813514,-0.9766669771942648,-75.61603149874647,-104.51014757416613,-48.66302826080043,-0.14919834441490232,-0.21165286336780945,-0.09354588248769148,-7.433898575730061,-10.54573310253161,-4.6609806919627035,0.8079876091596175,0.7649850836518282,0.8998597117781318,-0.23764274187334783,-0.3072150312085503,-0.1112843334479215,-1.4123465477705377,-1.8258251244292525,-0.6613795267935532,-177.43047082544444,-229.3750156318156,-83.08788025044637,0.7909429708449137,-0.26431365706653165,-1.570855807098346,0.7447632932840468,-0.3427084941182889,-2.036768111426546,0.8904146338887962,-0.12307228783134529,-0.7314371121734512,-197.34369435908872,-255.87539088273195,-91.88908444390091,-0.15850925932780835,-0.21094298699729383,-0.07005758537989804,-19.913223533644263,-26.500375250916314,-8.801204193454527,0.2972
28049000302,28049000302,Census Tract 3.02; Hinds County; Mississippi,2989,1584,485,Jackson city,Mississippi,89372,0.6430395274037787,0.247213518756092,28049,2989,1584,485,0.014834,0.00746626930099999,0.00395401996,0.8011720458752676,0.7146174603659282,0.8475499220607836,-0.24817135738618548,-0.3993500795347742,-0.17987150251697287,-11.003626633329894,-17.706713689578514,-7.975291252458623,-368.1373915466676,-592.3959079818841,-266.8213868336776,0.7836071074254393,0.6910046748323063,0.8336462810641179,-0.276149731828652,-0.4471682123462926,-0.19954952443803617,-12.244154909497263,-19.82691355995333,-8.847791642440834,-409.6405121946224,-663.3293261944907,-368.1373915466676,-1.2405282761673693,-2.1201998703748117,-0.8725003899822106,-41.50312064795481,-70.93341821260661,-29.190377717705275,0.8712398673582462,0.8313262417942421,0.912630759889054,-0.14778953244205564,-0.2028971897262755,-0.09573339399777316,-0.9256306136694497,-1.2707791082008708,-0.5995942931178911,-58.436276115495566,-80.22595380056003,-37.85317507057394,0.8593132616663897,0.8161098859394428,0.904325157455231,-0.1637199664075812,-0.22532518871386675,-0.10579694898016304,-1.0254055918013512,-1.4112494251659873,-0.6626240247918715,-64.73520150261055,-89.0940293665396,-41.83232479746664,-0.0997749781319015,-0.14047031696511647,-0.0630297316739804,-6.298925387114994,-8.868075565979575,-3.9791497268927025,0.8313262417942421,0.79285172642211,0.912630759889054,-0.2028971897262755,-0.2612698776764792,-0.09573339399777316,-0.7347192535725446,-0.946094964481382,-0.346664080832764,-151.48850589124632,-195.07112669719217,-71.47713006861113,0.8161098859394428,-0.22532518871386675,-0.8159341915296418,0.7746600754685194,-0.29088878034045257,-1.0533491757707076,0.904325157455231,-0.10579694898016304,-0.3831056284703765,-168.23385392363747,-217.1853970661253,-78.99085123100545,-0.08121493795709711,-0.10725421128932566,-0.03644154763761242,-16.745348032391156,-22.114270368933127,-7.513721162394315,0.6943
28049001600,28049001600,Census Tract 16; Hinds County; Mississippi,2640,1204,536,Jackson city,Mississippi,99253,0.5825687946393777,0.25052178360096483,28049,2640,1204,536,0.014834,0.00746626930099999,0.00395401996,0.8211953905624889,0.7418624800136261,0.8633055193751116,-0.21773698621839127,-0.3479587213813975,-0.15833847642238208,-8.526963597407947,-13.626675936645158,-6.200813412418986,-322.9910453563616,-516.1619672971651,-234.8792959249616,0.8051766154167578,0.7200385484504679,0.8507088860698966,-0.2419635404865826,-0.3888145324330381,-0.17549024863228857,-9.475718101285832,-15.226661403654854,-6.872506999278014,-358.92871595779667,-576.7674774111687,-322.9910453563616,-0.9487545038778844,-1.5999854670096951,-0.6716935868590275,-35.937670601435016,-60.6055101140036,-25.44293889617528,0.8847157617902323,0.8486046733609445,0.9219693481001116,-0.1303065268968293,-0.17840501165218214,-0.08463475717569684,-0.6203424683550813,-0.84932204035226,-0.4029156130956801,-51.52346082683399,-70.54169770367608,-33.46475191824586,0.8739450784984512,0.8347875455310735,0.9145093097153943,-0.1442366626952431,-0.19790958232830605,-0.09348258063246093,-0.6866588304859775,-0.942176280316868,-0.4450369156386042,-57.03146432607787,-78.25384388013855,-36.963198973306,-0.0663163621308962,-0.09285423996460808,-0.04212130254292412,-5.508003499243871,-7.712146176462463,-3.4984470550601428,0.8486046733609445,0.8136123997927578,0.9219693481001116,-0.17840501165218214,-0.22908647932936935,-0.08463475717569684,-0.7139626458407738,-0.9167858424695984,-0.3387015566639932,-133.2019861643235,-171.04213478910415,-63.19058892984947,0.8347875455310735,-0.19790958232830605,-0.7920183840565981,0.7970018228259603,-0.25470227465008943,-1.0192982149255505,0.9145093097153943,-0.09348258063246093,-0.3741098413675585,-147.76462389115636,-190.1675774114833,-69.79661219544002,-0.07805573821582423,-0.10251237245595224,-0.03540828470356527,-14.56263772683288,-19.12544262237915,-6.606023265590537,0.7255
28089030111,28089030111,Census Tract 301.11; Madison County; Mississippi,1671,773,336,Jackson city,Mississippi,69493,0.6662084197824747,0.22294266258763393,28089,1671,773,336,0.011611,0.00746626930099999,0.00395401996,0.7936302787306726,0.7044458978986046,0.8415897658874761,-0.2600325703290881,-0.41955543070524975,-0.18822737696373548,-5.045146988906131,-8.140206494990071,-3.6519839915302335,-301.9238174091042,-487.1458105918654,-218.55080739259327,0.775496874166682,0.6801933927190784,0.8271999322629071,-0.2894958488060446,-0.4701701173580828,-0.20889758448646997,-5.61679295811375,-9.122231683749291,-4.053026965152385,-336.1336300486984,-545.9145232644698,-301.9238174091042,-0.5716459692076192,-0.98202518875922,-0.4010429736221512,-34.20981263959421,-58.76871267260443,-24.000177954646993,0.8661312429533935,0.8247997562980565,0.9090778682067066,-0.15455943673170322,-0.21241548917072148,-0.10001577969624438,-0.47240433863303455,-0.6492388999275139,-0.30569397287781475,-61.113109784351174,-83.98950839941966,-39.5464389233913,0.8537723291281905,0.8090649297107231,0.9004532985780218,-0.1712724410044145,-0.23599474316300517,-0.11055176496013772,-0.5234869247046087,-0.7213078859643937,-0.337896763310319,-67.72146503293773,-93.3127924921596,-43.71238852656132,-0.05108258607157412,-0.07206898603687972,-0.03220279043250423,-6.608355248586562,-9.32328409273994,-4.165949603170017,0.8247997562980565,0.7850385456457656,0.9090778682067066,-0.21241548917072148,-0.2738228021369436,-0.10001577969624438,-0.5328796186063578,-0.6869300865869766,-0.25090623450871385,-158.59512458522553,-204.44347815088588,-74.67447455616484,0.8090649297107231,-0.23599474316300517,-0.5920321028413091,0.766266923655473,-0.3050282729541612,-0.7652142053790199,0.9004532985780218,-0.11055176496013772,-0.27733750762812986,-176.20003060753248,-227.7423230294702,-82.54092488932436,-0.05915248423495134,-0.07828411879204322,-0.02643127311941601,-17.604906022306945,-23.298844878584298,-7.866450333159527,0.7552
28049010202,28049010202,Census Tract 102.02; Hinds County; Mississippi,2877,2336,910,Jackson city,Mississippi,36880,0.7818496844573694,0.16876907613981829,28049,2877,2336,910,0.014834,0.00746626930099999,0.00395401996,0.7570358710822406,0.6558014228010153,0.8124621015415294,-0.32094136909314963,-0.5248518304959857,-0.23082664176291365,-13.69694896228063,-22.399320958142333,-9.851085076052124,-476.0844269127782,-778.5652053577453,-342.4082403911061,0.73625474080869,0.6287088735870862,0.7957624151376583,-0.35822554962650094,-0.5905612947603548,-0.2566564856258143,-15.288141519689926,-25.203631231108872,-10.953436119463868,-531.3917803159516,-876.0386246475102,-476.0844269127782,-1.5911925574092969,-2.8043102729665392,-1.102351043411744,-55.30735340317334,-97.473419289765,-38.315990386226765,0.8410773283806173,0.7929827048527773,0.8915503072178895,-0.18895132023754244,-0.26106155138106935,-0.12164169750614648,-1.7452659933822212,-2.4113186784415968,-1.1235545629841197,-74.71172916875948,-103.22425849493136,-48.09736999075854,0.826645905920456,0.7748008471351677,0.8813744149328422,-0.20970779972171671,-0.2906542419223055,-0.13459159133431017,-1.9369850972261304,-2.68465424650947,-1.2431674309322835,-82.91888258673504,-114.92526740194648,-53.21778385840255,-0.1917191038439092,-0.2733355680678726,-0.11961286794816406,-8.207153417975567,-11.701008907015094,-5.120413867644009,0.7929827048527773,0.7471774003759712,0.8915503072178895,-0.26106155138106935,-0.33837024446511804,-0.12164169750614648,-1.7737318205406,-2.298990665445816,-0.8264708013486194,-194.9155846747912,-252.6363368621776,-90.82096718116696,0.7748008471351677,-0.2906542419223055,-1.9747935877396423,0.7257150008066884,-0.3779513981224346,-2.567917098175122,0.8813744149328422,-0.13459159133431017,-0.9144563305624088,-217.0102843669937,-282.1886921071562,-100.48970665520976,-0.20106176719904223,-0.2689264327293057,-0.08798552921378944,-22.094699692202443,-29.55235524497865,-9.668739474042797,0.7507
28049011600,28049011600,Census Tract 116; Hinds County; Mississippi,1396,952,366,Jackson city,Mississippi,24295,0.6038848422748313,0.26227543736470704,28049,1396,952,366,0.014834,0.00746626930099999,0.00395401996,0.8140806472009081,0.7321420104926446,0.8577184934063821,-0.2283795265719031,-0.3658552380119791,-0.16588368758210484,-4.729343528445986,-7.5762268545349,-3.4351631957437494,-338.7781897167611,-542.70966006697,-246.0718621592943,0.7975063938631544,0.7096674077590284,0.8446547942990906,-0.2539084422332442,-0.409110787767156,-0.1839156146977388,-5.258003053594772,-8.471974198330239,-3.808573102883056,-376.6477832087945,-606.8749425737993,-338.7781897167611,-0.528659525148786,-0.8957473437953389,-0.3734099071393064,-37.86959349203338,-64.16528250682943,-26.748560683331405,0.8799418604815294,0.8424733896399546,0.9186666228140442,-0.1364387181816436,-0.18698111097297343,-0.08853415936329194,-0.5135863070866962,-0.7038393467734667,-0.3332626732675919,-53.94814150070338,-73.9327044930112,-35.00658332642772,0.868759119006774,0.8281553491269842,0.9109063541457748,-0.1510670542868887,-0.2075029172415165,-0.0978076895047846,-0.568650684847221,-0.7810880840576876,-0.3681703458293176,-59.73221479487616,-82.04706765311845,-38.673355654340085,-0.05506437776052486,-0.07724873728422088,-0.03490767256172572,-5.78407329417278,-8.114363160107235,-3.666772327912366,0.8424733896399546,0.8062329060178614,0.9186666228140442,-0.18698111097297343,-0.240336374930653,-0.08853415936329194,-0.5109547863131252,-0.6567562918893599,-0.2419332746686997,-139.6051328724386,-179.44160980583604,-66.10198761439884,0.8281553491269842,-0.2075029172415165,-0.5670337938777898,0.7890537200317407,-0.2673408344868759,-0.7305501515485086,0.9109063541457748,-0.0978076895047846,-0.2672746291357806,-154.9272660868278,-199.60386654330836,-73.02585495513131,-0.05607900756466466,-0.07379385965914864,-0.02534135446708088,-15.32213321438925,-20.16225673747231,-6.923867340732482,0.9686
28049001500,28049001500,Census Tract 15; Hinds County; Mississippi,1866,1028,347,Jackson city,Mississippi,79636,0.6633524505485934,0.2227753890088026,28049,1866,1028,347,0.014834,0.00746626930099999,0.00395401996,0.7945560829636644,0.7056918547465799,0.8423221880561031,-0.25856440022463545,-0.4170490891652826,-0.1871941807775277,-7.157125687931565,-11.54402054807278,-5.181580599302077,-383.5544312932243,-618.6506188677803,-277.6838477653846,0.7764920480994741,0.6815168771473028,0.8279918555305087,-0.2878431948499399,-0.4673150930404037,-0.20774134832435365,-7.967569867185881,-12.935395800241077,-5.750331210507101,-426.9865952404009,-693.2152090161348,-383.5544312932243,-0.8104441792543158,-1.391375252168297,-0.568750611205024,-43.43216394717662,-74.56459014835461,-30.47966833896163,0.866759347600735,0.8256014823751687,0.909515075449987,-0.15372277526407604,-0.21123813528423552,-0.0994869980634957,-0.6248419635083721,-0.858626517717405,-0.40438803623444264,-60.7822921700751,-83.52398032270476,-39.337357610354346,0.8544534101922302,0.8099300463157352,0.9009296753571444,-0.17033882488107285,-0.23467453090407983,-0.10996454812478272,-0.6923817607219026,-0.9538891971187232,-0.4469764746867492,-67.35231135427068,-92.79077792983688,-43.48020181777716,-0.06753979721353054,-0.09526267940131816,-0.04258843845230653,-6.570019184195577,-9.266797607132116,-4.142844207422814,0.8256014823751687,0.7859974801955549,0.909515075449987,-0.21123813528423552,-0.2722687097561707,-0.0994869980634957,-0.5472747992215908,-0.7053925337185556,-0.25775046166307314,-157.71608046731723,-203.28315092753763,-74.27967194901242,0.8099300463157352,-0.23467453090407983,-0.6079937062980504,0.7672965917689757,-0.30327699969907945,-0.7857286701357602,0.9009296753571444,-0.10996454812478272,-0.28489565066225364,-175.21432458157074,-226.4347752552623,-82.10249298624024,-0.06071890707645955,-0.0803361364172046,-0.0271451889991805,-17.498244114253474,-23.151624327724672,-7.82282103722781,0.2191
28121020303,28121020303,Census Tract 203.03; Rankin County; Mississippi,4129,3060,1270,Jackson city,Mississippi,282228,0.7630668414644187,0.21809829420899352,28121,4129,3060,1270,0.011446,0.00746626930099999,0.00395401996,0.7628627776421204,0.6634675822702112,0.8171236043887014,-0.31085174071650284,-0.5072326466626502,-0.22380505792402164,-14.691019261091467,-23.972085743510167,-10.577146549390196,-355.80090242410915,-580.5784873700695,-256.1672692998352,0.742490783886004,0.6367979818995552,0.8007861106262582,-0.3468180638771833,-0.5703567354548152,-0.24877290793411216,-16.39080689968179,-26.955363888091306,-11.757140473698977,-396.967955913824,-652.8303194015816,-355.80090242410915,-1.6997876385903243,-2.983278144581135,-1.179993924308782,-41.1670534897148,-72.25183203151211,-28.578201121549576,0.8450968122283098,0.7980657766308538,0.8943740319179402,-0.18329638158644695,-0.2530295487943861,-0.11810044155189774,-2.217758107249079,-3.0614806923925575,-1.428932799733912,-72.47575513885879,-100.04838864027964,-46.697150318101706,0.8309925109562649,0.7802657720941815,0.8844455458329464,-0.203380279383324,-0.2816145930841827,-0.13065185834389337,-2.460759233505241,-3.407339749571337,-1.5807961704507116,-80.41696841520395,-111.35097220821362,-51.660005570284696,-0.243001126256162,-0.3458590571787794,-0.15186337071679956,-7.941213276345163,-11.302583567933969,-4.962855252182992,0.7980657766308538,0.7532003462589177,0.8943740319179402,-0.2530295487943861,-0.3276680035622862,-0.11810044155189774,-2.399267175559946,-3.107001096014661,-1.119847520515718,-188.91867524094064,-244.6457555917056,-88.17697011934789,0.7802657720941815,-0.2816145930841827,-2.67031519664371,0.7321525209801997,-0.36583563034271654,-3.4689127167705567,0.8844455458329464,-0.13065185834389337,-1.2388620880209469,-210.26103910580397,-273.14273360398084,-97.54819590716116,-0.27104802108376447,-0.36191162075589567,-0.11901456750522876,-21.342363864863344,-28.496978012275253,-9.37122578781329,0.1377
28049001300,28049001300,Census Tract 13; Hinds County; Mississippi,2361,1136,395,Jackson city,Mississippi,140201,0.6526147252112299,0.24117901609067857,28049,2361,1136,395,0.014834,0.00746626930099999,0.00395401996,0.7980465476509231,0.7103960893114247,0.8450816190116988,-0.25305974061730324,-0.4076654067300449,-0.18331765536383848,-8.862930022060617,-14.277695707146462,-6.420347809314213,-375.3888192317076,-604.7308643433487,-271.93340996671805,0.7802450920112113,0.6865159285781955,0.83097607735782,-0.281648561764527,-0.4566304412936837,-0.20340407774386263,-9.8641984206726,-15.99260173608134,-7.123836066725054,-417.7974765214994,-677.3655966150504,-375.3888192317076,-1.001268398611984,-1.7149060289348783,-0.7034882574108412,-42.40865728979178,-72.63473227170176,-29.796198958527793,0.8691249412851078,0.8286227497757793,0.9111607468742507,-0.15058256011083682,-0.20682180192445165,-0.09750118563657786,-0.6763817252757848,-0.9289952774567012,-0.4379525763724686,-59.54064483061485,-81.77775329724481,-38.552163413069415,0.8570189685792645,0.8131909522145309,0.9027229882499798,-0.16683531714328836,-0.2297234705781458,-0.10775953755049664,-0.7493853176838713,-1.03186422950718,-0.4840306996353178,-65.96701740174923,-90.83311879464613,-42.60833623550333,-0.07300359240808652,-0.10286895205047895,-0.04607812326284921,-6.426372571134377,-9.055365497401317,-4.0561728224339095,0.8286227497757793,0.789613325404598,0.9111607468742507,-0.20682180192445165,-0.2664426597507074,-0.09750118563657786,-0.6099539718419842,-0.7857863971345305,-0.28754819310614593,-154.4187270486036,-198.9332650973495,-72.79701091294834,0.8131909522145309,-0.2297234705781458,-0.6774950319582307,0.7711802801592986,-0.2967136553251015,-0.8750609020968138,0.9027229882499798,-0.10775953755049664,-0.31780188220577577,-171.51772960967867,-221.53440559413008,-80.45617271032297,-0.0675410601162465,-0.08927450496228329,-0.03025368909962983,-17.09900256107506,-22.60114049678058,-7.659161797374641,0.595
28049010102,28049010102,Census Tract 101.02; Hinds County; Mississippi,3125,2222,659,Jackson city,Mississippi,107331,0.6398495792423129,0.24212387227153437,28049,3125,2222,659,0.014834,0.00746626930099999,0.00395401996,0.8022160120639921,0.7160293604647227,0.8483738296772275,-0.2465470458849815,-0.3965907757622853,-0.1787256572735868,-11.428996495805674,-18.38446114893044,-8.285051249988708,-365.7278878657815,-588.302756765774,-265.12163999963866,0.7847303666156182,0.6925065951461546,0.8345377553771889,-0.27432305737421087,-0.444029568828797,-0.1982681353320277,-12.716588228403264,-20.58354570001992,-9.19096724848531,-406.9308233089045,-658.6734624006375,-365.7278878657815,-1.2875917325975903,-2.1990845510894843,-0.9059159984966012,-41.2029354431229,-70.3707056348635,-28.98931195189124,0.8719455908166849,0.8322288592989947,0.91312101674698,-0.14686055016732905,-0.20159255333000917,-0.09514509211772255,-1.2902921727634011,-1.7711583767916783,-0.8359288283781793,-58.06895466982003,-79.71009796542207,-37.62055933295136,0.8600789615792981,0.8170846447164483,0.9048595464870588,-0.16268394492963237,-0.22386341056137288,-0.10514389098540831,-1.4293138663705884,-1.9668263947421685,-0.923776598942235,-64.32555654233072,-88.51603936733432,-41.574104362836856,-0.1390216936071873,-0.19566801795049016,-0.08784777056405568,-6.2566018725106805,-8.805941401912248,-3.9535450298854937,0.8322288592989947,0.7939335366126513,0.91312101674698,-0.20159255333000917,-0.2595512771340273,-0.09514509211772255,-0.9918900885848766,-1.2770627437182454,-0.4681396821963641,-150.51442922380525,-193.7879732501131,-71.0378880419369,0.8170846447164483,-0.22386341056137288,-1.1014687520185231,0.7758228421172313,-0.28895405718009814,-1.4217324034987655,0.9048595464870588,-0.10514389098540831,-0.5173364869928975,-167.14245098915373,-215.74088065231652,-78.50326054520447,-0.10957866343364651,-0.14466965978052038,-0.04919680479653338,-16.62802176534849,-21.952907402203397,-7.465372503267584,0.3806
