geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
04013422213,04013422213,Census Tract 4222.13; Maricopa County; Arizona,1789,1113,388,Chandler city,Arizona,54944,0.37612540998592936,0.19281048829687925,04013,1789,1113,388,0.010697,0.00781773244399999,0.00314654663299999,0.8934008668938059,0.8429448770065905,0.9193341586664754,-0.11931836766268213,-0.18631719259168303,-0.08774376604316877,-2.2833876076301145,-3.565539631375134,-1.679146571935796,-127.63485788877108,-199.30350091532335,-93.85950653637764,0.8833870053812878,0.8286651851469562,0.9116344672543284,-0.1320066900558263,-0.2067600014143941,-0.09693088175111672,-2.526203183150114,-3.956752294147165,-1.8549597897020436,-141.20755635271738,-221.1711735129774,-127.63485788877108,-0.24281557551999944,-0.3912126627720305,-0.1758132177662477,-13.572698463946308,-21.86767259765402,-9.827457672791937,0.9323117638898244,0.9103435258452836,0.9545766451086451,-0.07260257644692193,-0.09848641925746382,-0.04758481691764519,-0.25426194781486644,-0.3449099194437194,-0.1666470919904555,-22.84473924661873,-30.98921109107991,-14.97278454541379,0.9258002220082416,0.9018324096867112,0.9501493707539412,-0.08014664095759738,-0.10885347350445232,-0.05246609720585555,-0.2806820644387948,-0.38121644649746333,-0.1837418549403356,-25.218514325138795,-34.25125305457892,-16.508702150973548,-0.02642011662392834,-0.03630652705374393,-0.0170947629498801,-2.373775078520067,-3.2620419634990054,-1.5359176055597576,0.9103435258452836,0.8886710069778435,0.9545766451086451,-0.09848641925746382,-0.12527582440295834,-0.04758481691764519,-0.29873690434751493,-0.3799966762309354,-0.14433808241884344,-76.99404751224611,-97.93728768838542,-37.20053670588749,0.9018324096867112,-0.10885347350445232,-0.33018308460564627,0.8782438405895826,-0.13863593888535564,-0.420521646803437,0.9501493707539412,-0.05246609720585555,-0.15914437321047456,-85.09873314578512,-108.3818677328446,-41.01659103362746,-0.03144618025813134,-0.04052497057250154,-0.01480629079163112,-8.104685633539004,-10.44458004445916,-3.81605432773998,0.2699
04013319909,04013319909,Census Tract 3199.09; Maricopa County; Arizona,1738,1415,746,Chandler city,Arizona,80708,0.4239866239669884,0.2116999917447598,04013,1738,1415,746,0.010697,0.00781773244399999,0.00314654663299999,0.8761151018405268,0.8183476508953815,0.9060291871897782,-0.14140253706301611,-0.22197454701051145,-0.10371720264519307,-2.6288691479178388,-4.126814485647564,-1.9282465492170056,-151.25829389630832,-237.4461729371441,-110.94629166956302,0.8646040849664439,0.8021057397517757,0.8971321226745328,-0.15659874546950692,-0.24671841933142857,-0.11466301866306736,-2.911387724139354,-4.5868373671004505,-2.1317444398902894,-167.51367802873156,-263.91469315882915,-151.25829389630832,-0.28251857622151544,-0.46002288145288617,-0.20349789067328383,-16.255384132423213,-26.468520221685047,-11.708739394320128,0.9210541358644864,0.8956416995297396,0.9469158419299047,-0.08571251250222804,-0.11651791171073674,-0.05606005910927066,-0.3816232609320963,-0.518780095530318,-0.24959976018402005,-26.9698417619856,-36.66290427776099,-17.639559023605656,0.913510771734567,0.8858245982112488,0.941764944565076,-0.09467784173054464,-0.12889165870907884,-0.06183608316597291,-0.4215401654254873,-0.5738725148469646,-0.27531671878657704,-29.790824411695212,-40.556361473283715,-19.45701192838,-0.03991690449339097,-0.05509241931664654,-0.02571695860255699,-2.820982649709609,-3.893457195522725,-1.8174529047743455,0.8956416995297396,0.8706752862346272,0.9469158419299047,-0.11651791171073674,-0.14853380566784885,-0.05606005910927066,-0.6795357705813629,-0.8662533734938483,-0.3269438570116828,-91.0905858688154,-116.11975516003328,-43.826254291110295,0.8858245982112488,-0.12889165870907884,-0.7516998145300018,0.8587007438320206,-0.16455005679559592,-0.9596606049840376,0.941764944565076,-0.06183608316597291,-0.3606297933680754,-100.76405020509408,-128.64083176729727,-48.34179535765085,-0.07216404394863885,-0.09340723149018935,-0.03368593635639255,-9.673464336278666,-12.52107660726399,-4.515541066540557,0.056
04013523104,04013523104,Census Tract 5231.04; Maricopa County; Arizona,4889,3237,709,Chandler city,Arizona,80195,0.4028550099163172,0.2355669083453808,04013,4889,3237,709,0.010697,0.00781773244399999,0.00314654663299999,0.8837054656181762,0.8291180279754279,0.9118796723289272,-0.13159874970386495,-0.20610090030467465,-0.096635916278312,-6.882303115271588,-10.778589245103465,-5.0538296841418875,-140.77118255822435,-220.4661330559105,-103.37143964291036,0.8728473448849012,0.8137256280532966,0.9035065138218946,-0.1456757081982828,-0.22891545445402017,-0.10679888268866077,-7.618494724368884,-11.97173642506456,-5.585328771661634,-155.8293050597031,-244.87086162946537,-140.77118255822435,-0.736191609097296,-1.1931471799610982,-0.5314990875197463,-15.05812250147875,-24.404728573554884,-10.871325169150056,0.9260077300911316,0.9021033263729088,0.9502906193720854,-0.07990459205085304,-0.10852046629813995,-0.05230966150203675,-0.8138579506802379,-1.1053212592845612,-0.5327933328754173,-25.142352507885015,-34.146470784200226,-16.459478927260346,0.9189165497963104,0.8928570098666846,0.9454576635738444,-0.08823809977267562,-0.12000016682325568,-0.05768881942316138,-0.8987378223169527,-1.2222462732793458,-0.5875820543957736,-27.76452957420305,-37.75861208771535,-18.152056051769343,-0.08487987163671473,-0.1169250139947846,-0.0547887215203563,-2.622177066318033,-3.6121413035151257,-1.692577124508999,0.9021033263729088,0.8785753593676884,0.9502906193720854,-0.10852046629813995,-0.13820628969118945,-0.05230966150203675,-0.6015042348838369,-0.7660459945725251,-0.28994054294212346,-84.83839702169773,-108.04597948836742,-40.89429378591304,0.8928570098666846,-0.12000016682325568,-0.665133600998841,0.8672751858654638,-0.15303656359323664,-0.8482468259996706,0.9454576635738444,-0.05768881942316138,-0.31975599047969877,-93.81291974595784,-119.63989083211152,-45.0995755260506,-0.06362936611500414,-0.08220083142714552,-0.02981544753757531,-8.974522724260105,-11.59391134374408,-4.205281740137562,0.7652
04013810700,04013810700,Census Tract 8107; Maricopa County; Arizona,5176,3087,1062,Chandler city,Arizona,78248,0.3604644733806658,0.1817577953875296,04013,5176,3087,1062,0.010697,0.00781773244399999,0.00314654663299999,0.8991307703725453,0.8511529435159241,0.923730040147806,-0.11218527154360496,-0.17487698023955806,-0.08256736983457853,-6.211437318057253,-9.682531282254333,-4.571563050903638,-120.00458497019422,-187.06590576225523,-88.32231551204865,0.8896212466862418,0.8375454158344816,0.9164305831561264,-0.12407387270134236,-0.19396510457126445,-0.0911901221760474,-6.869681487497677,-10.73939628934747,-5.048984774283318,-132.72182162862592,-207.48447235988155,-120.00458497019422,-0.6582441694404242,-1.056865007093139,-0.47742172337968025,-12.717236658431688,-20.418566597626327,-9.223758179669248,0.9360252322749912,0.9152064041170612,0.9570968132715588,-0.06834726834181523,-0.09264969683504636,-0.04482638133731625,-0.6638836356626433,-0.8999425883457141,-0.43541609983570545,-21.50578670756862,-29.152659162478592,-14.104829926650646,0.92985731453204,0.9071329776739794,0.9529090624461252,-0.07543381588954873,-0.10237421040975175,-0.04941808133610569,-0.7327180318927436,-0.9944005759676768,-0.4800170701893881,-23.735601940160144,-32.21252270708379,-15.549629743744353,-0.06883439623010035,-0.09445798762196268,-0.04460097035368265,-2.229815232591524,-3.059863544605205,-1.4447998170937044,0.9152064041170612,0.8946398825103039,0.9570968132715588,-0.09264969683504636,-0.11776818756845732,-0.04482638133731625,-0.7692177944083006,-0.9777623520361566,-0.3721679763829802,-72.4310540874106,-92.06801808250064,-35.04406557278533,0.9071329776739794,-0.10237421040975175,-0.8499549056904492,0.8847347394409725,-0.1302822817061065,-1.0816597658476514,0.9529090624461252,-0.04941808133610569,-0.4102902527239576,-80.0334186149199,-101.85120205721763,-38.63373377815043,-0.08073711128214855,-0.10389741381149488,-0.03812227634097737,-7.60236452750928,-9.783183974717032,-3.589668205365101,0.397
04013812100,04013812100,Census Tract 8121; Maricopa County; Arizona,4456,2880,1044,Chandler city,Arizona,130122,0.36715350765949634,0.20101703500079024,04013,4456,2880,1044,0.010697,0.00781773244399999,0.00314654663299999,0.8966789553854568,0.8476374148870892,0.9218499237307936,-0.1152263516323168,-0.17974971660873,-0.08477527009269285,-5.49235991887894,-8.567919793919335,-4.040883781992922,-123.2576283410893,-192.27827185635851,-90.68410641815356,0.8869531387122981,0.8337409448570262,0.9143790066967016,-0.12745528072861473,-0.199413326367802,-0.09363840669594332,-6.075261998722987,-9.50520211320882,-4.463352562316509,-136.33891379539918,-213.3124352156378,-123.2576283410893,-0.5829020798440476,-0.9372823192894852,-0.42246878032358737,-13.081285454309867,-21.03416335927929,-9.480897224497022,0.9344373448903228,0.9131262216975236,0.9560195965086848,-0.0701627085734383,-0.0951388496334888,-0.04600366315913247,-0.6358182751408681,-0.8621534217074326,-0.4168876936868192,-22.077023442391255,-29.93588269817474,-14.475267141903444,0.9281222953460116,0.9048652201332552,0.9517293750859044,-0.0774442172269892,-0.1051369615606782,-0.05071885577739865,-0.7018037019674019,-0.9527568549194948,-0.45961702524284065,-24.368184096090346,-33.08183524026024,-15.958924487598637,-0.06598542682653386,-0.09060343321206232,-0.04272933155602149,-2.2911606536990923,-3.1459525420854977,-1.4836573456951905,0.9131262216975236,0.8920855919017526,0.9560195965086848,-0.0951388496334888,-0.12096867058260058,-0.04600366315913247,-0.7764959546090036,-0.9873115315528752,-0.37546868054296534,-74.37700714645628,-94.57007007211448,-35.96443300219975,0.9048652201332552,-0.1051369615606782,-0.8580976714165806,0.8819565250166196,-0.1338427367280445,-1.0923859603463375,0.9517293750859044,-0.05071885577739865,-0.41395272788420145,-82.19326354564947,-104.63467053125838,-39.650644433352625,-0.081601716807577,-0.10507442879346218,-0.03848404734123611,-7.816256399193199,-10.064600459143886,-3.686211431152884,0.3416
04013812200,04013812200,Census Tract 8122; Maricopa County; Arizona,5090,3793,1034,Chandler city,Arizona,131639,0.4550554634728381,0.24843132220179884,04013,5090,3793,1034,0.010697,0.00781773244399999,0.00314654663299999,0.8650735715580892,0.8027660106596723,0.8974955827983292,-0.15597104440365,-0.2456929998546535,-0.11421161191910172,-8.492269313507947,-13.377426118976214,-6.218563008636033,-166.84222619858443,-262.81780194452284,-122.17216126986312,0.8526255618632039,0.7853221983964321,0.8878417260239537,-0.17284778304645876,-0.27336270646866156,-0.12632687864122785,-9.411169422412163,-14.883978833874938,-6.878211780000341,-184.89527352479692,-292.41608710952727,-166.84222619858443,-0.918900108904216,-1.5065527148987243,-0.6596487713643082,-18.053047326212496,-29.59828516500441,-12.959700812658316,0.9138191744045608,0.8862254213198202,0.9419758138220192,-0.09430840149704035,-0.12838108222029998,-0.06159838217347714,-1.125556755655314,-1.5322091361704795,-0.735167536425383,-29.674578319412447,-40.3957062001181,-19.38221820262017,0.9056206007509487,0.8755856271243317,0.9363618848698044,-0.1042151638012552,-0.1420927537199073,-0.06796316270289446,-1.2437924914028906,-1.6958558976755378,-0.8111302461037343,-32.791787276638296,-44.71014757910724,-21.38492607708237,-0.11823573574757652,-0.1636467615050583,-0.07596270967835128,-3.1172089572258503,-4.314441378989145,-2.002707874462201,0.8862254213198202,0.8591889895334138,0.9419758138220192,-0.12838108222029998,-0.1638882855599141,-0.06159838217347714,-1.0377730160262326,-1.3247967492985286,-0.49793269962323056,-100.36489516694706,-128.12347672132773,-48.155967081550344,0.8755856271243317,-0.1420927537199073,-1.1486117972610772,0.8462478400742821,-0.1816869156348119,-1.4686726046388507,0.9363618848698044,-0.06796316270289446,-0.5493826280092838,-111.08431308134207,-142.03796950085595,-53.13178220592687,-0.1108387812348446,-0.1438758553403221,-0.05144992838605328,-10.719417914395027,-13.914492779528253,-4.975815124376526,0.3015
04013814300,04013814300,Census Tract 8143; Maricopa County; Arizona,2971,2083,869,Chandler city,Arizona,78688,0.4011462185270382,0.2031774856668303,04013,2971,2083,869,0.010697,0.00781773244399999,0.00314654663299999,0.8843221206656808,0.829995135962044,0.9123544149326278,-0.1308096638442581,-0.20482633773618933,-0.0960652830006246,-4.1572340641759675,-6.509542211583895,-3.0530302971375716,-139.92709741420288,-219.1027334764017,-102.76103322576814,0.8735173542593392,0.8146725852527954,0.9040239489976334,-0.14479694664785023,-0.22748699060457145,-0.10616538545110808,-4.601760919665692,-7.229715593674887,-3.3740195017945647,-154.88929382920537,-243.3428338497101,-139.92709741420288,-0.44452685548972415,-0.7201733820909917,-0.3209892046569931,-14.962196415002497,-24.24010037330837,-10.804079591282164,0.9264094609566244,0.9026278735322372,0.950564043154447,-0.07943629911484815,-0.10787626808677882,-0.05200697123099648,-0.5206458906555905,-0.7070487460328304,-0.3408670363370515,-24.99500195178063,-33.943770812905925,-16.364236021941984,0.9193550792480194,0.8934281142285495,0.9457569044126468,-0.08771901365677295,-0.11928423123719624,-0.05735416292946888,-0.5749329274105593,-0.7818194642208462,-0.3759139030136105,-27.60119670718,-37.53333961693933,-18.046754825425374,-0.05428703675496882,-0.07477071818801584,-0.03504686667655898,-2.6061947553993674,-3.589568804033406,-1.682518803483389,0.9026278735322372,0.8792173165019134,0.950564043154447,-0.10787626808677882,-0.13737523275660343,-0.05200697123099648,-0.732869239033938,-0.9332736854731912,-0.3533150535005533,-84.33478009596524,-107.396281412335,-40.65765863067357,0.8934281142285495,-0.11928423123719624,-0.810370485797945,0.8679722816868118,-0.15211052368700798,-1.0333794978324229,0.9457569044126468,-0.05735416292946888,-0.3896417857886565,-93.25322046006272,-118.91593761017526,-44.83795003321708,-0.07750124676400705,-0.10010581235923176,-0.03632673228810312,-8.918440364097474,-11.519656197840249,-4.180291402543513,0.4036
04013523007,04013523007,Census Tract 5230.07; Maricopa County; Arizona,2281,1480,648,Chandler city,Arizona,51849,0.33802693183901805,0.16958838749453345,04013,2281,1480,648,0.010697,0.00781773244399999,0.00314654663299999,0.9074041474447082,0.8630521810304521,0.930064707741768,-0.10204477554576533,-0.1586784924244526,-0.07519400712240487,-2.489877930913771,-3.8717325241322262,-1.8347230210436605,-109.15729640130516,-169.73838334643693,-80.43502941883649,0.898629840455557,0.8504342840720593,0.9233460197681376,-0.11280524525321096,-0.17586980996554885,-0.08301761050652627,-2.7524318530282765,-4.291198213776567,-2.0256178248409387,-120.66777084735976,-188.1279357201476,-109.15729640130516,-0.2625539221145057,-0.41946568964434006,-0.1908948037972782,-11.51047444605461,-18.389552373710657,-8.36890853999466,0.9413713371439976,0.922218790000578,0.9607190764117456,-0.06228005946502955,-0.08434138497587237,-0.04088700282185222,-0.29003132489083816,-0.39276846935921417,-0.19040623437258963,-19.59671114127285,-26.5384100918388,-12.865286106256058,0.9357009445102156,0.914781479315123,0.9568768677183904,-0.06871752761074888,-0.09315724313600912,-0.04506654276681775,-0.32000989959489584,-0.4338229423991743,-0.20986988803774373,-21.62229051316864,-29.312360972917183,-14.180397840388087,-0.02997857470405768,-0.04105447303996012,-0.01946365366515409,-2.0255793718957893,-2.773950881078387,-1.3151117341320335,0.922218790000578,0.9032614682432,0.9607190764117456,-0.08434138497587237,-0.10709914588181392,-0.04088700282185222,-0.427264231340156,-0.5425525589302448,-0.20712908422690723,-65.93583816977717,-83.72724674849457,-31.96436484983136,0.914781479315123,-0.09315724313600912,-0.47192440453356765,0.8941179891244251,-0.11842062475363128,-0.5999059325935379,0.9568768677183904,-0.04506654276681775,-0.2283021764455379,-72.82784020579747,-92.57807601752128,-35.23181735270647,-0.04466017319341164,-0.05735337366329307,-0.02117309221863067,-6.892002036020316,-8.850829269026708,-3.267452502875104,0.2766
04013522904,04013522904,Census Tract 5229.04; Maricopa County; Arizona,3070,1616,521,Chandler city,Arizona,54604,0.361752983510098,0.18041603861667788,04013,3070,1616,521,0.010697,0.00781773244399999,0.00314654663299999,0.8986579559624963,0.8504746145317111,0.9233675749761652,-0.11277042991174832,-0.17581404890094293,-0.08299232840812372,-3.703357236511533,-5.7736964449566965,-2.725450636533817,-120.63052887659715,-188.06828810933865,-88.77689369816994,0.8891066650843912,0.8368112122339377,0.9160350299101528,-0.12472444451317118,-0.1950126687839377,-0.09166130917295028,-4.095924565679193,-6.404175090204069,-3.010138144364761,-133.41773829573918,-208.60505179817815,-120.63052887659715,-0.3925673291676603,-0.6304786452473721,-0.28468750783094343,-12.78720941914203,-20.53676368883948,-9.273208724134966,0.9357191474995268,0.9148053299567844,0.9568892144285274,-0.06869673734073675,-0.09312874253502688,-0.0450530583075066,-0.3493104999253702,-0.47354283291472615,-0.2290866630609215,-21.61574875775806,-29.30339312591127,-14.176154892383758,0.9295228453811144,0.9066956975317356,0.9526817053620602,-0.07582078801945887,-0.10290586215668968,-0.04966852451518086,-0.3855350107305206,-0.5232577200415119,-0.25255547498418157,-23.857364525403504,-32.3798094085094,-15.628432857932028,-0.03622451080515038,-0.04971488712678579,-0.02346881192326005,-2.2416157676454445,-3.0764162825981307,-1.452277965548271,0.9148053299567844,0.8941472808773524,0.9568892144285274,-0.09312874253502688,-0.11838398593437886,-0.0450530583075066,-0.3793169634241862,-0.48218254472609046,-0.18350284568428135,-72.80555919850023,-92.54943276892332,-35.2212755632018,0.9066956975317356,-0.10290586215668968,-0.4191395490725353,0.8841988917060688,-0.1309672624340119,-0.5334347156653956,0.9526817053620602,-0.04966852451518086,-0.2023018177204761,-80.44904972601445,-102.38670166322372,-38.82952355479387,-0.03982258564834912,-0.05125217093930512,-0.01879897203619468,-7.643490527514226,-9.837268894300408,-3.6082479915920698,0.7289
04013810600,04013810600,Census Tract 8106; Maricopa County; Arizona,5063,3259,1760,Chandler city,Arizona,100469,0.38672110335738136,0.19597249878693623,04013,5063,3259,1760,0.010697,0.00781773244399999,0.00314654663299999,0.889544919794801,0.8374364989998099,0.9163719151793298,-0.12417032321501947,-0.1941203914497964,-0.09125998236677142,-6.724929483843473,-10.513349003814684,-4.942541262863543,-132.82499474310632,-207.6505827338472,-97.6208031377354,0.8791939119845569,0.8227105639761195,0.9084038111086788,-0.1374055101709634,-0.21549429870822295,-0.1008320174037258,-7.4417327962588,-11.67093654474606,-5.460952256518836,-146.9826742298795,-230.51425132818608,-132.82499474310632,-0.716803312415327,-1.1575875409313774,-0.5184109936552934,-14.1576794867732,-22.86366859433888,-10.23920587903009,0.9298077079939188,0.9070681194214524,0.95287534389232,-0.07549119178364587,-0.10245303366832204,-0.04945521616204761,-0.7741316338139134,-1.050614415654674,-0.5071432359667696,-23.753655532798817,-32.23732481296943,-15.561314389897808,0.9230653661160136,0.8982637906200922,0.9482867850963136,-0.0833468968808835,-0.11325872248471348,-0.05453330755677882,-0.8546887117722759,-1.1614223833165382,-0.5592170090147037,-26.225489775154216,-35.63738518921566,-17.159159527913584,-0.08055707795836253,-0.11080796766186428,-0.05207377304793414,-2.4718342423554014,-3.4000603762462194,-1.597845138015776,0.9070681194214524,0.8846552572630803,0.95287534389232,-0.10245303366832204,-0.1303838323346089,-0.04945521616204761,-1.4096727133193152,-1.7939784125389775,-0.6804646603305279,-80.09504052950655,-101.9305916215328,-38.662764791507264,0.8982637906200922,-0.11325872248471348,-1.5583504452291366,0.8738793339952786,-0.14432274697252742,-1.9857668536892212,0.9482867850963136,-0.05453330755677882,-0.7503351816668578,-88.54263893347367,-112.82766214143302,-42.63268077652601,-0.14867773190982136,-0.19178844115024377,-0.06987052133632987,-8.447598403967124,-10.897070519900211,-3.969915985018743,0.287
04013811400,04013811400,Census Tract 8114; Maricopa County; Arizona,3657,2455,1035,Chandler city,Arizona,79308,0.3917485505483213,0.19600082829757123,04013,3657,2455,1035,0.010697,0.00781773244399999,0.00314654663299999,0.887721175084485,0.8348354883407642,0.914969729886458,-0.12647983180623054,-0.19784078895292337,-0.0929323313505616,-4.947755560359875,-7.739319776353394,-3.635413271907093,-135.2954760831248,-211.63029194294216,-99.40971484569576,0.8772113399788133,0.8199002004960898,0.9068749359420046,-0.13997614306280212,-0.21966063600781996,-0.10268787940562378,-5.475716802167599,-8.592888824084753,-4.017039863629159,-149.73248023427945,-234.97098233756503,-135.2954760831248,-0.5279612418077244,-0.8535690477313587,-0.3816265917220658,-14.437004151154618,-23.34069039462288,-10.43550975450002,0.9286219366778408,0.905518128799039,0.9520691710712624,-0.07686450266027028,-0.104340121082136,-0.05034385146071499,-0.5937607567153023,-0.806003644144017,-0.38889477333114375,-24.1857742042893,-32.83110566778073,-15.840927630596488,0.9217705585278604,0.8965754945110797,0.9474043026612624,-0.08486867013530815,-0.11535504385530831,-0.05551557786997174,-0.6555911253818388,-0.8910914109883074,-0.4288451806063608,-26.70432282614415,-36.29700248424877,-17.468235462580886,-0.06183036866653657,-0.08508776684429031,-0.03995040727521704,-2.5185486218548503,-3.465896816468037,-1.6273078319844003,0.905518128799039,0.8827562161297937,0.9520691710712624,-0.104340121082136,-0.13281558569389634,-0.05034385146071499,-0.8442527600375176,-1.0746577983152168,-0.4073498775525605,-81.5703149794703,-103.83167133480356,-39.35747609203483,0.8965754945110797,-0.11535504385530831,-0.9333783893391208,0.8718160556662281,-0.1470309516562135,-1.1896793434711996,0.9474043026612624,-0.05551557786997174,-0.4491961419606385,-90.18148689266869,-114.94486410349757,-43.400593426148646,-0.08912562930160317,-0.11502154515598284,-0.04184626440807798,-8.611171913198374,-11.113192768693994,-4.0431173341138145,0.157
