geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
16001001701,16001001701,Census Tract 17.01; Ada County; Idaho,1351,703,224,Boise City city,Idaho,3460,0.5992949843557411,0.2165839535832823,16001,1351,703,224,0.009504,0.00752967584099999,0.003437684209,0.8156073968145235,0.7342242441285595,0.8589184519162372,-0.22608010165877515,-0.36198172152008695,-0.1642548809715422,-2.9028468016089137,-4.647810554072651,-2.1090169032060286,-214.8665286164999,-344.02742813269066,-156.1078388753537,0.7991517804270729,0.7118878699158037,0.8459547356473677,-0.2513267498016362,-0.40471560516724625,-0.18209634376566144,-3.227011340085028,-5.196509517649346,-2.3380995727020917,-238.86094301147503,-384.64171115095087,-214.8665286164999,-0.3241645384761145,-0.5486989635766957,-0.22908266949606304,-23.994414394975166,-40.614283018260224,-16.956526239530945,0.8809676153358627,0.8437898491447152,0.9193767780816092,-0.1351155054874033,-0.18512921317271472,-0.08769334166414422,-0.3265325610423848,-0.4474002882421507,-0.2119277971589091,-46.448443960509934,-63.64157727484363,-30.14620158732704,0.8698731748666688,0.8295789548436248,0.9116809560737126,-0.14959287042421623,-0.20543077203362703,-0.0968749465894805,-0.3615198930507269,-0.49646290310706304,-0.234116908319278,-51.42530484363114,-70.62061210626786,-33.30254741383756,-0.03498733200834209,-0.04906261486491231,-0.02218911116036889,-4.976860883121207,-6.979034831424227,-3.156345826510511,0.8437898491447152,0.8078162132711525,0.9193767780816092,-0.18512921317271472,-0.23790533486648263,-0.08769334166414422,-0.31224770391134404,-0.4012624117351739,-0.14790774569649465,-139.39629638899288,-179.13500523891693,-66.03024361450653,0.8295789548436248,-0.20543077203362703,-0.34648927514422584,0.7907584145137068,-0.26460873718931044,-0.44630163552393864,0.9116809560737126,-0.0968749465894805,-0.16339387566498675,-154.68271211795795,-199.2418015731869,-72.94369449329766,-0.03424157123288179,-0.04503922378876474,-0.0154861299684921,-15.286415728965087,-20.106796334269973,-6.913450878791119,0.4844
16001010501,16001010501,Census Tract 105.01; Ada County; Idaho,6983,4283,1193,Boise City city,Idaho,333453,0.5338051185147245,0.1033548272296361,16001,6983,4283,1193,0.009504,0.00752967584099999,0.003437684209,0.8377061454849934,0.7645876053909171,0.8762239227548648,-0.1937360199512991,-0.3078945995844671,-0.14126078280992468,-12.857568394048537,-20.433866006489765,-9.374974136621637,-184.12671336171468,-292.6230274450776,-134.25424798255244,0.8230019640305574,0.7443376359916245,0.8647222159634828,-0.21506392901253252,-0.3434763360686121,-0.1564407407826215,-14.273025620463066,-22.795298901306698,-10.382413785179477,-204.39675813351093,-326.439909799609,-184.12671336171468,-1.4154572264145298,-2.3614328948169288,-1.00743964855784,-20.27004477179622,-33.816882354531415,-14.42703205725104,0.8957344038061519,0.8627992347340523,0.9295695507065844,-0.1164023573849604,-0.15901818145241892,-0.07576673444163481,-1.7138619199725726,-2.3413203297358836,-1.1155592023857916,-40.015454587265296,-54.665429132287734,-26.046210655750446,0.8859254556956339,0.8501601150703701,0.922805296083518,-0.12876314092904592,-0.176249017418592,-0.08365221162481888,-1.8958571706973568,-2.595020291447599,-1.2316618258092749,-44.26470162730229,-60.588846403165974,-28.756988695056616,-0.18199525072478415,-0.25369996171171527,-0.1161026234234832,-4.2492470400369875,-5.923417270878246,-2.710778039306169,0.8627992347340523,0.8307491066596291,0.9295695507065844,-0.15901818145241892,-0.2037328622848771,-0.07576673444163481,-1.4284449434803053,-1.8301125965189136,-0.6806052472028319,-119.7355359162033,-153.40424111642193,-57.04989498766403,0.8501601150703701,-0.176249017418592,-1.5832278763689152,0.8154866790158303,-0.22626160025918457,-2.032486070724574,0.922805296083518,-0.08365221162481888,-0.7514397260427184,-132.70979684567604,-170.3676505217581,-62.987403691761806,-0.1547829328886099,-0.20237347420566043,-0.07083447883988647,-12.974260929472749,-16.963409405336165,-5.937508704097777,0.1515
16001001003,16001001003,Census Tract 10.03; Ada County; Idaho,2226,1622,307,Boise City city,Idaho,1120,0.6628716373416994,0.1702228489890356,16001,2226,1622,307,0.009504,0.00752967584099999,0.003437684209,0.7947120517838795,0.7059018329147363,0.8424455567680419,-0.2583173965404368,-0.4166275725208195,-0.18702032667416513,-5.464938042739413,-8.814132928003495,-3.956584077167277,-245.50485367203115,-395.96284492378686,-177.7441184711265,0.7766597149436655,0.6817399438762562,0.8281252533466777,-0.2875651726992617,-0.4668349844871517,-0.2075468003888663,-6.083701187369001,-9.87631611565167,-4.390840184534018,-273.30194013337825,-443.679969256589,-245.50485367203115,-0.6187631446295878,-1.062183187648175,-0.4342561073667417,-27.797086461347163,-47.71712433280213,-19.50836061845201,0.8668651361781828,0.8257365326102398,0.9095887016174116,-0.15358197978612845,-0.2110400357834418,-0.09939800068077027,-0.8563614143437197,-1.1767431555338024,-0.5542356763759505,-52.7966346697731,-72.5488998479533,-34.169893734645534,0.8545681261844685,0.8100757829139136,0.90100989996949,-0.17018172028585382,-0.23445240691298333,-0.10986571849417208,-0.9489203022541324,-1.3072887526250383,-0.6126028731272802,-58.50310124871346,-80.59733370068054,-37.76836455778547,-0.09255888791041278,-0.13054559709123592,-0.05836719675132973,-5.706466578940368,-8.048433852727246,-3.5984708231399343,0.8257365326102398,0.7861590356101628,0.9095887016174116,-0.2110400357834418,-0.2720072589687512,-0.09939800068077027,-0.4878423590891636,-0.6287748313351263,-0.22976946038149712,-158.9063058922357,-204.81264864336364,-74.84347243696975,0.8100757829139136,-0.23445240691298333,-0.5419626416284765,0.7674700763101031,-0.30298239744782063,-0.7003772861615122,0.90100989996949,-0.10986571849417208,-0.253966746614,-176.5350624196992,-228.13592383111143,-82.72532462996743,-0.05412028253931289,-0.07160245482638583,-0.02419728623250286,-17.62875652746348,-23.323275187747825,-7.881852192997675,0.3735
16001000810,16001000810,Census Tract 8.10; Ada County; Idaho,2243,1549,411,Boise City city,Idaho,79731,0.6219753252677793,0.2613013454805248,16001,2243,1549,411,0.009504,0.00752967584099999,0.003437684209,0.8080908903924419,0.72399243190695906,0.8530052750946936,-0.23748456007759133,-0.38122990784040534,-0.17232569269749037,-5.062570459886372,-8.126857885950422,-3.673548128959356,-225.7053258977428,-362.32090441152127,-163.77833833969487,0.7910541843027732,0.700982908529748,0.839550623702039,-0.2641359085678681,-0.4265683054918057,-0.1911134025372427,-5.630709835090089,-9.093357908409017,-4.074054607412401,-251.03476750290187,-405.4105175394122,-225.7053258977428,-0.5681393752037174,-0.9665000224585932,-0.4005064784530448,-25.329441605159047,-43.08961312789091,-17.855839431700616,0.8759105637340595,0.8373046617143615,0.915872951929401,-0.14166907148252642,-0.19430841093434695,-0.09185449564087994,-0.7543839578757794,-1.0346870107586308,-0.48912269449579376,-48.701352993917325,-66.79709559448875,-31.57667491903123,0.8643820517435098,0.822568094211355,0.9078597388328128,-0.15689584019351255,-0.2157048237553628,-0.1014917362517332,-0.8354660876987987,-1.1486223278984262,-0.5404407389986363,-53.935835229102565,-74.15250664289388,-34.88965390565761,-0.08108212982301932,-0.11393531713979543,-0.05131804450284255,-5.234482235185237,-7.355411048405128,-3.312978986626375,0.8373046617143615,0.8000226145576803,0.915872951929401,-0.19430841093434695,-0.24996466575246,-0.09185449564087994,-0.601325611828851,-0.7735648438809944,-0.2842618110296075,-146.30793475154525,-188.21529048199375,-69.16345767143736,0.822568094211355,-0.2157048237553628,-0.6675410214895643,0.7823705419374285,-0.2781667335322255,-0.8608416919647154,0.9078597388328128,-0.1014917362517332,-0.3140861484260017,-162.41874002179182,-209.45053332474825,-76.41998745158192,-0.06621540966071326,-0.08727684808372094,-0.02982433739639417,-16.110805270246537,-21.235242842754488,-7.256529780144567,0.10780000000000001
16001000901,16001000901,Census Tract 9.01; Ada County; Idaho,1494,643,293,Boise City city,Idaho,65699,0.5697763874526021,0.2321995835247576,16001,1494,643,293,0.009504,0.00752967584099999,0.003437684209,0.8254949846723201,0.7477578851876086,0.8666759219120932,-0.2113943979889225,-0.3373312669903912,-0.153833831905428,-3.001583983579159,-4.789758564046156,-2.1842828872132065,-200.90923584867195,-320.59963614766775,-146.20367384291876,0.8098151232585622,0.7263352165483115,0.8543629452628092,-0.23484974691033836,-0.37677476902771934,-0.17046274717870824,-3.3346259199859687,-5.34981590283013,-2.420396456084546,-223.20119946358557,-358.0867404839445,-200.90923584867195,-0.33304193640680957,-0.5600573387839738,-0.2361135688713394,-22.291963614913627,-37.487104336276694,-15.804121075725527,0.887593151408435,0.852305646933286,0.9239571121529616,-0.12664231175420582,-0.1732880142213521,-0.08230131772009072,-0.2799340850234867,-0.3830411892728273,-0.18192137961691737,-43.53562753086885,-59.57094700977097,-28.29259403062478,0.8770721821946957,0.8387932027331437,0.9166783916136202,-0.14015701364248295,-0.19218896474312883,-0.0908951374316892,-0.3098074003085293,-0.4248204352222921,-0.2009174246551052,-48.18155525793613,-66.06849692415119,-31.24687786238028,-0.02987331528504261,-0.0417792459494648,-0.01899604503818786,-4.6459277270672805,-6.497549914380219,-2.9542838317554994,0.852305646933286,0.8180734497968785,0.9239571121529616,-0.1732880142213521,-0.22238412730335225,-0.08230131772009072,-0.3823071542456921,-0.49062275449793047,-0.18157275740979367,-130.48025742173792,-167.44803907779198,-61.97022437194323,0.8387932027331437,-0.19218896474312883,-0.4240063371868094,0.8018101098338447,-0.24717808834715896,-0.5453230679138847,0.9166783916136202,-0.0908951374316892,-0.2005323996724431,-144.7120604733138,-186.11708802521665,-68.44109203837648,-0.04169918294111729,-0.05470031341595427,-0.01895964226264943,-14.23180305157587,-18.669048947424667,-6.470867666433252,0.5483
16001001002,16001001002,Census Tract 10.02; Ada County; Idaho,2052,266,131,Boise City city,Idaho,0,NA,NA,16001,2052,266,131,0.009504,0.00752967584099999,0.003437684209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4562
16001001800,16001001800,Census Tract 18; Ada County; Idaho,2822,1929,734,Boise City city,Idaho,19910,0.4838614415006908,0.27007936791062065,16001,2822,1929,734,0.009504,0.00752967584099999,0.003437684209,0.8549605968911405,0.7885844181213638,0.8896553371231557,-0.16964454693732156,-0.26809505364345043,-0.12403079965063954,-4.549915606488482,-7.19038655009279,-3.326541767500452,-161.2301774092304,-254.79753898273532,-117.87887198796784,0.841667794218396,0.7700749753337626,0.8793139584572074,-0.18811722020163213,-0.29857485573607206,-0.13725022829677497,-5.045358023567192,-8.007863620399906,-3.6810906509852543,-178.78660607963118,-283.7655428915629,-161.2301774092304,-0.4954424170787099,-0.8174770703071159,-0.3545488834848025,-17.556428670400777,-28.968003908827637,-12.56374498528712,0.90716194548932,0.8775834335626169,0.9374186143405312,-0.10233900900748602,-0.13949279550597676,-0.06675927350076634,-0.6786399375981752,-0.9250175759533334,-0.44270029231322255,-35.18091952297435,-47.953218038016246,-22.94973003178966,0.8983659980428905,0.8661981621895024,0.9313800482567866,-0.11313206663934446,-0.1544702397801037,-0.07367556549192318,-0.75021186338497,-1.0243373949172845,-0.4885642498677275,-38.89123190176102,-53.101990405250625,-25.327332808072967,-0.07157192578679483,-0.09931981896395103,-0.04586395755450495,-3.710312378786668,-5.148772367234372,-2.3776027762833047,0.8775834335626169,0.8486747057069759,0.9374186143405312,-0.13949279550597676,-0.1783077700742416,-0.06675927350076634,-0.7709462807191414,-0.9854681861055,-0.3689639556096109,-105.03355323149064,-134.25997085905996,-50.267568884143174,0.8661981621895024,-0.1544702397801037,-0.8537233511472814,0.8348633271177719,-0.1978008465796854,-1.093202171772177,0.9313800482567866,-0.07367556549192318,-0.4071887941585057,-116.3110832625724,-148.93762558204045,-55.47531255565472,-0.08277707042813998,-0.1077339856666768,-0.03822483854889474,-11.27753003108174,-14.677654722980492,-5.207743671511546,0.4795
16001001001,16001001001,Census Tract 10.01; Ada County; Idaho,1653,1156,551,Boise City city,Idaho,0,NA,NA,16001,1653,1156,551,0.009504,0.00752967584099999,0.003437684209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0782
16001000601,16001000601,Census Tract 6.01; Ada County; Idaho,1610,1263,328,Boise City city,Idaho,0,NA,NA,16001,1610,1263,328,0.009504,0.00752967584099999,0.003437684209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012
16001000102,16001000102,Census Tract 1.02; Ada County; Idaho,2721,1683,696,Boise City city,Idaho,16375,0.6063945407125786,0.28847783142725475,16001,2721,1683,696,0.009504,0.00752967584099999,0.003437684209,0.8132470413759522,0.7310059596919237,0.8570630745536227,-0.22963865728681415,-0.3679779032464271,-0.16677526974408732,-5.938543858681412,-9.51604988146745,-4.31287251728568,-218.2485798853882,-349.7261992454043,-158.5032163647806,0.7966081424152079,0.7084562066530788,0.8439448414689771,-0.2553223432641995,-0.41151985205161185,-0.18491156158901575,-6.602733840592013,-10.64206139767787,-4.7818839887315985,-242.65835503829524,-391.1084673898519,-218.2485798853882,-0.6641899819106003,-1.1260115162104185,-0.4690114714459188,-24.40977515290703,-41.38226814444758,-17.23673176942002,0.8793814909028324,0.8417544286468003,0.9182785474640546,-0.13716289272057858,-0.18799493767748204,-0.0889941867439132,-0.793572721546473,-1.0876677457772537,-0.514886771308131,-47.15227103662941,-64.62672286258191,-30.59339104623476,0.8681505654543629,0.8273779660240629,0.9104830862175092,-0.15187392578225328,-0.20863745599301672,-0.0983180414195038,-0.8786852057756849,-1.2070975646904711,-0.5688310749273716,-52.20945964204901,-71.72296878731261,-33.79863784476362,-0.08511248422921192,-0.11942981891321748,-0.05394430361924063,-5.0571886054196025,-7.096245924730688,-3.2052467985288553,0.8417544286468003,0.8053684787022132,0.9182785474640546,-0.18799493767748204,-0.24166766696831735,-0.0889941867439132,-0.9852164945604642,-1.2664967186914322,-0.4663877750288996,-141.5540940460437,-181.96791935221728,-67.00973779150857,0.8273779660240629,-0.20863745599301672,-1.0933967986951498,0.7881231609993733,-0.2688372192132483,-1.4088829518114454,0.9104830862175092,-0.0983180414195038,-0.515250874922769,-157.09724119183187,-202.4257114671617,-74.0302981210875,-0.1081803041346856,-0.1423862331200132,-0.04886309989386939,-15.54314714578816,-20.457792114944425,-7.020560329578935,0.6671
16001000501,16001000501,Census Tract 5.01; Ada County; Idaho,2057,1346,405,Boise City city,Idaho,0,NA,NA,16001,2057,1346,405,0.009504,0.00752967584099999,0.003437684209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1678
