geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06059011502,06059011502,Census Tract 115.02; Orange County; California,3522,2315,863,Fullerton city,California,56114,0.35497901720979474,0.22096939046225644,06059,3522,2315,863,0.009319,0.009493868073,0.003212018401,0.901146425244293,0.854046791001202,0.9252747228451084,-0.10969757187785398,-0.17089603349214227,-0.08076009784977214,-3.6004408299452777,-5.60906723939095,-2.6506690052580577,-102.2271672329721,-159.2580136113274,-75.26033518620267,0.8918152626742778,0.8406782891325748,0.9181164480453008,-0.12130846135253356,-0.1895156719603356,-0.08918645573666803,-3.981527847834484,-6.220192038528249,-2.9272348623172526,-113.047355134426,-176.6096546998367,-102.2271672329721,-0.3810870178892065,-0.6111247991372988,-0.2765658570591949,-10.820187901453904,-17.351641088509336,-7.852522914798265,0.9373294197945774,0.9169158290996532,0.9579811089416248,-0.06686078435386922,-0.09061264759921284,-0.04386192030946983,-0.49716493123956673,-0.6737795727113802,-0.3261494582426474,-21.475806964992085,-29.104949145200013,-14.08852951372127,0.931282566740618,0.9089969315916636,0.953877576278384,-0.073787951920849415,-0.10011372453038885,-0.04835256102944108,-0.5486741203764328,-0.744427895264548,-0.35954106598912317,-23.70082593418716,-32.1567125384254,-15.530931576204026,-0.05150918913686608,-0.07064832255316777,-0.03339160774647576,-2.2250189691950792,-3.05176339322539,-1.4424020624827545,0.9169158290996532,0.8967400290621357,0.9579811089416248,-0.09061264759921284,-0.11515039765299624,-0.04386192030946983,-0.74240828253102,-0.9434511761807032,-0.3593698428225691,-86.02645220521669,-109.32226838710348,-41.64192848465459,0.9089969315916636,-0.10011372453038885,-0.8202525834487954,0.8870195913046197,-0.12737081548470627,-1.0435756031192018,0.953877576278384,-0.04835256102944108,-0.396162596954683,-95.04664929881754,-120.92417185622269,-45.90528354051947,-0.07784430091777539,-0.10012442693849866,-0.03679275413211386,-9.020197093600856,-11.601903469119195,-4.263355055864873,0.8039
06059011000,06059011000,Census Tract 110; Orange County; California,3982,2838,1236,Fullerton city,California,93712,0.4362924378163137,0.2323163470688837,06059,3982,2838,1236,0.009319,0.009493868073,0.003212018401,0.8717249923696583,0.8121401919222373,0.902639516872983,-0.14715077433038218,-0.231314506961072,-0.10786197735315552,-5.460508898751599,-8.583678403454256,-4.002570084011053,-137.12980659848316,-215.56198903702295,-100.51657669540565,0.859839608741816,0.7954155997597532,0.8934407913732267,-0.16300760029335887,-0.2572044102504896,-0.1192683495713138,-6.0489280876468365,-9.544407614313013,-4.425840687126502,-151.90678271338115,-239.68878991243128,-137.12980659848316,-0.5884191888952373,-0.9607292108587568,-0.4232706031154496,-14.776976114897971,-24.126800875408257,-10.6295982701017,0.9181816707765632,0.8919001723110551,0.944956093833941,-0.08910908573707188,-0.12120171185620587,-0.05825022614831881,-0.8122924255117152,-1.1048394412926963,-0.5309920654358027,-28.622002308376153,-38.93021287148332,-18.710079825081134,0.9103774270660412,0.8817548814167979,0.9396211700525549,-0.09844551311294455,-0.13410202889175574,-0.0642586947504259,-0.8974005733064184,-1.2224349673605552,-0.5857635120738874,-31.620879961466468,-43.073818441175305,-20.640010996261008,-0.085108147794703215,-0.11759552606785872,-0.05477144663808475,-2.9988776530903176,-4.143605569691991,-1.9299311711798717,0.8919001723110551,0.8661075165117603,0.944956093833941,-0.12120171185620587,-0.1545910651225963,-0.05825022614831881,-1.422231905354539,-1.814036631437562,-0.6835326733713483,-115.06730625845783,-146.76671775384807,-55.30199622745536,0.8817548814167979,-0.13410202889175574,-1.5736096556862744,0.853746602488112,-0.17130773590858836,-2.0101970831261715,0.9396211700525549,-0.0642586947504259,-0.7540385731425991,-127.3146970619963,-162.63730446004624,-61.006357050372095,-0.1513777503317355,-0.19616045168860952,-0.07050589977125088,-12.24739080353847,-15.870586706198182,-5.704360822916738,0.8007
06059001604,06059001604,Census Tract 16.04; Orange County; California,2502,1917,791,Fullerton city,California,76040,0.49280297162360953,0.24134375413971873,06059,2502,1917,791,0.009319,0.009493868073,0.003212018401,0.8518455843950035,0.7842335367282902,0.8872356402611766,-0.17392168054755905,-0.2751303701852085,-0.12709629169724154,-4.055181904838802,-6.4149776792294055,-2.963394676501138,-162.07761410227027,-256.3939919755957,-118.44103423265938,0.8382951705940821,0.765402632238782,0.8766835892425634,-0.1928972455982552,-0.30650190877319955,-0.14066239207691733,-4.497618798188811,-7.146440802219331,-3.279703745075511,-179.76094317301403,-285.6291287857447,-162.07761410227027,-0.4424368933500089,-0.7314631229899256,-0.31630906857437324,-17.68332907074376,-29.2351368101489,-12.642248943819874,0.9051053859990288,0.8749180918740099,0.9360085241235916,-0.10484371816684011,-0.14296413491470256,-0.0683663387962468,-0.6455688279478616,-0.8802929791997295,-0.42096157957261865,-33.67599519811485,-45.92034320290712,-21.959393822254498,0.8961259714184651,0.86330476268243606,0.9298390566895928,-0.11591453868602224,-0.15833949171417563,-0.07545493255595641,-0.7137367330160165,-0.974965805019592,-0.4646091651911684,-37.23196312029298,-50.85893609909192,-24.236263181594595,-0.06816790506815484,-0.09467282581986258,-0.04364758561854975,-3.5559679221781346,-4.938592896184798,-2.2768693593401017,0.8749180918740099,0.845437257895849,0.9360085241235916,-0.14296413491470256,-0.18281988481183292,-0.0683663387962468,-1.0736105651161505,-1.372913283211957,-0.5134072519219807,-135.7282636050759,-173.5667867524598,-64.90610011655887,0.86330476268243606,-0.15833949171417563,-1.1890741078584857,0.8313607585264269,-0.2028472474121624,-1.5233117596686878,0.9298390566895928,-0.07545493255595641,-0.5666401075383999,-150.325424508026,-192.580500590226,-71.63591751433627,-0.1154635427423354,-0.15039847645673077,-0.05323285561641922,-14.597160902950112,-19.01371383776622,-6.729817397777398,0.568
06059110603,06059110603,Census Tract 1106.03; Orange County; California,5665,3824,1300,Fullerton city,California,72768,0.3583472525680347,0.2148756136104797,06059,5665,3824,1300,0.009319,0.009493868073,0.003212018401,0.8999082176144678,0.8522687176976453,0.9243259353166572,-0.11122443425493064,-0.17333885338586894,-0.08186945945362689,-5.871775348484921,-9.150928148692,-4.322063555852897,-103.65005028216984,-161.53447747029125,-76.2941492648349,0.8904674304131603,0.838753224683808,0.9170809090723794,-0.1230056999794126,-0.19224578883375215,-0.0904163308900331,-6.493733519082646,-10.149065637292937,-4.773271146551298,-114.62901181081456,-179.1538506141736,-103.65005028216984,-0.6219581705977246,-0.9981374886009357,-0.45120759069840055,-10.978961528644742,-17.619373143882356,-7.964829491586947,0.9365283941948948,0.9158658126870896,0.9574380279885446,-0.0677732850370969,-0.0918630067280994,-0.04445402288947377,-0.8324428837416672,-1.1283311143625645,-0.5460180215224341,-21.76890386353732,-29.50656679818421,-14.278713951946498,0.9304071602877976,0.907851954378722,0.9532827630221932,-0.07479826325785777,-0.10150118108666578,-0.04900669433033596,-0.9187289937496392,-1.2467144810926605,-0.6019373847477111,-24.025339794708135,-32.60236613736036,-15.741040396122152,-0.08628611000797204,-0.1183833667300962,-0.05591936322527702,-2.256435931170817,-3.095799339176156,-1.4623264441756545,0.9158658126870896,0.8954498923381095,0.9574380279885446,-0.0918630067280994,-0.11675707212259497,-0.04445402288947377,-1.133775846665393,-1.4410191111181614,-0.5486528172148222,-87.21352666656871,-110.84762393216629,-42.20406286267863,0.907851954378722,-0.10150118108666578,-1.252730469237634,0.8856159251671014,-0.1291576535407447,-1.594067440334293,0.9532827630221932,-0.04900669433033596,-0.6048420178658607,-96.36388224904876,-122.62057233340714,-46.52630906660467,-0.11895462257224088,-0.15304832921613154,-0.05618920065103849,-9.150355582480069,-11.772948401240887,-4.3222462039260385,0.8527
06059011503,06059011503,Census Tract 115.03; Orange County; California,1158,844,440,Fullerton city,California,45889,0.4673251347372084,0.2229586581057714,06059,1158,844,440,0.009319,0.009493868073,0.003212018401,0.8607514894341031,0.7966945605645837,0.8941476821113717,-0.16177550927904313,-0.2551861773618015,-0.11838348407801798,-1.745784554384885,-2.7538166247544993,-1.2775237668464914,-150.7585970971403,-237.8079986834628,-110.32156881230496,0.847940855910314,0.7787912030362245,0.8841993281529046,-0.17932753567634344,-0.28404121168981183,-0.13096670418083603,-1.935195527152764,-3.0652028999118586,-1.4133143534304822,-167.11533049678445,-264.6980051737356,-150.7585970971403,-0.1894109727678792,-0.3113862751573593,-0.1357905865839908,-16.356733399644146,-26.890006490272825,-11.726302813816131,0.9109776300118562,0.8825340812163956,0.9400320095715268,-0.09772179585461964,-0.13310071676971524,-0.0637935621530664,-0.26491827025545045,-0.3608285270243188,-0.1729407446028326,-31.388420646380386,-42.75219514506147,-20.49060955009865,0.9025234270258096,0.8715747385527934,0.9342366626470232,-0.10800447950189636,-0.14734853566367737,-0.07039258892564342,-0.2927940449646376,-0.3994535594778432,-0.190830333539177,-34.691237555051856,-47.328620791213645,-22.61022909231955,-0.02787577470918717,-0.03862503245352439,-0.0178895889363444,-3.3028169086714656,-4.576425646152179,-2.1196195422209008,0.8825340812163956,0.854694683677103,0.9400320095715268,-0.13310071676971524,-0.17000844757540604,-0.0637935621530664,-0.5560018839907027,-0.7101766199336342,-0.2664849717146928,-126.36406454334151,-161.40377725764415,-60.56476629879383,0.8715747385527934,-0.14734853566367737,-0.6155193256699029,0.8413798419793024,-0.1885238391824933,-0.7875210014381862,0.9342366626470232,-0.07039258892564342,-0.2940510991338709,-139.89075583406884,-178.98204578140593,-66.82979525769792,-0.05951744167920014,-0.07734438150455192,-0.02756612741917807,-13.526691290727308,-17.5782685237618,-6.265028958904108,0.3776
06059021814,06059021814,Census Tract 218.14; Orange County; California,5289,3719,1705,Fullerton city,California,121030,0.44545261669550185,0.23948205904341335,06059,5289,3719,1705,0.009319,0.009493868073,0.003212018401,0.8684713790918493,0.8075500848432874,0.9001245563577223,-0.15144842314284282,-0.2383132870254844,-0.11095735910862745,-7.464618806513257,-11.746030808749897,-5.468887508601618,-141.13478552681522,-222.08415217904889,-103.4011629533299,0.856310090584528,0.7904718594708908,0.8907029093298806,-0.16780125680568292,-0.26506717224489007,-0.12270880618583468,-8.270620395478549,-13.06468141343604,-6.048095076669401,-156.3739912172159,-247.016097815013,-141.13478552681522,-0.8060015889652918,-1.3186506046861446,-0.5792075680677824,-15.23920569040068,-24.93194563596416,-10.951173531249433,0.9160492881479152,0.8891252125428623,0.943499933905102,-0.0916443175473864,-0.12470098237349532,-0.05988348707248632,-1.0947368683962582,-1.489615140173964,-0.7153379812390899,-29.43632343092923,-40.05418500064436,-19.234686239287168,0.908052013430921,0.8787376169952174,0.9380285600273712,-0.10125850194601636,-0.13799612154926405,-0.06606562168087994,-1.2095830738393636,-1.648432177778589,-0.7891866481539538,-32.52441715082989,-44.32460816828688,-21.22039925124909,-0.11484620544310542,-0.15881703760462518,-0.07384866691486391,-3.0880937199006566,-4.270423167642517,-1.9857130119619228,0.8891252125428623,0.8627229336231267,0.943499933905102,-0.12470098237349532,-0.15912068756577374,-0.05988348707248632,-2.0185404212628244,-2.575693740315835,-0.9693367038596432,-118.38946752274629,-151.06708154345074,-56.85259260173861,0.8787376169952174,-0.13799612154926405,-2.233749438239327,0.8500774137199558,-0.17636345097557635,-2.8548031286662185,0.9380285600273712,-0.06606562168087994,-1.0694071953602995,-131.01169725743856,-167.43713364611253,-62.72182963990026,-0.21520901697650263,-0.27910938835038346,-0.10007049150065617,-12.622229734692237,-16.370052102661788,-5.869237038161652,0.3891
06059011200,06059011200,Census Tract 112; Orange County; California,2820,2111,858,Fullerton city,California,63815,0.4658952264888555,0.22113664186256363,06059,2820,2111,858,0.009319,0.009493868073,0.003212018401,0.8612540714373246,0.7973997571595957,0.8945372028680428,-0.16109755897133346,-0.2540761280917407,-0.11789649082656928,-4.233576188791875,-6.677013934277147,-3.0982702623960936,-150.12681520538564,-236.77354376869312,-109.86773980127992,0.8484854840455512,0.7795495209096617,0.8846230429922909,-0.17857054575881778,-0.28279214235561734,-0.13042499618531253,-4.692758942912513,-7.431658728405834,-3.4275141212516154,-166.40989159264228,-263.53399746119976,-150.12681520538564,-0.45918275412063814,-0.7546447941286871,-0.32924385885552176,-16.28307638725667,-26.760453692506637,-11.675314143812829,0.9113083283807965,0.8829634774814219,0.9402583339911624,-0.0973234511932862,-0.13254967561332753,-0.06353750224712071,-0.6599085556483858,-0.8987624659131195,-0.4308205352698789,-31.26047160816607,-42.575199711658904,-20.408362637133056,0.9028838258713628,0.8720412203051717,0.9344840876547202,-0.10756220384711351,-0.14673478353471522,-0.070109179183249,-0.729333143377087,-0.9949455951111228,-0.4753802563025358,-34.54917780090417,-47.13148247802572,-22.5191973615602,-0.06942458772870119,-0.09618312919800344,-0.04455972103265693,-3.288706192738095,-4.556282766366813,-2.11083472442714,0.8829634774814219,0.8552172377649703,0.9402583339911624,-0.13254967561332753,-0.16929355003812346,-0.06353750224712071,-1.0797150364502304,-1.3790210402583771,-0.5175598977309661,-125.84091333918768,-160.72506296717685,-60.321666402210504,0.8720412203051717,-0.14673478353471522,-1.1952632205217697,0.8419457141140854,-0.18772503171682867,-1.52915907583237,0.9344840876547202,-0.070109179183249,-0.571091061574248,-139.3080676598799,-178.2236685119312,-66.5607297872084,-0.1155481840715391,-0.15013803557399277,-0.05353116384328194,-13.467154320692204,-17.498605544754398,-6.239063384997895,0.6437
06059011709,06059011709,Census Tract 117.09; Orange County; California,2419,1772,887,Fullerton city,California,74389,0.41472021840481904,0.20427438327344735,06059,2419,1772,887,0.009319,0.009493868073,0.003212018401,0.8794354861979967,0.8230532272583112,0.9085900430129764,-0.1370930735615771,-0.21498824970423805,-0.10060638204211322,-3.090442682746695,-4.846407232065989,-2.267935564811846,-127.75703525203367,-200.34754989937943,-93.75508742504532,0.8682092019044888,0.8071805980916715,0.8999217960128932,-0.15179613140060846,-0.2388801246761756,-0.11120766763345838,-3.421888731275372,-5.3849936702127605,-2.5069167520617244,-141.45881485222702,-222.612388185728,-127.75703525203367,-0.33144604852867676,-0.5385864381467718,-0.23898118724987816,-13.701779600193332,-22.264838286348564,-9.879338042574542,0.923223061480687,0.8984694642468042,0.9483942346588966,-0.08316185082744394,-0.11300388025797836,-0.05441383282940784,-0.4733320241508095,-0.643183801793804,-0.3097070276657167,-26.7117395118967,-36.297054277302706,-17.477823231699592,0.9158773286534116,0.8889015300492747,0.9433824566225438,-0.0918492779707427,-0.12498400125890964,-0.06001547196473824,-0.5227782237421645,-0.7113710158411265,-0.34158985812351766,-29.502157096058948,-40.14509118742249,-19.27708002954389,-0.04944619959135499,-0.06818721404732253,-0.03188283045780094,-2.7904175841622454,-3.8480369101197818,-1.7992567978442968,0.8984694642468042,0.8741307571709825,0.9483942346588966,-0.11300388025797836,-0.1439936094187761,-0.05441383282940784,-0.9516125667139196,-1.212578965753955,-0.4582222044528341,-107.28439309063354,-136.70563311769504,-51.65977502286744,0.8889015300492747,-0.12498400125890964,-1.0524978962195377,0.8624502288295194,-0.1594871988812123,-1.343051427427851,0.9433824566225438,-0.06001547196473824,-0.5053939492036127,-118.6581619187754,-151.41504255105428,-56.977897317205496,-0.10088532950561813,-0.13047246167389637,-0.04717174475077856,-11.37376882814184,-14.70940943335923,-5.318122294338057,0.1818
06059110401,06059110401,Census Tract 1104.01; Orange County; California,3346,2331,814,Fullerton city,California,76028,0.38426697465410375,0.21546716018601855,06059,3346,2331,814,0.009319,0.009493868073,0.003212018401,0.8904365340436781,0.8387091140240712,0.9170571667413804,-0.12304466603449986,-0.19230849322963203,-0.09044456143704124,-3.836701750326837,-5.996443050769624,-2.82018569643436,-114.66532427755044,-179.2122848406941,-84.2852868031787,0.8801633236287756,0.824085928767511,0.909151061464425,-0.13615277205275558,-0.213465689792305,-0.09992722044369506,-4.24543050651372,-6.656153509581844,-3.1158680334353015,-126.88076827596292,-198.928676317449,-114.66532427755044,-0.40872875618688287,-0.6597104588122198,-0.2956823370009416,-12.21544399841252,-19.716391476754925,-8.836889928300705,0.9303870874656116,0.907825704672142,0.9532691219130388,-0.07482145170782102,-0.10153303090392922,-0.04902170542687975,-0.5602042875225509,-0.7601996210880158,-0.36703604293920616,-24.032787967505403,-32.61259635727223,-15.745861987953932,0.9236980818449168,0.8990890801161038,0.9487178639688176,-0.08260482473091664,-0.11223684295093996,-0.05405414821288524,-0.6184800739367531,-0.8403413620553881,-0.4047150235134032,-26.532821704708415,-36.050680482856635,-17.362291871016865,-0.05827578641420217,-0.08014174096737237,-0.03767898057419699,-2.50003373720301,-3.4380841255843997,-1.6164298830629342,0.907825704672142,0.8855837500896989,0.9532691219130388,-0.10153303090392922,-0.12919867815857292,-0.04902170542687975,-0.784648137169341,-0.9984484973937908,-0.37884016168551926,-96.3941200453736,-122.65952056434776,-46.54056040362644,0.8990890801161038,-0.11223684295093996,-0.8673672888436826,0.8748882881365082,-0.14300307086059735,-1.1051289630704868,0.9487178639688176,-0.05405414821288524,-0.4177309228722582,-106.5561779906244,-135.7652288784382,-51.31829519315212,-0.08271915167434163,-0.10668046567669598,-0.03889076118673895,-10.162057945250815,-13.105708314090414,-4.777734789525669,0.4582
06059086701,06059086701,Census Tract 867.01; Orange County; California,5335,3528,1673,Fullerton city,California,82780,0.3727510152810136,0.19611103828036863,06059,5335,3528,1673,0.009319,0.009493868073,0.003212018401,0.8946323703191762,0.8447067174176182,0.920279548838616,-0.11777757342184254,-0.18384284081122765,-0.08662634224784238,-5.855531717841334,-9.140089697828294,-4.306790162979776,-109.75692067181508,-171.32314335198302,-80.72708834076431,0.8847265675237805,0.830570577969784,0.9126657397397346,-0.13029272173757914,-0.2039916011043433,-0.0956913976908682,-6.477745657109788,-10.141822893238489,-4.757476300658206,-121.41978738725,-190.0997730691375,-109.75692067181508,-0.6222139392684536,-1.001733195410193,-0.4506861376784306,-11.662866715434932,-18.776629717154503,-8.447725167355776,0.9331106417780882,0.9113891207369584,0.9551190934412932,-0.07168427325451011,-0.09722617622579233,-0.04698985379613859,-0.8123262503784577,-1.1017671183150892,-0.5324890663887369,-23.025120475579868,-31.22922670961137,-15.093227505349688,0.926672887502408,0.9029718762885228,0.950743313361888,-0.07912944630896143,-0.10745420345790958,-0.0518086069561059,-0.896694958271589,-1.217671132306217,-0.58709518162461,-25.416523760532566,-34.51448787716035,-16.641019887318876,-0.08436870789313122,-0.11590401399112782,-0.05460611523587311,-2.391403284952699,-3.285261167548974,-1.5477923819691926,0.9113891207369584,0.8899537199380553,0.9551190934412932,-0.09722617622579233,-0.1236539357008412,-0.04698985379613859,-1.5442668163219584,-1.9640252967159415,-0.746351185843994,-92.30524903299214,-117.39541522510112,-44.611547271009805,0.9029718762885228,-0.10745420345790958,-1.706721040730775,0.8796383697419397,-0.13683080956708488,-2.1733167637303774,0.950743313361888,-0.0518086069561059,-0.8228886049820514,-102.0156031518694,-129.90536543516902,-49.18640794871796,-0.16245422440881652,-0.2092914670144359,-0.07653741913805745,-9.710354118877255,-12.509950210067895,-4.5748606777081555,0.8407
06037503704,06037503704,Census Tract 5037.04; Los Angeles County; California,2329,2054,1266,Fullerton city,California,60602,0.5765911620071547,0.23211966069665585,06037,2329,2054,1266,0.009245,0.009493868073,0.003212018401,0.8232017093137778,0.7446114758389631,0.8648788056950194,-0.2147691005568994,-0.3429822564489587,-0.15623136260854115,-4.624323439396438,-7.384958467867681,-3.363911988298878,-198.55403346485352,-317.08709608706226,-144.4358947315963,0.8073407799639203,0.7229740308045879,0.8524144046410813,-0.23863432247865587,-0.3831755462739287,-0.1731383169446336,-5.138179971053039,-8.250384508029454,-3.7279458508166576,-220.61743113151732,-354.245792530247,-198.55403346485352,-0.5138565316566011,-0.8654260401617728,-0.3640338625177794,-22.06339766666385,-37.15869644318475,-15.630479283717454,0.8860591448093066,0.8503320588061779,0.9228976571376912,-0.12859283249676884,-0.1760111707465765,-0.08354376269784554,-0.8483893858203465,-1.1612311988769692,-0.5511787877145244,-41.30425442163323,-56.53511192195566,-26.834410307425724,0.8754049205583798,0.8366569214998161,0.915522238164449,-0.1423285116585212,-0.19523304511408365,-0.09227275790146,-0.9390103339836684,-1.2880472419824434,-0.6087682095807028,-45.71617984341131,-62.70921333896998,-29.638179629050768,-0.09062094816332188,-0.12681604310547412,-0.05758942186617832,-4.411925421778086,-6.17410141701432,-2.8037693216250403,0.8503320588061779,0.8156939221449736,0.9228976571376912,-0.1760111707465765,-0.22595004431364343,-0.08354376269784554,-2.115519972403918,-2.715747128341629,-1.0041322821012109,-167.10268344422738,-214.51399118022343,-79.31534613753641,0.8366569214998161,-0.19523304511408365,-2.3465522356348094,0.7992450384858039,-0.25118074163404636,-3.019000858616749,0.915522238164449,-0.09227275790146,-1.1090481440543851,-185.35167738031672,-238.46768235519343,-87.60253902483295,-0.23103226323089077,-0.30325373027512015,-0.10491586195317426,-18.248993936089317,-23.953691174969997,-8.287192887296545,0.6536
