geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
12073000200,12073000200,Census Tract 2; Leon County; Florida,3123,1752,994,Tallahassee city,Florida,116814,0.6492033660388108,0.2200284272151484,12073,3123,1752,994,0.009984,0.008241179256,0.003436880739,0.7991586693685154,0.7118971715574868,0.8459601768418851,-0.2513159630617368,-0.40469725116648886,-0.18208874055179772,-7.836039770375772,-12.61847324168316,-5.677532757244751,-250.91385752083804,-404.0497355646225,-181.7973985669149,0.7814412211662206,0.688111782304286,0.8319264096171535,-0.27968677990598306,-0.4532522559798222,-0.20202939639840595,-8.72064274744551,-14.132419845523048,-6.299283044642983,-279.2392810581335,-452.52705237025447,-250.91385752083804,-0.8846029770697381,-1.5139466038398872,-0.6217502873982319,-28.32542353729549,-48.477316805632,-19.908750797253663,0.8698778373960901,0.8295849142004459,0.911684197223566,-0.14958670862729434,-0.20542211277286812,-0.0968710470636544,-0.9007236593156008,-1.236931802424581,-0.5833007811563532,-51.411167769155306,-70.60113027537562,-33.29342358198363,0.8578356539305375,0.8142296826821179,0.90329346789318,-0.16572445481611345,-0.228154685672898,-0.10705992630764384,-0.9978957271663358,-1.3738140591175227,-0.6446522520269168,-56.957518673877615,-78.41404447017824,-36.79521986455004,-0.09717206785073484,-0.13688225669294174,-0.06135147087056358,-5.546350904722308,-7.8129141948026115,-3.501796282566415,0.8295849142004459,0.7907655521145792,0.911684197223566,-0.20542211277286812,-0.2645973225893677,-0.0968710470636544,-1.682762931780409,-2.167510402319938,-0.7935416735865805,-169.29204545074538,-218.05939661166377,-79.83316635679884,0.8142296826821179,-0.228154685672898,-1.8689820807503277,0.7724182319781453,-0.2946354171871669,-2.4135744284765512,0.90329346789318,-0.10705992630764384,-0.8770062435724304,-188.02636627266875,-242.8143288205786,-88.2300043835443,-0.18621914896991856,-0.24606402615661335,-0.08346456998584995,-18.734320821923394,-24.754932208914827,-8.396838026745467,0.3488
12073000400,12073000400,Census Tract 4; Leon County; Florida,1224,462,169,Tallahassee city,Florida,62948,0.6323286863526225,0.22065369991938236,12073,1224,462,169,0.009984,0.008241179256,0.003436880739,0.8046827431178794,0.7193692275553774,0.8503195158959911,-0.24272579293216964,-0.3901067236338234,-0.17602851787576454,-2.966210163560973,-4.767266447202354,-2.151141716305279,-242.3374316634782,-389.48255287600927,-175.7468722471633,0.7873850352765646,0.696060584203474,0.8366433461967887,-0.2700266771627881,-0.4366565536020607,-0.1952524388627455,-3.2998383260269706,-5.33612473414348,-2.386066027917317,-269.5946344793277,-435.95790311629736,-242.3374316634782,-0.3336281624659976,-0.5688582869411265,-0.23492431161203783,-27.257202815849475,-46.47535024028811,-19.193162713401787,0.8736117279498059,0.8343608280521198,0.9142779306667386,-0.14467327762048524,-0.19852222968637895,-0.09375931153751954,-0.22971785820145257,-0.3152213190922718,-0.14887468222944303,-49.72248013018454,-68.22972274724498,-32.22395719252014,0.8618869424648103,0.819387429649177,0.906120717750354,-0.16024498194649076,-0.22042389694476128,-0.10360571214255242,-0.2544432160916631,-0.34999763837104414,-0.16450918014905996,-55.07428919732968,-75.75706458247708,-35.60804765131168,-0.02472535789021052,-0.03477631927877234,-0.01563449791961693,-5.351809067145134,-7.527341835232108,-3.384090458791545,0.8343608280521198,0.79648995046241,0.9142779306667386,-0.19852222968637895,-0.2555086218218325,-0.09375931153751954,-0.27649368051371687,-0.3558620078069427,-0.13058415256767425,-163.60572811462535,-210.5692353887235,-77.26872932998477,0.819387429649177,-0.22042389694476128,-0.3069974311477064,0.7785711925578765,-0.28440405907474303,-0.3961063966027561,0.906120717750354,-0.10360571214255242,-0.14429781852538046,-181.65528470278483,-234.3824831968971,-85.38332457123104,-0.03050375063398952,-0.04024438879581338,-0.0137136659577062,-18.04955658815948,-23.8132478081736,-8.114595241246276,0.7363
12073001002,12073001002,Census Tract 10.02; Leon County; Florida,1762,792,237,Tallahassee city,Florida,58597,0.7400768913693185,0.1783003676671385,12073,1762,792,237,0.009984,0.008241179256,0.003436880739,0.7700559122028228,0.6729729383368128,0.822865639677509,-0.29860700262582096,-0.48594385157804826,-0.21526522895270248,-5.253037057648938,-8.548630935741523,-3.786904576811983,-298.12923142161964,-485.16634141552345,-214.92080458637815,0.7501955531742671,0.6468407332371193,0.8069782334601859,-0.3329857738675564,-0.5459756144228772,-0.2391907966490861,-5.85782180060947,-9.604698181609288,-4.207798570017766,-332.45299662936833,-545.1020534398006,-298.12923142161964,-0.6047847429605318,-1.056067245867764,-0.4208939932057829,-34.323765207748686,-59.93571202427718,-23.887286788069403,0.8500427610292679,0.8043317574515335,0.8978424087272934,-0.17641140639696468,-0.24326808028620803,-0.11378120511985695,-0.4801935321102184,-0.6621780366029458,-0.3097135264106225,-60.63049647856292,-83.6083379549174,-39.10524323366446,0.8363438170439144,0.7870072586692197,0.8882191381638733,-0.1956805079692392,-0.270636311145259,-0.12584829242387197,-0.5326442105190737,-0.7366746222389281,-0.342560253235975,-67.25305688372143,-93.01447250491516,-43.25255722676451,-0.05245067840885537,-0.07449658563598227,-0.0328467268253525,-6.622560405158506,-9.406134549997764,-4.147313993100063,0.8043317574515335,0.7606384721138693,0.8978424087272934,-0.24326808028620803,-0.3146850135267649,-0.11378120511985695,-0.4751413580856888,-0.6146300185392526,-0.22223283984347775,-200.48158569016405,-259.3375605650855,-93.76913073564464,0.7870072586692197,-0.270636311145259,-0.5285958777393688,0.7401097345487687,-0.35115098926469546,-0.6858538848831446,0.8882191381638733,-0.12584829242387197,-0.24580178585161264,-223.036235333067,-289.3898248452087,-103.71383369266356,-0.05345451965367998,-0.071223866343892,-0.02356894600813486,-22.554649642902945,-30.052264280123207,-9.94470295701893,0.8942
12073001401,12073001401,Census Tract 14.01; Leon County; Florida,1873,1044,562,Tallahassee city,Florida,48338,0.694665061479174,0.19334883729023533,12073,1873,1044,562,0.009984,0.008241179256,0.003436880739,0.7844643594041661,0.6921508141680387,0.8343266681241442,-0.2747551727646904,-0.44477183228050415,-0.1985713009130427,-5.137930522865239,-8.317247496344061,-3.713289681355528,-274.3155644882669,-444.06019734885535,-198.25358683158183,0.765650444099279,0.6671458786782536,0.819350528139572,-0.3060790439120203,-0.4989225474662235,-0.22047886180120377,-5.723687915684184,-9.3298676031399,-4.122961771006088,-305.58931744176107,-498.1242713902776,-274.3155644882669,-0.5857573928189455,-1.012620106795838,-0.4096720896505608,-31.27375295349415,-54.06407404142221,-21.87250879074003,0.859897668071403,0.8168538259986562,0.9047330345552924,-0.16292907531988257,-0.2242092381429883,-0.10529842705647924,-0.584606384024744,-0.8044859502109984,-0.377821653772496,-55.99678007899846,-77.05804120795004,-36.189813579741,0.8470156765548882,0.8004952925151265,0.8957204566198136,-0.1806156930499245,-0.249226584278887,-0.1164197407902314,-0.6480677988550162,-0.894250777229681,-0.41772607841081694,-62.07545966044216,-85.65620471548668,-40.01207647613189,-0.06346141483027223,-0.0897648270186826,-0.03990442463832094,-6.0786795814437005,-8.598163507536649,-3.822262896390895,0.8168538259986562,0.7755474717687904,0.9047330345552924,-0.2242092381429883,-0.28941172062530357,-0.10529842705647924,-1.038434669581808,-1.3404227540748117,-0.4876941655639747,-184.7748522387559,-238.5093868460519,-86.7783212747286,0.8004952925151265,-0.249226584278887,-1.1543035774984294,0.7560825677084564,-0.3226068721975846,-1.4941675174047508,0.8957204566198136,-0.1164197407902314,-0.5392030054676159,-205.3920956402899,-265.8661062997777,-95.9435952789352,-0.1158689079166213,-0.15374476332993914,-0.05150883990364119,-20.61724340153404,-27.356719453725827,-9.165274004206616,0.8209
12073001500,12073001500,Census Tract 15; Leon County; Florida,3388,1517,536,Tallahassee city,Florida,101774,0.7227109537583648,0.20307936721551031,12073,3388,1517,536,0.009984,0.008241179256,0.003436880739,0.7755343282248238,0.6802431871154347,0.8272297415119819,-0.2894335732229568,-0.47006249961942465,-0.20885402182498247,-9.790319845656509,-15.900236339126735,-7.0646527006153175,-288.9704795058001,-469.31039962003354,-208.5198553900625,0.7560684726903523,0.6545316035140681,0.8116873064393669,-0.32263152891649516,-0.5278101082226911,-0.232001525792864,-10.913266989771351,-17.853594936238242,-7.847635355152052,-322.1153184702288,-526.9656120495349,-288.9704795058001,-1.1229471441148444,-1.9533585971115048,-0.7829826545367347,-33.1448389644287,-57.655212429501326,-23.1104679615329,0.8537979680684602,0.8090974923209765,0.9004712338499572,-0.17123726853355178,-0.23594499981874953,-0.11052964537746351,-0.8927879802232752,-1.2301577900414151,-0.5762737264873243,-58.852207002193495,-81.09148253404186,-37.98772092863048,0.8404088721739721,0.7921381698766561,0.891080270278288,-0.18989700502946516,-0.2624060271653241,-0.1222333535537668,-0.9900751455719848,-1.3681189205925737,-0.6372939125328468,-65.26533589795548,-90.18582205620127,-42.01014584923183,-0.09728716534870951,-0.13796113055115855,-0.0610201860455225,-6.413128895761998,-9.09433952215943,-4.022424920601352,0.8090974923209765,0.7663056747995511,0.9004712338499572,-0.23594499981874953,-0.30496227926483543,-0.11052964537746351,-1.0422332604018765,-1.3471013620205543,-0.4882395166725747,-194.44650380632024,-251.324880973984,-91.08946206577887,0.7921381698766561,-0.2624060271653241,-1.1591188177401932,0.7461776658654548,-0.34016340309535964,-1.5025943035445564,0.891080270278288,-0.1222333535537668,-0.5399379800464585,-216.2535107724241,-280.3347581239844,-100.73469776986168,-0.11688555733831674,-0.15549294152400184,-0.05169846337388378,-21.80700696610387,-29.009877150000342,-9.645235704082795,0.6726
12073000903,12073000903,Census Tract 9.03; Leon County; Florida,1481,758,241,Tallahassee city,Florida,88057,0.7064657885230247,0.21258877572432017,12073,1481,758,241,0.009984,0.008241179256,0.003436880739,0.7806944530664185,0.6871153100533406,0.8313331409297875,-0.2809108558056116,-0.45535979968539814,-0.20288720702457563,-4.153633310841938,-6.7330884275274006,-2.9999519207763106,-280.46139843632267,-454.63122400590146,-202.56258749333628,0.7616039766675252,0.6618088767351827,0.8161173360838675,-0.31301835420502994,-0.5110102556091003,-0.22531400300659216,-4.628384542855251,-7.555952986553862,-3.3315613439123855,-312.5175248383019,-510.19263920012577,-280.46139843632267,-0.474751232013313,-0.8228645590264616,-0.3316094231360749,-32.05612640197926,-55.56141519422428,-22.3909131084453,0.8573258359155876,0.8135812129313255,0.9029373659099168,-0.1664176653816135,-0.2291335936790003,-0.10749653049552356,-0.4335439129347962,-0.5969286647580918,-0.28004518841839837,-57.19576687794145,-78.75048347732081,-36.9452755169391,0.8442294593130242,0.7969682177192102,0.8937650917731021,-0.18451208847145795,-0.2547551806542961,-0.1188622258854874,-0.4806827005790051,-0.6636768855518215,-0.30965459341329815,-63.414604298021786,-87.55631735512156,-40.85152947404988,-0.04713878764420887,-0.06674822079372966,-0.02960940499489978,-6.218837420080326,-8.805833877800747,-3.906253957110789,0.8135812129313255,0.7716453426532569,0.9029373659099168,-0.2291335936790003,-0.29593213970754895,-0.10749653049552356,-0.4550877755983065,-0.5877579844369126,-0.2135014607080149,-188.833101908011,-243.88298109415464,-88.589817721168,0.7969682177192102,-0.2547551806542961,-0.5059754295501789,0.7518990103900994,-0.32996584139827645,-0.6553531430041349,0.8937650917731021,-0.1188622258854874,-0.23607514337976107,-209.94831101667177,-271.9307647320062,-97.95649102894647,-0.05088765395187245,-0.06759515856722231,-0.02257368267174617,-21.115209108660768,-28.04778363785158,-9.366673307778496,0.6381
12073002512,12073002512,Census Tract 25.12; Leon County; Florida,2393,1962,1019,Tallahassee city,Florida,5550,0.8494698961951711,0.08213991545794466,12073,2393,1962,1019,0.009984,0.008241179256,0.003436880739,0.7364245001906715,0.6289286114603766,0.7958993142948918,-0.3579124536745923,-0.5900055773865862,-0.2564403336443711,-8.5511412644067,-14.09624333331403,-6.126798596615224,-357.33979374871296,-589.0615684627677,-256.03002911054006,0.7142348737164793,0.6004287615329398,0.7779361327228903,-0.4000996546087964,-0.6654765128954263,-0.28545256858021706,-9.559065719212835,-15.89937318886181,-6.819950558178794,-399.4594951614223,-664.4117504747936,-357.33979374871296,-1.007924454806135,-1.8031298555477804,-0.6931519615635704,-42.11970141270936,-75.35018201202593,-28.965815359948618,0.8267644143925542,0.7749497167888512,0.881458220102577,-0.20953440011653937,-0.290406304222791,-0.13448371935725784,-1.4129239875680055,-1.958256177263205,-0.9068452383548962,-72.01447439184534,-99.80918334674848,-46.22045047680409,0.811185077832705,0.7554415648209544,0.87040605868632,-0.23276429427395767,-0.3237291228964982,-0.14888906162862944,-1.5695668808849366,-2.182957275561496,-1.0039827662883904,-79.9983119717093,-111.26183871363384,-51.17139481592204,-0.15664289331693104,-0.22470109829829088,-0.09713752793349428,-7.983837579863968,-11.452655366885368,-4.950944339117956,0.7749497167888512,0.7258902109585845,0.881458220102577,-0.290406304222791,-0.377618798136754,-0.13448371935725784,-2.438762927965768,-3.1711526657919937,-1.1293622225632576,-239.32904101724907,-311.2024205880269,-110.83044382367592,0.7554415648209544,-0.3237291228964982,-2.718600017089072,0.7030043846153949,-0.422466234754834,-3.5477707496561823,0.87040605868632,-0.14888906162862944,-1.2503348536158108,-266.7909732177696,-348.1619970221965,-122.70214461391666,-0.27983708912330396,-0.3766180838641886,-0.12097263105255318,-27.461932200520508,-36.95957643416964,-11.871700790240745,0.0749
12073002420,12073002420,Census Tract 24.20; Leon County; Florida,1840,1186,584,Tallahassee city,Florida,14721,0.8015943432841586,0.1470676448869735,12073,1840,1186,584,0.009984,0.008241179256,0.003436880739,0.7509585631021358,0.6478381823759677,0.8075905639126137,-0.33163139637039163,-0.5435953409421892,-0.2382512187304434,-6.092254464906062,-9.986150826498944,-4.376808308760734,-331.10078613619896,-542.7255883966818,-237.87001678047469,0.7297558266691143,0.6203163025639747,0.7905154448912801,-0.3703213642902775,-0.6120807979198121,-0.26499742220410427,-6.803010841976401,-11.244267023033784,-4.86815104444583,-369.7288501074131,-611.1014686431405,-331.10078613619896,-0.7107563770703393,-1.2581161965348393,-0.49134273568509634,-38.62806397121409,-68.37588024645865,-26.70340954810306,0.8368726276873963,0.7876742441786202,0.8885915986572923,-0.194924970557811,-0.2695603638059681,-0.1253763838315054,-0.7945415779562952,-1.0987659313220015,-0.5110517629571427,-66.99338768602827,-92.64468223625644,-43.090367871597195,0.8221012330103241,0.7690973401338335,0.878157516728556,-0.2163952076050977,-0.3002255342945099,-0.13874786806511644,-0.8820572819414217,-1.2237614764209228,-0.5655558121417499,-74.37245210298666,-103.18393561727848,-47.68598753303119,-0.08751570398512654,-0.1249955450989213,-0.05450404918460716,-7.379064416958392,-10.539253381022032,-4.595619661433993,0.7876742441786202,0.7408979543558731,0.8885915986572923,-0.2695603638059681,-0.3497135389844432,-0.1253763838315054,-1.2973532426075336,-1.6831183464042292,-0.6034175641167058,-222.14952784375575,-288.20519630209407,-103.32492536244962,0.7690973401338335,-0.3002255342945099,-1.4449400680840678,0.719008848796707,-0.3908034674031398,-1.8808779543816068,0.878157516728556,-0.13874786806511644,-0.667772494433678,-247.42124453494313,-322.0681428735628,-114.34460521124625,-0.14758682547653423,-0.19775960797737757,-0.06435493031697226,-25.271716691187372,-33.86294657146876,-11.01967984879662,0.0152
12073002007,12073002007,Census Tract 20.07; Leon County; Florida,3449,836,232,Tallahassee city,Florida,55692,0.6845867029340693,0.21432759355611083,12073,3449,836,232,0.009984,0.008241179256,0.003436880739,0.7876984406981711,0.6964805701773723,0.8368918094408843,-0.269521365452567,-0.4357902328062513,-0.19489758260161016,-9.2809186274279,-15.006356481280426,-6.7112623957312465,-269.0901312678429,-435.09296843376126,-194.58574646944757,0.7691233286161309,0.6717379829779739,0.822121960534225,-0.3001816000033196,-0.4886756820967048,-0.216364539575354,-10.336698162699909,-16.827457196674523,-7.450473109202033,-299.70130944331424,-487.8938010053501,-269.0901312678429,-1.0557795352720074,-1.8211007153940972,-0.7392107134707864,-30.61117817547137,-52.80083257158879,-21.432609842585865,0.8621002371815624,0.8196592068343478,0.9062694443800764,-0.15995792237486103,-0.2200192368510769,-0.10342460092984704,-0.45959626885707583,-0.6321663774587022,-0.29716290377912613,-54.9756302460617,-75.61798773429452,-35.54580188745528,0.8494025120131757,0.8035199307592286,0.8973938138365304,-0.1772981429380188,-0.24452420122936053,-0.11433796910724012,-0.5094187506301857,-0.7025748325669232,-0.3285195457042383,-60.93525725241456,-84.04005174245493,-39.296596376105065,-0.049822481773109883,-0.07040845510822102,-0.03135664192511217,-5.959627006352857,-8.42206400816041,-3.750794488649781,0.8196592068343478,0.778895686711065,0.9062694443800764,-0.2200192368510769,-0.2838689661032295,-0.10342460092984704,-0.4206665691926666,-0.5427442880903276,-0.197743036772407,-181.32179706580456,-233.94150348721016,-85.23406757431337,0.8035199307592286,-0.24452420122936053,-0.4675189237446392,0.7596739403518,-0.3163542236777354,-0.6048545928472574,0.8973938138365304,-0.11433796910724012,-0.21860889020970345,-201.5167774761376,-260.7131865720937,-94.2279699179756,-0.04685235455197256,-0.0621103047569298,-0.02086585343729641,-20.194980410333,-26.771683084883534,-8.993902343662246,0.7179
12073002003,12073002003,Census Tract 20.03; Leon County; Florida,2564,1287,352,Tallahassee city,Florida,138571,0.672445952223244,0.22981789590033264,12073,2564,1287,352,0.009984,0.008241179256,0.003436880739,0.7916120403321033,0.7017323299709175,0.8399923449630796,-0.263245060775569,-0.42504478886051017,-0.1904870395502869,-6.738803992912332,-10.880711348965267,-4.876273153758845,-262.82386867832804,-424.3647171983333,-190.18226028700644,0.7733278134675877,0.6773117880720186,0.8254729779176416,-0.2931126782004883,-0.4764249162804618,-0.2114266932427328,-7.503384414550023,-12.195989997665553,-5.412306846080079,-292.6436979153675,-475.66263641441304,-262.82386867832804,-0.7645804216376915,-1.315278648700284,-0.5360336923212339,-29.81982923703945,-51.29791921607971,-20.906150246537983,0.8647610235230143,0.8230514656632691,0.9081237235634472,-0.1563888436206636,-0.21499085017014588,-0.10117154089536776,-0.6917493783069978,-0.9509616127581688,-0.44750858754661527,-53.74898044343416,-73.88979120110092,-34.771452023824025,0.8522867123109275,0.8071786977070372,0.8994137513825822,-0.17331408029177914,-0.23888304143891895,-0.11183534659415233,-0.7666141939414296,-1.05664311838177,-0.49467743151104593,-59.56598243523152,-82.10125239951591,-38.43647486488314,-0.07486481563443181,-0.10568150562360112,-0.04716884396443066,-5.817001991797344,-8.211461198415007,-3.665022841059104,0.8230514656632691,0.7829482663583637,0.9081237235634472,-0.21499085017014588,-0.2772235956932172,-0.10117154089536776,-0.6236659033975076,-0.8041965698274367,-0.2934880270518101,-177.177813465201,-228.46493461006725,-83.37728041244604,0.8071786977070372,-0.23888304143891895,-0.6929746439322457,0.7640228958612659,-0.3088612990749739,-0.8959742284830962,0.8994137513825822,-0.11183534659415233,-0.32442260873063306,-196.86779657166073,-254.5381330917887,-92.16551384392984,-0.06930874053473812,-0.09177765865565946,-0.03093458167882296,-19.689983106459692,-26.07319848172144,-8.788233431483794,0.946
12073000600,12073000600,Census Tract 6; Leon County; Florida,2689,1225,519,Tallahassee city,Florida,55609,0.658340058144718,0.203691440911904,12073,2689,1225,519,0.009984,0.008241179256,0.003436880739,0.7961835351329909,0.7078839118139498,0.8436091730162802,-0.25599181077383687,-0.4126610074206995,-0.18538303279059015,-6.872606000041739,-11.078700162359342,-4.976973832136188,-255.5822238765987,-412.0007498088264,-185.08641993812523,0.7782417248542874,0.6838458983128551,0.8293835603860465,-0.2849478099972512,-0.46231775677406545,-0.2057147594468089,-7.649987016248763,-12.411833720487172,-5.5228192097142514,-284.49189350125556,-461.57804836322697,-255.5822238765987,-0.7773810162070234,-1.3331335581278303,-0.5458453775780638,-28.90966962465688,-49.577298554400535,-20.29919589356875,0.867862809269622,0.8270104428774281,0.9102829080502922,-0.15225585117719506,-0.20917457404852968,-0.09855956994937996,-0.6410243728309164,-0.8806623791790031,-0.4149534223138553,-52.32852023109521,-71.8908064635921,-33.87374876031472,0.8556500609592286,0.8114506134091286,0.9017663537425324,-0.1687020729934239,-0.23236088983742736,-0.1089346989381184,-0.7102659089930767,-0.9782809168044648,-0.458634571521749,-57.98089053004708,-79.8596666779155,-37.43955685891829,-0.06924153616216033,-0.09761853762546167,-0.04368114920789373,-5.6523702989518645,-7.968860214323404,-3.56580809860357,0.8270104428774281,0.7876832989806934,0.9102829080502922,-0.20917457404852968,-0.2695457695930031,-0.09855956994937996,-0.8946756383157856,-1.152893627549542,-0.42155623625715066,-172.38451605313787,-222.13750049124124,-81.22470833471111,0.8114506134091286,-0.23236088983742736,-0.993847499776398,0.7691070655134159,-0.30020909290756803,-1.2840459364959291,0.9017663537425324,-0.1089346989381184,-0.4659324478155143,-191.49277452339075,-247.40769489324265,-89.77503811474264,-0.0991718614606124,-0.13115230894638708,-0.04437621155836369,-19.10825847025287,-25.27019440200136,-8.550329780031538,0.8049
