geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
04013040530,04013040530,Census Tract 405.30; Maricopa County; Arizona,2253,1533,788,Surprise city,Arizona,63445,0.3193693810491575,0.19901439981567343,04013,2253,1533,788,0.010697,0.00781773244399999,0.00314654663299999,0.9143416720928564,0.8730733638779171,0.9353652587280284,-0.09368306238419426,-0.14537911860959166,-0.06910107112580399,-2.2577937493833544,-3.503686332770605,-1.66535937759713,-100.21277183237258,-155.5120431766802,-73.91741578327253,0.9061902079882744,0.8613027079427997,0.929136152829863,-0.103521083305437,-0.16103199348864852,-0.07626852851899861,-2.494893408350439,-3.880925954986209,-1.8380975448760912,-110.73650281182596,-172.25592343480733,-100.21277183237258,-0.23709965896708465,-0.37723962221560425,-0.1727381672789614,-10.52373097945338,-16.74388025812713,-7.667029173500285,0.9458400425478656,0.9280907154469156,0.9637415438760694,-0.05726122284508133,-0.07748087913847614,-0.03762259327132755,-0.27620844047915355,-0.3737411066419547,-0.18147844733196283,-18.017510794465338,-24.3797199375052,-11.838124418262415,0.94058806930192,0.9211905430558808,0.9601888057855806,-0.06316466542274336,-0.08555174338056426,-0.04146183956169719,-0.3046846166210036,-0.4126721792747778,-0.19999765069140457,-19.875056531050465,-26.919255008139448,-13.046161167084447,-0.02847617614185005,-0.03893107263282303,-0.01851920335944173,-1.8575457365851304,-2.539535070634248,-1.2080367488220312,0.9280907154469156,0.910493833932534,0.9637415438760694,-0.07748087913847614,-0.09830507657682622,-0.03762259327132755,-0.47731112871284,-0.6055959558128723,-0.2317692140192027,-60.572478263050755,-76.85227865645587,-29.412336804467348,0.9211905430558808,-0.08555174338056426,-0.5270306642151955,0.90199620412436,-0.10865211563809216,-0.6693375775921244,0.9601888057855806,-0.04146183956169719,-0.25542040384356945,-66.88206398669995,-84.94131695331528,-32.41375683294029,-0.04971953550235553,-0.06374162177925213,-0.02365118982436676,-6.309585723649178,-8.089038296859407,-3.0014200284729387,0.3467
04013061029,04013061029,Census Tract 610.29; Maricopa County; Arizona,3073,1921,747,Surprise city,Arizona,81427,0.27760940819788404,0.1645345574437879,04013,3073,1921,747,0.010697,0.00781773244399999,0.00314654663299999,0.9300623027429444,0.8959268245567861,0.9473388665698772,-0.07519678740961207,-0.11616258447747538,-0.05558848611458129,-2.4718598473110664,-3.818482653596018,-1.8272981005286688,-80.43800349206204,-124.25911661555544,-59.46300359676761,0.9233433933805708,0.8861348029067035,0.942227750785292,-0.08302069107655806,-0.12849647335799846,-0.06131452737043482,-2.729046277606378,-4.223920781143796,-2.0155238472921764,-88.80723324459416,-137.45267755105098,-80.43800349206204,-0.2571864302953122,-0.4054381275477783,-0.18822574676350776,-8.369229752532124,-13.193560935495553,-6.125146331386521,0.955919078791022,0.941369308613592,0.970541039059531,-0.04611365353720973,-0.06228234854263159,-0.03035313269082896,-0.2787347204051176,-0.3764666573902299,-0.1834699986885831,-14.50987612728358,-19.597431410214984,-9.55075474693301,0.9516193023653986,0.9356987265678474,0.9676433014706368,-0.05084039123034138,-0.06872006085549606,-0.03343866327621661,-0.3073055624066144,-0.41537951299658354,-0.20212053793344004,-15.99716618462334,-21.623087610441623,-10.521631334380013,-0.02857084200149678,-0.03891285560635366,-0.01865053924485693,-1.48729005733976,-2.025656200226635,-0.9708765874470032,0.941369308613592,0.926892118535989,0.970541039059531,-0.06228234854263159,-0.07887420769040926,-0.03035313269082896,-0.3637193324570145,-0.4606132369847117,-0.17725762464995554,-48.6906736890247,-61.66174524561066,-23.729267021413055,0.9356987265678474,-0.06872006085549606,-0.4013145818298384,0.9198819734568622,-0.08709598497952842,-0.5086271513148971,0.9676433014706368,-0.03343866327621661,-0.19527664851551704,-53.723504930366595,-68.0893107516596,-26.141452277846987,-0.03759524937282393,-0.04801391433018542,-0.01801902386556148,-5.032831241341892,-6.427565506048919,-2.412185256433933,0.619
04013061038,04013061038,Census Tract 610.38; Maricopa County; Arizona,3044,2373,711,Surprise city,Arizona,79967,0.3681901334984951,0.20989419749437568,04013,3044,2373,711,0.010697,0.00781773244399999,0.00314654663299999,0.8962995868221082,0.8470939006566046,0.9215588973950298,-0.11569838333360026,-0.18050667018718217,-0.0851178398111066,-3.767332346245425,-5.877598266420523,-2.7715788408064355,-123.7625606519522,-193.08798509922875,-91.05055324594072,0.8865403683235186,0.833152899683481,0.9140614771504258,-0.1279802203378938,-0.20025988072526063,-0.0940183182399135,-4.167249445209346,-6.520795749895536,-3.0613932644464072,-136.900441695445,-214.21799441181128,-123.7625606519522,-0.39991709896392136,-0.6431974834750127,-0.2898144236399718,-13.137881043492818,-21.130009312582544,-9.520841775294736,0.9341915049540856,0.9128042710928564,0.9558527645479108,-0.07044433041504564,-0.09552511055053284,-0.04618622981434762,-0.5259905676269653,-0.7132626121231738,-0.34486126979226023,-22.16563706814013,-30.057421496973188,-14.532712591329972,0.9278537025098788,0.90451428459145,0.9515466850634748,-0.07775611316198093,-0.10556573515218586,-0.05092058613318902,-0.5805858591822404,-0.7882334976782837,-0.3802115492657639,-24.46632360649981,-33.21675085032801,-16.02239988477724,-0.05459529155527509,-0.07497088555510989,-0.03535027947350366,-2.3006865383596753,-3.159329353354821,-1.4896872934472678,0.9128042710928564,0.8916903966773903,0.9558527645479108,-0.09552511055053284,-0.1214654814341302,-0.04618622981434762,-0.5309675164929545,-0.6751546755089459,-0.25672189856010813,-74.67897559675872,-94.95846350336792,-36.107158728566546,0.90451428459145,-0.10556573515218586,-0.5867774022711816,0.8815267557013383,-0.13439551724599097,-0.7470250870020251,0.9515466850634748,-0.05092058613318902,-0.28303738149774,-82.52846726739544,-105.06681955021448,-39.808351828092825,-0.0558098857782271,-0.07187041149307916,-0.02631548293763186,-7.849491670636723,-10.108356046846575,-3.701193099526282,0.6211
04013061059,04013061059,Census Tract 610.59; Maricopa County; Arizona,3400,2567,886,Surprise city,Arizona,79724,0.3711268111999167,0.21023150661286769,04013,3400,2567,886,0.010697,0.00781773244399999,0.00314654663299999,0.8952257373462038,0.8455560598828352,0.9207349418893512,-0.11703669620177334,-0.18265369671475756,-0.08608889975218774,-4.256601233519256,-6.64307841877639,-3.1310360662071175,-125.19415392703696,-195.38465937577615,-92.08929606491522,0.8853720656032071,0.8314892657613641,0.9131625399888124,-0.12946865939202232,-0.20266134654707404,-0.09509529378225648,-4.708749248355973,-7.370752641647773,-3.4585968158019114,-138.49262495164626,-216.78684240140512,-125.19415392703696,-0.45214801483671696,-0.727674222871384,-0.32756074959479387,-13.298471024609322,-21.40218302562894,-9.634139693964526,0.9334954112600742,0.9118928270532444,0.9553803010537038,-0.07124254488852273,-0.09662009649913736,-0.04670359949549357,-0.5754392296762686,-0.7804184141331453,-0.37723362295449664,-22.416798974533258,-30.40196393194956,-14.695505374152576,0.9270932225189226,0.9035208511592054,0.9510293292807234,-0.07864017955280582,-0.1067813196751498,-0.05149228232142307,-0.635191294952748,-0.8624924956545543,-0.4159127010366831,-24.744499219039657,-33.59924018911392,-16.202286756395914,-0.05975206527647936,-0.08207408152140905,-0.03867907808218651,-2.327700244506403,-3.197276257164358,-1.506781382243339,0.9118928270532444,0.8905717906035193,0.9553803010537038,-0.09662009649913736,-0.12287410240371952,-0.04670359949549357,-0.669240155945333,-0.8510888152035976,-0.3234929930943668,-75.53500631437167,-96.05968568889364,-36.5116245027502,0.9035208511592054,-0.1067813196751498,-0.7396219794924729,0.8803103904202937,-0.13596296361168922,-0.9417489556232116,0.9510293292807234,-0.05149228232142307,-0.3566618571021399,-83.4787787237554,-106.29220718094942,-40.25528861197967,-0.07038182354713984,-0.09066014041961412,-0.03316886400777308,-7.943772409383729,-10.23252149205577,-3.743664109229467,0.1354
04013060901,04013060901,Census Tract 609.01; Maricopa County; Arizona,3047,1879,467,Surprise city,Arizona,63362,0.2837716415046563,0.16121832857488042,04013,3047,1879,467,0.010697,0.00781773244399999,0.00314654663299999,0.9277256279719484,0.8925172434700458,0.94556241007051,-0.07790489973425299,-0.1204265321665592,-0.05757165190759922,-2.539213526857406,-3.925153366642578,-1.876476547508179,-83.33487124573043,-128.82026145856835,-61.58439604555888,0.920791940463633,0.8824259618539055,0.9402843738076556,-0.08602166901730755,-0.13323955009107044,-0.06350804911340543,-2.8037695487278893,-4.342777784936778,-2.0699660473625,-92.01737934781389,-142.52634673241803,-83.33487124573043,-0.26455602187048344,-0.4176244182941997,-0.19348949985432107,-8.682508102083473,-13.706085273849675,-6.350164091050905,0.9544250567123866,0.9393979936334051,0.9695346750247243,-0.04775120159208817,-0.06451153480986084,-0.031422625471852,-0.2823223478890325,-0.38141549042113854,-0.18578190923515625,-15.025138259128925,-20.298855264562988,-9.887275637847592,0.9499833982005408,0.93354356810978,0.9665396634352724,-0.0526499746145044,-0.07118728483640002,-0.03461868956914085,-0.3112856630591612,-0.4208849353476321,-0.20467819435188375,-16.566560035080425,-22.39941114143864,-10.892932110265235,-0.02896331517012873,-0.03946944492649351,-0.01889628511672753,-1.5414217759515023,-2.100555876875653,-1.0056564724176438,0.9393979936334051,0.9244538876355948,0.9695346750247243,-0.06451153480986084,-0.0817197194741902,-0.031422625471852,-0.23552394003069785,-0.2983489753497951,-0.11472026791878946,-50.433391869528435,-63.88629022479552,-24.565367862695815,0.93354356810978,-0.07118728483640002,-0.2598963093061256,0.9172205543861026,-0.09025031680553848,-0.32949317150349433,0.9665396634352724,-0.03461868956914085,-0.126388717770475,-55.65231462657936,-70.55528297719366,-27.06396526134369,-0.02437236927542779,-0.03114419615369923,-0.01166844985168553,-5.21892275705092,-6.668992752398123,-2.498597398647867,0.7812
04013061027,04013061027,Census Tract 610.27; Maricopa County; Arizona,3697,2770,1200,Surprise city,Arizona,75045,0.3287847896066394,0.20277260065940192,04013,3697,2770,1200,0.010697,0.00781773244399999,0.00314654663299999,0.9108340923521552,0.8680017812307919,0.9326866060481024,-0.0978947850069831,-0.15207136854263126,-0.0721715027485083,-3.871426364767225,-6.013937366124047,-2.8541526344382326,-104.71805152196984,-162.67074293005265,-77.20185649007932,0.902367002122283,0.8558007801161993,0.9262096768026986,-0.10819655156725948,-0.16849624729743942,-0.07966913437141752,-4.278828359289062,-6.663488909088604,-3.1506600401817844,-115.73785121149749,-180.24043573407096,-104.71805152196984,-0.40740199452183745,-0.6495515429645566,-0.2965074057435517,-11.019799689527655,-17.569692804018302,-8.020216547026013,0.9435822950679418,0.9251228292591864,0.962215089201526,-0.0597909744883417,-0.0809375451266002,-0.03926867414834339,-0.5211341978044229,-0.7054463154808487,-0.34226317895404806,-18.81350894600805,-25.467376010138945,-12.356071442384408,0.9381186323242908,0.9179506590784436,0.9585160280283282,-0.0659632647124719,-0.08938317120870962,-0.0432793722364815,-0.5749314730971238,-0.779057836465749,-0.377220159479681,-20.755648848271615,-28.12483164136278,-13.618056298905453,-0.05379727529270084,-0.07361152098490031,-0.03495698052563301,-1.942139902263568,-2.657455631223838,-1.2619848565210472,0.9251228292591864,0.9068368597295584,0.962215089201526,-0.0809375451266002,-0.10273417899910388,-0.03926867414834339,-0.7592976869687237,-0.9637779891227972,-0.36839038550684183,-63.27480724739364,-80.31483242689978,-30.69919879223682,0.9179506590784436,-0.08938317120870962,-0.838528461007123,0.8980118773291471,-0.11357101753952784,-1.0654413942202317,0.9585160280283282,-0.0432793722364815,-0.40601586298691306,-69.87737175059358,-88.78678285168597,-33.83465524890942,-0.07923077403839929,-0.10166340509743432,-0.03762547748007122,-6.6025645031999405,-8.471950424786193,-3.1354564566726024,0.5424
04013061033,04013061033,Census Tract 610.33; Maricopa County; Arizona,3878,2370,1104,Surprise city,Arizona,79530,0.3523007340527292,0.21554081102321643,04013,3878,2370,1104,0.010697,0.00781773244399999,0.00314654663299999,0.9021322132039458,0.8554632894613649,0.9260298549670184,-0.10848497078767898,-0.16895723325502543,-0.07987879077140135,-4.50027835469628,-7.008847162572289,-3.3136091616911556,-116.0463732515802,-180.7335524129007,-85.44634248816801,0.8928884597407034,0.8422121746765174,0.9189407008180198,-0.11996071747909252,-0.1873492571917365,-0.08820949938317355,-4.9763263645208005,-7.77180286621006,-3.659191663789209,-128.32197948738528,-200.40750041800055,-116.0463732515802,-0.47604800982452034,-0.762955703637771,-0.3455825020980532,-12.275606235805062,-19.67394800509982,-8.911359002012718,0.937966851587986,0.9177516183745208,0.9584131645805808,-0.06613575768375127,-0.0896194351268523,-0.04339134410535616,-0.493195212215886,-0.6683204044839288,-0.32358294383964514,-20.80992456607114,-28.1991731849759,-13.65328876960528,0.9319792420112656,0.909908401244713,0.9543508123596032,-0.07298527147658518,-0.09901172319328612,-0.04783271208993955,-0.5442741977290788,-0.738361660052029,-0.3567036262420427,-22.965156022324003,-31.154500424136245,-15.050785917385769,-0.05107898551319279,-0.07004125556810015,-0.03312068240239757,-2.15523145625286,-2.9553272391603436,-1.3974971477804885,0.9177516183745208,0.8977672196022942,0.9584131645805808,-0.0896194351268523,-0.1138744856857152,-0.04339134410535616,-0.7734853252269775,-0.982825248463088,-0.3745009981357369,-70.06207656041464,-89.0240261289029,-33.922191860121096,0.909908401244713,-0.09901172319328612,-0.8545480654619282,0.8881373169517539,-0.12595201317762306,-1.0870636903456243,0.9543508123596032,-0.04783271208993955,-0.4128334530897947,-77.40471607445002,-98.46591398058192,-37.39433451900314,-0.08106274023495064,-0.10423844188253628,-0.03833245495405779,-7.342639514035384,-9.441887851679011,-3.472142658882046,0.4881
04013061036,04013061036,Census Tract 610.36; Maricopa County; Arizona,2851,2132,609,Surprise city,Arizona,75757,0.4052128110209105,0.2546233048397718,04013,2851,2132,609,0.010697,0.00781773244399999,0.00314654663299999,0.8828553070420604,0.8279093104657901,0.911225025057859,-0.1326884394572243,-0.20786176379317436,-0.09742376745689596,-4.04661884332757,-6.3391907660797155,-2.9711469574267717,-141.93682368739286,-222.3497287295586,-104.2142040486416,0.8719237054167611,0.8124208174931605,0.9027930397296304,-0.14688933651829217,-0.23088918755878465,-0.10767358186487692,-4.479705688530824,-7.041461493690825,-3.2837370541496855,-157.12752327361713,-246.98216393163187,-141.93682368739286,-0.4330868452032544,-0.7022707276111095,-0.3125900967229138,-15.190699586224284,-24.63243520207329,-10.96422647221725,0.9254537053214462,0.9013800533509012,0.9499134766412142,-0.08055107916247517,-0.10940995008983932,-0.05272745843746324,-0.5403718738002681,-0.7339698034732521,-0.35371885532541697,-25.345772692320267,-34.42635100718819,-16.590940681304737,0.9183118075149764,0.8920695958066829,0.9450449246269076,-0.08895474480076444,-0.1209887711683723,-0.05815075446787689,-0.5967473388464122,-0.8116456000939842,-0.3901006973640201,-27.99002527422196,-38.069681055064926,-18.297406067730773,-0.0563754650461441,-0.0776757966207321,-0.03638184203860312,-2.6442525819016933,-3.643330047876739,-1.7064653864260375,0.9013800533509012,0.877690352371262,0.9499134766412142,-0.10940995008983932,-0.13935398435028157,-0.05272745843746324,-0.5209006693568782,-0.6634641882754213,-0.2510353799723766,-85.53377165137573,-108.94321646558642,-41.22091625162178,0.8920695958066829,-0.1209887711683723,-0.5760274256091095,0.8663142477715349,-0.15431554147049056,-0.7346961476368743,0.9450449246269076,-0.05815075446787689,-0.27685568726657883,-94.58578417226757,-120.63976151672814,-45.46070398465991,-0.05512675625223129,-0.07123195936145299,-0.0258203072942022,-9.052012520891838,-11.696545051141706,-4.2397877330381295,0.1435
04013040522,04013040522,Census Tract 405.22; Maricopa County; Arizona,1195,1175,1104,Surprise city,Arizona,126484,0.29941404112191605,0.196072885845562,04013,1195,1175,1104,0.010697,0.00781773244399999,0.00314654663299999,0.9218204731807282,0.8839204200057181,0.9410679453420756,-0.08480992676319547,-0.13132356416602634,-0.06262252895725041,-1.0841180849701528,-1.6786979582313604,-0.8004984647455706,-90.7211786585902,-140.47681658839838,-66.98731922557076,0.9143468736855604,0.8730808922838923,0.9353692291176804,-0.09367684057275552,-0.14536924222920514,-0.06909653308061561,-1.1974630905100851,-1.8582426670303396,-0.8832551091641975,-100.20611636067656,-155.50147841258072,-90.7211786585902,-0.11334500553993232,-0.1795447087989792,-0.08275664441862685,-9.484937702086388,-15.02466182418236,-6.925242210763753,0.950643064124797,0.934412467588022,0.9669847740253232,-0.05191952451748341,-0.07019120001820797,-0.0341424465632923,-0.19195646594250185,-0.25951036379813813,-0.12623119032442903,-16.336720505744836,-22.085988408352183,-10.74308002761098,0.9458433882570718,0.9280951152861232,0.963743804986586,-0.0572574830202322,-0.07747577110316899,-0.03762015882832945,-0.2116919249833554,-0.28644282387691217,-0.13908896131069115,-18.01633404113663,-24.378112670375504,-11.837358409420524,-0.01973545904085358,-0.02693246007877403,-0.01285777098626211,-1.679613535391794,-2.292124262023322,-1.094278381809542,0.934412467588022,0.9182933745448184,0.9669847740253232,-0.07019120001820797,-0.08897660346910619,-0.0341424465632923,-0.6058045679188641,-0.7679371887858791,-0.2946758294857867,-54.87360216656377,-69.55952796973543,-26.69165122153865,0.9280951152861232,-0.07747577110316899,-0.6686760737123866,0.91049925756215,-0.09829853423218264,-0.8483926908520949,0.963743804986586,-0.03762015882832945,-0.32469118718761314,-60.56848493771617,-76.84716402645788,-29.410433622066407,-0.06287150579352252,-0.08045550206621577,-0.03001535770182645,-5.694882771152402,-7.287636056722444,-2.718782400527758,0.1922
04013040527,04013040527,Census Tract 405.27; Maricopa County; Arizona,2249,1992,981,Surprise city,Arizona,77769,0.31532781021161904,0.21659582740811145,04013,2249,1992,981,0.010697,0.00781773244399999,0.00314654663299999,0.9158514436470108,0.8752594240964559,0.9365174308746256,-0.09188013726101855,-0.14251840365194104,-0.06778578490107452,-2.210411271804229,-3.428644049331965,-1.6307601129042,-98.28418282811155,-152.45193638648132,-72.51045410867941,0.9078362867494962,0.8636752515679228,0.9303951794654872,-0.10152019102529546,-0.15784260135345107,-0.07481210357785904,-2.4423273761611695,-3.7973067477185207,-1.7997961468658334,-108.59614833975851,-168.8442306677866,-98.28418282811155,-0.23191610435694043,-0.36866269838655574,-0.16903603396163347,-10.311965511646974,-16.39229428130528,-7.516053088556402,0.9468108386545574,0.9293676016128144,0.9643975182322004,-0.05617717834855564,-0.07600049567535054,-0.03691681189003988,-0.35211410987710373,-0.4763650947170217,-0.23139165654616908,-17.676411138408824,-23.913910377360526,-11.616047015369931,0.941650069899119,0.9225847709646284,0.9609077420356344,-0.06196561967773455,-0.08391123663837244,-0.04068263398684945,-0.3883956022217985,-0.5259489932777512,-0.25499553154584187,-19.497771195873415,-26.403061911533698,-12.800980499289247,-0.03628149234469474,-0.04958389856072953,-0.02360387499967278,-1.8213600574645956,-2.48915153417317,-1.1849334839193166,0.9293676016128144,0.9120681130588316,0.9643975182322004,-0.07600049567535054,-0.09640934233109898,-0.03691681189003988,-0.5828626615260454,-0.7393820970210508,-0.2831222486390153,-59.415154080126946,-75.3702443446535,-28.86057580418097,0.9225847709646284,-0.08391123663837244,-0.6435316807393703,0.9037118973942084,-0.1065473442182532,-0.8171324157524494,0.9609077420356344,-0.04068263398684945,-0.312003074621469,-65.59955970839657,-83.29586297170738,-31.804594762637,-0.0606690192133249,-0.0777503187313986,-0.02888082598245367,-6.184405628269613,-7.925618627053883,-2.944018958456032,0.1587
04013040506,04013040506,Census Tract 405.06; Maricopa County; Arizona,1818,1735,1573,Surprise city,Arizona,158899,0.32916473473908503,0.2246508046897406,04013,1818,1735,1573,0.010697,0.00781773244399999,0.00314654663299999,0.91069283186372,0.8677977444333067,0.932578674080442,-0.09806508299128058,-0.1523422438174515,-0.07229559048842482,-1.9070859864335503,-2.9626218574855767,-1.405942903384609,-104.90021927577284,-162.96049821152786,-77.33459314546803,0.90221306124804,0.8555794970704965,0.9260917767930128,-0.10838563855048884,-0.16879846165552023,-0.07980658619270546,-2.1077913371945844,-3.282648328390304,-1.5520103334511273,-115.9401175574579,-180.56371443291,-104.90021927577284,-0.20070535076103413,-0.32002647090472713,-0.14606743006651834,-11.039898281685046,-17.60321622138213,-8.034512104868996,0.9434913001620642,0.9250032639500498,0.962153542117146,-0.05989318590243417,-0.08107726639762429,-0.03933515413722415,-0.32697237873504353,-0.44262174829956097,-0.2147407709636474,-18.845670244094727,-25.511339959628874,-12.376989680901868,0.9380191179883116,0.9178201577269128,0.9584485867184532,-0.06607635262766637,-0.08953806645150954,-0.04335278267122375,-0.36072788366940994,-0.48881144213429834,-0.2366740433191299,-20.791232488150428,-28.173570151832756,-13.64115523453198,-0.03375550493436641,-0.04618969383473736,-0.02193327235548248,-1.9455622440557008,-2.6622301922038827,-1.2641655536301142,0.9250032639500498,0.9066895965642272,0.962153542117146,-0.08107726639762429,-0.10291328343168318,-0.03933515413722415,-0.9970309114283976,-1.2655548137842336,-0.48371592091272425,-63.38403759875383,-80.4548514802437,-30.751171068831805,0.9178201577269128,-0.08953806645150954,-1.1010758498426734,0.8978514655682539,-0.11376997014433324,-1.3990626727581672,0.9584485867184532,-0.04335278267122375,-0.5331218767004953,-69.99846470709939,-88.94231867502651,-33.89204556265069,-0.10404493841427565,-0.13350785897393358,-0.04940595578777101,-6.614427108345559,-8.487467194782809,-3.140874493818882,0.1309
