geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
32003001712,32003001712,Census Tract 17.12; Clark County; Nevada,2864,2041,1029,Paradise CDP,Nevada,59877,0.29318657712354995,0.17170220582500592,32003,2864,2041,1029,0.01109,0.007296424454,0.004052580321,0.9241668833823712,0.887332973227664,0.9428546911152088,-0.08205565248138533,-0.12697265871064262,-0.0606088185414867,-2.6062319407571652,-4.03287511252934,-1.9250427483982504,-90.99971860185632,-140.81267851010267,-67.21517976250874,0.9169073247823862,0.8767893827278941,0.9373229330451452,-0.0906227630336954,-0.1405247596506806,-0.06686816757084092,-2.878338450013105,-4.4633136900826,-2.1238506900248324,-100.5006442043682,-155.84195845260476,-90.99971860185632,-0.2721065092559396,-0.43043857755326,-0.19880794162658175,-9.500925602511858,-15.029279942502097,-6.941618073553832,0.9521469308558282,0.9363940992247092,0.96799912177729,-0.05025807214560832,-0.067926422035288,-0.03305878848728186,-0.4157004181374774,-0.5618409309621598,-0.2734397005413657,-20.367487414869053,-27.52772812161489,-13.39733956596598,0.9474894196709356,0.9302604024132932,0.9648559061378356,-0.05542075641045314,-0.07496782342426642,-0.03642418897847738,-0.4584026133468354,-0.6200825899973825,-0.30127599293509005,-22.4597066803937,-30.381312591738485,-14.761195146256249,-0.04270219520935803,-0.05824165903522271,-0.02783629239372437,-2.0922192655246463,-2.853584470123602,-1.363855580290268,0.9363940992247092,0.9207410293814235,0.96799912177729,-0.067926422035288,-0.08608171906037951,-0.03305878848728186,-0.5099929870085188,-0.6463033340343517,-0.24820607036762532,-49.56200068109998,-62.80887599945108,-24.1210952738217,0.9302604024132932,-0.07496782342426642,-0.5628599748387547,0.9131691811603792,-0.0950873295234114,-0.7139176443757801,0.9648559061378356,-0.03642418897847738,-0.2734735671318903,-54.69970600959715,-69.3797516400175,-26.57663431796796,-0.05286698783023591,-0.0676143103414284,-0.02526749676426498,-5.137705328497173,-6.570875640566414,-2.455539044146257,0.812
32003002826,32003002826,Census Tract 28.26; Clark County; Nevada,1631,1292,627,Paradise CDP,Nevada,60587,0.3041804573205421,0.1705019315932928,32003,1631,1292,627,0.01109,0.007296424454,0.004052580321,0.9200285883771824,0.8813173675941818,0.9397026823348412,-0.08692274635060798,-0.13466503301733157,-0.06416637815201331,-1.5722403822130635,-2.43579283756056,-1.1606279730742048,-96.39732570282423,-149.3435216162207,-71.16051337058276,0.9123919708817504,0.8702530648361942,0.933876642345614,-0.09602016667637256,-0.14909104076321492,-0.0708052377113794,-1.736792610607225,-2.696727436206471,-1.2807102706235112,-106.48636484409715,-165.34196420640532,-96.39732570282423,-0.16455222839416117,-0.2609345986459113,-0.12008229754930631,-10.089039141272911,-15.998442590184627,-7.36249525133699,0.9494936299344788,0.9328985873723594,0.9662091242256902,-0.0531929530364583,-0.0719278746220864,-0.03497263162505269,-0.27851477938132513,-0.3766095880784709,-0.1831143831168739,-21.556871469142813,-29.149348922482268,-14.17293986972708,0.9445854704097852,0.926441239604142,0.9628934839749036,-0.05866544778226859,-0.07939927245389995,-0.03853647017312615,-0.30716839945295665,-0.41572933233052295,-0.2017744057384236,-23.774643920507483,-32.17719290483924,-15.617214066441454,-0.02865362007163152,-0.03911974425205206,-0.0186600226215497,-2.217772451364669,-3.0278439823569707,-1.444274196714373,0.9328985873723594,0.9164243697124708,0.9662091242256902,-0.0719278746220864,-0.09119752054798702,-0.03497263162505269,-0.32905982217965696,-0.41721571855720346,-0.15999482821032468,-52.481630331683725,-66.54158190704999,-25.51751646097682,0.926441239604142,-0.07939927245389995,-0.3632404073128525,0.9084610095416964,-0.1007627069261711,-0.4609750892498285,0.9628934839749036,-0.03853647017312615,-0.17629888397545865,-57.933079316244424,-73.52074788673501,-28.117844334203937,-0.03418058513319555,-0.04375937069262503,-0.01630405576513396,-5.451448984560694,-6.979165979685012,-2.600327873227108,0.207
32003001714,32003001714,Census Tract 17.14; Clark County; Nevada,2161,1542,507,Paradise CDP,Nevada,56774,0.2355673197652211,0.12815007861191327,32003,2161,1542,507,0.01109,0.007296424454,0.004052580321,0.9461621829766826,0.9195389954639834,0.9595481991270142,-0.05690125645683742,-0.08750145989775816,-0.04215713281499399,-1.3636664926037727,-2.0970153621651244,-1.0103163449064103,-63.10349341063271,-97.0391190266138,-46.752260291828335,0.9409404621471296,0.911857903095939,0.95559413187036,-0.0627664982310387,-0.09666209680784814,-0.04646938134993084,-1.5042298856909757,-2.3165545144275166,-1.113661494047954,-69.60804653822191,-107.1982653599036,-63.10349341063271,-0.140563393087203,-0.21953915226239215,-0.1033451491415438,-6.504553127589219,-10.15914633328978,-4.78228362524497,0.9661747028201644,0.9549295254753548,0.9774349297601772,-0.03500950405874132,-0.04719769713080075,-0.02308600762340205,-0.2187771515368869,-0.2949421311439316,-0.14426628208535505,-14.18788271964247,-19.12724585888013,-9.355790018505516,0.9628557504284672,0.9505357459941468,0.9752066194075616,-0.03857716958641395,-0.05203828915883576,-0.02542372057267236,-0.2410717747475141,-0.3251913724319196,-0.15887483464565774,-15.633707830578087,-21.088934658360547,-10.303166967941488,-0.02229462321062719,-0.030249241287988,-0.01460855256030269,-1.4458251109356155,-1.9616887994804153,-0.9473769494359722,0.9549295254753548,0.943699534068162,0.9774349297601772,-0.04719769713080075,-0.05965931305394859,-0.02308600762340205,-0.17459783677945373,-0.22069693303256568,-0.08540177245829095,-34.43744315176602,-43.52996706756719,-16.84453105686212,0.9505357459941468,-0.05203828915883576,-0.19250457690036615,0.9382468492819394,-0.0658175945544839,-0.24347818495027235,0.9752066194075616,-0.02542372057267236,-0.09404964404454154,-37.96934455628523,-48.023310641079355,-18.550225649810955,-0.01790674012091242,-0.02278125191770666,-0.00864787158625059,-3.531901404519216,-4.4933435735121625,-1.7056945929488343,0.8167
32003002823,32003002823,Census Tract 28.23; Clark County; Nevada,2908,1800,664,Paradise CDP,Nevada,49805,0.2895119218086741,0.16822294321930278,32003,2908,1800,664,0.01109,0.007296424454,0.004052580321,0.925554236474618,0.8893528045230692,0.943910591730544,-0.08043371267894746,-0.12441316304868154,-0.05942237406894961,-2.593964712456505,-4.012289672634325,-1.9163549254588856,-89.20098736095272,-137.9741978209878,-65.89941284246511,0.9184215389801438,0.878985046502401,0.9384776738539896,-0.0888246383141717,-0.13767578183398424,-0.06555544991641662,-2.864569714733309,-4.440005414927078,-2.1141449042784592,-98.5065238904164,-152.6824420538885,-89.20098736095272,-0.27060500227680384,-0.42771574229275267,-0.19778997881957383,-9.30553652946368,-14.708244232900707,-6.801581114840916,0.9530354371073828,0.937565376520907,0.9685981595978186,-0.0492789261175454,-0.0665922879007902,-0.03241988443919828,-0.3594722512031594,-0.4857670718587958,-0.23649153423730035,-19.970680622397744,-26.98705954771088,-13.13841856873891,0.948462041085571,0.9315404479735948,0.9655127283926864,-0.05433845181135639,-0.07349069186993114,-0.03571912683608574,-0.3963796928717575,-0.5360884769677637,-0.26055833489860336,-22.02109404843097,-29.782693164875766,-14.475463049922409,-0.03690744166859811,-0.05032140510896793,-0.02406680066130301,-2.050413426033228,-2.795633617164885,-1.3370444811835007,0.937565376520907,0.922188382734456,0.9685981595978186,-0.0665922879007902,-0.08437713890389553,-0.03241988443919828,-0.32262803699705694,-0.4087925426522069,-0.15706869377836558,-48.58855978871339,-61.565141965693805,-23.65492376180204,0.9315404479735948,-0.07349069186993114,-0.35604960278396,0.914748301121226,-0.09319689227548077,-0.45152271166685265,0.9655127283926864,-0.03571912683608574,-0.1730529485868362,-53.62192813011445,-68.00040838356215,-26.062191052234365,-0.03342156578690303,-0.04273016901464577,-0.01598425480847062,-5.033368341401059,-6.4352664178683385,-2.4072672904323236,0.7966
32003002995,32003002995,Census Tract 29.95; Clark County; Nevada,1664,1138,326,Paradise CDP,Nevada,62198,0.2158979684114108,0.1874734930161351,32003,1664,1138,326,0.01109,0.007296424454,0.004052580321,0.9537899000783492,0.9307986146898816,0.9653142310001612,-0.04844892980923238,-0.07434624871371849,-0.03593210157473891,-0.89406492295642,-1.3719678306632697,-0.6630823787558539,-53.72986315843871,-82.4499898235138,-39.848700646385446,0.9492880004956976,0.9241475171932784,0.961912524873396,-0.05342108978289168,-0.08207832775127993,-0.03959557043049926,-0.9858199697919352,-1.5146537615234594,-0.7306871537875301,-59.24398856922687,-91.02486547616944,-53.72986315843871,-0.09175504683551504,-0.14268593086018977,-0.06760477503167628,-5.514125410788164,-8.574875652655635,-4.0627869610382374,0.9710104950778355,0.9613405600079816,0.9806770229221762,-0.02985498619130842,-0.04021409435975271,-0.01970371144237285,-0.1376863121967453,-0.1854608243743965,-0.09087029374942186,-12.098972952262327,-16.29708474291709,-7.985087324202272,0.968158173724287,0.9575577876406608,0.9787653811224022,-0.03288907447140028,-0.04432339531582006,-0.021695310528093,-0.1516790309837609,-0.2044122481239138,-0.10005522291770429,-13.328561597870026,-17.962411961679596,-8.792198850413381,-0.0139927187870156,-0.0189514237495173,-0.00918492916828242,-1.2295886456076983,-1.6653272187625048,-0.8071115262111094,0.9613405600079816,0.9516671809995824,0.9806770229221762,-0.04021409435975271,-0.05078752316503256,-0.01970371144237285,-0.09565462708312,-0.12080494826929582,-0.04686792529287657,-29.341910148196312,-37.0567325979435,-14.376664200268886,0.9575577876406608,-0.04432339531582006,-0.1054291515821307,0.946964289473917,-0.05600603012764805,-0.13321786830111523,0.9787653811224022,-0.021695310528093,-0.05160521133342227,-32.340230546665865,-40.8643767794832,-15.829819427430142,-0.00977452449901071,-0.01241292003181941,-0.00473728604054569,-2.998320398469544,-3.807644181539698,-1.4531552271612571,0.8443
32003001710,32003001710,Census Tract 17.10; Clark County; Nevada,2920,1821,706,Paradise CDP,Nevada,65346,0.22830543692793215,0.13579223352837172,32003,2920,1821,706,0.01109,0.007296424454,0.004052580321,0.9489711906386444,0.9236800744283818,0.9616729843181242,-0.05377276977925313,-0.08262593043251326,-0.0398545205146338,-1.7413128492075982,-2.67565898000999,-1.2906009669212837,-59.63400168519172,-91.6321568496572,-44.198663250728885,0.9440137735905716,0.9163760553327248,0.9579220218189788,-0.05930657790773964,-0.09125505209421066,-0.04392630842865484,-1.9205130510707509,-2.9550941009564045,-1.422456860583444,-65.77099489968326,-101.2018527724796,-59.63400168519172,-0.17920020186315266,-0.27943512094641454,-0.13185589366216055,-6.136993214491529,-9.569695922822415,-4.515612796649334,0.9679572563213,0.9572914720935845,0.978630653704098,-0.03310346967228448,-0.04461392287660574,-0.02183596662849192,-0.24429528941606188,-0.32923954222995866,-0.16114394774917182,-13.41544697507204,-18.080150589234417,-8.84920086486391,0.9648100037721874,0.953122252421414,0.9765189974340328,-0.03647349850253183,-0.04918335235536977,-0.02404561777872969,-0.2691652555125473,-0.3629607837805248,-0.17745061809520557,-14.781178226938346,-19.931948587618056,-9.74467974163677,-0.02486996609648539,-0.03372124155056616,-0.01630667034603375,-1.365731251866304,-1.8517979983836443,-0.8954788767728584,0.9572914720935845,0.9466333748119362,0.978630653704098,-0.04461392287660574,-0.05637517819257737,-0.02183596662849192,-0.22981861521320973,-0.29040408350662794,-0.11248308350470863,-32.552211786573615,-41.13372287629291,-15.932448088485645,0.953122252421414,-0.04918335235536977,-0.2533570060879255,0.94145592552149715,-0.06218461522356849,-0.32033009510895705,0.9765189974340328,-0.02404561777872969,-0.12386560570201592,-35.88626148554185,-45.37253471798258,-17.54470335722605,-0.02353839087471576,-0.0299260116023291,-0.01138252219730727,-3.3340496989682387,-4.238811841689675,-1.6122552687404073,0.9373
32003001709,32003001709,Census Tract 17.09; Clark County; Nevada,897,694,264,Paradise CDP,Nevada,50312,0.25956509956646645,0.16051941418488933,32003,897,694,264,0.01109,0.007296424454,0.004052580321,0.936938479108014,0.9059858877005612,0.9525599210223826,-0.06730593555301716,-0.10376995224291138,-0.04980272414432462,-0.6695412742788154,-1.0322754670253769,-0.4954240530522224,-74.64228252829604,-115.08087703738872,-55.231221076056,0.9308553151154692,0.8970849610627016,0.9479414964611446,-0.074280807942697,-0.1147216188034002,-0.05491742236540995,-0.7389254215958052,-1.1412196890191482,-0.5463036899870596,-82.37741600845096,-127.22627525297082,-74.64228252829604,-0.06938414731698983,-0.1089442219937713,-0.05087963693483721,-7.735133480154943,-12.145398215582084,-5.672200327183636,0.960307352129534,0.9471655553996242,0.9734938953284432,-0.04133327500038948,-0.0557816363772689,-0.02722780779494679,-0.11624945330712742,-0.1568853359278542,-0.0765779573693176,-16.75064168690597,-22.605956185569767,-11.034287805377176,0.9564257919471444,0.9420381387924914,0.9708822376087076,-0.0455594238672137,-0.06152814713192433,-0.02999103419896702,-0.12813545787265537,-0.17304734422857382,-0.0843495060508132,-18.463322460036796,-24.934775825442916,-12.154107500117178,-0.01188600456552792,-0.01616200830071962,-0.00777154868149559,-1.712680773130825,-2.3288196398731444,-1.11981969474,0.9471655553996242,0.934068817042646,0.9734938953284432,-0.0557816363772689,-0.07058493095412258,-0.02722780779494679,-0.10744971487727158,-0.13596465070255626,-0.05244772965269945,-40.70064957472408,-51.50176162975616,-19.866564262386156,0.9420381387924914,-0.06152814713192433,-0.11851896601846822,0.9277196622695072,-0.07791183120305056,-0.1500781366777066,0.9708822376087076,-0.02999103419896702,-0.05777041124714463,-44.89354773426827,-56.847779044585835,-21.88273153300933,-0.01106925114119664,-0.01411348597515035,-0.00532268159444517,-4.192898159544182,-5.346017414829681,-2.016167270623173,0.7586
32003002708,32003002708,Census Tract 27.08; Clark County; Nevada,1975,1116,312,Paradise CDP,Nevada,31249,0.21685387217163285,0.1373605038601951,32003,1975,1116,312,0.01109,0.007296424454,0.004052580321,0.9534177857635744,0.9302482386560748,0.965033210336672,-0.04885813431634161,-0.07498187950852254,-0.03623376821521935,-1.070127501397251,-1.642309361405292,-0.7936191667758956,-54.18367095682284,-83.15490437495149,-40.183248950678255,0.9488806147198152,0.9235464473628056,0.9616044959565524,-0.05387335823619855,-0.08278257455865709,-0.03992858207807536,-1.1799746971078977,-1.8131660349146264,-0.8745457511105651,-59.74555428394419,-91.8058751855507,-54.18367095682284,-0.1098471957106466,-0.17085667350933442,-0.08092658433466948,-5.561883327121347,-8.650970810599212,-4.097548573907316,0.9707749235704328,0.9610279997191749,0.9805192132743752,-0.03010489426537673,-0.04055240876666786,-0.01986782763855293,-0.13615479230526709,-0.18340555341043183,-0.08985581951686579,-12.200250206565151,-16.434189373694608,-8.051596730901952,0.9678998093849964,0.957215329771234,0.9785921302854792,-0.03316478658612407,-0.04469701737747035,-0.02187619239107892,-0.1499937049995058,-0.20215029038296584,-0.09893900988926596,-13.44029614690912,-18.11382530313314,-8.865502678249639,-0.0138389126942387,-0.01874473697253401,-0.00908319037240017,-1.24004594034397,-1.6796359294385312,-0.8139059473476856,0.9610279997191749,0.951278413557318,0.9805192132743752,-0.04055240876666786,-0.05121695788353588,-0.01986782763855293,-0.09231692714204044,-0.1165946071558068,-0.04522880027009594,-29.588758699371937,-37.37006639609193,-14.496410342979472,0.957215329771234,-0.04469701737747035,-0.10175206411151733,0.9465387672864846,-0.05648076398051489,-0.12857757977626572,0.9785921302854792,-0.02187619239107892,-0.04980081135827521,-32.61284106138376,-41.21076274880311,-15.961798512267698,-0.00943513696947688,-0.0119829726204589,-0.00457201108817927,-3.024082362011822,-3.840696352711186,-1.4653881692882276,0.9336
32003001715,32003001715,Census Tract 17.15; Clark County; Nevada,1833,1092,296,Paradise CDP,Nevada,38878,0.2299061041823403,0.11957013828769612,32003,1833,1092,296,0.01109,0.007296424454,0.004052580321,0.9483513123475664,0.9227656967151912,0.9612042343948584,-0.0544615555226907,-0.08369871524238819,-0.04036162577827804,-1.1070928668185906,-1.7014249724858097,-0.8204699179720626,-60.397865074663976,-92.82187520380847,-44.76104298811035,0.9433354916910462,0.9153782427600488,0.9574084205947396,-0.060068245929532,-0.0924445800511925,-0.04448632212656194,-1.2210655012081484,-1.8792106499432393,-0.9043166215990872,-66.61568473585098,-102.52103927677248,-60.397865074663976,-0.11397263438955774,-0.1777856774574298,-0.08384670362702462,-6.217819661187002,-9.69916407296398,-4.574288250246842,0.9675640627836544,0.9567703493965756,0.9783669661172812,-0.03352329676551698,-0.04518289120339994,-0.02211136989689154,-0.1483545912215389,-0.19995316694456663,-0.09785204794582794,-13.585585276697705,-18.310729573678262,-8.960810251449445,0.964378905926473,0.9525515295591532,0.976229570861951,-0.03693682416177074,-0.04981197233792311,-0.02434922055993573,-0.16346087581630653,-0.22043878458077495,-0.1077554719035895,-14.968944671822944,-20.186701884686354,-9.867717207288417,-0.01510628459476759,-0.02048561763620834,-0.00990342395776155,-1.3833593951252376,-1.8759723110080904,-0.9069069558389704,0.9567703493965756,0.9459859137475828,0.9783669661172812,-0.04518289120339994,-0.05709819297249047,-0.02211136989689154,-0.09758337147455703,-0.1233173448391724,-0.04775484624802719,-32.96735522789089,-41.661265148369054,-16.13339400271189,0.9525515295591532,-0.04981197233792311,-0.10758099074824456,0.9407476378738672,-0.06298433261022666,-0.13602988570413374,0.976229570861951,-0.02434922055993573,-0.05258802550548899,-36.344929306839376,-45.956042467612754,-17.76622483293547,-0.00999761927368751,-0.01271254086496134,-0.00483317925746179,-3.377574078948485,-4.294777319243698,-1.6328308302235794,0.8453
32003002404,32003002404,Census Tract 24.04; Clark County; Nevada,3295,2105,557,Paradise CDP,Nevada,39363,0.26488386083412174,0.21505906388738089,32003,3295,2105,557,0.01109,0.007296424454,0.004052580321,0.934906382257222,0.903009184466994,0.951017973267655,-0.06962581385487732,-0.10740844855332814,-0.05150483808843794,-2.544235158268692,-3.924871193233867,-1.882066616250559,-77.21502756505893,-119.11596944564089,-57.11886544007766,0.9286347625115704,0.893843289989994,0.946253714248786,-0.07684962955232956,-0.11876434180223527,-0.05679902223039866,-2.808204580767928,-4.33983313418347,-2.0755243107832237,-85.22623917353347,-131.70965505867892,-77.21502756505893,-0.26396942249923594,-0.41496194094960304,-0.1934576945326647,-8.011211608474536,-12.593685613038028,-5.871250213434437,0.9590117699097346,0.9454533473648746,0.9726225754401052,-0.04274006990980243,-0.05769364801251734,-0.02814804555354557,-0.36460192692389526,-0.492166140135591,-0.24012201359573623,-17.32075662346296,-23.380814258222852,-11.407221548491032,0.9550065077052524,0.9401650751745012,0.96992639982427,-0.04711328345066523,-0.06364299887909898,-0.03100606415206229,-0.4019084191035572,-0.5429181579605437,-0.26450286019712504,-19.09303653698609,-25.79183648268616,-12.565456541431118,-0.03730649217966192,-0.05075201782495259,-0.02438084660138881,-1.7722799135231315,-2.4110222244633057,-1.158234992940086,0.9454533473648746,0.9319476487164026,0.9726225754401052,-0.05769364801251734,-0.07302164598765588,-0.02814804555354557,-0.234473240718843,-0.2967678863648045,-0.1143967089654221,-42.095734419900005,-53.27969234556634,-20.538008790919587,0.9401650751745012,-0.06364299887909898,-0.2586520476744753,0.925402500482268,-0.0806108687612753,-0.3276113105469902,0.96992639982427,-0.03100606415206229,-0.12601200641867985,-46.43663333473525,-58.81711140879537,-22.623340470140008,-0.02417880695563229,-0.03084342418218572,-0.01161529745325774,-4.3408989148352415,-5.537419063229033,-2.0853316792204217,0.967
32003002706,32003002706,Census Tract 27.06; Clark County; Nevada,2391,1922,638,Paradise CDP,Nevada,43320,0.2593217297975707,0.1503996260552144,32003,2391,1922,638,0.01109,0.007296424454,0.004052580321,0.9370315670649232,0.9061223267885892,0.9526305354804552,-0.06719990568974488,-0.103603752425045,-0.0497249067243623,-1.781885467251356,-2.7471767840154535,-1.3185150744354683,-74.52469540992706,-114.89656143937488,-55.14492155731779,0.930957047552572,0.8972335706767703,0.948018796044986,-0.0741634134774935,-0.1145369864456971,-0.05483140647830299,-1.9665311628177784,-3.0370844946215287,-1.4539199921459127,-82.24722554654028,-127.02151796827808,-74.52469540992706,-0.1846456955664222,-0.28990771060607523,-0.13540491771044438,-7.722530136613224,-12.124956528903189,-5.663108227120217,0.9603666757504212,0.9472439747928616,0.973533782853074,-0.0412689499233296,-0.05569423148737876,-0.02718572032432505,-0.3214463013776857,-0.4338056760094598,-0.2117511898116505,-16.724573432762003,-22.57053465189697,-11.017231519856946,0.9564907843663254,0.942123933510322,0.9709259962656004,-0.04548837933916889,-0.06143147884380098,-0.02994461354029519,-0.35431168763455795,-0.4784934363289507,-0.23324037288553956,-18.43453109440988,-24.89560022523157,-12.135295155335044,-0.03286538625687224,-0.04468776031949095,-0.02148918307388905,-1.709957661647879,-2.325065573334597,-1.1180636354780986,0.9472439747928616,0.9341659904519296,0.973533782853074,-0.05569423148737876,-0.07047356703300815,-0.02718572032432505,-0.2592632641404557,-0.3280628269148388,-0.12655275781821848,-40.63687525712472,-51.42050578602489,-19.835855457401017,0.942123933510322,-0.06143147884380098,-0.285970832179065,0.9278258270024238,-0.07778849316013671,-0.3621146770619304,0.9709259962656004,-0.02994461354029519,-0.1393957334996312,-44.82301444812931,-56.757786373343315,-21.848861050098932,-0.02670756803860929,-0.03405185014709161,-0.01284297568141271,-4.1861391910045915,-5.337280587318435,-2.0130055926979167,0.9737
