geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48375014800,48375014800,Census Tract 148; Potter County; Texas,1357,899,336,Amarillo city,Texas,120563,0.5194457033744199,0.24259071411443983,48375,1357,899,336,0.015164,0.006897320142,0.003436016044,0.842631031330439,0.771411193763954,0.880064712680646,-0.1867590473390108,-0.29632549810522,-0.13628007757978994,-3.843043261052767,-6.097652160884074,-2.8043098378418514,-283.201419384876,-449.3479853267556,-206.65510964199348,0.8283258095063899,0.7516480414530189,0.8688925399631865,-0.20725442636625432,-0.3304099057677171,-0.15089030461968095,-4.264787906764064,-6.799025695610676,-3.1049524860461064,-314.2806121417881,-501.03358110616625,-283.201419384876,-0.4217446457112968,-0.7013735347266019,-0.300642648204255,-31.079192756912068,-51.685595779410605,-22.154948283290715,0.8990051365531434,0.8670241756169135,0.9318194963413072,-0.1123406967774165,-0.15337037665468817,-0.07316921777919055,-0.3470179884326866,-0.4737577842989886,-0.22601813498838969,-38.60044365213422,-52.698307485983165,-25.141060621622877,0.8894845120625019,0.8547405894705735,0.9252625238597492,-0.12424666920983156,-0.16994560960232413,-0.08077434696963853,-0.3837952803878693,-0.5249583212396506,-0.2495102149660394,-42.6913548818542,-58.393584120094616,-27.75419521313008,-0.0367772919551827,-0.05120053694066195,-0.02349207997764971,-4.090911229719989,-5.695276634111452,-2.613134591507198,0.8670241756169135,0.8358637985851037,0.9318194963413072,-0.15337037665468817,-0.19636716136377175,-0.07316921777919055,-0.3554357815970664,-0.45508081157337354,-0.1695696305730993,-105.78445880865073,-135.4407177301707,-50.46715195627955,0.8547405894705735,-0.16994560960232413,-0.3938488767879385,0.8210111739305779,-0.2180102192915548,-0.5052385889649765,0.9252625238597492,-0.08077434696963853,-0.1871945141843564,-117.21692761545786,-150.36862766814778,-55.71265303105845,-0.03841309519087205,-0.05015777739160299,-0.01762488361125711,-11.432468806807158,-14.92790993797708,-5.245501074778901,0.9838
48375011900,48375011900,Census Tract 119; Potter County; Texas,1521,998,406,Amarillo city,Texas,60775,0.5478597958665457,0.2215463436318983,48375,1521,998,406,0.015164,0.006897320142,0.003436016044,0.8329136519373854,0.7579672828158022,0.8724808753952222,-0.200604645720437,-0.31931815880635517,-0.146156928135546,-4.626834617358859,-7.364895791972286,-3.3710282841943258,-304.19688477047066,-484.214056013957,-221.632365824742,0.8178242396174158,0.7372512303422437,0.8606597790661122,-0.2227566163455945,-0.35638973370825594,-0.16189930600112803,-5.137757503332448,-8.219931055288981,-3.734117476901882,-337.78813302645943,-540.4293921951993,-304.19688477047066,-0.5109228859735895,-0.8550352633166955,-0.3630891927075562,-33.59124825598879,-56.215336181242314,-23.87174179536858,0.8925446067254302,0.8586838939712382,0.9273726148062972,-0.12039218260340216,-0.1645729086348686,-0.07831521443931434,-0.41284213205547254,-0.5643442041682003,-0.26855414863617894,-41.366947099746746,-56.54751544771547,-26.909233330278447,0.882455721158341,0.8457006195973836,0.9204065355214254,-0.13320133353248184,-0.1824515399741274,-0.08647642254461353,-0.45676655526160315,-0.6256526057664019,-0.29654010654043333,-45.768191909980274,-62.69064186036091,-29.71343752910154,-0.0439244232061306,-0.06130840159820161,-0.0279859579042544,-4.4012448102335275,-6.143126412645452,-2.8042041988230864,0.8586838939712382,0.8257732686665288,0.9273726148062972,-0.1645729086348686,-0.2109861604200572,-0.07831521443931434,-0.4608554872472508,-0.5908270721430925,-0.21930703302679683,-113.5112037554805,-145.52390939485036,-54.01651059773321,0.8457006195973836,-0.1824515399741274,-0.5109212327306016,0.8101154262626556,-0.23439199845057632,-0.6563707207269379,0.9204065355214254,-0.08647642254461353,-0.24216096183617672,-125.84266816024672,-161.6676652036793,-59.64555710250659,-0.05006574548335085,-0.06554364858384543,-0.02285392880937989,-12.33146440476622,-16.143755808828924,-5.629046504773372,0.7298
48381021605,48381021605,Census Tract 216.05; Randall County; Texas,1403,1006,596,Amarillo city,Texas,83851,0.5523192188714464,0.21473263462655243,48381,1403,1006,596,0.01154,0.006897320142,0.003436016044,0.8313987740366193,0.7558787171133072,0.8712965848379786,-0.2027922475093216,-0.3229635619573856,-0.14771481651790752,-3.2833322183693725,-5.228980305498487,-2.3915944626111636,-234.02225362575712,-372.699950498823,-170.46289826166526,0.816188211377559,0.7350169071943695,0.8593747970337021,-0.22520760047759597,-0.3605129218280114,-0.1636366384628603,-3.6462506804445742,-5.836927722407038,-2.6493786314295553,-259.88957095114574,-416.0319117895252,-234.02225362575712,-0.3629184620752022,-0.6079474169085515,-0.2577841688183917,-25.86731732538861,-43.331961290702175,-18.373782524475537,0.8915348885288493,0.8573822398861302,0.9266766324250162,-0.12166109578743742,-0.1663409311263679,-0.07912508528795444,-0.4205376539185933,-0.5749794087728437,-0.27350631290747346,-41.80294770562558,-57.155010812409905,-27.18750625322798,0.8813576479722034,0.8442905561014521,0.9196467341784078,-0.13461317582114904,-0.1844263716717891,-0.08737405661901038,-0.46530823004639255,-0.6374941238329803,-0.3020199723345177,-46.2533031855261,-63.36919720009744,-30.021866037228403,-0.04477057612779922,-0.06251471506013662,-0.02851365942704425,-4.4503554799005185,-6.214186387687536,-2.8343597840004233,0.8573822398861302,0.8242007167697593,0.9266766324250162,-0.1663409311263679,-0.21329668811650687,-0.07912508528795444,-0.6837947661993715,-0.8768206237280534,-0.3252676225184693,-114.73066546969322,-147.11755431678748,-54.5751044494076,0.8442905561014521,-0.1844263716717891,-0.7581404459164942,0.8084185804692129,-0.23698294937703143,-0.9741901729490642,0.9196467341784078,-0.08737405661901038,-0.359177517001503,-127.2047728047809,-163.45472700487653,-60.264684060654865,-0.07434567971712269,-0.09736954922101082,-0.03390989448303372,-12.474107335087702,-16.337172688089066,-5.689579611247269,0.2316
48381021611,48381021611,Census Tract 216.11; Randall County; Texas,5736,3413,1103,Amarillo city,Texas,319545,0.5585527956865802,0.1875276578013212,48381,5736,3413,1103,0.01154,0.006897320142,0.003436016044,0.8292858277136025,0.752968869809221,0.8696438252137343,-0.2058568548760421,-0.3280761530730601,-0.14989605055176214,-13.626373371826,-21.716489153872416,-9.922135228435032,-237.55881052695256,-378.5998806463113,-172.9800423367335,0.8139067829151837,0.7319050160383181,0.8575818074558994,-0.22864192926158333,-0.3662975086751503,-0.16606951232629122,-15.13459582606086,-24.24649216263804,-10.992712299999615,-263.85278636786717,-422.70732501112343,-237.55881052695256,-1.5082224542348597,-2.5300030087656253,-1.0705770715645837,-26.29397584091457,-44.10744436481215,-18.66417488780655,0.8901253742610797,0.8555660369198218,0.925704633048992,-0.12343724706211252,-0.16881684971994,-0.08025817771517639,-1.4475637492281994,-1.9797359203136105,-0.941197502413058,-42.41323613326104,-58.00574041352507,-27.576838629154935,0.8798250027091821,0.8423234468366062,0.91858570162674,-0.1365896592171985,-0.1871924066171458,-0.08863005186024768,-1.6018037011369666,-2.1952283317969172,-1.039375498228275,-46.93242605147866,-64.31961124514847,-30.453428017236305,-0.15423995190876716,-0.2154924114833068,-0.09817799581521712,-4.519189918217614,-6.313870831623404,-2.8765893880813693,0.8555660369198218,0.8220075523633366,0.925704633048992,-0.16881684971994,-0.21653383490811137,-0.08025817771517639,-1.284315395244209,-1.6473340085726498,-0.6105836793237571,-116.43838578823292,-149.35031809362192,-55.35663457151016,0.8423234468366062,-0.1871924066171458,-1.424111930118653,0.8060526098845753,-0.24061381073277277,-1.8305283029812136,0.91858570162674,-0.08863005186024768,-0.6742747555960565,-129.1125956589894,-165.95904832105293,-61.13098418821909,-0.13979653487444388,-0.18319429440856405,-0.06369107627229942,-12.674209870756473,-16.60873022743101,-5.774349616708922,0.2712
48375010100,48375010100,Census Tract 101; Potter County; Texas,1307,898,308,Amarillo city,Texas,50373,0.5238327558677618,0.20848332358749647,48375,1307,898,308,0.015164,0.006897320142,0.003436016044,0.8411233287689434,0.7693200326286289,0.8788895015262812,-0.18888629740371887,-0.29984916236118137,-0.13779945973116992,-3.743603260675801,-5.942814896344756,-2.7310954466240434,-286.4271813829993,-454.69126980449545,-208.9591007363461,0.8266956382683867,0.7494070001493236,0.8676163038162356,-0.2096350261320117,-0.33438838948761396,-0.152583227864058,-4.1548295358994345,-6.627359858414564,-3.0241000920010626,-317.89055362658263,-507.0665538190178,-286.4271813829993,-0.4112262752236333,-0.6845449620698076,-0.2930046453770192,-31.463372243583265,-52.37528401452239,-22.418105996711493,0.8980046054931169,0.8657311921204073,0.931131521466448,-0.11358003498308884,-0.1550929539118632,-0.07396213847973947,-0.35045601458701714,-0.478545886401358,-0.22821331482951124,-39.02628224799745,-53.290187795251455,-25.413509446493457,0.8883956438941776,0.8533385624331192,0.9245111044548596,-0.1256246097927922,-0.17186781896824851,-0.08165277321320288,-0.3876200609428076,-0.5303054439131261,-0.2519430944402974,-43.164817476927354,-59.054058342218944,-28.056023879765856,-0.03716404635579046,-0.05175955751176803,-0.02372977961078615,-4.138535228929896,-5.763870546967486,-2.6425144332723995,0.8657311921204073,0.8342978389647396,0.931131521466448,-0.1550929539118632,-0.19861271754086796,-0.07396213847973947,-0.32947553250876005,-0.4219278131228114,-0.15712328862436367,-106.97257548985716,-136.9895497151985,-51.014054748170025,0.8533385624331192,-0.17186781896824851,-0.3651116298156435,0.8193193853488839,-0.22052525288923605,-0.468478246720352,0.9245111044548596,-0.08165277321320288,-0.17346107773874334,-118.542736953131,-152.10332685725714,-56.31853173335823,-0.03563609730688344,-0.04655043359754057,-0.01633778911437966,-11.570161463273845,-15.113777142058629,-5.304476985188202,0.4745
48375010400,48375010400,Census Tract 104; Potter County; Texas,2009,1316,443,Amarillo city,Texas,73718,0.5620513198435713,0.2276084366735247,48375,2009,1316,443,0.015164,0.006897320142,0.003436016044,0.8281023141081244,0.7513406615081771,0.8687176065724138,-0.20758025060829757,-0.3309541879347849,-0.15112205903776957,-6.323823562730467,-10.082345915438744,-4.6038543406267145,-314.7746920224224,-501.8589305843078,-229.1614903248738,0.8126291521533652,0.7301642782257016,0.8565771518567288,-0.23057362309748008,-0.36955481091186615,-0.16743716293667865,-7.024304607086228,-11.258293667709085,-5.100885431792537,-349.6418420650188,-560.3929152667538,-314.7746920224224,-0.7004810443557616,-1.1759477522703392,-0.4970310911658222,-34.86715004259639,-58.533984682445954,-24.740223552305736,0.8893352769295026,0.8545483997126587,0.9251595561862632,-0.12443532370893426,-0.17020873286551033,-0.08089463413451377,-0.5626712876147689,-0.7696493570325216,-0.3657891231597643,-42.75617687042317,-58.483993695480365,-27.795526075969935,0.8789659909317381,0.8412214377436223,0.9179907455729568,-0.1377004461116421,-0.18874764138472697,-0.08933560041050062,-0.6226534798109166,-0.8534785400696456,-0.4039574601050827,-47.314094210555965,-64.85399240650803,-30.695855631085315,-0.05998219219614764,-0.08382918303712406,-0.03816833694531835,-4.5579173401328,-6.369998711027664,-2.900329555115376,0.8545483997126587,0.8207792215535716,0.9251595561862632,-0.17020873286551033,-0.2183544292303101,-0.08089463413451377,-0.5200749658411488,-0.6671847584515332,-0.24717459190229624,-117.3984121537582,-150.60604028251316,-55.795618939570254,0.8412214377436223,-0.18874764138472697,-0.5767208385442965,0.8047277707541325,-0.24265625760979087,-0.7414393066850976,0.9179907455729568,-0.08933560041050062,-0.2729660725962912,-130.18529086778702,-167.36778931943513,-61.61762361090095,-0.05664587270314769,-0.07425454823356437,-0.02579148069399495,-12.786878714028823,-16.76174903692198,-5.8220046713306886,0.2402
48375015000,48375015000,Census Tract 150; Potter County; Texas,3663,1914,679,Amarillo city,Texas,127343,0.5220680964919441,0.2051672701494084,48375,3663,1914,679,0.015164,0.006897320142,0.003436016044,0.8417294663646452,0.7701605043338869,0.8793620327230294,-0.1880301687891612,-0.2984306444861148,-0.13718805541717957,-10.444273363477514,-16.57654859921301,-7.620210959803805,-285.1289479518841,-452.54022929874446,-208.03196723461107,0.8273509765221357,0.7503076380132346,0.8681294348387969,-0.20867688366503673,-0.33278664555239545,-0.15190196285153051,-11.591110254653309,-18.48487782703235,-8.43750571882507,-316.4376263896617,-504.6376693156524,-285.1289479518841,-1.146836891175795,-1.9083292278193404,-0.8172947590212658,-31.30867843777764,-52.097440016908,-22.31216923344979,0.8984069277629833,0.8662510531815735,0.9314081931782072,-0.11308135444812478,-0.15439975088883573,-0.07364312159176933,-0.7436834523801684,-1.0154153206603325,-0.4843165451696422,-38.85493481610075,-53.052002124364286,-25.303894731956227,0.8888334727102196,0.8539022407350491,0.924813283953776,-0.12507014047390996,-0.17109424509670834,-0.08129934696091794,-0.8225281197881196,-1.1252072412545175,-0.5346679770437718,-42.97430092936884,-58.788257118835816,-27.934586052443667,-0.07884466740795115,-0.10979192059418508,-0.0503514318741296,-4.119366113268085,-5.736254994471529,-2.6306913204874403,0.8662510531815735,0.8349273816130715,0.9314081931782072,-0.15439975088883573,-0.197708952924756,-0.07364312159176933,-0.723097323461512,-0.92592645947466,-0.34489138620889803,-106.49445117253492,-136.36619432616493,-50.794018587466574,0.8539022407350491,-0.17109424509670834,-0.8012823205794658,0.8199994752644747,-0.21951297551436807,-1.028040810595565,0.924813283953776,-0.08129934696091794,-0.38074763623766533,-118.00917828858113,-151.4051267445604,-56.07476233249858,-0.07818499711795379,-0.10211435112090506,-0.0358562500287673,-11.514727116046211,-15.038932418395444,-5.280743745032003,0.9783
48381020200,48381020200,Census Tract 202; Randall County; Texas,1340,804,268,Amarillo city,Texas,54108,0.5564702890246447,0.2136230637321569,48381,1340,804,268,0.01154,0.006897320142,0.003436016044,0.8299911205574829,0.7539397403055503,0.87019562834851,-0.2048321665517658,-0.32636595014175596,-0.14916688549428542,-3.1674426906898856,-5.046792506612057,-2.3066570505294317,-236.37632020073775,-376.6263064635864,-172.13858586040536,0.8146682498501047,0.7329431650094517,0.8581803909896444,-0.2274935228959709,-0.36436226946342354,-0.16525617515777863,-3.5178688406541356,-5.634352390074596,-2.5554553901698256,-262.52752542195043,-420.4740589607908,-236.37632020073775,-0.35042614996425003,-0.5875598834625393,-0.24879833964039388,-26.15120522121269,-43.847752497204425,-18.567040271671186,0.8905960152221055,0.8561723637037209,0.9260292440974208,-0.12284355971501876,-0.167989113400127,-0.0798795031302459,-0.33936232343463274,-0.4640794842435781,-0.2206716724911876,-42.20924420828766,-57.72132888601717,-27.44672543422731,0.8803367305019593,0.8429801062544715,0.918940034005599,-0.1359289750750374,-0.18626761483518176,-0.0882102890229583,-0.3755115279186529,-0.5145748844932427,-0.24368594253632447,-46.705413920230455,-64.0018513051297,-30.309196832876182,-0.03614920448402015,-0.05049540024966464,-0.02301427004513687,-4.496169711942804,-6.280522419112518,-2.8624713986488644,0.8561723637037209,0.8227395924492609,0.9260292440974208,-0.167989113400127,-0.2154514127891213,-0.0798795031302459,-0.31052481839170004,-0.3982580149061404,-0.14765580757401683,-115.8674695491418,-148.6037369052763,-55.09545058731972,0.8429801062544715,-0.18626761483518176,-0.3443122955901392,0.8068422595609914,-0.23939963251814184,-0.4425258631710805,0.918940034005599,-0.0882102890229583,-0.1630551136601974,-128.4747371604997,-165.1215907354778,-60.841460320969176,-0.03378747719843916,-0.04426784826494007,-0.01539930608618056,-12.607267611357896,-16.517853830201517,-5.746009733649464,0.3984
48381020800,48381020800,Census Tract 208; Randall County; Texas,3355,2225,727,Amarillo city,Texas,98427,0.5235485711701,0.19923193870371625,48381,3355,2225,727,0.01154,0.006897320142,0.003436016044,0.8412209130302511,0.7694553220875214,0.8789655818517027,-0.1887483828686496,-0.2996206164212551,-0.1377009756096661,-7.307714515010647,-11.600321519796807,-5.33132736238676,-217.8156338304217,-345.7621913501284,-158.90692585355467,0.8268011403311835,0.7495519678222476,0.8676989190914699,-0.20948067342945367,-0.3341303110782371,-0.15247348820839474,-8.110400388966129,-12.936423014922784,-5.903270300917957,-241.74069713758956,-385.5863789842856,-217.8156338304217,-0.8026858739554816,-1.336101495125975,-0.5719429385311976,-23.92506330716786,-39.824187634157234,-17.047479538932865,0.8980693841993439,0.8658148906293417,0.9311760717459794,-0.1134997112628779,-0.15498129083125622,-0.07391075688293187,-0.8677206942771706,-1.1848529990406589,-0.5650577659045106,-38.9986828888616,-53.25182018160265,-25.395854647393737,0.888466138255126,0.8534293133062643,0.9245597614472224,-0.12553529835579022,-0.17174320638918214,-0.08159584885534077,-0.959734390806379,-1.3130001180377435,-0.6238113368844186,-43.134129923882206,-59.01124126012332,-28.036464579074995,-0.09201369652920845,-0.12814711899708486,-0.05875357097990796,-4.135447035020604,-5.759421078520669,-2.640609931681257,0.8658148906293417,0.8343991898467679,0.9311760717459794,-0.15498129083125622,-0.19846712720759435,-0.07391075688293187,-0.7771307058483652,-0.9951839852880447,-0.3706145326196738,-106.89555788835835,-136.8891314013817,-50.97861521591112,0.8534293133062643,-0.17174320638918214,-0.8611808463461922,0.8194288704357865,-0.22036217672948555,-1.1049734650263348,0.9245597614472224,-0.08159584885534077,-0.409150286948436,-118.45678766797693,-151.99084800912445,-56.27926918135295,-0.084050140497827,-0.10978947973829,-0.03853575432876216,-11.56122977961857,-15.10171660774278,-5.300653965441838,0.5878
48381021101,48381021101,Census Tract 211.01; Randall County; Texas,2340,1759,650,Amarillo city,Texas,77116,0.4971111510695805,0.2284774036513116,48381,2340,1759,650,0.01154,0.006897320142,0.003436016044,0.8503487731284632,0.7821457866009839,0.8860721401068274,-0.17598805525521558,-0.2785340241309203,-0.1285762803460191,-4.752311048889739,-7.52142137402172,-3.472022443951761,-203.09021576451875,-321.428263847082,-148.37702751930604,0.8366750115903047,0.763161549518428,0.8754190435109876,-0.19520720249461784,-0.310338552343239,-0.14231008271120468,-5.271297213283662,-8.380258132055888,-3.842884549500287,-225.269111678789,-358.1306894040978,-203.09021576451875,-0.5189861643939233,-0.858836758034168,-0.3708621055485257,-22.178895914270228,-36.70242555701573,-15.848807929424176,0.9041161660834272,0.8736367767575894,0.9353298763551956,-0.1060525599624387,-0.144640457686997,-0.06914151389754765,-0.6409766053697139,-0.8742000155410597,-0.4178880065117655,-36.439829753821144,-49.69869332240249,-23.75713510584227,0.8950486836964358,0.8619141263929495,0.929097491486378,-0.11725766230963976,-0.1602083889550926,-0.07631331390228122,-0.7086997085920493,-0.9682918483114064,-0.4612340230817828,-40.289920897785635,-55.04785948330906,-26.22137709390465,-0.06772310322233543,-0.0940918327703466,-0.04334601657001724,-3.8500911439644927,-5.349166160906572,-2.464241988062379,0.8736367767575894,0.8438818127571057,0.9353298763551956,-0.144640457686997,-0.1850000614811564,-0.06914151389754765,-0.648460502399205,-0.829403022711392,-0.3099792516950534,-99.7631542152623,-127.60046503252184,-47.68911564539283,0.8619141263929495,-0.1602083889550926,-0.7182555562372648,0.829678411648638,-0.20528627231955968,-0.9203513416147674,0.929097491486378,-0.07631331390228122,-0.34213228210263236,-110.50085480573304,-141.5925140945796,-52.635735708097286,-0.06979505383805973,-0.0909483189033754,-0.03215303040757894,-10.737700590470729,-13.992049062057752,-4.9466200627044525,0.424
48375980000,48375980000,Census Tract 9800; Potter County; Texas,0,0,0,Amarillo city,Texas,301030,0.5777076663059899,0.19129153449331268,48375,0,0,0,0.015164,0.006897320142,0.003436016044,0.8228265964862762,0.7440972449449642,0.8645847291357227,-0.21532289339006416,-0.34391036493350163,-0.15662463874378676,-0,-0,-0,NA,NA,NA,0.8069361152550444,0.7224248329617551,0.8520955878143404,-0.2392554764808548,-0.38422705639873767,-0.1735772538912453,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.885808072436372,0.8500091503240857,0.9227241962947274,-0.12891271948961652,-0.17645792356320725,-0.0837474556488058,-0,-0,-0,NA,NA,NA,0.875132065675597,0.8363074411622552,0.9153329578666743,-0.1426846749444676,-0.19573251507872952,-0.09249862730896878,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.8500091503240857,0.8153047306463734,0.9227241962947274,-0.17645792356320725,-0.22653526026667375,-0.0837474556488058,-0,-0,-0,NA,NA,NA,0.8363074411622552,-0.19573251507872952,-0,0.7988255709154425,-0.2518377433186253,-0,0.9153329578666743,-0.09249862730896878,-0,NA,NA,NA,0,0,0,NA,NA,NA,-999
