fullCity,meanNDVI,ls_Mortality_Rate,ls_Stroke_Rate,ls_Dementia_Rate,popOver20_2023,popOver35_2023,popOver55_2023,geoid,city,state,countyGEOID,standardDevNDVI
"Cleveland city, Ohio",0.5941970883397961,316.4307738782795,48.60238151975687,140.94050762403873,246096,186985,83931,NA,Cleveland city,Ohio,39035,0.2600049869970081
"Columbus city, Ohio",0.65621865156885,271.0655432407919,55.14388222077282,160.36111832852302,695415,455786,168524,NA,Columbus city,Ohio,39049,0.24162657240633065
"Oklahoma  city, Oklahoma",0.654381030835246,339.1683532226226,57.295273144746275,160.16415332114886,472889,346579,134774,NA,Oklahoma City city,Oklahoma,40109,0.22690457133853328
"Tulsa city, Oklahoma",0.790422517039096,443.91774313424935,72.6308343547132,204.30341773393636,283408,196644,79670,NA,Tulsa city,Oklahoma,40143,0.14259651495023823
"Eugene city, Oregon",0.6472588762519175,352.9805866685606,54.50213981786589,162.49867765120618,134345,81487,33762,NA,Eugene city,Oregon,41039,0.23395903896150855
"Portland city, Oregon",0.6805336335071785,276.11385874683924,58.066532443323936,173.38876047965303,501958,340691,115950,NA,Portland city,Oregon,41051,0.22237522027469783
"Salem city, Oregon",0.6219414882384157,299.66019645959955,51.81023607694,154.29504859516265,147511,95522,37485,NA,Salem city,Oregon,41047,0.24380612589094583
"Pittsburgh city, Pennsylvania",0.6560758416356933,356.891426087047,52.505280988647,165.97694621141255,211076,150697,65291,NA,Pittsburgh city,Pennsylvania,42003,0.25503533611320545
"Charleston city, South Carolina",0.63378671336843,258.9014021525516,56.6216314236607,150.26156487851122,136484,102529,41475,NA,Charleston city,South Carolina,45019,0.2486922362938402
"Sioux Falls city, South Dakota",0.6518206106831024,271.9815980621331,51.78812988299384,169.95318800093202,134145,87650,35007,NA,Sioux Falls city,South Dakota,46099,0.238992227939748
"Chattanooga city, Tennessee",0.7350112097228796,404.4694315556948,66.51566942657124,181.11402362069467,154410,108146,47078,NA,Chattanooga city,Tennessee,47065,0.24247683787705493
"Knoxville city, Tennessee",0.7104304045079762,395.8402651803121,63.73650060504646,173.3512598664213,210171,136116,55566,NA,Knoxville city,Tennessee,47093,0.22176378130087152
"Memphis city, Tennessee",0.7464772077553843,422.14169049424163,67.81798716177708,184.75731502683993,436267,289346,119931,NA,Memphis city,Tennessee,47157,0.2033881274717619
"Murfreesboro city, Tennessee",0.6782509079260656,242.12058448673562,60.124314891395585,163.28640452640795,135204,85993,30236,NA,Murfreesboro city,Tennessee,47149,0.21814633253079244
"Nashville-Davidson metropolitan government, Tennessee",0.7463034460802395,322.04953618631504,67.7982228663718,184.70199658715308,477398,341442,129351,NA,Nashville-Davidson metropolitan government,Tennessee,47037,0.21770797515070028
"Amarillo city, Texas",0.5660794898772883,317.7883149636169,43.15141319649117,118.50519413966984,133054,89992,33449,NA,Amarillo city,Texas,48375,0.20116636485229417
"Austin city, Texas",0.685272541268787,173.962615431251,55.03118835592163,151.95066209742848,823528,516773,163406,NA,Austin city,Texas,48453,0.21429465111751295
"Brownsville city, Texas",0.6267209183508334,264.6642327532391,49.150528304275355,135.35164857831538,135922,88719,32232,NA,Brownsville city,Texas,48061,0.2336369109556913
"Corpus Christi city, Texas",0.4966910955712438,223.1608601308537,36.399311397155884,99.6503466839248,212198,144148,58223,NA,Corpus Christi city,Texas,48355,0.2737784064928483
"Dallas city, Texas",0.6405594245139676,224.63718398605397,50.53252844625788,139.24499298237527,989941,657242,242715,NA,Dallas city,Texas,48113,0.26055482322527657
"El Paso city, Texas",0.26872637200510235,72.24615960535182,15.035176011263243,40.74738430101353,451610,283520,108854,NA,El Paso city,Texas,48141,0.15995945745706838
"Fort Worth city, Texas",0.572840062167166,199.4118618737938,43.81565653260603,120.36614443340157,667959,484116,172632,NA,Fort Worth city,Texas,48439,0.237424046021569
"Grand Prairie city, Texas",0.6020611365553579,206.94799494042175,46.69984805154077,128.45909977216033,141430,112597,39549,NA,Grand Prairie city,Texas,48113,0.2551889302649003
"Houston city, Texas",0.5969440178628627,190.9659720074038,46.19322960644759,127.03606577052831,2691581,1850917,646827,NA,Houston city,Texas,48201,0.25275097036088195
"Killeen city, Texas",0.6540687091288373,253.44838383070854,51.88634109228272,143.0634343088772,113221,68292,23144,NA,Killeen city,Texas,48027,0.16947270749895563
"Laredo city, Texas",0.49667091305768973,160.6247784337352,36.39736471011899,99.64492699757483,151345,95091,32175,NA,Laredo city,Texas,48479,0.2278794050641456
"Lubbock city, Texas",0.4944556218360211,208.25900204868225,36.183751305466025,99.05027264300547,181901,105148,40529,NA,Lubbock city,Texas,48303,0.20000546053885176
"McAllen city, Texas",0.5392969748762164,167.30650255754844,40.5311370417894,111.17481813048492,102261,81199,28459,NA,McAllen city,Texas,48215,0.20658305558129755
"McKinney city, Texas",0.5954440042556051,148.3676388251499,46.044845988417535,126.61939203276651,149652,131089,38075,NA,McKinney city,Texas,48085,0.2530714520888748
"Pasadena city, Texas",0.6780833790471513,225.9926579857676,54.30442592556249,149.89473035512248,101817,85212,34199,NA,Pasadena city,Texas,48201,0.28873006145471714
"San Antonio city, Texas",0.5159501046242965,189.60091791549308,38.26147519768997,104.83903718171966,1115924,742629,268274,NA,San Antonio city,Texas,48029,0.24903458493414476
"Salt Lake  city, Utah",0.5658033696796505,180.29938214095148,41.934229774988665,120.74550447114844,154843,94966,33364,NA,Salt Lake City city,Utah,49035,0.28465891886726913
"Chesapeake city, Virginia",0.8293415725929485,371.6660918702811,70.55417291770091,208.87798071244197,161758,141226,56600,NA,Chesapeake city,Virginia,51550,0.1654253189990278
"Virginia Beach city, Virginia",0.7068845048424681,302.383232780149,57.77734027376165,170.09027808719276,300620,213862,87783,NA,Virginia Beach city,Virginia,51810,0.2748851080620442
"Spokane city, Washington",0.6048502903487949,285.0955671191112,43.45794957750445,136.85765981603348,171584,116375,47707,NA,Spokane city,Washington,53063,0.2217006183065941
"Vancouver city, Washington",0.6359582059207312,272.7916298758171,46.32227512689968,146.0841599850808,155831,112745,44709,NA,Vancouver city,Washington,53011,0.28249614787422783
"Madison city, Wisconsin",0.6368023761160686,213.61322763419705,46.27271920535371,154.89340866888622,213060,126408,47835,NA,Madison city,Wisconsin,55025,0.2763909710448963
"Milwaukee city, Wisconsin",0.6653624072622814,317.6175187905145,48.915711137112396,163.95363135159795,365076,271408,106699,NA,Milwaukee city,Wisconsin,55131,0.23837540624861903
all cities,0.5884884116645527,246.01348998468973,45.71757960565994,145.24148629746122,59592288,41690602,16012617,NA,all cities,NA,NA,0.231278164982731
